"Time","loadInertia.phi","multiSensor.i[2]","multiSensor.v[2]","loadInertia.w","multiSensor.i[3]","currentQuasiRMSSensor.i[2]","rootMeanSquare.mean.x","multiSensor.v[1]","currentQuasiRMSSensor.i[1]","harmonic.mean1.x","rootMeanSquare.y","multiSensor.i[1]","multiSensor.v[3]","multiSensor.power[1]","harmonic.mean2.x","multiSensor.powerTotal","multiSensor.power[3]","voltageSensor.v[1]","voltageSensor.v[3]","voltageSensor.v[2]","currentQuasiRMSSensor.i[3]","softStartControl.vRef","multiSensor.power[2]"
2.5032001,88.402969,-522.85535,-72.352989,109.68515,522.85321,-522.85535,5.2498713,-37.418991,0.0021271615,0.11473725,51.043682,0.0021271615,3.4139042,-0.079596236,0.077597156,39615.039,1784.9709,68.939087,3.4191327,-72.358223,522.85321,0.65037888,37830.148
2.5033333,88.417595,-529.52869,-70.705383,109.69675,529.52655,-529.52869,5.4357901,-37.25322,0.0021592779,0.1110899,51.043682,0.0021592779,-0.0052952655,-0.080440059,0.071574882,37437.645,-2.8039837,70.710678,-2.1709913e-10,-70.710678,529.52655,0.65040219,37440.527
2.5033333,88.417595,-529.52869,-70.705383,109.69675,529.52655,-529.52869,5.4357901,-37.25322,0.0021592779,0.1110899,51.043682,0.0021592779,-0.0052952655,-0.080440059,0.071574882,37437.645,-2.8039837,70.710678,-2.1709913e-10,-70.710678,529.52655,0.65040219,37440.527
2.5034001,88.424911,-532.22565,-69.834877,109.70271,532.22345,-532.22565,5.528049,-37.147194,0.0021739467,0.10936816,51.043682,0.0021739467,-1.7152636,-0.080756024,0.068519332,36254.926,-912.90356,71.55014,-1.7099414,-69.840202,532.22345,0.65041387,37167.91
2.5035999,88.446854,-537.75354,-67.041176,109.72104,537.75128,-537.75354,5.8010616,-36.72377,0.0022120518,0.10462416,51.043682,0.0022120518,-6.8376446,-0.08123488,0.059210088,32374.594,-3676.9524,73.878822,-6.8322673,-67.046555,537.75128,0.65044886,36051.629
2.5037999,88.468796,-539.4389,-63.98291,109.73966,539.43665,-539.4389,6.0667973,-36.153564,0.0022413898,0.10052954,51.043682,0.0022413898,-11.933023,-0.081034236,0.049750131,28077.678,-6437.1104,75.915932,-11.927629,-63.988304,539.43665,0.65048391,34514.867
2.5039999,88.490746,-537.29633,-60.67215,109.7581,537.29407,-537.29633,6.3232651,-35.439835,0.0022618654,0.097098246,51.043682,0.0022618654,-16.981291,-0.080160141,0.040222492,23474.895,-9123.9473,77.653442,-16.975918,-60.677521,537.29407,0.65051889,32598.922
2.5042,88.512703,-531.35529,-57.12196,109.77589,531.35303,-531.35529,6.5686283,-34.585678,0.0022734033,0.094333626,51.043682,0.0022734033,-21.962524,-0.078627191,0.030711167,18682.121,-11669.854,79.08448,-21.957211,-57.127274,531.35303,0.65055388,30352.055
2.5043006,88.523743,-526.94495,-55.250301,109.78444,526.94263,-526.94495,6.6873064,-34.104675,0.0022758248,0.09319327,51.043682,0.0022758248,-24.436264,-0.077616267,0.025960099,16237.278,-12876.509,79.686562,-24.430994,-55.255569,526.94263,0.65057147,29113.865
2.5044,88.53466,-521.65973,-53.346352,109.79256,521.65747,-521.65973,6.8012333,-33.591217,0.0022758928,0.092228435,51.043682,0.0022758928,-26.857065,-0.076450005,0.02129983,13818.379,-14010.188,80.203415,-26.851849,-53.35157,521.65747,0.65058887,27828.645
2.5046,88.556618,-508.26822,-49.360229,109.80767,508.26596,-508.26822,7.0196338,-32.469582,0.0022695081,0.090764947,51.043682,0.0022695081,-31.645597,-0.073689982,0.012070438,9003.7822,-16084.38,81.005829,-31.640514,-49.365311,508.26596,0.65062386,25088.234
2.5046496,88.562073,-504.37415,-48.338551,109.81113,504.37186,-504.37415,7.0715704,-32.170925,0.0022665337,0.090497725,51.043682,0.0022665337,-32.817215,-0.072916485,0.0098138107,7828.563,-16552.08,81.155762,-32.812168,-48.343597,504.37186,0.65063256,24380.715
2.5046496,88.562073,-504.37415,-48.338551,109.81113,504.37186,-504.37415,7.0715704,81.155762,0.0022665337,0.090497725,51.043682,0.0022665337,-32.817215,0.18394229,0.0098138107,7828.8198,-16552.08,81.155762,-32.812168,-48.343597,504.37186,0.65063256,24380.715
2.5048001,88.578583,-517.71606,-45.179054,109.82136,464.79288,-517.71606,8.0658121,81.488014,52.923203,0.091989696,51.043682,52.923203,-36.30896,4312.6064,0.027034631,10826.384,-16876.145,81.488541,-36.30431,-45.184231,464.79288,0.65065891,23389.922
2.5050001,88.600548,-531.47784,-40.819515,109.8348,409.97891,-531.47784,9.3973627,81.648445,121.49894,0.092714265,51.043682,121.49894,-40.82893,9920.1992,0.050098021,14875.867,-16739,81.649658,-40.824829,-40.824829,409.97891,0.65069389,21694.668
2.5051999,88.622513,-540.69421,-36.298904,109.8482,352.94238,-540.69421,10.728892,81.486664,187.75183,0.091989711,51.043682,187.75183,-45.187759,15299.271,0.073161222,18977.203,-15948.676,81.488541,-45.184231,-36.30431,352.94238,0.65072888,19626.607
2.5053999,88.644485,-545.39703,-31.635061,109.86166,293.93329,-545.39703,12.049915,81.003311,251.46373,0.0898275,51.043682,251.46373,-49.368252,20369.395,0.096042633,23112.092,-14510.972,81.005829,-49.365311,-31.640514,293.93329,0.65076387,17253.668
2.5055726,88.663445,-545.86383,-27.510128,109.87341,241.63129,-545.86383,13.17332,80.329292,304.23251,0.086832218,51.043682,304.23251,-52.819164,24438.783,0.11550124,26692.805,-12762.763,80.332336,-52.816746,-27.515587,241.63129,0.65079409,15016.783
2.5056,88.666458,-545.63422,-26.846394,109.87531,233.20715,-545.63422,13.350111,80.200294,312.42709,0.086261742,51.043682,312.42709,-53.353901,25056.744,0.11856347,27262.543,-12442.511,80.203415,-53.35157,-26.851849,233.20715,0.65079886,14648.311
2.5058,88.688438,-541.46979,-21.951797,109.88925,171.02393,-541.46979,14.61949,79.08078,370.44586,0.081348702,51.043682,370.44586,-57.128983,29295.148,0.1405507,31410.959,-9770.4229,79.08448,-57.127274,-21.957211,171.02393,0.6508339,11886.234
2.506,88.710411,-532.98322,-16.970589,109.90361,107.64716,-532.98322,15.848546,77.649185,425.33606,0.075165883,51.043682,425.33606,-60.678596,33027,0.16183966,35540.16,-6531.8784,77.653442,-60.677521,-16.975918,107.64716,0.65086889,9045.0391
2.5062001,88.732399,-520.26929,-11.922426,109.91849,43.342907,-520.26929,17.028412,75.911163,476.92639,0.067810811,51.043682,476.92639,-63.988735,36204.035,0.18227674,39633.449,-2773.4578,75.915932,-63.988304,-11.927629,43.342907,0.65090388,6202.8726
2.5063336,88.747086,-509.47406,-8.5225401,109.92876,-6.7188921e-11,-509.47406,17.785172,74.582687,509.47406,0.062300853,51.043682,509.47406,-66.060143,37997.945,0.19538505,42339.957,4.43851e-09,74.587776,-66.060143,-8.5276346,-6.7188921e-11,0.65092725,4342.0132
2.5063336,88.747086,-509.47406,-8.5225401,109.92876,-6.7188921e-11,-509.47406,17.785172,74.582687,509.47406,0.062300853,51.043682,509.47406,-66.060143,37997.945,0.19538505,42339.957,4.4385096e-09,74.587776,-66.060143,-8.5276346,-6.7188921e-11,0.65092725,4342.0132
2.5064001,88.754379,-514.24548,-6.8271251,109.93402,-0.0020926141,-514.24548,18.150963,73.87368,514.24756,0.059399154,51.043682,514.24756,37.584152,37989.355,0.20172119,41500.098,-0.078649126,73.878822,-67.046555,-6.8322673,-0.0020926141,0.65093887,3510.8179
2.5065999,88.776367,-526.08685,-1.7046806,109.95084,-0.0021445202,-526.08685,19.209068,71.544884,526.08899,0.050064489,51.043682,526.08899,37.385807,37638.973,0.22004941,38535.703,-0.080174617,71.55014,-69.840202,-1.7099414,-0.0021445202,0.65097386,896.81006
2.5066667,88.783699,-529.18329,0.0052918326,109.95672,-0.0021594528,-529.18329,19.546349,70.705383,529.18542,0.046772677,51.043682,529.18542,37.261967,37416.262,0.22589174,37413.379,-0.080465458,70.710678,-70.710678,2.1286585e-11,-0.0021594528,0.65098554,-2.8003495
2.5066667,88.783699,-529.18329,0.0052918326,109.95672,-0.0021594528,-529.18329,19.546349,70.705383,529.18542,0.046772677,51.043682,529.18542,37.261967,37416.262,0.22589174,37413.379,-0.080465458,70.710678,-70.710678,2.1286585e-11,-0.0021594528,0.65098554,-2.8003495
2.5067999,88.798363,-534.09387,3.4244738,109.96875,-0.0021880155,-534.09387,20.196486,68.933746,534.09607,0.039953049,51.043682,534.09607,37.042553,36817.242,0.23715329,34988.172,-0.081049681,68.939087,-72.358223,3.4191327,-0.0021880155,0.6510089,-1828.9905
2.507,88.820358,-538.26184,8.5400963,109.98725,-0.0022227988,-538.26184,21.108257,66.050575,538.26404,0.029225167,51.043682,538.26404,36.549271,35552.652,0.25294688,30955.762,-0.081241675,66.055962,-74.590675,8.5347137,-0.0022227988,0.65104389,-4596.8076
2.5072,88.842354,-538.59314,13.621997,110.00588,-0.00224826,-538.59314,21.940472,62.906757,538.5954,0.018049248,51.043682,538.5954,35.884243,33881.289,0.26736245,26544.496,-0.0806771,62.912144,-76.528755,13.616611,-0.00224826,0.65107888,-7336.7144
2.5074,88.864357,-535.10767,18.650122,110.02415,-0.0022655299,-535.10767,22.690506,59.514687,535.10992,0.006601837,51.043682,535.10992,35.111691,31846.9,0.28035459,21866.998,-0.079546593,59.520039,-78.16481,18.64477,-0.0022655299,0.65111387,-9979.8232
2.5076001,88.886368,-527.83997,23.604626,110.0416,-0.0022738876,-527.83997,23.35705,55.88776,527.84222,-0.0049365489,51.043682,527.84222,34.202,29499.92,0.29190052,17040.377,-0.0777715,55.893036,-79.492386,23.599348,-0.0022738876,0.65114886,-12459.465
2.5076711,88.894188,-524.35565,25.343672,110.04752,-0.0022748329,-524.35565,23.573748,54.545132,524.35791,-0.0090239542,51.043682,524.35791,33.852848,28601.17,0.29565421,15311.997,-0.077009581,54.550373,-79.888802,25.338428,-0.0022748329,0.65116131,-13289.097
2.5078001,88.908379,-516.83911,28.465958,110.05777,-0.0022732427,-516.83911,23.940104,52.040283,516.84143,-0.016383884,51.043682,516.84143,33.155888,26896.572,0.30200028,12184.177,-0.075371377,52.045452,-80.506241,28.460789,-0.0022732427,0.6511839,-14712.32
2.5079794,88.928131,-503.84338,32.732624,110.07084,-0.0022650599,-503.84338,24.393232,48.412949,503.84564,-0.026428832,51.043682,503.84564,32.107422,24392.652,0.3098495,7900.4648,-0.072725229,48.417988,-81.145569,32.727585,-0.0022650599,0.65121526,-16492.115
2.5079794,88.928131,-503.84338,32.732624,110.07084,-0.0022650599,-503.84338,24.393232,48.412949,503.84564,-0.026428832,51.043682,503.84564,-81.145569,24392.652,0.3098495,7900.7217,0.18379958,48.417988,-81.145569,32.727585,-0.0022650599,0.65121526,-16492.115
2.5079999,88.930389,-498.51929,33.214893,110.07224,-7.3011389,-498.51929,24.440983,47.987408,505.82043,-0.027559614,51.043682,505.82043,-81.202301,24273.01,0.31067666,8307.6152,592.86926,47.992466,-81.20237,33.209908,-7.3011389,0.65121889,-16558.266
2.5081999,88.952408,-445.30713,37.832417,110.08578,-77.214516,-445.30713,24.862309,43.74485,522.52167,-0.038287159,51.043682,522.52167,-81.577263,22857.631,0.31797504,12309.535,6298.9487,43.750076,-81.578041,37.827961,-77.214516,0.65125388,-16847.045
2.5084,88.974426,-389.71545,42.300625,110.09919,-144.95302,-389.71545,25.207932,39.329678,534.66846,-0.048397928,51.043682,534.66846,-81.630302,21028.338,0.32396218,16375.689,11832.559,39.335022,-81.631752,42.29673,-144.95302,0.65128887,-16485.207
2.5086,88.996445,-331.99042,46.601887,110.11258,-210.29163,-331.99042,25.48292,34.759312,542.28204,-0.057732139,51.043682,542.28204,-81.361198,18849.35,0.32872579,20487.549,17109.578,34.764732,-81.363304,46.598568,-210.29163,0.65132385,-15471.38
2.5088,89.018471,-272.38394,50.719227,110.12608,-273.01605,-272.38394,25.693449,30.05179,545.39996,-0.066142604,51.043682,545.39996,-80.771019,16390.246,0.3323729,24626.926,22051.783,30.057243,-80.77375,50.716503,-273.01605,0.6513589,-13815.103
2.5088613,89.025223,-253.77884,51.941746,110.13026,-291.68451,-253.77884,25.746151,28.58444,545.46338,-0.068514422,51.043682,545.46338,-80.526184,15591.766,0.33328587,25898.291,23488.242,28.589895,-80.529106,51.939209,-291.68451,0.65136963,-13181.716
2.5090001,89.040497,-211.15312,54.636398,110.13981,-332.92285,-211.15312,25.846718,25.225691,544.07599,-0.073496655,51.043682,544.07599,-79.862091,13724.692,0.33502811,28775.961,26587.914,25.231133,-79.865417,54.634285,-332.92285,0.65139389,-11536.646
2.5092001,89.062523,-148.55914,58.337936,110.15388,-389.82034,-148.55914,25.950821,20.30006,538.37952,-0.079678304,51.043682,538.37952,-78.637993,10929.137,0.33683163,32917.191,30654.691,20.305445,-78.641891,58.336449,-389.82034,0.65142888,-8666.6338
2.5093999,89.084557,-84.866417,61.809235,110.16841,-443.52911,-84.866417,26.014627,15.294336,528.39551,-0.084590062,51.043682,528.39551,-77.103569,8081.459,0.33793712,37033.609,34197.68,15.299621,-77.108009,61.808388,-443.52911,0.65146387,-5245.5283
2.5095999,89.10659,-20.341488,65.036598,110.18349,-493.88266,-20.341488,26.047646,10.228273,514.22418,-0.08815448,51.043682,514.22418,-75.26487,5259.6255,0.33850926,41108.699,37172.016,10.233416,-75.269814,65.036392,-493.88266,0.65149885,-1322.9412
2.5096626,89.113495,3.9278802e-11,65.995361,110.18834,-508.94141,3.9278802e-11,26.053232,8.6320581,508.94141,-0.0889844,51.043682,508.94141,-74.627419,4393.2119,0.33860606,42374.195,37980.984,8.6371469,-74.632507,65.995361,-508.94141,0.65150982,2.5922189e-09
2.5096626,89.113495,3.9278802e-11,65.995361,110.18834,-508.94141,3.9278802e-11,26.053232,8.6320581,508.94141,-0.0889844,51.043682,508.94141,-74.627419,4393.2119,0.33860606,42374.195,37980.984,8.6371469,-74.632507,65.995361,-508.94141,0.65150982,2.5922187e-09
2.5098,89.128632,0.0021091541,-37.44997,110.19942,-518.35095,0.0021091541,26.059864,5.1216412,518.34882,-0.090314254,51.043682,518.34882,-73.129379,2654.7966,0.33872104,40561.398,37906.68,5.1268244,-73.13456,68.007736,-518.35095,0.6515339,-0.078987762
2.51,89.150673,0.0021572076,-37.1497,110.21669,-528.8349,0.0021572076,26.061611,-0.0052883276,528.83276,-0.09103743,51.043682,528.83276,-70.705391,-2.7966406,0.33875132,37388.602,37391.477,-1.8413689e-12,-70.710678,70.710678,-528.8349,0.65156889,-0.080139615
2.51,89.150673,0.0021572076,-37.1497,110.21669,-528.8349,0.0021572076,26.061611,-0.0052883276,528.83276,-0.09103743,51.043682,528.83276,-70.705391,-2.7966406,0.33875132,37388.602,37391.477,-1.8413689e-12,-70.710678,70.710678,-528.8349,0.65156889,-0.080139615
2.5102,89.172714,0.0021994314,-36.837009,110.23487,-535.47693,0.0021994314,26.0634,-5.1321793,535.47473,-0.090308577,51.043682,535.47473,-68.00238,-2748.1521,0.33878225,33665.473,36413.703,-5.1268244,-68.007736,73.13456,-535.47693,0.65160388,-0.081020474
2.5104001,89.194763,0.0022330643,-36.383404,110.25349,-538.28735,0.0022330643,26.075655,-10.238798,538.2851,-0.088144854,51.043682,538.2851,-65.031013,-5511.3926,0.33899438,29493.896,35005.371,-10.233416,-65.036392,75.269814,-538.28735,0.65163887,-0.081246488
2.5106001,89.21682,0.0022541138,-35.597679,110.27206,-537.26892,0.0022541138,26.10873,-15.304993,537.26666,-0.084577478,51.043682,537.26666,-61.803017,-8222.8623,0.33956704,24981.895,33204.836,-15.299621,-61.808388,77.108009,-537.26892,0.65167385,-0.080241211
2.5107999,89.238876,0.0022680366,-34.759941,110.29011,-532.44666,0.0022680366,26.172613,-20.310768,532.4444,-0.079662748,51.043682,532.4444,-58.331127,-10814.354,0.34067318,20243.779,31058.213,-20.305445,-58.336449,78.641891,-532.44666,0.6517089,-0.078836821
2.5109999,89.260933,0.0022731614,-33.792648,110.30716,-523.86035,0.0022731614,26.276812,-25.23637,523.85803,-0.073478177,51.043682,523.85803,-54.629047,-13220.276,0.34247753,15397.638,28617.99,-25.231133,-54.634285,79.865417,-523.86035,0.65174389,-0.076816142
2.5110431,89.265678,0.0022730937,-33.567184,110.31065,-521.52704,0.0022730937,26.305357,-26.283268,521.52472,-0.071991324,51.043682,521.52472,-53.80423,-13707.375,0.34297183,14352.908,28060.359,-26.278053,-53.809444,80.087502,-521.52704,0.6517514,-0.076301359
2.5112,89.282997,0.0022693544,-32.69397,110.32277,-511.56409,0.0022693544,26.430197,-30.062359,511.56183,-0.066121303,51.043682,511.56183,-50.711388,-15378.755,0.34513375,10563.296,25942.125,-30.057243,-50.716503,80.77375,-511.56409,0.65177888,-0.0741942
2.5113091,89.295044,0.0022634855,-32.039005,110.33054,-503.31012,0.0022634855,26.537619,-32.647991,503.30786,-0.061651371,51.043682,503.30786,-48.487282,-16431.99,0.34699407,7972.0776,24404.141,-32.642956,-48.492317,81.135277,-503.31012,0.65179801,-0.072519824
2.5113091,89.295044,0.0022634855,81.135277,110.33054,-503.31012,0.0022634855,26.537619,-32.647991,503.30786,-0.061651371,51.043682,503.30786,-48.487282,-16431.99,0.34699407,7972.3335,24404.141,-32.642956,-48.492317,81.135277,-503.31012,0.65179801,0.18364853
2.5114,89.305061,32.074986,81.362984,110.33672,-511.66327,32.074986,26.640875,-34.769531,479.58829,-0.057708323,51.043682,479.58829,-46.593452,-16675.059,0.34878224,9774.8145,23840.156,-34.764732,-46.598568,81.363304,-511.66327,0.65181386,2609.7163
2.5116,89.327133,101.2013,81.630737,110.35018,-526.74518,101.2013,26.916021,-39.339279,425.54391,-0.048371956,51.043682,425.54391,-42.291462,-16740.59,0.35354736,13797.371,22276.824,-39.335022,-42.29673,81.631752,-526.74518,0.65184885,8261.1367
2.5118001,89.349205,168.07359,81.576355,110.36355,-537.28131,168.07359,27.261795,-43.753765,369.20773,-0.03825894,51.043682,369.20773,-37.82259,-16154.229,0.35953572,17877.973,20321.371,-43.750076,-37.827961,81.578041,-537.28131,0.6518839,13710.831
2.5120001,89.371277,232.47034,81.20005,110.37695,-543.29846,232.47034,27.68327,-47.995575,310.82812,-0.027529046,51.043682,310.82812,-33.204475,-14918.374,0.36683536,21998.168,18039.939,-47.992466,-33.209908,81.20237,-543.29846,0.65191889,18876.602
2.5121481,89.387642,278.48221,80.71418,110.38698,-544.86731,278.48221,28.046864,-51.018459,266.3851,-0.019276941,51.043682,266.3851,-29.695723,-13590.559,0.37313265,25067.133,16180.229,-51.015797,-29.70117,80.716965,-544.86731,0.65194482,22477.463
2.5122001,89.393356,294.18118,80.503296,110.39051,-544.84003,294.18118,28.184307,-52.047958,250.65883,-0.01635151,51.043682,250.65883,-28.455339,-13046.279,0.37551311,26139.885,15503.608,-52.045452,-28.460789,80.506241,-544.84003,0.65195388,23682.557
2.5123999,89.415436,353.00699,79.488853,110.40434,-541.96533,353.00699,28.767521,-55.894928,188.95834,-0.0049025961,51.043682,188.95834,-23.593927,-10561.812,0.38561425,30285.4,12787.091,-55.893036,-23.599348,79.492386,-541.96533,0.65198886,28060.121
2.5125999,89.437515,408.76044,78.160721,110.41855,-534.74939,408.76044,29.434223,-59.521297,125.98898,0.006637136,51.043682,125.98898,-18.639423,-7499.0273,0.39716154,34417.406,9967.4209,-59.520039,-18.64477,78.16481,-534.74939,0.65202385,31949.012
2.5128,89.459602,461.26682,76.524139,110.43326,-523.28265,461.26682,30.184414,-62.912762,62.015816,0.018085727,51.043682,62.015816,-13.611379,-3901.5864,0.41015503,38519.059,7122.5981,-62.912144,-13.616611,76.528755,-523.28265,0.6520589,35298.047
2.5129917,89.480774,508.39856,74.671852,110.44791,-508.39856,508.39856,30.980658,-65.93071,-4.0819879e-07,0.028806945,51.043682,-4.0819879e-07,-8.7411442,2.6912836e-05,0.42394632,42407.047,4443.9854,-65.93071,-8.7462282,74.676941,-508.39856,0.6520924,37963.062
2.5129917,89.480774,508.39856,74.671852,110.44791,-508.39856,508.39856,30.980658,-65.910301,-4.0819879e-07,0.028806945,51.043682,-4.0819879e-07,-8.7411442,2.6904505e-05,0.42394632,42407.047,4443.9854,-65.93071,-8.7462282,74.676941,-508.39856,0.6520924,37963.062
2.513,89.481689,509.01819,74.585587,110.44855,-509.01611,509.01819,30.992344,37.577148,-0.0020726621,0.028548408,51.043682,-0.0020726621,-8.529623,-0.077884741,0.42359135,42307.059,4341.7158,-66.055962,-8.5347137,74.590675,-509.01611,0.65209389,37965.418
2.5132,89.503784,521.96429,72.352997,110.46498,-521.96216,521.96429,31.272907,37.378403,-0.0021263498,0.022594649,51.043682,-0.0021263498,-3.4139132,-0.079479553,0.41483101,39547.535,1781.9335,-68.939087,-3.4191327,72.358223,-521.96216,0.65212888,37765.68
2.5133333,89.518509,528.47339,70.705391,110.47665,-528.47125,528.47339,31.458181,37.112534,-0.0021564642,0.018953603,51.043682,-0.0021564642,0.0052847443,-0.080031849,0.40881917,37363.047,-2.7928355,-70.710678,3.2231533e-08,70.710678,-528.47125,0.65215224,37365.918
2.5133333,89.518509,528.47339,70.705391,110.47665,-528.47125,528.47339,31.458181,37.112534,-0.0021564642,0.018953603,51.043682,-0.0021564642,0.0052847443,-0.080031849,0.40881917,37363.047,-2.7928355,-70.710678,3.2231533e-08,70.710678,-528.47125,0.65215224,37365.918
