"Time","aimc.is[1]","aimc.is[2]","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x","mass.s","mass.v"
0.28999999,78.591408,-319.80988,0.24074394,0.17214055,-0.23327696,0.19349991,13.210397,0.09292724,1.1223774
0.29100001,109.30798,-330.94742,0.21743165,0.19417234,-0.23629239,0.18039472,13.301661,0.094054453,1.1320108
0.292,139.58926,-339.44818,0.19215243,0.2139747,-0.23876065,0.16702501,13.393238,0.095191181,1.1414101
0.29300001,169.18202,-345.21356,0.16510461,0.23135848,-0.24067682,0.15341699,13.485129,0.096337199,1.150581
0.294,197.83344,-348.16519,0.13650647,0.2461517,-0.24203704,0.13959707,13.577335,0.09749227,1.1595303
0.29499999,225.29539,-348.24716,0.10659332,0.25820157,-0.2428385,0.12559196,13.669855,0.098656185,1.168265
0.296,251.32486,-345.42599,0.075617045,0.26737639,-0.24307942,0.11142853,13.762689,0.099828735,1.176793
0.29699999,275.68683,-339.69214,0.043843705,0.27356744,-0.242759,0.097133897,13.855837,0.1010097,1.1851228
0.29800001,298.15753,-331.06027,0.011550792,0.27669001,-0.2418775,0.082735308,13.9493,0.10219891,1.1932635
0.29899999,318.52405,-319.56982,-0.02097345,0.27668577,-0.24043617,0.068260148,14.043077,0.10339617,1.2012243
0.30000001,336.58896,-305.28479,-0.053433981,0.27352294,-0.23843729,0.053735867,14.137167,0.1046013,1.2090155
0.301,352.17023,-288.29434,-0.085530266,0.26719809,-0.23588412,0.039190006,14.231572,0.10581414,1.2166474
0.30199999,365.104,-268.71243,-0.11695947,0.25773653,-0.2327808,0.024650095,14.326291,0.10703455,1.2241307
0.303,375.24677,-246.67714,-0.14741942,0.24519272,-0.22913247,0.010143722,14.421324,0.10826236,1.2314769
0.30399999,382.47614,-222.35114,-0.17661078,0.22965127,-0.22494523,-0.0043015559,14.516671,0.10949746,1.2386971
0.30500001,386.69409,-195.91942,-0.20424104,0.21122558,-0.22022618,-0.018658208,14.612333,0.11073972,1.2458032
0.30599999,387.827,-167.58963,-0.23002657,0.19005884,-0.21498345,-0.032898787,14.708308,0.11198903,1.2528073
0.30700001,385.82788,-137.5898,-0.25369623,0.16632243,-0.20922616,-0.046995986,14.804598,0.1132453,1.2597214
0.308,380.67685,-106.16672,-0.27499381,0.14021507,-0.2029644,-0.06092269,14.901202,0.11450844,1.2665583
0.30899999,372.38239,-73.585732,-0.29368114,0.11196259,-0.19620921,-0.074652001,14.99812,0.11577839,1.2733307
0.31,360.9816,-40.126396,-0.30954078,0.081814684,-0.18897262,-0.088157296,15.095353,0.11705509,1.2800511
0.31099999,346.5412,-6.082746,-0.3223787,0.05004479,-0.18126763,-0.10141227,15.192899,0.11833848,1.2867328
0.31200001,329.15744,28.240885,-0.33202684,0.016946653,-0.17310821,-0.11439093,15.29076,0.11962854,1.2933886
0.31299999,308.95575,62.532143,-0.3383452,-0.017167725,-0.16450934,-0.12706776,15.388934,0.12092526,1.3000317
0.31400001,286.09137,96.472008,-0.34122452,-0.051970076,-0.15548703,-0.13941763,15.487424,0.12222861,1.3066748
0.315,260.74692,129.74037,-0.34058711,-0.087120183,-0.1460582,-0.15141602,15.586226,0.12353861,1.3133312
0.31600001,233.13324,162.01617,-0.33638957,-0.12226751,-0.13624078,-0.16303894,15.685344,0.12485527,1.3200136
0.317,203.48659,192.98286,-0.328623,-0.15705574,-0.12605359,-0.17426313,15.784775,0.12617865,1.3267345
0.31799999,172.06754,222.33078,-0.31731436,-0.19112566,-0.11551639,-0.18506598,15.884521,0.12750876,1.3335066
0.31900001,139.1599,249.75966,-0.30252749,-0.22411877,-0.10464984,-0.19542569,15.98458,0.12884568,1.3403418
0.31999999,105.06632,274.98407,-0.28436208,-0.25568151,-0.093475498,-0.20532125,16.084955,0.13018946,1.3472519
0.32100001,70.108582,297.73416,-0.26295519,-0.28546834,-0.082015783,-0.2147326,16.185642,0.13154021,1.3542482
0.322,34.62204,317.76129,-0.23847893,-0.31314626,-0.070293933,-0.22364059,16.286644,0.132898,1.3613417
0.32300001,-1.0460641,334.83969,-0.21114053,-0.33839804,-0.058333982,-0.23202711,16.38796,0.13426293,1.3685426
0.324,-36.539543,348.76984,-0.1811811,-0.36092627,-0.046160676,-0.23987518,16.489592,0.13563512,1.3758605
0.32499999,-71.499008,359.3819,-0.14887246,-0.38045675,-0.033799455,-0.24716891,16.591536,0.1370147,1.3833044
0.32600001,-105.56238,366.53729,-0.11451709,-0.39674222,-0.02127639,-0.25389364,16.693794,0.13840178,1.3908827
0.32699999,-138.37207,370.13211,-0.078443393,-0.4095653,-0.0086181313,-0.26003593,16.796368,0.13979651,1.3986028
0.32800001,-169.57666,370.09848,-0.041004363,-0.41874173,0.0041481522,-0.26558363,16.899256,0.14119904,1.4064716
0.329,-198.83571,366.40665,-0.0025737528,-0.42412329,0.016994828,-0.27052605,17.002457,0.14260951,1.4144948
0.33000001,-225.82518,359.06616,0.036458377,-0.42559943,0.029893918,-0.27485371,17.105972,0.14402808,1.4226773
0.331,-250.23964,348.12671,0.075688317,-0.42310017,0.042817153,-0.27855867,17.209801,0.14545491,1.431023
0.33199999,-271.79712,333.67874,0.11470351,-0.41659749,0.055736084,-0.28163439,17.313946,0.14689019,1.4395351
0.333,-290.24268,315.85312,0.15308671,-0.40610617,0.068622097,-0.28407577,17.418404,0.14833406,1.4482156
0.33399999,-305.35184,294.82111,0.19042027,-0.39168546,0.081446528,-0.28587925,17.523176,0.14978668,1.4570658
0.33500001,-316.93414,270.79318,0.22629111,-0.37343875,0.094180718,-0.28704271,17.628262,0.15124825,1.4660864
0.336,-324.83667,244.017,0.26029566,-0.35151312,0.10679618,-0.28756562,17.733662,0.15271892,1.4752768
0.33700001,-328.94617,214.77628,0.29204419,-0.32609946,0.11926463,-0.28744891,17.839376,0.15419886,1.4846356
0.338,-329.19177,183.38763,0.32116601,-0.29743063,0.13155812,-0.28669503,17.945406,0.15568824,1.4941605
0.33899999,-325.54642,150.19716,0.34731367,-0.26577955,0.1436491,-0.28530794,18.051748,0.15718724,1.5038483
0.34,-318.02835,115.57813,0.37016767,-0.23145777,0.15551051,-0.28329307,18.158405,0.158696,1.5136956
0.34099999,-306.7019,79.926125,0.38944063,-0.19481203,0.16711585,-0.28065717,18.265377,0.16021468,1.5236981
0.34200001,-291.67752,43.654366,0.40488124,-0.15622087,0.17843927,-0.27740857,18.372662,0.16174345,1.5338511
0.34299999,-273.11179,7.1904526,0.41627833,-0.11609179,0.18945566,-0.27355686,18.480261,0.16328244,1.5441493
0.34400001,-251.20641,-29.029968,0.42346391,-0.074856155,0.20014077,-0.269113,18.588175,0.16483179,1.5545868
0.345,-226.20593,-64.568481,0.42631587,-0.032964844,0.21047121,-0.26408932,18.696404,0.16639166,1.5651573
0.34599999,-198.39693,-98.987892,0.42476115,0.009116075,0.22042456,-0.25849923,18.804945,0.16796215,1.5758544
0.347,-168.104,-131.85924,0.41877684,0.050911285,0.22997944,-0.25235745,18.913801,0.1695434,1.5866717
0.34799999,-135.68646,-162.76721,0.40839157,0.091941528,0.23911555,-0.2456798,19.022972,0.17113553,1.5976022
0.34900001,-101.53576,-191.31435,0.39368713,0.13172883,0.2478137,-0.23848309,19.132456,0.17273864,1.6086396
0.34999999,-66.069954,-217.12793,0.37479782,0.16980289,0.25605592,-0.23078521,19.242254,0.17435285,1.6197768
