"Time","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.162,0.25808957,0.3681764
0.163,0.35922787,0.27040103
0.164,0.42520136,0.14615867
0.16500001,0.44955269,0.007611258
0.16599999,0.42989886,-0.13167909
0.167,0.36816439,-0.25807777
0.168,0.27039281,-0.35921234
0.169,0.14615519,-0.42518345
0.17,0.0076130549,-0.44953403
0.171,-0.13167202,-0.42988116
0.17200001,-0.25806597,-0.36814916
0.17299999,-0.35919675,-0.27038148
0.17399999,-0.42516547,-0.14614874
0.175,-0.44951522,-0.007611989
0.176,-0.42986321,0.1316677
0.177,-0.36813369,0.25805676
0.178,-0.2703698,0.35918364
0.17900001,-0.14614186,0.4251498
0.18000001,-0.0076104393,0.44949859
0.18099999,0.1316639,0.42984727
0.182,0.25804812,0.36812004
0.183,0.35917109,0.27035984
0.184,0.42513472,0.14613654
0.185,0.44948253,0.007610322
0.186,0.42983189,-0.13165879
0.18700001,0.36810693,-0.25803825
0.18799999,0.27035034,-0.35915747
0.189,0.14613166,-0.4251186
0.19,0.0076106177,-0.44946551
0.191,-0.13165329,-0.42981559
0.192,-0.25802806,-0.36809295
0.193,-0.35914347,-0.27034003
0.19400001,-0.42510214,-0.14612603
0.19499999,-0.44944814,-0.0076101781
0.19599999,-0.42979896,0.1316485
0.197,-0.36807865,0.25801849
0.198,-0.27032939,0.35913008
0.199,-0.14612004,0.42508626
0.2,-0.007609407,0.4494313
0.20100001,0.13164403,0.42978284
0.20200001,0.25800925,0.36806479
0.20299999,0.35911703,0.27031916
0.204,0.42507067,0.14611444
0.205,0.44941476,0.007608972
0.206,0.42976695,-0.13163926
0.207,0.36805117,-0.25799972
0.208,0.27030915,-0.35910371
0.20900001,0.14610904,-0.42505485
0.20999999,0.007608742,-0.44939798
0.211,-0.13163428,-0.42975086
0.212,-0.25799003,-0.36803734
0.213,-0.35909021,-0.27029896
0.214,-0.42503884,-0.14610347
0.215,-0.44938105,-0.0076083397
0.21600001,-0.42973462,0.13162947
0.21699999,-0.36802337,0.25798047
0.21799999,-0.27028862,0.35907683
0.219,-0.14609775,0.42502296
0.22,-0.0076077823,0.44936419
0.221,0.13162482,0.42971846
0.222,0.25797105,0.36800948
0.223,0.3590636,0.2702783
0.22400001,0.42500719,0.14609207
0.22499999,0.44934747,0.0076072752
0.226,0.4297024,-0.13162011
0.227,0.36799565,-0.2579616
0.228,0.27026811,-0.35905033
0.229,0.14608647,-0.42499143
0.23,0.0076068374,-0.44933072
0.23100001,-0.13161534,-0.42968631
0.23199999,-0.25795209,-0.36798182
0.233,-0.35903698,-0.27025786
0.234,-0.42497557,-0.14608084
0.235,-0.44931388,-0.0076063606
0.236,-0.42967016,0.1316106
0.237,-0.3679679,0.25794262
0.23800001,-0.27024755,0.35902366
0.23899999,-0.14607513,0.42495972
0.23999999,-0.0076058144,0.44929704
0.241,0.13160594,0.42965397
0.242,0.2579332,0.36795399
0.243,0.35901043,0.27023721
0.244,0.42494392,0.14606941
0.245,0.44928026,0.0076052551
0.24600001,0.42963785,-0.13160127
0.24699999,0.36794007,-0.25792378
0.248,0.27022693,-0.35899717
0.249,0.14606372,-0.42492816
0.25,0.0076047098,-0.44926351
0.25099999,-0.13159661,-0.42962173
0.252,-0.25791436,-0.36792618
0.25299999,-0.3589839,-0.27021661
0.25400001,-0.42491236,-0.14605799
0.255,-0.4492467,-0.007604151
0.25600001,-0.42960557,0.13159196
0.257,-0.36791226,0.25790495
0.25799999,-0.27020627,0.35897067
0.259,-0.14605224,0.42489657
0.25999999,-0.0076035555,0.4492299
0.26100001,0.13158734,0.42958942
0.26199999,0.25789556,0.36789829
0.26300001,0.35895744,0.2701959
0.264,0.42488077,0.14604646
0.26499999,0.44921312,0.0076029357
0.266,0.42957327,-0.13158274
0.26699999,0.36788437,-0.2578862
0.26800001,0.27018553,-0.35894421
0.26899999,0.14604068,-0.42486501
0.27000001,0.0076023112,-0.44919634
0.271,-0.13157815,-0.42955711
0.27200001,-0.25787684,-0.36787042
0.273,-0.35893101,-0.27017516
0.27399999,-0.42484924,-0.1460349
0.27500001,-0.44917953,-0.007601676
0.27599999,-0.42954093,0.13157357
0.27700001,-0.36785644,0.25786749
0.278,-0.27016476,0.3589178
0.27900001,-0.14602908,0.42483348
0.28,-0.0076010148,0.44916275
0.28099999,0.13156901,0.42952475
0.28200001,0.25785816,0.36784247
0.28299999,0.35890463,0.27015433
0.28400001,0.42481771,0.14602324
0.285,0.44914594,0.0076003289
0.28600001,0.42950857,-0.13156448
0.287,0.36782846,-0.25784886
0.28799999,0.2701439,-0.35889146
0.289,0.1460174,-0.42480195
0.28999999,0.0075996323,-0.44912916
0.29100001,-0.13155997,-0.42949241
0.292,-0.25783956,-0.36781448
0.29300001,-0.35887828,-0.27013347
0.294,-0.42478621,-0.14601155
0.29499999,-0.44911239,-0.0075989249
0.296,-0.42947623,0.13155545
0.29699999,-0.36780047,0.25783026
0.29800001,-0.27012303,0.35886511
0.29899999,-0.14600566,0.42477047
0.30000001,-0.0075981938,0.44909561
0.301,0.13155097,0.42946002
0.30199999,0.25782099,0.36778647
0.303,0.35885197,0.27011254
0.30399999,0.42475474,0.14599976
0.30500001,0.4490788,0.0075974395
0.30599999,0.42944384,-0.1315465
0.30700001,0.36777243,-0.25781175
0.308,0.27010208,-0.35883886
0.30899999,0.14599384,-0.424739
0.31,0.007596673,-0.44906202
0.31099999,-0.13154204,-0.42942762
0.31200001,-0.25780252,-0.36775842
0.31299999,-0.35882574,-0.27009159
0.31400001,-0.4247233,-0.14598793
0.315,-0.44904524,-0.0075958939
0.31600001,-0.42941144,0.1315376
0.317,-0.36774439,0.25779328
0.31799999,-0.27008107,0.3588126
0.31900001,-0.14598198,0.42470756
0.31999999,-0.007595093,0.44902846
0.32100001,0.13153318,0.4293952
0.322,0.25778407,0.36773032
0.32300001,0.35879952,0.27007055
0.324,0.42469186,0.14597601
0.32499999,0.44901168,0.0075942678
0.32600001,0.42937899,-0.13152878
0.32699999,0.36771625,-0.25777489
0.32800001,0.27006,-0.35878643
0.329,0.14597003,-0.42467615
0.33000001,0.0075934306,-0.4489949
0.331,-0.1315244,-0.42936277
0.33199999,-0.25776571,-0.36770219
0.333,-0.35877335,-0.27004948
0.33399999,-0.42466047,-0.14596404
0.33500001,-0.44897813,-0.0075925812
0.336,-0.42934656,0.13152002
0.33700001,-0.36768812,0.25775653
0.338,-0.2700389,0.35876027
0.33899999,-0.14595804,0.42464477
0.34,-0.0075917095,0.44896135
0.34099999,0.13151567,0.42933032
0.34200001,0.25774738,0.36767399
0.34299999,0.35874721,0.27002832
0.34400001,0.42462909,0.145952
0.345,0.44894454,0.0075908145
0.34599999,0.42931408,-0.13151133
0.347,0.3676599,-0.25773823
0.34799999,0.27001774,-0.35873419
0.34900001,0.14594595,-0.42461342
0.34999999,0.0075899069,-0.44892779
0.35100001,-0.13150702,-0.42929786
0.352,-0.25772911,-0.3676458
0.35299999,-0.35872117,-0.27000713
0.354,-0.42459774,-0.1459399
0.35499999,-0.44891101,-0.0075889872
0.35600001,-0.42928162,0.13150272
0.35699999,-0.36763167,0.25772002
0.35800001,-0.26999652,0.35870811
0.359,-0.14593382,0.42458209
0.36000001,-0.0075880452,0.44889423
0.361,0.13149843,0.42926535
0.36199999,0.2577109,0.36761755
0.36300001,0.35869512,0.26998588
0.36399999,0.42456642,0.14592773
0.36500001,0.44887745,0.0075870799
0.366,0.42924911,-0.13149416
0.36700001,0.36760339,-0.25770184
0.368,0.26997524,-0.35868213
0.36899999,0.14592162,-0.42455077
0.37,0.007586102,-0.44886068
0.37099999,-0.13148992,-0.42923287
0.37200001,-0.25769278,-0.36758927
0.373,-0.35866913,-0.26996458
0.37400001,-0.42453513,-0.14591549
0.375,-0.44884393,-0.007585112
0.37599999,-0.42921659,0.13148569
0.377,-0.36757511,0.25768372
0.37799999,-0.26995391,0.35865614
0.37900001,-0.14590935,0.42451948
0.38,-0.0075841001,0.44882712
0.38100001,0.13148147,0.42920032
0.382,0.25767469,0.36756092
0.38299999,0.35864317,0.26994321
0.384,0.42450383,0.14590319
0.38499999,0.44881037,0.007583065
0.38600001,0.42918405,-0.13147727
0.38699999,0.36754674,-0.25766566
0.38800001,0.26993251,-0.35863024
0.389,0.14589702,-0.42448822
0.38999999,0.0075820168,-0.44879359
0.391,-0.13147309,-0.42916781
0.39199999,-0.25765669,-0.36753258
0.39300001,-0.35861728,-0.26992181
0.39399999,-0.4244726,-0.14589083
0.39500001,-0.44877684,-0.0075809569
0.396,-0.42915154,0.13146892
0.39700001,-0.36751837,0.25764769
0.398,-0.26991108,0.35860434
0.39899999,-0.14588462,0.42445698
0.40000001,-0.0075798747,0.44876006
0.40099999,0.13146476,0.42913523
0.40200001,0.25763872,0.36750415
0.403,0.35859144,0.26990035
0.40400001,0.42444137,0.14587839
0.405,0.44874328,0.0075787697
0.40599999,0.42911893,-0.13146064
0.40700001,0.36748996,-0.25762975
0.40799999,0.26988959,-0.35857853
0.40900001,0.14587215,-0.42442578
0.41,0.0075776512,-0.44872653
0.41100001,-0.13145652,-0.42910266
0.412,-0.25762081,-0.36747575
0.41299999,-0.35856563,-0.26987883
0.414,-0.42441019,-0.1458659
0.41499999,-0.44870979,-0.007576521
0.41600001,-0.42908636,0.13145243
0.417,-0.3674615,0.25761187
0.41800001,-0.26986805,0.35855272
0.419,-0.14585963,0.42439461
0.41999999,-0.007575368,0.44869301
0.421,0.13144834,0.42907006
0.42199999,0.25760296,0.36744726
0.42300001,0.35853985,0.26985726
0.42399999,0.42437902,0.14585333
0.42500001,0.44867623,0.0075741922
0.426,0.42905375,-0.13144429
0.42699999,0.36743301,-0.25759408
0.428,0.26984644,-0.35852697
0.42899999,0.14584702,-0.42436346
0.43000001,0.0075730034,-0.44865948
0.43099999,-0.13144024,-0.42903745
0.43200001,-0.2575852,-0.36741874
0.433,-0.35851413,-0.26983562
0.43399999,-0.42434788,-0.1458407
0.435,-0.44864273,-0.0075718029
0.43599999,-0.42902115,0.13143621
0.43700001,-0.36740449,0.25757632
0.43799999,-0.2698248,0.35850129
0.43900001,-0.14583437,0.42433232
0.44,-0.0075705801,0.44862595
0.44100001,0.13143219,0.42900482
0.442,0.25756747,0.36739019
0.44299999,0.35848844,0.26981393
0.44400001,0.42431676,0.14582801
0.44499999,0.4486092,0.007569334
0.44600001,0.42898849,-0.13142821
0.447,0.36737591,-0.25755861
0.44800001,0.26980308,-0.35847566
0.449,0.14582163,-0.42430124
0.44999999,0.0075680749,-0.44859245
0.45100001,-0.13142423,-0.42897218
0.45199999,-0.25754979,-0.36736161
0.45300001,-0.35846284,-0.2697922
0.454,-0.42428568,-0.14581525
0.45500001,-0.44857571,-0.0075668041
0.456,-0.42895585,0.13142027
0.45699999,-0.3673473,0.257541
0.458,-0.26978132,0.35845003
0.45899999,-0.14580885,0.42427015
0.46000001,-0.0075655114,0.44855896
0.461,0.13141632,0.42893952
0.46200001,0.25753218,0.36733297
0.463,0.35843724,0.26977041
0.46399999,0.42425463,0.14580242
0.465,0.44854218,0.007564195
0.46599999,0.42892319,-0.1314124
0.46700001,0.36731866,-0.25752342
0.46799999,0.26975951,-0.35842448
0.46900001,0.14579599,-0.4242391
0.47,0.007562866,-0.44852546
0.47099999,-0.1314085,-0.42890686
0.472,-0.25751466,-0.36730433
0.47299999,-0.35841173,-0.26974857
0.47400001,-0.4242236,-0.14578955
0.47499999,-0.44850871,-0.0075615249
0.47600001,-0.4288905,0.13140459
0.477,-0.36728999,0.25750589
0.47799999,-0.26973763,0.35839897
0.479,-0.14578307,0.42420807
0.47999999,-0.0075601619,0.44849196
0.48100001,0.13140072,0.42887414
0.48199999,0.25749716,0.36727563
0.48300001,0.35838622,0.26972666
0.484,0.42419258,0.14577658
0.48500001,0.44847521,0.0075587756
0.486,0.42885777,-0.13139687
0.48699999,0.36726126,-0.25748846
0.48800001,0.26971573,-0.35837349
0.48899999,0.14577009,-0.42417708
0.49000001,0.0075573763,-0.44845846
0.491,-0.13139303,-0.42884144
0.49200001,-0.25747976,-0.3672469
0.493,-0.3583608,-0.26970473
0.49399999,-0.42416161,-0.14576358
0.495,-0.44844174,-0.0075559658
0.49599999,-0.42882508,0.1313892
0.49700001,-0.3672325,0.25747105
0.498,-0.26969373,0.35834807
0.49900001,-0.14575703,0.42414612
0.5,-0.007554533,0.44842499
0.50099999,0.13138539,0.42880869
0.50199997,0.25746238,0.36721811
0.50300002,0.35833538,0.26968274
0.50400001,0.42413065,0.14575048
0.505,0.44840825,0.0075530768
0.50599998,0.42879233,-0.1313816
0.50700003,0.36720371,-0.25745371
0.50800002,0.26967171,-0.35832271
0.509,0.14574392,-0.42411518
0.50999999,0.0075516072,-0.44839153
0.51099998,-0.13137785,-0.42877597
0.51200002,-0.2574451,-0.36718932
0.51300001,-0.35831004,-0.26966068
0.514,-0.42409971,-0.14573734
0.51499999,-0.44837478,-0.0075501264
0.51599997,-0.4287596,0.13137408
0.51700002,-0.36717489,0.25743645
0.51800001,-0.26964962,0.35829738
0.51899999,-0.14573073,0.42408428
0.51999998,-0.0075486228,0.44835803
0.52100003,0.13137034,0.42874321
0.52200001,0.25742784,0.36716047
0.523,0.35828471,0.26963857
0.52399999,0.42406881,0.14572412
0.52499998,0.44834131,0.0075470963
0.52600002,0.42872682,-0.13136663
0.52700001,0.36714604,-0.25741923
0.528,0.26962748,-0.35827208
0.52899998,0.14571749,-0.4240534
0.52999997,0.0075455564,-0.44832459
0.53100002,-0.13136292,-0.42871043
0.53200001,-0.25741068,-0.36713159
0.53299999,-0.35825947,-0.2696164
0.53399998,-0.42403796,-0.14571086
0.53500003,-0.44830784,-0.0075440053
0.53600001,-0.42869404,0.13135923
0.537,-0.36711714,0.25740209
0.53799999,-0.26960531,0.35824683
0.53899997,-0.14570418,0.42402253
0.54000002,-0.0075424318,0.44829112
0.54100001,0.13135555,0.42867765
0.542,0.25739354,0.36710268
0.54299998,0.35823423,0.26959419
0.54400003,0.42400712,0.1456975
0.54500002,0.44827437,0.0075408351
0.546,0.42866123,-0.13135192
0.54699999,0.3670882,-0.25738499
0.54799998,0.26958305,-0.35822165
0.54900002,0.14569081,-0.42399171
0.55000001,0.0075392253,-0.44825765
0.551,-0.13134828,-0.42864484
0.55199999,-0.25737646,-0.36707371
0.55299997,-0.35820907,-0.26957193
0.55400002,-0.4239763,-0.14568411
0.55500001,-0.44824094,-0.0075376038
0.55599999,-0.42862844,0.13134466
0.55699998,-0.36705923,0.25736797
0.55800003,-0.26956078,0.3581965
0.55900002,-0.14567737,0.42396089
0.56,-0.0075359605,0.44822422
0.56099999,0.13134106,0.42861202
0.56199998,0.25735947,0.36704472
0.56300002,0.35818395,0.26954961
0.56400001,0.42394552,0.14567062
0.565,0.4482075,0.0075342939
0.56599998,0.4285956,-0.13133748
0.56699997,0.36703023,-0.25735098
0.56800002,0.26953843,-0.3581714
0.56900001,0.14566386,-0.42393014
0.56999999,0.0075326143,-0.44819078
0.57099998,-0.13133392,-0.42857918
0.57200003,-0.25734255,-0.36701572
0.57300001,-0.35815889,-0.26952723
0.574,-0.42391476,-0.14565709
0.57499999,-0.44817406,-0.007530923
0.57599998,-0.42856276,0.13133036
0.57700002,-0.36700121,0.25733408
0.57800001,-0.26951602,0.35814637
0.579,-0.1456503,0.42389938
0.57999998,-0.0075292094,0.44815734
0.58099997,0.13132682,0.42854634
0.58200002,0.25732565,0.36698666
0.583,0.35813385,0.26950482
0.58399999,0.42388403,0.14564349
0.58499998,0.44814062,0.0075274729
0.58600003,0.42852989,-0.13132332
0.58700001,0.36697212,-0.25731725
0.588,0.26949358,-0.35812137
0.58899999,0.14563666,-0.42386869
0.58999997,0.0075257234,-0.44812393
0.59100002,-0.13131982,-0.42851347
0.59200001,-0.25730884,-0.36695758
0.59299999,-0.35810888,-0.26948234
0.59399998,-0.42385334,-0.14562982
0.59500003,-0.44810721,-0.0075239623
0.59600002,-0.42849705,0.13131633
0.597,-0.366943,0.25730044
0.59799999,-0.26947108,0.35809639
0.59899998,-0.14562297,0.42383799
0.60000002,-0.0075221793,0.44809052
0.60100001,0.13131288,0.4284806
0.602,0.25729206,0.36692843
0.60299999,0.35808393,0.26945978
0.60399997,0.42382264,0.1456161
0.60500002,0.4480738,0.007520373
0.60600001,0.42846414,-0.13130943
0.60699999,0.36691386,-0.25728372
0.60799998,0.26944852,-0.35807151
0.60900003,0.1456092,-0.42380732
0.61000001,0.0075185532,-0.44805712
0.611,-0.13130601,-0.42844769
0.61199999,-0.2572754,-0.36689928
0.61299998,-0.35805905,-0.26943722
0.61400002,-0.423792,-0.1456023
0.61500001,-0.4480404,-0.0075167217
0.616,-0.42843124,0.1313026
0.61699998,-0.36688468,0.25726706
0.61799997,-0.2694259,0.35804662
0.61900002,-0.14559539,0.42377669
0.62,-0.0075148684,0.44802371
0.62099999,0.1312992,0.42841479
0.62199998,0.25725874,0.36687008
0.62300003,0.35803422,0.26941457
0.62400001,0.4237614,0.14558844
0.625,0.44800699,0.0075129918
0.62599999,0.42839831,-0.13129583
0.62699997,0.36685547,-0.25725046
0.62800002,0.26940325,-0.35802183
0.62900001,0.1455815,-0.42374611
0.63,0.0075111017,-0.4479903
0.63099998,-0.13129246,-0.42838186
0.63200003,-0.25724217,-0.36684084
0.63300002,-0.35800943,-0.26939189
0.634,-0.42373082,-0.14557452
0.63499999,-0.44797361,-0.0075092004
0.63599998,-0.42836541,0.13128912
0.63700002,-0.36682621,0.25723392
0.63800001,-0.26938054,0.35799703
0.639,-0.14556755,0.42371553
0.63999999,-0.0075072772,0.44795692
0.64099997,0.13128579,0.42834893
0.64200002,0.25722566,0.36681157
0.64300001,0.35798466,0.26936916
0.64399999,0.42370024,0.14556055
0.64499998,0.44794023,0.0075053307
0.64600003,0.42833245,-0.13128249
0.64700001,0.36679691,-0.25721744
0.648,0.26935777,-0.35797232
0.64899999,0.14555353,-0.42368498
0.64999998,0.0075033708,-0.44792354
0.65100002,-0.1312792,-0.428316
0.65200001,-0.25720921,-0.36678228
0.653,-0.35795999,-0.26934639
0.65399998,-0.42366973,-0.1455465
0.65499997,-0.44790685,-0.0075013996
0.65600002,-0.42829952,0.13127592
0.65700001,-0.36676762,0.25720102
0.65799999,-0.26933497,0.35794765
0.65899998,-0.14553945,0.42365447
0.66000003,-0.0074994066,0.44789016
0.66100001,0.13127267,0.42828301
0.662,0.25719282,0.36675292
0.66299999,0.35793534,0.26932353
0.66399997,0.42363924,0.14553238
0.66500002,0.44787347,0.0074973898
0.66600001,0.42826653,-0.13126944
0.667,0.36673826,-0.25718465
0.66799998,0.26931208,-0.35792303
0.66900003,0.14552529,-0.42362401
0.67000002,0.0074953604,-0.44785681
0.671,-0.13126622,-0.42825004
0.67199999,-0.25717649,-0.36672357
0.67299998,-0.35791075,-0.26930064
0.67400002,-0.42360878,-0.14551821
0.67500001,-0.44784015,-0.0074933195
0.676,-0.42823356,0.131263
0.67699999,-0.36670887,0.25716835
0.67799997,-0.26928917,0.35789844
0.67900002,-0.14551109,0.42359355
0.68000001,-0.0074912566,0.44782346
0.68099999,0.13125981,0.42821705
0.68199998,0.25716022,0.36669415
0.68300003,0.3578862,0.26927769
0.68400002,0.42357832,0.14550395
0.685,0.44780678,0.0074891704
0.68599999,0.42820054,-0.13125665
0.68699998,0.36667943,-0.25715211
0.68800002,0.26926619,-0.35787392
0.68900001,0.14549682,-0.42356312
0.69,0.0074870712,-0.44779012
0.69099998,-0.1312535,-0.42818406
0.69199997,-0.25714403,-0.36666474
0.69300002,-0.3578617,-0.26925471
0.69400001,-0.42354792,-0.14548966
0.69499999,-0.44777346,-0.0074849604
0.69599998,-0.42816755,0.13125037
0.69700003,-0.36664999,0.25713596
0.69800001,-0.26924318,0.35784945
0.699,-0.14548248,0.42353272
0.69999999,-0.0074828281,0.4477568
0.70099998,0.13124724,0.42815101
0.70200002,0.25712788,0.36663523
0.70300001,0.35783723,0.26923165
0.704,0.42351753,0.14547528
0.70499998,0.44774011,0.0074806721
0.70599997,0.4281345,-0.13124415
0.70700002,0.36662048,-0.25711983
0.708,0.26922011,-0.35782501
0.70899999,0.14546809,-0.42350236
0.70999998,0.007478503,-0.44772348
0.71100003,-0.13124107,-0.42811799
0.71200001,-0.25711182,-0.36660576
0.713,-0.35781282,-0.26920855
0.71399999,-0.42348719,-0.14546086
0.71499997,-0.44770682,-0.0074763219
0.71600002,-0.42810148,0.131238
0.71700001,-0.36659098,0.25710377
0.71799999,-0.26919699,0.35780063
0.71899998,-0.14545362,0.42347202
0.72000003,-0.0074741193,0.44769016
0.72100002,0.13123494,0.42808494
0.722,0.25709578,0.36657619
0.72299999,0.35778844,0.26918539
0.72399998,0.42345688,0.14544636
0.72500002,0.4476735,0.0074718934
0.72600001,0.42806843,-0.13123192
0.727,0.36656141,-0.2570878
0.72799999,0.2691738,-0.35777628
0.72899997,0.14543909,-0.42344174
0.73000002,0.0074696545,-0.44765684
0.73100001,-0.13122891,-0.42805189
0.73199999,-0.25707984,-0.36654663
0.73299998,-0.35776415,-0.26916221
0.73400003,-0.4234266,-0.14543182
0.73500001,-0.44764021,-0.0074674035
0.736,-0.42803538,0.1312259
0.73699999,-0.36653185,0.25707185
0.73799998,-0.26915058,0.357752
0.73900002,-0.14542452,0.42341146
0.74000001,-0.0074651316,0.44762355
0.741,0.13122292,0.42801884
