"Time","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmE.idq_sr[1]","loadInertiaM.phi","loadInertiaE.phi","loadInertiaM.w","smpmE.is[2]","vfController.x","smpmE.idq_sr[2]","smpmM.is[2]","smpmE.is[1]","smpmM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.is[1]","smpmE.idq_dr[1]","smpmE.idq_rr[2]","loadInertiaE.w"
1.2076,-0.3116284,-0.46422756,-0.32441303,-44.643986,110.35429,110.35429,154.65141,-1.1624031,222.2991,11.315925,-1.161746,-39.291576,0.0015908662,-39.297104,1.1952635,-11.12711,154.65143
1.2077,-0.30128595,-0.46422267,-0.33400404,-44.697498,110.36975,110.36975,154.62291,-2.2769568,222.33051,11.656206,-2.2763004,-38.816643,0.0015458466,-38.82225,1.2367654,-11.378378,154.62291
1.2078,-0.29064819,-0.46421763,-0.34326479,-44.752441,110.38521,110.38521,154.59447,-3.3960466,222.36192,11.999619,-3.3954041,-38.319836,0.0014998176,-38.325638,1.2793407,-11.631426,154.59448
1.2079,-0.27972576,-0.46421239,-0.35218623,-44.808819,110.40067,110.40067,154.56613,-4.5194206,222.39334,12.346158,-4.5187969,-37.801174,0.0014527721,-37.807159,1.3229923,-11.88624,154.56615
1.2079999,-0.26852947,-0.46420699,-0.36075965,-44.866638,110.41612,110.41612,154.53787,-5.6468244,222.42476,12.695811,-5.6462164,-37.260677,0.0014047031,-37.266773,1.3677225,-12.142807,154.53789
1.2081,-0.25707048,-0.46420142,-0.36897665,-44.925907,110.43158,110.43157,154.5097,-6.7780027,222.45618,13.048573,-6.777389,-36.698353,0.0013556038,-36.704418,1.4135333,-12.401114,154.5097
1.2082,-0.24535997,-0.46419564,-0.37682909,-44.986637,110.44703,110.44702,154.48161,-7.9126954,222.48759,13.404434,-7.9121308,-36.114204,0.001305467,-36.120434,1.4604263,-12.661146,154.48163
1.2083,-0.23340964,-0.46418971,-0.38430932,-45.048824,110.46247,110.46247,154.45361,-9.0506392,222.51901,13.763388,-9.0501318,-35.508228,0.0012542859,-35.514618,1.5084018,-12.922893,154.45363
1.2084,-0.22123133,-0.46418354,-0.39141005,-45.11248,110.47791,110.47791,154.4257,-10.191565,222.55043,14.125426,-10.191111,-34.880417,0.0012020539,-34.886936,1.5574598,-13.18634,154.42572
1.2085,-0.20883712,-0.46417719,-0.3981244,-45.177605,110.49335,110.49335,154.39789,-11.335196,222.58183,14.490541,-11.334768,-34.230759,0.0011487638,-34.23732,1.6076,-13.451477,154.39789
1.2086,-0.19623926,-0.46417063,-0.40444571,-45.244202,110.5088,110.5088,154.37016,-12.481252,222.61325,14.858727,-12.480846,-33.559231,0.0010944093,-33.565804,1.658821,-13.718289,154.37016
1.2086999,-0.18345015,-0.46416387,-0.41036779,-45.312279,110.52423,110.52423,154.34251,-13.629441,222.64467,15.229974,-13.629124,-32.865814,0.0010389836,-32.87252,1.7111216,-13.986766,154.34253
1.2088,-0.1704825,-0.4641569,-0.41588491,-45.381832,110.53967,110.53967,154.31497,-14.779464,222.67609,15.604276,-14.779238,-32.150482,0.00098247989,-32.15731,1.7644991,-14.256894,154.31497
1.2089,-0.15734914,-0.46414971,-0.42099175,-45.452862,110.55509,110.55509,154.28752,-15.93101,222.7075,15.981625,-15.930852,-31.413214,0.00092489179,-31.420118,1.8189507,-14.528662,154.28752
1.209,-0.1440631,-0.46414232,-0.42568332,-45.525375,110.57052,110.57052,154.26016,-17.083759,222.73892,16.362015,-17.083609,-30.653976,0.00086621277,-30.660864,1.8744731,-14.802055,154.26016
1.2091,-0.13063744,-0.46413469,-0.42995498,-45.599365,110.58595,110.58595,154.23289,-18.237381,222.77034,16.745436,-18.237314,-29.872747,0.00080643629,-29.8797,1.9310623,-15.077065,154.23289
1.2092,-0.11708544,-0.46412683,-0.43380263,-45.674835,110.60137,110.60136,154.20572,-19.391525,222.80176,17.131884,-19.391582,-29.069498,0.00074555597,-29.076548,1.988714,-15.353677,154.20572
1.2093,-0.10342053,-0.46411875,-0.4372226,-45.751781,110.61679,110.61678,154.17863,-20.545837,222.83316,17.521349,-20.546005,-28.244204,0.00068356539,-28.251331,2.0474229,-15.631879,154.17863
1.2094001,-0.089656226,-0.4641104,-0.44021159,-45.830204,110.6322,110.6322,154.15166,-21.699942,222.86458,17.913822,-21.700172,-27.396843,0.00062045822,-27.403996,2.1071835,-15.911658,154.15166
1.2095,-0.075806133,-0.46410185,-0.44276676,-45.910095,110.64762,110.64761,154.12477,-22.853453,222.896,18.309298,-22.853697,-26.527395,0.00055622822,-26.534523,2.1679897,-16.193005,154.12477
1.2096,-0.061883856,-0.46409303,-0.44488549,-45.991459,110.66303,110.66302,154.09799,-24.005964,222.92741,18.707767,-24.006355,-25.635847,0.00049086922,-25.643038,2.2298353,-16.475903,154.09799
1.2097,-0.047903195,-0.46408397,-0.44656593,-46.074287,110.67844,110.67844,154.0713,-25.157057,222.95883,19.109222,-25.157595,-24.722191,0.00042437494,-24.729437,2.2927127,-16.760342,154.0713
1.2098,-0.033877969,-0.46407464,-0.44780648,-46.158577,110.69384,110.69384,154.04472,-26.306292,222.99025,19.513653,-26.306948,-23.786427,0.00035673933,-23.793703,2.3566144,-17.046309,154.04471
1.2099,-0.019822031,-0.46406507,-0.44860607,-46.244324,110.70924,110.70924,154.01823,-27.453213,223.02167,19.921053,-27.453897,-22.828558,0.00028795627,-22.835815,2.4215326,-17.33379,154.01822
1.21,-0.0057492284,-0.46405524,-0.44896385,-46.331516,110.72465,110.72465,153.99185,-28.597349,223.05309,20.331413,-28.59812,-21.848604,0.00021801976,-21.855854,2.4874585,-17.622774,153.99184
1.2101001,0.0083265584,-0.46404514,-0.4488796,-46.420155,110.74004,110.74004,153.96556,-29.738203,223.08449,20.744724,-29.739149,-20.846586,0.00014692388,-20.853857,2.5543835,-17.913246,153.96555
1.2102,0.022391424,-0.46403477,-0.4483535,-46.510231,110.75544,110.75544,153.93938,-30.875263,223.11591,21.160975,-30.876371,-19.822542,7.4662661e-05,-19.829824,2.622298,-18.205193,153.93936
1.2103,0.036431488,-0.46402413,-0.44738621,-46.601734,110.77084,110.77083,153.9133,-32.007999,223.14732,21.580158,-32.009205,-18.776524,1.2302713e-06,-18.783794,2.6911922,-18.498602,153.91328
