"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","powerSensor.flange_a.phi","loadInertia.w","PI.x"
4.5025001,-1.3381296,-6.4730649,-5.1466031,-6.5425677,-0.18926802,0.15852635,707.08044,157.0416,0.68066353
4.5026002,-1.078416,-6.6357999,-5.1465468,-6.5426121,-0.18927586,0.15853035,707.09619,157.04158,0.7350353
4.5026999,-0.81763732,-6.7919855,-5.1464901,-6.5426569,-0.18928421,0.15853477,707.11188,157.04155,0.79140359
4.5028,-0.55605102,-6.9414687,-5.1464329,-6.5427022,-0.18929309,0.15853962,707.12756,157.04152,0.84975809
4.5029001,-0.29391512,-7.0841012,-5.1463747,-6.542748,-0.18930253,0.15854493,707.14331,157.04149,0.91008866
4.5029998,-0.031488374,-7.2197428,-5.1463161,-6.5427942,-0.18931256,0.15855071,707.159,157.04146,0.97238481
4.5030999,0.23097023,-7.3482585,-5.1462569,-6.542841,-0.18932317,0.15855694,707.17468,157.04143,1.0366362
4.5032001,0.4932017,-7.469523,-5.1461973,-6.5428886,-0.18933442,0.15856367,707.19037,157.0414,1.1028323
4.5033002,0.75494725,-7.583415,-5.1461368,-6.5429363,-0.1893463,0.1585709,707.20612,157.04137,1.1709629
4.5033998,1.0159485,-7.6898232,-5.1460757,-6.5429845,-0.18935883,0.15857865,707.2218,157.04134,1.2410177
4.5035,1.275948,-7.7886415,-5.1460137,-6.5430336,-0.18937203,0.15858693,707.23749,157.04129,1.312986
4.5036001,1.5346891,-7.8797731,-5.1459513,-6.5430827,-0.18938594,0.15859576,707.25323,157.04126,1.3868575
4.5036998,1.7919164,-7.9631276,-5.1458879,-6.5431328,-0.18940055,0.15860513,707.26892,157.04123,1.4626218
4.5037999,2.0473759,-8.0386229,-5.145824,-6.5431838,-0.1894159,0.15861507,707.28461,157.04118,1.5402684
4.5039001,2.3008156,-8.106184,-5.1457591,-6.5432348,-0.18943201,0.15862559,707.30029,157.04115,1.619787
4.5040002,2.5519855,-8.1657448,-5.1456933,-6.5432868,-0.18944888,0.1586367,707.31604,157.04111,1.701167
4.5040998,2.8006375,-8.2172461,-5.145627,-6.5433393,-0.18946654,0.15864842,707.33173,157.04106,1.7843982
4.5042,3.046526,-8.2606363,-5.1455598,-6.5433922,-0.189485,0.15866075,707.34741,157.04103,1.8694699
4.5043001,3.2894087,-8.2958736,-5.1454916,-6.5434461,-0.1895043,0.15867372,707.36316,157.04099,1.9563717
4.5043998,3.5290456,-8.3229227,-5.1454225,-6.5435004,-0.18952444,0.15868732,707.37885,157.04094,2.0450931
4.5044999,3.7652001,-8.3417568,-5.1453524,-6.5435557,-0.18954545,0.15870158,707.39453,157.04089,2.1356237
4.5046,3.9976392,-8.3523569,-5.1452818,-6.5436115,-0.18956734,0.1587165,707.41028,157.04085,2.227953
4.5047002,4.2261333,-8.3547125,-5.1452098,-6.5436678,-0.18959014,0.1587321,707.42596,157.0408,2.3220706
4.5047998,4.4504571,-8.3488216,-5.1451373,-6.543725,-0.18961386,0.15874837,707.44165,157.04074,2.4179657
4.5049,4.6703887,-8.3346891,-5.1450634,-6.5437832,-0.18963853,0.15876536,707.45734,157.0407,2.5156281
4.5050001,4.8857117,-8.3123302,-5.1449885,-6.5438418,-0.18966414,0.15878305,707.47308,157.04065,2.6150472
4.5050998,5.0962129,-8.281765,-5.1449127,-6.5439014,-0.18969075,0.15880147,707.48877,157.04059,2.7162125
4.5051999,5.3016844,-8.2430258,-5.1448359,-6.5439615,-0.18971835,0.15882061,707.50446,157.04054,2.8191135
4.5053,5.5019236,-8.1961489,-5.1447582,-6.5440226,-0.18974696,0.15884049,707.5202,157.04048,2.9237397
4.5054002,5.6967325,-8.141181,-5.1446791,-6.5440841,-0.18977661,0.15886113,707.53589,157.04044,3.0300803
4.5054998,5.8859191,-8.0781755,-5.144599,-6.5441465,-0.18980733,0.15888253,707.55157,157.04037,3.1381252
4.5056,6.0692964,-8.0071964,-5.1445179,-6.54421,-0.18983911,0.1589047,707.56732,157.04031,3.247864
4.5057001,6.2466831,-7.9283118,-5.1444359,-6.5442743,-0.18987198,0.15892766,707.58301,157.04025,3.3592856
4.5057998,6.4179044,-7.8416004,-5.144352,-6.5443392,-0.18990597,0.15895142,707.59869,157.04021,3.4723802
4.5058999,6.5827909,-7.7471476,-5.1442676,-6.544405,-0.18994109,0.15897596,707.61438,157.04015,3.5871365
4.506,6.7411795,-7.6450458,-5.1441817,-6.5444717,-0.18997738,0.15900134,707.63013,157.04008,3.7035446
4.5061002,6.8929148,-7.5353966,-5.1440945,-6.5445395,-0.19001481,0.15902752,707.64581,157.04001,3.8215935
4.5061998,7.0378456,-7.4183073,-5.1440063,-6.5446076,-0.19005345,0.15905455,707.6615,157.03995,3.9412727
4.5063,7.1758294,-7.2938938,-5.1439166,-6.5446773,-0.19009328,0.15908241,707.67725,157.03989,4.0625725
4.5064001,7.3067298,-7.1622791,-5.143826,-6.5447474,-0.19013435,0.15911113,707.69293,157.03983,4.1854811
4.5064998,7.4304175,-7.0235925,-5.1437335,-6.5448184,-0.19017667,0.15914071,707.70862,157.03975,4.309989
4.5065999,7.5467701,-6.8779707,-5.14364,-6.5448904,-0.19022024,0.15917115,707.7243,157.03969,4.4360852
4.5067,7.6556726,-6.7255573,-5.1435456,-6.5449634,-0.19026509,0.15920249,707.74005,157.03961,4.5637589
4.5068002,7.7570176,-6.566503,-5.1434493,-6.5450373,-0.19031125,0.1592347,707.75574,157.03955,4.6929998
4.5068998,7.8507047,-6.4009647,-5.1433516,-6.5451117,-0.19035874,0.15926781,707.77142,157.03947,4.8237977
4.507,7.9366407,-6.2291059,-5.1432528,-6.5451875,-0.19040757,0.15930185,707.78717,157.0394,4.9561415
4.5071001,8.0147419,-6.0510955,-5.1431522,-6.5452642,-0.19045775,0.15933678,707.80286,157.03932,5.0900211
4.5071998,8.0849304,-5.8671093,-5.1430507,-6.545342,-0.19050932,0.15937264,707.81854,157.03925,5.2254257
4.5072999,8.1471367,-5.6773295,-5.1429472,-6.5454206,-0.19056228,0.15940945,707.83429,157.03918,5.3623452
4.5074,8.2012987,-5.4819427,-5.1428428,-6.5455003,-0.19061665,0.15944718,707.84998,157.03911,5.5007687
4.5075002,8.247364,-5.2811413,-5.1427364,-6.5455809,-0.19067247,0.15948588,707.86566,157.03902,5.6406851
4.5075998,8.2852859,-5.0751243,-5.1426287,-6.5456624,-0.19072974,0.15952551,707.88135,157.03894,5.7820849
4.5077,8.3150272,-4.8640947,-5.1425195,-6.5457449,-0.19078848,0.15956613,707.89709,157.03886,5.9249568
4.5078001,8.3365583,-4.6482611,-5.1424084,-6.5458283,-0.19084871,0.15960772,707.91278,157.03879,6.0692902
4.5079002,8.3498573,-4.4278355,-5.1422958,-6.5459132,-0.19091046,0.1596503,707.92847,157.0387,6.2150755
4.5079999,8.3549118,-4.2030368,-5.1421819,-6.5459991,-0.19097373,0.15969387,707.94421,157.03862,6.3623013
4.5081,8.351717,-3.9740856,-5.1420665,-6.5460858,-0.19103855,0.15973844,707.9599,157.03853,6.5109572
4.5082002,8.3402739,-3.7412086,-5.1419492,-6.5461736,-0.19110495,0.15978402,707.97559,157.03845,6.6610327
4.5082998,8.3205957,-3.5046356,-5.14183,-6.5462623,-0.19117293,0.15983061,707.99127,157.03836,6.8125176
4.5084,8.2926998,-3.2646,-5.1417093,-6.5463524,-0.1912425,0.15987824,708.00702,157.03828,6.9654007
4.5085001,8.2566156,-3.0213389,-5.1415873,-6.5464435,-0.19131371,0.15992688,708.02271,157.03819,7.1196723
4.5086002,8.2123766,-2.7750921,-5.1414628,-6.5465355,-0.19138657,0.15997657,708.03839,157.0381,7.275321
4.5086999,8.1600275,-2.5261033,-5.1413374,-6.5466285,-0.19146107,0.16002731,708.05414,157.03801,7.4323363
4.5088,8.0996199,-2.2746177,-5.1412096,-6.5467229,-0.19153726,0.16007912,708.06982,157.03792,7.5907087
4.5089002,8.0312128,-2.0208838,-5.1410804,-6.5468183,-0.19161513,0.16013198,708.08551,157.03783,7.7504268
4.5089998,7.9548731,-1.7651522,-5.1409492,-6.5469151,-0.19169474,0.16018592,708.1012,157.03773,7.9114804
4.5091,7.870677,-1.5076753,-5.1408162,-6.5470123,-0.19177608,0.16024093,708.11694,157.03764,8.0738583
4.5092001,7.778707,-1.2487075,-5.1406813,-6.5471115,-0.19185917,0.16029704,708.13263,157.03754,8.2375507
4.5093002,7.6790533,-0.98850441,-5.1405449,-6.5472112,-0.19194402,0.16035423,708.14832,157.03745,8.4025478
4.5093999,7.571815,-0.727323,-5.1404066,-6.5473123,-0.19203067,0.16041254,708.16406,157.03735,8.5688372
4.5095,7.4570975,-0.46542117,-5.1402659,-6.5474148,-0.19211912,0.16047195,708.17975,157.03725,8.7364092
4.5096002,7.3350139,-0.20305757,-5.1401238,-6.5475183,-0.19220941,0.16053247,708.19543,157.03716,8.9052544
4.5096998,7.2056842,0.059508674,-5.1399794,-6.5476227,-0.19230153,0.16059412,708.21112,157.03705,9.0753603
4.5098,7.0692363,0.32201824,-5.1398335,-6.5477285,-0.19239551,0.16065691,708.22687,157.03696,9.2467175
4.5099001,6.9258051,0.58421183,-5.1396852,-6.5478358,-0.19249137,0.16072084,708.24255,157.03685,9.4193163
4.5100002,6.7755318,0.8458305,-5.139535,-6.5479441,-0.19258913,0.16078593,708.25824,157.03674,9.5931444
4.5100999,6.6185646,1.1066158,-5.1393828,-6.5480533,-0.19268881,0.16085216,708.27399,157.03664,9.7681923
4.5102,6.4550581,1.3663101,-5.1392288,-6.5481639,-0.1927904,0.16091956,708.28967,157.03653,9.9444494
4.5103002,6.2851744,1.6246569,-5.1390724,-6.5482759,-0.19289397,0.16098812,708.30536,157.03642,10.121905
4.5103998,6.1090803,1.8814009,-5.1389141,-6.548389,-0.19299948,0.16105787,708.32111,157.03632,10.30055
4.5105,5.9269505,2.1362886,-5.1387539,-6.5485034,-0.19310698,0.1611288,708.33679,157.03621,10.480371
4.5106001,5.7389641,2.3890679,-5.1385913,-6.5486193,-0.19321649,0.16120093,708.35248,157.0361,10.661362
4.5107002,5.5453067,2.6394894,-5.1384268,-6.5487361,-0.19332799,0.16127425,708.36816,157.036,10.843508
4.5107999,5.3461695,2.8873053,-5.1382604,-6.5488544,-0.19344155,0.16134878,708.38391,157.03589,11.0268
4.5109,5.1417489,3.1322711,-5.1380916,-6.5489736,-0.19355716,0.16142452,708.3996,157.03577,11.211228
4.5110002,4.9322476,3.3741443,-5.1379204,-6.5490942,-0.19367482,0.1615015,708.41528,157.03566,11.396782
4.5110998,4.7178712,3.6126862,-5.1377473,-6.5492163,-0.19379458,0.16157968,708.43103,157.03555,11.58345
4.5112,4.4988322,3.8476608,-5.1375718,-6.5493398,-0.19391643,0.16165912,708.44672,157.03543,11.771224
4.5113001,4.2753468,4.078836,-5.137394,-6.5494642,-0.19404039,0.1617398,708.4624,157.03532,11.960091
4.5114002,4.0476351,4.3059835,-5.1372142,-6.5495901,-0.1941665,0.16182172,708.47809,157.0352,12.150042
4.5114999,3.8159227,4.5288782,-5.137032,-6.5497174,-0.19429474,0.16190492,708.49384,157.03508,12.341066
4.5116,3.5804381,4.7473006,-5.136848,-6.5498462,-0.19442515,0.16198936,708.50952,157.03496,12.533154
4.5117002,3.3414137,4.9610338,-5.1366611,-6.5499759,-0.19455774,0.16207509,708.52521,157.03485,12.726293
4.5117998,3.0990858,5.169867,-5.1364722,-6.550107,-0.19469252,0.16216208,708.54095,157.03473,12.920474
4.5118999,2.8536937,5.3735943,-5.136281,-6.5502396,-0.19482951,0.16225037,708.55664,157.03461,13.115686
4.5120001,2.6054797,5.5720129,-5.1360874,-6.5503736,-0.19496873,0.16233996,708.57233,157.03448,13.311921
4.5121002,2.3546889,5.7649279,-5.1358914,-6.550509,-0.19511019,0.16243085,708.58801,157.03436,13.509167
4.5121999,2.1015694,5.9521475,-5.1356931,-6.5506458,-0.19525391,0.16252303,708.60376,157.03424,13.707412
4.5123,1.8463709,6.1334872,-5.1354923,-6.5507841,-0.19539988,0.16261655,708.61945,157.03412,13.906648
4.5124002,1.5893458,6.3087678,-5.1352892,-6.5509233,-0.19554815,0.16271138,708.63513,157.03398,14.106863
4.5124998,1.3307478,6.4778152,-5.1350832,-6.5510645,-0.19569871,0.16280754,708.65088,157.03386,14.308048
4.5125999,1.0708326,6.6404624,-5.1348753,-6.5512066,-0.19585158,0.16290504,708.66656,157.03374,14.510192
4.5127001,0.80985683,6.7965488,-5.134665,-6.5513506,-0.19600679,0.16300388,708.68225,157.0336,14.713285
4.5128002,0.54807854,6.9459195,-5.1344519,-6.5514956,-0.19616432,0.16310407,708.69794,157.03348,14.917316
4.5128999,0.28575635,7.0884275,-5.1342368,-6.5516419,-0.19632421,0.16320562,708.71368,157.03334,15.122276
4.513,0.023149468,7.2239308,-5.1340189,-6.5517902,-0.19648647,0.16330855,708.72937,157.03322,15.328154
4.5131001,-0.23948252,7.3522959,-5.1337986,-6.5519395,-0.19665112,0.16341284,708.74506,157.03308,15.534938
4.5131998,-0.50188011,7.4733953,-5.1335754,-6.5520906,-0.19681814,0.1635185,708.7608,157.03296,15.74262
4.5132999,-0.76378387,7.5871096,-5.1333504,-6.5522428,-0.19698757,0.16362557,708.77649,157.03282,15.951189
4.5134001,-1.024935,7.6933255,-5.1331224,-6.5523968,-0.19715942,0.16373402,708.79218,157.03268,16.160635
4.5135002,-1.2850752,7.7919383,-5.1328917,-6.5525522,-0.19733371,0.16384387,708.80786,157.03255,16.370947
4.5135999,-1.5439476,7.8828502,-5.1326585,-6.5527091,-0.19751042,0.16395512,708.82361,157.03242,16.582117
4.5137,-1.801296,7.9659715,-5.1324229,-6.5528674,-0.19768959,0.16406779,708.83929,157.03229,16.794132
4.5138001,-2.0568659,8.0412188,-5.1321845,-6.5530272,-0.19787122,0.16418187,708.85498,157.03215,17.006983
4.5138998,-2.310405,8.1085186,-5.1319437,-6.5531883,-0.19805534,0.16429737,708.87067,157.03201,17.220661
4.5139999,-2.5616624,8.1678038,-5.1317005,-6.5533509,-0.19824193,0.16441432,708.88641,157.03188,17.435154
4.5141001,-2.8103898,8.2190151,-5.1314545,-6.5535154,-0.19843103,0.16453271,708.9021,157.03174,17.650452
4.5142002,-3.0563409,8.2621012,-5.1312056,-6.5536814,-0.19862263,0.16465253,708.91779,157.03159,17.866547
4.5142999,-3.2992728,8.2970209,-5.1309543,-6.5538487,-0.19881675,0.16477381,708.93353,157.03145,18.083426
4.5144,-3.538945,8.3237381,-5.1307001,-6.5540175,-0.1990134,0.16489655,708.94922,157.03131,18.301079
4.5145001,-3.7751205,8.342227,-5.1304431,-6.5541883,-0.19921258,0.16502075,708.9649,157.03117,18.519499
4.5145998,-4.007566,8.3524685,-5.1301837,-6.5543604,-0.19941431,0.16514644,708.98059,157.03102,18.738674
4.5146999,-4.2360511,8.3544521,-5.1299214,-6.554534,-0.19961859,0.16527359,708.99634,157.03088,18.958593
4.5148001,-4.46035,8.348176,-5.1296568,-6.554709,-0.19982545,0.16540223,709.01202,157.03075,19.179247
4.5149002,-4.6802411,8.3336458,-5.1293893,-6.5548859,-0.20003487,0.16553237,709.02771,157.03059,19.400627
4.5149999,-4.8955064,8.3108759,-5.1291189,-6.5550642,-0.20024687,0.165664,709.04346,157.03046,19.622721
4.5151,-5.1059332,8.2798891,-5.1288462,-6.555244,-0.20046148,0.16579714,709.05914,157.0303,19.84552
4.5152001,-5.3113132,8.2407141,-5.1285701,-6.5554256,-0.20067868,0.16593179,709.07483,157.03015,20.069014
4.5152998,-5.5114431,8.1933908,-5.1282916,-6.5556087,-0.20089848,0.16606794,709.09052,157.03001,20.293194
4.5153999,-5.7061248,8.1379662,-5.1280103,-6.5557933,-0.2011209,0.16620561,709.10626,157.02986,20.518049
4.5155001,-5.8951659,8.0744934,-5.1277261,-6.5559797,-0.20134594,0.16634482,709.12195,157.02971,20.74357
4.5156002,-6.0783792,8.0030355,-5.1274395,-6.5561676,-0.20157361,0.16648555,709.13763,157.02956,20.969746
4.5156999,-6.2555828,7.9236631,-5.1271501,-6.5563574,-0.20180392,0.16662782,709.15338,157.02942,21.196569
4.5158,-6.4266019,7.8364544,-5.1268573,-6.5565486,-0.20203686,0.16677164,709.16907,157.02927,21.424026
4.5159001,-6.5912671,7.7414956,-5.1265621,-6.5567412,-0.20227246,0.166917,709.18475,157.02911,21.652111
4.5159998,-6.7494154,7.6388798,-5.1262641,-6.5569358,-0.2025107,0.16706392,709.20044,157.02896,21.880812
4.5160999,-6.9008899,7.5287089,-5.1259632,-6.5571318,-0.20275161,0.1672124,709.21619,157.02881,22.110119
4.5162001,-7.0455403,7.4110909,-5.1256599,-6.5573297,-0.20299517,0.16736245,709.23187,157.02866,22.340021
4.5163002,-7.1832242,7.2861423,-5.1253533,-6.5575294,-0.20324141,0.16751407,709.24756,157.0285,22.570513
4.5163999,-7.3138051,7.1539869,-5.1250439,-6.5577302,-0.20349032,0.16766725,709.26324,157.02835,22.80158
4.5165,-7.4371529,7.0147548,-5.124732,-6.5579333,-0.20374189,0.16782203,709.27899,157.0282,23.033216
4.5166001,-7.5531454,6.8685827,-5.1244168,-6.5581379,-0.20399615,0.16797841,709.29468,157.02805,23.265411
4.5166998,-7.6616688,6.7156167,-5.1240993,-6.5583439,-0.20425309,0.16813636,709.31036,157.02788,23.498154
4.5167999,-7.7626143,6.5560064,-5.1237783,-6.5585518,-0.20451273,0.1682959,709.32611,157.02773,23.731436
4.5169001,-7.8558822,6.3899097,-5.123455,-6.5587616,-0.20477508,0.16845705,709.3418,157.02757,23.965248
4.5170002,-7.94138,6.2174916,-5.1231284,-6.5589728,-0.20504011,0.1686198,709.35748,157.0274,24.199581
4.5170999,-8.0190229,6.0389214,-5.1227994,-6.5591855,-0.20530784,0.16878414,709.37317,157.02725,24.434425
4.5172,-8.0887337,5.8543763,-5.122467,-6.5594006,-0.20557827,0.16895011,709.38892,157.0271,24.669769
4.5173001,-8.150444,5.6640382,-5.1221323,-6.5596166,-0.20585141,0.16911769,709.4046,157.02693,24.905605
4.5173998,-8.204092,5.4680958,-5.1217942,-6.559835,-0.20612724,0.16928689,709.42029,157.02678,25.141926
4.5174999,-8.2496233,5.2667422,-5.1214538,-6.5600548,-0.20640579,0.16945772,709.43597,157.02661,25.378717
4.5176001,-8.286994,5.0601764,-5.12111,-6.5602765,-0.20668703,0.16963018,709.45172,157.02646,25.615973
4.5177002,-8.3161669,4.8486032,-5.1207638,-6.5604997,-0.20697099,0.16980428,709.46741,157.02629,25.853683
4.5177999,-8.3371115,4.6322312,-5.1204143,-6.5607247,-0.20725766,0.16997999,709.48309,157.02614,26.091841
4.5179,-8.3498087,4.4112749,-5.1200624,-6.5609512,-0.20754702,0.17015736,709.49884,157.02597,26.330433
4.5180001,-8.3542442,4.1859522,-5.1197071,-6.5611801,-0.20783912,0.17033637,709.51453,157.02582,26.56945
4.5180998,-8.3504143,3.956486,-5.119349,-6.5614104,-0.20813389,0.17051701,709.53021,157.02565,26.808887
4.5181999,-8.3383217,3.7231035,-5.1189885,-6.5616422,-0.20843139,0.17069931,709.5459,157.02548,27.048733
4.5183001,-8.3179779,3.4860356,-5.1186247,-6.5618763,-0.20873159,0.17088327,709.56165,157.02533,27.288979
4.5184002,-8.2894049,3.2455163,-5.118258,-6.5621119,-0.20903449,0.17106888,709.57733,157.02516,27.529613
4.5184999,-8.2526283,3.0017841,-5.1178885,-6.5623488,-0.20934011,0.17125614,709.59302,157.02499,27.770632
4.5186,-8.2076855,2.7550795,-5.1175165,-6.5625882,-0.20964845,0.17144506,709.6087,157.02483,28.012022
4.5187001,-8.1546202,2.5056467,-5.1171412,-6.562829,-0.20995948,0.17163564,709.62445,157.02467,28.253778
4.5187998,-8.0934849,2.2537329,-5.1167631,-6.5630717,-0.21027321,0.17182788,709.64014,157.02451,28.495888
4.5188999,-8.0243397,1.9995867,-5.1163821,-6.5633159,-0.21058963,0.17202179,709.65582,157.02434,28.738344
4.5190001,-7.9472532,1.7434601,-5.1159983,-6.5635619,-0.21090876,0.17221737,709.67157,157.02417,28.981136
4.5191002,-7.8623013,1.4856061,-5.1156116,-6.5638099,-0.21123058,0.17241463,709.68726,157.024,29.224258
4.5191998,-7.7695675,1.2262801,-5.115222,-6.5640597,-0.21155508,0.17261355,709.70294,157.02383,29.467701
4.5193,-7.6691437,0.96573853,-5.1148295,-6.564311,-0.21188226,0.17281413,709.71863,157.02367,29.711454
4.5194001,-7.5611286,0.70423943,-5.1144342,-6.5645647,-0.21221213,0.1730164,709.73438,157.0235,29.955511
4.5194998,-7.4456296,0.44204152,-5.1140361,-6.5648198,-0.21254468,0.17322034,709.75006,157.02335,30.199862
4.5195999,-7.3227601,0.17940429,-5.1136351,-6.5650764,-0.2128799,0.17342596,709.76575,157.02318,30.444496
4.5197001,-7.1926417,-0.083412327,-5.1132312,-6.5653353,-0.21321778,0.17363325,709.78143,157.02301,30.689409
4.5198002,-7.0554037,-0.34614816,-5.1128244,-6.5655956,-0.21355832,0.17384222,709.79718,157.02284,30.934591
4.5198998,-6.9111805,-0.6085431,-5.1124153,-6.5658579,-0.21390152,0.17405286,709.81287,157.02266,31.180033
4.52,-6.7601156,-0.87033749,-5.1120028,-6.5661216,-0.21424738,0.17426519,709.82855,157.02249,31.425726
4.5201001,-6.6023579,-1.1312721,-5.1115875,-6.5663877,-0.21459588,0.1744792,709.84424,157.02232,31.671663
4.5201998,-6.4380636,-1.3910886,-5.1111698,-6.5666552,-0.21494704,0.1746949,709.85999,157.02216,31.917835
4.5202999,-6.267395,-1.6495297,-5.1107488,-6.5669246,-0.21530083,0.17491226,709.87567,157.02199,32.164234
4.5204,-6.0905209,-1.9063395,-5.1103253,-6.5671959,-0.21565725,0.17513131,709.89136,157.02182,32.410854
4.5205002,-5.9076161,-2.1612639,-5.1098986,-6.5674686,-0.21601631,0.17535202,709.9071,157.02165,32.657684
4.5205998,-5.7188621,-2.4140503,-5.1094694,-6.5677433,-0.21637796,0.17557442,709.92279,157.02148,32.904716
4.5207,-5.5244446,-2.6644483,-5.1090374,-6.5680199,-0.21674223,0.17579851,709.93848,157.02132,33.151943
4.5208001,-5.3245568,-2.91221,-5.1086025,-6.5682983,-0.21710911,0.17602426,709.95416,157.02115,33.399357
4.5208998,-5.1193962,-3.1570902,-5.1081653,-6.5685787,-0.21747857,0.17625169,709.96991,157.02097,33.64695
4.5209999,-4.9091659,-3.3988461,-5.1077247,-6.5688605,-0.21785063,0.1764808,709.9856,157.0208,33.894711
4.5211,-4.6940732,-3.6372383,-5.1072817,-6.5691442,-0.21822526,0.17671157,710.00128,157.02063,34.142639
4.5212002,-4.4743319,-3.8720305,-5.1068358,-6.5694299,-0.21860245,0.17694402,710.01697,157.02046,34.39072
4.5212998,-4.2501588,-4.1029906,-5.1063871,-6.5697169,-0.21898222,0.17717813,710.03271,157.02029,34.63895
4.5214,-4.0217762,-4.3298893,-5.1059356,-6.5700059,-0.21936452,0.17741393,710.0484,157.02011,34.887321
4.5215001,-3.7894094,-4.5525017,-5.1054816,-6.5702968,-0.21974938,0.17765136,710.06409,157.01994,35.135822
4.5215998,-3.5532894,-4.7706079,-5.1050248,-6.5705895,-0.22013676,0.17789048,710.07977,157.01978,35.384453
4.5216999,-3.3136492,-4.9839911,-5.1045651,-6.5708842,-0.22052668,0.17813125,710.09552,157.01961,35.633194
4.5218,-3.0707262,-5.1924405,-5.1041031,-6.5711803,-0.22091912,0.17837369,710.11121,157.01942,35.88205
4.5219002,-2.8247609,-5.3957491,-5.1036382,-6.5714784,-0.22131406,0.17861778,710.12689,157.01926,36.131008
4.5219998,-2.5759969,-5.5937157,-5.1031704,-6.5717778,-0.22171149,0.17886353,710.14258,157.01909,36.380058
4.5221,-2.3246803,-5.7861433,-5.1027002,-6.5720797,-0.22211142,0.17911093,710.15833,157.01892,36.6292
4.5222001,-2.0710602,-5.9728422,-5.1022272,-6.5723829,-0.22251382,0.17935997,710.17401,157.01874,36.878418
4.5222998,-1.8153875,-6.1536269,-5.1017518,-6.5726876,-0.22291869,0.17961067,710.1897,157.01857,37.127712
4.5223999,-1.5579154,-6.3283181,-5.1012735,-6.5729947,-0.223326,0.17986299,710.20538,157.0184,37.377071
4.5225,-1.2988989,-6.4967427,-5.1007924,-6.5733032,-0.22373576,0.18011697,710.22113,157.01823,37.626492
