"Time","imcQS.rotorCage.port_p.reference.gamma","loadInertiaQS.phi","loadInertiaQS.w","imc.stator.port_p.V_m.re","imc.stator.port_p.V_m.im","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imc.airGap.V_msr.re","imc.airGap.V_msr.im","imc.airGap.V_mrr.re","imc.airGap.V_mrr.im","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia.phi","loadInertia.w"
0.45190001,1.5707964,70.198891,157.07964,36.976723,25.673662,-0.36974958,-0.25672439,45.013458,0.45086533,-0.0022228027,-2.2303886e-05,0.43484133,0.004355472,70.984276,157.07962
0.45199999,1.5707964,70.2146,157.07964,36.152046,26.82246,-0.36150321,-0.26821181,45.013458,0.45086551,-0.0022227957,-2.2273269e-05,0.43484133,0.0043554739,70.999985,157.07962
0.45210001,1.5707964,70.230301,157.07964,35.291695,27.944788,-0.35290009,-0.27943456,45.013458,0.4508656,-0.0022227878,-2.2243317e-05,0.43484133,0.0043554753,71.015694,157.07962
0.4522,1.5707964,70.24601,157.07964,34.396511,29.039537,-0.34394872,-0.29038152,45.013458,0.45086578,-0.0022227792,-2.2213379e-05,0.43484133,0.0043554772,71.031403,157.07962
0.45230001,1.5707964,70.261719,157.07964,33.467384,30.105629,-0.33465788,-0.30104193,45.013458,0.45086592,-0.0022227706,-2.2185455e-05,0.43484133,0.004355479,71.047112,157.07962
0.4524,1.5707964,70.277428,157.07964,32.50523,31.14201,-0.32503679,-0.31140524,45.013458,0.45086604,-0.0022227617,-2.2159464e-05,0.43484133,0.0043554804,71.06282,157.07962
0.45249999,1.5707964,70.293137,157.07964,31.510998,32.147655,-0.31509495,-0.32146123,45.013458,0.45086622,-0.0022227527,-2.2134825e-05,0.43484133,0.0043554823,71.078529,157.07962
0.4526,1.5707964,70.308846,157.07964,30.485666,33.121578,-0.30484211,-0.3312,45.013458,0.45086634,-0.0022227431,-2.2111386e-05,0.43484133,0.0043554837,71.094231,157.07962
0.45269999,1.5707964,70.324554,157.07964,29.43025,34.062813,-0.29428846,-0.34061188,45.013458,0.45086652,-0.0022227333,-2.2089594e-05,0.43484133,0.0043554856,71.10994,157.07962
0.45280001,1.5707964,70.340256,157.07964,28.345789,34.970432,-0.28344437,-0.34968764,45.013458,0.4508667,-0.0022227231,-2.2068389e-05,0.43484133,0.0043554874,71.125648,157.07962
0.45289999,1.5707964,70.355965,157.07964,27.233355,35.84354,-0.27232054,-0.35841829,45.013458,0.45086679,-0.0022227119,-2.2047152e-05,0.43484133,0.0043554888,71.141357,157.07962
0.45300001,1.5707964,70.371674,157.07964,26.094044,36.681271,-0.26092798,-0.36679521,45.013458,0.450867,-0.0022227,-2.2026588e-05,0.43484133,0.0043554907,71.157066,157.07962
0.4531,1.5707964,70.387383,157.07964,24.92898,37.482807,-0.2492779,-0.37481019,45.013458,0.45086715,-0.0022226868,-2.2006137e-05,0.43484133,0.0043554925,71.172775,157.07962
0.45320001,1.5707964,70.403091,157.07964,23.739317,38.247349,-0.23738183,-0.38245523,45.013458,0.45086727,-0.0022226728,-2.1985845e-05,0.43484133,0.0043554939,71.188484,157.07962
0.4533,1.5707964,70.4188,157.07964,22.526224,38.974144,-0.2252515,-0.38972285,45.013458,0.45086744,-0.0022226581,-2.1965991e-05,0.43484133,0.0043554958,71.204193,157.07962
0.45339999,1.5707964,70.434509,157.07964,21.290901,39.662479,-0.21289885,-0.39660588,45.013458,0.45086756,-0.0022226437,-2.1947168e-05,0.43484133,0.0043554972,71.219894,157.07962
0.4535,1.5707964,70.450218,157.07964,20.034567,40.311672,-0.20033611,-0.40309751,45.013458,0.45086774,-0.0022226283,-2.1928901e-05,0.43484133,0.0043554991,71.235603,157.07962
0.45359999,1.5707964,70.465919,157.07964,18.758461,40.921082,-0.18757565,-0.40919131,45.013458,0.45086792,-0.0022226125,-2.191177e-05,0.43484133,0.0043555009,71.251312,157.07962
0.45370001,1.5707964,70.481628,157.07964,17.463842,41.490108,-0.17463009,-0.41488129,45.013458,0.45086804,-0.0022225964,-2.1895956e-05,0.43484133,0.0043555023,71.267021,157.07962
0.45379999,1.5707964,70.497337,157.07964,16.151989,42.018188,-0.16151218,-0.42016184,45.013458,0.45086825,-0.0022225804,-2.1881144e-05,0.43484133,0.0043555042,71.28273,157.07962
0.45390001,1.5707964,70.513046,157.07964,14.824196,42.504799,-0.14823489,-0.42502773,45.013458,0.4508684,-0.0022225643,-2.1867249e-05,0.43484133,0.004355506,71.298439,157.07962
0.454,1.5707964,70.528755,157.07964,13.481773,42.949467,-0.1348113,-0.42947417,45.013458,0.45086855,-0.0022225485,-2.1854263e-05,0.43484133,0.0043555074,71.314148,157.07962
0.45410001,1.5707964,70.544464,157.07964,12.126045,43.351746,-0.12125467,-0.43349677,45.013458,0.45086873,-0.0022225319,-2.1842185e-05,0.43484133,0.0043555098,71.329857,157.07962
0.4542,1.5707964,70.560173,157.07964,10.758351,43.711243,-0.10757837,-0.43709159,45.013458,0.45086884,-0.0022225142,-2.1830672e-05,0.43484133,0.0043555107,71.345558,157.07962
0.45429999,1.5707964,70.575882,157.07964,9.3800392,44.027599,-0.09379591,-0.44025502,45.013458,0.45086902,-0.0022224968,-2.1819897e-05,0.43484133,0.0043555126,71.361267,157.07962
0.4544,1.5707964,70.591583,157.07964,7.9924698,44.30051,-0.07992088,-0.44298398,45.013458,0.45086923,-0.0022224791,-2.1809747e-05,0.43484133,0.0043555144,71.376976,157.07962
0.45449999,1.5707964,70.607292,157.07964,6.5970135,44.529701,-0.065966986,-0.44527575,45.013458,0.45086935,-0.0022224616,-2.1800241e-05,0.43484133,0.0043555158,71.392685,157.07962
0.45460001,1.5707964,70.623001,157.07964,5.1950469,44.714943,-0.051947985,-0.44712812,45.013458,0.45086953,-0.0022224437,-2.1791422e-05,0.43484133,0.0043555177,71.408394,157.07962
0.45469999,1.5707964,70.63871,157.07964,3.7879529,44.85606,-0.037877716,-0.44853923,45.013458,0.45086971,-0.0022224253,-2.1783468e-05,0.43484133,0.0043555195,71.424103,157.07962
0.45480001,1.5707964,70.654419,157.07964,2.377121,44.952911,-0.02377007,-0.44950765,45.013458,0.45086986,-0.0022224071,-2.1776386e-05,0.43484133,0.0043555209,71.439812,157.07962
0.4549,1.5707964,70.670128,157.07964,0.96394289,45.005394,-0.0096389642,-0.45003247,45.013458,0.45087007,-0.002222389,-2.1770125e-05,0.43484133,0.0043555233,71.455521,157.07962
0.45500001,1.5707964,70.685837,157.07964,-0.45018634,45.013466,0.0045016534,-0.45011318,45.013458,0.45087019,-0.0022223715,-2.1764787e-05,0.43484133,0.0043555242,71.471222,157.07962
0.4551,1.5707964,70.701546,157.07964,-1.8638713,44.977116,0.01863783,-0.44974968,45.013458,0.45087036,-0.0022223571,-2.1760377e-05,0.43484133,0.0043555261,71.486931,157.07962
0.45519999,1.5707964,70.717247,157.07964,-3.275717,44.896374,0.032755613,-0.44894233,45.013458,0.45087057,-0.0022223475,-2.175687e-05,0.43484133,0.0043555279,71.50264,157.07962
0.4553,1.5707964,70.732956,157.07964,-4.68433,44.771328,0.04684107,-0.44769192,45.013458,0.45087069,-0.0022223431,-2.1753282e-05,0.43484133,0.0043555293,71.518349,157.07962
0.45539999,1.5707964,70.748665,157.07964,-6.0883198,44.602097,0.0608803,-0.44599971,45.013458,0.45087087,-0.002222335,-2.1744561e-05,0.43484133,0.0043555312,71.534058,157.07962
0.45550001,1.5707964,70.764374,157.07964,-7.4863014,44.388851,0.074859448,-0.44386733,45.013458,0.45087102,-0.0022223196,-2.1727319e-05,0.43484133,0.004355533,71.549767,157.07962
0.45559999,1.5707964,70.780083,157.07964,-8.876895,44.131798,0.08876472,-0.44129694,45.013458,0.45087114,-0.0022222968,-2.1702424e-05,0.43484133,0.0043555344,71.565475,157.07962
0.45570001,1.5707964,70.795792,157.07964,-10.258728,43.831192,0.10258239,-0.43829101,45.013458,0.45087132,-0.0022222705,-2.1674246e-05,0.43484133,0.0043555363,71.581184,157.07962
0.4558,1.5707964,70.811501,157.07964,-11.630437,43.487328,0.11629882,-0.43485254,45.013458,0.45087144,-0.0022222393,-2.1643922e-05,0.43484133,0.0043555377,71.596886,157.07962
0.45590001,1.5707964,70.827209,157.07964,-12.990667,43.100548,0.12990049,-0.43098494,45.013458,0.45087159,-0.0022222034,-2.1611306e-05,0.43484133,0.0043555396,71.612595,157.07962
0.456,1.5707964,70.842911,157.07964,-14.338078,42.671234,0.14337395,-0.42669201,45.013458,0.45087177,-0.0022221664,-2.1580945e-05,0.43484133,0.0043555414,71.628304,157.07962
0.45609999,1.5707964,70.85862,157.07964,-15.671339,42.19981,0.15670593,-0.42197797,45.013458,0.45087186,-0.0022221317,-2.1556365e-05,0.43484133,0.0043555428,71.644012,157.07962
0.4562,1.5707964,70.874329,157.07964,-16.989134,41.686737,0.16988325,-0.4168475,45.013458,0.45087206,-0.0022220961,-2.1534504e-05,0.43484133,0.0043555447,71.659721,157.07962
0.45629999,1.5707964,70.890038,157.07964,-18.290163,41.132526,0.18289292,-0.41130564,45.013458,0.45087221,-0.0022220628,-2.1517388e-05,0.43484133,0.0043555466,71.67543,157.07962
0.45640001,1.5707964,70.905746,157.07964,-19.573143,40.537724,0.19572209,-0.40535787,45.013458,0.45087236,-0.0022220316,-2.1504666e-05,0.43484133,0.0043555479,71.691139,157.07962
0.45649999,1.5707964,70.921455,157.07964,-20.836805,39.902912,0.20835811,-0.39901009,45.013458,0.45087254,-0.002222002,-2.1495023e-05,0.43484133,0.0043555498,71.706848,157.07962
0.45660001,1.5707964,70.937164,157.07964,-22.079903,39.228722,0.22078851,-0.39226851,45.013458,0.45087266,-0.002221972,-2.148499e-05,0.43484133,0.0043555512,71.722549,157.07962
0.4567,1.5707964,70.952873,157.07964,-23.301212,38.51582,0.23300102,-0.38513982,45.013458,0.45087287,-0.0022219426,-2.1476673e-05,0.43484133,0.0043555531,71.738258,157.07962
0.45680001,1.5707964,70.968575,157.07964,-24.499525,37.764904,0.24498358,-0.37763104,45.013458,0.45087305,-0.0022219114,-2.1467953e-05,0.43484133,0.0043555549,71.753967,157.07962
0.4569,1.5707964,70.984283,157.07964,-25.67366,36.976723,0.25672439,-0.36974958,45.013458,0.45087317,-0.0022218772,-2.1457907e-05,0.43484133,0.0043555563,71.769676,157.07962
0.45699999,1.5707964,70.999992,157.07964,-26.82246,36.152046,0.26821181,-0.36150321,45.013458,0.45087335,-0.0022218423,-2.1447893e-05,0.43484133,0.0043555582,71.785385,157.07962
0.4571,1.5707964,71.015701,157.07964,-27.944788,35.291695,0.27943456,-0.35290009,45.013458,0.45087352,-0.0022218069,-2.1438938e-05,0.43484133,0.0043555601,71.801094,157.07962
0.45719999,1.5707964,71.03141,157.07964,-29.039537,34.396511,0.29038152,-0.34394872,45.013458,0.45087367,-0.0022217711,-2.1431471e-05,0.43484133,0.0043555615,71.816803,157.07962
0.45730001,1.5707964,71.047119,157.07964,-30.105629,33.467384,0.30104193,-0.33465788,45.013458,0.45087388,-0.0022217347,-2.1425261e-05,0.43484133,0.0043555633,71.832512,157.07962
0.45739999,1.5707964,71.062828,157.07964,-31.14201,32.50523,0.31140524,-0.32503679,45.013458,0.450874,-0.0022217,-2.1422338e-05,0.43484133,0.0043555647,71.848213,157.07962
0.45750001,1.5707964,71.078537,157.07964,-32.147655,31.510998,0.32146123,-0.31509495,45.013458,0.45087421,-0.0022216663,-2.1421654e-05,0.43484133,0.0043555666,71.863922,157.07962
0.4576,1.5707964,71.094238,157.07964,-33.121578,30.485666,0.33119997,-0.30484211,45.013458,0.45087442,-0.0022216339,-2.1423211e-05,0.43484133,0.0043555684,71.879631,157.07962
0.45770001,1.5707964,71.109947,157.07964,-34.062813,29.43025,0.34061188,-0.29428846,45.013458,0.45087454,-0.0022216032,-2.142652e-05,0.43484133,0.0043555698,71.89534,157.07962
0.4578,1.5707964,71.125656,157.07964,-34.970428,28.345789,0.34968764,-0.28344437,45.013458,0.45087475,-0.0022215729,-2.1431977e-05,0.43484133,0.0043555717,71.911049,157.07962
0.45789999,1.5707964,71.141365,157.07964,-35.843536,27.233353,0.35841829,-0.27232054,45.013458,0.45087492,-0.0022215426,-2.1438285e-05,0.43484133,0.0043555736,71.926758,157.07962
0.458,1.5707964,71.157074,157.07964,-36.681271,26.094044,0.36679521,-0.26092798,45.013458,0.45087507,-0.0022215119,-2.1445196e-05,0.43484133,0.004355575,71.942467,157.07962
0.45809999,1.5707964,71.172783,157.07964,-37.482803,24.92898,0.37481019,-0.2492779,45.013458,0.45087531,-0.0022214814,-2.1453103e-05,0.43484133,0.0043555768,71.958176,157.07962
0.45820001,1.5707964,71.188492,157.07964,-38.247349,23.739317,0.38245523,-0.23738183,45.013458,0.45087546,-0.0022214511,-2.1461607e-05,0.43484133,0.0043555782,71.973877,157.07962
0.45829999,1.5707964,71.204201,157.07964,-38.974144,22.526224,0.38972285,-0.2252515,45.013458,0.45087564,-0.0022214204,-2.1470754e-05,0.43484133,0.0043555801,71.989586,157.07962
0.45840001,1.5707964,71.219902,157.07964,-39.662479,21.290901,0.39660588,-0.21289885,45.013458,0.45087585,-0.0022213899,-2.1480959e-05,0.43484133,0.0043555819,72.005295,157.07962
0.4585,1.5707964,71.235611,157.07964,-40.311672,20.034567,0.40309751,-0.20033611,45.013458,0.450876,-0.0022213599,-2.1492713e-05,0.43484133,0.0043555833,72.021004,157.07962
0.45860001,1.5707964,71.25132,157.07964,-40.921082,18.758461,0.40919131,-0.18757565,45.013458,0.45087621,-0.0022213305,-2.1505439e-05,0.43484133,0.0043555852,72.036713,157.07962
0.4587,1.5707964,71.267029,157.07964,-41.490105,17.463842,0.41488129,-0.17463009,45.013458,0.45087641,-0.0022213026,-2.1519654e-05,0.43484133,0.0043555871,72.052422,157.07962
0.45879999,1.5707964,71.282738,157.07964,-42.018185,16.151989,0.42016184,-0.16151218,45.013458,0.45087656,-0.0022212761,-2.1535372e-05,0.43484133,0.0043555885,72.06813,157.07962
0.4589,1.5707964,71.298447,157.07964,-42.504799,14.824196,0.42502773,-0.14823489,45.013458,0.4508768,-0.0022212504,-2.1552389e-05,0.43484133,0.0043555903,72.083839,157.07962
0.45899999,1.5707964,71.314156,157.07964,-42.949463,13.481773,0.42947417,-0.1348113,45.013458,0.45087695,-0.0022212255,-2.1570471e-05,0.43484133,0.0043555917,72.099541,157.07962
0.45910001,1.5707964,71.329865,157.07964,-43.351746,12.126045,0.43349677,-0.12125467,45.013458,0.45087716,-0.0022212018,-2.158972e-05,0.43484133,0.0043555936,72.11525,157.07962
0.45919999,1.5707964,71.345566,157.07964,-43.711239,10.75835,0.43709156,-0.10757837,45.013458,0.4508774,-0.002221179,-2.1609858e-05,0.43484133,0.0043555954,72.130959,157.07962
0.45930001,1.5707964,71.361275,157.07964,-44.027599,9.3800392,0.44025502,-0.09379591,45.013458,0.45087755,-0.0022211564,-2.1630605e-05,0.43484133,0.0043555968,72.146667,157.07962
0.4594,1.5707964,71.376984,157.07964,-44.30051,7.9924698,0.44298398,-0.07992088,45.013458,0.45087779,-0.002221134,-2.1652077e-05,0.43484133,0.0043555987,72.162376,157.07962
0.45950001,1.5707964,71.392693,157.07964,-44.529697,6.5970135,0.44527575,-0.065966986,45.013458,0.45087796,-0.0022211112,-2.1674103e-05,0.43484133,0.0043556006,72.178085,157.07962
0.4596,1.5707964,71.408401,157.07964,-44.714943,5.1950469,0.44712812,-0.051947985,45.013458,0.45087814,-0.0022210886,-2.1696744e-05,0.43484133,0.004355602,72.193794,157.07962
0.45969999,1.5707964,71.42411,157.07964,-44.85606,3.7879529,0.44853923,-0.037877716,45.013458,0.45087838,-0.002221067,-2.1720214e-05,0.43484133,0.0043556038,72.209503,157.07962
0.4598,1.5707964,71.439819,157.07964,-44.952908,2.377121,0.44950765,-0.023770072,45.013458,0.45087856,-0.0022210474,-2.174482e-05,0.43484133,0.0043556052,72.225204,157.07962
0.45989999,1.5707964,71.455528,157.07964,-45.005394,0.96394289,0.45003247,-0.0096389651,45.013458,0.45087877,-0.0022210286,-2.1770282e-05,0.43484133,0.0043556071,72.240913,157.07962
0.46000001,1.5707964,71.47123,157.07964,-45.013466,-0.4501864,0.45011318,0.0045016538,45.013458,0.45087898,-0.0022210106,-2.1796652e-05,0.43484133,0.004355609,72.256622,157.07962
0.4601,1.5707964,71.486938,157.07964,-44.977112,-1.8638713,0.44974968,0.018637829,45.013458,0.45087913,-0.0022209939,-2.1823938e-05,0.43484133,0.0043556103,72.272331,157.07962
0.46020001,1.5707964,71.502647,157.07964,-44.896374,-3.275717,0.44894233,0.032755613,45.013458,0.45087937,-0.0022209785,-2.1852031e-05,0.43484133,0.0043556122,72.28804,157.07962
0.4603,1.5707964,71.518356,157.07964,-44.771328,-4.68433,0.44769192,0.04684107,45.013458,0.4508796,-0.0022209648,-2.1880707e-05,0.43484133,0.0043556141,72.303749,157.07962
0.46039999,1.5707964,71.534065,157.07964,-44.602097,-6.0883198,0.44599971,0.0608803,45.013458,0.45087975,-0.0022209524,-2.1909897e-05,0.43484133,0.0043556155,72.319458,157.07962
0.4605,1.5707964,71.549774,157.07964,-44.388851,-7.4863014,0.44386733,0.074859448,45.013458,0.45087999,-0.002220941,-2.1939746e-05,0.43484133,0.0043556173,72.335167,157.07962
0.46059999,1.5707964,71.565483,157.07964,-44.131794,-8.876895,0.44129694,0.08876472,45.013458,0.45088017,-0.0022209308,-2.1970129e-05,0.43484133,0.0043556187,72.350868,157.07962
0.46070001,1.5707964,71.581192,157.07964,-43.831188,-10.258728,0.43829101,0.10258239,45.013458,0.45088041,-0.0022209217,-2.2001055e-05,0.43484133,0.0043556206,72.366577,157.07962
0.46079999,1.5707964,71.596893,157.07964,-43.487328,-11.630437,0.43485254,0.11629882,45.013458,0.45088065,-0.0022209135,-2.2032598e-05,0.43484133,0.0043556225,72.382286,157.07962
0.46090001,1.5707964,71.612602,157.07964,-43.100548,-12.990667,0.43098494,0.12990049,45.013458,0.4508808,-0.0022209063,-2.2064849e-05,0.43484133,0.0043556239,72.397995,157.07962
0.461,1.5707964,71.628311,157.07964,-42.671234,-14.338078,0.42669198,0.14337395,45.013458,0.45088103,-0.0022209,-2.2097576e-05,0.43484133,0.0043556257,72.413704,157.07962
0.46110001,1.5707964,71.64402,157.07964,-42.199806,-15.671339,0.42197797,0.15670593,45.013458,0.45088124,-0.0022208944,-2.2130816e-05,0.43484133,0.0043556276,72.429413,157.07962
0.4612,1.5707964,71.659729,157.07964,-41.686737,-16.989134,0.4168475,0.16988325,45.013458,0.45088142,-0.00222089,-2.2164475e-05,0.43484133,0.004355629,72.445122,157.07962
0.46129999,1.5707964,71.675438,157.07964,-41.132523,-18.290163,0.41130564,0.18289292,45.013458,0.45088166,-0.0022208865,-2.219839e-05,0.43484133,0.0043556308,72.460823,157.07962
0.4614,1.5707964,71.691147,157.07964,-40.53772,-19.573143,0.40535787,0.19572209,45.013458,0.45088187,-0.0022208847,-2.2232352e-05,0.43484133,0.0043556327,72.476532,157.07962
0.46149999,1.5707964,71.706856,157.07964,-39.902908,-20.836805,0.39901009,0.20835811,45.013458,0.45088208,-0.002220884,-2.2266402e-05,0.43484133,0.0043556341,72.492241,157.07962
0.46160001,1.5707964,71.722557,157.07964,-39.228722,-22.079905,0.39226851,0.22078851,45.013458,0.45088232,-0.0022208842,-2.2300466e-05,0.43484133,0.004355636,72.50795,157.07962
0.46169999,1.5707964,71.738266,157.07964,-38.515816,-23.301212,0.38513982,0.23300102,45.013458,0.45088246,-0.0022208851,-2.2334481e-05,0.43484133,0.0043556374,72.523659,157.07962
0.46180001,1.5707964,71.753975,157.07964,-37.764904,-24.499525,0.37763104,0.24498358,45.013458,0.4508827,-0.0022208875,-2.2368429e-05,0.43484133,0.0043556392,72.539368,157.07962
0.4619,1.5707964,71.769684,157.07964,-36.976719,-25.67366,0.36974958,0.25672436,45.013458,0.45088294,-0.002220891,-2.2402361e-05,0.43484133,0.0043556411,72.555077,157.07962
0.46200001,1.5707964,71.785393,157.07964,-36.152046,-26.82246,0.36150321,0.26821181,45.013458,0.45088312,-0.0022208956,-2.2436298e-05,0.43484133,0.0043556425,72.570786,157.07962
0.4621,1.5707964,71.801102,157.07964,-35.291691,-27.944788,0.35290009,0.27943456,45.013458,0.45088336,-0.0022209012,-2.2470216e-05,0.43484133,0.0043556448,72.586487,157.07962
0.46219999,1.5707964,71.816811,157.07964,-34.396511,-29.039537,0.34394872,0.29038152,45.013458,0.45088354,-0.0022209075,-2.2504208e-05,0.43484133,0.0043556462,72.602196,157.07962
0.4623,1.5707964,71.83252,157.07964,-33.467384,-30.105629,0.33465788,0.30104193,45.013458,0.45088375,-0.0022209147,-2.2538145e-05,0.43484133,0.0043556476,72.617905,157.07962
0.46239999,1.5707964,71.848221,157.07964,-32.50523,-31.14201,0.32503679,0.31140524,45.013458,0.45088398,-0.0022209233,-2.2571918e-05,0.43484133,0.0043556499,72.633614,157.07962
0.46250001,1.5707964,71.86393,157.07964,-31.510996,-32.147655,0.31509495,0.32146123,45.013458,0.45088416,-0.0022209333,-2.2605411e-05,0.43484133,0.0043556509,72.649323,157.07962
0.46259999,1.5707964,71.879639,157.07964,-30.485664,-33.121578,0.30484211,0.33119997,45.013458,0.4508844,-0.002220944,-2.263872e-05,0.43484133,0.0043556527,72.665031,157.07962
0.46270001,1.5707964,71.895348,157.07964,-29.430248,-34.062813,0.29428846,0.34061188,45.013458,0.45088461,-0.0022209554,-2.2671709e-05,0.43484133,0.0043556546,72.68074,157.07962
0.4628,1.5707964,71.911057,157.07964,-28.345787,-34.970432,0.28344437,0.34968764,45.013458,0.45088479,-0.0022209678,-2.2704324e-05,0.43484133,0.004355656,72.696449,157.07962
0.46290001,1.5707964,71.926765,157.07964,-27.233353,-35.843536,0.27232054,0.35841829,45.013458,0.45088503,-0.0022209813,-2.273654e-05,0.43484133,0.0043556583,72.712151,157.07962
0.463,1.5707964,71.942474,157.07964,-26.094042,-36.681271,0.26092798,0.36679521,45.013458,0.45088521,-0.002220996,-2.2768325e-05,0.43484133,0.0043556597,72.727859,157.07962
0.46309999,1.5707964,71.958183,157.07964,-24.92898,-37.482803,0.2492779,0.37481019,45.013458,0.45088542,-0.002221012,-2.2799268e-05,0.43484133,0.0043556611,72.743568,157.07962
0.4632,1.5707964,71.973885,157.07964,-23.739315,-38.247349,0.23738183,0.38245523,45.013458,0.45088565,-0.002221029,-2.2828985e-05,0.43484133,0.0043556634,72.759277,157.07962
0.46329999,1.5707964,71.989594,157.07964,-22.526222,-38.974144,0.2252515,0.38972285,45.013458,0.45088583,-0.0022210472,-2.2857173e-05,0.43484133,0.0043556644,72.774986,157.07962
0.46340001,1.5707964,72.005302,157.07964,-21.290899,-39.662479,0.21289885,0.39660588,45.013458,0.45088604,-0.0022210663,-2.2885155e-05,0.43484133,0.0043556667,72.790695,157.07962
0.46349999,1.5707964,72.021011,157.07964,-20.034565,-40.311672,0.20033611,0.40309751,45.013458,0.45088628,-0.0022210861,-2.2913249e-05,0.43484133,0.0043556681,72.806404,157.07962
