"Time","total_AV_B_a","total_AV_B_b","total_A_VB_a","total_A_VB_b","total_AV_VB_a","total_AV_VB_b","total_A_V_B_a","total_A_V_B_b"
2.3,293628.16,312950.97,293620.97,430032.84,293621.97,429916.78,293627.47,313098.78
2.4000001,293627.72,310776.81,293620.88,418794.97,293621.84,418695.03,293627.06,311047.66
2.5,293627.28,308811.09,293620.78,408360.31,293621.72,408267.16,293626.62,309182.44
2.5999999,293626.88,307009.41,293620.69,398677.31,293621.59,398582.66,293626.22,307464.06
2.7,293626.44,305336.19,293620.56,389695.31,293621.44,389592.16,293625.84,305859.56
2.8,293626.06,303762.16,293620.44,381367.09,293621.28,381249.03,293625.44,304343.06
2.9000001,293625.66,302271.09,293620.31,373648.28,293621.09,373510.06,293625.06,302901.5
3,293625.28,300847.62,293620.16,366495.56,293620.94,366332.75,293624.72,301519.97
3.0999999,293624.88,299478,293620,359868.5,293620.75,359677.22,293624.34,300186.75
3.2,293624.53,298155.78,293619.84,353729.69,293620.56,353506.78,293624,298897.12
3.3,293624.16,296875.88,293619.69,348042.22,293620.34,347785.5,293623.62,297645.91
3.4000001,293623.81,295629.72,293619.5,342771.56,293620.16,342479.06,293623.28,296425.22
3.5,293623.44,294414.94,293619.31,337886.38,293619.94,337556.66,293622.97,295234.53
3.5999999,293623.09,293230.72,293619.12,333355.72,293619.72,332988.09,293622.62,294071.88
3.7,293622.78,292069.69,293618.94,329150.66,293619.53,328744.53,293622.31,292930.19
3.8,293622.44,290932.19,293618.75,325245.94,293619.31,324801,293622,291812.12
3.9000001,293622.12,289819.56,293618.56,321615.88,293619.09,321132.62,293621.69,290716.91
4,293621.78,288724.38,293618.34,318236.81,293618.88,317715.5,293621.38,289637.62
4.0999999,293621.47,287648.09,293618.16,315088.69,293618.66,314529.78,293621.06,288577.69
4.1999998,293621.19,286592.22,293617.97,312150.72,293618.41,311555.31,293620.78,287536.5
4.3000002,293620.88,285550.94,293617.75,309403.97,293618.19,308772.94,293620.47,286509.09
4.4000001,293620.56,284525.03,293617.56,306832.56,293617.97,306166.84,293620.19,285496.59
4.5,293620.28,283515.41,293617.34,304420.38,293617.75,303721.28,293619.91,284500.44
4.5999999,293620,282518.91,293617.12,302152.22,293617.53,301421.06,293619.66,283515.09
4.6999998,293619.72,281532.97,293616.94,300015.75,293617.31,299253.5,293619.38,282541.38
4.8000002,293619.44,280561.38,293616.72,297998.62,293617.09,297206.94,293619.09,281580.97
4.9000001,293619.16,279599.34,293616.53,296088.62,293616.88,295268.88,293618.84,280628.72
5,293618.91,278645.19,293616.31,294276.25,293616.69,293429.66,293618.59,279684.34
5.0999999,293618.66,277700.56,293616.12,292552.09,293616.47,291680.16,293618.34,278749.28
5.1999998,293618.38,276763.41,293615.94,290906.5,293616.25,290010.88,293618.09,277819.84
5.3000002,293618.12,275829.44,293615.72,289331.69,293616.03,288413.56,293617.84,276893.25
5.4000001,293617.88,274900.78,293615.53,287820.81,293615.84,286881.69,293617.59,275971.94
5.5,293617.62,273975.25,293615.34,286366.06,293615.62,285407.59,293617.38,275051.91
5.5999999,293617.41,273049.72,293615.12,284960.97,293615.44,283984.66,293617.12,274130.84
5.6999998,293617.16,272122.31,293614.94,283600.19,293615.22,282607.25,293616.91,273207.47
5.8000002,293616.94,271195.09,293614.75,282278.16,293615.03,281270.53,293616.69,272284.03
5.9000001,293616.69,270262.09,293614.56,280988.47,293614.81,279967.66,293616.44,271350.91
6,293616.47,269322.12,293614.38,279727.69,293614.62,278695.06,293616.22,270412.88
6.0999999,293616.25,268376.56,293614.19,278490.94,293614.44,277448.22,293616.03,269466
6.1999998,293616.03,267421.19,293614.03,277273.66,293614.25,276222.56,293615.81,268508.59
6.3000002,293615.81,266454,293613.84,276072.09,293614.06,275014.12,293615.59,267537.81
6.4000001,293615.59,265475.09,293613.66,274883.34,293613.88,273820,293615.38,266554.97
6.5,293615.38,264483.97,293613.47,273703.66,293613.69,272636.84,293615.19,265557.56
6.5999999,293615.19,263476.81,293613.31,272529.88,293613.5,271461.03,293615,264542.97
6.6999998,293614.97,262454.03,293613.12,271359.81,293613.34,270290.19,293614.78,263512.12
6.8000002,293614.78,261417.56,293612.97,270191.88,293613.16,269123.03,293614.59,262466.56
6.9000001,293614.59,260366.17,293612.81,269023.97,293613,267957.72,293614.41,261404.55
7,293614.38,259298.19,293612.62,267854.25,293612.81,266791.88,293614.22,260325.22
7.0999999,293614.19,258215.83,293612.47,266682.03,293612.66,265624.53,293614.03,259231.62
7.1999998,293614,257121.91,293612.31,265506.97,293612.47,264455.41,293613.84,258125.48
7.3000002,293613.81,256016.39,293612.16,264328.53,293612.31,263284.12,293613.66,257007.05
7.4000001,293613.66,254900.97,293612,263147.34,293612.16,262110.7,293613.5,255879.66
7.5,293613.47,253780.45,293611.84,261964.47,293612,260936.08,293613.31,254747.5
7.5999999,293613.28,252657.53,293611.69,260780.91,293611.81,259761.39,293613.16,253612.86
7.6999998,293613.12,251534.3,293611.53,259598.12,293611.66,258587.67,293612.97,252478.81
7.8000002,293612.94,250415.77,293611.38,258418.64,293611.53,257416.94,293612.81,251351.03
7.9000001,293612.78,249306.98,293611.22,257245.45,293611.38,256252.09,293612.62,250234.7
8,293612.59,248212.88,293611.09,256080.97,293611.22,255095.78,293612.47,249134.36
8.1000004,293612.44,247137.8,293610.94,254927.94,293611.06,253950.42,293612.31,248053.95
8.1999998,293612.28,246083.69,293610.78,253790.75,293610.91,252819.22,293612.16,246997.16
8.3000002,293612.12,245058.3,293610.66,252674.42,293610.78,251707.2,293612,245974.66
8.3999996,293611.97,244076.38,293610.53,251581.52,293610.62,250618.39,293611.84,244995.67
8.5,293611.81,243127.89,293610.38,250515.69,293610.5,249554.92,293611.69,244049.91
8.6000004,293611.66,242219.42,293610.25,249483.06,293610.34,248521.72,293611.56,243151.52
8.6999998,293611.5,241370.55,293610.12,248488.34,293610.22,247524.48,293611.41,242316.84
8.8000002,293611.38,240574.84,293609.97,247534.53,293610.09,246566.86,293611.25,241533.28
8.8999996,293611.22,239835.83,293609.84,246626.25,293609.94,245652.05,293611.12,240811.19
9,293611.06,239161.72,293609.72,245768.81,293609.81,244785.28,293610.97,240158.72
9.1000004,293610.94,238556.73,293609.59,244966.08,293609.69,243970.89,293610.84,239577.44
9.1999998,293610.81,238022.23,293609.47,244221.5,293609.56,243212.34,293610.72,239068.42
9.3000002,293610.66,237560.8,293609.34,243538.69,293609.44,242513.08,293610.56,238635.28
9.3999996,293610.53,237174.84,293609.25,242921.17,293609.31,241876.64,293610.44,238279.52
9.5,293610.41,236863.86,293609.12,242371.2,293609.19,241305.58,293610.31,237999.06
9.6000004,293610.28,236627.12,293609,241890.44,293609.09,240802,293610.19,237794.59
9.6999998,293610.16,236466.33,293608.88,241480.33,293608.97,240367.44,293610.06,237668.47
9.8000002,293610.03,236381.41,293608.78,241141.44,293608.84,240002.7,293609.94,237617.8
9.8999996,293609.91,236368.55,293608.66,240873.38,293608.75,239707.88,293609.81,237638.14
10,293609.78,236426.06,293608.56,240676.38,293608.62,239482.89,293609.72,237731.19
10.1,293609.66,236555.38,293608.44,240550.38,293608.53,239327.89,293609.59,237896.83
10.2,293609.53,236752.22,293608.34,240493.27,293608.41,239241.89,293609.47,238124.94
10.3,293609.44,237007.86,293608.25,240502.69,293608.31,239222.62,293609.38,238410.8
10.4,293609.31,237323.62,293608.12,240578.19,293608.19,239268.56,293609.25,238764.22
10.5,293609.22,237705.73,293608.03,240717.61,293608.09,239378.77,293609.16,239180.08
10.6,293609.09,238139.14,293607.94,240915.28,293608,239549.78,293609.03,239629.14
10.7,293609,238605.39,293607.84,241168.78,293607.91,239776.95,293608.94,240118.64
10.8,293608.91,239131.59,293607.75,241479.55,293607.81,240059.62,293608.84,240687.88
10.9,293608.78,239707.2,293607.66,241839.88,293607.72,240395.44,293608.75,241282.78
11,293608.69,240313.06,293607.56,242245.73,293607.62,240779.33,293608.62,241890.12
11.1,293608.59,240949.14,293607.47,242696.8,293607.53,241206.5,293608.53,242567.22
11.2,293608.5,241630.27,293607.38,243189.06,293607.44,241677.55,293608.44,243275.22
11.3,293608.41,242347.97,293607.28,243717.91,293607.34,242188.78,293608.34,243979.98
11.4,293608.31,243068.14,293607.22,244280.03,293607.25,242732.28,293608.25,244735.42
11.5,293608.22,243822.77,293607.12,244874.47,293607.19,243310.23,293608.19,245509.62
11.6,293608.12,244599.77,293607.03,245496.89,293607.09,243918.14,293608.09,246298.97
11.7,293608.06,245394.91,293606.97,246144.48,293607,244552.7,293608,247104.66
11.8,293607.97,246205.81,293606.88,246814.66,293606.94,245211.23,293607.91,247924.86
11.9,293607.88,247030.22,293606.81,247504.83,293606.84,245891.25,293607.84,248756.81
12,293607.81,247865.81,293606.72,248212.48,293606.78,246590.22,293607.75,249598.38
12.1,293607.72,248710.59,293606.66,248935.41,293606.69,247305.84,293607.69,250447.73
12.2,293607.66,249562.72,293606.56,249671.45,293606.62,248036,293607.59,251302.83
12.3,293607.56,250420.17,293606.5,250418.55,293606.56,248778.55,293607.53,252161.81
12.4,293607.5,251281.12,293606.44,251174.72,293606.47,249531.5,293607.47,253022.89
12.5,293607.44,252143.91,293606.38,251938.12,293606.41,250292.97,293607.38,253884.38
12.6,293607.38,253006.92,293606.31,252707,293606.34,251061.16,293607.31,254744.67
12.7,293607.28,253868.58,293606.22,253479.7,293606.28,251834.39,293607.25,255602.33
12.8,293607.22,254727.52,293606.16,254254.7,293606.22,252611.09,293607.19,256456
12.9,293607.16,255582.38,293606.09,255030.56,293606.16,253389.81,293607.12,257304.31
13,293607.09,256432.02,293606.03,255805.92,293606.09,254169.14,293607.06,258146.19
13.1,293607.03,257275.11,293606,256579.53,293606.03,254947.78,293607,258980.36
13.2,293606.97,258110.73,293605.94,257350.2,293605.97,255724.5,293606.94,259805.92
13.3,293606.91,258937.67,293605.88,258116.8,293605.91,256498.16,293606.88,260621.73
13.4,293606.88,259755.19,293605.81,258878.3,293605.84,257267.66,293606.81,261427.08
13.5,293606.81,260562.22,293605.75,259633.73,293605.81,258032.03,293606.75,262220.94
13.6,293606.75,261358.16,293605.72,260382.19,293605.75,258790.3,293606.69,263002.81
13.7,293606.69,262142.16,293605.66,261122.88,293605.69,259541.64,293606.66,263771.81
13.8,293606.66,262913.62,293605.59,261855.05,293605.66,260285.23,293606.59,264527.47
13.9,293606.59,263671.94,293605.56,262577.97,293605.59,261020.36,293606.53,265269.22
14,293606.53,264416.56,293605.5,263291,293605.56,261746.33,293606.5,265996.53
14.1,293606.5,265147.06,293605.47,263993.62,293605.5,262462.53,293606.44,266709.03
14.2,293606.44,265863.03,293605.41,264685.22,293605.44,263168.38,293606.41,267406.34
14.3,293606.41,266564.09,293605.38,265365.41,293605.41,263863.38,293606.34,268088.25
14.4,293606.38,267250.03,293605.31,266033.72,293605.38,264547.06,293606.31,268754.5
14.5,293606.31,267920.59,293605.28,266689.84,293605.31,265219.09,293606.28,269404.91
14.6,293606.28,268575.62,293605.22,267333.47,293605.28,265879.06,293606.22,270039.38
14.7,293606.22,269215,293605.19,267964.34,293605.25,266526.72,293606.19,270657.81
14.8,293606.19,269838.66,293605.16,268582.25,293605.19,267161.81,293606.16,271260.25
14.9,293606.16,270446.56,293605.12,269187,293605.16,267784.09,293606.09,271846.69
15,293606.12,271038.72,293605.06,269778.47,293605.12,268393.41,293606.06,272417.16
15.1,293606.09,271615.16,293605.03,270356.59,293605.09,268989.62,293606.03,272971.75
15.2,293606.03,272176.03,293605,270921.31,293605.03,269572.66,293606,273510.62
15.3,293606,272721.41,293604.97,271472.56,293605,270142.47,293605.97,274033.94
15.4,293605.97,273251.31,293604.94,272010.44,293604.97,270699.03,293605.94,274541.78
15.5,293605.94,273766,293604.91,272534.91,293604.94,271242.34,293605.91,275034.38
15.6,293605.91,274265.81,293604.88,273046.03,293604.91,271772.41,293605.84,275512.12
15.7,293605.88,274750.84,293604.84,273543.94,293604.88,272289.31,293605.81,275975.16
15.8,293605.84,275221.25,293604.81,274028.69,293604.84,272793.09,293605.81,276423.72
15.9,293605.81,275677.34,293604.78,274500.47,293604.81,273283.91,293605.78,276858.03
16,293605.78,276119.56,293604.75,274959.41,293604.78,273761.88,293605.75,277278.69
16.1,293605.75,276548.06,293604.72,275405.72,293604.75,274227.16,293605.72,277685.81
16.200001,293605.72,276963.16,293604.69,275839.56,293604.72,274679.91,293605.69,278079.72
16.299999,293605.69,277365.03,293604.66,276261.19,293604.69,275120.34,293605.66,278460.66
16.4,293605.69,277754.28,293604.62,276670.78,293604.66,275548.62,293605.62,278829.25
16.5,293605.66,278131.12,293604.59,277068.59,293604.66,275964.97,293605.59,279185.69
16.6,293605.62,278495.84,293604.56,277454.84,293604.62,276369.62,293605.59,279530.28
16.700001,293605.59,278848.72,293604.56,277829.81,293604.59,276762.81,293605.56,279863.34
16.799999,293605.56,279190.28,293604.53,278193.75,293604.56,277144.78,293605.53,280185.41
16.9,293605.56,279520.78,293604.5,278546.91,293604.53,277515.78,293605.5,280496.75
17,293605.53,279840.53,293604.47,278889.56,293604.53,277876.03,293605.5,280797.66
17.1,293605.5,280149.78,293604.47,279221.97,293604.5,278225.84,293605.47,281088.47
17.200001,293605.5,280449.03,293604.44,279544.41,293604.47,278565.44,293605.44,281369.59
17.299999,293605.47,280738.59,293604.41,279857.16,293604.47,278895.09,293605.41,281641.38
17.4,293605.44,281018.72,293604.41,280160.47,293604.44,279215.06,293605.41,281904.09
17.5,293605.44,281289.72,293604.38,280454.62,293604.41,279525.59,293605.38,282158.06
17.6,293605.41,281551.94,293604.34,280739.91,293604.41,279826.97,293605.38,282403.66
17.700001,293605.38,281805.75,293604.34,281016.56,293604.38,280119.47,293605.34,282641.19
17.799999,293605.38,282051.44,293604.31,281284.88,293604.34,280403.34,293605.31,282870.91
17.9,293605.34,282289.22,293604.28,281545.09,293604.34,280678.84,293605.31,283093.16
18,293605.34,282519.41,293604.28,281797.47,293604.31,280946.22,293605.28,283308.16
18.1,293605.31,282742.38,293604.25,282042.31,293604.28,281205.75,293605.28,283516.31
18.200001,293605.28,282958.34,293604.25,282279.78,293604.28,281457.66,293605.25,283717.84
18.299999,293605.28,283167.56,293604.22,282510.22,293604.25,281702.22,293605.25,283912.97
18.4,293605.25,283370.31,293604.22,282733.78,293604.25,281939.62,293605.22,284101.97
18.5,293605.25,283566.88,293604.19,282950.78,293604.22,282170.19,293605.22,284285.16
18.6,293605.22,283757.47,293604.16,283161.41,293604.22,282394.06,293605.19,284462.72
18.700001,293605.22,283942.34,293604.16,283365.88,293604.19,282611.53,293605.19,284634.88
18.799999,293605.19,284121.72,293604.12,283564.41,293604.19,282822.75,293605.16,284801.88
18.9,293605.19,284295.81,293604.12,283757.25,293604.16,283028.03,293605.16,284963.94
19,293605.16,284464.88,293604.12,283944.59,293604.16,283227.5,293605.12,285121.28
19.1,293605.16,284629.09,293604.09,284126.62,293604.12,283421.41,293605.12,285274.09
19.200001,293605.12,284788.62,293604.09,284303.56,293604.12,283609.94,293605.09,285422.56
19.299999,293605.12,284943.72,293604.06,284475.56,293604.09,283793.25,293605.09,285566.88
19.4,293605.12,285094.56,293604.06,284642.84,293604.09,283971.59,293605.06,285707.22
19.5,293605.09,285241.31,293604.03,284805.53,293604.06,284145.12,293605.06,285843.78
19.6,293605.09,285384.12,293604.03,284963.88,293604.06,284314,293605.06,285976.69
19.700001,293605.06,285523.19,293604,285117.97,293604.06,284478.44,293605.03,286106.09
19.799999,293605.06,285658.66,293604,285268,293604.03,284638.53,293605.03,286232.19
19.9,293605.06,285790.72,293604,285414.16,293604.03,284794.5,293605,286355.12
20,293605.03,285919.44,293603.97,285556.53,293604,284946.47,293605,286475
20.1,293605.03,286045,293603.97,285695.28,293604,285094.59,293605,286591.97
20.200001,293605,286167.56,293603.97,285830.56,293604,285239.03,293604.97,286706.12
20.299999,293605,286287.22,293603.94,285962.5,293603.97,285379.88,293604.97,286817.66
20.4,293605,286404.09,293603.94,286091.25,293603.97,285517.31,293604.97,286926.62
20.5,293604.97,286518.34,293603.91,286216.88,293603.94,285651.47,293604.94,287033.16
20.6,293604.97,286630,293603.91,286339.56,293603.94,285782.44,293604.94,287137.34
20.700001,293604.97,286739.25,293603.91,286459.38,293603.94,285910.34,293604.94,287239.31
20.799999,293604.94,286846.16,293603.88,286576.41,293603.91,286035.31,293604.91,287339.12
20.9,293604.94,286950.84,293603.88,286690.84,293603.91,286157.44,293604.91,287436.91
21,293604.94,287053.34,293603.88,286802.72,293603.91,286276.84,293604.91,287532.69
21.1,293604.91,287153.81,293603.84,286912.12,293603.88,286393.62,293604.88,287626.62
21.200001,293604.91,287252.31,293603.84,287019.19,293603.88,286507.88,293604.88,287718.75
21.299999,293604.91,287348.91,293603.84,287124,293603.88,286619.69,293604.88,287809.16
21.4,293604.88,287443.66,293603.84,287226.59,293603.84,286729.16,293604.84,287897.91
21.5,293604.88,287536.69,293603.81,287327.12,293603.84,286836.34,293604.84,287985.03
21.6,293604.88,287628.03,293603.81,287425.62,293603.84,286941.38,293604.84,288070.66
21.700001,293604.88,287717.78,293603.81,287522.16,293603.84,287044.31,293604.84,288154.81
21.799999,293604.84,287805.97,293603.78,287616.81,293603.81,287145.25,293604.81,288237.53
21.9,293604.84,287892.66,293603.78,287709.66,293603.81,287244.19,293604.81,288318.91
22,293604.84,287977.91,293603.78,287800.78,293603.81,287341.28,293604.81,288398.97
22.1,293604.81,288061.78,293603.78,287890.19,293603.78,287436.53,293604.81,288477.78
22.200001,293604.81,288144.31,293603.75,287978,293603.78,287530.06,293604.78,288555.34
22.299999,293604.81,288225.59,293603.75,288064.22,293603.78,287621.88,293604.78,288631.75
22.4,293604.81,288305.59,293603.75,288148.91,293603.78,287712.06,293604.78,288707.03
22.5,293604.78,288384.41,293603.75,288232.16,293603.75,287800.66,293604.78,288781.22
22.6,293604.78,288462.06,293603.72,288314,293603.75,287887.75,293604.75,288854.31
22.700001,293604.78,288538.59,293603.72,288394.44,293603.75,287973.34,293604.75,288926.41
22.799999,293604.78,288614.03,293603.72,288473.56,293603.75,288057.53,293604.75,288997.47
22.9,293604.75,288688.41,293603.72,288551.41,293603.72,288140.31,293604.75,289067.59
23,293604.75,288761.78,293603.69,288628.03,293603.72,288221.75,293604.72,289136.75
23.1,293604.75,288834.16,293603.69,288703.41,293603.72,288301.91,293604.72,289205
23.200001,293604.75,288905.56,293603.69,288777.62,293603.72,288380.81,293604.72,289272.38
23.299999,293604.75,288976,293603.69,288850.72,293603.72,288458.47,293604.72,289338.84
23.4,293604.72,289045.56,293603.69,288922.69,293603.69,288534.94,293604.72,289404.5
23.5,293604.72,289114.19,293603.66,288993.59,293603.69,288610.28,293604.69,289469.28
23.6,293604.72,289181.97,293603.66,289063.47,293603.69,288684.47,293604.69,289533.28
23.700001,293604.72,289248.91,293603.66,289132.31,293603.69,288757.59,293604.69,289596.47
23.799999,293604.72,289314.97,293603.66,289200.16,293603.66,288829.66,293604.69,289658.88
23.9,293604.69,289380.25,293603.66,289267.06,293603.66,288900.69,293604.69,289720.53
24,293604.69,289444.72,293603.62,289333,293603.66,288970.69,293604.66,289781.44
24.1,293604.69,289508.41,293603.62,289398.03,293603.66,289039.75,293604.66,289841.59
24.200001,293604.69,289571.34,293603.62,289462.16,293603.66,289107.81,293604.66,289901.03
24.299999,293604.69,289633.5,293603.62,289525.44,293603.62,289174.97,293604.66,289959.75
24.4,293604.66,289694.91,293603.62,289587.81,293603.62,289241.19,293604.66,290017.75
24.5,293604.66,289755.56,293603.59,289649.38,293603.62,289306.53,293604.66,290075.03
24.6,293604.66,289815.53,293603.59,289710.09,293603.62,289370.97,293604.62,290131.66
24.700001,293604.66,289874.75,293603.59,289770,293603.62,289434.56,293604.62,290187.56
24.799999,293604.66,289933.28,293603.59,289829.12,293603.62,289497.34,293604.62,290242.84
24.9,293604.62,289991.09,293603.59,289887.47,293603.59,289559.28,293604.62,290297.41
25,293604.62,290048.25,293603.59,289945.06,293603.59,289620.41,293604.62,290351.34
25.1,293604.62,290104.72,293603.56,290001.88,293603.59,289680.72,293604.62,290404.62
25.200001,293604.62,290160.47,293603.56,290057.97,293603.59,289740.28,293604.59,290457.22
25.299999,293604.62,290215.59,293603.56,290113.31,293603.59,289799.06,293604.59,290509.19
25.4,293604.62,290270.03,293603.56,290167.94,293603.59,289857.09,293604.59,290560.5
25.5,293604.62,290323.81,293603.56,290221.88,293603.56,289914.38,293604.59,290611.19
25.6,293604.59,290376.94,293603.56,290275.09,293603.56,289970.91,293604.59,290661.25
25.700001,293604.59,290429.41,293603.53,290327.62,293603.56,290026.75,293604.59,290710.66
25.799999,293604.59,290481.25,293603.53,290379.5,293603.56,290081.84,293604.59,290759.44
25.9,293604.59,290532.44,293603.53,290430.69,293603.56,290136.28,293604.56,290807.62
26,293604.59,290583,293603.53,290481.22,293603.56,290190,293604.56,290855.16
26.1,293604.59,290632.91,293603.53,290531.06,293603.53,290243.03,293604.56,290902.09
26.200001,293604.59,290682.19,293603.53,290580.28,293603.53,290295.38,293604.56,290948.38
26.299999,293604.56,290730.84,293603.53,290628.84,293603.53,290347.03,293604.56,290994.06
26.4,293604.56,290778.88,293603.53,290676.78,293603.53,290398.06,293604.56,291039.16
26.5,293604.56,290826.25,293603.5,290724.06,293603.53,290448.44,293604.56,291083.62
26.6,293604.56,290873.06,293603.5,290770.75,293603.53,290498.16,293604.53,291127.5
26.700001,293604.56,290919.22,293603.5,290816.81,293603.53,290547.22,293604.53,291170.75
26.799999,293604.56,290964.78,293603.5,290862.25,293603.53,290595.66,293604.53,291213.41
26.9,293604.56,291009.69,293603.5,290907.06,293603.5,290643.44,293604.53,291255.47
27,293604.56,291054.03,293603.5,290951.31,293603.5,290690.62,293604.53,291296.91
27.1,293604.53,291097.75,293603.5,290994.94,293603.5,290737.19,293604.53,291337.78
27.200001,293604.53,291140.84,293603.5,291037.97,293603.5,290783.12,293604.53,291378.06
27.299999,293604.53,291183.38,293603.47,291080.41,293603.5,290828.44,293604.53,291417.75
27.4,293604.53,291225.28,293603.47,291122.25,293603.5,290873.19,293604.53,291456.84
27.5,293604.53,291266.59,293603.47,291163.53,293603.5,290917.31,293604.53,291495.38
27.6,293604.53,291307.31,293603.47,291204.25,293603.5,290960.84,293604.5,291533.31
27.700001,293604.53,291347.47,293603.47,291244.38,293603.47,291003.78,293604.5,291570.66
27.799999,293604.53,291387,293603.47,291283.94,293603.47,291046.12,293604.5,291607.47
27.9,293604.53,291425.97,293603.47,291322.94,293603.47,291087.91,293604.5,291643.66
28,293604.5,291464.34,293603.47,291361.38,293603.47,291129.09,293604.5,291679.31
28.1,293604.5,291502.12,293603.47,291399.25,293603.47,291169.72,293604.5,291714.41
28.200001,293604.5,291539.38,293603.47,291436.59,293603.47,291209.78,293604.5,291748.94
28.299999,293604.5,291576.03,293603.44,291473.41,293603.47,291249.28,293604.5,291782.94
28.4,293604.5,291612.12,293603.44,291509.66,293603.47,291288.22,293604.5,291816.38
28.5,293604.5,291647.66,293603.44,291545.38,293603.47,291326.59,293604.5,291849.25
28.6,293604.5,291682.66,293603.44,291580.56,293603.47,291364.41,293604.47,291881.59
28.700001,293604.5,291717.06,293603.44,291615.22,293603.44,291401.69,293604.47,291913.38
28.799999,293604.5,291750.94,293603.44,291649.38,293603.44,291438.44,293604.47,291944.66
28.9,293604.5,291784.25,293603.44,291682.97,293603.44,291474.62,293604.47,291975.41
29,293604.5,291817.03,293603.44,291716.09,293603.44,291510.31,293604.47,292005.62
29.1,293604.47,291849.28,293603.44,291748.69,293603.44,291545.47,293604.47,292035.31
29.200001,293604.47,291881.03,293603.44,291780.78,293603.44,291580.09,293604.47,292064.53
29.299999,293604.47,291912.22,293603.44,291812.38,293603.44,291614.19,293604.47,292093.22
29.4,293604.47,291942.88,293603.44,291843.47,293603.44,291647.78,293604.47,292121.38
29.5,293604.47,291973.03,293603.41,291874.09,293603.44,291680.88,293604.47,292149.06
29.6,293604.47,292002.69,293603.41,291904.19,293603.44,291713.44,293604.47,292176.25
29.700001,293604.47,292031.81,293603.41,291933.84,293603.44,291745.5,293604.47,292202.97
29.799999,293604.47,292060.44,293603.41,291963,293603.44,291777.09,293604.47,292229.19
29.9,293604.47,292088.59,293603.41,291991.72,293603.41,291808.19,293604.47,292254.97
30,293604.47,292116.25,293603.41,292019.94,293603.41,291838.78,293604.44,292280.25
30.1,293604.47,292143.41,293603.41,292047.72,293603.41,291868.91,293604.44,292305.06
30.200001,293604.47,292170.09,293603.41,292075.03,293603.41,291898.56,293604.44,292329.44
30.299999,293604.47,292196.31,293603.41,292101.88,293603.41,291927.75,293604.44,292353.34
30.4,293604.47,292222.06,293603.41,292128.31,293603.41,291956.47,293604.44,292376.84
30.5,293604.44,292247.34,293603.41,292154.28,293603.41,291984.72,293604.44,292399.88
30.6,293604.44,292272.19,293603.41,292179.81,293603.41,292012.5,293604.44,292422.47
30.700001,293604.44,292296.56,293603.41,292204.94,293603.41,292039.84,293604.44,292444.66
30.799999,293604.44,292320.53,293603.41,292229.62,293603.41,292066.75,293604.44,292466.41
30.9,293604.44,292344.03,293603.38,292253.91,293603.41,292093.22,293604.44,292487.75
31,293604.44,292367.09,293603.38,292277.75,293603.41,292119.25,293604.44,292508.69
31.1,293604.44,292389.75,293603.38,292301.19,293603.41,292144.84,293604.44,292529.22
31.200001,293604.44,292411.97,293603.38,292324.22,293603.41,292170,293604.44,292549.38
31.299999,293604.44,292433.78,293603.38,292346.88,293603.41,292194.75,293604.44,292569.12
