"Time","eddyCurrentForce.lossPower","mass.s","heatCapacitor.T"
0.182,1099.1481,3.6088943,322.96759
0.1825,1112.6165,3.6181114,323.52048
0.183,1126.1508,3.6273131,324.08014
0.18350001,1139.7495,3.6364996,324.64658
0.184,1153.4115,3.6456709,325.21985
0.18449999,1167.1354,3.6548262,325.79996
0.185,1180.9196,3.6639655,326.38693
0.1855,1194.7626,3.6730886,326.98087
0.186,1208.6628,3.6821954,327.58173
0.1865,1222.6187,3.6912856,328.18951
0.18700001,1236.6284,3.7003591,328.80429
0.1875,1250.6902,3.7094154,329.42606
0.18799999,1264.8022,3.7184544,330.05487
0.1885,1278.9625,3.7274759,330.69077
0.189,1293.1692,3.7364798,331.33374
0.1895,1307.4199,3.7454658,331.98386
0.19,1321.7128,3.7544334,332.64108
0.19050001,1336.0453,3.7633824,333.30548
0.191,1350.4153,3.7723129,333.97705
0.19149999,1364.8202,3.7812245,334.65585
0.192,1379.2577,3.790117,335.34186
0.1925,1393.7251,3.79899,336.0351
0.193,1408.2196,3.8078434,336.7356
0.1935,1422.7386,3.8166769,337.44327
0.19400001,1437.2791,3.8254902,338.15823
0.1945,1451.8381,3.8342831,338.88046
0.19499999,1466.4126,3.8430552,339.60995
0.1955,1480.9993,3.8518066,340.34677
0.19599999,1495.595,3.8605368,341.09085
0.1965,1510.1962,3.8692455,341.84225
0.197,1524.7994,3.8779325,342.60098
0.19750001,1539.4012,3.8865976,343.367
0.198,1553.9976,3.8952403,344.14035
0.19850001,1568.5848,3.9038606,344.92099
0.199,1583.1588,3.9124582,345.70892
0.19949999,1597.7157,3.9210327,346.50418
0.2,1612.2511,3.9295838,347.3067
0.2005,1610.6227,3.9381113,348.11243
0.20100001,1608.9358,3.9466152,348.9173
0.2015,1607.1903,3.9550953,349.72131
0.20200001,1605.3862,3.9635518,350.52441
0.2025,1603.5236,3.9719846,351.3266
0.20299999,1601.6022,3.9803934,352.12787
0.2035,1599.6222,3.9887786,352.92813
0.204,1597.5833,3.9971397,353.72739
0.2045,1595.4857,4.005477,354.5256
0.205,1593.3292,4.0137901,355.32278
0.20550001,1591.1141,4.0220795,356.11887
0.206,1588.8402,4.030345,356.91382
0.20649999,1586.5076,4.0385861,357.70764
0.207,1584.1162,4.0468035,358.50027
0.2075,1581.6663,4.0549965,359.29172
0.208,1579.1577,4.0631652,360.08191
0.2085,1576.5907,4.07131,360.87085
0.20900001,1573.9652,4.0794306,361.65851
0.2095,1571.2815,4.0875268,362.44482
0.20999999,1568.5396,4.0955987,363.22977
0.2105,1565.7394,4.1036463,364.01337
0.211,1562.8813,4.1116695,364.7955
0.2115,1559.9655,4.119668,365.57623
0.212,1556.9919,4.1276426,366.35547
0.21250001,1553.9609,4.1355925,367.13321
0.213,1550.8724,4.143518,367.90942
0.21349999,1547.7269,4.1514192,368.68408
0.214,1544.5244,4.1592956,369.45715
0.2145,1541.2651,4.1671476,370.22861
0.215,1537.9493,4.1749749,370.99841
0.2155,1534.5773,4.1827779,371.76657
0.21600001,1531.1492,4.190556,372.53302
0.2165,1527.6653,4.1983094,373.29773
0.21699999,1524.1257,4.2060385,374.0607
0.2175,1520.531,4.2137427,374.82187
0.21799999,1516.8813,4.2214222,375.58124
0.2185,1513.1769,4.2290769,376.33878
0.219,1509.4182,4.2367067,377.09445
0.21950001,1505.6053,4.2443123,377.84824
0.22,1501.7388,4.2518926,378.60007
0.22050001,1497.8188,4.2594481,379.34998
0.221,1493.8458,4.2669792,380.09793
0.22149999,1489.8201,4.2744851,380.84384
0.222,1485.7421,4.2819662,381.58774
0.2225,1481.6122,4.2894225,382.32962
0.223,1477.4308,4.296854,383.0694
0.2235,1473.1984,4.3042603,383.8071
0.22400001,1468.9152,4.3116422,384.54263
0.2245,1464.5817,4.3189988,385.27603
0.22499999,1460.1982,4.3263307,386.00723
0.2255,1455.7655,4.3336372,386.73624
0.226,1451.2838,4.340919,387.46301
0.2265,1446.7538,4.348176,388.18756
0.227,1442.1757,4.3554082,388.90982
0.22750001,1437.55,4.3626151,389.62979
0.228,1432.8774,4.3697972,390.34741
0.22849999,1428.1583,4.3769541,391.06268
0.229,1423.3932,4.3840861,391.7756
0.2295,1418.5826,4.3911929,392.48611
0.23,1413.7272,4.3982754,393.19421
0.2305,1408.8273,4.4053326,393.8999
0.23100001,1403.8835,4.4123645,394.60312
0.2315,1398.8965,4.4193716,395.30383
0.23199999,1393.8667,4.4263535,396.00204
0.2325,1388.7948,4.4333105,396.69772
0.233,1383.6813,4.4402428,397.39087
0.2335,1378.5267,4.4471498,398.08145
0.234,1373.3319,4.4540319,398.76947
0.23450001,1368.0973,4.4608889,399.45486
0.235,1362.8235,4.467721,400.13763
0.23549999,1357.5111,4.4745283,400.81775
0.236,1352.1608,4.4813104,401.49518
0.23649999,1346.7732,4.4880676,402.16992
0.237,1341.3489,4.4947996,402.84198
0.2375,1335.8885,4.5015068,403.51132
0.23800001,1330.3928,4.5081892,404.17792
0.2385,1324.8624,4.5148468,404.84174
0.23899999,1319.298,4.5214791,405.50281
0.2395,1313.7001,4.5280867,406.16107
0.23999999,1308.0695,4.5346689,406.81653
0.2405,1302.4069,4.5412269,407.46915
0.241,1296.7128,4.5477595,408.11893
0.24150001,1290.988,4.5542679,408.76587
0.242,1285.2333,4.560751,409.40994
0.24250001,1279.4492,4.5672092,410.05112
0.243,1273.6366,4.5736427,410.68939
0.24349999,1267.796,4.5800514,411.32474
0.244,1261.9281,4.5864353,411.95718
0.2445,1256.0338,4.5927944,412.58667
0.245,1250.1136,4.5991287,413.21323
0.2455,1244.1683,4.6054382,413.83679
0.24600001,1238.1987,4.6117234,414.45737
0.2465,1232.2053,4.6179838,415.07498
0.24699999,1226.189,4.6242194,415.68958
0.2475,1220.1504,4.6304302,416.30115
0.248,1214.0903,4.6366167,416.90973
0.2485,1208.0094,4.6427789,417.51523
0.249,1201.9083,4.6489162,418.11771
0.24950001,1195.788,4.6550288,418.71713
0.25,1189.6488,4.6611171,419.31351
0.25049999,1183.4918,4.667181,419.9068
0.25099999,1177.3175,4.6732202,420.49698
0.25150001,1171.1268,4.679235,421.08411
0.252,1164.9203,4.685226,421.66812
0.2525,1158.6986,4.6911922,422.24902
0.25299999,1152.4626,4.697134,422.82681
0.25350001,1146.2131,4.7030516,423.40149
0.25400001,1139.9506,4.7089448,423.97302
0.2545,1133.6758,4.7148137,424.54144
0.255,1127.3896,4.7206588,425.10669
0.25549999,1121.0927,4.7264795,425.66882
0.25600001,1114.7855,4.732276,426.22778
0.25650001,1108.469,4.7380486,426.7836
0.257,1102.1438,4.7437968,427.33624
0.25749999,1095.8107,4.7495213,427.88574
0.25799999,1089.4702,4.7552218,428.43207
