"Time","inertia2.phi","inertia2.w","damper.phi_rel","damper.w_rel","springDamper.phi_rel","springDamper.w_rel","inertia3.phi","inertia3.w","elastoBacklash.phi_rel","elastoBacklash.w_rel","bearingFriction.mode","clutch.phi_rel","clutch.w_rel","clutch.mode","brake.mode","lossyGear.mode","gear2_1.phi_rel","gear2_1.w_rel","gear2_1.lossyGear.mode","inertia8.phi","inertia8.w","position.phi","position.w","speed.phi","speed.w","accelerate.phi","accelerate.w","inertia13.phi","inertia13.w","inertia14.phi","inertia14.w","inertia15.phi"
0.56844002,-0.010473055,-0.045411389,4.3691827e-05,-0.00039247432,-3.8493112e-05,0.00042792733,1.1461838,1.9647502,-0.00015153264,0.00085186568,1,-5.754596e-05,-0.0015422057,2,2,2,0,0,0,0,0,-0.39193553,-5.7796402,0.30508855,-0.39855152,0.10102998,0.30381992,0.033676658,0.10127331,1.1847881,4.16856,6.25284
0.56862003,-0.010481233,-0.045449641,4.3621654e-05,-0.00038724268,-3.8416794e-05,0.00042004112,1.1465374,1.9647253,-0.00015138042,0.00083942962,1,-5.7823818e-05,-0.0015450902,2,2,2,0,0,0,0,0,-0.39297563,-5.7768512,0.3050167,-0.39958829,0.10108466,0.30374479,0.033694886,0.10124826,1.1855385,4.1698799,6.2548199
0.56879997,-0.010489417,-0.045487914,4.3552423e-05,-0.00038199476,-3.8341903e-05,0.0004120997,1.1468911,1.9647003,-0.00015123046,0.00082690472,1,-5.8102192e-05,-0.0015479703,2,2,2,0,0,0,0,0,-0.39401519,-5.774055,0.30494469,-0.40062454,0.10113932,0.30366945,0.03371311,0.10122316,1.1862893,4.1711998,6.2568002
0.56897998,-0.010497608,-0.045526199,4.3484139e-05,-0.00037673139,-3.8268445e-05,0.00040410404,1.1472448,1.9646754,-0.00015108274,0.00081429299,1,-5.8381087e-05,-0.0015508463,2,2,2,0,0,0,0,0,-0.39505428,-5.7712512,0.30487248,-0.40166029,0.10119398,0.30359396,0.033731326,0.10119799,1.1870402,4.1725202,6.25878
0.56915998,-0.010505807,-0.045564506,4.3416803e-05,-0.00037145338,-3.8196431e-05,0.00039605508,1.1475984,1.9646505,-0.00015093731,0.00080159627,1,-5.8660495e-05,-0.001553718,2,2,2,0,0,0,0,0,-0.39609286,-5.7684402,0.30480009,-0.40269551,0.10124861,0.30351827,0.033749539,0.10117276,1.1877913,4.17384,6.2607598
0.56933999,-0.010514012,-0.045602832,4.3350417e-05,-0.00036616158,-3.8125869e-05,0.00038795383,1.1479521,1.9646257,-0.00015079418,0.00078881654,1,-5.8940423e-05,-0.0015565857,2,2,2,0,0,0,0,0,-0.39713094,-5.7656221,0.30472752,-0.40373021,0.10130324,0.30344239,0.033767749,0.10114747,1.1885428,4.1751599,6.2627401
0.56952,-0.010522223,-0.045641176,4.3284988e-05,-0.00036085676,-3.8056773e-05,0.00037980123,1.1483057,1.9646009,-0.00015065334,0.00077595568,1,-5.9220867e-05,-0.0015594492,2,2,2,0,0,0,0,0,-0.39816847,-5.7627964,0.30465475,-0.40476441,0.10135785,0.30336633,0.033785954,0.10112211,1.1892945,4.1764798,6.26472
0.5697,-0.010530442,-0.045679539,4.3220512e-05,-0.00035553976,-3.7989146e-05,0.00037159832,1.1486593,1.9645761,-0.00015051484,0.00076301559,1,-5.9501825e-05,-0.0015623089,2,2,2,0,0,0,0,0,-0.39920554,-5.759963,0.30458179,-0.40579811,0.10141245,0.3032901,0.033804152,0.1010967,1.1900463,4.1778002,6.2666998
0.56988001,-0.010538668,-0.045717921,4.3156997e-05,-0.0003502114,-3.7923e-05,0.00036334601,1.1490129,1.9645513,-0.00015037868,0.00074999826,1,-5.9783299e-05,-0.0015651647,2,2,2,0,0,0,0,0,-0.40024206,-5.7571225,0.30450866,-0.40683126,0.10146704,0.30321369,0.033822346,0.10107122,1.1907984,4.1791201,6.2686801
0.57006001,-0.010546901,-0.045756321,4.3094438e-05,-0.00034487247,-3.7858346e-05,0.00035504537,1.1493665,1.9645265,-0.00015024484,0.00073690561,1,-6.0065286e-05,-0.0015680165,2,2,2,0,0,0,0,0,-0.40127808,-5.7542748,0.30443534,-0.40786389,0.10152161,0.30313706,0.033840537,0.10104569,1.1915509,4.1804399,6.2706599
0.57024002,-0.010555141,-0.045794744,4.3032844e-05,-0.00033952389,-3.7795187e-05,0.00034669734,1.1497202,1.9645019,-0.0001501134,0.00072373945,1,-6.0347782e-05,-0.0015708646,2,2,2,0,0,0,0,0,-0.40231362,-5.7514195,0.30436182,-0.40889603,0.10157617,0.30306026,0.033858724,0.10102009,1.1923034,4.1817598,6.2726402
0.57042003,-0.010563387,-0.045833189,4.2972213e-05,-0.0003341664,-3.7733538e-05,0.00033830298,1.1500738,1.9644772,-0.00014998432,0.00071050192,1,-6.0630795e-05,-0.001573709,2,2,2,0,0,0,0,0,-0.40334859,-5.7485571,0.30428815,-0.40992761,0.10163072,0.30298328,0.033876903,0.10099443,1.1930562,4.1830802,6.2746201
0.57059997,-0.01057164,-0.045871656,4.2912547e-05,-0.00032880082,-3.7673402e-05,0.00032986322,1.1504273,1.9644525,-0.00014985762,0.00069719489,1,-6.0914317e-05,-0.0015765496,2,2,2,0,0,0,0,0,-0.40438309,-5.745687,0.30421427,-0.41095868,0.10168525,0.30290613,0.033895083,0.10096871,1.1938093,4.1844001,6.2765999
0.57077998,-0.010579901,-0.045910142,4.2853844e-05,-0.00032342799,-3.7614791e-05,0.00032137908,1.1507809,1.9644278,-0.00014973333,0.00068382046,1,-6.1198349e-05,-0.0015793868,2,2,2,0,0,0,0,0,-0.40541705,-5.7428098,0.30414018,-0.41198924,0.10173976,0.30282879,0.033913255,0.10094293,1.1945627,4.18572,6.2785802
0.57095999,-0.010588168,-0.045948651,4.2796113e-05,-0.00031804867,-3.7557711e-05,0.00031285157,1.1511346,1.9644032,-0.00014961146,0.00067038048,1,-6.1482897e-05,-0.0015822204,2,2,2,0,0,0,0,0,-0.40645051,-5.7399254,0.30406594,-0.41301924,0.10179427,0.30275127,0.033931423,0.10091709,1.1953162,4.1870399,6.28056
0.57113999,-0.010596442,-0.045987181,4.273935e-05,-0.00031266373,-3.750217e-05,0.00030428168,1.1514882,1.9643786,-0.000149492,0.00065687712,1,-6.1767954e-05,-0.0015850506,2,2,2,0,0,0,0,0,-0.40748343,-5.7370334,0.3039915,-0.41404873,0.10184875,0.30267355,0.033949584,0.10089118,1.19607,4.1883602,6.2825398
0.57132,-0.010604723,-0.046025738,4.2683558e-05,-0.00030727396,-3.7448175e-05,0.00029567044,1.1518418,1.964354,-0.00014937499,0.00064331223,1,-6.2053514e-05,-0.0015878773,2,2,2,0,0,0,0,0,-0.40851584,-5.7341337,0.30391687,-0.41507769,0.10190322,0.30259565,0.033967741,0.10086522,1.196824,4.1896801,6.2845201
0.5715,-0.010613011,-0.046064317,4.2628733e-05,-0.00030188015,-3.7395734e-05,0.00028701883,1.1521953,1.9643295,-0.00014926042,0.00062968797,1,-6.233959e-05,-0.0015907007,2,2,2,0,0,0,0,0,-0.40954772,-5.7312274,0.30384207,-0.41610613,0.10195769,0.30251756,0.033985894,0.10083919,1.1975782,4.191,6.2865
0.57168001,-0.010621306,-0.046102919,4.257488e-05,-0.00029648317,-3.7344853e-05,0.00027832788,1.1525489,1.9643049,-0.00014914831,0.0006160062,1,-6.2626168e-05,-0.0015935209,2,2,2,0,0,0,0,0,-0.41057906,-5.7283134,0.30376709,-0.41713402,0.10201214,0.3024393,0.034004044,0.1008131,1.1983328,4.1923199,6.2884798
0.57186002,-0.010629608,-0.046141546,4.2522002e-05,-0.00029108376,-3.7295536e-05,0.00026959862,1.1529025,1.9642804,-0.00014903866,0.00060226908,1,-6.2913256e-05,-0.0015963379,2,2,2,0,0,0,0,0,-0.41160989,-5.7253919,0.30369189,-0.41816139,0.10206656,0.30236086,0.03402219,0.10078695,1.1990875,4.1936402,6.2904601
0.57204002,-0.010637918,-0.046180196,4.2470092e-05,-0.00028568279,-3.7247799e-05,0.00026083205,1.1532561,1.9642559,-0.0001489315,0.00058847864,1,-6.3200845e-05,-0.0015991518,2,2,2,0,0,0,0,0,-0.41264021,-5.7224636,0.30361655,-0.4191882,0.10212098,0.30228221,0.034040328,0.10076074,1.1998425,4.1949601,6.2924399
0.57222003,-0.010646233,-0.046218872,4.2419157e-05,-0.00028028103,-3.720164e-05,0.00025202916,1.1536096,1.9642314,-0.00014882682,0.00057463686,1,-6.3488951e-05,-0.0016019625,2,2,2,0,0,0,0,0,-0.41367,-5.7195277,0.303541,-0.4202145,0.10217538,0.30220342,0.034058463,0.10073447,1.2005976,4.19628,6.2944198
0.57239997,-0.010654557,-0.046257574,4.2369193e-05,-0.00027487936,-3.7157071e-05,0.00024319105,1.1539632,1.9642069,-0.00014872463,0.00056074566,1,-6.3777552e-05,-0.0016047703,2,2,2,0,0,0,0,0,-0.41469923,-5.7165842,0.30346528,-0.42124027,0.10222977,0.30212441,0.03407659,0.10070814,1.2013531,4.1975999,6.2964001
0.57257998,-0.010662886,-0.046296299,4.23202e-05,-0.00026947857,-3.7114096e-05,0.00023431871,1.1543167,1.9641825,-0.00014862495,0.00054680719,1,-6.4066662e-05,-0.0016075751,2,2,2,0,0,0,0,0,-0.41572797,-5.7136335,0.30338934,-0.42226547,0.10228415,0.30204523,0.034094717,0.10068174,1.2021089,4.1989198,6.2983799
0.57275999,-0.010671223,-0.046335053,4.2272182e-05,-0.00026407943,-3.7072721e-05,0.00022541314,1.1546702,1.9641581,-0.00014852779,0.0005328235,1,-6.4356282e-05,-0.001610377,2,2,2,0,0,0,0,0,-0.41675615,-5.7106757,0.30331326,-0.42329016,0.10233852,0.30196589,0.034112837,0.10065529,1.2028648,4.2002401,6.3003602
0.57293999,-0.010679567,-0.046373833,4.2225132e-05,-0.00025868273,-3.7032951e-05,0.00021647538,1.1550238,1.9641336,-0.00014843314,0.00051879667,1,-6.4646403e-05,-0.0016131762,2,2,2,0,0,0,0,0,-0.4177838,-5.7077107,0.30323696,-0.42431429,0.10239286,0.30188632,0.034130953,0.10062878,1.2036209,4.20156,6.30234
0.57312,-0.010687917,-0.046412643,4.2179057e-05,-0.00025328933,-3.6994792e-05,0.00020750647,1.1553774,1.9641092,-0.00014834103,0.00050472876,1,-6.4937027e-05,-0.0016159726,2,2,2,0,0,0,0,0,-0.41881093,-5.7047381,0.30316049,-0.42533788,0.10244719,0.3018066,0.034149062,0.1006022,1.2043773,4.2028799,6.3043199
0.5733,-0.010696275,-0.046451475,4.213395e-05,-0.00024790002,-3.6958252e-05,0.00019850743,1.1557308,1.9640847,-0.00014825145,0.00049062178,1,-6.5228152e-05,-0.0016187663,2,2,2,0,0,0,0,0,-0.4198375,-5.7017584,0.30308384,-0.42636093,0.10250151,0.3017267,0.034167171,0.10057557,1.2051339,4.2041998,6.3063002
0.57348001,-0.01070464,-0.046490338,4.2089814e-05,-0.00024251555,-3.6923335e-05,0.00018947929,1.1560844,1.9640604,-0.00014816441,0.00047647784,1,-6.551978e-05,-0.0016215574,2,2,2,0,0,0,0,0,-0.42086357,-5.6987715,0.30300701,-0.42738342,0.10255581,0.30164662,0.034185272,0.10054887,1.2058908,4.2055202,6.30828
0.57366002,-0.010713012,-0.04652923,4.2046646e-05,-0.00023713679,-3.6890044e-05,0.00018042309,1.156438,1.964036,-0.00014807993,0.00046229901,1,-6.581191e-05,-0.001624346,2,2,2,0,0,0,0,0,-0.42188907,-5.6957769,0.30293,-0.42840537,0.1026101,0.30156633,0.034203365,0.10052211,1.2066479,4.20684,6.3102598
0.57384002,-0.010721391,-0.046568152,4.2004445e-05,-0.00023176448,-3.6858386e-05,0.00017133985,1.1567914,1.9640117,-0.000147998,0.00044808732,1,-6.6104541e-05,-0.0016271321,2,2,2,0,0,0,0,0,-0.42291403,-5.6927752,0.30285278,-0.42942679,0.10266437,0.30148587,0.034221459,0.10049529,1.2074052,4.2081599,6.3122401
0.57402003,-0.010729777,-0.046607099,4.1963212e-05,-0.00022639944,-3.6828362e-05,0.00016223062,1.157145,1.9639872,-0.00014791862,0.00043384489,1,-6.6397675e-05,-0.0016299157,2,2,2,0,0,0,0,0,-0.42393845,-5.6897664,0.30277538,-0.43044767,0.10271864,0.30140525,0.034239545,0.10046841,1.2081629,4.2094798,6.31422
0.57419997,-0.010738169,-0.046646077,4.1922944e-05,-0.00022104246,-3.6799986e-05,0.00015309642,1.1574985,1.9639629,-0.00014784181,0.0004195738,1,-6.6691311e-05,-0.0016326969,2,2,2,0,0,0,0,0,-0.42496234,-5.6867504,0.30269784,-0.43146795,0.10277288,0.30132443,0.034257628,0.10044147,1.2089207,4.2108002,6.3161998
0.57437998,-0.010746569,-0.046685088,4.1883635e-05,-0.00021569434,-3.677325e-05,0.00014393829,1.1578521,1.9639386,-0.00014776758,0.00040527611,1,-6.6985449e-05,-0.001635476,2,2,2,0,0,0,0,0,-0.42598569,-5.6837268,0.30262005,-0.43248773,0.10282712,0.30124342,0.034275703,0.10041447,1.2096788,4.2121201,6.3181801
0.57455999,-0.010754975,-0.046724126,4.1845291e-05,-0.00021035591,-3.674817e-05,0.0001347573,1.1582055,1.9639143,-0.00014769593,0.00039095382,1,-6.7280082e-05,-0.0016382528,2,2,2,0,0,0,0,0,-0.42700848,-5.680696,0.30254212,-0.43350694,0.10288133,0.30116224,0.034293778,0.10038741,1.2104371,4.2134399,6.3201599
0.57473999,-0.01076339,-0.046763197,4.1807907e-05,-0.00020502791,-3.6724741e-05,0.00012555448,1.1585591,1.96389,-0.00014762685,0.00037660904,1,-6.7575216e-05,-0.0016410273,2,2,2,0,0,0,0,0,-0.42803073,-5.6776581,0.30246401,-0.43452558,0.10293553,0.30108085,0.034311842,0.10036029,1.2111956,4.2147598,6.3221402
0.57492,-0.010771811,-0.046802297,4.1771484e-05,-0.00019971117,-3.6702972e-05,0.00011633085,1.1589125,1.9638656,-0.00014756035,0.00036224388,1,-6.7870853e-05,-0.0016437998,2,2,2,0,0,0,0,0,-0.42905244,-5.674613,0.30238569,-0.43554366,0.10298972,0.30099931,0.034329906,0.10033311,1.2119544,4.2160802,6.32412
0.5751,-0.010780239,-0.046841428,4.1736013e-05,-0.00019440644,-3.6682864e-05,0.00010708746,1.159266,1.9638413,-0.00014749644,0.00034786042,1,-6.8166984e-05,-0.0016465703,2,2,2,0,0,0,0,0,-0.43007359,-5.6715603,0.30230722,-0.4365612,0.10304389,0.3009176,0.034347963,0.10030586,1.2127134,4.2174001,6.3260999
0.57528001,-0.010788674,-0.046880595,4.1701496e-05,-0.00018911452,-3.6664424e-05,9.7825352e-05,1.1596196,1.963817,-0.00014743513,0.00033346072,1,-6.8463618e-05,-0.0016493388,2,2,2,0,0,0,0,0,-0.4310942,-5.6685004,0.30222854,-0.43757817,0.10309805,0.30083567,0.034366015,0.10027856,1.2134726,4.21872,6.3280802
0.57546002,-0.010797116,-0.046919789,4.1667932e-05,-0.00018383619,-3.6647649e-05,8.8545567e-05,1.159973,1.9637927,-0.0001473764,0.00031904687,1,-6.8760746e-05,-0.0016521052,2,2,2,0,0,0,0,0,-0.43211427,-5.6654334,0.30214968,-0.43859458,0.10315219,0.30075359,0.034384064,0.1002512,1.2142321,4.2200398,6.33006
