"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","loadInertia.phi","loadInertia.w","inductor.inductor[1].i","inductor.inductor[3].i"
2.0223,465.5278,-451.10995,-115.96167,516.5614,105.31312,-512.55066,149.65245,125.57283,479.9462,436.69235
2.0223999,486.57877,-463.23529,-114.96663,536.69653,104.30792,-531.78394,149.66501,125.52924,509.92279,439.89203
2.0225,507.51233,-474.66757,-113.53381,556.55005,102.8803,-550.73718,149.67757,125.48509,540.35767,441.823
2.0225999,528.30756,-485.40265,-111.67238,576.11304,101.0393,-569.40192,149.69011,125.44044,571.21307,442.49796
2.0227001,548.94391,-495.4371,-109.39167,595.37689,98.79409,-587.7699,149.70265,125.39531,602.45129,441.93048
2.0228,569.401,-504.7681,-106.70116,614.33325,96.154022,-605.83313,149.71518,125.34972,634.03461,440.13528
2.0229001,589.65894,-513.39337,-103.61049,632.97406,93.128548,-623.58398,149.72772,125.3037,665.92517,437.12796
2.023,609.69806,-521.31152,-100.12942,651.29144,89.727257,-641.01508,149.74025,125.25729,698.08527,432.92508
2.0230999,629.49908,-528.52155,-96.267822,669.27789,85.959862,-658.11926,149.75278,125.2105,730.47729,427.5441
2.0232,649.04309,-535.02325,-92.035728,686.92621,81.836189,-674.88965,149.76529,125.16336,763.0636,421.00348
2.0232999,668.31152,-540.81702,-87.443245,704.22943,77.36615,-691.3197,149.7778,125.1159,795.80676,413.32248
2.0234001,687.28625,-545.90381,-82.500595,721.18091,72.559769,-707.40314,149.79031,125.06812,828.66949,404.52127
2.0235,705.94965,-550.28528,-77.218102,737.77423,67.427155,-723.13385,149.80281,125.02007,861.61469,394.62088
2.0236001,724.28424,-553.96368,-71.606163,754.00323,61.978493,-738.50623,149.81532,124.97176,894.60553,383.64307
2.0237,742.27325,-556.94196,-65.675262,769.86218,56.224033,-753.51465,149.8278,124.92319,927.60535,371.6105
2.0237999,759.90027,-559.22345,-59.435951,785.34558,50.174103,-768.15399,149.8403,124.8744,960.57782,358.54657
2.0239,777.14923,-560.81238,-52.898853,800.44812,43.839077,-782.41943,149.85278,124.82539,993.48688,344.4754
2.0239999,794.00476,-561.71344,-46.074635,815.16479,37.229389,-796.30621,149.86526,124.77618,1026.2969,329.42191
2.0241001,810.45178,-561.93176,-38.974022,829.49109,30.355503,-809.81,149.87775,124.72679,1058.9725,313.41159
2.0242,826.47571,-561.47333,-31.607779,843.42242,23.22793,-822.92682,149.89021,124.67723,1091.4789,296.47073
2.0243001,842.06262,-560.34454,-23.986694,856.9549,15.857201,-835.65277,149.90268,124.6275,1123.7815,278.62619
2.0244,857.19891,-558.55231,-16.121595,870.08453,8.253871,-847.98431,149.91513,124.57763,1155.8463,259.90549
2.0244999,871.87164,-556.10431,-8.0233221,882.80786,0.42850977,-859.91827,149.9276,124.52762,1187.6398,240.33669
2.0246,886.06824,-553.00848,0.29726994,895.12158,-7.6083055,-871.45166,149.94005,124.47747,1219.1288,219.94844
2.0246999,899.77686,-549.27356,8.8293219,907.02277,-15.845998,-882.58173,149.95248,124.4272,1250.2809,198.76997
2.0248001,912.98602,-544.90869,17.561975,918.50867,-24.273996,-893.30603,149.96492,124.37681,1281.0642,176.83093
2.0249,925.685,-539.92346,26.484379,929.5769,-32.881737,-903.62238,149.97736,124.3263,1311.4474,154.16151
2.0250001,937.86334,-534.32806,35.585697,940.22528,-41.658684,-913.52887,149.98979,124.27569,1341.3995,130.79233
2.0251,949.51141,-528.13312,44.855118,950.4519,-50.594318,-923.02393,150.00221,124.22497,1370.8905,106.7544
2.0251999,960.62006,-521.34985,54.281849,960.25525,-59.678154,-932.10608,150.01463,124.17414,1399.8911,82.079178
2.0253,971.18066,-513.98975,63.855141,969.63379,-68.899742,-940.77423,150.02705,124.12321,1428.3723,56.798416
2.0253999,981.18518,-506.06494,73.564278,978.58661,-78.24868,-949.02753,150.03946,124.07219,1456.3062,30.944242
2.0255001,990.62616,-497.58786,83.39859,987.11285,-87.7146,-956.8653,150.05186,124.02106,1483.6653,4.5490613
2.0256,999.49683,-488.57144,93.347466,995.21191,-97.287209,-964.28717,150.06427,123.96983,1510.423,-22.35445
2.0257001,1007.7908,-479.02902,103.40034,1002.8835,-106.95626,-971.29309,150.07666,123.9185,1536.5535,-49.733379
2.0258,1015.5026,-468.97427,113.54671,1010.1275,-116.71158,-977.88312,150.08905,123.86707,1562.0317,-77.554604
2.0258999,1022.627,-458.42136,123.77616,1016.9442,-126.54305,-984.05762,150.10144,123.81552,1586.8334,-105.78482
2.026,1029.1594,-447.38474,134.07834,1023.334,-136.44063,-989.8172,150.11382,123.76387,1610.9349,-134.39061
2.0260999,1035.0962,-435.87921,144.44296,1029.2975,-146.39439,-995.16272,150.12619,123.7121,1634.314,-163.33838
2.0262001,1040.4338,-423.91998,154.85983,1034.8358,-156.39447,-1000.0952,150.13855,123.66021,1656.9485,-192.59451
2.0263,1045.1697,-411.52252,165.31888,1039.95,-166.43106,-1004.616,150.15092,123.60819,1678.8176,-222.12532
2.0264001,1049.3018,-398.70264,175.81006,1044.6414,-176.49451,-1008.7265,150.16328,123.55605,1699.9015,-251.89709
2.0265,1052.8282,-385.47644,186.32349,1048.9116,-186.57521,-1012.4286,150.17563,123.50377,1720.1809,-281.8761
2.0265999,1055.7485,-371.86026,196.84935,1052.7626,-196.66373,-1015.7241,150.18797,123.45135,1739.6375,-312.02869
2.0267,1058.062,-357.87073,207.37796,1056.1964,-206.75066,-1018.6154,150.20032,123.39877,1758.254,-342.32126
2.0267999,1059.769,-343.52475,217.89975,1059.2152,-216.82677,-1021.1046,150.21266,123.34605,1776.014,-372.72031
2.0269001,1060.8705,-328.83939,228.40524,1061.8217,-226.88292,-1023.1944,150.22499,123.29315,1792.9023,-403.19244
2.027,1061.3677,-313.832,238.8851,1064.0183,-236.91013,-1024.8876,150.23732,123.24009,1808.9041,-433.70447
2.0271001,1061.2627,-298.52002,249.33012,1065.8082,-246.89946,-1026.1871,150.24963,123.18684,1824.006,-464.22339
2.0272,1060.5579,-282.92117,259.7312,1067.1945,-256.84216,-1027.0963,150.26195,123.13342,1838.1952,-494.71631
2.0272999,1059.2565,-267.05325,270.07941,1068.1802,-266.72964,-1027.6183,150.27426,123.07979,1851.4603,-525.15076
2.0274,1057.3622,-250.93428,280.36594,1068.7692,-276.55341,-1027.7567,150.28658,123.02596,1863.7908,-555.49445
2.0274999,1054.8792,-234.58234,290.58209,1068.9648,-286.30511,-1027.5154,150.29887,122.97192,1875.1766,-585.71527
2.0276,1051.8121,-218.01561,300.71939,1068.7714,-295.9765,-1026.8981,150.31116,122.91766,1885.6093,-615.78174
2.0276999,1048.1665,-201.25244,310.76941,1068.1925,-305.5596,-1025.9089,150.32346,122.86316,1895.0812,-645.66241
2.0278001,1043.9481,-184.31119,320.72394,1067.2325,-315.04645,-1024.5521,150.33574,122.80843,1903.5854,-675.32654
2.0279,1039.1631,-167.21025,330.57492,1065.896,-324.42929,-1022.8321,150.34802,122.75346,1911.1165,-704.74341
2.0280001,1033.8186,-149.96812,340.31445,1064.1874,-333.70056,-1020.7534,150.36029,122.69823,1917.6696,-733.88312
2.0281,1027.9219,-132.6033,349.93478,1062.1113,-342.85278,-1018.3207,150.37256,122.64274,1923.2408,-762.71606
2.0281999,1021.4807,-115.13425,359.42828,1059.6729,-351.87872,-1015.5389,150.38481,122.58698,1927.8276,-791.21307
2.0283,1014.5036,-97.579453,368.7876,1056.8768,-360.77127,-1012.4131,150.39708,122.53094,1931.4282,-819.34552
2.0283999,1006.9993,-79.957359,378.00543,1053.7285,-369.52341,-1008.9482,150.40932,122.47462,1934.0416,-847.08539
2.0285001,998.97723,-62.286385,387.07474,1050.2332,-378.12845,-1005.1496,150.42157,122.418,1935.6683,-874.40521
2.0286,990.44696,-44.58485,395.98859,1046.3962,-386.57971,-1001.0227,150.43381,122.36108,1936.3094,-901.27808
2.0287001,981.41876,-26.871008,404.74026,1042.2234,-394.87082,-996.573,150.44604,122.30386,1935.9668,-927.67755
2.0288,971.90332,-9.163023,413.32324,1037.7202,-402.99548,-991.80609,150.45827,122.24633,1934.6439,-953.57806
2.0288999,961.91162,8.5210562,421.73111,1032.8926,-410.94766,-986.72784,150.47049,122.18848,1932.3446,-978.95453
2.029,951.45514,26.163322,429.95773,1027.7463,-418.72141,-981.34399,150.48271,122.1303,1929.0739,-1003.7826
2.0290999,940.54572,43.74601,437.99707,1022.2877,-426.311,-975.66064,150.49492,122.0718,1924.8376,-1028.0385
2.0292001,929.19556,61.251511,445.84329,1016.5226,-433.71094,-969.68372,150.50713,122.01296,1919.6428,-1051.6993
2.0293,917.41736,78.662392,453.49084,1010.4574,-440.91586,-963.41943,150.51932,121.95379,1913.4972,-1074.7429
2.0294001,905.22394,95.961426,460.93423,1004.0985,-447.92056,-956.87402,150.53151,121.89427,1906.4094,-1097.1476
2.0295,892.62872,113.13159,468.16821,997.45221,-454.72006,-950.05383,150.5437,121.83442,1898.3892,-1118.8926
2.0295999,879.64526,130.15607,475.18771,990.52509,-461.30957,-942.96527,150.55588,121.77421,1889.4467,-1139.9581
2.0297,866.28748,147.01831,481.98792,983.32379,-467.68448,-935.61481,150.56805,121.71365,1879.5934,-1160.3248
2.0297999,852.56964,163.70201,488.56409,975.85492,-473.84036,-928.00897,150.58022,121.65275,1868.8413,-1179.9744
2.0299001,838.50629,180.19112,494.9118,968.12518,-479.77298,-920.15442,150.59238,121.59149,1857.2037,-1198.8892
2.03,824.11218,196.46985,501.0267,960.14142,-485.4783,-912.05774,150.60454,121.52988,1844.6942,-1217.0525
2.0301001,809.40234,212.52277,506.90479,951.91046,-490.95242,-903.72577,150.61668,121.46793,1831.3274,-1234.4486
2.0302,794.39209,228.3347,512.54205,943.43927,-496.19171,-895.16516,150.62883,121.40562,1817.1188,-1251.0621
2.0302999,779.09686,243.89082,517.93494,934.73474,-501.19269,-886.38281,150.64096,121.34296,1802.0845,-1266.8792
2.0304,763.53247,259.17661,523.07977,925.80396,-505.95206,-877.38556,150.65311,121.27995,1786.2413,-1281.8862
2.0304999,747.71472,274.17789,527.97333,916.65387,-510.46674,-868.1803,150.66522,121.21661,1769.6072,-1296.0712
2.0306001,731.65967,288.88089,532.61249,907.29156,-514.73376,-858.77399,150.67734,121.15292,1752.2001,-1309.4221
2.0307,715.38367,303.27219,536.99432,897.72424,-518.75049,-849.17346,150.68945,121.0889,1734.0393,-1321.9286
2.0308001,698.90302,317.33868,541.11615,887.95886,-522.51434,-839.38574,150.70155,121.02454,1715.1444,-1333.5809
2.0309,682.23419,331.06775,544.97534,878.00269,-526.02301,-829.41779,150.71365,120.95987,1695.5359,-1344.3702
2.0309999,665.39392,344.44711,548.56958,867.86285,-529.27429,-819.27667,150.72575,120.89487,1675.2346,-1354.2886
2.0311,648.3988,357.46494,551.89673,857.54651,-532.26624,-808.9693,150.73784,120.82957,1654.2622,-1363.3291
2.0311999,631.26569,370.10977,554.95483,847.06085,-534.99707,-798.50262,150.74992,120.76397,1632.6407,-1371.4857
2.0313001,614.01135,382.37064,557.74213,836.41296,-537.46515,-787.88379,150.76199,120.69807,1610.3931,-1378.7532
2.0314,596.65283,394.237,560.25702,825.61011,-539.66913,-777.11963,150.77406,120.63188,1587.5422,-1385.1272
2.0315001,579.20691,405.6987,562.49811,814.65942,-541.60773,-766.21722,150.78612,120.56542,1564.1121,-1390.6047
2.0316,561.69061,416.74612,564.46423,803.56799,-543.27991,-755.18341,150.79817,120.4987,1540.127,-1395.1832
2.0316999,544.12085,427.37006,566.1543,792.34302,-544.68481,-744.02527,150.81021,120.43172,1515.6113,-1398.8613
2.0318,526.51453,437.5618,567.5675,780.99158,-545.82166,-732.74957,150.82225,120.36451,1490.5905,-1401.6384
2.0318999,508.88858,447.31308,568.70325,769.52069,-546.69,-721.36334,150.83429,120.29707,1465.0897,-1403.515
2.0320001,491.2598,456.61612,569.56097,757.93738,-547.28955,-709.87323,150.84631,120.22941,1439.1353,-1404.4924
2.0321,473.64493,465.46371,570.14044,746.24878,-547.62,-698.28625,150.85834,120.16156,1412.7531,-1404.5726
2.0322001,456.0607,473.84906,570.44147,734.46179,-547.68146,-686.60907,150.87035,120.09351,1385.9698,-1403.759
2.0323,438.52365,481.76581,570.46417,722.58331,-547.474,-674.84845,150.88235,120.02531,1358.8126,-1402.0555
2.0323999,421.05029,489.20825,570.2088,710.62024,-546.99799,-663.01099,150.89435,119.95695,1331.3083,-1399.467
2.0325,403.65695,496.17111,569.6756,698.57941,-546.25397,-651.10345,150.90634,119.88845,1303.4844,-1395.9994
2.0325999,386.35977,502.6496,568.8653,686.46759,-545.24255,-639.13226,150.91833,119.81983,1275.3685,-1391.6591
2.0327001,369.17487,508.6395,567.77856,674.29144,-543.96454,-627.10406,150.93031,119.75111,1246.9885,-1386.454
2.0328,352.11804,514.13702,566.41626,662.05774,-542.4209,-615.02521,150.94228,119.68232,1218.3724,-1380.3922
2.0329001,335.20496,519.13904,564.77948,649.77301,-540.61279,-602.90216,150.95425,119.61346,1189.5482,-1373.483
2.033,318.45108,523.64276,562.86945,637.44379,-538.5415,-590.74121,150.9662,119.54456,1160.5443,-1365.7366
2.0330999,301.8717,527.646,560.68744,625.07648,-536.20844,-578.54858,150.97815,119.47563,1131.3888,-1357.1637
2.0332,285.48181,531.14722,558.23505,612.67749,-533.61517,-566.33044,150.9901,119.40671,1102.1101,-1347.7762
2.0332999,269.29614,534.14514,555.51392,600.25317,-530.76343,-554.09296,151.00204,119.33781,1072.7367,-1337.5864
2.0334001,253.32919,536.63928,552.52582,587.80969,-527.65503,-541.8421,151.01396,119.26895,1043.297,-1326.6077
2.0335,237.59525,538.62939,549.27277,575.35321,-524.29205,-529.58386,151.02589,119.20015,1013.8192,-1314.854
2.0336001,222.10822,540.11603,545.7569,562.88977,-520.67651,-517.32397,151.03781,119.13145,984.33173,-1302.3402
2.0337,206.88173,541.1001,541.98029,550.42542,-516.81079,-505.0683,151.04971,119.06285,954.86279,-1289.0818
2.0337999,191.92914,541.58295,537.94543,537.96588,-512.69714,-492.82248,151.06161,118.99439,925.44049,-1275.0948
2.0339,177.26346,541.56665,533.65479,525.51709,-508.33823,-480.59213,151.07352,118.92609,896.09277,-1260.3965
2.0339999,162.89732,541.05359,529.11096,513.08466,-503.7366,-468.38272,151.0854,118.85797,866.84747,-1245.0043
2.0341001,148.84308,540.04681,524.31671,500.67419,-498.89502,-456.19968,151.09729,118.79007,837.73218,-1228.9364
2.0342,135.11269,538.54968,519.27496,488.29123,-493.81635,-444.04828,151.10916,118.7224,808.77429,-1212.2118
2.0343001,121.71774,536.56628,513.98865,475.94116,-488.5036,-431.93372,151.12103,118.65498,780.00098,-1194.8501
2.0344,108.66945,534.10101,508.46082,463.62927,-482.95987,-419.86111,151.13289,118.58786,751.43909,-1176.8711
2.0344999,95.97863,531.15875,502.69476,451.36078,-477.18835,-407.83548,151.14474,118.52104,723.11523,-1158.2959
2.0346,83.655708,527.74506,496.69382,439.14075,-471.19232,-395.86169,151.1566,118.45457,695.05566,-1139.1454
2.0346999,71.710709,523.86566,490.46133,426.97418,-464.97522,-383.94455,151.16844,118.38846,667.28625,-1119.4418
2.0348001,60.153202,519.52704,484.00089,414.86594,-458.54053,-372.08878,151.18028,118.32274,639.83264,-1099.2069
2.0349,48.992367,514.73596,477.3161,402.82083,-451.89182,-360.29892,151.19211,118.25743,612.71985,-1078.4639
2.0350001,38.236931,509.49963,470.41068,390.84351,-445.03281,-348.57944,151.20393,118.19258,585.97272,-1057.2357
2.0351,27.895187,503.82581,463.28842,378.93848,-437.96725,-336.93475,151.21574,118.1282,559.61536,-1035.5464
2.0352001,17.974958,497.72266,455.95325,367.11026,-430.69897,-325.36908,151.22755,118.06432,533.67175,-1013.4198
2.0353,8.4836292,491.19867,448.40912,355.36313,-423.23193,-313.8866,151.23935,118.00095,508.16516,-990.88049
2.0353999,-0.57188177,484.26288,440.6601,343.70129,-415.5701,-302.4913,151.25116,117.93816,483.11832,-967.95337
2.0355,-9.185132,476.92462,432.7103,332.12888,-407.71759,-291.18716,151.26294,117.87594,458.55356,-944.66364
2.0355999,-17.350163,469.19373,424.564,320.6499,-399.67853,-279.97797,151.27473,117.81432,434.49265,-921.03674
2.0357001,-25.06148,461.08032,416.2254,309.26819,-391.45712,-268.86746,151.28651,117.75335,410.9566,-897.09857
2.0358,-32.314079,452.59497,407.69888,297.98755,-383.05765,-257.85919,151.29828,117.69304,387.96603,-872.87524
2.0359001,-39.103451,443.74854,398.98886,286.81158,-374.48447,-246.95665,151.31004,117.63342,365.54086,-848.39301
2.036,-45.425587,434.55231,390.09979,275.74387,-365.74194,-236.16324,151.32181,117.57452,343.70038,-823.67841
2.0360999,-51.276958,425.01785,381.03622,264.78778,-356.8345,-225.48218,151.33356,117.51637,322.46323,-798.75812
2.0362,-56.654541,415.1571,371.8027,253.94667,-347.76666,-214.91661,151.34531,117.45898,301.84729,-773.65906
2.0362999,-61.555828,404.9823,362.4039,243.22371,-338.54297,-204.4696,151.35706,117.40239,281.86993,-748.40814
2.0364001,-65.978798,394.50598,352.84445,232.62198,-329.16797,-194.14406,151.36879,117.34663,262.5477,-723.03247
2.0365,-69.921951,383.74097,343.12909,222.14444,-319.6463,-183.94279,151.38052,117.29171,243.89639,-697.55927
2.0366001,-73.38427,372.70035,333.26257,211.79393,-309.98267,-173.8685,151.39224,117.23767,225.93111,-672.01575
2.0367,-76.365273,361.39752,323.24973,201.57321,-300.1817,-163.92377,151.40398,117.18453,208.66629,-646.42908
2.0367999,-78.864975,349.84607,313.09534,191.48491,-290.24814,-154.1111,151.41568,117.13232,192.11549,-620.82648
2.0369,-80.883881,338.05988,302.80429,181.53151,-280.18674,-144.43286,151.4274,117.08106,176.29149,-595.23511
2.0369999,-82.423019,326.05298,292.38147,171.71542,-270.00229,-134.8913,151.4391,117.03078,161.20628,-569.68219
2.0371001,-83.483925,313.83969,281.83179,162.03897,-259.69958,-125.48859,151.45081,116.98149,146.87122,-544.1947
2.0372,-84.068626,301.43442,271.16022,152.50432,-249.28342,-116.22679,151.46249,116.93323,133.2966,-518.79944
2.0373001,-84.179642,288.85187,260.37167,143.11353,-238.75865,-107.10782,151.47418,116.88601,120.49201,-493.52328
2.0374,-83.82,276.10678,249.47112,133.86858,-228.13014,-98.13353,151.48587,116.83987,108.4662,-468.39279
2.0374999,-82.993217,263.21414,238.46358,124.77133,-217.40271,-89.305656,151.49756,116.79482,97.227173,-443.4343
2.0376,-81.703293,250.18903,227.35403,115.82354,-206.58127,-80.625839,151.50923,116.75088,86.781921,-418.67398
2.0376999,-79.954727,237.04662,216.14748,107.02684,-195.67064,-72.095589,151.5209,116.70808,77.136635,-394.1377
2.0378001,-77.75248,223.8022,204.84894,98.382797,-184.67575,-63.716354,151.53258,116.66643,68.29673,-369.8511
2.0379,-75.101997,210.47115,193.46341,89.89283,-173.60144,-55.48946,151.54424,116.62595,60.266685,-345.83948
2.0380001,-72.009178,197.06889,181.99593,81.558296,-162.45261,-47.41613,151.55591,116.58669,53.050079,-322.12781
2.0381,-68.480408,183.61095,170.45148,73.380432,-151.23412,-39.497505,151.56755,116.54863,46.649685,-298.74069
2.0381999,-64.522499,170.11281,158.83507,65.360374,-139.95081,-31.734621,151.57921,116.5118,41.067398,-275.70233
2.0383,-60.142731,156.59004,147.15172,57.499172,-128.60757,-24.128418,151.59087,116.47623,36.304169,-253.03654
2.0383999,-55.348812,143.05817,135.4064,49.797768,-117.20923,-16.679743,151.60251,116.44194,32.360165,-230.76672
2.0385001,-50.148884,129.53275,123.60409,42.257011,-105.76062,-9.3893547,151.61415,116.40893,29.234612,-208.91579
2.0386,-44.551514,116.02924,111.74975,34.877655,-94.266556,-2.2579136,151.62579,116.37723,26.925865,-187.50615
2.0387001,-38.56567,102.56312,99.848335,27.660364,-82.731827,4.7140059,151.63742,116.34684,25.431459,-166.55975
2.0388,-32.200741,89.149773,87.904762,20.605711,-71.161209,11.525921,151.64906,116.31779,24.747999,-146.09801
2.0388999,-25.466496,75.80452,75.923935,13.714173,-59.559464,18.177433,151.66069,116.29008,24.871252,-126.14174
2.039,-18.373093,62.542561,63.910748,6.9861436,-47.931313,24.668232,151.67232,116.26375,25.796131,-106.71124
2.0390999,-10.931058,49.379009,51.870049,0.4219254,-36.281464,30.998091,151.68394,116.23878,27.516668,-87.826172
2.0392001,-3.151284,36.328846,39.806675,-5.9782634,-24.61459,37.16687,151.69556,116.21521,30.026079,-69.505623
2.0393,4.9549904,23.406902,27.725424,-12.214291,-12.935338,43.174503,151.70718,116.19304,33.316711,-51.768021
2.0394001,13.376188,10.627859,15.631072,-18.286106,-1.2483215,49.021015,151.7188,116.17228,37.380085,-34.631138
2.0395,22.100409,-1.9937805,3.5283575,-24.193743,10.441877,54.706501,151.73042,116.15294,42.206913,-18.112089
2.0395999,31.115435,-14.4437,-8.5780144,-29.937313,22.130713,60.23114,151.74203,116.13503,47.787067,-2.227283
2.0397,40.408756,-26.707788,-20.683374,-35.51701,33.813675,65.595184,151.75365,116.11856,54.109646,13.007563
2.0397999,49.967567,-38.772152,-32.783092,-40.933105,45.486294,70.798965,151.76526,116.10354,61.162933,27.577465
2.0399001,59.778801,-50.623131,-44.87257,-46.18594,57.144135,75.84288,151.77687,116.08997,68.934448,41.468178
2.04,69.829124,-62.247314,-56.947258,-51.275944,68.782806,80.727402,151.78847,116.07787,77.410934,54.66621
2.0401001,80.104965,-73.631554,-69.002647,-56.203609,80.397964,85.453079,151.80008,116.06723,86.5784,67.158836
2.0402,90.592506,-84.762978,-81.034264,-60.969501,91.985306,90.020531,151.81169,116.05807,96.422089,78.934128
2.0402999,101.27774,-95.628998,-93.037697,-65.574257,103.54057,94.430435,151.82329,116.05038,106.92656,89.980927
2.0404,112.14645,-106.21735,-105.00858,-70.018593,115.05953,98.68354,151.8349,116.04417,118.07565,100.28889
2.0404999,123.18421,-116.51605,-116.94256,-74.303276,126.53805,102.78066,151.8465,116.03945,129.85251,109.84853
2.0406001,134.37648,-126.51349,-128.83537,-78.429146,137.972,106.72269,151.85811,116.03622,142.23961,118.65112
2.0407,145.7085,-136.19836,-140.68279,-82.397125,149.35732,110.51054,151.86971,116.03447,155.21881,126.68883
2.0408001,157.16542,-145.55974,-152.48064,-86.208176,160.68997,114.14525,151.88132,116.03421,168.7713,133.95464
2.0409,168.73224,-154.58704,-164.22481,-89.863335,171.96603,117.62785,151.89291,116.03544,182.87769,140.44238
2.0409999,180.39389,-163.27007,-175.91119,-93.363693,183.18158,120.95949,151.90453,116.03815,197.51796,146.14679
2.0411,192.13516,-171.59903,-187.53583,-96.710419,194.33276,124.14133,151.91612,116.04235,212.67159,151.06342
2.0411999,203.94083,-179.56451,-199.09471,-99.904716,205.41579,127.17462,151.92773,116.04803,228.31744,155.18871
2.0413001,215.79556,-187.15752,-210.58397,-102.94786,216.42691,130.06064,151.93933,116.0552,244.43393,158.51997
2.0414,227.68402,-194.36948,-221.99974,-105.84118,227.36244,132.80075,151.95094,116.06384,260.9989,161.0554
2.0415001,239.59081,-201.19221,-233.33826,-108.58607,238.2188,135.39633,151.96254,116.07394,277.98978,162.79408
2.0416,251.50056,-207.61804,-244.59579,-111.18394,248.99237,137.84885,151.97415,116.08553,295.38348,163.73593
2.0416999,263.39792,-213.63966,-255.76869,-113.63631,259.67966,140.15977,151.98576,116.09856,313.15656,163.88182
2.0418,275.26752,-219.25027,-266.85333,-115.9447,270.27725,142.33069,151.99738,116.11305,331.28516,163.23343
2.0418999,287.09406,-224.44353,-277.84619,-118.11072,280.78177,144.36317,152.00899,116.12899,349.74503,161.79337
2.0420001,298.86227,-229.2135,-288.7438,-120.13599,291.18988,146.25887,152.0206,116.14636,368.51154,159.56506
2.0421,310.55707,-233.55482,-299.54272,-122.02221,301.49832,148.01945,152.03221,116.16517,387.55981,156.55287
2.0422001,322.16333,-237.46252,-310.23965,-123.77111,311.70389,149.64668,152.04384,116.18539,406.86465,152.76199
2.0423,333.66611,-240.93214,-320.83127,-125.38448,321.8035,151.1423,152.05545,116.20703,426.40057,148.19847
2.0423999,345.05054,-243.95976,-331.31436,-126.86412,331.79407,152.50815,152.06708,116.23006,446.14188,142.86922
2.0425,356.30197,-246.54187,-341.68582,-128.21191,341.67264,153.74608,152.0787,116.25449,466.06262,136.782
2.0425999,367.40582,-248.67552,-351.94257,-129.42978,351.43622,154.85799,152.09033,116.28028,486.13672,129.9454
2.0427001,378.34778,-250.35823,-362.08151,-130.51964,361.08197,155.84579,152.10196,116.30744,506.33792,122.36886
