"Time","imc.is[2]","tauElectrical","imc.idq_sr[1]","loadInertia.w","loadInertia.phi","imc.idq_sr[2]","imc.is[1]","tauShaft","wMechanical","imc.idq_rr[1]","imc.idq_rr[2]"
16.018999,-15.504887,-110.68449,20.055754,4.6839957,1673.9614,140.84804,130.22693,-88.547585,4.6839957,-44.435665,-112.65499
16.02,-15.36328,-110.85497,21.222092,4.6076026,1673.9661,140.66148,130.15613,-88.683975,4.6076026,-45.374325,-112.00425
16.021,-15.215794,-111.0175,22.359356,4.5310946,1673.9706,140.46915,130.08238,-88.813995,4.5310946,-46.281033,-111.35065
16.021999,-15.062316,-111.17176,23.46743,4.4544768,1673.9751,140.27171,130.00565,-88.937408,4.4544768,-47.155807,-110.69487
16.023001,-14.902735,-111.31741,24.546207,4.3777561,1673.9795,140.0699,129.92586,-89.053925,4.3777561,-47.99868,-110.03761
16.024,-14.736935,-111.45412,25.595589,4.3009377,1673.9839,139.86438,129.84296,-89.1633,4.3009377,-48.809692,-109.37952
16.025,-14.564803,-111.58155,26.615486,4.2240286,1673.9882,139.65582,129.75688,-89.265244,4.2240286,-49.588894,-108.72126
16.025999,-14.386227,-111.69935,27.605822,4.1470346,1673.9923,139.4449,129.6676,-89.359482,4.1470346,-50.336338,-108.06348
16.027,-14.201093,-111.80715,28.566532,4.0699625,1673.9965,139.23227,129.57503,-89.445724,4.0699625,-51.052094,-107.40678
16.028,-14.00929,-111.90459,29.497557,3.99282,1674.0005,139.01854,129.47913,-89.523674,3.99282,-51.736244,-106.75177
16.028999,-13.810705,-111.99129,30.398846,3.9156141,1674.0044,138.80434,129.37984,-89.593033,3.9156141,-52.388866,-106.09906
16.030001,-13.605227,-112.06688,31.270359,3.838352,1674.0083,138.59029,129.2771,-89.653503,3.838352,-53.010056,-105.4492
16.031,-13.392746,-112.13095,32.112061,3.7610416,1674.0121,138.37695,129.17085,-89.704758,3.7610416,-53.599911,-104.80276
16.032,-13.173152,-112.18312,32.923931,3.6836913,1674.0159,138.16493,129.06107,-89.74649,3.6836913,-54.158539,-104.16028
16.033001,-12.94634,-112.22298,33.705948,3.6063092,1674.0194,137.95476,128.94766,-89.778381,3.6063092,-54.686054,-103.52229
16.034,-12.712198,-112.25011,34.458103,3.528904,1674.0231,137.74701,128.83058,-89.800087,3.528904,-55.182575,-102.88928
16.035,-12.470625,-112.26411,35.180393,3.4514844,1674.0265,137.54221,128.70979,-89.811287,3.4514844,-55.648228,-102.26176
16.035999,-12.221514,-112.26453,35.872814,3.3740599,1674.0299,137.34084,128.58525,-89.811623,3.3740599,-56.083141,-101.64018
16.037001,-11.964765,-112.25096,36.535385,3.2966402,1674.0332,137.14343,128.45686,-89.800766,3.2966402,-56.487457,-101.02502
16.038,-11.70028,-112.22296,37.168121,3.2192345,1674.0365,136.95045,128.32463,-89.778366,3.2192345,-56.86132,-100.41669
16.039,-11.42796,-112.18008,37.771038,3.1418531,1674.0397,136.76237,128.18846,-89.744064,3.1418531,-57.20488,-99.815636
16.040001,-11.147712,-112.12187,38.344166,3.0645068,1674.0428,136.57964,128.04834,-89.697502,3.0645068,-57.51828,-99.222244
16.041,-10.85944,-112.04788,38.887535,2.9872057,1674.0458,136.40266,127.90421,-89.638306,2.9872057,-57.801682,-98.636887
16.042,-10.563059,-111.95765,39.401188,2.9099615,1674.0488,136.23187,127.75602,-89.566116,2.9099615,-58.055252,-98.059944
16.042999,-10.258483,-111.85072,39.885166,2.8327851,1674.0516,136.06767,127.60373,-89.480576,2.8327851,-58.279156,-97.491745
16.044001,-9.9456301,-111.72662,40.339523,2.7556884,1674.0544,135.9104,127.4473,-89.381294,2.7556884,-58.473564,-96.932625
16.045,-9.6244202,-111.58486,40.764305,2.6786835,1674.0571,135.76045,127.2867,-89.267891,2.6786835,-58.638649,-96.382889
16.046,-9.2947788,-111.42499,41.159576,2.6017826,1674.0598,135.61815,127.12188,-89.139992,2.6017826,-58.774593,-95.842819
16.047001,-8.9566393,-111.24653,41.525406,2.5249982,1674.0624,135.48381,126.9528,-88.997223,2.5249982,-58.881584,-95.312691
16.048,-8.6099348,-111.04899,41.861855,2.4483433,1674.0648,135.35773,126.77946,-88.839195,2.4483433,-58.959805,-94.79274
16.049,-8.2546043,-110.83189,42.168999,2.3718314,1674.0673,135.2402,126.60179,-88.66552,2.3718314,-59.009449,-94.283211
16.049999,-7.8905911,-110.59476,42.446922,2.2954762,1674.0696,135.13148,126.41978,-88.475807,2.2954762,-59.030712,-93.784302
16.051001,-7.517848,-110.33711,42.695705,2.2192917,1674.0719,135.03183,126.23341,-88.269691,2.2192917,-59.023796,-93.296204
16.052,-7.1363297,-110.05846,42.91544,2.143292,1674.074,134.94144,126.04265,-88.046776,2.143292,-58.988907,-92.819084
16.052999,-6.7459979,-109.75834,43.106224,2.0674918,1674.0762,134.86053,125.84749,-87.806671,2.0674918,-58.926247,-92.353104
16.054001,-6.3468199,-109.43625,43.26815,1.991906,1674.0781,134.78928,125.6479,-87.549004,1.991906,-58.836037,-91.898384
16.055,-5.9387698,-109.09172,43.401329,1.9165502,1674.0801,134.72784,125.44387,-87.273376,1.9165502,-58.718483,-91.455032
16.056,-5.521832,-108.7243,43.505875,1.8414397,1674.082,134.67639,125.2354,-86.979439,1.8414397,-58.573818,-91.02314
16.056999,-5.0959935,-108.33351,43.581898,1.7665907,1674.0839,134.63501,125.02248,-86.666809,1.7665907,-58.402267,-90.602783
16.058001,-4.6612511,-107.91888,43.629528,1.6920195,1674.0856,134.60384,124.80511,-86.335106,1.6920195,-58.20406,-90.194008
16.059,-4.2176075,-107.47995,43.648891,1.6177425,1674.0872,134.58292,124.58329,-85.983963,1.6177425,-57.979427,-89.796837
16.059999,-3.7650774,-107.01629,43.640129,1.5437768,1674.0887,134.57234,124.35703,-85.613029,1.5437768,-57.728619,-89.411293
16.061001,-3.3036816,-106.52746,43.603382,1.4701394,1674.0903,134.57213,124.12633,-85.22197,1.4701394,-57.451878,-89.037361
16.062,-2.8334496,-106.01302,43.538799,1.396848,1674.0917,134.58232,123.89121,-84.810417,1.396848,-57.149464,-88.675011
16.063,-2.3544204,-105.47254,43.446541,1.3239202,1674.093,134.60291,123.6517,-84.378036,1.3239202,-56.821629,-88.324196
16.063999,-1.8666434,-104.90564,43.326771,1.2513745,1674.0944,134.63385,123.40781,-83.924515,1.2513745,-56.468639,-87.98484
16.065001,-1.3701773,-104.31192,43.179668,1.1792288,1674.0956,134.67514,123.15958,-83.449532,1.1792288,-56.090778,-87.656868
16.066,-0.86509085,-103.69099,43.005413,1.107502,1674.0967,134.7267,122.90704,-82.952789,1.107502,-55.68832,-87.340172
16.066999,-0.35146338,-103.04249,42.804195,1.0362129,1674.0978,134.78844,122.65022,-82.43399,1.0362129,-55.261555,-87.034622
16.068001,0.17061555,-102.36608,42.576225,0.96538061,1674.0988,134.86028,122.38918,-81.892868,0.96538061,-54.810776,-86.740067
16.069,0.70104527,-101.66144,42.321705,0.89502454,1674.0997,134.94208,122.12396,-81.329155,0.89502454,-54.336288,-86.45636
16.07,1.2397131,-100.92825,42.040863,0.8251642,1674.1006,135.03371,121.85463,-80.742599,0.8251642,-53.838409,-86.183319
16.070999,1.7864951,-100.16621,41.733929,0.75581956,1674.1013,135.13501,121.58124,-80.132973,0.75581956,-53.317455,-85.920731
16.072001,2.3412564,-99.375084,41.401146,0.68701041,1674.1021,135.2458,121.30386,-79.500069,0.68701041,-52.773762,-85.668396
16.073,2.9038496,-98.554619,41.04277,0.61875695,1674.1028,135.36589,121.02256,-78.843697,0.61875695,-52.207668,-85.426071
16.073999,3.4741144,-97.70459,40.659073,0.55107957,1674.1033,135.49506,120.73743,-78.163673,0.55107957,-51.619526,-85.19352
16.075001,4.051878,-96.824814,40.250332,0.48399872,1674.1039,135.63307,120.44855,-77.459854,0.48399872,-51.009697,-84.970467
16.076,4.6369576,-95.915131,39.816837,0.41753486,1674.1042,135.77968,120.15601,-76.732109,0.41753486,-50.378559,-84.75663
16.077,5.2291546,-94.97541,39.358898,0.35170868,1674.1047,135.93462,119.85991,-75.980324,0.35170868,-49.72649,-84.551727
16.077999,5.828258,-94.005539,38.876839,0.28654104,1674.105,136.09761,119.56036,-75.204437,0.28654104,-49.053894,-84.355438
16.079,6.4340439,-93.005463,38.370991,0.22205272,1674.1052,136.26836,119.25746,-74.404373,0.22205272,-48.361176,-84.167435
16.08,7.046277,-91.975136,37.841705,0.15826447,1674.1055,136.44653,118.95135,-73.580109,0.15826447,-47.648758,-83.987389
16.080999,7.6647058,-90.914558,37.289349,0.095197223,1674.1056,136.63181,118.64214,-72.731644,0.095197223,-46.91708,-83.814949
16.082001,8.2890663,-89.823769,36.714302,0.032871872,1674.1056,136.82385,118.32996,-71.859016,0.032871872,-46.16658,-83.649742
16.083,8.9190817,-88.702835,36.116962,-0.028690832,1674.1056,137.02231,118.01495,-70.962265,-0.028690832,-45.397732,-83.491409
16.084,9.5544634,-87.551872,35.497746,-0.089470156,1674.1056,137.22681,117.69726,-70.041496,-0.089470156,-44.611,-83.339569
16.084999,10.194906,-86.371025,34.857079,-0.14944538,1674.1055,137.43697,117.37704,-69.096817,-0.14944538,-43.806881,-83.19381
16.086,10.840091,-85.160492,34.195415,-0.20859592,1674.1052,137.65239,117.05444,-68.128395,-0.20859592,-42.985882,-83.053741
16.087,11.489692,-83.920494,33.513214,-0.26690152,1674.1051,137.87268,116.72964,-67.136398,-0.26690152,-42.148518,-82.918953
16.087999,12.143363,-82.651321,32.810963,-0.32434186,1674.1047,138.09744,116.40281,-66.121063,-0.32434186,-41.295319,-82.789024
16.089001,12.800748,-81.353294,32.089161,-0.3808969,1674.1044,138.32623,116.07411,-65.082634,-0.3808969,-40.426842,-82.663536
16.09,13.461477,-80.026764,31.34833,-0.43654689,1674.104,138.55862,115.74375,-64.021416,-0.43654689,-39.543652,-82.542053
16.091,14.125173,-78.67215,30.589001,-0.49127236,1674.1035,138.79422,115.4119,-62.937721,-0.49127236,-38.646317,-82.424141
16.091999,14.791437,-77.289909,29.811733,-0.54505402,1674.103,139.03255,115.07877,-61.831924,-0.54505402,-37.735443,-82.309372
16.093,15.459866,-75.880539,29.017101,-0.59787303,1674.1024,139.27316,114.74455,-60.704433,-0.59787303,-36.811634,-82.197296
16.094,16.130041,-74.444595,28.205694,-0.64971083,1674.1018,139.51566,114.40947,-59.555676,-0.64971083,-35.875515,-82.087479
16.094999,16.801538,-72.982666,27.378122,-0.70054942,1674.1011,139.75954,114.07372,-58.386135,-0.70054942,-34.927723,-81.979477
16.096001,17.473913,-71.495415,26.535011,-0.75037092,1674.1005,140.00439,113.73753,-57.196327,-0.75037092,-33.968914,-81.872849
16.097,18.146719,-69.983521,25.677013,-0.79915816,1674.0996,140.24976,113.40113,-55.986816,-0.79915816,-32.99976,-81.767166
16.098,18.819496,-68.447723,24.804783,-0.8468945,1674.0988,140.49518,113.06474,-54.758179,-0.8468945,-32.020939,-81.66198
16.099001,19.491776,-66.888817,23.919003,-0.89356357,1674.0979,140.74022,112.7286,-53.511055,-0.89356357,-31.033146,-81.556862
16.1,20.163078,-65.307648,23.020374,-0.9391498,1674.097,140.98444,112.39294,-52.24612,-0.9391498,-30.037096,-81.451385
