"time","inductor.i","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulsem.twomPulse.timerNegative[1].entryTime","pulsem.twomPulse.timerNegative[2].entryTime","pulsem.twomPulse.timerNegative[3].entryTime","pulsem.twomPulse.timerPositive[1].entryTime","pulsem.twomPulse.timerPositive[2].entryTime","pulsem.twomPulse.timerPositive[3].entryTime","rectifier.thyristor.idealThyristor[1].off","rectifier.thyristor.idealThyristor[2].off","rectifier.thyristor.idealThyristor[3].off","rootMeanSquareVoltage.mean.y"
0.030700000000000002,3.4757876786959714,0.013510617044548806,0.3470966193234955,37.812660332475531,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.030800000000000001,3.4887382899930781,0.013858842402433532,0.36201173777829648,40.037284544466338,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.0309,3.5017943069635935,0.0142083682189012,0.37705827107816486,42.301279655337538,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031,3.514940684772077,0.014559204280586994,0.3922213701203644,44.600485985359491,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031100000000000003,3.5281622934423247,0.014911358868232725,0.40748607054352648,46.93060482791968,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031200000000000002,3.5414439332710042,0.015264838744587941,0.42283730789931062,49.287215455159462,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031300000000000001,3.5547703498161272,0.015619649150305058,0.43825993255877638,51.665792746635454,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031400000000000004,3.5681262486109131,0.015975793799210099,0.45373872433166273,54.061724973137821,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.0315,3.58149631037768,0.016333274874432341,0.46925840760287468,56.47033194233844,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031600000000000003,3.5948652060145641,0.016692093025232689,0.48480366625576504,58.886883124854229,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031666666666666669,3.603769587335456,0.016932047572656674,0.49517380519180293,60.499980000548767,2.8109688017336349,111.41410639784782,0.01166666666666703,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031666666666666669,3.603769587335456,0.016932047572656674,0.49517380519180293,60.499980000548767,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031699999999999999,3.6082175975384474,0.017052247365380031,0.50035914458259489,61.30661233898963,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031800000000000002,3.6215381296008449,0.017413735458789308,0.51590943851317772,63.724728914268226,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.031900000000000005,3.6348116897099594,0.017776553383544284,0.53143935711739232,66.136513653006162,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.032000000000000001,3.6480229759784337,0.018140695635397278,0.54693348842292688,68.537197661964299,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.032100000000000004,3.6611568262237553,0.018506155273149187,0.56237653142328692,70.922078145597155,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.032199999999999999,3.6741981779114132,0.01887292379913787,0.57775325363071917,73.286520940829149,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.032300000000000002,3.68713205561756,0.019240991229592132,0.59304847994595089,75.62596912159438,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.032399999999999998,3.6999435933116191,0.019610346082784766,0.6082471147038625,77.935964329415441,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
0.032500000000000001,3.712618052699836,0.019980975368761242,0.62333415981160822,80.212166767052167,2.8109688017336349,111.41410639784782,0.031666666666666669,0.018333333333333333,0.025000000000000001,0.021666666666677496,0.028333333333347494,0.015000000000000001,1,0,1,14601.649240257288
