"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia.w","loadInertiaQS.w","loadInertiaQS.phi","loadInertia.phi","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
2.0146999,-0.19298126,-0.52085626,131.77197,136.97298,153.33838,148.87479,0.16711238,326.25992,0.17926849
2.0148001,-0.1946263,-0.51347899,131.7699,137.01152,153.35208,148.88797,0.16776931,326.26392,0.19135547
2.0149,-0.19624421,-0.50574088,131.76749,137.05,153.36578,148.90114,0.16841613,326.26794,0.20322269
2.0150001,-0.19783504,-0.49764869,131.76474,137.08842,153.37949,148.91432,0.16905232,326.27194,0.21485895
2.0151,-0.19939889,-0.48920983,131.7617,137.1268,153.3932,148.92749,0.16967736,326.27594,0.22625329
2.0151999,-0.20093584,-0.48043197,131.75838,137.16512,153.40692,148.94067,0.17029075,326.27991,0.23739493
2.0153,-0.20244598,-0.47132304,131.75479,137.20337,153.42064,148.95384,0.170892,326.28391,0.24827337
2.0153999,-0.20392948,-0.46189135,131.75093,137.24158,153.43436,148.96703,0.17148058,326.28787,0.25887835
2.0155001,-0.20538643,-0.45214561,131.74683,137.27971,153.44809,148.98019,0.17205603,326.29184,0.26919991
2.0156,-0.20681699,-0.44209462,131.74251,137.31781,153.46182,148.99336,0.17261788,326.29578,0.27922833
2.0157001,-0.20822133,-0.43174773,131.73799,137.35583,153.47556,149.00655,0.17316562,326.29974,0.28895414
2.0158,-0.2095996,-0.42111439,131.73326,137.3938,153.48929,149.01971,0.1736988,326.30368,0.29836825
2.0158999,-0.21095201,-0.41020444,131.72838,137.43172,153.50302,149.03288,0.17421694,326.30762,0.3074618
2.016,-0.21227872,-0.39902791,131.72333,137.46957,153.51677,149.04607,0.17471962,326.31152,0.31622624
2.0160999,-0.21357998,-0.38759521,131.71815,137.50739,153.53052,149.05923,0.17520638,326.31546,0.32465345
2.0162001,-0.21485597,-0.37591687,131.71286,137.54512,153.54428,149.0724,0.17567676,326.31937,0.33273545
2.0163,-0.21610694,-0.36400375,131.70746,137.58281,153.55803,149.08557,0.17613037,326.32327,0.34046474
2.0164001,-0.21733311,-0.3518669,131.70197,137.62044,153.57179,149.09874,0.17656676,326.32715,0.34783414
2.0165,-0.21853475,-0.33951762,131.69643,137.658,153.58556,149.11192,0.17698555,326.33105,0.35483676
2.0165999,-0.21971211,-0.32696736,131.69084,137.69551,153.59932,149.12509,0.1773863,326.33493,0.36146608
2.0167,-0.22086544,-0.31422785,131.68521,137.73297,153.6131,149.13826,0.17776865,326.33881,0.36771604
2.0167999,-0.22199504,-0.30131096,131.6796,137.77036,153.62686,149.15143,0.17813219,326.34268,0.37358081
2.0169001,-0.2231012,-0.28822872,131.67398,137.80769,153.64066,149.1646,0.17847657,326.34653,0.37905502
2.017,-0.2241842,-0.27499336,131.66841,137.84497,153.65443,149.17776,0.17880142,326.35037,0.38413367
2.0171001,-0.22524436,-0.26161724,131.66287,137.88219,153.66821,149.19092,0.17910638,326.35422,0.38881209
2.0172,-0.22628199,-0.24811284,131.65741,137.91934,153.68201,149.20409,0.17939112,326.35806,0.39308608
2.0172999,-0.2272974,-0.23449284,131.65204,137.95644,153.6958,149.21725,0.17965528,326.36188,0.39695174
2.0174,-0.22829092,-0.22076994,131.64677,137.99348,153.70959,149.23042,0.17989859,326.36569,0.40040568
2.0174999,-0.22926289,-0.20695703,131.64163,138.03046,153.7234,149.24359,0.18012069,326.36951,0.40344483
2.0176001,-0.23021366,-0.193067,131.63664,138.06738,153.7372,149.25674,0.18032131,326.37332,0.40606651
2.0177,-0.23114358,-0.17911288,131.63181,138.10423,153.75101,149.26991,0.18050015,326.37714,0.40826848
2.0178001,-0.23205298,-0.16510777,131.62715,138.14104,153.76483,149.28308,0.18065692,326.38092,0.41004896
2.0179,-0.23294225,-0.15106477,131.62271,138.17778,153.77864,149.29623,0.18079139,326.3847,0.41140649
2.0179999,-0.23381175,-0.13699704,131.61848,138.21446,153.79247,149.3094,0.18090327,326.38849,0.41234004
2.0181,-0.23466185,-0.12291781,131.61449,138.25108,153.80629,149.32256,0.18099234,326.39224,0.41284904
2.0181999,-0.23549293,-0.10884025,131.61075,138.28764,153.82011,149.33572,0.18105836,326.396,0.41293326
2.0183001,-0.23630537,-0.094777577,131.60728,138.32414,153.83394,149.34888,0.1811011,326.39975,0.41259298
2.0184,-0.23709957,-0.080742978,131.60411,138.36058,153.84778,149.36205,0.18112038,326.4035,0.41182879
2.0185001,-0.23787591,-0.066749625,131.60126,138.39696,153.86162,149.3752,0.18111597,326.40726,0.41064176
2.0186,-0.23863478,-0.052810628,131.59871,138.43327,153.87546,149.38837,0.1810877,326.41098,0.40903336
2.0186999,-0.2393766,-0.038939077,131.59651,138.46953,153.8893,149.40152,0.18103541,326.4147,0.40700543
2.0188,-0.24010175,-0.025147971,131.59468,138.50572,153.90315,149.41469,0.18095893,326.41843,0.40456027
2.0188999,-0.24081066,-0.011450245,131.59323,138.54185,153.91701,149.42784,0.18085811,326.42215,0.40170059
2.0190001,-0.24150372,0.0021412622,131.59216,138.57793,153.93086,149.44101,0.1807328,326.42584,0.39842942
2.0191,-0.24218135,0.01561381,131.59149,138.61394,153.94472,149.45416,0.1805829,326.42953,0.39475027
2.0192001,-0.24284396,0.028954776,131.59126,138.64989,153.95859,149.46732,0.18040828,326.43323,0.39066702
2.0193,-0.24349195,0.042151667,131.59146,138.68578,153.97244,149.48048,0.18020886,326.43692,0.38618398
2.0193999,-0.24412577,0.055192128,131.59212,138.7216,153.98631,149.49364,0.17998454,326.44058,0.38130578
2.0195,-0.24474581,0.068063945,131.59325,138.75737,154.0002,149.50681,0.17973523,326.44424,0.37603748
2.0195999,-0.24535249,0.080755092,131.59485,138.79308,154.01407,149.51996,0.17946088,326.44791,0.37038448
2.0197001,-0.24594624,0.093253702,131.59695,138.8287,154.02795,149.53311,0.17916143,326.45157,0.36435264
2.0197999,-0.24652748,0.10554809,131.59956,138.86429,154.04184,149.54628,0.17883685,326.4552,0.35794809
2.0199001,-0.24709661,0.11762679,131.60269,138.89981,154.05573,149.55943,0.17848711,326.45886,0.35117736
2.02,-0.24765408,0.12947853,131.60635,138.93526,154.06961,149.5726,0.17811216,326.46249,0.3440474
2.0201001,-0.2482003,0.14109224,131.61057,138.97064,154.08351,149.58575,0.17771205,326.46613,0.33656535
2.0202,-0.24873567,0.15245713,131.61533,139.00598,154.09741,149.59892,0.17728674,326.46973,0.32873884
2.0202999,-0.2492606,0.16356264,131.62067,139.04124,154.11131,149.61208,0.17683628,326.47333,0.3205758
2.0204,-0.24977554,0.17439841,131.62659,139.07645,154.12521,149.62524,0.17636068,326.47696,0.31208444
2.0204999,-0.25028089,0.1849544,131.63309,139.11159,154.13913,149.63841,0.17585997,326.48053,0.30327332
2.0206001,-0.25077707,0.19522086,131.6402,139.14665,154.15305,149.65157,0.17533423,326.48413,0.29415131
2.0207,-0.25126445,0.20518823,131.64792,139.18167,154.16696,149.66473,0.17478351,326.4877,0.2847276
2.0208001,-0.25174347,0.21484733,131.65625,139.21663,154.18088,149.6779,0.17420788,326.4913,0.27501163
2.0209,-0.25221455,0.22418924,131.66521,139.25151,154.19479,149.69107,0.17360742,326.49487,0.26501316
2.0209999,-0.25267807,0.23320536,131.6748,139.28633,154.20872,149.70424,0.17298225,326.49841,0.25474221
2.0211,-0.25313443,0.24188742,131.68503,139.32109,154.22266,149.71741,0.17233245,326.50198,0.24420905
2.0211999,-0.25358403,0.25022745,131.69591,139.35579,154.23659,149.73058,0.17165814,326.50552,0.23342423
2.0213001,-0.25402728,0.25821781,131.70744,139.39043,154.25053,149.74374,0.17095947,326.50906,0.22239855
2.0214,-0.25446454,0.26585126,131.71965,139.42499,154.26447,149.75691,0.17023656,326.5126,0.21114297
2.0215001,-0.25489619,0.27312079,131.73251,139.45949,154.27841,149.77008,0.16948955,326.51614,0.19966875
2.0216,-0.25532266,0.28001991,131.74605,139.49394,154.29236,149.78326,0.16871861,326.51965,0.18798737
2.0216999,-0.25574428,0.28654236,131.76025,139.52831,154.3063,149.79643,0.16792391,326.52316,0.17611043
2.0218,-0.25616142,0.29268226,131.77513,139.56262,154.32027,149.80962,0.16710562,326.52667,0.16404979
2.0218999,-0.25657448,0.29843417,131.7907,139.59688,154.33423,149.82278,0.16626394,326.53018,0.15181746
2.0220001,-0.25698382,0.30379298,131.80695,139.63106,154.34819,149.83597,0.16539904,326.53366,0.13942561
2.0221,-0.25738975,0.30875397,131.82388,139.66518,154.36215,149.84915,0.16451114,326.53714,0.12688656
2.0222001,-0.25779268,0.3133128,131.84152,139.69923,154.37611,149.86234,0.16360047,326.54062,0.1142128
2.0223,-0.25819293,0.31746554,131.85983,139.73322,154.39009,149.87552,0.16266724,326.5441,0.10141693
2.0223999,-0.25859085,0.32120866,131.87885,139.76715,154.40407,149.8887,0.16171168,326.54758,0.088511653
2.0225,-0.25898674,0.32453901,131.89853,139.80101,154.41805,149.9019,0.16073403,326.55103,0.075509794
2.0225999,-0.25938097,0.32745385,131.91891,139.83481,154.43202,149.91508,0.15973455,326.55447,0.062424276
2.0227001,-0.25977385,0.32995081,131.94,139.86853,154.44601,149.92828,0.15871347,326.55792,0.049268074
2.0228,-0.26016569,0.33202803,131.96176,139.90219,154.45999,149.94147,0.15767108,326.56137,0.03605425
2.0229001,-0.26055682,0.33368397,131.98421,139.93581,154.47398,149.95467,0.15660764,326.56479,0.022795921
2.023,-0.2609475,0.33491752,132.00734,139.96933,154.48799,149.96786,0.15552343,326.56824,0.0095062274
2.0230999,-0.26133808,0.33572796,132.03116,140.00281,154.50198,149.98108,0.15441877,326.57166,-0.0038016478
2.0232,-0.26172882,0.33611503,132.05565,140.03621,154.51599,149.99428,0.15329389,326.57504,-0.017114511
2.0232999,-0.26211998,0.33607885,132.08083,140.06955,154.53,150.00748,0.15214914,326.57846,-0.030419167
2.0234001,-0.26251188,0.33561996,132.10666,140.10283,154.54401,150.02069,0.15098481,326.58185,-0.043702435
2.0235,-0.26290479,0.33473936,132.13315,140.13603,154.55801,150.03391,0.14980122,326.58524,-0.056951154
2.0236001,-0.26329893,0.33343834,132.16031,140.16917,154.57202,150.04712,0.14859869,326.58862,-0.070152201
2.0237,-0.26369458,0.33171871,132.18813,140.20226,154.58604,150.06033,0.14737754,326.59201,-0.083292499
2.0237999,-0.26409197,0.32958266,132.2166,140.23526,154.60007,150.07356,0.14613809,326.5954,-0.096359044
2.0239,-0.26449135,0.32703277,132.2457,140.2682,154.61409,150.08678,0.1448807,326.59875,-0.10933889
