"Time","vC[2]","iL[1]","iL[2]","vC[3]","vC[1]","iL[3]"
0.0458,10.438068,10.438068,10.438068,10.438068,10.438068,10.438068
0.046,10.418859,10.418859,10.418859,10.418859,10.418859,10.418859
0.0462,10.399684,10.399684,10.399684,10.399684,10.399684,10.399684
0.046399999,10.380545,10.380545,10.380545,10.380545,10.380545,10.380545
0.046599999,10.361441,10.361441,10.361441,10.361441,10.361441,10.361441
0.046799999,10.342371,10.342371,10.342371,10.342371,10.342371,10.342371
0.046999998,10.323338,10.323338,10.323338,10.323338,10.323338,10.323338
0.047200002,10.304338,10.304338,10.304338,10.304338,10.304338,10.304338
0.047400001,10.285375,10.285375,10.285375,10.285375,10.285375,10.285375
0.047600001,10.266446,10.266446,10.266446,10.266446,10.266446,10.266446
0.047800001,10.247552,10.247552,10.247552,10.247552,10.247552,10.247552
0.048,10.228693,10.228693,10.228693,10.228693,10.228693,10.228693
0.0482,10.209868,10.209868,10.209868,10.209868,10.209868,10.209868
0.0484,10.191078,10.191078,10.191078,10.191078,10.191078,10.191078
0.048599999,10.172323,10.172323,10.172323,10.172323,10.172323,10.172323
0.048799999,10.153602,10.153602,10.153602,10.153602,10.153602,10.153602
0.048999999,10.134915,10.134915,10.134915,10.134915,10.134915,10.134915
0.049199998,10.116263,10.116263,10.116263,10.116263,10.116263,10.116263
0.049400002,10.097646,10.097646,10.097646,10.097646,10.097646,10.097646
0.049600001,10.079062,10.079062,10.079062,10.079062,10.079062,10.079062
0.049800001,10.060513,10.060513,10.060513,10.060513,10.060513,10.060513
0.050000001,10.041998,10.041998,10.041998,10.041998,10.041998,10.041998
0.0502,10.023517,10.023517,10.023517,10.023517,10.023517,10.023517
0.0504,10.00507,10.00507,10.00507,10.00507,10.00507,10.00507
0.0506,9.9866571,9.9866571,9.9866571,9.9866571,9.9866571,9.9866571
0.050799999,9.9682779,9.9682779,9.9682779,9.9682779,9.9682779,9.9682779
0.050999999,9.9499321,9.9499321,9.9499321,9.9499321,9.9499321,9.9499321
0.051199999,9.9316206,9.9316206,9.9316206,9.9316206,9.9316206,9.9316206
0.051399998,9.9133434,9.9133434,9.9133434,9.9133434,9.9133434,9.9133434
0.051600002,9.8950987,9.8950987,9.8950987,9.8950987,9.8950987,9.8950987
0.051800001,9.8768883,9.8768883,9.8768883,9.8768883,9.8768883,9.8768883
0.052000001,9.8587112,9.8587112,9.8587112,9.8587112,9.8587112,9.8587112
0.052200001,9.8405676,9.8405676,9.8405676,9.8405676,9.8405676,9.8405676
0.0524,9.8224573,9.8224573,9.8224573,9.8224573,9.8224573,9.8224573
0.0526,9.8043795,9.8043795,9.8043795,9.8043795,9.8043795,9.8043795
0.0528,9.7863359,9.7863359,9.7863359,9.7863359,9.7863359,9.7863359
0.052999999,9.7683258,9.7683258,9.7683258,9.7683258,9.7683258,9.7683258
0.053199999,9.7503481,9.7503481,9.7503481,9.7503481,9.7503481,9.7503481
0.053399999,9.7324038,9.7324038,9.7324038,9.7324038,9.7324038,9.7324038
0.053599998,9.7144928,9.7144928,9.7144928,9.7144928,9.7144928,9.7144928
0.053800002,9.6966143,9.6966143,9.6966143,9.6966143,9.6966143,9.6966143
0.054000001,9.6787691,9.6787691,9.6787691,9.6787691,9.6787691,9.6787691
0.054200001,9.6609564,9.6609564,9.6609564,9.6609564,9.6609564,9.6609564
0.054400001,9.643177,9.643177,9.643177,9.643177,9.643177,9.643177
0.0546,9.6254301,9.6254301,9.6254301,9.6254301,9.6254301,9.6254301
0.0548,9.6077156,9.6077156,9.6077156,9.6077156,9.6077156,9.6077156
0.055,9.5900335,9.5900335,9.5900335,9.5900335,9.5900335,9.5900335
0.055199999,9.5723848,9.5723848,9.5723848,9.5723848,9.5723848,9.5723848
0.055399999,9.5547676,9.5547676,9.5547676,9.5547676,9.5547676,9.5547676
0.055599999,9.5371838,9.5371838,9.5371838,9.5371838,9.5371838,9.5371838
0.055799998,9.5196314,9.5196314,9.5196314,9.5196314,9.5196314,9.5196314
0.056000002,9.5021114,9.5021114,9.5021114,9.5021114,9.5021114,9.5021114
0.056200001,9.4846239,9.4846239,9.4846239,9.4846239,9.4846239,9.4846239
0.056400001,9.4671688,9.4671688,9.4671688,9.4671688,9.4671688,9.4671688
0.056600001,9.4497461,9.4497461,9.4497461,9.4497461,9.4497461,9.4497461
0.0568,9.4323549,9.4323549,9.4323549,9.4323549,9.4323549,9.4323549
0.057,9.4149961,9.4149961,9.4149961,9.4149961,9.4149961,9.4149961
0.0572,9.3976688,9.3976688,9.3976688,9.3976688,9.3976688,9.3976688
0.057399999,9.380374,9.380374,9.380374,9.380374,9.380374,9.380374
0.057599999,9.3631105,9.3631105,9.3631105,9.3631105,9.3631105,9.3631105
0.057799999,9.3458786,9.3458786,9.3458786,9.3458786,9.3458786,9.3458786
0.057999998,9.3286791,9.3286791,9.3286791,9.3286791,9.3286791,9.3286791
0.058200002,9.3115101,9.3115101,9.3115101,9.3115101,9.3115101,9.3115101
0.058400001,9.2943735,9.2943735,9.2943735,9.2943735,9.2943735,9.2943735
0.058600001,9.2772684,9.2772684,9.2772684,9.2772684,9.2772684,9.2772684
0.058800001,9.2601948,9.2601948,9.2601948,9.2601948,9.2601948,9.2601948
0.059,9.2431526,9.2431526,9.2431526,9.2431526,9.2431526,9.2431526
0.0592,9.2261419,9.2261419,9.2261419,9.2261419,9.2261419,9.2261419
0.0594,9.2091627,9.2091627,9.2091627,9.2091627,9.2091627,9.2091627
0.059599999,9.192214,9.192214,9.192214,9.192214,9.192214,9.192214
0.059799999,9.1752968,9.1752968,9.1752968,9.1752968,9.1752968,9.1752968
0.059999999,9.158411,9.158411,9.158411,9.158411,9.158411,9.158411
0.060199998,9.1415558,9.1415558,9.1415558,9.1415558,9.1415558,9.1415558
0.060400002,9.124732,9.124732,9.124732,9.124732,9.124732,9.124732
0.060600001,9.1079397,9.1079397,9.1079397,9.1079397,9.1079397,9.1079397
0.060800001,9.091177,9.091177,9.091177,9.091177,9.091177,9.091177
0.061000001,9.0744467,9.0744467,9.0744467,9.0744467,9.0744467,9.0744467
0.0612,9.0577459,9.0577459,9.0577459,9.0577459,9.0577459,9.0577459
0.0614,9.0410767,9.0410767,9.0410767,9.0410767,9.0410767,9.0410767
0.0616,9.024437,9.024437,9.024437,9.024437,9.024437,9.024437
0.061799999,9.0078287,9.0078287,9.0078287,9.0078287,9.0078287,9.0078287
0.061999999,8.991251,8.991251,8.991251,8.991251,8.991251,8.991251
0.062199999,8.9747038,8.9747038,8.9747038,8.9747038,8.9747038,8.9747038
0.062399998,8.9581871,8.9581871,8.9581871,8.9581871,8.9581871,8.9581871
0.062600002,8.9417009,8.9417009,8.9417009,8.9417009,8.9417009,8.9417009
0.062799998,8.9252443,8.9252443,8.9252443,8.9252443,8.9252443,8.9252443
0.063000001,8.9088192,8.9088192,8.9088192,8.9088192,8.9088192,8.9088192
0.063199997,8.8924236,8.8924236,8.8924236,8.8924236,8.8924236,8.8924236
0.0634,8.8760576,8.8760576,8.8760576,8.8760576,8.8760576,8.8760576
0.063600004,8.8597231,8.8597231,8.8597231,8.8597231,8.8597231,8.8597231
0.0638,8.8434172,8.8434172,8.8434172,8.8434172,8.8434172,8.8434172
0.064000003,8.8271427,8.8271427,8.8271427,8.8271427,8.8271427,8.8271427
0.064199999,8.8108969,8.8108969,8.8108969,8.8108969,8.8108969,8.8108969
0.064400002,8.7946815,8.7946815,8.7946815,8.7946815,8.7946815,8.7946815
0.064599998,8.7784967,8.7784967,8.7784967,8.7784967,8.7784967,8.7784967
0.064800002,8.7623405,8.7623405,8.7623405,8.7623405,8.7623405,8.7623405
0.064999998,8.7462149,8.7462149,8.7462149,8.7462149,8.7462149,8.7462149
0.065200001,8.7301188,8.7301188,8.7301188,8.7301188,8.7301188,8.7301188
0.065399997,8.7140512,8.7140512,8.7140512,8.7140512,8.7140512,8.7140512
0.0656,8.6980143,8.6980143,8.6980143,8.6980143,8.6980143,8.6980143
0.065800004,8.6820068,8.6820068,8.6820068,8.6820068,8.6820068,8.6820068
0.066,8.666029,8.666029,8.666029,8.666029,8.666029,8.666029
0.066200003,8.6500797,8.6500797,8.6500797,8.6500797,8.6500797,8.6500797
0.066399999,8.634161,8.634161,8.634161,8.634161,8.634161,8.634161
0.066600002,8.6182709,8.6182709,8.6182709,8.6182709,8.6182709,8.6182709
0.066799998,8.6024103,8.6024103,8.6024103,8.6024103,8.6024103,8.6024103
0.067000002,8.5865784,8.5865784,8.5865784,8.5865784,8.5865784,8.5865784
0.067199998,8.570776,8.570776,8.570776,8.570776,8.570776,8.570776
0.067400001,8.5550022,8.5550022,8.5550022,8.5550022,8.5550022,8.5550022
0.067599997,8.539258,8.539258,8.539258,8.539258,8.539258,8.539258
0.0678,8.5235424,8.5235424,8.5235424,8.5235424,8.5235424,8.5235424
0.068000004,8.5078564,8.5078564,8.5078564,8.5078564,8.5078564,8.5078564
0.0682,8.492198,8.492198,8.492198,8.492198,8.492198,8.492198
0.068400003,8.4765692,8.4765692,8.4765692,8.4765692,8.4765692,8.4765692
0.068599999,8.4609699,8.4609699,8.4609699,8.4609699,8.4609699,8.4609699
0.068800002,8.4453983,8.4453983,8.4453983,8.4453983,8.4453983,8.4453983
0.068999998,8.4298553,8.4298553,8.4298553,8.4298553,8.4298553,8.4298553
0.069200002,8.4143419,8.4143419,8.4143419,8.4143419,8.4143419,8.4143419
0.069399998,8.3988562,8.3988562,8.3988562,8.3988562,8.3988562,8.3988562
0.069600001,8.383399,8.383399,8.383399,8.383399,8.383399,8.383399
0.069799997,8.3679705,8.3679705,8.3679705,8.3679705,8.3679705,8.3679705
0.07,8.3525705,8.3525705,8.3525705,8.3525705,8.3525705,8.3525705
0.070200004,8.3371983,8.3371983,8.3371983,8.3371983,8.3371983,8.3371983
0.0704,8.3218546,8.3218546,8.3218546,8.3218546,8.3218546,8.3218546
0.070600003,8.3065395,8.3065395,8.3065395,8.3065395,8.3065395,8.3065395
0.070799999,8.2912521,8.2912521,8.2912521,8.2912521,8.2912521,8.2912521
0.071000002,8.2759933,8.2759933,8.2759933,8.2759933,8.2759933,8.2759933
0.071199998,8.2607622,8.2607622,8.2607622,8.2607622,8.2607622,8.2607622
0.071400002,8.2455597,8.2455597,8.2455597,8.2455597,8.2455597,8.2455597
0.071599998,8.2303848,8.2303848,8.2303848,8.2303848,8.2303848,8.2303848
0.071800001,8.2152376,8.2152376,8.2152376,8.2152376,8.2152376,8.2152376
0.071999997,8.200119,8.200119,8.200119,8.200119,8.200119,8.200119
0.0722,8.1850271,8.1850271,8.1850271,8.1850271,8.1850271,8.1850271
0.072400004,8.1699638,8.1699638,8.1699638,8.1699638,8.1699638,8.1699638
0.0726,8.1549282,8.1549282,8.1549282,8.1549282,8.1549282,8.1549282
0.072800003,8.1399202,8.1399202,8.1399202,8.1399202,8.1399202,8.1399202
0.072999999,8.124939,8.124939,8.124939,8.124939,8.124939,8.124939
0.073200002,8.1099863,8.1099863,8.1099863,8.1099863,8.1099863,8.1099863
0.073399998,8.0950613,8.0950613,8.0950613,8.0950613,8.0950613,8.0950613
0.073600002,8.080163,8.080163,8.080163,8.080163,8.080163,8.080163
0.073799998,8.0652924,8.0652924,8.0652924,8.0652924,8.0652924,8.0652924
0.074000001,8.0504494,8.0504494,8.0504494,8.0504494,8.0504494,8.0504494
0.074199997,8.035634,8.035634,8.035634,8.035634,8.035634,8.035634
0.0744,8.0208454,8.0208454,8.0208454,8.0208454,8.0208454,8.0208454
