"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia.w","loadInertiaQS.w","transformer.l2sigma.inductor[1].i","loadInertiaQS.phi","loadInertia.phi","transformer.l2sigma.inductor[3].i","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
2.0035999,0.13329102,0.31527296,121.12376,123.99623,0.015609549,136.40648,132.6136,-0.0014476695,-0.045961019,356.63654,-0.21308039
2.0037,0.13401213,0.31293401,121.14468,124.044,0.015832426,136.41888,132.62572,-0.0019869392,-0.04395524,356.64316,-0.22578073
2.0037999,0.1347395,0.31017879,121.16599,124.09175,0.016039673,136.43129,132.63783,-0.0025242434,-0.041928276,356.64975,-0.23839194
2.0039001,0.13547331,0.30701044,121.18768,124.1395,0.016231086,136.44371,132.64995,-0.0030590508,-0.039880838,356.65634,-0.2509011
2.0039999,0.13621372,0.30343243,121.20975,124.18723,0.016406482,136.45612,132.66206,-0.0035908427,-0.037813623,356.66293,-0.26329565
2.0041001,0.13696085,0.29944864,121.23218,124.23496,0.016565686,136.46854,132.67418,-0.0041190903,-0.035727344,356.66949,-0.27556282
2.0042,0.13771483,0.29506338,121.25496,124.28268,0.01670854,136.48097,132.68631,-0.0046432731,-0.033622708,356.67606,-0.28769004
2.0043001,0.13847578,0.29028127,121.27808,124.33039,0.016834902,136.49339,132.69844,-0.005162871,-0.031500425,356.68262,-0.299665
2.0044,0.1392438,0.28510737,121.30151,124.37808,0.016944645,136.50583,132.71057,-0.0056773713,-0.029361201,356.68918,-0.31147546
2.0044999,0.14001895,0.27954715,121.32527,124.42577,0.017037664,136.51828,132.7227,-0.0061862646,-0.027205752,356.69571,-0.32310936
2.0046,0.14080136,0.27360633,121.34933,124.47345,0.017113866,136.53072,132.73483,-0.0066890521,-0.02503478,356.70224,-0.33455479
2.0046999,0.14159103,0.26729116,121.37366,124.52112,0.017173178,136.54317,132.74696,-0.0071852379,-0.022848994,356.70874,-0.34580004
2.0048001,0.14238803,0.26060811,121.39828,124.56877,0.017215541,136.55562,132.75911,-0.0076743327,-0.0206491,356.71524,-0.35683367
2.0049,0.14319241,0.25356406,121.42315,124.61642,0.017240912,136.56808,132.77124,-0.0081558526,-0.018435802,356.72174,-0.36764428
2.0050001,0.14400417,0.24616627,121.44827,124.66405,0.017249264,136.58055,132.78339,-0.0086293221,-0.016209804,356.72824,-0.37822086
2.0051,0.14482331,0.2384223,121.47362,124.71168,0.017240593,136.59302,132.79553,-0.0090942755,-0.013971804,356.73471,-0.38855255
2.0051999,0.14564985,0.23034006,121.49918,124.75929,0.017214907,136.60548,132.80768,-0.0095502529,-0.0117225,356.74118,-0.39862868
2.0053,0.14648376,0.22192776,121.52495,124.80689,0.017172229,136.61797,132.81984,-0.0099968035,-0.0094625894,356.74765,-0.40843892
2.0053999,0.14732502,0.21319397,121.55091,124.85448,0.0171126,136.63045,132.83199,-0.010433487,-0.0071927621,356.75409,-0.41797316
2.0055001,0.14817359,0.20414756,121.57704,124.90206,0.017036082,136.64294,132.84415,-0.010859871,-0.0049137077,356.76053,-0.42722157
2.0056,0.14902939,0.19479766,121.60334,124.94963,0.016942749,136.65543,132.85631,-0.011275538,-0.0026261108,356.76697,-0.4361746
2.0057001,0.14989237,0.18515377,121.62978,124.99719,0.016832694,136.66792,132.86847,-0.011680078,-0.00033065284,356.77338,-0.44482297
2.0058,0.15076245,0.1752256,121.65635,125.04473,0.016706027,136.68044,132.88063,-0.01207309,0.0019719899,356.77979,-0.45315775
2.0058999,0.15163957,0.16502316,121.68304,125.09227,0.01656287,136.69293,132.89279,-0.012454187,0.0042811451,356.78619,-0.46117026
2.006,0.15252358,0.15455674,121.70983,125.13979,0.016403364,136.70544,132.90497,-0.012822991,0.0065961452,356.7926,-0.46885216
2.0060999,0.1534144,0.14383687,121.73671,125.18729,0.01622767,136.71797,132.91714,-0.013179141,0.0089163287,356.79898,-0.47619545
2.0062001,0.1543119,0.13287431,121.76366,125.23479,0.016035959,136.73048,132.92932,-0.013522283,0.011241037,356.80536,-0.48319244
2.0063,0.15521593,0.12168009,121.79068,125.28228,0.015828419,136.74301,132.9415,-0.013852078,0.013569622,356.81171,-0.4898358
2.0064001,0.15612637,0.11026544,121.81774,125.32975,0.015605257,136.75554,132.95367,-0.014168204,0.015901435,356.81805,-0.49611855
2.0065,0.15704302,0.09864179,121.84483,125.37721,0.015366692,136.76808,132.96585,-0.014470345,0.01823584,356.8244,-0.50203401
2.0065999,0.15796576,0.086820789,121.87194,125.42466,0.015112961,136.78062,132.97804,-0.014758206,0.0205722,356.83075,-0.50757593
2.0067,0.1588944,0.07481429,121.89905,125.47209,0.014844314,136.79317,132.99023,-0.015031503,0.022909891,356.83707,-0.51273835
2.0067999,0.15982875,0.062634282,121.92615,125.51951,0.014561014,136.80571,133.00243,-0.015289963,0.025248295,356.84338,-0.51751572
2.0069001,0.1607686,0.050292961,121.95322,125.56692,0.014263343,136.81827,133.01462,-0.015533334,0.027586797,356.8497,-0.52190298
2.007,0.16171375,0.037802659,121.98027,125.61431,0.013951594,136.83083,133.02681,-0.015761375,0.029924793,356.85599,-0.52589518
2.0071001,0.16266397,0.025175847,122.00726,125.6617,0.013626074,136.84338,133.03902,-0.01597386,0.032261688,356.86227,-0.52948803
2.0072,0.16361906,0.012425134,122.03418,125.70906,0.013287106,136.85596,133.05121,-0.01617058,0.034596886,356.86856,-0.53267753
2.0072999,0.16457877,-0.00043674873,122.06103,125.75642,0.012935021,136.86853,133.06342,-0.016351342,0.036929812,356.87482,-0.53546
2.0074,0.16554284,-0.013396975,122.08779,125.80376,0.01257017,136.8811,133.07562,-0.016515967,0.039259888,356.8811,-0.5378322
2.0074999,0.16651103,-0.026442619,122.11445,125.85108,0.012192911,136.89369,133.08783,-0.016664291,0.041586548,356.88733,-0.53979141
2.0076001,0.16748309,-0.039560672,122.14099,125.89839,0.011803619,136.90628,133.10005,-0.016796168,0.043909241,356.89359,-0.54133523
2.0077,0.16845873,-0.052738063,122.1674,125.94569,0.011402675,136.91887,133.11226,-0.016911471,0.046227414,356.89981,-0.54246151
2.0078001,0.16943768,-0.065961659,122.19368,125.99297,0.010990476,136.93147,133.12448,-0.017010083,0.048540529,356.90604,-0.54316884
2.0079,0.17041965,-0.079218298,122.21981,126.04025,0.010567429,136.94408,133.1367,-0.017091908,0.050848056,356.91226,-0.5434559
2.0079999,0.17140433,-0.092494763,122.24578,126.0875,0.010133951,136.95668,133.14893,-0.017156864,0.053149473,356.91846,-0.54332197
2.0081,0.17239144,-0.10577784,122.27158,126.13474,0.0096904701,136.96928,133.16115,-0.017204888,0.055444274,356.92465,-0.54276669
2.0081999,0.17338067,-0.11905432,122.2972,126.18196,0.0092374245,136.9819,133.17339,-0.017235931,0.057731953,356.93082,-0.54179013
2.0083001,0.17437169,-0.13231097,122.32262,126.22917,0.0087752594,136.99452,133.18561,-0.017249966,0.060012016,356.93701,-0.5403927
2.0084,0.17536418,-0.1455346,122.34785,126.27637,0.008304433,137.00716,133.19785,-0.017246976,0.062283985,356.94318,-0.53857529
2.0085001,0.17635782,-0.15871206,122.37286,126.32355,0.0078254091,137.01978,133.21008,-0.017226964,0.064547382,356.94931,-0.53633916
2.0086,0.17735226,-0.17183024,122.39765,126.37071,0.0073386603,137.03241,133.22232,-0.017189953,0.066801757,356.95547,-0.53368616
2.0086999,0.17834717,-0.18487607,122.42221,126.41786,0.0068446673,137.04506,133.23456,-0.017135976,0.069046646,356.96161,-0.53061819
2.0088,0.17934221,-0.19783659,122.44654,126.46499,0.006343917,137.05769,133.24681,-0.017065087,0.071281619,356.96774,-0.52713788
2.0088999,0.180337,-0.21069892,122.47062,126.51211,0.005836904,137.07034,133.25905,-0.016977357,0.073506229,356.97385,-0.52324808
2.0090001,0.18133119,-0.22345023,122.49445,126.55921,0.0053241285,137.08301,133.2713,-0.016872872,0.075720072,356.97995,-0.51895213
2.0091,0.18232442,-0.23607786,122.51801,126.60629,0.0048060967,137.09566,133.28355,-0.016751735,0.077922732,356.98605,-0.5142538
2.0092001,0.18331634,-0.24856924,122.54131,126.65336,0.0042833202,137.10832,133.29581,-0.016614065,0.080113806,356.99216,-0.50915712
2.0093,0.18430655,-0.26091194,122.56435,126.70042,0.0037563141,137.12099,133.30806,-0.016459998,0.082292907,356.99823,-0.50366658
2.0093999,0.18529469,-0.27309367,122.5871,126.74745,0.0032255987,137.13367,133.32031,-0.016289687,0.08445967,357.0043,-0.49778709
2.0095,0.18628037,-0.28510234,122.60956,126.79446,0.0026916983,137.14633,133.33258,-0.016103301,0.086613715,357.01038,-0.49152392
2.0095999,0.18726321,-0.29692599,122.63174,126.84147,0.0021551391,137.15903,133.34483,-0.015901022,0.088754691,357.01642,-0.48488271
2.0097001,0.18824281,-0.30855283,122.65362,126.88845,0.0016164511,137.17171,133.3571,-0.015683049,0.090882257,357.02246,-0.47786942
2.0098,0.18921879,-0.31997129,122.6752,126.93542,0.0010761655,137.1844,133.36937,-0.0154496,0.092996076,357.0285,-0.47049046
2.0099001,0.19019076,-0.33117005,122.69648,126.98237,0.00053481571,137.1971,133.38164,-0.015200903,0.095095828,357.03452,-0.46275255
2.01,0.19115831,-0.3421379,122.71745,127.0293,-7.0640885e-06,137.20979,133.39391,-0.014937203,0.097181208,357.04053,-0.45466274
2.0100999,0.19212106,-0.35286394,122.73812,127.07622,-0.0005489391,137.2225,133.40617,-0.014658763,0.099251911,357.04654,-0.4462285
2.0102,0.19307859,-0.36333749,122.75848,127.12312,-0.0010902745,137.23521,133.41846,-0.014365856,0.10130765,357.05252,-0.43745756
2.0102999,0.19403049,-0.37354806,122.77852,127.17,-0.0016305363,137.24792,133.43073,-0.014058771,0.10334815,357.05853,-0.42835802
2.0104001,0.19497639,-0.38348556,122.79824,127.21686,-0.0021691911,137.26065,133.44301,-0.013737811,0.10537314,357.06451,-0.41893831
2.0105,0.19591585,-0.39313999,122.81766,127.2637,-0.0027057074,137.27336,133.45529,-0.013403293,0.10738239,357.07047,-0.40920711
2.0106001,0.19684847,-0.40250176,122.83675,127.31052,-0.0032395558,137.2861,133.46758,-0.013055547,0.10937562,357.07642,-0.39917347
2.0107,0.19777384,-0.41156152,122.85553,127.35733,-0.0037702094,137.29883,133.47986,-0.012694917,0.11135263,357.08237,-0.38884676
2.0107999,0.19869156,-0.42031023,122.87399,127.40412,-0.0042971447,137.31157,133.49214,-0.012321757,0.11331318,357.08832,-0.3782365
2.0109,0.19960123,-0.42873913,122.89214,127.45089,-0.0048198411,137.32431,133.50444,-0.011936437,0.11525708,357.09424,-0.36735266
2.0109999,0.20050243,-0.43683976,122.90997,127.49764,-0.0053377836,137.33705,133.51672,-0.011539337,0.11718411,357.10016,-0.35620534
2.0111001,0.20139472,-0.44460407,122.9275,127.54437,-0.0058504608,137.34981,133.52902,-0.011130849,0.1190941,357.10608,-0.34480503
2.0112,0.20227775,-0.45202425,122.94471,127.59109,-0.0063573662,137.36256,133.54131,-0.010711375,0.12098688,357.11197,-0.33316231
2.0113001,0.20315106,-0.45909283,122.96161,127.63778,-0.0068580001,137.37534,133.5536,-0.010281329,0.12286226,357.11786,-0.32128814
2.0114,0.20401427,-0.46580276,122.97821,127.68445,-0.0073518688,137.38809,133.5659,-0.0098411376,0.12472013,357.12375,-0.30919361
2.0114999,0.20486698,-0.47214729,122.9945,127.7311,-0.0078384839,137.40086,133.5782,-0.0093912324,0.1265603,357.12964,-0.29689008
2.0116,0.20570877,-0.47812,123.0105,127.77774,-0.0083173662,137.41364,133.5905,-0.0089320596,0.12838267,357.1355,-0.28438911
2.0116999,0.20653924,-0.48371488,123.02621,127.82435,-0.0087880418,137.42642,133.6028,-0.008464071,0.13018711,357.14136,-0.27170241
2.0118001,0.20735799,-0.48892629,123.04162,127.87095,-0.0092500476,137.43921,133.61511,-0.0079877293,0.13197352,357.14719,-0.2588419
2.0118999,0.20816462,-0.49374896,123.05675,127.91752,-0.0097029274,137.452,133.62741,-0.0075035035,0.1337418,357.15305,-0.24581969
2.0120001,0.20895873,-0.49817798,123.0716,127.96407,-0.010146234,137.46478,133.63971,-0.0070118723,0.13549183,357.15887,-0.23264804
2.0121,0.20973994,-0.50220883,123.08618,128.0106,-0.010579529,137.47758,133.65202,-0.0065133204,0.13722357,357.16467,-0.21933934
2.0122001,0.21050784,-0.50583738,123.10049,128.05711,-0.011002387,137.49039,133.66434,-0.0060083405,0.13893695,357.1705,-0.20590611
2.0123,0.21126206,-0.50905991,123.11455,128.10361,-0.011414389,137.5032,133.67665,-0.00549743,0.1406319,357.1763,-0.192361
2.0123999,0.2120022,-0.51187319,123.12835,128.15007,-0.011815129,137.51601,133.68895,-0.004981094,0.14230837,357.18207,-0.17871679
2.0125,0.2127279,-0.51427412,123.1419,128.19652,-0.01220421,137.52882,133.70126,-0.0044598416,0.14396635,357.18787,-0.16498633
2.0125999,0.21343876,-0.51626027,123.15522,128.24295,-0.012581251,137.54166,133.71359,-0.0039341869,0.14560577,357.19363,-0.15118256
2.0127001,0.21413441,-0.5178296,123.1683,128.28935,-0.012945877,137.55447,133.72591,-0.0034046494,0.14722666,357.1994,-0.13731852
2.0128,0.2148145,-0.51898021,123.18117,128.33574,-0.013297731,137.56731,133.73822,-0.0028717511,0.14882898,357.20514,-0.12340724
2.0129001,0.21547864,-0.51971096,123.19382,128.38211,-0.013636463,137.58014,133.75053,-0.0023360178,0.15041274,357.21091,-0.10946188
2.013,0.21612649,-0.5200209,123.20628,128.42844,-0.013961741,137.59299,133.76286,-0.0017979789,0.15197796,357.21664,-0.095495582
2.0130999,0.21675767,-0.51990956,123.21853,128.47476,-0.014273242,137.60583,133.77518,-0.0012581646,0.15352465,357.22235,-0.081521519
2.0132,0.21737185,-0.51937687,123.2306,128.52106,-0.01457066,137.61868,133.78751,-0.00071710796,0.15505286,357.22806,-0.067552879
2.0132999,0.21796869,-0.51842326,123.2425,128.56734,-0.014853701,137.63153,133.79982,-0.000175343,0.15656261,357.23376,-0.05360283
2.0134001,0.21854782,-0.51704931,123.25423,128.61359,-0.015122086,137.64439,133.81215,0.00036659586,0.15805395,357.23947,-0.039684542
2.0135,0.21910894,-0.51525635,123.26581,128.65981,-0.015375549,137.65726,133.82448,0.00090817368,0.15952694,357.24518,-0.025811136
2.0136001,0.21965168,-0.51304591,123.27724,128.70601,-0.015613841,137.67012,133.83681,0.001448856,0.16098166,357.25085,-0.0119957
2.0137,0.22017576,-0.51041996,123.28855,128.7522,-0.015836727,137.683,133.84914,0.0019881092,0.16241816,357.2565,0.0017487366
2.0137999,0.22068083,-0.50738096,123.29974,128.79836,-0.016043987,137.69588,133.86147,0.0025254013,0.16383654,357.26218,0.015409217
2.0139,0.22116661,-0.50393164,123.31081,128.84448,-0.016235415,137.70876,133.87379,0.0030602019,0.16523688,357.26782,0.028972866
2.0139999,0.22163276,-0.50007522,123.32178,128.89059,-0.016410824,137.72165,133.88612,0.0035919833,0.16661927,357.27347,0.042426899
2.0141001,0.22207899,-0.49581531,123.33268,128.93669,-0.016570039,137.73454,133.89845,0.0041202209,0.16798383,357.27911,0.055758644
2.0142,0.22250503,-0.49115592,123.3435,128.98276,-0.016712906,137.74744,133.9108,0.004644393,0.16933067,357.28473,0.068955548
2.0143001,0.22291058,-0.48610142,123.35426,129.02879,-0.016839279,137.76033,133.92313,0.0051639825,0.17065991,357.29034,0.08200518
2.0144,0.22329536,-0.48065659,123.36497,129.07481,-0.016949039,137.77324,133.93546,0.0056784763,0.17197169,357.29596,0.094895266
2.0144999,0.2236591,-0.47482657,123.37564,129.1208,-0.017042072,137.78615,133.9478,0.0061873677,0.17326611,357.30154,0.10761369
2.0146,0.22400153,-0.4686169,123.38629,129.16676,-0.017118292,137.79906,133.96013,0.0066901534,0.17454335,357.30713,0.12014849
2.0146999,0.22432241,-0.46203348,123.39693,129.21271,-0.017177619,137.81198,133.97247,0.0071863378,0.17580353,357.31271,0.13248788
2.0148001,0.22462147,-0.45508257,123.40757,129.25862,-0.017219998,137.82491,133.98482,0.0076754312,0.17704682,357.31827,0.1446203
2.0149,0.22489849,-0.44777083,123.41823,129.30452,-0.017245384,137.83783,133.99716,0.0081569506,0.17827336,357.32382,0.15653434
2.0150001,0.22515321,-0.44010517,123.42892,129.35039,-0.017253755,137.85077,134.00949,0.008630421,0.17948335,357.32938,0.16821887
2.0151,0.22538543,-0.43209299,123.43964,129.39622,-0.017245101,137.86371,134.02184,0.0090953754,0.18067694,357.33493,0.1796629
2.0151999,0.22559491,-0.42374191,123.45042,129.44205,-0.01721943,137.87665,134.03418,0.0095513556,0.18185431,357.34045,0.19085577
2.0153,0.22578146,-0.41505992,123.46128,129.48784,-0.017176768,137.88959,134.04654,0.0099979099,0.18301563,357.34598,0.20178698
2.0153999,0.22594485,-0.40605536,123.47221,129.5336,-0.017117156,137.90254,134.05888,0.010434598,0.18416111,357.3515,0.21244633
2.0155001,0.2260849,-0.39673686,123.48324,129.57933,-0.017040657,137.9155,134.07123,0.010860991,0.18529095,357.35699,0.2228239
2.0156,0.22620143,-0.38711336,123.49438,129.62505,-0.01694734,137.92845,134.08357,0.011276665,0.18640532,357.36249,0.23291001
2.0157001,0.22629426,-0.37719405,123.50564,129.67073,-0.016837303,137.94142,134.09593,0.011681212,0.18750444,357.36798,0.24269527
2.0158,0.22636321,-0.36698854,123.51703,129.71638,-0.016710652,137.95439,134.10828,0.012074232,0.18858851,357.37347,0.25217062
2.0158999,0.22640812,-0.35650656,123.52857,129.76202,-0.016567511,137.96736,134.12064,0.012455338,0.18965776,357.37894,0.26132727
2.016,0.22642885,-0.3457582,123.54028,129.80763,-0.016408024,137.98035,134.13298,0.012824152,0.19071238,357.3844,0.27015674
2.0160999,0.22642525,-0.33475381,123.55216,129.85321,-0.016232345,137.99333,134.14534,0.013180312,0.19175261,357.38983,0.27865088
2.0162001,0.22639716,-0.32350397,123.56422,129.89876,-0.016040651,138.00632,134.1577,0.013523466,0.19277866,357.39526,0.28680187
2.0163,0.22634448,-0.31201947,123.5765,129.94429,-0.015833128,138.0193,134.17004,0.013853274,0.19379075,357.4007,0.29460225
2.0164001,0.22626708,-0.30031142,123.58898,129.98978,-0.015609983,138.0323,134.1824,0.014169413,0.19478913,357.40613,0.30204481
2.0165,0.22616485,-0.28839105,123.60169,130.03525,-0.015371435,138.0453,134.19476,0.014471569,0.19577402,357.41156,0.30912283
2.0165999,0.2260377,-0.27626982,123.61464,130.08069,-0.015117721,138.05832,134.20712,0.014759445,0.19674566,357.41696,0.31582981
2.0167,0.22588551,-0.26395944,123.62784,130.1261,-0.014849088,138.07132,134.2195,0.015032755,0.19770429,357.42233,0.32215974
2.0167999,0.22570822,-0.25147173,123.6413,130.17149,-0.014565805,138.08434,134.23186,0.015291233,0.19865014,357.42773,0.32810688
2.0169001,0.22550575,-0.23881871,123.65505,130.21684,-0.014268149,138.09735,134.24422,0.01553462,0.19958346,357.43311,0.33366588
2.017,0.22527802,-0.22601259,123.66908,130.26218,-0.013956415,138.11038,134.25659,0.015762677,0.20050448,357.43848,0.33883181
2.0171001,0.22502498,-0.21306571,123.68342,130.30746,-0.01363091,138.12341,134.26895,0.015975181,0.20141348,357.44385,0.34360009
2.0172,0.22474658,-0.19999051,123.69807,130.35274,-0.013291955,138.13644,134.28133,0.016171919,0.20231068,357.44919,0.34796658
2.0172999,0.22444278,-0.18679962,123.71304,130.39798,-0.012939885,138.14948,134.29369,0.0163527,0.20319635,357.45453,0.35192743
2.0174,0.22411355,-0.17350571,123.72835,130.44319,-0.012575048,138.16252,134.30606,0.016517343,0.20407072,357.45987,0.35547933
2.0174999,0.22375886,-0.16012159,123.744,130.48837,-0.012197803,138.17557,134.31844,0.016665688,0.20493405,357.46518,0.35861918
2.0176001,0.2233787,-0.14666018,123.76002,130.53352,-0.011808523,138.18861,134.33081,0.016797585,0.20578659,357.47049,0.36134452
2.0177,0.22297306,-0.13313442,123.7764,130.57864,-0.011407591,138.20168,134.34319,0.016912909,0.20662861,357.4758,0.36365306
2.0178001,0.22254194,-0.11955734,123.79316,130.62375,-0.010995405,138.21474,134.35558,0.017011542,0.20746034,357.48111,0.3655431
2.0179,0.22208536,-0.10594203,123.81031,130.66881,-0.010572369,138.2278,134.36795,0.017093388,0.20828205,357.48639,0.36701322
2.0179999,0.22160332,-0.09230157,123.82786,130.71384,-0.010138903,138.24088,134.38033,0.017158367,0.209094,357.49167,0.3680625
2.0181,0.22109587,-0.078649119,123.84582,130.75883,-0.0096954321,138.25394,134.39272,0.017206412,0.20989645,357.49692,0.36869037
2.0181999,0.22056304,-0.064997815,123.8642,130.80382,-0.0092423959,138.26701,134.40511,0.017237479,0.21068962,357.5022,0.36889672
2.0183001,0.22000486,-0.05136079,123.883,130.84875,-0.0087802419,138.28011,134.41748,0.017251536,0.21147379,357.50745,0.36868182
2.0184,0.2194214,-0.037751172,123.90225,130.89366,-0.0083094239,138.2932,134.42987,0.017248569,0.21224922,357.5127,0.36804634
2.0185001,0.2188127,-0.024182051,123.92194,130.93854,-0.0078304084,138.30627,134.44226,0.017228583,0.21301615,357.51791,0.3669914
2.0186,0.21817887,-0.010666487,123.94208,130.98338,-0.0073436676,138.31938,134.45467,0.017191593,0.21377483,357.52313,0.36551854
2.0186999,0.21751994,0.0027825269,123.96268,131.0282,-0.006849682,138.33247,134.46706,0.017137639,0.21452552,357.52835,0.36362961
2.0188,0.21683602,0.01615206,123.98376,131.07298,-0.0063489387,138.34558,134.47945,0.017066775,0.21526846,357.53357,0.36132696
2.0188999,0.2161272,0.029429259,124.00531,131.11774,-0.0058419318,138.35869,134.49185,0.016979069,0.21600392,357.53876,0.35861334
2.0190001,0.21539359,0.042601366,124.02734,131.16246,-0.0053291623,138.37181,134.50426,0.016874608,0.21673213,357.54395,0.35549188
2.0191,0.21463528,0.055655729,124.04987,131.20715,-0.0048111361,138.38492,134.51666,0.016753495,0.21745333,357.54913,0.35196605
