"Time","aimc.idq_rr[2]","loadInertia.w","powerSensor.flange_a.phi","aimc.idq_sr[1]","aimc.is[1]","aimc.idq_rr[1]","aimc.is[2]","aimc.idq_sr[2]","PI.x"
0.0035999999,0.011327689,157.05121,0.56543553,-7.156467,1.3075111,-0.0069739153,-7.7864223,-4.2486339,18.706682
0.0037,0.011925321,157.05043,0.58114064,-7.1560683,1.5662484,-0.0073572509,-7.876606,-4.2492552,19.164402
0.0038000001,0.012536089,157.04965,0.59684563,-7.1556597,1.8234483,-0.0077506062,-7.9589801,-4.2498903,19.618444
0.0038999999,0.01315984,157.04887,0.61255056,-7.1552401,2.078855,-0.008153975,-8.0334606,-4.2505393,20.068789
0.0040000002,0.013796418,157.0481,0.62825537,-7.15481,2.3322146,-0.008567363,-8.0999727,-4.2512012,20.515409
0.0041,0.014445669,157.04732,0.64396018,-7.1543698,2.5832748,-0.008990773,-8.1584473,-4.2518768,20.95829
0.0041999999,0.015107443,157.04654,0.65966487,-7.1539187,2.8317857,-0.0094242105,-8.208827,-4.2525654,21.397409
0.0043000001,0.015781596,157.04576,0.67536944,-7.1534576,3.0775001,-0.0098676709,-8.2510586,-4.2532668,21.832745
0.0044,0.016467983,157.045,0.69107401,-7.1529856,3.3201733,-0.010321163,-8.285099,-4.2539811,22.264277
0.0044999998,0.017166458,157.04422,0.70677847,-7.1525035,3.5595632,-0.010784691,-8.3109121,-4.2547083,22.69199
0.0046000001,0.017876878,157.04346,0.72248286,-7.1520104,3.7954316,-0.011258266,-8.3284721,-4.2554479,23.11586
0.0046999999,0.01859911,157.04268,0.73818713,-7.1515074,4.0275431,-0.01174189,-8.33776,-4.2561998,23.535873
0.0048000002,0.019333014,157.04192,0.75389141,-7.1509933,4.2556663,-0.012235566,-8.3387642,-4.2569642,23.952007
0.0049000001,0.020078458,157.04115,0.76959556,-7.1504688,4.4795737,-0.012739304,-8.3314819,-4.2577405,24.364246
0.0049999999,0.02083531,157.04039,0.7852996,-7.1499338,4.6990414,-0.01325311,-8.3159208,-4.2585287,24.772572
0.0051000002,0.021603441,157.03963,0.80100363,-7.1493883,4.9138508,-0.013776992,-8.2920923,-4.2593293,25.176968
0.0052,0.022382721,157.03888,0.81670755,-7.1488323,5.1237874,-0.014310956,-8.2600212,-4.2601409,25.577417
0.0052999998,0.02317303,157.03812,0.83241141,-7.1482654,5.3286414,-0.014855009,-8.2197361,-4.2609649,25.973902
0.0054000001,0.023974245,157.03737,0.84811515,-7.1476884,5.5282083,-0.015409159,-8.171277,-4.2617998,26.366405
0.0055,0.024786247,157.03662,0.86381888,-7.1471004,5.7222877,-0.01597341,-8.1146898,-4.2626462,26.754913
0.0055999998,0.025608918,157.03587,0.8795225,-7.146502,5.9106865,-0.016547769,-8.0500298,-4.263504,27.13941
0.0057000001,0.026442142,157.03513,0.89522606,-7.1458926,6.0932159,-0.017132241,-7.9773602,-4.2643728,27.519878
0.0057999999,0.027285812,157.03438,0.9109295,-7.1452732,6.2696929,-0.017726829,-7.8967524,-4.2652526,27.896305
0.0059000002,0.028139817,157.03363,0.92663294,-7.1446428,6.4399414,-0.018331539,-7.8082848,-4.2661433,28.268673
0.0060000001,0.02900405,157.0329,0.94233626,-7.144002,6.6037903,-0.018946372,-7.7120442,-4.267045,28.636969
0.0060999999,0.02987841,157.03215,0.95803946,-7.1433501,6.7610755,-0.019571332,-7.6081257,-4.2679572,29.001179
0.0062000002,0.030762792,157.03142,0.97374266,-7.1426878,6.9116397,-0.02020642,-7.4966311,-4.2688799,29.361288
0.0063,0.031657103,157.03069,0.98944575,-7.142015,7.0553317,-0.020851634,-7.3776712,-4.2698135,29.717283
0.0063999998,0.032561243,157.02997,1.0051488,-7.1413317,7.1920071,-0.021506974,-7.2513623,-4.2707572,30.069151
0.0065000001,0.033475105,157.02924,1.0208517,-7.1406374,7.3215289,-0.02217244,-7.1178298,-4.2717113,30.416876
0.0066,0.034398589,157.02852,1.0365547,-7.1399326,7.4437666,-0.022848027,-6.9772058,-4.2726755,30.760448
0.0066999998,0.035331614,157.02779,1.0522574,-7.1392169,7.558598,-0.02353373,-6.8296289,-4.2736497,31.099854
0.0068000001,0.036274094,157.02707,1.0679603,-7.1384912,7.6659069,-0.024229543,-6.6752453,-4.2746344,31.43508
0.0068999999,0.037225943,157.02635,1.0836629,-7.1377544,7.7655859,-0.024935456,-6.5142083,-4.2756286,31.766115
0.0070000002,0.038187072,157.02565,1.0993655,-7.1370068,7.8575339,-0.025651459,-6.3466778,-4.2766328,32.092945
0.0071,0.039157402,157.02493,1.115068,-7.1362491,7.941658,-0.026377542,-6.1728191,-4.2776465,32.415558
0.0071999999,0.040136855,157.02423,1.1307704,-7.1354804,8.0178747,-0.027113689,-5.992805,-4.2786703,32.733948
0.0073000002,0.041125353,157.02353,1.1464728,-7.1347013,8.0861044,-0.027859887,-5.8068147,-4.2797036,33.048096
0.0074,0.042122807,157.02283,1.1621752,-7.1339116,8.1462812,-0.028616121,-5.6150322,-4.280746,33.357994
0.0074999998,0.043129135,157.02214,1.1778774,-7.1331115,8.1983414,-0.029382376,-5.4176483,-4.2817984,33.663631
0.0076000001,0.044144277,157.02144,1.1935796,-7.1323004,8.2422323,-0.030158624,-5.2148595,-4.2828598,33.965
0.0077,0.045168161,157.02075,1.2092817,-7.1314793,8.2779102,-0.030944845,-5.0068669,-4.2839308,34.262085
0.0077999998,0.046200715,157.02007,1.2249838,-7.1306472,8.3053389,-0.031741012,-4.7938776,-4.2850108,34.554878
0.0078999996,0.04724187,157.01938,1.2406857,-7.1298051,8.3244877,-0.032547094,-4.5761037,-4.2861004,34.843369
0.0080000004,0.048291568,157.01871,1.2563876,-7.128952,8.3353386,-0.033363063,-4.3537621,-4.2871985,35.127544
0.0081000002,0.049349736,157.01802,1.2720895,-7.128089,8.3378792,-0.034188885,-4.1270738,-4.2883058,35.407402
0.0082,0.050416317,157.01735,1.2877913,-7.1272154,8.3321047,-0.035024524,-3.8962643,-4.2894225,35.682926
0.0082999999,0.051491227,157.01669,1.3034929,-7.1263318,8.3180218,-0.03586996,-3.6615641,-4.2905474,35.954109
0.0083999997,0.052574407,157.01602,1.3191946,-7.1254377,8.2956429,-0.036725145,-3.423207,-4.2916818,36.220947
0.0085000005,0.053665802,157.01537,1.3348961,-7.1245332,8.2649889,-0.037590038,-3.1814303,-4.2928247,36.483421
0.0086000003,0.054765359,157.01471,1.3505976,-7.1236186,8.2260904,-0.038464591,-2.9364753,-4.2939763,36.741531
0.0087000001,0.05587301,157.01405,1.366299,-7.1226935,8.1789846,-0.039348755,-2.6885862,-4.2951365,36.99527
0.0088,0.056988709,157.0134,1.3820004,-7.1217589,8.1237183,-0.040242482,-2.43801,-4.2963052,37.244621
0.0088999998,0.05811239,157.01276,1.3977017,-7.1208138,8.0603456,-0.04114572,-2.1849971,-4.2974825,37.489578
0.0089999996,0.059244007,157.01212,1.413403,-7.1198587,7.9889283,-0.042058408,-1.9297998,-4.2986684,37.730141
0.0091000004,0.060383502,157.01147,1.4291042,-7.1188936,7.9095373,-0.042980492,-1.6726727,-4.2998629,37.966293
0.0092000002,0.061530806,157.01085,1.4448053,-7.117919,7.8222518,-0.04391193,-1.4138726,-4.3010654,38.198032
0.0093,0.06268587,157.01021,1.4605063,-7.1169343,7.7271576,-0.044852652,-1.153658,-4.3022766,38.425354
0.0093999999,0.063848644,157.00958,1.4762074,-7.1159396,7.6243491,-0.04580259,-0.89228863,-4.3034959,38.648247
0.0094999997,0.065019071,157.00897,1.4919083,-7.1149354,7.5139284,-0.046761673,-0.63002563,-4.3047237,38.866703
0.0096000005,0.066197105,157.00835,1.5076091,-7.1139216,7.3960047,-0.047729827,-0.36713096,-4.3059592,39.080719
0.0097000003,0.067382693,157.00774,1.5233099,-7.1128979,7.2706962,-0.048706982,-0.10386738,-4.3072033,39.290287
0.0098000001,0.068575785,157.00713,1.5390106,-7.111865,7.1381264,-0.049693055,0.15950204,-4.308455,39.495399
0.0098999999,0.069776326,157.00653,1.5547113,-7.1108227,6.9984279,-0.050687972,0.42271405,-4.3097148,39.696056
0.0099999998,0.070984267,157.00592,1.570412,-7.1097713,6.8517389,-0.051691644,0.68550551,-4.3109827,39.892246
0.0101,0.072199546,157.00534,1.5861126,-7.1087103,6.6982069,-0.052704018,0.94761366,-4.3122587,40.083965
0.0102,0.073422119,157.00475,1.6018131,-7.1076403,6.5379834,-0.053724986,1.2087764,-4.3135424,40.271214
0.0103,0.074651934,157.00415,1.6175135,-7.1065612,6.3712292,-0.054754458,1.4687325,-4.3148336,40.453979
0.0104,0.075888939,157.00357,1.6332139,-7.105473,6.1981096,-0.055792339,1.727222,-4.3161325,40.632259
0.0105,0.077133074,157.00301,1.6489142,-7.1043763,6.0187979,-0.056838538,1.9839863,-4.3174396,40.806053
0.0106,0.078384295,157.00243,1.6646144,-7.1032705,5.8334727,-0.057892948,2.2387683,-4.3187542,40.975349
0.0107,0.079642549,157.00186,1.6803147,-7.1021562,5.6423192,-0.058955476,2.4913132,-4.3200765,41.140152
0.0108,0.080907784,157.0013,1.6960149,-7.1010332,5.445528,-0.060026005,2.7413685,-4.3214059,41.300449
0.0109,0.082179941,157.00075,1.711715,-7.0999022,5.2432952,-0.061104439,2.9886835,-4.3227429,41.456245
0.011,0.083458968,157.00018,1.727415,-7.0987625,5.0358233,-0.062190693,3.2330108,-4.3240876,41.607533
0.0111,0.084744811,156.99965,1.7431149,-7.0976143,4.823319,-0.063284636,3.4741056,-4.3254395,41.754311
0.0112,0.086037412,156.9991,1.7588149,-7.0964584,4.6059952,-0.064386152,3.7117269,-4.3267989,41.896576
0.0113,0.087336712,156.99857,1.7745148,-7.095294,4.3840685,-0.065495126,3.9456365,-4.3281655,42.034325
0.0114,0.088642657,156.99803,1.7902147,-7.0941224,4.1577611,-0.066611439,4.1756001,-4.3295393,42.167553
0.0115,0.089955188,156.9975,1.8059144,-7.0929427,3.9272988,-0.067734964,4.4013877,-4.3309202,42.296265
0.0116,0.091274239,156.99698,1.8216141,-7.0917554,3.6929121,-0.06886559,4.6227727,-4.3323083,42.420452
0.0117,0.092599764,156.99646,1.8373138,-7.0905604,3.4548357,-0.070003167,4.8395338,-4.333703,42.540119
0.0118,0.09393169,156.99596,1.8530134,-7.0893583,3.2133071,-0.071147583,5.0514531,-4.3351049,42.655258
0.0119,0.095269963,156.99544,1.868713,-7.0881486,2.9685683,-0.072298728,5.2583194,-4.336514,42.765877
0.012,0.096614517,156.99493,1.8844125,-7.0869322,2.7208641,-0.073456444,5.4599242,-4.3379297,42.871971
0.0121,0.097965293,156.99445,1.900112,-7.0857086,2.4704418,-0.074620612,5.6560664,-4.3393521,42.973537
0.0122,0.099322207,156.99396,1.9158114,-7.0844784,2.2175524,-0.075791076,5.846549,-4.3407817,43.07058
0.0123,0.10068521,156.99347,1.9315108,-7.0832415,1.9624487,-0.076967701,6.0311813,-4.3422174,43.163097
0.0124,0.10205422,156.99298,1.9472101,-7.0819979,1.7053863,-0.078150347,6.2097783,-4.3436599,43.251087
0.0125,0.10342917,156.99251,1.9629093,-7.0807481,1.446622,-0.079338871,6.3821607,-4.3451085,43.334557
0.0126,0.10480999,156.99205,1.9786086,-7.0794921,1.1864152,-0.080533125,6.5481563,-4.3465638,43.413506
0.0127,0.10619661,156.99158,1.9943078,-7.0782299,0.92502612,-0.081732951,6.7075977,-4.3480258,43.48793
0.0128,0.10758897,156.99112,2.0100069,-7.0769615,0.66271651,-0.082938232,6.8603258,-4.3494935,43.557838
0.0129,0.10898697,156.99068,2.0257061,-7.0756874,0.39974889,-0.084148802,7.0061874,-4.3509679,43.62323
0.013,0.11039054,156.99022,2.041405,-7.0744081,0.13638662,-0.085364506,7.1450362,-4.352448,43.684109
0.0131,0.11179961,156.98978,2.0571041,-7.073123,-0.12710667,-0.086585179,7.2767329,-4.3539348,43.740475
0.0132,0.11321409,156.98935,2.072803,-7.0718327,-0.39046711,-0.087810673,7.4011459,-4.3554268,43.792332
0.0133,0.1146339,156.98892,2.0885019,-7.0705371,-0.653431,-0.089040831,7.5181499,-4.356925,43.839687
0.0134,0.11605895,156.98849,2.1042008,-7.0692368,-0.91573495,-0.090275481,7.6276274,-4.358429,43.882542
0.0135,0.11748915,156.98807,2.1198997,-7.0679317,-1.1771164,-0.091514476,7.7294693,-4.3599386,43.920898
0.0136,0.11892442,156.98766,2.1355984,-7.0666218,-1.4373134,-0.092757642,7.8235736,-4.361454,43.954765
0.0137,0.1203647,156.98726,2.1512971,-7.0653076,-1.6960655,-0.09400484,7.9098454,-4.3629746,43.984146
0.0138,0.12180986,156.98686,2.1669958,-7.0639887,-1.9531136,-0.095255889,7.9881978,-4.364501,44.009045
0.0139,0.12325983,156.98647,2.1826944,-7.0626659,-2.2082,-0.096510619,8.0585537,-4.3660326,44.029469
0.014,0.12471449,156.98607,2.1983931,-7.0613394,-2.4610696,-0.097768866,8.120841,-4.3675694,44.045422
0.0141,0.12617376,156.98569,2.2140918,-7.060009,-2.7114687,-0.099030465,8.1749983,-4.3691115,44.056911
0.0142,0.12763755,156.98531,2.2297902,-7.0586748,-2.9591467,-0.10029524,8.2209702,-4.3706584,44.063942
0.0143,0.12910575,156.98494,2.2454889,-7.0573373,-3.2038555,-0.10156302,8.2587118,-4.37221,44.066528
0.0144,0.13057825,156.98457,2.2611873,-7.0559964,-3.4453502,-0.10283364,8.2881851,-4.3737669,44.064667
0.0145,0.13205495,156.98422,2.2768857,-7.0546527,-3.6833885,-0.10410692,8.3093605,-4.3753285,44.058372
0.0146,0.13353577,156.98387,2.2925842,-7.0533056,-3.9177322,-0.1053827,8.322216,-4.3768945,44.047653
0.0147,0.13502058,156.98352,2.3082826,-7.0519562,-4.1481466,-0.10666081,8.3267403,-4.3784652,44.032516
0.0148,0.13650927,156.98318,2.3239808,-7.0506039,-4.3744011,-0.10794105,8.3229275,-4.3800402,44.01297
0.0149,0.13800174,156.98285,2.3396792,-7.0492496,-4.5962687,-0.10922328,8.3107815,-4.3816195,43.989025
0.015,0.13949788,156.98251,2.3553774,-7.047893,-4.8135276,-0.11050729,8.2903156,-4.383203,43.96069
0.0151,0.14099754,156.98219,2.3710756,-7.0465345,-5.02596,-0.11179293,8.261549,-4.3847904,43.927975
0.0152,0.14250064,156.98189,2.3867738,-7.0451736,-5.2333531,-0.11308001,8.2245121,-4.3863821,43.890892
0.0153,0.14400704,156.98157,2.402472,-7.0438118,-5.4354992,-0.11436836,8.1792421,-4.3879771,43.849449
0.0154,0.14551663,156.98126,2.4181702,-7.042448,-5.6321959,-0.1156578,8.125783,-4.389576,43.803661
0.0155,0.14702933,156.98097,2.4338682,-7.0410833,-5.823247,-0.11694816,8.064189,-4.3911786,43.75354
0.0156,0.14854495,156.98068,2.4495664,-7.0397177,-6.00846,-0.11823926,7.9945226,-4.3927846,43.699093
0.015699999,0.1500634,156.98039,2.4652643,-7.0383506,-6.1876507,-0.11953093,7.9168539,-4.3943939,43.640335
0.015799999,0.15158455,156.98012,2.4809625,-7.036983,-6.3606386,-0.12082299,7.8312597,-4.3960061,43.577282
0.015900001,0.15310825,156.97984,2.4966605,-7.035615,-6.5272517,-0.12211526,7.7378273,-4.3976216,43.509945
0.016000001,0.1546344,156.97958,2.5123584,-7.0342464,-6.6873221,-0.12340757,7.6366496,-4.39924,43.438335
0.016100001,0.15616284,156.97932,2.5280564,-7.0328779,-6.8406906,-0.12469973,7.5278282,-4.4008613,43.362469
0.0162,0.15769346,156.97908,2.5437543,-7.0315089,-6.9872036,-0.12599158,7.4114728,-4.4024849,43.282364
0.0163,0.1592261,156.97884,2.5594523,-7.0301404,-7.1267142,-0.12728295,7.2876997,-4.4041114,43.198032
0.0164,0.16076067,156.97859,2.57515,-7.0287724,-7.2590828,-0.12857364,7.1566334,-4.4057398,43.109486
0.0165,0.162297,156.97836,2.590848,-7.0274048,-7.3841777,-0.12986352,7.0184059,-4.4073706,43.016747
0.0166,0.16383494,156.97813,2.6065457,-7.0260382,-7.5018735,-0.13115236,6.8731551,-4.4090037,42.919827
0.0167,0.16537437,156.97792,2.6222434,-7.024672,-7.6120524,-0.13244003,6.7210269,-4.4106388,42.818741
0.016799999,0.16691513,156.97771,2.6379414,-7.0233068,-7.7146049,-0.13372634,6.5621743,-4.4122753,42.713512
0.016899999,0.16845709,156.97749,2.6536391,-7.0219436,-7.8094277,-0.13501114,6.3967566,-4.4139132,42.604156
0.017000001,0.17000011,156.97729,2.6693368,-7.0205812,-7.8964272,-0.13629423,6.2249393,-4.4155531,42.490688
0.017100001,0.171544,156.9771,2.6850345,-7.0192204,-7.9755158,-0.13757546,6.0468955,-4.4171944,42.373131
0.017200001,0.17308867,156.97691,2.7007322,-7.0178618,-8.0466146,-0.13885465,5.8628035,-4.4188366,42.251499
0.0173,0.17463396,156.97673,2.7164299,-7.0165048,-8.1096544,-0.14013164,5.6728482,-4.4204798,42.125809
0.0174,0.17617971,156.97656,2.7321277,-7.0151501,-8.1645699,-0.14140625,5.4772196,-4.4221239,41.996086
0.0175,0.17772575,156.97639,2.7478251,-7.0137973,-8.2113085,-0.14267834,5.276114,-4.4237685,41.862347
0.0176,0.17927195,156.97623,2.7635229,-7.0124474,-8.2498236,-0.14394772,5.0697331,-4.4254141,41.724617
0.0177,0.18081816,156.97607,2.7792206,-7.0111003,-8.280076,-0.14521426,4.8582845,-4.4270601,41.582909
0.0178,0.1823642,156.97594,2.7949181,-7.0097556,-8.3020363,-0.14647776,4.6419797,-4.4287057,41.437248
0.017899999,0.18390994,156.9758,2.8106155,-7.0084138,-8.3156843,-0.14773808,4.4210358,-4.4303522,41.287659
0.017999999,0.1854552,156.97566,2.8263133,-7.0070758,-8.3210049,-0.14899506,4.1956739,-4.4319983,41.134159
0.018100001,0.18699984,156.97552,2.8420107,-7.0057406,-8.3179941,-0.15024853,3.9661202,-4.4336438,40.976772
0.018200001,0.18854372,156.9754,2.8577082,-7.0044088,-8.3066559,-0.15149835,3.732605,-4.4352889,40.815517
0.018300001,0.19008666,156.9753,2.8734059,-7.0030808,-8.2870007,-0.15274435,3.495362,-4.436934,40.650425
0.0184,0.19162852,156.97519,2.8891034,-7.0017567,-8.2590513,-0.15398638,3.2546294,-4.4385781,40.481514
0.0185,0.1931691,156.97508,2.9048009,-7.0004363,-8.2228336,-0.15522431,3.010648,-4.4402208,40.308807
0.0186,0.19470827,156.97499,2.9204984,-6.9991198,-8.1783857,-0.15645796,2.7636626,-4.4418631,40.132332
0.0187,0.19624585,156.9749,2.9361959,-6.997808,-8.1257524,-0.15768719,2.5139205,-4.4435039,39.952114
0.0188,0.1977817,156.97482,2.9518933,-6.9965005,-8.0649881,-0.15891185,2.261672,-4.4451432,39.768177
0.0189,0.19931564,156.97475,2.9675908,-6.9951973,-7.9961519,-0.16013183,2.00717,-4.4467812,39.580544
0.018999999,0.20084754,156.97469,2.9832883,-6.9938993,-7.9193153,-0.16134693,1.7506689,-4.4484172,39.38924
0.019099999,0.2023772,156.97462,2.9989858,-6.9926057,-7.8345551,-0.16255704,1.492426,-4.4500513,39.194298
0.019200001,0.20390446,156.97456,3.0146832,-6.9913173,-7.7419567,-0.163762,1.2326999,-4.4516835,38.995739
0.019300001,0.2054292,156.97452,3.0303807,-6.9900341,-7.641613,-0.1649617,0.9717505,-4.4533134,38.793591
0.019400001,0.2069512,156.97447,3.0460782,-6.9887562,-7.5336261,-0.16615596,0.70983911,-4.4549408,38.587883
0.0195,0.20847033,156.97444,3.0617757,-6.987484,-7.4181037,-0.1673447,0.44722795,-4.4565654,38.378643
0.0196,0.20998642,156.97441,3.0774732,-6.986217,-7.2951627,-0.16852777,0.18417992,-4.4581876,38.165894
0.0197,0.21149929,156.9744,3.0931704,-6.9849558,-7.1649265,-0.16970502,-0.079041779,-4.4598064,37.949673
0.0198,0.21300881,156.97438,3.1088679,-6.9837003,-7.0275259,-0.17087632,-0.34217373,-4.4614224,37.73
0.0199,0.21451479,156.97437,3.1245654,-6.982451,-6.8830991,-0.17204157,-0.60495263,-4.4630356,37.506908
0.02,0.21601708,156.97437,3.1402628,-6.9812074,-6.7317915,-0.17320061,-0.86711568,-4.4646444,37.28043
0.020099999,0.21751551,156.97437,3.1559603,-6.9799705,-6.5737548,-0.17435333,-1.1284006,-4.4662504,37.050591
0.020199999,0.21900994,156.97438,3.1716576,-6.9787397,-6.4091473,-0.17549963,-1.388546,-4.4678521,36.817421
0.020300001,0.22050017,156.9744,3.187355,-6.9775157,-6.2381353,-0.17663936,-1.6472918,-4.4694505,36.580952
0.020400001,0.22198607,156.97441,3.2030525,-6.9762983,-6.0608897,-0.17777242,-1.9043794,-4.4710441,36.341217
0.020500001,0.22346745,156.97444,3.21875,-6.9750872,-5.8775883,-0.17889869,-2.1595516,-4.4726338,36.098244
0.0206,0.22494417,156.97449,3.2344475,-6.9738832,-5.6884155,-0.18001807,-2.4125538,-4.4742188,35.852066
0.0207,0.22641608,156.97452,3.250145,-6.9726863,-5.4935608,-0.18113044,-2.6631327,-4.4757996,35.602718
0.0208,0.227883,156.97458,3.2658424,-6.9714966,-5.2932196,-0.18223566,-2.9110379,-4.477375,35.350224
0.0209,0.22934477,156.97462,3.2815399,-6.9703135,-5.0875926,-0.18333367,-3.1560223,-4.4789457,35.094624
0.021,0.23080124,156.97469,3.2972374,-6.9691386,-4.8768868,-0.18442433,-3.397841,-4.4805117,34.835945
0.0211,0.23225226,156.97476,3.3129346,-6.9679704,-4.6613126,-0.18550755,-3.6362522,-4.4820719,34.574223
0.021199999,0.23369765,156.97484,3.3286321,-6.9668102,-4.4410858,-0.18658324,-3.8710184,-4.4836268,34.30949
0.021299999,0.23513728,156.97491,3.3443298,-6.9656572,-4.2164278,-0.18765129,-4.1019049,-4.4851761,34.041782
0.021400001,0.236571,156.97499,3.3600273,-6.9645123,-3.9875634,-0.1887116,-4.3286815,-4.4867196,33.77113
0.021500001,0.23799862,156.9751,3.3757248,-6.9633751,-3.7547216,-0.18976408,-4.5511217,-4.4882574,33.49757
0.021600001,0.23942001,156.97519,3.3914223,-6.9622455,-3.5181358,-0.19080865,-4.7690039,-4.489789,33.221138
0.0217,0.24083501,156.9753,3.4071198,-6.9611244,-3.2780426,-0.19184519,-4.982111,-4.4913144,32.941864
0.0218,0.24224348,156.9754,3.4228172,-6.960011,-3.0346825,-0.19287364,-5.1902299,-4.4928331,32.659786
0.0219,0.24364528,156.97552,3.4385149,-6.9589062,-2.7882991,-0.19389388,-5.3931541,-4.4943457,32.374939
0.022,0.24504024,156.97565,3.4542124,-6.9578094,-2.5391388,-0.19490586,-5.5906806,-4.495851,32.087357
0.0221,0.24642821,156.97578,3.4699099,-6.9567213,-2.287451,-0.19590949,-5.7826133,-4.4973497,31.797077
0.0222,0.24780907,156.97591,3.4856076,-6.9556417,-2.0334873,-0.19690466,-5.9687605,-4.4988418,31.504135
