"time","freeMotion.r_rel_a[1]","freeMotion.r_rel_a[2]","freeMotion.r_rel_a[3]","freeMotion.v_rel_a[1]","freeMotion.v_rel_a[2]","freeMotion.v_rel_a[3]","referenceSystem.pointMass1.w_a[1]","referenceSystem.pointMass1.w_a[2]","referenceSystem.pointMass1.w_a[3]","referenceSystem.pointMass3.v_0[1]","referenceSystem.pointMass6.frame_a.r_0[1]","referenceSystem.pointMass6.frame_a.r_0[2]","referenceSystem.pointMass6.frame_a.r_0[3]","referenceSystem.pointMass6.v_0[2]","referenceSystem.pointMass6.v_0[3]"
1.4447999999999999,0.63799940941803102,6.0562563081692812e-15,-0.56306627939140375,0.14519567542495182,1.1123612198534652e-14,0.00460494348278488,-1.9716700577534624e-16,3.1270290962844158,1.4492806832521308e-15,0.14519650262822426,-0.24417451194365591,-1.9847253533081174e-16,-1.0339877392772763,-4.4661456394359804e-16,2.7631872509992697
1.4453999999999998,0.63808584512593081,6.0629250329432221e-15,-0.56306429323417506,0.14292435375040785,1.1106016598306486e-14,0.0020217856507105422,-1.9716747409661658e-16,3.1226385228202922,1.4468711784576479e-15,0.14292517962546322,-0.24496945452866639,-1.9873993010566734e-16,-1.032330940745235,-4.4458833688162613e-16,2.7594831000720825
1.446,0.63817091991580699,6.069583355382942e-15,-0.56306384594910375,0.14065930899650048,1.1088696193848659e-14,-0.00052474681847912647,-1.971847798227934e-16,3.1182879799578012,1.4441224118566069e-15,0.14066013368353456,-0.24576142765501896,-1.9900598922714736e-16,-1.0306763494295947,-4.4252286257948727e-16,2.7558297157230984
1.4465999999999999,0.63825463757854106,6.0762312108834827e-15,-0.56306491573693329,0.13840059458628326,1.1071679386604045e-14,-0.0030351962406834935,-1.9720122415681235e-16,3.1139770029491811,1.4413359124040643e-15,0.13840141822057392,-0.24655044859152339,-1.9927107777939211e-16,-1.0290239351019121,-4.4062748082547064e-16,2.7522263718663917
1.4471999999999998,0.63833700192556808,6.0828688486659427e-15,-0.56306748110463689,0.13614826120719192,1.1054875669819091e-14,-0.0055100946275465868,-1.9722138106427416e-16,3.109705134330734,1.4386350980487456e-15,0.13614908391924155,-0.24733653432522171,-1.9953523208246115e-16,-1.0273736679490546,-4.3900499374106282e-16,2.7486723553338654
1.4478,0.63841801679577626,6.0894965373811749e-15,-0.56307152087215417,0.13390235629235234,1.1038144906767623e-14,-0.0079499633493901462,-1.9725020294784712e-16,3.1054719237748984,1.4362135908016817e-15,0.13390317820805245,-0.24811970155322569,-1.9979852054535163e-16,-1.0257255185786402,-4.377999200152505e-16,2.7451669661514546
1.4483999999999999,0.63849768606093138,6.0961143407580003e-15,-0.56307701417763256,0.13166292361519727,1.1021451650077557e-14,-0.010355312864485834,-1.9728225453681685e-16,3.1012769279816692,1.4340583021715769e-15,0.13166374485601012,-0.24889996667636341,-2.0006105364411822e-16,-1.0240794580232833,-4.3696820269230507e-16,2.7417095177825668
1.4489999999999998,0.63857601362174976,6.1027221537697914e-15,-0.56308394046808374,0.12943000358434029,1.100485185746642e-14,-0.012726643113499615,-1.9730466729361389e-16,3.0971197105705071,1.4319138097572905e-15,0.12943082426746713,-0.24967734580850434,-2.0032293638749856e-16,-1.0224354577296211,-4.3625510243775686e-16,2.7382993367148476
1.4495999999999998,0.63865300339239572,6.1093200402103478e-15,-0.56309227947139129,0.12720363440345545,1.0988190556097096e-14,-0.015064444765764379,-1.9731052784803407e-16,3.0929998419441742,1.4299574218477104e-15,0.12720445464195668,-0.25045185480577381,-2.0058439951825822e-16,-1.0207934895276529,-4.3572786725513705e-16,2.7349357611810636
1.4501999999999999,0.6387286593125262,6.1159079598095335e-15,-0.56310201121260661,0.12498385116736548,1.0971406876665014e-14,-0.017369198439670455,-1.9729068697063518e-16,3.0889168992134133,1.4281753371977063e-15,0.12498467107032817,-0.25122350924848486,-2.0084564229802952e-16,-1.0191535256467952,-4.3530261459559215e-16,2.7316181419284931
1.4507999999999999,0.63880298535822189,6.1224864059838102e-15,-0.56311311603061909,0.12277068501135022,1.0954610319327428e-14,-0.019641373879081232,-1.9728150099846862e-16,3.0848704662116164,1.4267181908066684e-15,0.12277150468417324,-0.25199232442306435,-2.0110650569544409e-16,-1.0175155387330923,-4.3522022493669555e-16,2.7283458431095444
1.4513999999999998,0.63887598550643843,6.129055269235045e-15,-0.56312557451325052,0.12056416583820181,1.0937778645935823e-14,-0.021881432946338555,-1.9727469958350971e-16,3.0808601331141912,1.4255142964726662e-15,0.12056498538260089,-0.25275831538982663,-2.0136720593967195e-16,-1.0158795017779716,-4.3534068364125618e-16,2.7251182390622088
1.452,0.63894766375692247,6.1356146418014904e-15,-0.5631393675325872,0.11836432063063697,1.0920981747132957e-14,-0.024089827932596473,-1.9728202254274478e-16,3.0768854965203087,1.4245365382485897e-15,0.11836514014484091,-0.25352149694515863,-2.016278087623038e-16,-1.0142453881554874,-4.3564090181235217e-16,2.7219347161098142
1.4525999999999999,0.63901802412463149,6.1421646259262895e-15,-0.56315447622886239,0.11617117402960797,1.0904335543421544e-14,-0.026267002271616456,-1.9732041869229467e-16,3.0729461592973313,1.4237337648814205e-15,0.11617199360850353,-0.25428188363789889,-2.0188835000351678e-16,-1.0126131716038891,-4.3609410848667458e-16,2.7187946717824598
1.4531999999999998,0.63908707063792669,6.148705337074913e-15,-0.56317088200440524,0.11398474846926758,1.088800870689992e-14,-0.028413390783316523,-1.974127872630202e-16,3.069041730471664,1.4230278264966927e-15,0.11398556820454132,-0.25503948977511481,-2.0214882975272606e-16,-1.010982826218068,-4.36670206993138e-16,2.7156975145412177
1.4538,0.63915480733676355,6.1552369071525908e-15,-0.56318856651759119,0.11180506431194184,1.0872229382997804e-14,-0.030529419917313023,-1.9758871931612806e-16,3.0651718251196098,1.4223106112829593e-15,0.11180588429221795,-0.25579432942787961,-2.024092064892366e-16,-1.0093543264420191,-4.3733604711460244e-16,2.7126426635009375
1.4543999999999999,0.63922123827104826,6.1617590194850146e-15,-0.56320751167822614,0.1096321401404388,1.0856653587086379e-14,-0.032615508036665741,-1.977930367254196e-16,3.0613360643613889,1.4216524928909664e-15,0.10963296045114014,-0.25654641643607579,-2.0266971437054358e-16,-1.0077276470637138,-4.3798364567291009e-16,2.7096295482014745
1.4549999999999998,0.63928636749876389,6.1682710990741583e-15,-0.56322769964092168,0.1074659928301662,1.0840626906843405e-14,-0.034672065645366623,-1.9792336409438451e-16,3.0575340752107785,1.421214918559014e-15,0.10746681355348116,-0.25729576441456126,-2.0293072829081639e-16,-1.0061027632065875,-4.3846730962254691e-16,2.7066576083083018
1.4555999999999998,0.63935019908378388,6.1747733958195154e-15,-0.5632491127957352,0.10530663732120106,1.0824663542487254e-14,-0.036699495539153248,-1.9804353820377465e-16,3.0537654902280567,1.4207598198314094e-15,0.10530745853667685,-0.25804238676118429,-2.0319201267056365e-16,-1.0044796503164288,-4.3876669911784429e-16,2.7037262932162958
1.4561999999999999,0.63941273709450941,6.1812657149619244e-15,-0.56327173376601924,0.1031540871809358,1.0808717916009835e-14,-0.038698193158333977,-1.9813372229616995e-16,3.0500299476912476,1.4202213115264516e-15,0.10315490896532566,-0.25878629665992176,-2.0345359398590604e-16,-1.0028582841603997,-4.3879042946087352e-16,2.7008350619024548
1.4567999999999999,0.63947398560192437,6.1877478107802458e-15,-0.56329554540117477,0.10100835460784263,1.0792723714944138e-14,-0.040668546797803073,-1.9816803838102368e-16,3.0463270914009564,1.4195264255045898e-15,0.10100917703517705,-0.25952750708746292,-2.0371548542490554e-16,-1.0012386408174789,-4.3843900081213818e-16,2.6979833826006883
1.4573999999999998,0.63953394867778934,6.1942193827526536e-15,-0.56332053077062205,0.098869450568809858,1.0776590994780088e-14,-0.042610937851195109,-1.9811391919423986e-16,3.0426565705727766,1.418595333232928e-15,0.098870273710460241,-0.2602660308189737,-2.0397768589793161e-16,-0.9996206966709521,-4.3760516313711997e-16,2.6951707325175147
1.458,0.63959263045063464,6.2006809418692969e-15,-0.56334667326377785,0.09673738065610224,1.0760496009388816e-14,-0.044525736216596855,-1.980251680964561e-16,3.0390180404603999,1.4174991237992616e-15,0.096738204581064371,-0.26100188032349209,-2.0423993054542889e-16,-0.99800442851790105,-4.3643755173784696e-16,2.6923966029658915
1.4585999999999999,0.63965003509016505,6.2071335992060491e-15,-0.56337395655873745,0.094612146245854317,1.0744808478827226e-14,-0.046413301694975116,-1.9801895561293723e-16,3.0354111620737134,1.416422439285507e-15,0.094612971020969619,-0.26173506779601746,-2.0450174903226503e-16,-0.99638981353378786,-4.3527020704885797e-16,2.6896604977899288
1.4591999999999998,0.63970616664027813,6.2135765753501313e-15,-0.56340236431329704,0.092493756867967097,1.0729252127929008e-14,-0.04827399806171026,-1.9800737101399201e-16,3.0318355999830118,1.4152134322884355e-15,0.092494582557486438,-0.2624656054786802,-2.0476317473367651e-16,-0.99477682893059283,-4.3387431061997432e-16,2.6869619175875092
