"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","transformer.l2sigma.inductor[2].i","transformer.l2sigma.inductor[3].i","loadInertia.phi","loadInertia.w"
2.0125,36.264141,404.30569,-208.8067,-442.32687,179.45097,412.23746,0.016664047,-0.0044598388,133.70111,123.14184
2.0125999,22.484219,406.88226,-204.99883,-437.70425,175.69791,407.59995,0.01651543,-0.0039341832,133.71342,123.15515
2.0127001,8.884058,409.00214,-201.09319,-433.07648,171.85196,402.95944,0.016350519,-0.0034046457,133.72574,123.16824
2.0128,-4.5227919,410.66412,-197.09082,-428.44611,167.91422,398.31833,0.016169481,-0.0028717504,133.73805,123.18111
2.0129001,-17.723042,411.86749,-192.99281,-423.81555,163.88574,393.67899,0.01597248,-0.0023360178,133.75038,123.19376
2.013,-30.703608,412.61194,-188.80035,-419.18726,159.76773,389.04379,0.015759716,-0.0017979775,133.7627,123.20621
2.0130999,-43.451653,412.89774,-184.51463,-414.56363,155.56137,384.41501,0.015531399,-0.0012581622,133.77502,123.21847
2.0132,-55.954617,412.72552,-180.13695,-409.94699,151.26791,379.79492,0.01528776,-0.00071710523,133.78734,123.23054
2.0132999,-68.200203,412.09653,-175.66859,-405.33963,146.8887,375.18576,0.015029039,-0.00017534134,133.79967,123.24243
2.0134001,-80.176437,411.01239,-171.11092,-400.74387,142.42505,370.58972,0.014755489,0.00036659566,133.81198,123.25417
2.0135,-91.871635,409.47525,-166.4653,-396.16193,137.87834,366.00894,0.014467373,0.00090817414,133.82431,123.26575
2.0136001,-103.27442,407.4877,-161.73323,-391.59598,133.25003,361.44556,0.01416498,0.0014488571,133.83664,123.27718
2.0137,-114.37372,405.05283,-156.9162,-387.04819,128.54158,356.90161,0.01384861,0.0019881108,133.84897,123.28849
2.0137999,-125.15881,402.17416,-152.01573,-382.52069,123.75452,352.37915,0.013518578,0.0025254025,133.8613,123.29967
2.0139,-135.61929,398.85565,-147.03342,-378.01547,118.89041,347.88013,0.013175214,0.0030602016,133.87363,123.31075
2.0139999,-145.74522,395.10178,-141.97086,-373.53464,113.95083,343.40652,0.012818838,0.0035919831,133.88596,123.32172
2.0141001,-155.5269,390.91748,-136.82973,-369.08014,108.93742,338.96024,0.012449814,0.0041202204,133.8983,123.33262
2.0142,-164.95503,386.30801,-131.61171,-364.6539,103.85187,334.54309,0.012068505,0.004644393,133.91063,123.34344
2.0143001,-174.02074,381.27917,-126.31856,-360.25781,98.695862,330.15692,0.011675291,0.005163982,133.92296,123.35419
2.0144,-182.71548,375.83719,-120.95204,-355.89368,93.471153,325.80347,0.011270559,0.0056784763,133.9353,123.36491
2.0144999,-191.03119,369.98871,-115.51395,-351.56329,88.179512,321.48444,0.010854705,0.0061873673,133.94763,123.37558
2.0146,-198.96016,363.74072,-110.00613,-347.26846,82.822723,317.20154,0.010428136,0.0066901529,133.95998,123.38623
2.0146999,-206.49509,357.10074,-104.43044,-343.01083,77.402641,312.95636,0.009991277,0.0071863364,133.97232,123.39687
2.0148001,-213.6291,350.07657,-98.788803,-338.79205,71.92112,308.75049,0.0095445607,0.0076754298,133.98465,123.40751
2.0149,-220.35577,342.67648,-93.083138,-334.61368,66.380051,304.58542,0.0090884296,0.0081569497,133.99699,123.41817
2.0150001,-226.66908,334.90906,-87.315407,-330.47733,60.781364,300.46268,0.0086233336,0.008630421,134.00934,123.42886
2.0151,-232.56351,326.78339,-81.487587,-326.38446,55.12698,296.38367,0.0081497226,0.0090953745,134.02168,123.43958
2.0151999,-238.03391,318.30878,-75.6017,-322.33652,49.418873,292.34976,0.00766807,0.0095513528,134.03403,123.45037
2.0153,-243.07561,309.49496,-69.659775,-318.33493,43.659031,288.3623,0.0071788523,0.0099979071,134.04637,123.46122
2.0153999,-247.68437,300.35202,-63.663864,-314.38101,37.849468,284.42255,0.0066825533,0.010434596,134.05872,123.47215
2.0155001,-251.85645,290.89029,-57.616066,-310.47604,31.99221,280.53174,0.0061796652,0.01086099,134.07106,123.48318
2.0156,-255.58856,281.12054,-51.518459,-306.62128,26.089304,276.69107,0.0056706755,0.011276664,134.08342,123.49432
2.0157001,-258.87787,271.0538,-45.373169,-302.81796,20.142813,272.90164,0.0051560891,0.011681209,134.09576,123.50558
2.0158,-261.72198,260.70139,-39.182335,-299.06717,14.154821,269.16458,0.0046364162,0.012074228,134.10811,123.51698
2.0158999,-264.11902,250.07487,-32.948109,-295.37003,8.1274252,265.4809,0.0041121701,0.012455333,134.12047,123.52852
2.016,-266.06754,239.1862,-26.672655,-291.72754,2.0627351,261.85153,0.0035838694,0.01282415,134.13283,123.54022
2.0160999,-267.56653,228.0475,-20.358158,-288.14069,-4.0371284,258.27744,0.0030520344,0.013180312,134.14517,123.5521
2.0162001,-268.6156,216.67117,-14.006804,-284.61047,-10.170034,254.75954,0.0025171859,0.013523465,134.15753,123.56417
2.0163,-269.21463,205.06985,-7.6208024,-281.1377,-16.333838,251.2986,0.0019798551,0.013853274,134.16989,123.57644
2.0164001,-269.36414,193.25639,-1.2023646,-277.72324,-22.52639,247.89542,0.0014405736,0.014169415,134.18225,123.58892
2.0165,-269.065,181.24387,5.2462878,-274.36786,-28.745531,244.55075,0.0008998714,0.014471573,134.19461,123.60163
2.0165999,-268.31866,169.04556,11.722926,-271.07233,-34.989098,241.26527,0.00035828055,0.014759448,134.20697,123.61458
2.0167,-267.12692,156.6749,18.225317,-267.83731,-41.254925,238.03961,-0.00018366356,0.015032758,134.21933,123.62778
2.0167999,-265.49216,144.14551,24.751223,-264.66342,-47.54084,234.87436,-0.00072542642,0.015291233,134.23169,123.64125
2.0169001,-263.41711,131.47118,31.298399,-261.55127,-53.844666,231.77003,-0.001266472,0.015534618,134.24406,123.65499
2.017,-260.90503,118.66579,37.864601,-258.50134,-60.16423,228.72716,-0.0018062657,0.015762674,134.25642,123.66903
2.0171001,-257.95963,105.7434,44.447582,-255.51418,-66.497353,225.74614,-0.002344274,0.015975175,134.26878,123.68336
2.0172,-254.58505,92.718155,51.045101,-252.59018,-72.841866,222.82739,-0.0028799651,0.016171919,134.28116,123.69801
2.0172999,-250.78589,79.604309,57.654915,-249.72974,-79.195595,219.97125,-0.0034128136,0.0163527,134.29353,123.71298
2.0174,-246.56717,66.416176,64.27478,-246.93318,-85.556374,217.17802,-0.0039422936,0.016517345,134.30591,123.72829
2.0174999,-241.93437,53.168159,70.902458,-244.20079,-91.922035,214.44794,-0.0044678827,0.016665688,134.31828,123.74394
2.0176001,-236.89339,39.874695,77.535728,-241.53281,-98.290428,211.7812,-0.0049890634,0.016797585,134.33066,123.75996
2.0177,-231.45055,26.550276,84.172356,-238.92944,-104.6594,209.17799,-0.0055053178,0.016912907,134.34303,123.77634
2.0178001,-225.61259,13.209406,90.81012,-236.39081,-111.0268,206.6384,-0.006016138,0.01701154,134.35541,123.7931
2.0179,-219.38667,-0.13340665,97.446823,-233.91704,-117.39051,204.16251,-0.0065210192,0.017093387,134.36778,123.81025
2.0179999,-212.78033,-13.463655,104.08026,-231.50815,-123.74841,201.75034,-0.0070194635,0.017158367,134.38017,123.8278
2.0181,-205.80154,-26.766855,110.70825,-229.16417,-130.09837,199.40186,-0.0075109801,0.017206412,134.39255,123.84576
2.0181999,-198.45862,-40.028564,117.32861,-226.88506,-136.43829,197.11702,-0.007995083,0.017237479,134.40494,123.86414
2.0183001,-190.76028,-53.234394,123.93917,-224.67073,-142.76613,194.89572,-0.0084712943,0.017251536,134.41733,123.88295
2.0184,-182.71559,-66.370018,130.5378,-222.52107,-149.07976,192.73781,-0.0089391461,0.017248569,134.42972,123.90219
2.0185001,-174.33401,-79.421196,137.12234,-220.4359,-155.37717,190.64308,-0.0093981735,0.017228581,134.44211,123.92188
2.0186,-165.62532,-92.373795,143.6907,-218.41502,-161.65628,188.61133,-0.009847925,0.017191593,134.4545,123.94202
2.0186999,-156.59964,-105.21377,150.24077,-216.45816,-167.91512,186.64227,-0.010287958,0.017137639,134.46689,123.96263
2.0188,-147.26741,-117.92722,156.77046,-214.56505,-174.15164,184.73561,-0.010717836,0.017066775,134.47929,123.9837
2.0188999,-137.63942,-130.50038,163.27771,-212.73535,-180.36388,182.89098,-0.011137137,0.016979069,134.49168,124.00525
2.0190001,-127.72672,-142.91966,169.76048,-210.96867,-186.54987,181.108,-0.011545445,0.016874608,134.50409,124.02728
2.0191,-117.5407,-155.1716,176.21675,-209.26462,-192.70767,179.38626,-0.011942359,0.016753495,134.51649,124.0498
2.0192001,-107.09299,-167.24297,182.64452,-207.62273,-198.83537,177.72528,-0.012327487,0.016615849,134.5289,124.07283
2.0193,-96.395515,-179.12068,189.04179,-206.04253,-204.93105,176.12459,-0.012700447,0.016461808,134.54131,124.09635
2.0193999,-85.460457,-190.79192,195.40663,-204.52348,-210.99284,174.58362,-0.013060872,0.016291521,134.55373,124.12038
2.0195,-74.300217,-202.24403,201.73711,-203.06502,-217.01891,173.10182,-0.013408409,0.01610516,134.56613,124.14493
2.0195999,-62.927464,-213.46466,208.0313,-201.66656,-223.0074,171.6786,-0.013742711,0.015902905,134.57855,124.16999
2.0197001,-51.355053,-224.44167,214.28734,-200.32747,-228.95654,170.31331,-0.014063451,0.015684959,134.59097,124.19557
2.0197999,-39.596062,-235.16318,220.50337,-199.04706,-234.86455,169.00528,-0.01437031,0.015451532,134.60339,124.22169
2.0199001,-27.663754,-245.61758,226.67758,-197.82466,-240.72969,167.75381,-0.014662988,0.015202861,134.61581,124.24833
2.02,-15.571566,-255.79361,232.80815,-196.65952,-246.55023,166.55818,-0.014941193,0.014939186,134.62823,124.27551
2.0201001,-3.3331029,-265.68021,238.89334,-195.55087,-252.32448,165.41762,-0.015204653,0.014660769,134.64067,124.30322
2.0202,9.0378866,-275.26672,244.93138,-194.49792,-258.05078,164.33134,-0.015453108,0.014367887,134.65311,124.33148
2.0202999,21.527519,-284.54276,250.92059,-193.49986,-263.72754,163.29852,-0.015686311,0.014060826,134.66553,124.36028
2.0204,34.121788,-293.49823,256.85928,-192.55583,-269.35309,162.31831,-0.015904034,0.01373989,134.67798,124.38963
2.0204999,46.806587,-302.12354,262.74582,-191.66493,-274.92593,161.38985,-0.01610606,0.013405396,134.69041,124.41952
2.0206001,59.567715,-310.40924,268.57858,-190.82626,-280.44449,160.51222,-0.01629219,0.013057673,134.70285,124.44996
2.0207,72.390907,-318.34641,274.35599,-190.03888,-285.90729,159.68449,-0.016462242,0.012697068,134.7153,124.48094
2.0208001,85.261826,-325.92639,280.07648,-189.30183,-291.31281,158.90572,-0.016616048,0.012323931,134.72775,124.51248
2.0209,98.166092,-333.14099,285.73856,-188.61411,-296.65967,158.17493,-0.016753454,0.011938634,134.7402,124.54457
2.0209999,111.0893,-339.98239,291.34076,-187.97472,-301.94644,157.4911,-0.016874326,0.011541557,134.75266,124.5772
2.0211,124.01704,-346.44312,296.88165,-187.3826,-307.17175,156.85324,-0.016978545,0.011133092,134.76512,124.61039
2.0211999,136.93488,-352.51614,302.35977,-186.8367,-312.33429,156.26028,-0.017066007,0.01071364,134.77759,124.64413
2.0213001,149.82841,-358.19485,307.7738,-186.33594,-317.43274,155.71117,-0.017136628,0.010283616,134.79005,124.67841
2.0214,162.68329,-363.47305,313.12238,-185.87921,-322.46585,155.20482,-0.017190337,0.0098434463,134.80252,124.71323
2.0215001,175.48517,-368.34497,318.40421,-185.46538,-327.43237,154.74011,-0.01722708,0.0093935635,134.81499,124.7486
2.0216,188.21979,-372.80527,323.61804,-185.09331,-332.33115,154.31595,-0.01724682,0.0089344112,134.82747,124.78451
2.0216999,200.87296,-376.84906,328.76266,-184.76184,-337.16101,153.93117,-0.017249541,0.008466443,134.83995,124.82095
2.0218,213.4306,-380.47186,333.83688,-184.46977,-341.92084,153.58461,-0.017235238,0.0079901218,134.85243,124.85794
2.0218999,225.87871,-383.66968,338.83951,-184.21593,-346.60956,153.2751,-0.017203925,0.0075059161,134.86491,124.89545
