"time","pump.medium.T","N_pump.y","Source.ports[1].m_flow","Source.ports[1].p","Source.ports[1].h_outflow","Sink.ports[1].m_flow","Sink.ports[1].p","Sink.ports[1].h_outflow","pump.port_b.m_flow","pump.port_b.p","pump.port_b.h_outflow","V1.port_b.m_flow","V1.port_b.p","V1.port_b.h_outflow","V1.minLimiter.y","V2.port_b.m_flow","V2.port_b.p","V2.port_b.h_outflow","V2.minLimiter.y","V1_Opening.y","V2_Opening.y"
2.3639999999999999,294.09376189560146,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87628.699771196611,-0.86059664871977548,100000,87628.699771196611,1,0,100000,87628.699771196611,0.001,1,0
2.3660000000000001,294.09683572464411,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87641.560671911051,-0.86059664871977548,100000,87641.560671911051,1,0,100000,87641.560671911051,0.001,1,0
2.3679999999999999,294.09990955368676,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87654.421572625492,-0.86059664871977548,100000,87654.421572625492,1,0,100000,87654.421572625492,0.001,1,0
2.3700000000000001,294.10298338272935,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87667.282473339685,-0.86059664871977548,100000,87667.282473339685,1,0,100000,87667.282473339685,0.001,1,0
2.3719999999999999,294.106057211772,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87680.143374054125,-0.86059664871977548,100000,87680.143374054125,1,0,100000,87680.143374054125,0.001,1,0
2.3740000000000001,294.10913104081465,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87693.004274768566,-0.86059664871977548,100000,87693.004274768566,1,0,100000,87693.004274768566,0.001,1,0
2.3759999999999999,294.11220486985729,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87705.865175483006,-0.86059664871977548,100000,87705.865175483006,1,0,100000,87705.865175483006,0.001,1,0
2.3780000000000001,294.11527869889989,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87718.726076197214,-0.86059664871977548,100000,87718.726076197214,1,0,100000,87718.726076197214,0.001,1,0
2.3799999999999999,294.11835252794253,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87731.586976911654,-0.86059664871977548,100000,87731.586976911654,1,0,100000,87731.586976911654,0.001,1,0
2.3820000000000001,294.12142635698518,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87744.447877626095,-0.86059664871977548,100000,87744.44787762608,1,0,100000,87744.44787762608,0.001,1,0
2.3839999999999999,294.12450018602783,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87757.308778340535,-0.86059664871977548,100000,87757.308778340535,1,0,100000,87757.308778340535,0.001,1,0
2.3860000000000001,294.12757401507042,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87770.169679054743,-0.86059664871977548,100000,87770.169679054728,1,0,100000,87770.169679054728,0.001,1,0
2.3879999999999999,294.13064784411307,1500,0,100000,83680,0,100000,83680,-0.86059664871977548,692501.27342970413,87783.030579769184,-0.86059664871977548,100000,87783.030579769184,1,0,100000,87783.030579769184,0.001,1,0
