"Time","aimc.is[1]","aimc.is[2]","aimc.stator.port_p.V_m.re","aimc.stator.port_p.V_m.im","aimc.stator.core.Phi.re","aimc.stator.core.Phi.im","aimc.airGap.V_msr.re","aimc.airGap.V_msr.im","aimc.airGap.V_mrr.re","aimc.airGap.V_mrr.im","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","powerSensor.flange_a.phi","loadInertia.w","PI.x"
4.5021,-2.3621755,-5.7612805,-2.7114494,-7.4746318,0.66214317,1.6725239,4.9120159,6.2525339,0.17929533,-0.15285859,1.1282575,1.3488845,707.01727,157.04161,0.48575437
4.5022001,-2.109211,-5.948586,-2.4753287,-7.5561037,0.60928136,1.6924969,4.9119663,6.2525625,0.17929928,-0.15284888,1.1282474,1.348893,707.03302,157.04158,0.53237951
4.5022998,-1.854165,-6.1300216,-2.2367649,-7.6301184,0.55581826,1.7107997,4.9119158,6.2525916,0.17930387,-0.1528393,1.1282372,1.3489016,707.04871,157.04156,0.58106279
4.5023999,-1.5972888,-6.305407,-1.9959935,-7.6966028,0.50180662,1.7274141,4.9118648,6.2526207,0.17930914,-0.15282989,1.1282272,1.3489102,707.06439,157.04153,0.63179374
4.5025001,-1.3388363,-6.4745698,-1.7532521,-7.7554913,0.44729975,1.7423239,4.9118128,6.2526498,0.17931512,-0.15282066,1.1282171,1.3489188,707.08014,157.04152,0.68456191
4.5026002,-1.0790622,-6.6373429,-1.5087804,-7.8067265,0.39235148,1.7555141,4.9117603,6.2526798,0.17932186,-0.15281168,1.128207,1.3489275,707.09583,157.04149,0.73935676
4.5026999,-0.81822318,-6.7935658,-1.2628194,-7.8502564,0.33701602,1.7669719,4.9117069,6.2527094,0.17932935,-0.15280294,1.1281968,1.3489361,707.11151,157.04146,0.79616761
4.5028,-0.55657637,-6.9430842,-1.0156121,-7.8860397,0.28134793,1.776686,4.911653,6.2527394,0.17933761,-0.15279448,1.1281868,1.3489447,707.12726,157.04143,0.85498369
4.5029001,-0.29438013,-7.0857506,-0.76740229,-7.9140396,0.22540222,1.7846466,4.9115982,6.2527699,0.17934664,-0.1527863,1.1281767,1.3489532,707.14294,157.04141,0.91579425
4.5029998,-0.031893186,-7.2214236,-0.518435,-7.9342289,0.16923405,1.790846,4.9115424,6.2528009,0.17935646,-0.15277842,1.1281667,1.3489619,707.15863,157.04138,0.97858858
4.5030999,0.23062547,-7.3499699,-0.2689558,-7.946588,0.11289887,1.7952781,4.9114857,6.2528319,0.1793671,-0.15277086,1.1281565,1.3489705,707.17432,157.04134,1.0433559
4.5032001,0.49291676,-7.4712625,-0.019210977,-7.9511042,0.056452271,1.7979385,4.911428,6.2528634,0.17937857,-0.15276365,1.1281464,1.3489791,707.19006,157.04131,1.1100857
4.5033002,0.75472182,-7.5851812,0.23055305,-7.947773,-5.0046237e-05,1.7988244,4.9113698,6.2528954,0.17939094,-0.15275684,1.1281364,1.3489877,707.20575,157.04128,1.1787671
4.5033998,1.0157824,-7.6916137,0.48008978,-7.9365978,-0.05655231,1.7979352,4.9113102,6.2529273,0.17940421,-0.15275045,1.1281263,1.3489963,707.22144,157.04124,1.2493893
4.5035,1.2758406,-7.7904553,0.72915292,-7.9175897,-0.11299876,1.7952718,4.9112501,6.2529602,0.17941841,-0.15274449,1.1281161,1.349005,707.23718,157.04121,1.3219414
4.5036001,1.5346401,-7.8816085,0.97749668,-7.8907666,-0.1693337,1.7908365,4.9111886,6.2529931,0.17943357,-0.15273897,1.128106,1.3490136,707.25287,157.04117,1.3964125
4.5036998,1.7919251,-7.9649825,1.2248759,-7.8561563,-0.22550151,1.7846339,4.9111266,6.253027,0.17944968,-0.15273389,1.128096,1.3490222,707.26855,157.04114,1.4727917
4.5037999,2.0474417,-8.0404959,1.4710464,-7.8137918,-0.28144678,1.7766701,4.9110632,6.2530613,0.17946672,-0.15272929,1.1280859,1.3490307,707.2843,157.04109,1.5510679
4.5039001,2.3009381,-8.1080723,1.7157654,-7.7637148,-0.3371143,1.766953,4.9109993,6.2530956,0.17948475,-0.15272513,1.1280758,1.3490394,707.29999,157.04105,1.6312304
4.5040002,2.5521636,-8.1676474,1.9587911,-7.7059751,-0.39244911,1.7554921,4.910934,6.2531309,0.17950375,-0.15272151,1.1280657,1.349048,707.31567,157.04102,1.7132683
4.5040998,2.8008707,-8.2191601,2.1998839,-7.6406298,-0.44739667,1.7422987,4.9108672,6.2531667,0.1795238,-0.15271844,1.1280556,1.3490566,707.33136,157.04097,1.7971708
4.5042,3.0468137,-8.2625608,2.4388056,-7.5677428,-0.50190264,1.7273859,4.9108,6.2532029,0.17954488,-0.15271595,1.1280454,1.3490652,707.34711,157.04092,1.8829267
4.5043001,3.2897499,-8.2978067,2.6753206,-7.4873862,-0.55591333,1.7107683,4.9107313,6.2532401,0.17956707,-0.15271412,1.1280353,1.3490738,707.36279,157.04088,1.9705251
4.5043998,3.5294394,-8.3248625,2.9091954,-7.3996391,-0.60937542,1.6924626,4.9106617,6.2532778,0.17959036,-0.15271291,1.1280253,1.3490825,707.37848,157.04083,2.0599551
4.5044999,3.7656457,-8.3437014,3.1401989,-7.3045883,-0.66223609,1.6724865,4.9105906,6.2533159,0.17961475,-0.15271232,1.1280152,1.3490911,707.39423,157.04079,2.1512053
4.5046,3.9981356,-8.3543043,3.3681033,-7.2023273,-0.71444321,1.65086,4.9105186,6.253355,0.17964028,-0.15271235,1.128005,1.3490996,707.40991,157.04074,2.2442646
4.5047002,4.2266793,-8.3566618,3.5926836,-7.092957,-0.76594532,1.6276041,4.9104457,6.2533941,0.17966689,-0.15271294,1.127995,1.3491082,707.4256,157.0407,2.3391218
4.5047998,4.4510517,-8.35077,3.8137178,-6.9765854,-0.81669146,1.6027421,4.9103713,6.2534347,0.17969462,-0.15271416,1.1279849,1.3491169,707.44128,157.04065,2.4357665
4.5049,4.6710305,-8.3366356,4.0309877,-6.8533273,-0.86663163,1.5762984,4.9102955,6.2534752,0.1797235,-0.15271604,1.1279747,1.3491255,707.45703,157.04059,2.5341873
4.5050001,4.8863997,-8.3142719,4.2442794,-6.7233038,-0.91571659,1.548299,4.9102187,6.2535172,0.17975356,-0.15271866,1.1279646,1.3491341,707.47272,157.04054,2.6343737
4.5050998,5.0969458,-8.2837019,4.453382,-6.5866437,-0.96389782,1.5187716,4.9101405,6.2535596,0.17978482,-0.15272212,1.1279545,1.3491427,707.4884,157.04048,2.7363141
4.5051999,5.3024611,-8.2449551,4.6580892,-6.4434814,-1.0111278,1.4877455,4.9100614,6.253603,0.17981735,-0.15272643,1.1279444,1.3491514,707.50415,157.04044,2.8399978
4.5053,5.5027432,-8.1980686,4.8581986,-6.2939587,-1.0573599,1.4552511,4.9099808,6.2536473,0.17985114,-0.15273158,1.1279343,1.34916,707.51984,157.04037,2.9454131
4.5054002,5.6975937,-8.1430902,5.0535131,-6.1382232,-1.1025486,1.4213206,4.9098988,6.2536922,0.17988619,-0.15273753,1.1279242,1.3491685,707.53552,157.04031,3.0525486
4.5054998,5.8868203,-8.0800734,5.2438388,-5.9764276,-1.1466491,1.3859874,4.9098158,6.2537379,0.17992248,-0.15274419,1.1279141,1.3491771,707.55127,157.04027,3.1613934
4.5056,6.0702362,-8.0090799,5.4289885,-5.808732,-1.189618,1.3492864,4.9097314,6.2537847,0.17996001,-0.15275146,1.1279041,1.3491858,707.56696,157.04021,3.2719362
4.5057001,6.2476602,-7.9301796,5.608779,-5.6353016,-1.231413,1.3112539,4.9096456,6.2538319,0.17999879,-0.1527594,1.1278939,1.3491944,707.58264,157.04015,3.3841662
4.5057998,6.4189167,-7.843451,5.7830329,-5.4563084,-1.2719927,1.2719272,4.9095583,6.2538795,0.18003884,-0.15276806,1.1278838,1.349203,707.59833,157.04008,3.4980726
4.5058999,6.583837,-7.7489791,5.9515786,-5.2719278,-1.3113171,1.2313454,4.9094696,6.2539287,0.18008024,-0.15277763,1.1278737,1.3492117,707.61407,157.04002,3.6136448
4.506,6.742259,-7.6468573,6.1142492,-5.0823426,-1.3493474,1.1895484,4.9093795,6.2539787,0.180123,-0.15278834,1.1278634,1.3492203,707.62976,157.03996,3.7308719
4.5061002,6.8940253,-7.5371861,6.2708845,-4.8877397,-1.3860459,1.1465774,4.9092879,6.2540298,0.18016708,-0.15280004,1.1278533,1.3492289,707.64545,157.03989,3.8497422
4.5061998,7.0389862,-7.420074,6.4213295,-4.6883111,-1.4213767,1.1024748,4.9091945,6.2540817,0.18021244,-0.15281267,1.127843,1.3492376,707.66119,157.03983,3.9702439
4.5063,7.1769986,-7.2956362,6.5654349,-4.4842534,-1.4553047,1.0572842,4.9091001,6.2541347,0.18025912,-0.15282629,1.1278329,1.3492461,707.67688,157.03976,4.0923662
4.5064001,7.3079257,-7.1639953,6.7030597,-4.2757678,-1.4877965,1.0110503,4.9090042,6.2541885,0.18030713,-0.15284082,1.1278226,1.3492547,707.69257,157.03969,4.2160974
4.5064998,7.4316387,-7.0252814,6.8340669,-4.0630608,-1.51882,0.96381855,4.9089069,6.2542439,0.18035661,-0.15285644,1.1278124,1.3492634,707.70825,157.03963,4.3414264
4.5065999,7.5480156,-6.8796315,6.9583273,-3.8463421,-1.5483447,0.9156357,4.9088082,6.2543001,0.18040758,-0.15287326,1.1278023,1.349272,707.724,157.03955,4.4683428
4.5067,7.6569405,-6.7271886,7.0757189,-3.6258252,-1.5763413,0.86654919,4.9087076,6.2543578,0.18045996,-0.15289128,1.127792,1.3492806,707.73969,157.03949,4.5968342
4.5068002,7.758307,-6.5681043,7.1861248,-3.4017277,-1.6027822,0.81660753,4.9086061,6.2544165,0.18051375,-0.15291059,1.1277817,1.3492893,707.75537,157.03941,4.7268901
4.5068998,7.8520141,-6.402534,7.2894363,-3.1742711,-1.6276414,0.76586002,4.9085026,6.254477,0.18056893,-0.15293124,1.1277716,1.3492979,707.77112,157.03934,4.8584986
4.507,7.9379692,-6.2306423,7.3855515,-2.9436796,-1.6508943,0.71435666,4.9083977,6.2545385,0.18062553,-0.15295325,1.1277614,1.3493065,707.7868,157.03926,4.9916477
4.5071001,8.0160875,-6.052598,7.4743752,-2.7101808,-1.672518,0.6621483,4.9082913,6.2546015,0.18068361,-0.15297657,1.1277511,1.349315,707.80249,157.0392,5.1263261
4.5071998,8.0862923,-5.868577,7.5558195,-2.4740055,-1.6924912,0.60928649,4.9081836,6.2546659,0.18074323,-0.15300113,1.1277409,1.3493237,707.81824,157.03912,5.2625222
4.5072999,8.1485128,-5.678761,7.6298037,-2.2353866,-1.710794,0.5558235,4.9080739,6.2547317,0.18080454,-0.15302682,1.1277306,1.3493323,707.83392,157.03905,5.4002247
4.5074,8.2026882,-5.4833374,7.6962547,-1.9945598,-1.7274085,0.50181198,4.9079633,6.2547984,0.1808674,-0.15305355,1.1277205,1.349341,707.84961,157.03896,5.539422
4.5075002,8.248764,-5.2824988,7.7551064,-1.7517631,-1.7423183,0.44730529,4.9078507,6.2548661,0.18093163,-0.15308121,1.1277103,1.3493496,707.8653,157.03888,5.6801033
4.5075998,8.2866955,-5.0764432,7.8063006,-1.5072359,-1.7555085,0.39235714,4.9077368,6.2549348,0.18099736,-0.15310986,1.1277002,1.3493582,707.88104,157.0388,5.822257
4.5077,8.3164434,-4.8653741,7.8497868,-1.2612195,-1.7669663,0.3370218,4.9076214,6.2550044,0.18106465,-0.15313968,1.12769,1.3493669,707.89673,157.03873,5.9658737
4.5078001,8.3379803,-4.6494994,7.8855214,-1.0139569,-1.7766804,0.28135386,4.9075041,6.255075,0.18113349,-0.15317063,1.1276798,1.3493755,707.91241,157.03864,6.1109419
4.5079002,8.351284,-4.4290328,7.9134703,-0.76569206,-1.784641,0.22540826,4.9073849,6.2551475,0.18120401,-0.15320283,1.1276696,1.3493841,707.92816,157.03856,6.2574501
4.5079999,8.3563414,-4.2041917,7.9336047,-0.51667011,-1.7908405,0.16924021,4.9072638,6.2552209,0.18127616,-0.15323628,1.1276593,1.3493927,707.94385,157.03847,6.4053874
4.5081,8.3531475,-3.9751978,7.9459047,-0.26713702,-1.7952726,0.11290514,4.9071412,6.2552958,0.18134996,-0.15327096,1.1276492,1.3494014,707.95953,157.03839,6.5547419
4.5082002,8.3417044,-3.7422774,7.9503584,-0.017339174,-1.797933,0.056458682,4.9070172,6.255372,0.18142542,-0.15330687,1.1276389,1.3494099,707.97522,157.0383,6.705503
4.5082998,8.3220234,-3.5056603,7.9469604,0.23247664,-1.7988191,-4.3486427e-05,4.9068913,6.2554493,0.18150248,-0.15334393,1.1276287,1.3494186,707.99097,157.03821,6.8576589
4.5084,8.2941246,-3.2655799,7.9357152,0.48206377,-1.7979299,-0.056545597,4.9067636,6.255528,0.18158115,-0.15338218,1.1276186,1.3494272,708.00665,157.03813,7.011199
4.5085001,8.2580347,-3.0222738,7.9166327,0.73117572,-1.7952665,-0.11299189,4.9066343,6.2556076,0.18166146,-0.1534216,1.1276083,1.3494358,708.02234,157.03804,7.1661124
4.5086002,8.213789,-2.7759817,7.8897319,0.97956645,-1.7908312,-0.16932666,4.9065032,6.2556887,0.18174341,-0.1534622,1.127598,1.3494445,708.03809,157.03795,7.3223877
4.5086999,8.1614323,-2.5269465,7.8550391,1.2269908,-1.7846287,-0.22549433,4.9063706,6.2557712,0.18182707,-0.15350404,1.1275878,1.3494531,708.05377,157.03786,7.4800148
4.5088,8.1010141,-2.2754147,7.8125882,1.4732044,-1.776665,-0.28143942,4.9062357,6.2558546,0.18191242,-0.15354715,1.1275775,1.3494618,708.06946,157.03777,7.6389823
4.5089002,8.0325956,-2.0216343,7.7624221,1.7179639,-1.766948,-0.33710679,4.9060993,6.2559395,0.18199949,-0.15359154,1.1275673,1.3494704,708.08514,157.03767,7.7992792
4.5089998,7.956243,-1.7658558,7.7045889,1.9610277,-1.7554871,-0.39244145,4.9059615,6.2560258,0.18208827,-0.1536372,1.127557,1.3494791,708.10089,157.03757,7.9608941
4.5091,7.8720326,-1.508332,7.6391459,2.2021558,-1.7422938,-0.4473888,4.9058213,6.2561135,0.18217877,-0.15368412,1.1275468,1.3494877,708.11658,157.03748,8.1238165
4.5092001,7.7800469,-1.2493172,7.5661578,2.4411097,-1.7273812,-0.50189465,4.9056797,6.2562027,0.18227097,-0.1537323,1.1275365,1.3494964,708.13226,157.03738,8.2880363
4.5093002,7.6803761,-0.9890669,7.4856968,2.6776533,-1.7107638,-0.5559051,4.9055362,6.2562928,0.1823649,-0.15378173,1.1275263,1.3495049,708.14801,157.03728,8.4535408
4.5093999,7.5731192,-0.72783834,7.3978415,2.9115534,-1.692458,-0.60936701,4.9053907,6.2563844,0.18246056,-0.15383241,1.127516,1.3495136,708.1637,157.03719,8.6203203
4.5095,7.4583817,-0.46588939,7.3026791,3.1425786,-1.6724821,-0.66222751,4.9052434,6.2564774,0.18255799,-0.15388435,1.1275058,1.3495224,708.17938,157.03709,8.7883635
4.5096002,7.336277,-0.20347877,7.2003031,3.3705006,-1.6508557,-0.71443444,4.9050941,6.2565713,0.1826572,-0.15393762,1.1274954,1.3495309,708.19513,157.03699,8.9576597
4.5096998,7.2069249,0.059134379,7.0908141,3.5950944,-1.6276,-0.76593632,4.9049435,6.2566671,0.18275821,-0.15399222,1.1274852,1.3495396,708.21082,157.03688,9.1281986
4.5098,7.0704532,0.32169065,6.9743214,3.816138,-1.6027381,-0.81668234,4.9047904,6.2567644,0.18286102,-0.15404816,1.1274749,1.3495483,708.2265,157.03679,9.2999687
4.5099001,6.9269972,0.58393073,6.8509383,4.0334134,-1.5762945,-0.86662233,4.9046354,6.2568626,0.18296561,-0.15410542,1.1274645,1.349557,708.24219,157.03668,9.4729595
4.5100002,6.7766976,0.84559548,6.720788,4.2467051,-1.5482954,-0.91570705,4.904479,6.2569623,0.18307199,-0.15416397,1.1274543,1.3495656,708.25793,157.03658,9.6471605
4.5100999,6.6197033,1.1064265,6.5839977,4.4558024,-1.5187682,-0.96388811,4.9043207,6.2570634,0.18318015,-0.15422378,1.127444,1.3495743,708.27362,157.03647,9.8225603
4.5102,6.4561687,1.366166,6.4407034,4.6604991,-1.4877422,-1.0111178,4.90416,6.2571659,0.18329012,-0.15428483,1.1274337,1.349583,708.28931,157.03636,9.9991484
4.5103002,6.2862554,1.6245576,6.2910457,4.8605928,-1.455248,-1.0573498,4.9039979,6.2572699,0.18340194,-0.1543472,1.1274233,1.3495917,708.30505,157.03625,10.176915
4.5103998,6.1101313,1.881346,6.1351724,5.0558858,-1.4213177,-1.1025382,4.9038334,6.2573748,0.18351565,-0.15441088,1.127413,1.3496004,708.32074,157.03615,10.355849
4.5105,5.9279699,2.1362774,5.973238,5.2461848,-1.3859848,-1.1466386,4.903667,6.2574816,0.18363124,-0.15447597,1.1274027,1.3496091,708.33643,157.03604,10.535939
4.5106001,5.7399511,2.3891001,5.8054013,5.4313021,-1.3492839,-1.1896074,4.9034991,6.2575898,0.18374874,-0.15454249,1.1273923,1.3496178,708.35211,157.03593,10.717175
4.5107002,5.5462604,2.6395643,5.6318293,5.6110544,-1.3112516,-1.2314022,4.9033289,6.257699,0.18386808,-0.15461026,1.127382,1.3496265,708.36786,157.03581,10.899548
4.5107999,5.3470893,2.8874218,5.452692,5.785264,-1.2719253,-1.2719816,4.9031563,6.2578101,0.18398927,-0.1546793,1.1273717,1.3496352,708.38354,157.03571,11.083044
4.5109,5.1426344,3.1324289,5.268167,5.9537587,-1.2313437,-1.3113058,4.9029822,6.2579222,0.1841124,-0.15474986,1.1273613,1.3496439,708.39923,157.0356,11.267654
4.5110002,4.9330974,3.3743424,5.0784369,6.1163721,-1.1895471,-1.3493359,4.9028063,6.2580361,0.18423747,-0.15482184,1.1273509,1.3496526,708.41498,157.03548,11.453369
4.5110998,4.7186852,3.6129239,4.883688,6.272943,-1.1465764,-1.3860344,4.9026279,6.2581515,0.18436439,-0.1548951,1.1273406,1.3496614,708.43066,157.03537,11.640176
4.5112,4.4996095,3.8479371,4.684113,6.4233165,-1.1024742,-1.4213649,4.9024477,6.2582679,0.18449324,-0.15496962,1.1273302,1.3496701,708.44635,157.03525,11.828065
4.5113001,4.2760868,4.0791502,4.4799089,6.5673447,-1.057284,-1.4552928,4.9022655,6.2583857,0.18462403,-0.15504545,1.1273198,1.3496788,708.46204,157.03514,12.017027
4.5114002,4.0483375,4.306334,4.2712779,6.7048841,-1.0110505,-1.4877845,4.902081,6.2585049,0.18475677,-0.15512259,1.1273094,1.3496876,708.47778,157.03502,12.20705
4.5114999,3.8165865,4.5292649,4.0584254,6.8357992,-0.96381909,-1.5188079,4.9018946,6.2586255,0.18489149,-0.15520114,1.127299,1.3496963,708.49347,157.0349,12.398126
4.5116,3.5810628,4.7477217,3.8415618,6.9599605,-0.9156366,-1.5483323,4.9017057,6.2587481,0.18502823,-0.15528107,1.1272886,1.349705,708.50916,157.03479,12.590242
4.5117002,3.3419988,4.9614887,3.6209013,7.0772448,-0.86655051,-1.5763288,4.901515,6.2588716,0.18516698,-0.15536244,1.1272781,1.3497137,708.5249,157.03467,12.783389
4.5117998,3.0996308,5.1703548,3.3966615,7.1875367,-0.81660914,-1.6027696,4.9013219,6.2589965,0.18530782,-0.15544529,1.1272676,1.3497224,708.54059,157.03455,12.977555
4.5118999,2.854198,5.3741136,3.169064,7.2907262,-0.76586193,-1.6276286,4.9011259,6.2591228,0.18545075,-0.15552969,1.127257,1.3497311,708.55627,157.03442,13.172731
4.5120001,2.6059427,5.5725636,2.9383335,7.3867121,-0.71435887,-1.6508813,4.900928,6.2592516,0.18559581,-0.15561582,1.1272464,1.3497398,708.57196,157.0343,13.368905
4.5121002,2.3551104,5.7655087,2.7046986,7.4753995,-0.66215086,-1.6725048,4.9007277,6.2593818,0.18574303,-0.15570375,1.1272358,1.3497485,708.58771,157.03418,13.566066
4.5121999,2.101949,5.9527583,2.4683895,7.5567002,-0.60928953,-1.6924777,4.9005256,6.2595143,0.18589243,-0.15579364,1.1272252,1.3497572,708.60339,157.03406,13.764203
4.5123,1.8467083,6.1341267,2.2296395,7.6305337,-0.55582684,-1.7107804,4.900321,6.2596483,0.18604401,-0.15588519,1.1272146,1.3497659,708.61908,157.03392,13.963305
4.5124002,1.5896405,6.3094344,1.9886851,7.6968269,-0.50181574,-1.7273947,4.9001141,6.2597842,0.18619776,-0.15597846,1.1272041,1.3497746,708.63483,157.0338,14.163362
4.5124998,1.3309999,6.4785085,1.745764,7.7555141,-0.4473094,-1.7423044,4.8999052,6.2599216,0.18635365,-0.15607332,1.1271935,1.3497833,708.65051,157.03368,14.364361
4.5125999,1.0710418,6.6411815,1.5011164,7.8065367,-0.39236167,-1.7554946,4.899694,6.2600613,0.18651168,-0.15616988,1.127183,1.3497921,708.6662,157.03355,14.566293
4.5127001,0.81002319,6.7972922,1.254984,7.849844,-0.33702675,-1.7669523,4.8994803,6.2602019,0.18667178,-0.15626797,1.1271725,1.3498008,708.68188,157.03342,14.769146
4.5128002,0.54820222,6.9466863,1.0076102,7.8853936,-0.28135929,-1.7766663,4.8992653,6.2603445,0.18683389,-0.15636748,1.1271619,1.3498095,708.69763,157.03329,14.972912
4.5128999,0.28583738,7.0892158,0.75923926,7.9131498,-0.22541414,-1.784627,4.8990474,6.2604885,0.18699807,-0.15646848,1.1271514,1.3498183,708.71332,157.03316,15.177578
4.513,0.023187984,7.2247391,0.51011676,7.933085,-0.16924658,-1.7908263,4.8988276,6.2606344,0.18716434,-0.15657097,1.1271408,1.3498271,708.729,157.03304,15.383135
4.5131001,-0.23948635,7.3531232,0.26048881,7.945179,-0.11291202,-1.7952584,4.8986058,6.2607818,0.1873327,-0.15667498,1.1271302,1.3498359,708.74475,157.0329,15.589574
4.5131998,-0.50192606,7.4742403,0.010602145,7.94942,-0.056466047,-1.7979188,4.8983812,6.2609305,0.18750319,-0.15678047,1.1271195,1.3498446,708.76044,157.03278,15.796884
4.5132999,-0.76387185,7.5879707,-0.2392963,7.9458032,3.5643247e-05,-1.7988049,4.8981543,6.2610807,0.18767585,-0.15688749,1.1271088,1.3498534,708.77612,157.03264,16.005054
4.5134001,-1.0250648,7.6942019,-0.48895958,7.9343324,0.056537267,-1.7979157,4.8979254,6.2612329,0.18785073,-0.15699613,1.1270982,1.3498622,708.79181,157.0325,16.214075
4.5135002,-1.2852467,7.7928286,-0.73814088,7.9150186,0.11298306,-1.7952523,4.8976941,6.2613864,0.18802787,-0.15710641,1.1270876,1.3498709,708.80756,157.03236,16.423937
4.5135999,-1.5441604,7.8837523,-0.98659384,7.8878803,0.16931735,-1.7908171,4.89746,6.2615418,0.18820721,-0.15721829,1.1270769,1.3498797,708.82324,157.03223,16.634628
4.5137,-1.8015499,7.9668846,-1.2340729,7.8529449,0.22548449,-1.7846147,4.8972239,6.2616992,0.18838875,-0.15733184,1.1270663,1.3498886,708.83893,157.0321,16.84614
4.5138001,-2.0571606,8.0421419,-1.4803333,7.8102465,0.28142908,-1.776651,4.8969855,6.2618585,0.18857251,-0.15744707,1.1270555,1.3498974,708.85468,157.03197,17.058462
