"Time","volume.medium.p","volume.medium.h"
0.071911998,896237.31,84809.234
0.072113998,897148.56,84810.148
0.072315998,898055.75,84811.055
0.072517999,898958.94,84811.961
0.072719999,899858.06,84812.859
0.072921999,900753.25,84813.758
0.073123999,901644.44,84814.648
0.073325999,902531.69,84815.539
0.073527999,903415,84816.422
0.073729999,904294.38,84817.305
0.073932,905169.81,84818.18
0.074134,906041.44,84819.055
0.074336,906909.12,84819.922
0.074538,907773,84820.789
0.07474,908633,84821.648
0.074942,909489.19,84822.508
0.075144,910341.62,84823.359
0.075346,911190.25,84824.211
0.075548001,912035.06,84825.055
0.075750001,912876.19,84825.898
0.075952001,913713.5,84826.734
0.076154001,914547.19,84827.57
0.076356001,915377.12,84828.398
0.076558001,916203.38,84829.227
0.076760001,917025.94,84830.055
0.076962002,917844.88,84830.875
0.077164002,918660.12,84831.688
0.077366002,919471.81,84832.5
0.077568002,920279.88,84833.312
0.077770002,921084.31,84834.117
0.077972002,921885.19,84834.922
0.078174002,922682.56,84835.719
0.078376003,923476.38,84836.516
0.078578003,924266.62,84837.305
0.078780003,925053.38,84838.094
0.078982003,925836.62,84838.875
0.079184003,926616.44,84839.656
0.079386003,927392.75,84840.43
0.079588003,928165.62,84841.211
0.079790004,928935.06,84841.977
0.079991996,929701.12,84842.742
0.080193996,930463.69,84843.508
0.080395997,931222.94,84844.266
0.080597997,931978.81,84845.023
0.080799997,932731.31,84845.781
0.081001997,933480.5,84846.531
0.081203997,934226.31,84847.273
0.081405997,934968.81,84848.016
0.081607997,935708.06,84848.758
0.081809998,936444,84849.5
0.082011998,937176.69,84850.227
0.082213998,937906.12,84850.961
0.082415998,938632.25,84851.688
0.082617998,939355.25,84852.414
0.082819998,940075,84853.133
0.083021998,940791.5,84853.852
0.083223999,941504.88,84854.562
0.083425999,942215.06,84855.273
0.083627999,942922.06,84855.984
0.083829999,943626,84856.688
0.084031999,944326.75,84857.391
0.084233999,945024.38,84858.086
0.084435999,945718.94,84858.781
0.084638,946410.44,84859.477
0.08484,947098.81,84860.164
0.085042,947784.12,84860.852
0.085244,948466.44,84861.531
0.085446,949145.69,84862.211
0.085648,949821.94,84862.891
0.08585,950495.19,84863.562
0.086052001,951165.44,84864.234
0.086254001,951832.75,84864.906
0.086456001,952497.06,84865.57
0.086658001,953158.38,84866.234
0.086860001,953816.81,84866.891
0.087062001,954472.31,84867.547
0.087264001,955124.88,84868.203
0.087466002,955774.56,84868.852
0.087668002,956421.38,84869.5
0.087870002,957065.31,84870.141
0.088072002,957706.38,84870.789
0.088274002,958344.62,84871.422
0.088476002,958980,84872.062
0.088678002,959612.56,84872.695
0.088880002,960242.31,84873.328
0.089082003,960869.25,84873.953
0.089284003,961493.38,84874.578
0.089486003,962114.81,84875.203
0.089688003,962733.44,84875.82
0.089890003,963349.31,84876.438
0.090092003,963962.44,84877.047
0.090294003,964572.88,84877.664
0.090496004,965180.56,84878.266
0.090697996,965785.56,84878.875
0.090899996,966387.94,84879.477
0.091101997,966987.56,84880.078
0.091303997,967584.56,84880.68
0.091505997,968178.88,84881.273
0.091707997,968770.56,84881.867
0.091909997,969359.62,84882.453
0.092111997,969946.06,84883.039
0.092313997,970529.88,84883.625
0.092515998,971111.12,84884.203
0.092717998,971689.81,84884.789
0.092919998,972265.88,84885.359
0.093121998,972839.44,84885.938
0.093323998,973410.44,84886.508
0.093525998,973978.88,84887.078
0.093727998,974544.81,84887.648
0.093929999,975108.19,84888.211
0.094131999,975669.12,84888.773
0.094333999,976227.5,84889.328
0.094535999,976783.44,84889.883
0.094737999,977336.94,84890.438
0.094939999,977887.94,84890.992
0.095141999,978436.5,84891.539
0.095344,978982.62,84892.086
0.095546,979526.31,84892.633
0.095748,980067.56,84893.172
0.09595,980606.44,84893.711
0.096152,981142.94,84894.25
0.096354,981677,84894.789
0.096556,982208.69,84895.32
0.096758001,982738.06,84895.852
0.096960001,983265.06,84896.375
0.097162001,983789.75,84896.898
0.097364001,984312.06,84897.422
0.097566001,984832.06,84897.945
0.097768001,985349.75,84898.461
0.097970001,985865.19,84898.977
0.098172002,986378.31,84899.492
0.098374002,986889.12,84900
0.098576002,987397.69,84900.516
0.098778002,987904,84901.023
0.098980002,988408.06,84901.523
0.099182002,988909.88,84902.023
0.099384002,989409.44,84902.523
0.099586003,989906.81,84903.023
0.099788003,990401.94,84903.523
0.099990003,990894.94,84904.016
0.100192,991385.69,84904.508
0.100394,991874.25,84904.992
0.100596,992360.69,84905.484
0.100798,992844.94,84905.969
0.101,993327.06,84906.453
0.101202,993807,84906.93
0.101404,994284.81,84907.406
0.101606,994760.5,84907.883
0.101808,995234.12,84908.359
0.10201,995705.56,84908.828
0.102212,996175,84909.297
0.102414,996642.25,84909.766
0.102616,997107.5,84910.234
0.102818,997570.69,84910.695
0.10302,998031.75,84911.156
0.103222,998490.81,84911.617
0.103424,998947.81,84912.078
0.103626,999402.81,84912.531
0.103828,999855.75,84912.984
0.10403,1000306.7,84913.438
0.104232,1000755.6,84913.883
0.104434,1001202.6,84914.336
0.104636,1001647.6,84914.781
0.104838,1002090.6,84915.227
0.10504,1002531.6,84915.664
0.105242,1002970.6,84916.102
0.105444,1003407.8,84916.539
0.105646,1003842.9,84916.977
0.105848,1004276.1,84917.414
0.10605,1004707.4,84917.844
0.106252,1005136.8,84918.273
0.106454,1005564.3,84918.703
0.106656,1005989.9,84919.125
0.106858,1006413.6,84919.555
0.10706,1006835.4,84919.977
0.107262,1007255.4,84920.391
0.107464,1007673.4,84920.812
0.107666,1008089.6,84921.227
0.107868,1008504,84921.641
0.10807,1008916.5,84922.055
0.108272,1009327.2,84922.469
0.108474,1009736.1,84922.875
0.108676,1010143.1,84923.281
0.108878,1010548.3,84923.688
0.10908,1010951.8,84924.094
0.109282,1011353.4,84924.5
0.109484,1011753.2,84924.898
0.109686,1012151.4,84925.297
0.109888,1012547.7,84925.695
0.11009,1012942.2,84926.086
0.110292,1013335,84926.477
0.110494,1013726.1,84926.875
0.110696,1014115.4,84927.258
0.110898,1014503,84927.648
0.1111,1014888.8,84928.039
0.111302,1015273,84928.422
0.111504,1015655.4,84928.805
0.111706,1016036.2,84929.188
0.111908,1016415.2,84929.562
0.11211,1016792.6,84929.938
0.112312,1017168.3,84930.32
0.112514,1017542.3,84930.695
0.112716,1017914.7,84931.062
0.112918,1018285.4,84931.438
0.11312,1018654.4,84931.805
0.113322,1019021.9,84932.172
0.113524,1019387.6,84932.539
0.113726,1019751.8,84932.906
0.113928,1020114.3,84933.266
0.11413,1020475.2,84933.625
0.114332,1020834.6,84933.984
0.114534,1021192.3,84934.344
0.114736,1021548.4,84934.703
0.114938,1021903,84935.055
0.11514,1022256,84935.414
0.115342,1022607.4,84935.766
0.115544,1022957.2,84936.109
0.115746,1023305.6,84936.461
0.115948,1023652.3,84936.805
0.11615,1023997.5,84937.156
0.116352,1024341.2,84937.5
0.116554,1024683.3,84937.844
0.116756,1025023.9,84938.18
0.116958,1025363.1,84938.523
0.11716,1025700.7,84938.859
0.117362,1026036.8,84939.195
0.117564,1026371.4,84939.531
0.117766,1026704.5,84939.867
0.117968,1027036.1,84940.195
0.11817,1027366.3,84940.523
0.118372,1027695,84940.852
0.118574,1028022.2,84941.18
0.118776,1028348.1,84941.508
0.118978,1028672.4,84941.836
0.11918,1028995.3,84942.156
0.119382,1029316.8,84942.477
0.119584,1029636.8,84942.797
0.119786,1029955.4,84943.117
0.119988,1030272.6,84943.438
0.12019,1030588.4,84943.75
0.120392,1030902.8,84944.062
0.120594,1031215.8,84944.383
0.120796,1031527.4,84944.695
0.120998,1031837.6,84945
0.1212,1032146.4,84945.312
0.121402,1032453.9,84945.617
0.121604,1032759.9,84945.922
0.121806,1033064.7,84946.227
0.122008,1033368.1,84946.531
0.12221,1033670.1,84946.836
0.122412,1033970.8,84947.141
0.122614,1034270.1,84947.438
0.122816,1034568.1,84947.734
0.123018,1034864.9,84948.031
0.12322,1035160.2,84948.328
0.123422,1035454.3,84948.625
0.123624,1035747.1,84948.914
0.123826,1036038.5,84949.211
0.124028,1036328.7,84949.5
0.12423,1036617.6,84949.789
0.124432,1036905.1,84950.078
0.124634,1037191.4,84950.359
0.124836,1037476.5,84950.648
0.125038,1037760.2,84950.93
0.12524,1038042.8,84951.211
0.125442,1038324.1,84951.492
0.125644,1038604.1,84951.773
0.125846,1038882.8,84952.055
0.126048,1039160.3,84952.336
0.12625,1039436.6,84952.609
0.126452,1039711.7,84952.883
0.126654,1039985.5,84953.156
0.126856,1040258.1,84953.43
0.127058,1040529.6,84953.703
0.12726,1040799.8,84953.977
0.127462,1041068.8,84954.242
0.127664,1041336.6,84954.508
0.127866,1041603.2,84954.773
0.128068,1041868.6,84955.039
0.12827,1042132.9,84955.305
0.128472,1042395.9,84955.57
0.128674,1042657.9,84955.836
0.128876,1042918.6,84956.094
0.129078,1043178.2,84956.352
0.12928,1043436.6,84956.609
0.129482,1043693.9,84956.867
0.129684,1043950.1,84957.125
0.129886,1044205.1,84957.383
0.130088,1044458.9,84957.633
0.13029,1044711.7,84957.891
0.130492,1044963.3,84958.141
0.130694,1045213.8,84958.391
0.130896,1045463.2,84958.641
0.131098,1045711.5,84958.891
0.1313,1045958.6,84959.133
0.131502,1046204.8,84959.383
0.131704,1046449.7,84959.625
0.131906,1046693.6,84959.875
0.132108,1046936.4,84960.117
0.13231,1047178.1,84960.359
0.132512,1047418.8,84960.602
0.132714,1047658.4,84960.836
0.132916,1047896.9,84961.078
0.133118,1048134.4,84961.312
0.13332,1048370.8,84961.555
0.133522,1048606.1,84961.789
0.133724,1048840.5,84962.023
0.133926,1049073.8,84962.258
0.134128,1049306,84962.484
0.13433,1049537.1,84962.719
0.134532,1049767.4,84962.945
0.134734,1049996.5,84963.18
0.134936,1050224.6,84963.406
0.13513801,1050451.8,84963.633
0.13534001,1050677.9,84963.859
0.13554201,1050902.9,84964.086
0.13574401,1051127,84964.312
0.13594601,1051350.1,84964.531
0.13614801,1051572.2,84964.758
0.13635001,1051793.4,84964.977
0.13655201,1052013.5,84965.195
0.13675401,1052232.8,84965.414
0.13695601,1052450.9,84965.633
0.13715801,1052668.1,84965.852
0.13736001,1052884.4,84966.07
0.13756201,1053099.6,84966.281
0.13776401,1053314,84966.5
0.13796601,1053527.4,84966.711
0.13816801,1053739.9,84966.922
0.13837001,1053951.4,84967.133
