"Time","meanCurrent.y","meanVoltage.y"
7.8994002,71.32753,98.213547
7.8996,71.32753,98.213547
7.8997998,71.32753,98.213547
7.9000001,71.32753,98.213547
7.9000001,71.29422,98.214371
7.9001999,71.29422,98.214371
7.9004002,71.29422,98.214371
7.9006,71.29422,98.214371
7.9008002,71.29422,98.214371
7.901,71.29422,98.214371
7.9011998,71.29422,98.214371
7.9014001,71.29422,98.214371
7.9015999,71.29422,98.214371
7.9016647,71.29422,98.214371
7.9016991,71.29422,98.214371
7.9016991,71.29422,98.214371
7.9016991,71.29422,98.214371
7.9016991,71.29422,98.214371
7.9018002,71.29422,98.214371
7.902,71.29422,98.214371
7.9022002,71.29422,98.214371
7.9024,71.29422,98.214371
7.902442,71.29422,98.214371
7.902442,71.29422,98.214371
7.9025998,71.29422,98.214371
7.9028001,71.29422,98.214371
7.9029999,71.29422,98.214371
7.9032001,71.29422,98.214371
7.9033332,71.29422,98.214371
7.9033332,71.260864,98.215179
7.9033999,71.260864,98.215179
7.9036002,71.260864,98.215179
7.9038,71.260864,98.215179
7.9039998,71.260864,98.215179
7.9042001,71.260864,98.215179
7.9043999,71.260864,98.215179
7.9046001,71.260864,98.215179
7.9047999,71.260864,98.215179
7.9049978,71.260864,98.215179
7.9050002,71.260864,98.215179
7.9050322,71.260864,98.215179
7.9050322,71.260864,98.215179
7.9050322,71.260864,98.215179
7.9050322,71.260864,98.215179
7.9052,71.260864,98.215179
7.9053998,71.260864,98.215179
7.9056001,71.260864,98.215179
7.9057751,71.260864,98.215179
7.9057751,71.260864,98.215179
7.9057999,71.260864,98.215179
7.9060001,71.260864,98.215179
7.9061999,71.260864,98.215179
7.9064002,71.260864,98.215179
7.9066,71.260864,98.215179
7.9066668,71.260864,98.215179
7.9066668,71.227531,98.216042
7.9067998,71.227531,98.216042
7.9070001,71.227531,98.216042
7.9071999,71.227531,98.216042
7.9074001,71.227531,98.216042
7.9075999,71.227531,98.216042
7.9078002,71.227531,98.216042
7.908,71.227531,98.216042
7.9081998,71.227531,98.216042
7.9083314,71.227531,98.216042
7.9083657,71.227531,98.216042
7.9083657,71.227531,98.216042
7.9083657,71.227531,98.216042
7.9083657,71.227531,98.216042
7.9084001,71.227531,98.216042
7.9085999,71.227531,98.216042
7.9088001,71.227531,98.216042
7.9089999,71.227531,98.216042
7.9091082,71.227531,98.216042
7.9091082,71.227531,98.216042
7.9092002,71.227531,98.216042
7.9094,71.227531,98.216042
7.9095998,71.227531,98.216042
7.9098001,71.227531,98.216042
7.9099998,71.227531,98.216042
7.9099998,71.194221,98.216866
7.9102001,71.194221,98.216866
7.9103999,71.194221,98.216866
7.9106002,71.194221,98.216866
7.9108,71.194221,98.216866
7.9109998,71.194221,98.216866
7.9112,71.194221,98.216866
7.9113998,71.194221,98.216866
7.9116001,71.194221,98.216866
7.9116645,71.194221,98.216866
7.9116988,71.194221,98.216866
7.9116988,71.194221,98.216866
7.9116988,71.194221,98.216866
7.9116988,71.194221,98.216866
7.9117999,71.194221,98.216866
7.9120002,71.194221,98.216866
7.9122,71.194221,98.216866
7.9123998,71.194221,98.216866
7.9124413,71.194221,98.216866
7.9124413,71.194221,98.216866
7.9126,71.194221,98.216866
7.9127998,71.194221,98.216866
7.9130001,71.194221,98.216866
7.9131999,71.194221,98.216866
7.9133334,71.194221,98.216866
7.9133334,71.160866,98.217674
7.9134002,71.160866,98.217674
7.9136,71.160866,98.217674
7.9137998,71.160866,98.217674
7.914,71.160866,98.217674
7.9141998,71.160866,98.217674
7.9144001,71.160866,98.217674
7.9145999,71.160866,98.217674
7.9148002,71.160866,98.217674
7.9149981,71.160866,98.217674
7.915,71.160866,98.217674
7.9150324,71.160866,98.217674
7.9150324,71.160866,98.217674
7.9150324,71.160866,98.217674
7.9150324,71.160866,98.217674
7.9152002,71.160866,98.217674
7.9154,71.160866,98.217674
7.9155998,71.160866,98.217674
7.9157748,71.160866,98.217674
7.9157748,71.160866,98.217674
7.9158001,71.160866,98.217674
7.9159999,71.160866,98.217674
7.9162002,71.160866,98.217674
7.9164,71.160866,98.217674
7.9166002,71.160866,98.217674
7.9166665,71.160866,98.217674
7.9166665,71.127533,98.218544
7.9168,71.127533,98.218544
7.9169998,71.127533,98.218544
7.9172001,71.127533,98.218544
7.9173999,71.127533,98.218544
7.9176002,71.127533,98.218544
7.9177999,71.127533,98.218544
7.9180002,71.127533,98.218544
7.9182,71.127533,98.218544
7.9183311,71.127533,98.218544
7.9183655,71.127533,98.218544
