"Time","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.0104,-8.5971851e-07,-1.1488398e-07
0.0105,-8.5115659e-07,-8.6429608e-08
0.0106,-8.4259466e-07,-5.7975228e-08
0.0107,-8.3403273e-07,-2.9520853e-08
0.0108,-8.2547081e-07,-1.066476e-09
0.0109,-8.1690888e-07,2.73879e-08
0.011,-8.0834695e-07,5.5842278e-08
0.0111,-7.9978503e-07,8.4296651e-08
0.0112,-7.912231e-07,1.1275103e-07
0.0113,-7.8266117e-07,1.412054e-07
0.0114,-7.7409925e-07,1.6965978e-07
0.0115,-7.6553732e-07,1.9811417e-07
0.0116,-7.569754e-07,2.2656853e-07
0.0117,-7.4841347e-07,2.5502291e-07
0.0118,-7.3985154e-07,2.8347728e-07
0.0119,-7.3128962e-07,3.1193167e-07
0.012,-7.2272769e-07,3.4038604e-07
0.0121,-7.1416576e-07,3.6884043e-07
0.0122,-7.0560384e-07,3.972948e-07
0.0123,-6.9704191e-07,4.2574916e-07
0.0124,-6.8847999e-07,4.5420356e-07
0.0125,-6.7991806e-07,4.8265792e-07
0.0126,-6.7135613e-07,5.1111232e-07
0.0127,-6.6279421e-07,5.3956666e-07
0.0128,-6.5423228e-07,5.6802105e-07
0.0129,-6.4567035e-07,5.9647545e-07
0.013,-6.3710843e-07,6.2492978e-07
0.0131,-6.285465e-07,6.5338418e-07
0.0132,-6.1998458e-07,6.8183857e-07
0.0133,-6.1142265e-07,7.1029297e-07
0.0134,-6.0286072e-07,7.387473e-07
0.0135,-5.942988e-07,7.672017e-07
0.0136,-5.8573687e-07,7.9565609e-07
0.0137,-5.6081939e-07,7.983358e-07
0.0138,-5.3144618e-07,7.9399365e-07
0.0139,-5.0207296e-07,7.8965149e-07
0.014,-4.7269972e-07,7.8530934e-07
0.0141,-4.4332651e-07,7.8096718e-07
0.0142,-4.1395327e-07,7.7662503e-07
0.0143,-3.8458006e-07,7.7228287e-07
0.0144,-3.5520682e-07,7.6794072e-07
0.0145,-3.2583361e-07,7.6359862e-07
0.0146,-2.9646037e-07,7.5925647e-07
0.0147,-2.6708713e-07,7.5491431e-07
0.0148,-2.3771392e-07,7.5057216e-07
0.0149,-2.0834069e-07,7.4623e-07
0.015,-1.7896747e-07,7.4188785e-07
0.0151,-1.4959423e-07,7.3754569e-07
0.0152,-1.20221e-07,7.3320354e-07
0.0153,-9.0847777e-08,7.2886138e-07
0.0154,-6.1474552e-08,7.2451923e-07
0.0155,-3.2101326e-08,7.2017707e-07
0.0156,-2.7280993e-09,7.1583491e-07
0.015699999,2.6645127e-08,7.1149276e-07
0.015799999,5.6018354e-08,7.071506e-07
0.015900001,8.5391584e-08,7.0280845e-07
0.016000001,1.1476481e-07,6.9846629e-07
0.016100001,1.4413804e-07,6.9412414e-07
0.0162,1.7351127e-07,6.8978198e-07
0.0163,2.0288449e-07,6.8543989e-07
0.0164,2.3225772e-07,6.8109773e-07
0.0165,2.6163096e-07,6.7675558e-07
0.0166,2.9100417e-07,6.7241342e-07
0.0167,3.2037741e-07,6.6807127e-07
0.016799999,3.4975062e-07,6.6372911e-07
0.016899999,3.7912386e-07,6.5938696e-07
0.017000001,4.0849707e-07,6.550448e-07
0.017100001,4.3787031e-07,6.5070265e-07
0.017200001,4.6724352e-07,6.4636049e-07
0.0173,4.9661674e-07,6.4201834e-07
0.0174,5.2599e-07,6.3767618e-07
0.0175,5.5536321e-07,6.3333403e-07
0.0176,5.8473643e-07,6.2899187e-07
0.0177,6.1410969e-07,6.2464972e-07
0.0178,6.4348291e-07,6.2030756e-07
0.017899999,6.7285612e-07,6.159654e-07
0.017999999,7.0222933e-07,6.1162331e-07
0.018100001,7.316026e-07,6.0728115e-07
0.018200001,7.4974463e-07,5.932888e-07
0.018300001,7.4965681e-07,5.6363285e-07
0.0184,7.4956904e-07,5.339769e-07
0.0185,7.4948127e-07,5.0432095e-07
0.0186,7.4939345e-07,4.7466503e-07
0.0187,7.4930568e-07,4.4500908e-07
0.0188,7.4921792e-07,4.1535316e-07
0.0189,7.4913009e-07,3.8569721e-07
0.018999999,7.4904233e-07,3.5604128e-07
0.019099999,7.4895456e-07,3.2638533e-07
0.019200001,7.488668e-07,2.9672938e-07
0.019300001,7.4877897e-07,2.6707346e-07
0.019400001,7.4869121e-07,2.3741751e-07
0.0195,7.4860344e-07,2.0776157e-07
0.0196,7.4851562e-07,1.7810564e-07
0.0197,7.4842785e-07,1.484497e-07
0.0198,7.4834009e-07,1.1879376e-07
0.0199,7.4825226e-07,8.9137821e-08
0.02,7.481645e-07,5.9481877e-08
0.020099999,7.4807673e-07,2.9825941e-08
0.020199999,7.4798896e-07,1.7000031e-10
0.020300001,7.4790114e-07,-2.9485939e-08
0.020400001,7.4781337e-07,-5.9141879e-08
0.020500001,7.4772561e-07,-8.8797819e-08
0.0206,7.4763778e-07,-1.1845376e-07
0.0207,7.4755002e-07,-1.4810969e-07
0.0208,7.4746225e-07,-1.7776564e-07
0.0209,7.4737443e-07,-2.0742158e-07
0.021,7.4728666e-07,-2.3707751e-07
0.0211,7.471989e-07,-2.6673345e-07
0.021199999,7.4711113e-07,-2.963894e-07
0.021299999,7.4702331e-07,-3.2604532e-07
0.021400001,7.4693554e-07,-3.5570127e-07
0.021500001,7.4684777e-07,-3.853572e-07
0.021600001,7.4675995e-07,-4.1501315e-07
0.0217,7.4667219e-07,-4.446691e-07
0.0218,7.4658442e-07,-4.7432502e-07
0.0219,7.4649665e-07,-5.0398097e-07
0.022,7.4640883e-07,-5.3363692e-07
0.0221,7.4632106e-07,-5.6329287e-07
0.0222,7.462333e-07,-5.9294877e-07
0.022299999,7.4614547e-07,-6.2260472e-07
0.022399999,7.4605771e-07,-6.5226067e-07
0.022500001,7.4596994e-07,-6.8191662e-07
0.022600001,7.4588212e-07,-7.1157257e-07
0.022700001,7.4579435e-07,-7.4122846e-07
0.0228,7.1710485e-07,-7.4597062e-07
0.0229,6.8772846e-07,-7.5011445e-07
0.023,6.5835212e-07,-7.5425834e-07
0.0231,6.2897578e-07,-7.5840222e-07
0.0232,5.9959945e-07,-7.6254605e-07
0.0233,5.7022305e-07,-7.6668994e-07
0.023399999,5.4084671e-07,-7.7083382e-07
0.023499999,5.1147038e-07,-7.7497765e-07
0.023600001,4.8209404e-07,-7.7912154e-07
0.023700001,4.5271767e-07,-7.8326542e-07
0.023800001,4.2334131e-07,-7.8740925e-07
0.0239,3.9396497e-07,-7.9155313e-07
0.024,3.645886e-07,-7.9569696e-07
0.0241,3.3521226e-07,-7.9984085e-07
0.0242,3.058359e-07,-8.0398473e-07
0.0243,2.7645956e-07,-8.0812856e-07
0.0244,2.4708319e-07,-8.1227245e-07
0.024499999,2.1770686e-07,-8.1641633e-07
0.024599999,1.883305e-07,-8.2056016e-07
0.024700001,1.5895415e-07,-8.2470405e-07
0.024800001,1.295778e-07,-8.2884793e-07
0.024900001,1.0020145e-07,-8.3299176e-07
0.025,7.0825102e-08,-8.3713564e-07
0.0251,4.144875e-08,-8.4127953e-07
0.0252,1.2072397e-08,-8.4542336e-07
0.0253,-1.7303954e-08,-8.4956724e-07
0.0254,-4.6680306e-08,-8.5371107e-07
0.0255,-7.6056658e-08,-8.5785496e-07
0.025599999,-1.0543301e-07,-8.6199884e-07
0.025699999,-1.3480935e-07,-8.6614267e-07
0.025800001,-1.6418571e-07,-8.7028656e-07
0.025900001,-1.9356206e-07,-8.7443044e-07
0.026000001,-2.2293841e-07,-8.7857427e-07
0.0261,-2.5231478e-07,-8.8271815e-07
0.0262,-2.8169111e-07,-8.8686204e-07
0.0263,-3.1106745e-07,-8.9100587e-07
0.0264,-3.4044382e-07,-8.9514975e-07
0.0265,-3.6982016e-07,-8.9929364e-07
0.0266,-3.9919652e-07,-9.0343747e-07
0.026699999,-4.2857286e-07,-9.0758135e-07
0.026799999,-4.5794923e-07,-9.1172524e-07
0.026900001,-4.8732556e-07,-9.1586907e-07
0.027000001,-5.167019e-07,-9.2001295e-07
0.027100001,-5.460783e-07,-9.2415678e-07
0.0272,-5.7545464e-07,-9.2830066e-07
0.0273,-5.9280245e-07,-9.1377075e-07
0.0274,-6.0114547e-07,-8.8526104e-07
0.0275,-6.0948844e-07,-8.567514e-07
0.0276,-6.178314e-07,-8.2824175e-07
0.0277,-6.2617443e-07,-7.9973211e-07
0.027799999,-6.3451739e-07,-7.712224e-07
0.027899999,-6.4286036e-07,-7.4271276e-07
0.028000001,-6.5120338e-07,-7.1420311e-07
0.028100001,-6.5954634e-07,-6.8569341e-07
0.028200001,-6.6788931e-07,-6.5718376e-07
0.0283,-6.7623233e-07,-6.2867412e-07
0.0284,-6.845753e-07,-6.0016447e-07
0.0285,-6.9291826e-07,-5.7165477e-07
0.0286,-7.0126129e-07,-5.4314512e-07
0.0287,-7.0960425e-07,-5.1463547e-07
0.0288,-7.1794722e-07,-4.8612577e-07
0.028899999,-7.2629024e-07,-4.5761612e-07
0.028999999,-7.346332e-07,-4.2910648e-07
0.029100001,-7.4297617e-07,-4.005968e-07
0.029200001,-7.5131919e-07,-3.7208716e-07
0.029300001,-7.5966216e-07,-3.4357748e-07
0.0294,-7.6800512e-07,-3.1506784e-07
0.0295,-7.7634809e-07,-2.8655816e-07
0.0296,-7.8469111e-07,-2.5804852e-07
0.0297,-7.9303408e-07,-2.2953884e-07
0.0298,-8.0137704e-07,-2.0102918e-07
0.029899999,-8.0972006e-07,-1.7251952e-07
0.029999999,-8.1806303e-07,-1.4400986e-07
0.030099999,-8.2640599e-07,-1.1550019e-07
0.030200001,-8.3474902e-07,-8.6990532e-08
0.030300001,-8.4309198e-07,-5.8480868e-08
0.030400001,-8.5143495e-07,-2.9971208e-08
0.0305,-8.5977797e-07,-1.4615446e-09
0.0306,-8.6812094e-07,2.7048117e-08
0.0307,-8.764639e-07,5.5557781e-08
0.0308,-8.8480692e-07,8.4067445e-08
0.0309,-8.9314989e-07,1.125771e-07
0.030999999,-9.0149285e-07,1.4108676e-07
0.031099999,-9.0983588e-07,1.6959643e-07
0.031199999,-9.1817884e-07,1.9810609e-07
0.031300001,-9.2652181e-07,2.2661575e-07
0.031399999,-9.3486483e-07,2.551254e-07
0.031500001,-9.4320779e-07,2.8363507e-07
0.031599998,-9.5155076e-07,3.1214475e-07
0.0317,-9.5989378e-07,3.406544e-07
0.031800002,-9.623277e-07,3.6646915e-07
0.0319,-9.353306e-07,3.788613e-07
0.032000002,-9.0833345e-07,3.9125345e-07
0.032099999,-8.8133635e-07,4.0364563e-07
0.032200001,-8.5433919e-07,4.1603778e-07
0.032299999,-8.2734203e-07,4.2842996e-07
0.032400001,-8.0034494e-07,4.4082211e-07
0.032499999,-7.7334778e-07,4.5321428e-07
0.032600001,-7.4635068e-07,4.6560643e-07
0.032699998,-7.1935352e-07,4.7799858e-07
0.0328,-6.9235642e-07,4.9039073e-07
0.032900002,-6.6535927e-07,5.0278294e-07
0.033,-6.3836217e-07,5.1517509e-07
0.033100002,-6.1136501e-07,5.2756724e-07
0.033199999,-5.8436785e-07,5.3995939e-07
0.033300001,-5.5737075e-07,5.5235154e-07
0.033399999,-5.303736e-07,5.6474374e-07
0.033500001,-5.033765e-07,5.7713589e-07
0.033599999,-4.7637934e-07,5.8952804e-07
0.0337,-4.4938221e-07,6.0192019e-07
0.033799998,-4.2238509e-07,6.1431234e-07
0.0339,-3.9538796e-07,6.2670455e-07
0.034000002,-3.6839083e-07,6.390967e-07
0.0341,-3.413937e-07,6.5148885e-07
0.034200002,-3.1439657e-07,6.63881e-07
0.034299999,-2.8739944e-07,6.762732e-07
0.034400001,-2.6040229e-07,6.8866535e-07
0.034499999,-2.3340517e-07,7.010575e-07
0.034600001,-2.0640803e-07,7.1344965e-07
0.034699999,-1.794109e-07,7.258418e-07
0.0348,-1.5241378e-07,7.3823401e-07
0.034899998,-1.2541665e-07,7.5062616e-07
0.035,-9.8419513e-08,7.6301831e-07
0.035100002,-7.1422377e-08,7.7541046e-07
0.0352,-4.4425249e-08,7.8780261e-07
0.035300002,-1.7428118e-08,8.0019481e-07
0.035399999,9.5690131e-09,8.1258696e-07
0.035500001,3.6566146e-08,8.2497911e-07
0.035599999,6.3563277e-08,8.3737126e-07
0.035700001,9.0560405e-08,8.4976341e-07
0.035799999,1.1755754e-07,8.6215562e-07
0.0359,1.4455468e-07,8.7454777e-07
0.035999998,1.715518e-07,8.8693992e-07
0.0361,1.9854893e-07,8.9933206e-07
0.036200002,2.2554606e-07,9.1172427e-07
0.0363,2.525432e-07,9.2411642e-07
0.036400001,2.7125517e-07,9.0807231e-07
0.036499999,2.87387e-07,8.8317262e-07
0.036600001,3.0351879e-07,8.5827287e-07
0.036699999,3.1965061e-07,8.3337318e-07
0.036800001,3.3578243e-07,8.0847349e-07
0.036899999,3.5191425e-07,7.8357374e-07
0.037,3.6804605e-07,7.5867405e-07
0.037099998,3.8417787e-07,7.337743e-07
0.0372,4.0030969e-07,7.0887461e-07
0.037300002,4.1644151e-07,6.8397492e-07
0.0374,4.325733e-07,6.5907517e-07
0.037500001,4.4870512e-07,6.3417548e-07
0.037599999,4.6483694e-07,6.0927573e-07
0.037700001,4.8096877e-07,5.8437604e-07
0.037799999,4.9710059e-07,5.5947635e-07
0.037900001,5.1323241e-07,5.345766e-07
0.037999999,5.2936417e-07,5.0967691e-07
0.0381,5.4549599e-07,4.8477716e-07
0.038199998,5.6162781e-07,4.5987747e-07
0.0383,5.7775964e-07,4.3497775e-07
0.038400002,5.9389146e-07,4.1007803e-07
0.0385,6.1002328e-07,3.8517834e-07
0.038600001,6.261551e-07,3.6027862e-07
0.038699999,6.4228686e-07,3.353789e-07
0.038800001,6.5841868e-07,3.1047918e-07
0.038899999,6.7455051e-07,2.8557946e-07
0.039000001,6.9068233e-07,2.6067977e-07
0.039099999,7.0681415e-07,2.3578005e-07
0.0392,7.2294597e-07,2.1088033e-07
0.039299998,7.3907779e-07,1.8598062e-07
0.0394,7.5520961e-07,1.6108091e-07
0.039500002,7.7134138e-07,1.3618119e-07
0.0396,7.874732e-07,1.1128147e-07
0.039700001,8.0360502e-07,8.638176e-08
0.039799999,8.1973684e-07,6.1482048e-08
0.039900001,8.3586866e-07,3.6582335e-08
0.039999999,8.5200048e-07,1.168262e-08
0.040100001,8.681323e-07,-1.3217093e-08
0.040199999,8.8426407e-07,-3.8116809e-08
0.0403,9.0039589e-07,-6.3016522e-08
0.040399998,9.1652771e-07,-8.7916234e-08
0.0405,9.3265953e-07,-1.1281595e-07
0.040600002,9.4879135e-07,-1.3771566e-07
0.0407,9.6492317e-07,-1.6261538e-07
0.040800001,9.81055e-07,-1.8751508e-07
0.040899999,9.8342105e-07,-2.1048714e-07
0.041000001,9.6108613e-07,-2.3000021e-07
0.041099999,9.3875116e-07,-2.4951328e-07
0.041200001,9.1641613e-07,-2.6902634e-07
0.041299999,8.9408115e-07,-2.8853944e-07
0.0414,8.7174618e-07,-3.0805251e-07
0.041499998,8.4941121e-07,-3.2756557e-07
0.0416,8.2707624e-07,-3.4707864e-07
0.041700002,8.0474126e-07,-3.6659171e-07
0.0418,7.8240629e-07,-3.8610477e-07
0.041900001,7.6007126e-07,-4.0561784e-07
0.041999999,7.3773629e-07,-4.2513093e-07
0.042100001,7.1540131e-07,-4.44644e-07
0.042199999,6.9306634e-07,-4.6415707e-07
0.042300001,6.7073137e-07,-4.8367014e-07
0.042399999,6.4839639e-07,-5.0318323e-07
0.0425,6.2606142e-07,-5.2269627e-07
0.042599998,6.0372645e-07,-5.4220936e-07
0.0427,5.8139142e-07,-5.617224e-07
0.042800002,5.5905645e-07,-5.812355e-07
0.0429,5.3672147e-07,-6.0074854e-07
0.043000001,5.143865e-07,-6.2026163e-07
0.043099999,4.9205153e-07,-6.3977473e-07
0.043200001,4.6971653e-07,-6.5928776e-07
0.043299999,4.4738155e-07,-6.7880086e-07
0.043400001,4.2504658e-07,-6.983139e-07
0.043499999,4.0271161e-07,-7.1782699e-07
0.0436,3.803766e-07,-7.3734003e-07
0.043699998,3.5804163e-07,-7.5685313e-07
0.0438,3.3570666e-07,-7.7636622e-07
0.043900002,3.1337166e-07,-7.9587926e-07
0.044,2.9103668e-07,-8.1539235e-07
0.044100001,2.6870171e-07,-8.3490539e-07
0.044199999,2.4636674e-07,-8.5441849e-07
0.044300001,2.2403175e-07,-8.7393153e-07
0.044399999,2.0169676e-07,-8.9344462e-07
0.044500001,1.7936179e-07,-9.1295766e-07
0.044599999,1.570268e-07,-9.3247075e-07
0.0447,1.3469183e-07,-9.5198385e-07
0.044799998,1.1235684e-07,-9.7149689e-07
0.0449,9.0021864e-08,-9.9100998e-07
0.045000002,6.7686884e-08,-1.0105231e-06
0.0451,4.53519e-08,-1.0300361e-06
0.045200001,2.301692e-08,-1.0495492e-06
0.045299999,6.8193967e-10,-1.0690623e-06
0.045400001,-2.1653042e-08,-1.0885753e-06
0.045499999,-4.4181668e-08,-1.0710658e-06
0.045600001,-6.6719807e-08,-1.0517379e-06
0.045699999,-8.9257938e-08,-1.03241e-06
0.0458,-1.1179608e-07,-1.0130821e-06
0.045899998,-1.3433421e-07,-9.9375416e-07
0.046,-1.5687235e-07,-9.7442626e-07
0.046100002,-1.7941049e-07,-9.5509836e-07
0.0462,-2.0194862e-07,-9.357704e-07
0.046300001,-2.2448675e-07,-9.1644256e-07
0.046399999,-2.470249e-07,-8.9711466e-07
0.046500001,-2.6956303e-07,-8.7778676e-07
0.046599999,-2.9210116e-07,-8.5845886e-07
0.046700001,-3.1463929e-07,-8.3913096e-07
0.046799999,-3.3717745e-07,-8.1980306e-07
0.0469,-3.5971559e-07,-8.0047516e-07
0.046999998,-3.8225372e-07,-7.8114726e-07
0.0471,-4.0479185e-07,-7.6181936e-07
0.047200002,-4.2732998e-07,-7.4249147e-07
0.0473,-4.4986814e-07,-7.2316357e-07
0.047400001,-4.7240627e-07,-7.0383567e-07
0.047499999,-4.949444e-07,-6.8450777e-07
0.047600001,-5.1748253e-07,-6.6517987e-07
0.047699999,-5.4002066e-07,-6.4585197e-07
0.047800001,-5.625588e-07,-6.2652407e-07
0.047899999,-5.8509693e-07,-6.0719617e-07
0.048,-6.0763506e-07,-5.8786827e-07
0.048099998,-6.3017325e-07,-5.6854037e-07
0.0482,-6.5271138e-07,-5.4921247e-07
0.048300002,-6.7524951e-07,-5.2988457e-07
0.0484,-6.9778764e-07,-5.1055667e-07
0.048500001,-7.2032577e-07,-4.9122877e-07
0.048599999,-7.428639e-07,-4.719009e-07
0.048700001,-7.6540204e-07,-4.52573e-07
0.048799999,-7.8794017e-07,-4.3324511e-07
0.048900001,-8.104783e-07,-4.1391721e-07
0.048999999,-8.3301643e-07,-3.9458931e-07
0.0491,-8.5555456e-07,-3.7526141e-07
0.049199998,-8.7809275e-07,-3.5593351e-07
0.0493,-9.0063088e-07,-3.3660561e-07
0.049400002,-9.2316901e-07,-3.1727771e-07
0.0495,-9.4570714e-07,-2.9794981e-07
0.049600001,-9.6824522e-07,-2.7862194e-07
0.049699999,-9.9078341e-07,-2.5929404e-07
0.049800001,-1.0133216e-06,-2.3996614e-07
0.049899999,-1.0358597e-06,-2.2063824e-07
0.050000001,-1.0373305e-06,-1.9813537e-07
0.050099999,-1.0214607e-06,-1.7301916e-07
0.0502,-1.0055909e-06,-1.4790295e-07
0.050299998,-9.89721e-07,-1.2278674e-07
0.0504,-9.7385123e-07,-9.7670537e-08
0.050500002,-9.5798134e-07,-7.2554329e-08
0.0506,-9.4211157e-07,-4.7438121e-08
0.050700001,-9.2624174e-07,-2.2321911e-08
0.050799999,-9.1037191e-07,2.7942975e-09
0.050900001,-8.9450208e-07,2.7910506e-08
0.050999999,-8.7863225e-07,5.3026714e-08
0.051100001,-8.6276242e-07,7.8142925e-08
0.051199999,-8.4689259e-07,1.0325913e-07
0.0513,-8.3102276e-07,1.2837533e-07
0.051399998,-8.1515293e-07,1.5349154e-07
0.0515,-7.992831e-07,1.7860776e-07
0.051600002,-7.8341327e-07,2.0372397e-07
0.0517,-7.6754344e-07,2.2884018e-07
0.051800001,-7.5167361e-07,2.5395639e-07
0.051899999,-7.3580378e-07,2.7907259e-07
0.052000001,-7.1993395e-07,3.041888e-07
0.052099999,-7.0406412e-07,3.2930501e-07
0.052200001,-6.8819429e-07,3.5442122e-07
0.052299999,-6.7232446e-07,3.7953743e-07
0.0524,-6.5645463e-07,4.0465363e-07
0.052499998,-6.405848e-07,4.2976984e-07
0.0526,-6.2471497e-07,4.5488605e-07
0.052700002,-6.088452e-07,4.8000226e-07
0.0528,-5.9297537e-07,5.0511846e-07
0.052900001,-5.7710554e-07,5.3023467e-07
0.052999999,-5.6123571e-07,5.5535088e-07
0.053100001,-5.4536588e-07,5.8046709e-07
0.053199999,-5.2949605e-07,6.055833e-07
0.053300001,-5.1362622e-07,6.306995e-07
0.053399999,-4.9775639e-07,6.5581571e-07
0.0535,-4.8188656e-07,6.8093192e-07
0.053599998,-4.6601673e-07,7.0604813e-07
0.0537,-4.501469e-07,7.3116433e-07
0.053800002,-4.3427707e-07,7.5628054e-07
0.0539,-4.1840724e-07,7.8139675e-07
0.054000001,-4.0253741e-07,8.0651296e-07
0.054099999,-3.8666758e-07,8.3162917e-07
0.054200001,-3.7079775e-07,8.5674537e-07
0.054299999,-3.5492792e-07,8.8186158e-07
0.054400001,-3.3905809e-07,9.0697779e-07
0.054499999,-3.215695e-07,9.2674651e-07
0.0546,-2.9444573e-07,9.146865e-07
0.054699998,-2.6732195e-07,9.0262643e-07
0.0548,-2.4019815e-07,8.9056635e-07
0.054900002,-2.1307439e-07,8.7850628e-07
0.055,-1.8595061e-07,8.6644621e-07
0.055100001,-1.5882682e-07,8.5438614e-07
0.055199999,-1.3170305e-07,8.4232607e-07
0.055300001,-1.0457927e-07,8.30266e-07
0.055399999,-7.7455496e-08,8.1820593e-07
0.055500001,-5.0331717e-08,8.0614586e-07
0.055599999,-2.320794e-08,7.9408585e-07
0.0557,3.9158374e-09,7.8202578e-07
0.055799998,3.1039615e-08,7.6996571e-07
0.0559,5.8163394e-08,7.5790564e-07
0.056000002,8.5287169e-08,7.4584557e-07
0.0561,1.1241094e-07,7.337855e-07
