"Time","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.ir[1]","aimsE.ir[1]","aimsE.idq_rr[2]","aimsE.ir[2]","loadInertiaM.phi","loadInertiaE.phi","aimsM.ir[2]","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsE.idq_sr[2]","aimsE.is[1]","aimsM.is[2]","loadInertiaE.w","aimsE.idq_sr[1]","aimsE.is[2]","aimsE.idq_rr[1]","loadInertiaM.w","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.is[1]"
1.001,0.29102856,-102.31915,-102.33115,-69.472984,-8.9997892,99.795601,99.795662,-9.0131369,0.35596964,0.33119795,33.323723,46.191177,-132.49898,133.39044,130.32057,-132.5041,-102.33115,133.39044,-0.22510155,46.187355
1.0010999,0.28051889,-103.88462,-103.89704,-71.151459,-9.6704502,99.808945,99.808998,-9.6842203,0.3556883,0.34011412,35.091637,51.509205,-135.28896,133.39584,131.98618,-135.29424,-103.89704,133.39584,-0.22551407,51.505322
1.0012,0.26973847,-105.42033,-105.43309,-72.826912,-10.35341,99.822281,99.822342,-10.367605,0.35540023,0.34869087,36.857147,56.859932,-137.90105,133.40173,133.62155,-137.9064,-105.43309,133.40173,-0.22593279,56.856041
1.0013,0.2586982,-106.92647,-106.93945,-74.499512,-11.048744,99.835625,99.835678,-11.063326,0.35510546,0.35692012,38.62043,62.234581,-140.3298,133.4081,135.22687,-140.33508,-106.93945,133.4081,-0.22635761,62.230732
1.0014,0.24740918,-108.4031,-108.41628,-76.169426,-11.756521,99.848961,99.849022,-11.771518,0.35480401,0.36479396,40.38166,67.624344,-142.56987,133.41493,136.80226,-142.57504,-108.41628,133.41493,-0.22678839,67.620583
1.0015,0.23588286,-109.85036,-109.86373,-77.836823,-12.476801,99.862305,99.862366,-12.492192,0.35449588,0.37230492,42.141006,73.020378,-144.61624,133.42223,138.34789,-144.62132,-109.86373,133.42221,-0.22722501,73.016693
1.0016,0.22413076,-111.26852,-111.28198,-79.501862,-13.20964,99.875648,99.875702,-13.225421,0.35418108,0.37944594,43.898636,78.413826,-146.46431,133.42998,139.86389,-146.46922,-111.28198,133.42996,-0.22766736,78.410301
1.0017,0.21216474,-112.65762,-112.67121,-81.164696,-13.955083,99.888992,99.889046,-13.971232,0.35385963,0.38621023,45.654705,83.795853,-148.10956,133.43817,141.35046,-148.11432,-112.67121,133.43816,-0.22811534,83.792442
1.0017999,0.19999678,-114.0179,-114.03159,-82.825478,-14.713172,99.902336,99.90239,-14.729682,0.35353151,0.39259148,47.40937,89.157616,-149.5479,133.44682,142.80779,-149.55249,-114.03159,133.44681,-0.22856881,89.154327
1.0019,0.18763909,-115.34953,-115.36332,-84.48436,-15.483942,99.91568,99.915741,-15.500802,0.35319677,0.39858368,49.162785,94.490288,-150.77548,133.4559,144.23602,-150.77991,-115.36332,133.45589,-0.22902767,94.487137
1.002,0.17510402,-116.65267,-116.66658,-86.141479,-16.26742,99.929024,99.929085,-16.284622,0.35285538,0.40418124,50.9151,99.785095,-151.78873,133.46542,145.63538,-151.79303,-116.66658,133.46541,-0.2294918,99.782051
1.0021,0.16240409,-117.92757,-117.94158,-87.796982,-17.063623,99.942375,99.942429,-17.081169,0.35250738,0.40937895,52.666454,105.03329,-152.58446,133.47536,147.00601,-152.58861,-117.94158,133.47536,-0.22996108,105.03038
1.0022,0.14955203,-119.17437,-119.18852,-89.450989,-17.87257,99.955719,99.95578,-17.890446,0.35215273,0.41417202,54.416985,110.2262,-153.15968,133.48573,148.34818,-153.16374,-119.18852,133.48572,-0.23043542,110.22337
1.0023,0.13656062,-120.39331,-120.40762,-91.103645,-18.694265,99.96907,99.969131,-18.71249,0.3517915,0.41855603,56.166828,115.35521,-153.51181,133.49652,149.66203,-153.51579,-120.40762,133.49651,-0.23091468,115.35249
1.0024,0.12344284,-121.58459,-121.59907,-92.755066,-19.528709,99.982422,99.982475,-19.547304,0.35142362,0.42252696,57.916111,120.41179,-153.6385,133.50772,150.9478,-153.64244,-121.59907,133.50771,-0.23139878,120.40915
1.0025001,0.11021174,-122.74838,-122.76312,-94.405373,-20.375895,99.995773,99.995827,-20.39489,0.35104915,0.42608124,59.664959,125.38748,-153.53772,133.51933,152.20572,-153.5417,-122.76312,133.51932,-0.23188756,125.3849
1.0026,0.09688054,-123.88491,-123.89998,-96.054688,-21.235809,100.00912,100.00919,-21.255245,0.3506681,0.42921564,61.41349,130.27396,-153.20778,133.53134,153.436,-153.21188,-123.89998,133.53133,-0.23238097,130.27138
1.0027,0.08346241,-124.99448,-125.00989,-97.703117,-22.108435,100.02248,100.02254,-22.128342,0.35028043,0.43192744,63.161819,135.06296,-152.64738,133.54375,154.63885,-152.65164,-125.00989,133.54373,-0.23287886,135.06041
1.0028,0.069970712,-126.07732,-126.09308,-99.350761,-22.993742,100.03584,100.03589,-23.014135,0.34988615,0.43421432,64.910057,139.74641,-151.8555,133.55655,155.81454,-151.85991,-126.09308,133.55653,-0.23338114,139.74388
1.0029,0.056418829,-127.13373,-127.14979,-100.99773,-23.891699,100.04919,100.04925,-23.912563,0.34948531,0.43607438,66.658302,144.3163,-150.83144,133.56975,156.96327,-150.83598,-127.14979,133.56973,-0.2338877,144.31383
1.003,0.042820189,-128.16402,-128.18027,-102.6441,-24.802267,100.06255,100.06261,-24.823524,0.34907785,0.43750614,68.406654,148.76483,-149.57489,133.58331,158.08531,-149.57945,-128.18027,133.5833,-0.23439842,148.76242
1.0031,0.029188275,-129.16835,-129.18475,-104.28999,-25.725399,100.0759,100.07597,-25.747019,0.34866384,0.43850848,70.155212,153.08427,-148.08569,133.59727,159.18088,-148.09024,-129.18475,133.59726,-0.23491323,153.08199
1.0032001,0.015536618,-130.14688,-130.16351,-105.93546,-26.661045,100.08926,100.08932,-26.683111,0.34824321,0.43908066,71.904053,157.26715,-146.36397,133.6116,160.25024,-146.36859,-130.16351,133.61159,-0.235432,157.26494
1.0033,0.001878718,-131.09995,-131.11679,-107.5806,-27.609144,100.10263,100.10268,-27.631651,0.34781602,0.43922246,73.653275,161.30609,-144.41035,133.6263,161.29366,-144.41507,-131.11679,133.62628,-0.23595463,161.30396
1.0034,-0.011771907,-132.02779,-132.04485,-109.2255,-28.569635,100.11599,100.11605,-28.59256,0.34738222,0.43893412,75.402946,165.19392,-142.22574,133.64136,162.31137,-142.23055,-132.04485,133.64134,-0.23648103,165.19186
1.0035,-0.025401752,-132.93068,-132.94795,-110.87021,-29.542444,100.12936,100.12942,-29.565746,0.34694186,0.43821621,77.153145,168.92369,-139.81136,133.65678,163.30365,-139.81624,-132.94795,133.65675,-0.23701109,168.92166
1.0036,-0.038997408,-133.8089,-133.82637,-112.5148,-30.527496,100.14272,100.14278,-30.551229,0.34649491,0.43706977,78.903931,172.4886,-137.16866,133.67256,164.27077,-137.17365,-133.82637,133.67253,-0.2375447,172.48663
1.0037,-0.052545428,-134.6627,-134.68036,-114.15934,-31.524708,100.15609,100.15615,-31.548864,0.34604138,0.43549621,80.655373,175.8821,-134.29953,133.68869,165.21298,-134.30463,-134.68036,133.68867,-0.23808178,175.8802
1.0038,-0.066032447,-135.49239,-135.51022,-115.80387,-32.533985,100.16946,100.16952,-32.558537,0.34558126,0.43349746,82.407524,179.09781,-131.20612,133.70517,166.13057,-131.2113,-135.51022,133.70515,-0.23862225,179.09598
1.0039001,-0.079445168,-136.29823,-136.31621,-117.44845,-33.555241,100.18283,100.18289,-33.580109,0.34511456,0.43107581,84.160431,182.12962,-127.89093,133.722,167.0238,-127.89615,-136.31621,133.72197,-0.23916596,182.12784
1.0039999,-0.092770383,-137.08049,-137.0986,-119.09312,-34.588367,100.19621,100.19627,-34.613567,0.3446413,0.42823389,85.914146,184.97163,-124.35664,133.73915,167.89296,-124.36192,-137.0986,133.73914,-0.23971286,184.96989
1.0041,-0.10599498,-137.83939,-137.85768,-120.73792,-35.633263,100.20958,100.20964,-35.658855,0.34416142,0.4249748,87.668716,187.61819,-120.60629,133.75665,168.73833,-120.61169,-137.85768,133.75662,-0.24026285,187.61649
1.0042,-0.11910595,-138.57527,-138.59373,-122.38288,-36.689816,100.22295,100.22301,-36.715786,0.34367499,0.42130208,89.424164,190.0639,-116.64329,133.77449,169.56018,-116.64882,-138.59373,133.77446,-0.24081583,190.06221
1.0043,-0.1320904,-139.28844,-139.30705,-124.02803,-37.7579,100.23634,100.2364,-37.784195,0.34318197,0.4172197,91.180519,192.30357,-112.47134,133.79265,170.35881,-112.47696,-139.30705,133.79262,-0.24137171,192.3019
1.0044,-0.14493558,-139.9792,-139.99791,-125.67339,-38.837399,100.24972,100.24977,-38.863945,0.34268236,0.41273198,92.937813,194.33232,-108.09444,133.81113,171.13451,-108.10007,-139.99791,133.8111,-0.24193038,194.33067
1.0045,-0.15762888,-140.64772,-140.66661,-127.31899,-39.928181,100.2631,100.26315,-39.955101,0.34217617,0.40784353,94.69606,196.14554,-103.5166,133.82993,171.88754,-103.52239,-140.66661,133.8299,-0.24249178,196.14388
1.0046,-0.17015783,-141.29436,-141.31343,-128.96484,-41.030109,100.27648,100.27654,-41.057404,0.34166339,0.40255949,96.455276,197.73885,-98.742477,133.84904,172.61823,-98.748436,-141.31343,133.84901,-0.24305582,197.73717
1.0046999,-0.18251018,-141.91945,-141.93866,-130.61093,-42.143051,100.28987,100.28992,-42.170681,0.34114403,0.39688542,98.215462,199.10817,-93.776894,133.86847,173.32684,-93.782982,-141.93866,133.86845,-0.24362239,199.10648
1.0048,-0.19467384,-142.5233,-142.54262,-132.25728,-43.266853,100.30325,100.30331,-43.294731,0.34061807,0.39082721,99.976624,200.24971,-88.624969,133.88821,174.01369,-88.631104,-142.54262,133.88818,-0.24419144,200.24802
1.0049,-0.20663686,-143.10612,-143.12556,-133.90387,-44.401375,100.31664,100.3167,-44.42955,0.34008554,0.38439101,101.73876,201.15997,-83.291862,133.90826,174.67906,-83.298119,-143.12556,133.90823,-0.24476284,201.15825
1.005,-0.21838756,-143.66821,-143.68782,-135.55072,-45.546452,100.33004,100.33009,-45.574978,0.33954641,0.37758347,103.50187,201.83572,-77.783173,133.92862,175.32326,-77.789597,-143.68782,133.92859,-0.24533653,201.83395
1.0051,-0.22991446,-144.20992,-144.22968,-137.19778,-46.701931,100.34343,100.34349,-46.730785,0.3390007,0.37041157,105.26592,202.27405,-72.104782,133.94926,175.94658,-72.111366,-144.22968,133.94923,-0.24591245,202.27225
1.0052,-0.2412063,-144.73157,-144.75142,-138.84506,-47.867641,100.35683,100.35689,-47.896763,0.33844838,0.3628827,107.03091,202.47234,-66.262817,133.9702,176.5493,-66.269501,-144.75142,133.97018,-0.24649048,202.47052
1.0053,-0.25225207,-145.23344,-145.25337,-140.49254,-49.043419,100.37022,100.37029,-49.072739,0.33788946,0.35500455,108.7968,202.42828,-60.263561,133.99144,177.13176,-60.270287,-145.25337,133.99141,-0.24707057,202.42644
1.0053999,-0.26304096,-145.71574,-145.73579,-142.14015,-50.229088,100.38363,100.38368,-50.258724,0.33732399,0.34678498,110.56358,202.13985,-54.113365,134.01297,177.69424,-54.120262,-145.73579,134.01294,-0.24765261,202.13795
1.0055,-0.27356252,-146.17883,-146.19902,-143.7879,-51.424469,100.39703,100.39709,-51.454407,0.33675188,0.33823243,112.33119,201.60536,-47.819107,134.03477,178.23703,-47.826164,-146.19902,134.03476,-0.24823655,201.60341
1.0056,-0.28380644,-146.62305,-146.64333,-145.43575,-52.629383,100.41043,100.41049,-52.659576,0.33617321,0.3293556,114.09961,200.82343,-41.387772,134.05688,178.76045,-41.394951,-146.64333,134.05685,-0.24882232,200.82143
1.0057,-0.29376286,-147.04871,-147.06902,-147.08362,-53.843636,100.42384,100.4239,-53.873989,0.33558792,0.32016352,115.86879,199.79297,-34.826572,134.07925,179.26479,-34.833782,-147.06902,134.07922,-0.24940981,199.79097
1.0058,-0.303422,-147.45599,-147.47639,-148.73149,-55.067043,100.43725,100.43731,-55.097641,0.33499604,0.31066537,117.63867,198.51324,-28.142666,134.10191,179.75034,-28.149998,-147.47639,134.10188,-0.24999897,198.51117
1.0059,-0.31277454,-147.84523,-147.86577,-150.3793,-56.299408,100.45066,100.45071,-56.330273,0.33439758,0.30087075,119.40921,196.9838,-21.343649,134.12483,180.21742,-21.351137,-147.86577,134.12482,-0.25058973,196.98164
1.006,-0.32181141,-148.21678,-148.23741,-152.02699,-57.540531,100.46407,100.46413,-57.571636,0.33379254,0.29078957,121.18034,195.20451,-14.43728,134.14804,180.66632,-14.444904,-148.23741,134.14801,-0.25118199,195.20229
1.0061001,-0.33052388,-148.57095,-148.59161,-153.6745,-58.790211,100.47749,100.47755,-58.821487,0.33318087,0.28043199,122.952,193.17558,-7.4314771,134.17151,181.09735,-7.4391737,-148.59161,134.17148,-0.25177574,193.17332
1.0062,-0.33890349,-148.908,-148.92871,-155.32176,-60.048237,100.49091,100.49097,-60.079659,0.33256263,0.26980844,124.72411,190.89754,-0.33422899,134.19525,181.51079,-0.34197164,-148.92871,134.19522,-0.25237083,190.89523
1.0063,-0.34694213,-149.22816,-149.24896,-156.9687,-61.314404,100.50433,100.50439,-61.346062,0.33193779,0.25892952,126.49661,188.37119,6.8464222,134.21924,181.90695,6.8385282,-149.24896,134.21922,-0.25296727,188.36877
1.0064,-0.35463208,-149.53178,-149.55267,-158.61525,-62.588497,100.51775,100.51781,-62.620377,0.33130637,0.24780616,128.26941,185.59767,14.102055,134.2435,182.28612,14.094016,-149.55267,134.24348,-0.25356495,185.59517
1.0065,-0.36196598,-149.81918,-149.84015,-160.26132,-63.870296,100.53117,100.53123,-63.902359,0.33066836,0.23644957,130.04243,182.57848,21.424198,134.26802,182.64861,21.416058,-149.84015,134.26801,-0.2541638,182.57591
1.0066,-0.36893675,-150.09071,-150.11165,-161.90681,-65.159592,100.5446,100.54466,-65.191727,0.33002377,0.22487113,131.81558,179.31538,28.804245,134.2928,182.99471,28.796099,-150.11165,134.29277,-0.25476378,179.31281
1.0067,-0.37553766,-150.34647,-150.36751,-163.55167,-66.456146,100.55804,100.55809,-66.48848,0.32937258,0.21308234,133.58876,175.81046,36.233768,134.31783,183.32469,36.225487,-150.36751,134.31781,-0.25536481,175.80777
1.0068001,-0.38176239,-150.58684,-150.60797,-165.19577,-67.759743,100.57146,100.57153,-67.792282,0.32871482,0.20109503,135.36189,172.06613,43.703896,134.34311,183.63887,43.695469,-150.60797,134.34309,-0.25596684,172.06329
1.0069,-0.38760507,-150.81215,-150.83334,-166.83902,-69.07016,100.58491,100.58496,-69.102875,0.32805049,0.18892118,137.13484,168.08508,51.205757,134.36864,183.93753,51.197212,-150.83334,134.36862,-0.25656977,168.08214
1.007,-0.39306012,-151.02269,-151.04391,-168.48132,-70.387146,100.59834,100.5984,-70.41996,0.32737958,0.17657299,138.90753,163.87033,58.7304,134.39441,184.22095,58.721802,-151.04391,134.39439,-0.2571736,163.86734
1.0071,-0.39812234,-151.21872,-151.23996,-170.12257,-71.710487,100.61179,100.61184,-71.743401,0.32670209,0.16406274,140.67984,159.4252,66.268929,134.42044,184.48943,66.260277,-151.23996,134.42041,-0.25777826,159.42215
1.0072,-0.40278691,-151.40044,-151.42175,-171.76265,-73.03994,100.62523,100.62528,-73.073029,0.32601807,0.15140288,142.45166,154.7533,73.812386,134.4467,184.74324,73.803604,-151.42175,134.44667,-0.25838363,154.75011
1.0073,-0.40704945,-151.56819,-151.58958,-173.40146,-74.375267,100.63867,100.63873,-74.408516,0.32532746,0.13860603,144.22285,149.85854,81.351631,134.47321,184.98268,81.34272,-151.58958,134.47318,-0.25898972,149.85521
1.0074,-0.41090602,-151.72231,-151.74373,-175.03885,-75.716225,100.65212,100.65218,-75.74958,0.32463029,0.12568496,145.99332,144.74509,88.877518,134.49994,185.20801,88.868538,-151.74373,134.49992,-0.25959647,144.74168
1.0075001,-0.41435304,-151.86307,-151.88446,-176.67473,-77.062576,100.66557,100.66563,-77.095955,0.32392657,0.11265256,147.76291,139.41747,96.38092,134.52692,185.41953,96.371933,-151.88446,134.5269,-0.26020381,139.41403
1.0075999,-0.41738719,-151.99057,-152.01204,-178.30896,-78.414078,100.67902,100.67908,-78.447594,0.32321632,0.099521689,149.53151,133.8804,103.8529,134.55412,185.61749,103.8438,-152.01204,134.55411,-0.26081166,133.87683
1.0077,-0.4200058,-152.10521,-152.12674,-179.94142,-79.77047,100.69248,100.69254,-79.804123,0.32249954,0.086305462,151.29898,128.13893,111.28421,134.58156,185.80217,111.275,-152.12674,134.58154,-0.26142001,128.13522
1.0078,-0.42220646,-152.20726,-152.22884,-181.57198,-81.131523,100.70594,100.706,-81.165283,0.32177624,0.073017009,153.06519,122.19838,118.66574,134.60924,185.97386,118.65644,-152.22884,134.60922,-0.26202878,122.19455
1.0079,-0.42398733,-152.29701,-152.31859,-183.20049,-82.496979,100.71941,100.71946,-82.530762,0.32104638,0.059669532,154.82999,116.06429,125.98836,134.63713,186.1328,125.97904,-152.31859,134.63712,-0.26263794,116.06041
1.008,-0.42534673,-152.37466,-152.39626,-184.82681,-83.866585,100.73287,100.73293,-83.900421,0.32031006,0.046276253,156.59323,109.74249,133.24312,134.66525,186.27927,133.23375,-152.39626,134.66524,-0.26324746,109.73853
1.0081,-0.42628354,-152.44041,-152.46208,-186.45081,-85.240097,100.74634,100.7464,-85.274048,0.3195672,0.032850444,158.35477,103.23904,140.42105,134.6936,186.41351,140.41159,-152.46208,134.69359,-0.26385725,103.23493
1.0082,-0.42679712,-152.49461,-152.51633,-188.07234,-86.617256,100.75981,100.75986,-86.651299,0.31881785,0.019405438,160.11446,96.560272,147.51314,134.72217,186.5358,147.50359,-152.51633,134.72215,-0.26446727,96.556023
1.0082999,-0.42688721,-152.53752,-152.55927,-189.69125,-87.997818,100.77328,100.77334,-88.031898,0.31806204,0.0059545524,161.87215,89.712723,154.51048,134.75096,186.64639,154.5009,-152.55927,134.75095,-0.2650775,89.708382
1.0084,-0.42655393,-152.5694,-152.59111,-191.3074,-89.381516,100.78676,100.78682,-89.415573,0.31729975,-0.0074888854,163.62766,82.703171,161.4043,134.77997,186.74553,161.39473,-152.59111,134.77995,-0.26568785,82.698807
1.0085,-0.42579773,-152.59035,-152.61212,-192.92062,-90.768105,100.80024,100.80029,-90.802238,0.31653097,-0.020911597,165.38086,75.538612,168.186,134.80919,186.83347,168.17636,-152.61212,134.80919,-0.26629832,75.534096
1.0086,-0.42461964,-152.60071,-152.62253,-194.53078,-92.157326,100.81372,100.81378,-92.191536,0.31575578,-0.034300283,167.13156,68.226257,174.84691,134.83862,186.91043,174.83719,-152.62253,134.83862,-0.26690888,68.221588
1.0087,-0.42302108,-152.60072,-152.6226,-196.13768,-93.54892,100.82721,100.82726,-93.583176,0.31497413,-0.047641709,168.87962,60.773518,181.37851,134.86829,186.97668,181.36874,-152.6226,134.86827,-0.26751944,60.768726
1.0088,-0.42100385,-152.5907,-152.61253,-197.7412,-94.942627,100.84069,100.84075,-94.976845,0.31418607,-0.060922679,170.62485,53.188004,187.77238,134.89815,187.03247,187.76263,-152.61253,134.89815,-0.26812997,53.183186
1.0089,-0.4185701,-152.57071,-152.59258,-199.34114,-96.338211,100.85419,100.85424,-96.372444,0.3133916,-0.074130081,172.3671,45.477509,194.0204,134.92822,187.07799,194.01062,-152.59258,134.92822,-0.26874045,45.472588
1.0089999,-0.41572246,-152.54102,-152.56296,-200.93738,-97.73539,100.86768,100.86774,-97.769684,0.31259075,-0.087250873,174.10619,37.650009,200.11446,134.9585,187.11351,200.10461,-152.56296,134.9585,-0.26935083,37.644932
1.0091,-0.41246393,-152.50191,-152.5239,-202.52971,-99.133926,100.88118,100.88123,-99.168259,0.31178349,-0.1002721,175.84192,29.71365,206.04652,134.98898,187.13922,206.03665,-152.5239,134.98898,-0.26996106,29.708435
1.0092,-0.40879807,-152.4536,-152.4756,-204.11798,-100.53355,100.89468,100.89474,-100.56787,0.31096989,-0.11318093,177.57414,21.676725,211.80884,135.01968,187.15538,211.79895,-152.4756,135.01968,-0.27057114,21.671438
1.0093,-0.40472862,-152.39632,-152.41829,-205.70201,-101.93403,100.90818,100.90824,-101.96828,0.31014994,-0.12596461,179.30269,13.547693,217.39377,135.05058,187.16217,217.3839,-152.41829,135.05058,-0.27118099,13.542374
1.0094,-0.40025976,-152.33015,-152.35219,-207.28165,-103.33508,100.92168,100.92175,-103.36936,0.30932364,-0.13861056,181.02734,5.335144,222.79395,135.08168,187.15984,222.78404,-152.35219,135.08168,-0.27179059,5.3296757
1.0095,-0.39539614,-152.25539,-152.2775,-208.8567,-104.73646,100.9352,100.93526,-104.77077,0.30849105,-0.15110631,182.74794,-2.9522009,228.00206,135.11298,187.14857,227.99213,-152.2775,135.11298,-0.27239993,-2.9578125
1.0096,-0.39014283,-152.17227,-152.1944,-210.42699,-106.13792,100.94871,100.94877,-106.17223,0.30765218,-0.16343956,184.46429,-11.305499,233.01105,135.14447,187.12859,233.00111,-152.1944,135.14449,-0.27300894,-11.311213
1.0096999,-0.38450524,-152.08102,-152.10312,-211.99236,-107.5392,100.96223,100.96229,-107.5734,0.30680701,-0.17559817,186.17624,-19.715796,237.81404,135.17616,187.1001,237.80414,-152.10312,135.17618,-0.2736176,-19.721516
1.0098,-0.37848899,-151.9817,-152.00385,-213.5526,-108.94006,100.97575,100.97581,-108.97425,0.30595559,-0.18757017,187.88354,-28.174042,242.40448,135.20805,187.06328,242.39458,-152.00385,135.20807,-0.27422589,-28.179878
1.0099,-0.37210032,-151.87454,-151.89676,-215.10756,-110.34023,100.98927,100.98933,-110.37444,0.30509797,-0.1993438,189.58607,-36.671089,246.77591,135.24014,187.01833,246.76601,-151.89676,135.24016,-0.27483374,-36.677067
1.01,-0.36534572,-151.75978,-151.78206,-216.65704,-111.73948,101.00279,101.00285,-111.77367,0.30423409,-0.21090747,191.2836,-45.197723,250.92213,135.27242,186.96545,250.91223,-151.78206,135.27243,-0.27544117,-45.203819
1.0101,-0.35823208,-151.63763,-151.65991,-218.20087,-113.13754,101.01632,101.01638,-113.17167,0.30336407,-0.22224987,192.97594,-53.744652,254.83719,135.30489,186.90482,254.82732,-151.65991,135.3049,-0.27604812,-53.750797
1.0102,-0.3507666,-151.50824,-151.5305,-219.73886,-114.53419,101.02985,101.02991,-114.56822,0.30248785,-0.23335983,194.6629,-62.302528,258.51541,135.33754,186.83661,258.50555,-151.5305,135.33755,-0.27665457,-62.308708
1.0103,-0.34295675,-151.37167,-151.39401,-221.27084,-115.92917,101.04339,101.04345,-115.9632,0.30160549,-0.24422641,196.34431,-70.861961,261.95132,135.37038,186.76102,261.9415,-151.39401,135.37041,-0.27726048,-70.868271
1.0104001,-0.33481053,-151.2282,-151.25061,-222.79662,-117.32223,101.05693,101.05698,-117.35625,0.30071703,-0.254839,198.01996,-79.413513,265.13974,135.40341,186.67821,265.12994,-151.25061,135.40343,-0.27786583,-79.419945
1.0105,-0.32633615,-151.07799,-151.10045,-224.31601,-118.71314,101.07047,101.07053,-118.7471,0.29982248,-0.2651872,199.68967,-87.947739,268.07574,135.43663,186.58833,268.06598,-151.10045,135.43665,-0.27847061,-87.954247
1.0106,-0.3175422,-150.92128,-150.9437,-225.82883,-120.10165,101.08401,101.08408,-120.13547,0.29892185,-0.2752609,201.35323,-96.455162,270.75467,135.47003,186.49158,270.74493,-150.9437,135.47005,-0.27907476,-96.461655
1.0107,-0.30843738,-150.75801,-150.7805,-227.33488,-121.48754,101.09756,101.09763,-121.52133,0.29801521,-0.28505015,203.01045,-104.92632,273.17212,135.50362,186.38808,273.16245,-150.7805,135.50363,-0.27967826,-104.93291
1.0108,-0.29903096,-150.58846,-150.61102,-228.83401,-122.87056,101.11111,101.11118,-122.90433,0.29710254,-0.29454544,204.66113,-113.35173,275.32401,135.53737,186.27802,275.31436,-150.61102,135.5374,-0.2802811,-113.35844
1.0109,-0.28933239,-150.41278,-150.43542,-230.32602,-124.25048,101.12467,101.12473,-124.28419,0.29618388,-0.30373746,206.3051,-121.72195,277.20654,135.57132,186.16151,277.19696,-150.43542,135.57133,-0.28088325,-121.72876
1.011,-0.27935144,-150.23117,-150.25381,-231.81073,-125.62707,101.13823,101.13829,-125.66067,0.29525927,-0.31261727,207.94215,-130.02759,278.81619,135.60544,186.03874,278.80664,-150.25381,135.60545,-0.28148469,-130.03441
