"Time","multiSensorA.i","multiSensorA.v","multiSensorA.power","multiSensorM.i[1]","multiSensorM.i[2]","multiSensorM.i[3]","multiSensorM.v[1]","multiSensorM.v[2]","multiSensorM.v[3]","multiSensorM.power[1]","multiSensorM.power[2]","multiSensorM.power[3]","multiSensorM.powerTotal","multiSensorQS.i.re","multiSensorQS.i.im","multiSensorQS.v.re","multiSensorQS.v.im","multiSensorQS.apparentPower.re","multiSensorQS.apparentPower.im","multiSensorQM.i[1].re","multiSensorQM.i[1].im","multiSensorQM.i[2].re","multiSensorQM.i[2].im","multiSensorQM.i[3].re","multiSensorQM.i[3].im","multiSensorQM.v[1].re","multiSensorQM.v[1].im","multiSensorQM.v[2].re","multiSensorQM.v[2].im","multiSensorQM.v[3].re","multiSensorQM.v[3].im","multiSensorQM.apparentPower[1].re","multiSensorQM.apparentPower[1].im","multiSensorQM.apparentPower[2].re","multiSensorQM.apparentPower[2].im","multiSensorQM.apparentPower[3].re","multiSensorQM.apparentPower[3].im","multiSensorQM.apparentPowerTotal.re","multiSensorQM.apparentPowerTotal.im","rmsvA.y","rmsiA.y","meanpowerA.y","rmsvM[1].y","rmsvM[2].y","rmsvM[3].y","rmsiM[1].y","rmsiM[2].y","rmsiM[3].y","meanpowerM[1].y","meanpowerM[2].y","meanpowerM[3].y"
0.00078,0.38991672,34.308712,13.37754,0.38991672,-2.8285022,2.4385855,34.308712,-135.97011,101.6614,13.37754,384.59177,247.91002,645.87933,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00079999998,0.40923378,35.170063,14.392777,0.40923378,-2.8960266,2.4867928,35.170063,-136.21176,101.04169,14.392777,394.47287,251.26978,660.13544,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00082000002,0.42896897,36.030022,15.455761,0.42896897,-2.9632778,2.5343089,36.030022,-136.44803,100.418,15.455761,404.3334,254.49023,674.27942,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00083999999,0.4491187,36.888561,16.567343,0.4491187,-3.0302541,2.5811355,36.888561,-136.67889,99.790344,16.567343,414.17181,257.57239,688.31152,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00085999997,0.46967953,37.74564,17.728355,0.46967953,-3.0969539,2.6272743,37.74564,-136.90439,99.158745,17.728355,423.98654,260.51721,702.23212,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00088000001,0.49064794,38.601234,18.939615,0.49064794,-3.1633751,2.6727273,38.601234,-137.12447,98.523232,18.939615,433.77612,263.32571,716.04144,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00089999998,0.51202047,39.455299,20.20192,0.51202047,-3.2295167,2.7174964,39.455299,-137.33913,97.883827,20.20192,443.53903,265.99893,729.73987,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00092000002,0.53379351,40.307812,21.516048,0.53379351,-3.2953768,2.7615833,40.307812,-137.54837,97.240562,21.516048,453.27371,268.5379,743.32764,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00094,0.5559637,41.15873,22.882761,0.5559637,-3.3609538,2.8049901,41.15873,-137.75218,96.593452,22.882761,462.9787,270.94366,756.80511,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00095999998,0.57852751,42.008022,24.302797,0.57852751,-3.4262457,2.8477182,42.008022,-137.95056,95.942535,24.302797,472.65253,273.21732,770.17261,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00098000001,0.60148138,42.855659,25.776882,0.60148138,-3.4912515,2.88977,42.855659,-138.14348,95.287827,25.776882,482.29364,275.35992,783.43042,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.001,0.6248219,43.701603,27.305719,0.6248219,-3.5559692,2.9311471,43.701603,-138.33096,94.629356,27.305719,491.90063,277.37259,796.57892,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00102,0.64854556,44.545822,28.889994,0.64854556,-3.6203971,2.9718516,44.545822,-138.51297,93.967155,28.889994,501.47198,279.25644,809.61841,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00104,0.67264885,45.388279,30.530373,0.67264885,-3.6845338,3.0118852,45.388279,-138.68951,93.301239,30.530373,511.00623,281.0126,822.54919,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
0.00106,0.69712824,46.228947,32.227505,0.69712824,-3.7483778,3.0512495,46.228947,-138.8606,92.631638,32.227505,520.50195,282.64224,835.3717,5,-5,100,0,500,500,5,-5,-6.8301272,-1.830127,1.830127,6.8301272,100,0,-50,-86.602539,-50,86.602539,500,500,500,500,500,500,1500,1500,0,0,0,0,0,0,0,0,0,0,0,0
