"time","meanCurrent.x","meanVoltage.x","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanVoltage.y","pulse2.twoPulse.timerNegative[1].entryTime","pulse2.twoPulse.timerPositive[1].entryTime","rectifier.thyristor_n.off","rectifier.thyristor_p.off","rootMeanSquareVoltage.mean.y"
0.0060000000000000001,0.029092506116170848,0.58185012232341704,80.430369782156674,0,0,0,1.0231867071680773e-15,1,0,0
0.0061000000000000004,0.029828357167389925,0.59656714334779859,82.596295067902517,0,0,0,1.0231867071680773e-15,1,0,0
0.0062000000000000006,0.030555931530952839,0.6111186306190568,84.713773138868234,0,0,0,1.0231867071680773e-15,1,0,0
0.0063,0.031274511217248419,0.62549022434496837,86.779226303760097,0,0,0,1.0231867071680773e-15,1,0,0
0.0064000000000000003,0.03198338704076753,0.63966774081535072,88.789275200892135,0,0,0,1.0231867071680773e-15,1,0,0
0.0065000000000000006,0.032681859472759707,0.65363718945519433,90.740766782349567,0,0,0,1.0231867071680773e-15,1,0,0
0.0066,0.033369239157595876,0.66738478315191752,92.630770209064963,0,0,0,1.0231867071680773e-15,1,0,0
0.0067000000000000002,0.0340448477703005,0.68089695540600992,94.456605128351967,0,0,0,1.0231867071680773e-15,1,0,0
0.0068000000000000005,0.034708018528183657,0.69416037056367308,96.215837575030008,0,0,0,1.0231867071680773e-15,1,0,0
0.0069000000000000008,0.035358096993143372,0.70716193986286724,97.906302790741549,0,0,0,1.0231867071680773e-15,1,0,0
0.0070000000000000001,0.035994441582526113,0.71988883165052242,99.526101598758032,0,0,0,1.0231867071680773e-15,1,0,0
0.0071000000000000004,0.036616424336420782,0.73232848672841555,101.07361983074779,0,0,0,1.0231867071680773e-15,1,0,0
0.0072000000000000007,0.037223431399623599,0.74446862799247193,102.54752256321677,0,0,0,1.0231867071680773e-15,1,0,0
0.0073000000000000001,0.037814863770234741,0.75629727540469471,103.9467717904798,0,0,0,1.0231867071680773e-15,1,0,0
0.0074000000000000003,0.038390137762687813,0.76780275525375619,105.27061947014246,0,0,0,1.0231867071680773e-15,1,0,0
0.0075000000000000006,0.03894868566034268,0.7789737132068536,106.51861710909174,0,0,0,1.0231867071680773e-15,1,0,0
0.0076,0.039489956240304984,0.78979912480609948,107.69061427424093,0,0,0,1.0231867071680773e-15,1,0,0
0.0077000000000000002,0.040013415302439695,0.80026830604879362,108.78675860754949,0,0,0,1.0231867071680773e-15,1,0,0
0.0078000000000000005,0.040518546284645678,0.81037092569291336,109.80750144902284,0,0,0,1.0231867071680773e-15,1,0,0
0.0079000000000000008,0.041004850650443216,0.82009701300886406,110.75358735022795,0,0,0,1.0231867071680773e-15,1,0,0
0.0080000000000000002,0.041471848507897729,0.82943697015795415,111.62606014090056,0,0,0,1.0231867071680773e-15,1,0,0
0.0080999999999999996,0.041919078968296941,0.83838157936593827,112.42625063029391,0,0,0,1.0231867071680773e-15,1,0,0
0.0082000000000000007,0.042346100680354763,0.84692201360709496,113.15577702824379,0,0,0,1.0231867071680773e-15,1,0,0
0.0083000000000000001,0.042752492236075246,0.85504984472150458,113.81653611391327,0,0,0,1.0231867071680773e-15,1,0,0
0.0084000000000000012,0.043137852543039076,0.86275705086078114,114.41069358839736,0,0,0,1.0231867071680773e-15,1,0,0
0.0085000000000000006,0.043501801338461481,0.87003602676922931,114.94068218335129,0,0,0,1.0231867071680773e-15,1,0,0
0.0086,0.043843979408020539,0.87687958816041034,115.40918333141613,0,0,0,1.0231867071680773e-15,1,0,0
0.0087000000000000011,0.044164049096753873,0.88328098193507709,115.81912513660481,0,0,0,1.0231867071680773e-15,1,0,0
0.0088000000000000005,0.044461694511064173,0.88923389022128296,116.17366383398858,0,0,0,1.0231867071680773e-15,1,0,0
0.0088999999999999999,0.044736621920241235,0.89473243840482442,116.47617609293872,0,0,0,1.0231867071680773e-15,1,0,0
0.0090000000000000011,0.044988560017052336,0.89977120034104641,116.73024383032065,0,0,0,1.0231867071680773e-15,1,0,0
0.0091000000000000004,0.045217260130932128,0.90434520261864249,116.93963818577026,0,0,0,1.0231867071680773e-15,1,0,0
0.0091999999999999998,0.045422496612704887,0.90844993225409731,117.10831002219442,0,0,0,1.0231867071680773e-15,1,0,0
0.009300000000000001,0.045604066872136445,0.91208133744272857,117.24036727848011,0,0,0,1.0231867071680773e-15,1,0,0
0.0094000000000000004,0.045761791760377667,0.91523583520755303,117.34006541344384,0,0,0,1.0231867071680773e-15,1,0,0
0.0094999999999999998,0.045895515594608471,0.9179103118921691,117.4117853546426,0,0,0,1.0231867071680773e-15,1,0,0
0.0096000000000000009,0.046005106416009203,0.9201021283201839,117.46001976273573,0,0,0,1.0231867071680773e-15,1,0,0
0.0097000000000000003,0.046090456084343409,0.92180912168686802,117.48935376367957,0,0,0,1.0231867071680773e-15,1,0,0
0.0097999999999999997,0.046151480329115209,0.92302960658230393,117.50444616387919,0,0,0,1.0231867071680773e-15,1,0,0
0.0099000000000000008,0.046188118985766635,0.92376237971533248,117.51001374138527,0,0,0,1.0231867071680773e-15,1,0,0
0.01,0.046200335894685078,0.92400671789370159,117.51080970021698,0,0,0,1.0231867071680773e-15,1,0,0
0.01,0,0,0,4.6200335894685081,92.400671789370165,0,1.0231867071680773e-15,1,0,11751.080970021698
0.010000000000005,-1.2218088308001805e-18,-2.4436176641853004e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0,1.0231867071680773e-15,1,0,11751.080970021698
0.010000000000005,-1.2218088308001805e-18,-2.4436176641853004e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.010100000000000001,-1.2218084499728438e-18,-2.4436169025306276e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.010200000000000001,-1.2218084343874375e-18,-2.4436168713598151e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.0103,-1.2218084343874375e-18,-2.4436168713598151e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.010400000000000001,-1.2218084343874375e-18,-2.4436168713598151e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.010500000000000001,-1.2218182464171001e-18,-2.4436364954191402e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.0106,-1.2218290884388252e-18,-2.4436581794625901e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.010700000000000001,-1.22183993046055e-18,-2.4436798635060399e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.010800000000000001,-1.2218507724822748e-18,-2.4437015475494894e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.0109,-1.2218528433084204e-18,-2.4437056892017806e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.011000000000000001,-1.2218528433084204e-18,-2.4437056892017806e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.0111,-1.2218528433084204e-18,-2.4437056892017806e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.0112,-1.2218528433084204e-18,-2.4437056892017806e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.011300000000000001,-1.2218528433084204e-18,-2.4437056892017806e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.0114,-1.2218528433084204e-18,-2.4437056892017806e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.0115,-1.2218528433084204e-18,-2.4437056892017806e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
0.011600000000000001,-1.2218528433084204e-18,-2.4437056892017806e-17,1.1942371949237747e-19,4.6200335894685081,92.400671789370165,0.010000000000005,1.0231867071680773e-15,1,1,11751.080970021698
