"Time","smee.is[1]","smee.is[2]","smee.inertiaRotor.phi","smee.inertiaRotor.w","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.excitation.electroMagneticConverter.Phi.re"
2.0037,-1.7596722,1.4831047,300.60446,157.70625,0.17872497,0.41318357,-0.45015922,8.8316971e-05,-0.46170142
2.0037999,-1.8710594,1.5167546,300.62024,157.7226,0.16565445,0.41859731,-0.45015931,9.5748197e-05,-0.46170148
2.0039001,-1.9843917,1.546109,300.63602,157.73889,0.15242004,0.42359793,-0.4501594,0.00010354528,-0.46170154
2.0039999,-2.0993752,1.5708258,300.65176,157.75514,0.13903481,0.42818049,-0.45015952,0.00011171525,-0.4617016
2.0041001,-2.2157137,1.5906116,300.66754,157.77133,0.12551193,0.43234038,-0.45015964,0.00012026491,-0.46170169
2.0042,-2.3330965,1.6051016,300.68332,157.78749,0.11186476,0.43607354,-0.45015976,0.00012920084,-0.46170178
2.0043001,-2.4511957,1.6139765,300.6991,157.8036,0.098106757,0.43937624,-0.45015991,0.00013852966,-0.46170187
2.0044,-2.5696568,1.6169354,300.7149,157.81966,0.084251471,0.44224522,-0.45016006,0.00014825808,-0.46170196
2.0044999,-2.6881578,1.6136788,300.73068,157.83566,0.070312582,0.44467759,-0.45016024,0.00015839231,-0.46170208
2.0046,-2.8063426,1.6039182,300.74646,157.85162,0.056303855,0.44667098,-0.45016038,0.00016893868,-0.4617022
2.0046999,-2.9238107,1.5873672,300.76224,157.86752,0.042239085,0.44822335,-0.45016059,0.00017990365,-0.46170232
2.0048001,-3.0402045,1.5637454,300.77805,157.88338,0.028132163,0.44933316,-0.45016077,0.00019129345,-0.46170247
2.0049,-3.1551354,1.5327849,300.79382,157.89917,0.013997006,0.4499993,-0.45016101,0.00020311428,-0.46170262
2.0050001,-3.2681885,1.4942607,300.8096,157.91492,-0.0001524465,0.45022109,-0.45016122,0.00021537214,-0.46170276
2.0051,-3.3789611,1.4478965,300.82541,157.93062,-0.014302231,0.44999826,-0.45016149,0.00022807324,-0.46170291
2.0051999,-3.4870358,1.3934494,300.84119,157.94626,-0.028438389,0.44933107,-0.45016173,0.00024122362,-0.46170309
2.0053,-3.5919957,1.3307643,300.85699,157.96184,-0.042546969,0.4482201,-0.45016202,0.00025482898,-0.4617033
2.0053999,-3.6934116,1.259598,300.8728,157.97736,-0.056614053,0.44666645,-0.45016232,0.00026889521,-0.46170348
2.0055001,-3.7908525,1.1797537,300.88858,157.99283,-0.070625752,0.4446716,-0.45016265,0.00028342806,-0.46170372
2.0056,-3.8838954,1.0911278,300.90439,158.00822,-0.084568247,0.44223753,-0.45016298,0.00029843318,-0.46170393
2.0057001,-3.9721065,0.99354029,300.9202,158.02357,-0.098427765,0.43936658,-0.45016333,0.0003139161,-0.46170416
2.0058,-4.0550556,0.88685435,300.936,158.03886,-0.11219063,0.43606159,-0.45016372,0.00032988228,-0.46170443
2.0058999,-4.1323166,0.77101374,300.95181,158.05409,-0.12584326,0.43232578,-0.45016411,0.00034633724,-0.4617047
2.006,-4.2034612,0.64590693,300.96759,158.06926,-0.13937217,0.42816281,-0.45016453,0.00036328629,-0.461705
2.0060999,-4.2680659,0.51145589,300.9834,158.08437,-0.15276401,0.42357677,-0.45016497,0.00038073471,-0.4617053
2.0062001,-4.325716,0.36766806,300.99921,158.09941,-0.16600552,0.41857216,-0.45016545,0.00039868781,-0.46170563
2.0063,-4.3759928,0.21449247,301.01505,158.1144,-0.17908368,0.41315386,-0.45016596,0.00041715079,-0.46170595
2.0064001,-4.4184823,0.051907435,301.03085,158.12932,-0.19198553,0.40732723,-0.45016646,0.00043612882,-0.46170631
2.0065,-4.4527993,-0.12000241,301.04666,158.14417,-0.20469834,0.40109801,-0.45016703,0.00045562693,-0.4617067
2.0065999,-4.478539,-0.30122837,301.06247,158.15895,-0.21720956,0.39447224,-0.4501676,0.00047565022,-0.46170712
2.0067,-4.4953079,-0.49172789,301.07828,158.17368,-0.22950682,0.38745654,-0.45016822,0.00049620372,-0.46170753
2.0067999,-4.5027547,-0.69134867,301.09412,158.18832,-0.24157798,0.38005772,-0.45016885,0.00051729236,-0.46170795
2.0069001,-4.5005059,-0.90000558,301.10992,158.20291,-0.25341108,0.37228313,-0.45016953,0.00053892098,-0.46170843
2.007,-4.4881983,-1.1175869,301.12576,158.21744,-0.26499447,0.36414036,-0.45017025,0.00056109449,-0.4617089
2.0071001,-4.4655194,-1.3438798,301.14157,158.23189,-0.2763167,0.35563743,-0.45017096,0.00058381766,-0.46170941
2.0072,-4.4321384,-1.5787154,301.15741,158.24628,-0.28736654,0.34678274,-0.45017174,0.00060709525,-0.46170995
2.0072999,-4.3877354,-1.8219109,301.17322,158.26059,-0.29813311,0.337585,-0.45017254,0.00063093193,-0.46171051
2.0074,-4.3320403,-2.0731931,301.18906,158.27483,-0.3086057,0.32805324,-0.45017338,0.00065533241,-0.46171111
2.0074999,-4.2647777,-2.3323107,301.20486,158.289,-0.31877401,0.31819686,-0.45017427,0.00068030122,-0.4617117
2.0076001,-4.1856751,-2.5990124,301.2207,158.3031,-0.32862797,0.30802557,-0.45017517,0.00070584298,-0.46171233
2.0077,-4.0945168,-2.8729627,301.23654,158.31714,-0.33815783,0.29754937,-0.45017612,0.00073196221,-0.46171302
2.0078001,-3.9910872,-3.1538324,301.25238,158.3311,-0.34735417,0.28677857,-0.45017713,0.00075866334,-0.4617137
2.0079,-3.8751705,-3.4413037,301.26819,158.34499,-0.35620788,0.27572381,-0.45017815,0.00078595086,-0.46171442
2.0079999,-3.7466087,-3.7349811,301.28403,158.3588,-0.36471018,0.26439598,-0.45017922,0.00081382907,-0.46171516
2.0081,-3.6052577,-4.0344605,301.29987,158.37253,-0.37285265,0.25280622,-0.45018035,0.00084230246,-0.46171597
2.0081999,-3.4509628,-4.3393602,301.3157,158.38618,-0.38062727,0.24096598,-0.45018151,0.0008713752,-0.46171677
2.0083001,-3.2836313,-4.6492286,301.33154,158.39978,-0.3880263,0.2288869,-0.45018271,0.00090105168,-0.46171761
2.0084,-3.1031952,-4.9635911,301.34738,158.41328,-0.39504242,0.2165809,-0.45018396,0.00093133602,-0.4617185
2.0085001,-2.9095685,-5.2820058,301.36322,158.42671,-0.4016687,0.20406011,-0.45018524,0.00096223253,-0.46171942
2.0086,-2.702728,-5.6039681,301.37909,158.44008,-0.40789855,0.19133686,-0.45018658,0.00099374529,-0.46172035
2.0086999,-2.4826875,-5.9289417,301.39493,158.45335,-0.41372576,0.17842372,-0.45018795,0.0010258784,-0.46172133
2.0088,-2.2494347,-6.2564282,301.41077,158.46655,-0.41914457,0.16533341,-0.45018941,0.0010586359,-0.46172234
2.0088999,-2.0030198,-6.585876,301.42661,158.47968,-0.42414963,0.15207882,-0.45019087,0.0010920219,-0.46172342
2.0090001,-1.7435417,-6.9166942,301.44247,158.49272,-0.42873594,0.13867305,-0.45019242,0.0011260404,-0.46172449
2.0091,-1.471066,-7.2483358,301.45831,158.50568,-0.43289894,0.12512931,-0.450194,0.0011606952,-0.46172562
2.0092001,-1.1857182,-7.5802083,301.47415,158.51855,-0.43663448,0.11146097,-0.45019561,0.0011959904,-0.46172678
2.0093,-0.88768536,-7.911675,301.49002,158.53136,-0.43993884,0.0976815,-0.45019731,0.0012319298,-0.46172798
2.0093999,-0.5771125,-8.2421474,301.50586,158.54408,-0.44280878,0.083804503,-0.45019904,0.0012685171,-0.46172923
2.0095,-0.25420222,-8.571002,301.52173,158.55672,-0.44524136,0.069843665,-0.45020083,0.0013057563,-0.46173051
2.0095999,0.0807693,-8.8975639,301.53757,158.56927,-0.44723415,0.055812765,-0.45020267,0.001343651,-0.46173185
2.0097001,0.42757681,-9.2212133,301.55344,158.58174,-0.44878519,0.04172565,-0.45020458,0.0013822049,-0.46173319
2.0098,0.78593999,-9.5413008,301.56931,158.59413,-0.44989288,0.027596226,-0.45020652,0.0014214218,-0.46173462
2.0099001,1.1554949,-9.8571291,301.58514,158.60645,-0.45055613,0.013438434,-0.45020854,0.0014613052,-0.46173605
2.01,1.535936,-10.168054,301.60101,158.61867,-0.45077419,-0.00073374738,-0.4502106,0.0015018587,-0.46173754
2.0100999,1.9269061,-10.473409,301.61688,158.6308,-0.45054686,-0.014906326,-0.45021272,0.0015430859,-0.46173909
2.0102,2.3279562,-10.772485,301.63275,158.64285,-0.44987428,-0.029065313,-0.45021489,0.0015849902,-0.46174067
2.0102999,2.7387018,-11.064624,301.64862,158.65482,-0.44875714,-0.043196727,-0.45021713,0.001627575,-0.46174228
2.0104001,3.1587117,-11.349154,301.66449,158.6667,-0.44719645,-0.057286609,-0.45021942,0.0016708439,-0.46174395
2.0105,3.5874553,-11.625364,301.68036,158.67848,-0.44519377,-0.071321048,-0.45022178,0.0017148003,-0.46174568
2.0106001,4.0244727,-11.892595,301.69623,158.69019,-0.44275096,-0.085286185,-0.45022419,0.0017594472,-0.46174744
2.0107,4.4692616,-12.150179,301.7121,158.70181,-0.43987051,-0.099168219,-0.45022669,0.001804788,-0.46174926
2.0107999,4.921216,-12.397416,301.72797,158.71333,-0.43655509,-0.11295344,-0.45022923,0.0018508261,-0.4617511
2.0109,5.3798046,-12.633654,301.74384,158.72478,-0.43280804,-0.12662823,-0.45023182,0.0018975645,-0.46175301
2.0109999,5.84446,-12.85824,301.7597,158.73613,-0.428633,-0.14017908,-0.45023447,0.0019450063,-0.46175495
2.0111001,6.3145061,-13.070499,301.77557,158.74739,-0.42403406,-0.15359259,-0.45023718,0.0019931546,-0.46175697
2.0112,6.7893476,-13.269798,301.79144,158.75856,-0.41901568,-0.1668555,-0.45023999,0.0020420128,-0.461759
2.0113001,7.2683544,-13.45551,301.80731,158.76964,-0.41358283,-0.17995472,-0.45024282,0.0020915831,-0.46176112
2.0114,7.7507958,-13.626995,301.82321,158.78064,-0.40774083,-0.19287729,-0.45024574,0.0021418692,-0.46176326
2.0114999,8.2360125,-13.78365,301.83908,158.79153,-0.4014954,-0.20561044,-0.45024872,0.0021928735,-0.46176547
2.0116,8.72332,-13.924886,301.85495,158.80234,-0.39485267,-0.21814159,-0.45025173,0.0022445989,-0.4617677
2.0116999,9.2119474,-14.05011,301.87085,158.81306,-0.3878192,-0.23045832,-0.45025483,0.0022970485,-0.46177
2.0118001,9.7011738,-14.158761,301.88672,158.82368,-0.38040185,-0.24254845,-0.45025802,0.0023502246,-0.46177235
2.0118999,10.190273,-14.250295,301.90262,158.83421,-0.37260795,-0.25440007,-0.45026124,0.0024041301,-0.46177477
2.0120001,10.67844,-14.32418,301.91849,158.84465,-0.36444515,-0.2660014,-0.45026451,0.0024587673,-0.46177724
2.0121,11.164906,-14.379906,301.93439,158.855,-0.35592148,-0.27734098,-0.45026788,0.0025141391,-0.46177974
2.0122001,11.64891,-14.416986,301.95026,158.86525,-0.34704533,-0.28840762,-0.45027131,0.0025702477,-0.46178231
2.0123,12.129622,-14.434957,301.96616,158.87541,-0.33782542,-0.29919031,-0.4502748,0.0026270959,-0.4617849
2.0123999,12.606238,-14.433373,301.98203,158.88547,-0.32827085,-0.30967844,-0.45027834,0.0026846859,-0.46178758
2.0125,13.077973,-14.411816,301.99792,158.89543,-0.318391,-0.31986159,-0.45028195,0.0027430197,-0.46179029
2.0125999,13.543985,-14.369892,302.01382,158.9053,-0.30819562,-0.32972968,-0.45028561,0.0028021,-0.46179307
2.0127001,14.003446,-14.307238,302.02969,158.91508,-0.29769474,-0.33927292,-0.45028937,0.0028619287,-0.4617959
2.0128,14.455553,-14.223507,302.04559,158.92476,-0.2868987,-0.34848189,-0.45029318,0.0029225082,-0.46179876
2.0129001,14.899466,-14.11839,302.06149,158.93434,-0.27581814,-0.35734749,-0.45029706,0.0029838402,-0.46180171
2.013,15.334343,-13.991609,302.07739,158.94383,-0.26446396,-0.36586085,-0.45030099,0.0030459268,-0.46180469
2.0130999,15.759384,-13.842899,302.09329,158.95323,-0.25284737,-0.3740136,-0.45030499,0.0031087701,-0.46180773
2.0132,16.173754,-13.672042,302.10916,158.96252,-0.24097984,-0.38179764,-0.45030904,0.003172372,-0.46181083
2.0132999,16.576612,-13.478853,302.12506,158.97173,-0.22887303,-0.38920525,-0.45031318,0.0032367341,-0.46181396
2.0134001,16.967173,-13.263159,302.14096,158.98082,-0.21653888,-0.39622906,-0.45031735,0.0033018582,-0.46181718
2.0135,17.344618,-13.024834,302.15686,158.98982,-0.20398957,-0.40286213,-0.45032161,0.003367746,-0.46182042
2.0136001,17.708126,-12.763795,302.17276,158.99872,-0.19123743,-0.40909785,-0.45032594,0.0034343989,-0.46182373
2.0137,18.056931,-12.479965,302.18866,159.00752,-0.17829511,-0.41493005,-0.45033032,0.0035018187,-0.4618271
2.0137999,18.390244,-12.173317,302.20456,159.01624,-0.1651753,-0.42035294,-0.45033476,0.0035700067,-0.4618305
2.0139,18.707279,-11.843876,302.22046,159.02484,-0.15189099,-0.42536107,-0.45033926,0.0036389644,-0.46183398
2.0139999,19.007299,-11.491664,302.23636,159.03336,-0.13845527,-0.42994952,-0.45034382,0.003708693,-0.4618375
2.0141001,19.289562,-11.116755,302.25229,159.04176,-0.12488139,-0.43411368,-0.45034844,0.0037791936,-0.46184108
2.0142,19.553326,-10.719287,302.26819,159.05006,-0.11118276,-0.43784943,-0.45035315,0.0038504677,-0.46184468
2.0143001,19.797895,-10.299383,302.28409,159.05827,-0.097372875,-0.44115302,-0.45035788,0.003922516,-0.46184838
2.0144,20.022583,-9.8572216,302.29999,159.06639,-0.083465382,-0.44402117,-0.45036268,0.0039953403,-0.4618521
2.0144999,20.226704,-9.3930531,302.31589,159.0744,-0.069473997,-0.44645098,-0.45036757,0.0040689404,-0.46185589
2.0146,20.409622,-8.9071064,302.33182,159.08231,-0.055412535,-0.44844002,-0.45037249,0.0041433177,-0.46185973
2.0146999,20.570713,-8.3996639,302.34772,159.09012,-0.041294884,-0.44998631,-0.45037746,0.0042184731,-0.46186364
2.0148001,20.70936,-7.871089,302.36362,159.09782,-0.02713497,-0.45108825,-0.4503825,0.0042944076,-0.46186757
2.0149,20.824995,-7.3217154,302.37955,159.10542,-0.012946781,-0.45174474,-0.4503876,0.0043711211,-0.46187156
2.0150001,20.917068,-6.7519288,302.39545,159.11293,0.0012556709,-0.45195508,-0.45039275,0.0044486141,-0.46187562
2.0151,20.985044,-6.1622047,302.41135,159.12035,0.015458365,-0.45171902,-0.45039797,0.004526888,-0.4618797
2.0151999,21.028433,-5.5529809,302.42728,159.12766,0.02964727,-0.45103672,-0.45040324,0.0046059424,-0.46188387
2.0153,21.046766,-4.9247427,302.44318,159.13486,0.043808375,-0.44990888,-0.45040855,0.0046857777,-0.46188807
2.0153999,21.039602,-4.2780762,302.45911,159.14195,0.057927683,-0.44833654,-0.45041394,0.0047663948,-0.46189231
2.0155001,21.006538,-3.6135187,302.47501,159.14896,0.071991257,-0.44632122,-0.45041937,0.0048477929,-0.4618966
2.0156,20.947195,-2.931653,302.49094,159.15585,0.085985191,-0.44386485,-0.45042485,0.0049299728,-0.46190095
2.0157001,20.861233,-2.2331696,302.50684,159.16264,0.099895664,-0.44096982,-0.45043036,0.0050129341,-0.46190536
2.0158,20.748343,-1.5187017,302.52277,159.16934,0.11370893,-0.43763897,-0.45043597,0.0050966768,-0.4619098
2.0158999,20.608248,-0.78892463,302.53867,159.17593,0.12741134,-0.43387556,-0.45044157,0.0051812003,-0.4619143
2.016,20.440714,-0.044626556,302.5546,159.18243,0.14098933,-0.42968324,-0.45044726,0.0052665053,-0.46191883
2.0160999,20.245537,0.71346879,302.57053,159.18883,0.1544295,-0.42506611,-0.45045298,0.0053525907,-0.46192342
2.0162001,20.022543,1.484597,302.58643,159.19511,0.16771856,-0.42002872,-0.45045877,0.0054394566,-0.46192804
2.0163,19.771616,2.2678905,302.60236,159.20129,0.18084337,-0.41457599,-0.45046458,0.0055271019,-0.46193272
2.0164001,19.492657,3.0625312,302.61829,159.20738,0.19379094,-0.40871325,-0.45047045,0.0056155263,-0.46193746
2.0165,19.185602,3.8676777,302.63419,159.21336,0.20654848,-0.4024463,-0.45047638,0.0057047294,-0.46194223
2.0165999,18.850454,4.6823912,302.65012,159.21925,0.21910338,-0.39578128,-0.45048234,0.00579471,-0.46194702
2.0167,18.48723,5.5057688,302.66605,159.22504,0.23144321,-0.38872468,-0.45048833,0.0058854674,-0.46195188
2.0167999,18.09598,6.3369002,302.68198,159.23071,0.24355575,-0.38128352,-0.45049438,0.0059770006,-0.4619568
2.0169001,17.676825,7.1747866,302.69788,159.23628,0.25542906,-0.37346506,-0.45050046,0.0060693091,-0.46196172
2.017,17.229902,8.0184498,302.71381,159.24176,0.26705134,-0.36527702,-0.45050657,0.0061623915,-0.46196672
2.0171001,16.755379,8.8669214,302.72974,159.24713,0.27841112,-0.35672742,-0.45051274,0.006256246,-0.46197173
2.0172,16.253492,9.7191515,302.74567,159.25241,0.28949714,-0.34782469,-0.45051894,0.0063508726,-0.4619768
2.0172999,15.724506,10.5741,302.7616,159.25758,0.30029845,-0.3385776,-0.45052516,0.0064462689,-0.46198189
2.0174,15.168702,11.43075,302.7775,159.26265,0.31080434,-0.32899526,-0.45053145,0.006542434,-0.46198705
2.0174999,14.586435,12.288013,302.79343,159.26762,0.32100439,-0.31908709,-0.45053774,0.0066393665,-0.46199223
2.0176001,13.978093,13.144801,302.80936,159.27249,0.33088854,-0.30886281,-0.45054409,0.0067370641,-0.46199745
2.0177,13.344075,14.00006,302.82529,159.27725,0.34044698,-0.29833257,-0.45055047,0.0068355259,-0.46200272
2.0178001,12.684849,14.852675,302.84122,159.28192,0.34967023,-0.2875067,-0.45055687,0.0069347499,-0.462008
2.0179,12.000927,15.701521,302.85715,159.28648,0.35854918,-0.27639583,-0.45056331,0.0070347344,-0.46201333
2.0179999,11.29282,16.545521,302.87308,159.29095,0.367075,-0.26501098,-0.45056978,0.0071354774,-0.4620187
2.0181,10.56111,17.383547,302.88901,159.29532,0.37523925,-0.25336334,-0.45057628,0.0072369766,-0.46202409
2.0181999,9.806428,18.214453,302.90494,159.29958,0.38303381,-0.24146438,-0.4505828,0.0073392307,-0.46202955
2.0183001,9.0293932,19.037149,302.92087,159.30374,0.39045101,-0.22932585,-0.45058933,0.0074422369,-0.462035
2.0184,8.2306948,19.85051,302.9368,159.30782,0.39748347,-0.2169597,-0.45059592,0.0075459932,-0.46204048
2.0185001,7.4110785,20.653381,302.95273,159.31177,0.40412417,-0.20437813,-0.4506025,0.0076504969,-0.46204603
2.0186,6.5712695,21.444675,302.96866,159.31564,0.41036656,-0.19159356,-0.45060912,0.0077557466,-0.4620516
2.0186999,5.7120547,22.22328,302.98459,159.31941,0.41620445,-0.17861858,-0.45061576,0.007861739,-0.46205717
2.0188,4.83429,22.98805,303.00052,159.32307,0.42163199,-0.165466,-0.45062244,0.0079684714,-0.46206281
2.0188999,3.9387965,23.737915,303.01645,159.32664,0.42664385,-0.15214878,-0.45062912,0.0080759423,-0.46206844
2.0190001,3.0264544,24.471788,303.03238,159.33011,0.43123499,-0.13868009,-0.45063582,0.008184148,-0.4620741
2.0191,2.0982201,25.188547,303.04831,159.33348,0.43540084,-0.12507319,-0.45064256,0.0082930857,-0.46207982
2.0192001,1.1550037,25.887156,303.06424,159.33676,0.43913728,-0.11134152,-0.45064929,0.0084027536,-0.46208555
2.0193,0.19776867,26.566559,303.0802,159.33994,0.44244057,-0.097498633,-0.45065603,0.0085131479,-0.4620913
2.0193999,-0.77243781,27.225681,303.09613,159.34302,0.44530743,-0.083558179,-0.45066279,0.0086242659,-0.46209705
2.0195,-1.7546258,27.863523,303.11206,159.34601,0.44773495,-0.069533929,-0.45066959,0.0087361047,-0.46210286
2.0195999,-2.7477579,28.47909,303.12799,159.34889,0.44972077,-0.055439722,-0.45067638,0.0088486606,-0.46210867
2.0197001,-3.7507079,29.071354,303.14392,159.35168,0.4512628,-0.041289467,-0.45068318,0.0089619318,-0.46211451
2.0197999,-4.7624159,29.639374,303.15985,159.35437,0.45235956,-0.027097145,-0.45068997,0.0090759126,-0.46212038
2.0199001,-5.7817826,30.18222,303.17581,159.35696,0.45300987,-0.012876764,-0.4506968,0.0091906022,-0.46212626
2.02,-6.8076134,30.698933,303.19174,159.35947,0.4532131,0.0013576369,-0.45070362,0.0093059959,-0.46213216
2.0201001,-7.8387914,31.188643,303.20767,159.36188,0.45296896,0.015591999,-0.45071048,0.0094220908,-0.46213809
2.0202,-8.8741665,31.650492,303.2236,159.3642,0.45227772,0.029812263,-0.4507173,0.0095388824,-0.46214402
2.0202999,-9.9124899,32.083607,303.23953,159.36641,0.45113996,0.044004388,-0.45072415,0.0096563688,-0.46214995
2.0204,-10.9526,32.487194,303.25549,159.36853,0.44955683,0.058154352,-0.45073101,0.0097745443,-0.46215594
2.0204999,-11.993306,32.860493,303.27142,159.37057,0.44752982,0.072248176,-0.45073783,0.0098934071,-0.4621619
2.0206001,-13.033322,33.202713,303.28735,159.3725,0.44506091,0.086271949,-0.45074469,0.010012953,-0.46216789
2.0207,-14.071453,33.513165,303.30328,159.37434,0.44215247,0.1002118,-0.45075154,0.010133176,-0.46217391
2.0208001,-15.106482,33.791172,303.31921,159.3761,0.4388074,0.11405396,-0.4507584,0.010254075,-0.46217993
2.0209,-16.137104,34.036064,303.33517,159.37776,0.43502894,0.12778477,-0.45076525,0.010375645,-0.46218595
2.0209999,-17.162098,34.247246,303.3511,159.37933,0.43082076,0.14139064,-0.45077208,0.010497882,-0.462192
2.0211,-18.180235,34.424149,303.36703,159.38081,0.42618701,0.15485813,-0.45077893,0.010620782,-0.46219805
2.0211999,-19.19021,34.566223,303.38297,159.38219,0.42113224,0.16817392,-0.45078576,0.010744341,-0.4622041
2.0213001,-20.19079,34.672981,303.39893,159.38348,0.41566136,0.18132487,-0.45079258,0.010868554,-0.46221018
2.0214,-21.180746,34.743969,303.41486,159.38469,0.40977982,0.19429797,-0.45079941,0.010993418,-0.46221626
2.0215001,-22.158791,34.778767,303.43079,159.38582,0.40349334,0.20708039,-0.4508062,0.011118928,-0.46222234
2.0216,-23.123688,34.777,303.44675,159.38684,0.39680812,0.21965949,-0.450813,0.011245079,-0.46222842
