"Time","transformer.pin_n1.reference.gamma","transformer.pin_n2.reference.gamma","currentSensor.abs_i","currentSensor.arg_i"
0.0094999997,300014.25,300014.25,0.00049047387,-1.4718475
0.0096000005,303189,303189,0.00049041118,-1.4718598
0.0097000003,306364.06,306364.06,0.00049034844,-1.4718721
0.0098000001,309539.5,309539.5,0.00049028569,-1.4718843
0.0098999999,312715.25,312715.25,0.000490223,-1.4718965
0.0099999998,315891.38,315891.38,0.00049016025,-1.4719088
0.0101,319067.84,319067.84,0.00049009756,-1.4719211
0.0102,322244.69,322244.69,0.00049003481,-1.4719334
0.0103,325421.84,325421.84,0.00048997212,-1.4719455
0.0104,328599.38,328599.38,0.00048990943,-1.4719578
0.0105,331777.22,331777.22,0.00048984675,-1.4719701
0.0106,334955.44,334955.44,0.00048978406,-1.4719824
0.0107,338134,338134,0.00048972137,-1.4719945
0.0108,341312.94,341312.94,0.00048965868,-1.4720068
0.0109,344492.19,344492.19,0.00048959599,-1.4720191
0.011,347671.81,347671.81,0.0004895333,-1.4720314
0.0111,350851.78,350851.78,0.00048947067,-1.4720435
0.0112,354032.06,354032.06,0.00048940798,-1.4720558
0.0113,357212.75,357212.75,0.00048934529,-1.4720681
0.0114,360393.75,360393.75,0.00048928265,-1.4720802
0.0115,363575.12,363575.12,0.00048921996,-1.4720925
0.0116,366756.81,366756.81,0.00048915733,-1.4721048
0.0117,369938.88,369938.88,0.0004890947,-1.4721169
0.0118,373121.28,373121.28,0.00048903207,-1.4721292
0.0119,376304.06,376304.06,0.00048896944,-1.4721415
0.012,379487.16,379487.16,0.00048890675,-1.4721537
0.0121,382670.62,382670.62,0.00048884418,-1.4721659
0.0122,385854.44,385854.44,0.00048878154,-1.4721781
0.0123,389038.59,389038.59,0.00048871891,-1.4721904
0.0124,392223.09,392223.09,0.00048865628,-1.4722027
0.0125,395407.94,395407.94,0.00048859365,-1.4722148
0.0126,398593.16,398593.16,0.00048853108,-1.4722271
0.0127,401778.72,401778.72,0.00048846845,-1.4722393
0.0128,404964.62,404964.62,0.00048840587,-1.4722515
0.0129,408150.88,408150.88,0.00048834324,-1.4722637
0.013,411337.5,411337.5,0.00048828067,-1.472276
0.0131,414524.44,414524.44,0.00048821807,-1.4722881
0.0132,417711.75,417711.75,0.00048815549,-1.4723004
0.0133,420899.41,420899.41,0.00048809292,-1.4723126
0.0134,424087.41,424087.41,0.00048803035,-1.4723248
0.0135,427275.78,427275.78,0.00048796777,-1.472337
0.0136,430464.47,430464.47,0.0004879052,-1.4723493
0.0137,433653.53,433653.53,0.00048784263,-1.4723614
0.0138,436842.94,436842.94,0.00048778008,-1.4723737
0.0139,440032.72,440032.72,0.00048771751,-1.4723859
0.014,443222.81,443222.81,0.00048765496,-1.4723982
0.0141,446413.28,446413.28,0.00048759242,-1.4724103
0.0142,449604.09,449604.09,0.00048752988,-1.4724226
0.0143,452795.25,452795.25,0.00048746733,-1.4724348
0.0144,455986.78,455986.78,0.00048740479,-1.4724469
0.0145,459178.62,459178.62,0.00048734227,-1.4724592
0.0146,462370.84,462370.84,0.00048727973,-1.4724714
0.0147,465563.41,465563.41,0.00048721721,-1.4724836
0.0148,468756.31,468756.31,0.0004871547,-1.4724958
0.0149,471949.59,471949.59,0.00048709218,-1.472508
0.015,475143.22,475143.22,0.00048702967,-1.4725202
0.0151,478337.19,478337.19,0.00048696718,-1.4725324
0.0152,481531.5,481531.5,0.00048690467,-1.4725446
0.0153,484726.16,484726.16,0.00048684218,-1.4725568
0.0154,487921.19,487921.19,0.00048677967,-1.472569
0.0155,491116.56,491116.56,0.00048671718,-1.4725811
0.0156,494312.28,494312.28,0.0004866547,-1.4725934
0.015699999,497508.34,497508.34,0.00048659221,-1.4726056
0.015799999,500704.78,500704.78,0.00048652975,-1.4726177
0.015900001,503901.56,503901.56,0.00048646727,-1.4726299
0.016000001,507098.69,507098.69,0.00048640481,-1.4726422
0.016100001,510296.16,510296.16,0.00048634235,-1.4726543
0.0162,513494,513494,0.00048627987,-1.4726665
0.0163,516692.16,516692.16,0.00048621741,-1.4726787
0.0164,519890.69,519890.69,0.00048615498,-1.4726909
0.0165,523089.59,523089.59,0.00048609253,-1.4727031
0.0166,526288.81,526288.81,0.00048603007,-1.4727153
0.0167,529488.44,529488.44,0.00048596764,-1.4727274
0.016799999,532688.38,532688.38,0.00048590521,-1.4727397
0.016899999,535888.62,535888.62,0.00048584276,-1.4727519
0.017000001,539089.25,539089.25,0.00048578033,-1.472764
0.017100001,542290.25,542290.25,0.00048571793,-1.4727762
0.017200001,545491.62,545491.62,0.0004856555,-1.4727883
0.0173,548693.31,548693.31,0.00048559307,-1.4728005
0.0174,551895.38,551895.38,0.00048553068,-1.4728128
0.0175,555097.75,555097.75,0.00048546825,-1.4728249
0.0176,558300.5,558300.5,0.00048540585,-1.4728371
0.0177,561503.62,561503.62,0.00048534345,-1.4728492
0.0178,564707.06,564707.06,0.00048528105,-1.4728614
0.017899999,567910.88,567910.88,0.00048521868,-1.4728736
0.017999999,571115.06,571115.06,0.00048515628,-1.4728857
0.018100001,574319.56,574319.56,0.00048509391,-1.4728979
0.018200001,577524.44,577524.44,0.00048503152,-1.47291
0.018300001,580729.62,580729.62,0.00048496915,-1.4729222
0.0184,583935.19,583935.19,0.00048490678,-1.4729344
0.0185,587141.12,587141.12,0.00048484441,-1.4729465
0.0186,590347.38,590347.38,0.00048478204,-1.4729588
0.0187,593554,593554,0.0004847197,-1.472971
0.0188,596761,596761,0.00048465733,-1.4729831
0.0189,599968.31,599968.31,0.00048459499,-1.4729953
0.018999999,603176,603176,0.00048453265,-1.4730074
0.019099999,606384.06,606384.06,0.00048447031,-1.4730196
0.019200001,609592.44,609592.44,0.00048440797,-1.4730318
0.019300001,612801.19,612801.19,0.00048434563,-1.4730438
0.019400001,616010.25,616010.25,0.00048428329,-1.473056
0.0195,619219.69,619219.69,0.00048422097,-1.4730681
0.0196,622429.5,622429.5,0.00048415866,-1.4730803
0.0197,625639.62,625639.62,0.00048409632,-1.4730924
0.0198,628850.19,628850.19,0.00048403401,-1.4731046
0.0199,632061,632061,0.0004839717,-1.4731168
0.02,635272.25,635272.25,0.00048390939,-1.4731289
0.020099999,638483.81,638483.81,0.00048384711,-1.4731411
0.020199999,641695.69,641695.69,0.0004837848,-1.4731532
0.020300001,644907.94,644907.94,0.00048372251,-1.4731654
0.020400001,648120.56,648120.56,0.00048366023,-1.4731776
0.020500001,651333.56,651333.56,0.00048359795,-1.4731896
0.0206,654546.88,654546.88,0.00048353567,-1.4732018
0.0207,657760.56,657760.56,0.00048347338,-1.4732139
0.0208,660974.56,660974.56,0.0004834111,-1.4732261
0.0209,664189,664189,0.00048334882,-1.4732382
0.021,667403.69,667403.69,0.00048328657,-1.4732504
0.0211,670618.81,670618.81,0.00048322431,-1.4732624
0.021199999,673834.25,673834.25,0.00048316206,-1.4732746
0.021299999,677050.06,677050.06,0.00048309981,-1.4732867
0.021400001,680266.19,680266.19,0.00048303755,-1.4732989
0.021500001,683482.69,683482.69,0.0004829753,-1.4733111
0.021600001,686699.56,686699.56,0.00048291305,-1.4733231
0.0217,689916.75,689916.75,0.00048285082,-1.4733353
0.0218,693134.31,693134.31,0.0004827886,-1.4733474
0.0219,696352.25,696352.25,0.00048272635,-1.4733596
0.022,699570.5,699570.5,0.00048266412,-1.4733716
0.0221,702789.12,702789.12,0.00048260193,-1.4733838
0.0222,706008.12,706008.12,0.0004825397,-1.4733959
0.022299999,709227.44,709227.44,0.00048247748,-1.4734081
0.022399999,712447.12,712447.12,0.00048241529,-1.4734201
0.022500001,715667.19,715667.19,0.00048235306,-1.4734323
0.022600001,718887.56,718887.56,0.00048229087,-1.4734445
0.022700001,722108.31,722108.31,0.00048222867,-1.4734565
0.0228,725329.44,725329.44,0.00048216648,-1.4734687
0.0229,728550.88,728550.88,0.00048210428,-1.4734808
0.023,731772.69,731772.69,0.00048204212,-1.4734929
0.0231,734994.88,734994.88,0.00048197992,-1.473505
0.0232,738217.38,738217.38,0.00048191776,-1.4735171
0.0233,741440.25,741440.25,0.00048185559,-1.4735292
0.023399999,744663.5,744663.5,0.0004817934,-1.4735414
0.023499999,747887.06,747887.06,0.00048173123,-1.4735534
0.023600001,751111,751111,0.00048166909,-1.4735656
0.023700001,754335.25,754335.25,0.00048160693,-1.4735776
0.023800001,757559.94,757559.94,0.00048154476,-1.4735898
0.0239,760784.94,760784.94,0.00048148262,-1.4736019
0.024,764010.25,764010.25,0.00048142049,-1.473614
0.0241,767235.94,767235.94,0.00048135835,-1.4736261
0.0242,770462,770462,0.00048129621,-1.4736382
0.0243,773688.44,773688.44,0.00048123408,-1.4736503
0.0244,776915.19,776915.19,0.00048117194,-1.4736624
0.024499999,780142.31,780142.31,0.0004811098,-1.4736745
0.024599999,783369.81,783369.81,0.0004810477,-1.4736866
0.024700001,786597.62,786597.62,0.00048098559,-1.4736987
0.024800001,789825.81,789825.81,0.00048092345,-1.4737108
0.024900001,793054.38,793054.38,0.00048086134,-1.4737229
0.025,796283.25,796283.25,0.00048079924,-1.473735
0.0251,799512.5,799512.5,0.00048073716,-1.4737471
0.0252,802742.12,802742.12,0.00048067505,-1.4737592
0.0253,805972.06,805972.06,0.00048061294,-1.4737713
0.0254,809202.38,809202.38,0.00048055087,-1.4737834
0.0255,812433.06,812433.06,0.00048048879,-1.4737954
0.025599999,815664.06,815664.06,0.00048042671,-1.4738076
0.025699999,818895.5,818895.5,0.00048036463,-1.4738196
0.025800001,822127.19,822127.19,0.00048030255,-1.4738318
0.025900001,825359.31,825359.31,0.00048024047,-1.4738438
0.026000001,828591.75,828591.75,0.00048017842,-1.4738559
0.0261,831824.56,831824.56,0.00048011634,-1.473868
0.0262,835057.69,835057.69,0.0004800543,-1.4738801
0.0263,838291.19,838291.19,0.00047999225,-1.4738921
0.0264,841525.06,841525.06,0.0004799302,-1.4739043
0.0265,844759.31,844759.31,0.00047986815,-1.4739163
0.0266,847993.88,847993.88,0.0004798061,-1.4739285
0.026699999,851228.81,851228.81,0.00047974408,-1.4739405
0.026799999,854464.12,854464.12,0.00047968203,-1.4739525
0.026900001,857699.75,857699.75,0.00047962001,-1.4739646
0.027000001,860935.75,860935.75,0.00047955799,-1.4739767
0.027100001,864172.06,864172.06,0.00047949597,-1.4739888
0.0272,867408.81,867408.81,0.00047943395,-1.4740008
0.0273,870645.88,870645.88,0.00047937193,-1.474013
0.0274,873883.31,873883.31,0.00047930991,-1.474025
0.0275,877121.06,877121.06,0.00047924792,-1.4740371
0.0276,880359.19,880359.19,0.0004791859,-1.4740491
0.0277,883597.69,883597.69,0.0004791239,-1.4740613
0.027799999,886836.5,886836.5,0.00047906191,-1.4740733
0.027899999,890075.75,890075.75,0.00047899992,-1.4740853
0.028000001,893315.31,893315.31,0.00047893793,-1.4740974
0.028100001,896555.19,896555.19,0.00047887594,-1.4741094
0.028200001,899795.44,899795.44,0.00047881398,-1.4741216
0.0283,903036.06,903036.06,0.00047875199,-1.4741336
0.0284,906277.06,906277.06,0.00047869002,-1.4741457
0.0285,909518.38,909518.38,0.00047862806,-1.4741577
0.0286,912760.12,912760.12,0.0004785661,-1.4741697
0.0287,916002.12,916002.12,0.00047850414,-1.4741818
0.0288,919244.56,919244.56,0.00047844218,-1.4741938
0.028899999,922487.31,922487.31,0.00047838021,-1.474206
0.028999999,925730.44,925730.44,0.00047831828,-1.474218
0.029100001,928973.88,928973.88,0.00047825635,-1.4742301
0.029200001,932217.75,932217.75,0.00047819439,-1.4742421
0.029300001,935461.94,935461.94,0.00047813245,-1.4742541
0.0294,938706.44,938706.44,0.00047807052,-1.4742662
0.0295,941951.38,941951.38,0.00047800859,-1.4742782
0.0296,945196.62,945196.62,0.00047794668,-1.4742903
0.0297,948442.25,948442.25,0.00047788475,-1.4743023
0.0298,951688.19,951688.19,0.00047782285,-1.4743143
0.029899999,954934.5,954934.5,0.00047776091,-1.4743264
0.029999999,958181.19,958181.19,0.00047769901,-1.4743384
0.030099999,961428.25,961428.25,0.00047763711,-1.4743505
0.030200001,964675.62,964675.62,0.0004775752,-1.4743625
0.030300001,967923.38,967923.38,0.00047751333,-1.4743745
0.030400001,971171.5,971171.5,0.00047745142,-1.4743866
0.0305,974419.94,974419.94,0.00047738955,-1.4743986
0.0306,977668.75,977668.75,0.00047732765,-1.4744107
0.0307,980917.94,980917.94,0.00047726577,-1.4744227
0.0308,984167.5,984167.5,0.0004772039,-1.4744347
0.0309,987417.38,987417.38,0.00047714202,-1.4744468
0.030999999,990667.62,990667.62,0.00047708015,-1.4744588
0.031099999,993918.25,993918.25,0.00047701827,-1.4744709
0.031199999,997169.19,997169.19,0.00047695643,-1.4744829
0.031300001,1000420.5,1000420.5,0.00047689455,-1.4744949
0.031399999,1003672.2,1003672.2,0.00047683271,-1.474507
0.031500001,1006924.2,1006924.2,0.00047677086,-1.474519
0.031599998,1010176.6,1010176.6,0.00047670901,-1.4745311
0.0317,1013429.4,1013429.4,0.00047664717,-1.4745431
0.031800002,1016682.5,1016682.5,0.00047658532,-1.474555
0.0319,1019935.9,1019935.9,0.00047652351,-1.4745671
0.032000002,1023189.8,1023189.8,0.00047646166,-1.4745791
0.032099999,1026444,1026444,0.00047639984,-1.4745911
0.032200001,1029698.5,1029698.5,0.000476338,-1.4746032
0.032299999,1032953.4,1032953.4,0.00047627618,-1.4746152
0.032400001,1036208.7,1036208.7,0.00047621437,-1.4746271
0.032499999,1039464.2,1039464.2,0.00047615258,-1.4746392
0.032600001,1042720.2,1042720.2,0.00047609076,-1.4746512
0.032699998,1045976.6,1045976.6,0.00047602894,-1.4746633
0.0328,1049233.2,1049233.2,0.00047596716,-1.4746753
0.032900002,1052490.2,1052490.2,0.00047590537,-1.4746872
0.033,1055747.8,1055747.8,0.00047584355,-1.4746993
0.033100002,1059005.5,1059005.5,0.00047578177,-1.4747113
0.033199999,1062263.6,1062263.6,0.00047571998,-1.4747233
0.033300001,1065522,1065522,0.00047565822,-1.4747353
0.033399999,1068780.9,1068780.9,0.00047559643,-1.4747473
0.033500001,1072040.1,1072040.1,0.00047553467,-1.4747593
0.033599999,1075299.6,1075299.6,0.00047547289,-1.4747714
0.0337,1078559.5,1078559.5,0.00047541113,-1.4747833
0.033799998,1081819.8,1081819.8,0.00047534937,-1.4747953
0.0339,1085080.4,1085080.4,0.00047528761,-1.4748074
0.034000002,1088341.4,1088341.4,0.00047522585,-1.4748193
0.0341,1091602.8,1091602.8,0.0004751641,-1.4748313
0.034200002,1094864.4,1094864.4,0.00047510237,-1.4748434
0.034299999,1098126.5,1098126.5,0.00047504061,-1.4748553
0.034400001,1101388.9,1101388.9,0.00047497888,-1.4748673
0.034499999,1104651.6,1104651.6,0.00047491715,-1.4748794
0.034600001,1107914.8,1107914.8,0.00047485542,-1.4748913
0.034699999,1111178.2,1111178.2,0.00047479369,-1.4749033
0.0348,1114442.1,1114442.1,0.00047473196,-1.4749153
0.034899998,1117706.4,1117706.4,0.00047467023,-1.4749273
0.035,1120970.9,1120970.9,0.00047460853,-1.4749393
0.035100002,1124235.9,1124235.9,0.0004745468,-1.4749513
0.0352,1127501.1,1127501.1,0.0004744851,-1.4749633
0.035300002,1130766.8,1130766.8,0.0004744234,-1.4749752
0.035399999,1134032.8,1134032.8,0.0004743617,-1.4749873
0.035500001,1137299.1,1137299.1,0.0004743,-1.4749992
0.035599999,1140565.9,1140565.9,0.0004742383,-1.4750112
0.035700001,1143832.9,1143832.9,0.0004741766,-1.4750233
0.035799999,1147100.4,1147100.4,0.00047411493,-1.4750352
0.0359,1150368.1,1150368.1,0.00047405326,-1.4750472
0.035999998,1153636.2,1153636.2,0.00047399156,-1.4750592
0.0361,1156904.8,1156904.8,0.00047392989,-1.4750712
0.036200002,1160173.6,1160173.6,0.00047386822,-1.4750831
0.0363,1163442.9,1163442.9,0.00047380655,-1.4750952
0.036400001,1166712.5,1166712.5,0.00047374491,-1.4751071
0.036499999,1169982.5,1169982.5,0.00047368323,-1.475119
0.036600001,1173252.8,1173252.8,0.00047362159,-1.475131
0.036699999,1176523.4,1176523.4,0.00047355992,-1.475143
0.036800001,1179794.5,1179794.5,0.00047349828,-1.475155
0.036899999,1183065.9,1183065.9,0.00047343664,-1.4751669
0.037,1186337.6,1186337.6,0.000473375,-1.475179
0.037099998,1189609.6,1189609.6,0.00047331335,-1.4751909
0.0372,1192882.1,1192882.1,0.00047325174,-1.4752028
0.037300002,1196155,1196155,0.0004731901,-1.4752148
0.0374,1199428.1,1199428.1,0.00047312849,-1.4752268
0.037500001,1202701.8,1202701.8,0.00047306684,-1.4752388
0.037599999,1205975.6,1205975.6,0.00047300523,-1.4752507
0.037700001,1209249.9,1209249.9,0.00047294362,-1.4752626
0.037799999,1212524.5,1212524.5,0.00047288201,-1.4752747
0.037900001,1215799.5,1215799.5,0.00047282042,-1.4752866
0.037999999,1219074.8,1219074.8,0.00047275881,-1.4752985
0.0381,1222350.5,1222350.5,0.0004726972,-1.4753106
0.038199998,1225626.6,1225626.6,0.00047263561,-1.4753225
0.0383,1228903,1228903,0.00047257403,-1.4753344
0.038400002,1232179.8,1232179.8,0.00047251245,-1.4753464
0.0385,1235456.9,1235456.9,0.00047245086,-1.4753584
0.038600001,1238734.4,1238734.4,0.00047238928,-1.4753703
0.038699999,1242012.2,1242012.2,0.00047232769,-1.4753822
0.038800001,1245290.5,1245290.5,0.00047226614,-1.4753942
0.038899999,1248569.1,1248569.1,0.00047220456,-1.4754062
0.039000001,1251848,1251848,0.000472143,-1.4754181
0.039099999,1255127.4,1255127.4,0.00047208142,-1.47543
0.0392,1258407,1258407,0.00047201986,-1.4754421
0.039299998,1261687,1261687,0.00047195831,-1.475454
0.0394,1264967.4,1264967.4,0.00047189678,-1.4754659
0.039500002,1268248.1,1268248.1,0.00047183523,-1.4754778
0.0396,1271529.2,1271529.2,0.00047177367,-1.4754899
0.039700001,1274810.8,1274810.8,0.00047171215,-1.4755018
0.039799999,1278092.5,1278092.5,0.00047165062,-1.4755137
0.039900001,1281374.8,1281374.8,0.00047158907,-1.4755256
0.039999999,1284657.2,1284657.2,0.00047152754,-1.4755375
0.040100001,1287940.2,1287940.2,0.00047146602,-1.4755495
0.040199999,1291223.5,1291223.5,0.00047140452,-1.4755614
0.0403,1294507.1,1294507.1,0.000471343,-1.4755734
0.040399998,1297791.1,1297791.1,0.00047128147,-1.4755853
0.0405,1301075.4,1301075.4,0.00047121997,-1.4755973
0.040600002,1304360.1,1304360.1,0.00047115848,-1.4756092
0.0407,1307645.2,1307645.2,0.00047109695,-1.4756211
0.040800001,1310930.6,1310930.6,0.00047103546,-1.475633
0.040899999,1314216.5,1314216.5,0.00047097399,-1.4756449
0.041000001,1317502.6,1317502.6,0.00047091249,-1.4756569
0.041099999,1320789.1,1320789.1,0.000470851,-1.4756688
0.041200001,1324076,1324076,0.00047078953,-1.4756807
0.041299999,1327363.2,1327363.2,0.00047072803,-1.4756926
0.0414,1330650.9,1330650.9,0.00047066656,-1.4757047
0.041499998,1333938.8,1333938.8,0.0004706051,-1.4757166
0.0416,1337227.1,1337227.1,0.00047054363,-1.4757285
0.041700002,1340515.8,1340515.8,0.00047048216,-1.4757404
0.0418,1343804.9,1343804.9,0.00047042069,-1.4757524
0.041900001,1347094.2,1347094.2,0.00047035923,-1.4757643
0.041999999,1350384,1350384,0.00047029779,-1.4757762
0.042100001,1353674.1,1353674.1,0.00047023635,-1.4757881
0.042199999,1356964.6,1356964.6,0.00047017488,-1.4758
0.042300001,1360255.5,1360255.5,0.00047011345,-1.4758118
0.042399999,1363546.8,1363546.8,0.00047005201,-1.4758238
0.0425,1366838.2,1366838.2,0.00046999057,-1.4758357
0.042599998,1370130.2,1370130.2,0.00046992913,-1.4758476
0.0427,1373422.5,1373422.5,0.00046986772,-1.4758595
0.042800002,1376715.1,1376715.1,0.00046980628,-1.4758714
0.0429,1380008.2,1380008.2,0.00046974487,-1.4758834
0.043000001,1383301.6,1383301.6,0.00046968347,-1.4758953
0.043099999,1386595.4,1386595.4,0.00046962206,-1.4759072
0.043200001,1389889.4,1389889.4,0.00046956065,-1.4759191
0.043299999,1393183.9,1393183.9,0.00046949924,-1.475931
0.043400001,1396478.8,1396478.8,0.00046943783,-1.4759429
0.043499999,1399773.9,1399773.9,0.00046937642,-1.4759548
0.0436,1403069.5,1403069.5,0.00046931504,-1.4759667
0.043699998,1406365.4,1406365.4,0.00046925366,-1.4759786
0.0438,1409661.6,1409661.6,0.00046919225,-1.4759905
0.043900002,1412958.4,1412958.4,0.00046913087,-1.4760025
0.044,1416255.4,1416255.4,0.00046906949,-1.4760143
0.044100001,1419552.8,1419552.8,0.00046900811,-1.4760262
0.044199999,1422850.4,1422850.4,0.00046894676,-1.4760381
0.044300001,1426148.5,1426148.5,0.00046888538,-1.47605
0.044399999,1429447,1429447,0.00046882403,-1.4760619
0.044500001,1432745.8,1432745.8,0.00046876265,-1.4760737
0.044599999,1436045,1436045,0.0004687013,-1.4760857
0.0447,1439344.5,1439344.5,0.00046863995,-1.4760976
0.044799998,1442644.4,1442644.4,0.0004685786,-1.4761095
0.0449,1445944.6,1445944.6,0.00046851725,-1.4761213
0.045000002,1449245.2,1449245.2,0.0004684559,-1.4761332
0.0451,1452546.2,1452546.2,0.00046839457,-1.4761451
0.045200001,1455847.6,1455847.6,0.00046833322,-1.4761571
0.045299999,1459149.4,1459149.4,0.0004682719,-1.4761689
0.045400001,1462451.4,1462451.4,0.00046821058,-1.4761808
0.045499999,1465753.9,1465753.9,0.00046814926,-1.4761927
0.045600001,1469056.6,1469056.6,0.00046808794,-1.4762045
0.045699999,1472359.9,1472359.9,0.00046802661,-1.4762164
0.0458,1475663.4,1475663.4,0.00046796529,-1.4762284
0.045899998,1478967.2,1478967.2,0.000467904,-1.4762402
0.046,1482271.5,1482271.5,0.00046784268,-1.4762521
0.046100002,1485576.1,1485576.1,0.00046778138,-1.476264
