"Time","pipe2.mediums[1].p","pipe2.mediums[1].T","pipe2.mediums[2].p","pipe2.mediums[2].T","pipe2.mediums[3].p","pipe2.mediums[3].T","pipe2.mediums[4].p","pipe2.mediums[4].T","pipe2.mediums[5].p","pipe2.mediums[5].T","pipe3.mediums[1].p","pipe3.mediums[1].T","pipe3.mediums[2].p","pipe3.mediums[2].T","pipe3.mediums[3].p","pipe3.mediums[3].T","pipe3.mediums[4].p","pipe3.mediums[4].T","pipe3.mediums[5].p","pipe3.mediums[5].T","pipe1.mediums[1].p","pipe1.mediums[1].T","pipe1.mediums[2].p","pipe1.mediums[2].T","pipe1.mediums[3].p","pipe1.mediums[3].T","pipe1.mediums[4].p","pipe1.mediums[4].T","pipe1.mediums[5].p","pipe1.mediums[5].T","pipe4.mediums[1].p","pipe4.mediums[1].T","pipe4.mediums[2].p","pipe4.mediums[2].T","pipe4.mediums[3].p","pipe4.mediums[3].T","pipe4.mediums[4].p","pipe4.mediums[4].T","pipe4.mediums[5].p","pipe4.mediums[5].T","junction1.medium.p","junction1.medium.T","junction1.mC_scaled[1]","junction1.mC_scaled[2]","junction2.medium.p","junction2.medium.T","junction2.mC_scaled[1]","junction2.mC_scaled[2]","pipe5.mediums[1].p","pipe5.mediums[1].T","pipe5.mediums[2].p","pipe5.mediums[2].T","pipe5.mediums[3].p","pipe5.mediums[3].T","pipe5.mediums[4].p","pipe5.mediums[4].T","pipe5.mediums[5].p","pipe5.mediums[5].T","pipe6.mediums[1].p","pipe6.mediums[1].T","pipe6.mediums[2].p","pipe6.mediums[2].T","pipe6.mediums[3].p","pipe6.mediums[3].T","pipe6.mediums[4].p","pipe6.mediums[4].T","pipe6.mediums[5].p","pipe6.mediums[5].T","pipe7.mediums[1].p","pipe7.mediums[1].T","pipe7.mediums[2].p","pipe7.mediums[2].T","pipe7.mediums[3].p","pipe7.mediums[3].T","pipe7.mediums[4].p","pipe7.mediums[4].T","pipe7.mediums[5].p","pipe7.mediums[5].T","pipe8.mediums[1].p","pipe8.mediums[1].T","pipe8.mediums[2].p","pipe8.mediums[2].T","pipe8.mediums[3].p","pipe8.mediums[3].T","pipe8.mediums[4].p","pipe8.mediums[4].T","pipe8.mediums[5].p","pipe8.mediums[5].T"
0.039999999,139674.5,318.60431,137860.67,335.64645,135928.19,343.56024,133929.02,347.21402,131886.77,348.88162,128040.88,313.11588,122318.2,314.03207,116346.38,315.0123,110088.12,316.04568,103495.34,317.11639,149071.75,280.00104,147203.72,280.00427,145312.09,280.00986,143396.06,280.01788,141454.7,280.02823,139526.95,282.64767,137631.61,283.51004,135716.86,284.62814,133783.45,286.07196,131832.56,287.92786,140470.89,281.98508,0,0,130849.16,312.27063,0,0,139950.39,317.38498,138162.56,334.80136,136245.28,342.94519,134252.05,346.76379,132207.8,348.55499,131165.75,307.18692,125512.48,307.41443,119609.71,307.70651,113422.13,308.06976,106904.97,308.50644,148191.2,280.00064,146360.36,280.00208,144506.66,280.00436,142629.25,280.00748,140727.22,280.01141,139796.56,280.0415,137923.47,280.0899,136025.7,280.17218,134102.55,280.32886,132153.39,280.64636
0.044,139762.08,318.30145,137958,335.43185,136032.23,343.39453,134036.97,347.08505,131996.03,348.784,128146.21,311.39679,122412.06,312.06732,116423.09,312.78448,110140.89,313.54056,103516.15,314.32462,149079.47,280.00076,147227.06,280.00317,145351.44,280.00729,143451.75,280.01337,141527.12,280.02161,139612.83,281.9675,137726.06,282.60391,135818.38,283.42615,133890.08,284.4845,131941.69,285.84122,140551.88,281.47696,0,0,130957.9,310.77789,0,0,139972.44,317.40652,138188.44,334.81546,136274.66,342.94,134284.19,346.74115,132241.62,348.52219,131199.8,306.90714,125546.57,307.0228,119641.43,307.17078,113448.16,307.35541,106920.86,307.57913,148195.08,280.00037,146368.17,280.00113,144518.5,280.00235,142645.2,280.00418,140747.34,280.00674,139818.5,280.02448,137948.83,280.05493,136054.25,280.10489,134133.91,280.1918,132186.94,280.35605
0.048,139826.88,318.08163,138030.06,335.27829,136109.39,343.27454,134117.09,346.98764,132077.16,348.70514,128224.39,310.14029,122481.77,310.63205,116480.09,311.15771,110180.14,311.71149,103531.65,312.28497,149085.19,280.00058,147244.34,280.00238,145380.55,280.00552,143492.98,280.01001,141580.73,280.01556,139676.41,281.4653,137795.98,281.93692,135893.58,282.54449,133969.09,283.32407,132022.64,284.32062,140611.8,281.10089,0,0,131038.59,309.68591,0,0,139984.28,317.41907,138202.34,334.82443,136290.45,342.93747,134301.45,346.72665,132259.73,348.49918,131217.95,306.76248,125564.6,306.8233,119658.12,306.89981,113461.8,306.9942,106929.2,307.10803,148197.16,280.00018,146372.38,280.00061,144524.88,280.00134,142653.77,280.00223,140758.14,280.00305,139830.28,280.01395,137962.42,280.03229,136069.53,280.06293,134150.64,280.11432,132204.81,280.20456
0.052000001,139874.64,317.92059,138083.2,335.16724,136166.31,343.18747,134176.28,346.91513,132137.09,348.64395,128282.14,309.21884,122533.27,309.58029,116522.21,309.96646,110209.17,310.37283,103543.12,310.79211,149089.41,280.00043,147257.09,280.0018,145402.03,280.0043,143523.39,280.00745,141620.27,280.01044,139723.28,281.09332,137847.58,281.44406,135949.05,281.89496,134027.39,282.47177,132082.41,283.20712,140655.98,280.82184,0,0,131098.19,308.88434,0,0,139990.53,317.42624,138209.69,334.82996,136298.8,342.9364,134310.58,346.7179,132269.3,348.48425,131227.48,306.68741,125574.02,306.72131,119666.79,306.7626,113468.88,306.81198,106933.51,306.87027,148198.25,280.00009,146374.59,280.0004,144528.23,280.00089,142658.3,280.00098,140763.86,280.00034,139836.5,280.0079,137969.61,280.01868,136077.59,280.03781,134159.47,280.07089,132214.2,280.12552
0.056000002,139909.77,317.80133,138122.27,335.08609,136208.16,343.12436,134219.8,346.86215,132181.19,348.59821,128324.62,308.53998,122571.16,308.80658,116553.21,309.09073,110230.53,309.38962,103551.56,309.69864,149092.5,280.00031,147266.47,280.00128,145417.83,280.00299,143545.73,280.00571,141649.33,280.00928,139757.77,280.81638,137885.52,281.07773,135989.86,281.41324,134070.3,281.84149,132126.36,282.38589,140688.48,280.61374,0,0,131142.03,308.29285,0,0,139993.83,317.42969,138213.55,334.8331,136303.17,342.9361,134315.38,346.71323,132274.31,348.47568,131232.48,306.64325,125578.91,306.66339,119671.26,306.6871,113472.48,306.71466,106935.69,306.74612,148198.83,280.00006,146375.77,280.00015,144530,280.0004,142660.67,280.00089,140766.86,280.00128,139839.78,280.00381,137973.39,280.01071,136081.84,280.02243,134164.11,280.04306,132219.14,280.07715
0.059999999,139935.62,317.7124,138151,335.02625,136238.94,343.07834,134251.81,346.82364,132213.64,348.56458,128355.88,308.03775,122599.05,308.23529,116576.02,308.44531,110246.25,308.66571,103557.77,308.89386,149094.78,280.00024,147273.38,280.00092,145429.47,280.00208,143562.22,280.00391,141670.75,280.00699,139783.16,280.60953,137913.47,280.8045,136019.92,281.05441,134101.88,281.37311,132158.73,281.77731,140712.42,280.4584,0,0,131174.31,307.85449,0,0,139995.59,317.43161,138215.61,334.83475,136305.52,342.93613,134317.94,346.71097,132277.03,348.47122,131235.2,306.61487,125581.55,306.62735,119673.64,306.64188,113474.39,306.65845,106936.83,306.67694,148199.14,280.00003,146376.39,280.00006,144530.95,280.00009,142661.97,280.00037,140768.48,280.00122,139841.56,280.00201,137975.47,280.00571,136084.17,280.0127,134166.66,280.02472,132221.84,280.04526
0.064000003,139954.73,317.64584,138172.22,334.98175,136261.66,343.04449,134275.44,346.7955,132237.59,348.53998,128378.97,307.66431,122619.63,307.81104,116592.84,307.96701,110257.84,308.13037,103562.36,308.29892,149096.47,280.00018,147278.48,280.0007,145438.06,280.00159,143574.39,280.00284,141686.56,280.00455,139801.92,280.45483,137934.11,280.60019,136042.12,280.78638,134125.22,281.02362,132182.62,281.32419,140730.11,280.34216,0,0,131198.14,307.52814,0,0,139996.62,317.43271,138216.83,334.83563,136306.91,342.93622,134319.45,346.70993,132278.64,348.46902,131236.83,306.59589,125583.13,306.60315,119675.07,306.61182,113475.53,306.6218,106937.51,306.63303,148199.33,280.00003,146376.77,280.00006,144531.52,280.00009,142662.72,280.00009,140769.44,280.00021,139842.61,280.00128,137976.69,280.0029,136085.55,280.00662,134168.17,280.01309,132223.45,280.02423
0.068000004,139968.89,317.59616,138187.95,334.94861,136278.48,343.01941,134292.94,346.77472,132255.34,348.52182,128396.08,307.38632,122634.88,307.49533,116605.32,307.6113,110266.43,307.73282,103565.75,307.85782,149097.72,280.00012,147282.27,280.00052,145444.44,280.00122,143583.41,280.00223,141698.3,280.00336,139815.84,280.33936,137949.42,280.44769,136058.59,280.58643,134142.52,280.76306,132200.34,280.98676,140743.22,280.25528,0,0,131215.8,307.2851,0,0,139997.27,317.43332,138217.56,334.83618,136307.73,342.93628,134320.39,346.70935,132279.62,348.46777,131237.83,306.58493,125584.12,306.58862,119675.98,306.59326,113476.26,306.59875,106937.94,306.6051,148199.44,280,146377,280.00003,144531.86,280.00009,142663.19,280.00009,140770.02,279.99997,139843.25,280.0007,137977.44,280.00159,136086.39,280.00336,134169.09,280.00674,132224.44,280.01242
0.071999997,139979.41,317.55914,138199.62,334.92398,136290.98,343.00079,134305.94,346.75931,132268.53,348.50833,128408.79,307.17957,122646.22,307.26062,116614.59,307.34674,110272.81,307.43707,103568.27,307.53012,149098.66,280.00009,147285.08,280.0004,145449.17,280.00089,143590.11,280.00168,141707,280.00272,139826.17,280.25323,137960.8,280.33408,136070.81,280.43753,134155.36,280.56918,132213.52,280.73578,140752.95,280.19052,0,0,131228.92,307.10428,0,0,139997.62,317.43369,138217.98,334.83652,136308.22,342.93631,134320.92,346.70898,132280.19,348.46701,131238.39,306.57965,125584.69,306.58148,119676.5,306.58371,113476.68,306.5864,106938.2,306.58957,148199.5,280,146377.12,280.00003,144532.06,280.00003,142663.44,280.00012,140770.36,280.00015,139843.61,280.00031,137977.86,280.00092,136086.88,280.00186,134169.62,280.00366,132225,280.00677
0.075999998,139987.22,317.53156,138208.3,334.9057,136300.27,342.98703,134315.59,346.74792,132278.31,348.49838,128418.23,307.02588,122654.64,307.08618,116621.48,307.15024,110277.56,307.21729,103570.15,307.2865,149099.34,280.00006,147287.16,280.00027,145452.69,280.00064,143595.09,280.00119,141713.47,280.00198,139833.84,280.18906,137969.25,280.24942,136079.91,280.32666,134164.91,280.42487,132223.28,280.54907,140760.19,280.14224,0,0,131238.66,306.96979,0,0,139997.81,317.4339,138218.2,334.8367,136308.47,342.93634,134321.19,346.7088,132280.47,348.46655,131238.67,306.57718,125584.96,306.57828,119676.75,306.5795,113476.88,306.58087,106938.32,306.5824,148199.53,280,146377.19,280,144532.16,280,142663.58,280.00003,140770.52,280.00012,139843.8,280.00018,137978.06,280.00049,136087.11,280.0011,134169.89,280.00214,132225.27,280.00403
0.079999998,139993.03,317.51096,138214.73,334.89206,136307.16,342.97681,134322.77,346.73953,132285.59,348.49103,128425.24,306.91144,122660.89,306.95642,116626.59,307.00415,110281.09,307.05405,103571.54,307.10544,149099.86,280.00006,147288.7,280.00021,145455.3,280.00049,143598.78,280.00089,141718.28,280.00137,139839.55,280.14117,137975.52,280.18625,136086.64,280.24393,134171.98,280.31726,132230.55,280.40997,140765.56,280.10623,0,0,131245.89,306.8696,0,0,139997.89,317.43399,138218.3,334.83679,136308.58,342.93637,134321.31,346.70871,132280.59,348.46634,131238.8,306.57565,125585.09,306.57642,119676.86,306.57727,113476.98,306.57819,106938.38,306.57916,148199.55,280,146377.22,280,144532.2,280,142663.64,280,140770.59,280,139843.88,280.00012,137978.16,280.00024,136087.22,280.00061,134170,280.00122,132225.41,280.00232
0.083999999,139997.34,317.49554,138219.53,334.88187,136312.28,342.96921,134328.09,346.73331,132291,348.48563,128430.45,306.82596,122665.54,306.85953,116630.38,306.89517,110283.7,306.93246,103572.57,306.97073,149100.23,280.00003,147289.86,280.00015,145457.23,280.00037,143601.53,280.00067,141721.86,280.00107,139843.78,280.10538,137980.19,280.13901,136091.67,280.18204,134177.27,280.23679,132235.94,280.306,140769.56,280.07928,0,0,131251.28,306.79474,0,0,139997.94,317.43402,138218.34,334.83685,136308.64,342.9364,134321.38,346.70868,132280.66,348.46625,131238.88,306.57449,125585.16,306.57492,119676.92,306.5755,113477.02,306.5762,106938.4,306.577,148199.55,280,146377.23,280,144532.23,280,142663.67,280.00003,140770.64,279.99997,139843.92,280.00006,137978.22,280.00012,136087.28,280.00024,134170.08,280.00055,132225.47,280.0011
0.088,140000.59,317.48389,138223.12,334.87415,136316.14,342.96347,134332.09,346.72864,132295.06,348.4816,128434.38,306.76154,122669.02,306.7865,116633.24,306.81311,110285.66,306.84097,103573.35,306.86945,149100.53,280.00003,147290.73,280.00012,145458.7,280.00027,143603.61,280.00055,141724.55,280.00082,139846.98,280.07837,137983.7,280.10336,136095.44,280.13538,134181.23,280.17609,132240,280.2276,140772.56,280.05896,0,0,131255.33,306.73828,0,0,139997.97,317.43405,138218.39,334.83685,136308.69,342.9364,134321.42,346.70871,132280.72,348.46625,131238.94,306.57343,125585.21,306.57352,119676.97,306.57382,113477.05,306.57437,106938.42,306.5751,148199.56,280,146377.25,280,144532.25,280.00003,142663.7,280.00006,140770.67,279.99997,139843.97,280,137978.27,280.00003,136087.33,279.99994,134170.12,279.99994,132225.53,279.99994
0.092,140003.05,317.47507,138225.86,334.86832,136319.05,342.95914,134335.12,346.72513,132298.14,348.47855,128437.34,306.71274,122671.67,306.73123,116635.4,306.75095,110287.16,306.77158,103573.94,306.7926,149100.75,280.00003,147291.39,280.00009,145459.81,280.00021,143605.17,280.0004,141726.58,280.00055,139849.39,280.05792,137986.36,280.07639,136098.3,280.10001,134184.23,280.1301,132243.08,280.16818,140774.84,280.04358,0,0,131258.39,306.69553,0,0,139998,317.43405,138218.42,334.83688,136308.72,342.93643,134321.45,346.70871,132280.77,348.46625,131238.97,306.57263,125585.26,306.57251,119677.01,306.5726,113477.09,306.573,106938.44,306.57361,148199.56,280,146377.25,280,144532.27,280.00003,142663.72,280.00003,140770.7,279.99994,139843.98,280,137978.3,279.99994,136087.38,279.99973,134170.17,279.99945,132225.58,279.99899
0.096000001,140004.89,317.46841,138227.91,334.86392,136321.25,342.95587,134337.41,346.72247,132300.45,348.47626,128439.57,306.67593,122673.66,306.68954,116637.03,306.70404,110288.27,306.71924,103574.38,306.73477,149100.91,280.00003,147291.88,280.00006,145460.64,280.00015,143606.34,280.00031,141728.11,280.00043,139851.2,280.04254,137988.36,280.05609,136100.45,280.07343,134186.48,280.09549,132245.39,280.12344,140776.56,280.03201,0,0,131260.69,306.66333,0,0,139998.03,317.43408,138218.45,334.83688,136308.75,342.93643,134321.52,346.70871,132280.81,348.46622,131239.03,306.57217,125585.31,306.57184,119677.06,306.57162,113477.13,306.57162,106938.46,306.57187,148199.58,280,146377.27,280,144532.28,280.00003,142663.73,280.00003,140770.72,279.99997,139844.02,280,137978.33,279.99991,136087.41,279.99963,134170.22,279.99924,132225.62,279.99854
0.1,140006.25,317.46356,138229.42,334.86069,136322.86,342.95343,134339.09,346.72052,132302.16,348.47458,128441.22,306.6489,122675.13,306.65884,116638.23,306.66943,110289.1,306.68057,103574.71,306.69211,149101.03,280,147292.25,280.00006,145461.25,280.00009,143607.22,280.00021,141729.23,280.00037,139852.55,280.03125,137989.83,280.0412,136102.03,280.05392,134188.16,280.0701,132247.09,280.09058,140777.81,280.0235,0,0,131262.39,306.63962,0,0,139998.06,317.43411,138218.48,334.83691,136308.8,342.93643,134321.55,346.70868,132280.84,348.46619,131239.06,306.57236,125585.35,306.5719,119677.11,306.57141,113477.17,306.57098,106938.49,306.57068,148199.58,280,146377.28,280,144532.3,280,142663.75,280,140770.75,280.00006,139844.05,279.99997,137978.36,279.99997,136087.44,279.99976,134170.25,279.99939,132225.66,279.99878
0.104,140007.28,317.4599,138230.56,334.85828,136324.08,342.95163,134340.36,346.71902,132303.44,348.4733,128442.46,306.62854,122676.24,306.63574,116639.14,306.6434,110289.73,306.65143,103574.95,306.65985,149101.12,280,147292.52,280.00003,145461.72,280.00006,143607.88,280.00012,141730.09,280.00027,139853.56,280.02274,137990.94,280.03,136103.23,280.03925,134189.41,280.05099,132248.38,280.06586,140778.77,280.01712,0,0,131263.67,306.62183,0,0,139998.08,317.43414,138218.5,334.83694,136308.81,342.9364,134321.56,346.70865,132280.88,348.46616,131239.08,306.57263,125585.38,306.5722,119677.13,306.57166,113477.2,306.57101,106938.51,306.57037,148199.58,280,146377.28,280,144532.3,280,142663.77,280,140770.77,280.00006,139844.06,279.99997,137978.38,279.99997,136087.45,279.99988,134170.27,279.9996,132225.69,279.99908
