"time","body.body.Q[1]","body.body.Q[2]","body.body.Q[3]","body.body.Q[4]","body.body.frame_a.r_0[1]","body.body.frame_a.r_0[2]","body.body.frame_a.r_0[3]","body.body.w_a[1]","body.body.w_a[2]","body.body.w_a[3]","body.v_0[1]","body.v_0[2]","body.v_0[3]"
0.50688,0.66842466798230094,0.084420998464874372,0.0014333416309146479,0.73897192354156027,0.20886993928828021,-0.053909422097402473,-0.047629264740416996,5.0688000000000031,-0.29746718994873012,-0.1150918662261706,-0.007434970706927703,-0.02590560529068078,0.046618295684635783
0.5071,0.66883565871753337,0.084406060305054903,0.0013550333883342264,0.73860181593073493,0.20886829897133655,-0.053915329208726874,-0.047618933195371582,5.0710000000000033,-0.29755631062940407,-0.11501384683644275,-0.0074768982099825193,-0.027792795702059087,0.047303958986455431
0.50731999999999999,0.66924661999984236,0.08439108312648326,0.0012767040877777829,0.73823131654935759,0.20886664943236835,-0.053921651491999442,-0.047608450807958488,5.0732000000000026,-0.29764529877677165,-0.11493571053592445,-0.0075188070118691825,-0.029679888028949039,0.047989587192779244
0.50753999999999999,0.66965755143029648,0.084376066894317189,0.001198353769042864,0.7378604252133798,0.20886499067550601,-0.053928388925087438,-0.047597817586099239,5.0754000000000028,-0.2977341542086846,-0.11485745744142839,-0.0075606970225463059,-0.031566878699279613,0.048675178980531614
0.50775999999999999,0.67006845260957615,0.084361011573725497,0.001119982471988835,0.73748914173900104,0.20886332270489993,-0.053935541485064104,-0.047587033538009214,5.077600000000003,-0.29782287674302754,-0.11477908767012034,-0.0076025681520346944,-0.033453764141241037,0.049360733026554575
0.50797999999999999,0.67047932313797276,0.084345917129888176,0.0010415902365369305,0.73711746594266991,0.2088616455247207,-0.05394310914820856,-0.047576098672197746,5.0798000000000032,-0.29791146619771863,-0.11470060133951936,-0.0076444203104176021,-0.035340540783291373,0.050046248007610164
0.50819999999999999,0.67089016261538992,0.084330783527996417,0.00096317710267028271,0.73674539764108382,0.20885995913915906,-0.053951091890005624,-0.047565012997468216,5.0820000000000025,-0.29799992239071027,-0.11462199856749809,-0.0076862534078409829,-0.037227205054163326,0.050731722600382598
0.50841999999999998,0.67130097064134175,0.084315610733252777,0.00088474311043396743,0.73637293665119141,0.20885826355242568,-0.053959489685145808,-0.047553776522918055,5.0842000000000027,-0.29808824513998872,-0.11454327947228314,-0.0077280673545137559,-0.039113753382870826,0.051417155481480598
0.50863999999999998,0.67171174681495427,0.084300398710871097,0.00080628829993504181,0.73600008279019125,0.20885655876875156,-0.053968302507525087,-0.047542389257938938,5.0864000000000029,-0.2981764342635756,-0.1144644441724552,-0.0077698620607080607,-0.041000182198715748,0.052102545327439652
0.50885999999999998,0.67212249073496422,0.084285147426076554,0.00072781271134258823,0.7356268358755339,0.20885484479238756,-0.053977530330244848,-0.047530851212216771,5.0886000000000031,-0.29826448957952778,-0.11438549278694937,-0.0078116374367595059,-0.042886487931294563,0.05278789081472425
0.50907999999999998,0.67253320199971933,0.084269856844105914,0.00064931638488774888,0.73525319572492231,0.2088531216276048,-0.053987173125611763,-0.047519162395731777,5.0908000000000024,-0.29835241090593789,-0.11430642543505556,-0.0078533933930674347,-0.044772667010505106,0.053473190619730167
0.50929999999999997,0.67294388020717888,0.084254526930207366,0.00057079936086376973,0.73487916215631177,0.20885138927869426,-0.05399723086513767,-0.047507322818758614,5.0930000000000026,-0.29844019806093519,-0.11422724223641854,-0.0078951298400951817,-0.046658715866553187,0.05415844341878677
