"Time","smee.is[1]","smee.idq_dr[1]","smee.idq_sr[2]","smee.lesigma.i","smee.inertiaRotor.phi","smee.idq_sr[1]","smee.is[2]","smee.idq_rr[2]","smee.inertiaRotor.w"
0.0023000001,267.2666,109.77172,533.4541,16.232508,-1.5707465,-267.2135,-595.59509,-510.94254,0.10687081
0.0024000001,288.79016,118.39719,547.92688,17.558422,-1.570735,-288.7229,-618.88293,-524.52863,0.12612727
0.0024999999,310.90793,127.23395,561.56055,18.923124,-1.5707213,-310.82364,-641.73926,-537.29205,0.14776903
0.0026,333.5882,136.26767,574.34656,20.324766,-1.5707053,-333.48364,-664.14026,-549.22516,0.17195714
0.0027000001,356.79883,145.48389,586.27704,21.761463,-1.5706868,-356.67038,-686.0625,-560.32092,0.19885197
0.0027999999,380.50723,154.86807,597.34497,23.231291,-1.5706655,-380.35086,-707.48328,-570.5733,0.22861287
0.0029,404.68042,164.40558,607.54425,24.7323,-1.5706409,-404.49164,-728.38007,-579.97711,0.26139691
0.003,429.28503,174.08168,616.86963,26.262501,-1.570613,-429.05893,-748.73102,-588.52795,0.29735863
0.0031000001,454.28738,183.88161,625.31665,27.819881,-1.5705813,-454.01859,-768.51471,-596.22223,0.33664888
0.0031999999,479.65344,193.79056,632.88196,29.402401,-1.5705456,-479.33615,-787.71033,-603.05725,0.37941432
0.0033,505.34897,203.79366,639.56287,31.007992,-1.5705054,-504.9769,-806.29761,-609.03125,0.42579669
0.0034,531.33942,213.87605,645.35767,32.634571,-1.5704603,-530.90588,-824.25671,-614.14325,0.47593194
0.0035000001,557.59009,224.02289,650.26556,34.280033,-1.57041,-557.08789,-841.56866,-618.39313,0.5299499
0.0035999999,584.06604,234.2193,654.28668,35.942253,-1.5703542,-583.48767,-858.21484,-621.78174,0.58797312
0.0037,610.73224,244.4505,657.42206,37.619099,-1.5702924,-610.06989,-874.17749,-624.31079,0.65011686
0.0038000001,637.55359,254.70171,659.67365,39.308414,-1.570224,-636.79895,-889.43933,-625.98291,0.71648782
0.0038999999,664.49481,264.95825,661.04431,41.008053,-1.5701489,-663.63934,-903.98389,-626.80139,0.7871843
0.0040000002,691.52069,275.20554,661.53772,42.715847,-1.5700665,-690.55573,-917.79523,-626.77069,0.86229497
0.0041,718.59595,285.42902,661.15863,44.429634,-1.5699763,-717.51257,-930.85828,-625.896,0.941899
0.0041999999,745.68542,295.61432,659.9126,46.147247,-1.5698779,-744.47455,-943.15857,-624.18335,1.0260652
0.0043000001,772.75403,305.74722,657.80609,47.86652,-1.5697709,-771.40662,-954.6825,-621.63971,1.1148518
0.0044,799.76666,315.81363,654.84637,49.585293,-1.5696548,-798.27368,-965.41711,-618.27283,1.2083062
0.0044999998,826.68848,325.79959,651.04181,51.301422,-1.5695291,-825.04108,-975.35028,-614.09137,1.3064642
0.0046000001,853.48474,335.69135,646.40143,53.01276,-1.5693934,-851.67432,-984.47064,-609.1048,1.4093505
0.0046999999,880.12103,345.4754,640.93518,54.717186,-1.5692471,-878.13928,-992.76764,-603.3233,1.5169777
0.0048000002,906.56317,355.13846,634.65381,56.412582,-1.5690898,-904.40228,-1000.2314,-596.75806,1.6293468
0.0049000001,932.7771,364.66736,627.56897,58.096863,-1.5689211,-930.42993,-1006.8533,-589.42084,1.7464466
0.0049999999,958.72937,374.04932,619.69293,59.76796,-1.5687404,-956.18927,-1012.6249,-581.32428,1.8682543
0.0051000002,984.3866,383.27179,611.03906,61.423817,-1.5685472,-981.64801,-1017.5392,-572.48181,1.9947342
0.0052,1009.7161,392.32245,601.62115,63.062424,-1.5683413,-1006.7742,-1021.5898,-562.90741,2.1258395
0.0052999998,1034.6853,401.1893,591.45392,64.681786,-1.5681219,-1031.5365,-1024.7711,-552.61591,2.2615108
0.0054000001,1059.2623,409.86069,580.5528,66.279945,-1.5678887,-1055.9042,-1027.0786,-541.6228,2.4016776
0.0055,1083.4158,418.32523,568.93384,67.85498,-1.5676414,-1079.8474,-1028.5085,-529.94421,2.5462575
0.0055999998,1107.1146,426.57187,556.61377,69.404991,-1.5673794,-1103.3365,-1029.0579,-517.59692,2.6951563
0.0057000001,1130.3285,434.58997,543.61005,70.928139,-1.5671023,-1126.343,-1028.7249,-504.59824,2.8482697
0.0057999999,1153.0278,442.36914,529.94061,72.422615,-1.5668097,-1148.8389,-1027.5084,-490.96613,3.0054822
0.0059000002,1175.1832,449.89948,515.62402,73.886642,-1.566501,-1170.797,-1025.4084,-476.71906,3.1666682
0.0060000001,1196.7665,457.1713,500.67941,75.318512,-1.5661762,-1192.1909,-1022.4255,-461.87604,3.3316915
0.0060999999,1217.7495,464.17548,485.1265,76.71653,-1.5658345,-1212.9952,-1018.5616,-446.45657,3.5004077
0.0062000002,1238.1055,470.90314,468.98535,78.079079,-1.5654759,-1233.1851,-1013.8192,-430.48059,3.6726625
0.0063,1257.808,477.34586,452.27664,79.404579,-1.5651,-1252.7367,-1008.2018,-413.96851,3.8482935
0.0063999998,1276.8313,483.49564,435.02133,80.691498,-1.5647062,-1271.6271,-1001.7139,-396.9411,4.0271306
0.0065000001,1295.1509,489.34482,417.24094,81.938354,-1.5642943,-1289.8344,-994.36084,-379.41949,4.2089958
0.0066,1312.7426,494.88626,398.95718,83.143738,-1.5638642,-1307.3373,-986.14893,-361.4252,4.3937049
0.0066999998,1329.5834,500.11313,380.19223,84.306274,-1.5634155,-1324.1157,-977.08527,-342.98001,4.581068
0.0068000001,1345.651,505.01907,360.96854,85.424652,-1.562948,-1340.1504,-967.17804,-324.10599,4.7708888
0.0068999999,1360.9241,509.59818,341.30878,86.49762,-1.5624613,-1355.4231,-956.43616,-304.82544,4.9629679
0.0070000002,1375.3822,513.84485,321.23593,87.523964,-1.5619553,-1369.9165,-944.86957,-285.16092,5.1570997
0.0071,1389.0057,517.75409,300.7731,88.502556,-1.5614299,-1383.6144,-932.48889,-265.1351,5.3530774
0.0071999999,1401.7761,521.32111,279.9437,89.432304,-1.5608846,-1396.5015,-919.30585,-244.77089,5.5506897
0.0073000002,1413.6757,524.54169,258.77118,90.312195,-1.5603197,-1408.5631,-905.33295,-224.09125,5.7497249
0.0074,1424.6879,527.41205,237.27911,91.141251,-1.5597347,-1419.7864,-890.58344,-203.11929,5.9499688
0.0074999998,1434.7969,529.92877,215.49124,91.918579,-1.5591296,-1430.1586,-875.07147,-181.87817,6.1512074
0.0076000001,1443.9882,532.08875,193.4313,92.643326,-1.5585043,-1439.6683,-858.81207,-160.39108,6.3532271
0.0077,1452.2479,533.88947,171.12311,93.314705,-1.5578589,-1448.3055,-841.82104,-138.68126,6.5558143
0.0077999998,1459.5637,535.3288,148.59045,93.931992,-1.5571933,-1456.0604,-824.11493,-116.7719,6.7587576
0.0078999996,1465.9238,536.40479,125.85712,94.494514,-1.5565072,-1462.9248,-805.71112,-94.68618,6.9618473
0.0080000004,1471.3176,537.11621,102.94688,95.001663,-1.5558008,-1468.8911,-786.62769,-72.44722,7.1648774
0.0081000002,1475.7357,537.46204,79.8834,95.452896,-1.5550742,-1473.9529,-766.88342,-50.078045,7.3676443
0.0082,1479.1697,537.44159,56.690281,95.847717,-1.5543274,-1478.1044,-746.49792,-27.601595,7.5699496
0.0082999999,1481.6119,537.05469,33.391006,96.185684,-1.5535603,-1481.3412,-725.49139,-5.0406713,7.7715993
0.0083999997,1483.0564,536.30151,10.008941,96.466438,-1.552773,-1483.6594,-703.88483,17.582054,7.972404
0.0085000005,1483.4976,535.1825,-13.432716,96.689644,-1.5519658,-1485.0564,-681.69971,40.244091,8.1721811
0.0086000003,1482.9315,533.69861,-36.910923,96.855042,-1.5511386,-1485.5303,-658.95819,62.923115,8.3707552
0.0087000001,1481.3549,531.85095,-60.402828,96.962433,-1.5502917,-1485.0798,-635.68311,85.597008,8.567955
0.0088,1478.7656,529.64117,-83.885788,97.011658,-1.5494251,-1483.7052,-611.89783,108.24387,8.7636185
0.0088999998,1475.163,527.07117,-107.33736,97.002617,-1.548539,-1481.4069,-587.62616,130.84203,8.957592
0.0089999996,1470.5466,524.14313,-130.73538,96.935272,-1.5476336,-1478.1866,-562.89258,153.37006,9.1497297
0.0091000004,1464.918,520.85962,-154.05788,96.809624,-1.5467092,-1474.0469,-537.72198,175.80676,9.3398943
0.0092000002,1458.2792,517.22357,-177.28319,96.62574,-1.5457658,-1468.9907,-512.13977,198.13129,9.527956
0.0093,1450.6332,513.23804,-200.38989,96.383728,-1.5448036,-1463.0223,-486.17175,220.32298,9.7137966
0.0093999999,1441.9846,508.90652,-223.3569,96.083755,-1.543823,-1456.1464,-459.84415,242.36154,9.8973055
0.0094999997,1432.3385,504.23279,-246.16338,95.726021,-1.5428243,-1448.3687,-433.18353,264.22696,10.078384
0.0096000005,1421.7012,499.22092,-268.78882,95.310799,-1.5418074,-1439.6952,-406.21689,285.89954,10.256943
0.0097000003,1410.08,493.87515,-291.21304,94.838387,-1.5407729,-1430.1333,-378.9715,307.35989,10.4329
0.0098000001,1397.4832,488.2001,-313.4162,94.309143,-1.539721,-1419.6908,-351.47488,328.58902,10.606189
0.0098999999,1383.9202,482.20059,-335.37875,93.723465,-1.5386518,-1408.376,-323.75494,349.56818,10.776749
0.0099999998,1369.4012,475.88171,-357.08151,93.08181,-1.5375657,-1396.1982,-295.83969,370.27902,10.944532
0.0101,1353.9374,469.24881,-378.50568,92.384659,-1.536463,-1383.1674,-267.75735,390.70361,11.109502
0.0102,1337.541,462.3074,-399.63281,91.632553,-1.5353439,-1369.2938,-239.53642,410.82425,11.27163
0.0103,1320.2252,455.06332,-420.44476,90.826065,-1.5342088,-1354.5889,-211.20543,430.62375,11.4309
0.0104,1302.004,447.52258,-440.92386,89.965813,-1.5330578,-1339.0643,-182.79303,450.08517,11.587304
0.0105,1282.8922,439.69138,-461.05273,89.05246,-1.5318913,-1322.7327,-154.328,469.19208,11.740848
0.0106,1262.9058,431.5762,-480.81445,88.086708,-1.5307097,-1305.6067,-125.83913,487.92831,11.891544
0.0107,1242.0614,423.18369,-500.19244,87.069298,-1.5295132,-1287.7003,-97.355225,506.27817,12.039418
0.0108,1220.3765,414.52066,-519.17059,86.000999,-1.528302,-1269.0275,-68.90509,524.22638,12.184503
0.0109,1197.8695,405.59418,-537.73309,84.882645,-1.5270764,-1249.6029,-40.517479,541.75793,12.326842
0.011,1174.5596,396.41141,-555.86462,83.715073,-1.5258367,-1229.4421,-12.22107,558.8584,12.466488
0.0111,1150.4666,386.97977,-573.55029,82.499191,-1.5245832,-1208.5608,15.955559,575.51367,12.603502
0.0112,1125.6113,377.30679,-590.77557,81.235909,-1.523316,-1186.9752,43.983967,591.71008,12.737954
0.0113,1100.0154,367.40027,-607.52637,79.926201,-1.5220356,-1164.7024,71.835869,607.43445,12.869924
0.0114,1073.7008,357.26804,-623.78906,78.571053,-1.5207422,-1141.7594,99.48317,622.67383,12.999496
0.0115,1046.6906,346.91815,-639.55042,77.171494,-1.5194359,-1118.1644,126.89801,637.41595,13.126763
0.0116,1019.0082,336.35876,-654.79773,75.728584,-1.518117,-1093.9354,154.05276,651.64886,13.251827
0.0117,990.67804,325.59827,-669.51868,74.243423,-1.5167855,-1069.0913,180.92007,665.36102,13.374797
0.0118,961.72485,314.64505,-683.70142,72.717133,-1.515442,-1043.6511,207.47292,678.54144,13.495784
0.0119,932.17407,303.50775,-697.33459,71.150856,-1.5140865,-1017.6346,233.68457,691.1795,13.614909
0.012,902.05188,292.19507,-710.40723,69.545784,-1.512719,-991.06158,259.52869,703.2652,13.732296
0.0121,871.38489,280.71585,-722.90894,67.903122,-1.51134,-963.95258,284.97925,714.7887,13.848073
0.0122,840.20013,269.07904,-734.82971,66.224113,-1.5099496,-936.32831,310.01074,725.74097,13.962374
0.0123,808.52539,257.29364,-746.1601,64.510017,-1.5085477,-908.2099,334.59802,736.11322,14.075335
0.0124,776.38873,245.36885,-756.89111,62.762131,-1.5071346,-879.6189,358.71637,745.89734,14.187095
0.0125,743.81873,233.31389,-767.01434,60.981754,-1.5057102,-850.57715,382.34164,755.08545,14.297795
0.0126,710.84442,221.13809,-776.52173,59.170238,-1.504275,-821.10669,405.45013,763.67047,14.40758
0.0127,677.49524,208.85085,-785.40582,57.328941,-1.5028288,-791.23004,428.01868,771.64557,14.516595
0.0128,643.80096,196.46162,-793.65967,55.45924,-1.5013717,-760.96991,450.02466,779.00458,14.624983
0.0129,609.79175,183.97998,-801.27692,53.562542,-1.4999038,-730.34937,471.44601,785.74176,14.732892
0.013,575.49792,171.41551,-808.25165,51.640266,-1.4984251,-699.3916,492.26135,791.85193,14.840466
0.0131,540.95026,158.77786,-814.57843,49.693855,-1.4969357,-668.12006,512.44977,797.33038,14.947847
0.0132,506.17972,146.07671,-820.2525,47.72477,-1.4954356,-636.55853,531.99115,802.17297,15.05518
0.0133,471.21753,133.32181,-825.26953,45.734482,-1.4939247,-604.73083,550.86597,806.3761,15.162602
0.0134,436.09503,120.52288,-829.62585,43.724476,-1.492403,-572.66113,569.05524,809.93665,15.270252
0.0135,400.84381,107.68971,-833.3183,41.696259,-1.4908706,-540.37354,586.54083,812.85211,15.378263
0.0136,365.49557,94.832092,-836.34412,39.651344,-1.4893274,-507.89255,603.30536,815.12036,15.486766
0.0137,330.08203,81.959808,-838.70142,37.591259,-1.4877733,-475.24255,619.33197,816.74005,15.595884
0.0138,294.6351,69.082619,-840.38855,35.517536,-1.4862082,-442.44815,634.6048,817.71014,15.70574
0.0139,259.18671,56.210308,-841.4046,33.431717,-1.4846321,-409.53397,649.10846,818.03033,15.816447
0.014,223.76869,43.352623,-841.74921,31.33536,-1.4830449,-376.52475,662.82861,817.70074,15.928116
0.0141,188.41299,30.519257,-841.42261,29.230013,-1.4814465,-343.44513,675.75146,816.72205,16.040848
0.0142,153.15144,17.719893,-840.42542,27.117241,-1.4798367,-310.31992,687.86426,815.09552,16.154741
0.0143,118.01579,4.9641538,-838.75909,24.998606,-1.4782155,-277.1738,699.15491,812.823,16.269882
0.0144,83.037697,-7.7383928,-836.42554,22.875671,-1.4765826,-244.03146,709.61218,809.90686,16.386353
0.0145,48.248634,-20.378258,-833.42706,20.750004,-1.4749382,-210.91751,719.22571,806.34991,16.504227
0.0146,13.679922,-32.946022,-829.76678,18.623163,-1.4732817,-177.85643,727.9859,802.15558,16.623571
0.0147,-20.637337,-45.432358,-825.44818,16.49671,-1.4716134,-144.87263,735.88409,797.32788,16.74444
0.0148,-54.672279,-57.828022,-820.4754,14.372194,-1.4699328,-111.9904,742.91248,791.87128,16.866884
0.0149,-88.39431,-70.123886,-814.85303,12.251167,-1.46824,-79.233833,749.06415,785.79071,16.990944
0.015,-121.77314,-82.310921,-808.58636,10.135168,-1.4665346,-46.626881,754.33301,779.0918,17.116646
0.0151,-154.77879,-94.380226,-801.68115,8.0257301,-1.4648166,-14.193267,758.71399,771.78058,17.244013
0.0152,-187.3817,-106.32303,-794.14355,5.9243722,-1.4630858,18.043497,762.20282,763.86365,17.373056
0.0153,-219.55261,-118.13069,-785.98047,3.8326044,-1.4613419,50.06015,764.79614,755.34802,17.503777
0.0154,-251.2628,-129.79472,-777.19916,1.7519214,-1.459585,81.83371,766.49158,746.24121,17.636168
0.0155,-282.48392,-141.30679,-767.80743,-0.31619623,-1.4578146,113.34148,767.28754,736.55133,17.770208
0.0156,-313.18811,-152.65872,-757.8136,-2.3702846,-1.4560308,144.5611,767.18341,726.2868,17.905876
0.015699999,-343.34805,-163.84253,-747.22638,-4.4088974,-1.4542334,175.4705,766.17963,715.45667,18.043131
0.015799999,-372.93695,-174.85036,-736.05499,-6.4306064,-1.4524221,206.048,764.27734,704.07025,18.181929
0.015900001,-401.92856,-185.67458,-724.30927,-8.4340057,-1.4505969,236.27228,761.47876,692.13739,18.322212
0.016000001,-430.29727,-196.30772,-711.99933,-10.417707,-1.4487576,266.12241,757.78693,679.6684,18.463915
0.016100001,-458.01807,-206.74257,-699.13568,-12.38035,-1.4469042,295.57788,753.20587,666.67389,18.606964
0.0162,-485.06656,-216.97202,-685.72937,-14.320593,-1.4450362,324.61862,747.74048,653.16498,18.751276
0.0163,-511.41904,-226.98926,-671.79175,-16.237122,-1.4431539,353.22495,741.39661,639.15308,18.896759
0.0164,-537.05255,-236.78764,-657.33472,-18.128649,-1.4412569,381.37772,734.18097,624.65009,19.043312
0.0165,-561.94482,-246.36075,-642.3703,-19.99391,-1.4393451,409.0582,726.10126,609.66803,19.190825
0.0166,-586.07422,-255.70239,-626.91113,-21.831675,-1.4374187,436.24814,717.16595,594.21948,19.339182
0.0167,-609.42004,-264.80661,-610.96997,-23.640736,-1.4354773,462.92987,707.38446,578.3172,19.488258
0.016799999,-631.96228,-273.66763,-594.56012,-25.419918,-1.433521,489.08612,696.76715,561.97443,19.637924
0.016899999,-653.68182,-282.28,-577.69495,-27.168076,-1.4315497,514.70026,685.32513,545.20447,19.788036
0.017000001,-674.56018,-290.6384,-560.38831,-28.884098,-1.4295634,539.7561,673.0705,528.021,19.938454
0.017100001,-694.5799,-298.73782,-542.65424,-30.566898,-1.427562,564.23798,660.01605,510.43802,20.089024
0.017200001,-713.72443,-306.57349,-524.50702,-32.215427,-1.4255456,588.13086,646.1756,492.4696,20.23959
0.0173,-731.97784,-314.14081,-505.96121,-33.828671,-1.4235141,611.42029,631.56366,474.13022,20.389988
0.0174,-749.32532,-321.43546,-487.03162,-35.405643,-1.4214675,634.09216,616.19562,455.43442,20.540052
0.0175,-765.75293,-328.45343,-467.73318,-36.945393,-1.4194061,656.13318,600.08759,436.39697,20.689613
0.0176,-781.24762,-335.19083,-448.08109,-38.447002,-1.4173297,677.53052,583.25647,417.03287,20.838495
0.0177,-795.79724,-341.6441,-428.0907,-39.909595,-1.4152384,698.27185,565.71997,397.35715,20.986519
0.0178,-809.39069,-347.80991,-407.77747,-41.332317,-1.4131324,718.34558,547.49658,377.38513,21.133503
0.017899999,-822.01764,-353.68515,-387.15704,-42.714359,-1.4110117,737.74054,528.60541,357.13211,21.279266
0.017999999,-833.66901,-359.26694,-366.24518,-44.054939,-1.4088765,756.44617,509.06638,336.61359,21.423622
0.018100001,-844.33643,-364.55261,-345.05777,-45.353317,-1.4067271,774.45245,488.89996,315.84515,21.566385
0.018200001,-854.01263,-369.53983,-323.61075,-46.608784,-1.4045634,791.75006,468.12744,294.84241,21.707369
0.018300001,-862.69128,-374.22641,-301.9202,-47.820663,-1.4023857,808.33014,446.77066,273.62106,21.846386
0.0184,-870.36707,-378.61041,-280.00217,-48.988316,-1.4001942,824.18445,424.85208,252.19693,21.98325
0.0185,-877.03577,-382.69016,-257.87286,-50.111141,-1.397989,839.30518,402.39481,230.58575,22.117773
0.0186,-882.69397,-386.46414,-235.54843,-51.188568,-1.3957707,853.68524,379.42245,208.80334,22.249775
0.0187,-887.33942,-389.93115,-213.0451,-52.220058,-1.3935392,867.31805,355.9592,186.86552,22.37907
0.0188,-890.97076,-393.09009,-190.37915,-53.205112,-1.391295,880.19745,332.02982,164.78818,22.50548
0.0189,-893.58765,-395.94016,-167.56676,-54.143265,-1.3890382,892.31799,307.65948,142.58707,22.628826
0.018999999,-895.1908,-398.48074,-144.62415,-55.034077,-1.3867693,903.67474,282.87384,120.27798,22.748938
0.019099999,-895.78186,-400.71143,-121.56756,-55.877144,-1.3844886,914.26312,257.69907,97.876709,22.865643
0.019200001,-895.3634,-402.63202,-98.413132,-56.672108,-1.3821963,924.07916,232.16162,75.398956,22.978777
0.019300001,-893.93915,-404.24249,-75.176994,-57.418621,-1.3798929,933.11957,206.28844,52.860374,23.088181
0.019400001,-891.51361,-405.54306,-51.875233,-58.116386,-1.3775787,941.38129,180.1068,30.276577,23.193699
0.0195,-888.09247,-406.53406,-28.523878,-58.765129,-1.3752543,948.86194,153.64427,7.6631136,23.295183
0.0196,-883.68207,-407.21609,-5.1388717,-59.364609,-1.3729199,955.55951,126.92873,-14.96458,23.39249
0.0197,-878.29004,-407.58987,18.26387,-59.914612,-1.3705759,961.4726,99.988373,-37.591091,23.485485
0.0198,-871.92474,-407.65634,41.668518,-60.414959,-1.368223,966.6001,72.851578,-60.201107,23.574036
0.0199,-864.59546,-407.4166,65.059357,-60.865501,-1.3658613,970.94153,45.54694,-82.779442,23.65802
0.02,-856.31244,-406.87189,88.420761,-61.266117,-1.3634914,974.49683,18.103226,-105.311,23.737328
0.020099999,-847.08691,-406.02368,111.73717,-61.616718,-1.361114,977.26642,-9.4506388,-127.78078,23.81185
0.020199999,-836.93091,-404.8736,134.99318,-61.917244,-1.3587292,979.25104,-37.085648,-150.17392,23.881491
0.020300001,-825.8573,-403.42337,158.17346,-62.16766,-1.3563378,980.45203,-64.772697,-172.47565,23.946159
0.020400001,-813.87982,-401.67493,181.26279,-62.367962,-1.3539402,980.87103,-92.48262,-194.67131,24.005779
0.020500001,-801.01312,-399.63037,204.24605,-62.518173,-1.3515369,980.51019,-120.18624,-216.7464,24.060278
0.0206,-787.27258,-397.29187,227.10825,-62.618347,-1.3491284,979.37201,-147.85439,-238.68648,24.109594
0.0207,-772.6745,-394.66187,249.8345,-62.668564,-1.3467151,977.45953,-175.45795,-260.47726,24.153677
0.0208,-757.2359,-391.74283,272.4101,-62.668922,-1.3442978,974.776,-202.96783,-282.10468,24.192488
0.0209,-740.97443,-388.53745,294.82037,-62.619564,-1.3418767,971.32526,-230.35515,-303.55463,24.225992
0.021,-723.90875,-385.04852,317.0509,-62.520645,-1.3394527,967.11151,-257.59103,-324.81329,24.254169
0.0211,-706.05804,-381.27902,339.08725,-62.372349,-1.3370261,962.13922,-284.64688,-345.86691,24.277012
0.021199999,-687.44232,-377.23203,360.91522,-62.174896,-1.3345975,956.41345,-311.4942,-366.7019,24.294518
0.021299999,-668.08215,-372.91074,382.52075,-61.92852,-1.3321674,949.93951,-338.1048,-387.30481,24.306698
0.021400001,-647.99884,-368.31851,403.88989,-61.633488,-1.3297364,942.72314,-364.45068,-407.66235,24.313574
0.021500001,-627.21436,-363.45886,425.00885,-61.290089,-1.3273048,934.77045,-390.50421,-427.76135,24.315182
0.021600001,-605.75122,-358.33542,445.86392,-60.898647,-1.3248734,926.08801,-416.23798,-447.58884,24.311562
0.0217,-583.63251,-352.9519,466.44165,-60.459499,-1.3224428,916.68268,-441.62494,-467.13193,24.302767
0.0218,-560.88202,-347.31223,486.72861,-59.973015,-1.320013,906.56177,-466.63843,-486.37793,24.288866
0.0219,-537.52393,-341.42038,506.71161,-59.439594,-1.3175851,895.73291,-491.2522,-505.31433,24.26993
0.022,-513.58307,-335.28058,526.37762,-58.859657,-1.3151593,884.20416,-515.44043,-523.92871,24.246048
0.0221,-489.08459,-328.89703,545.71375,-58.23365,-1.312736,871.98401,-539.17761,-542.20886,24.217318
0.0222,-464.05429,-322.2742,564.70721,-57.562046,-1.310316,859.0813,-562.43896,-560.14276,24.183844
0.022299999,-438.51828,-315.41663,583.34552,-56.845345,-1.3078995,845.50513,-585.19995,-577.71857,24.145744
0.022399999,-412.5032,-308.32898,601.61621,-56.084076,-1.3054869,831.2652,-607.43677,-594.9245,24.103149
0.022500001,-386.03595,-301.01605,619.50708,-55.278786,-1.303079,816.37146,-629.12604,-611.74908,24.056194
0.022600001,-359.14389,-293.48285,637.00616,-54.430061,-1.3006759,800.83429,-650.24493,-628.18103,24.005028
0.022700001,-331.85471,-285.73438,654.10156,-53.538506,-1.2982781,784.66449,-670.77142,-644.20917,23.949804
0.0228,-304.19638,-277.77588,670.78168,-52.604752,-1.295886,767.87329,-690.68378,-659.82257,23.890694
0.0229,-276.19717,-269.6127,687.03497,-51.629456,-1.2935001,750.47211,-709.96124,-675.01044,23.827869
0.023,-247.88564,-261.25031,702.85028,-50.613308,-1.2911205,732.47302,-728.58344,-689.76227,23.761513
0.0231,-219.2905,-252.69435,718.21649,-49.557022,-1.2887479,713.88843,-746.53082,-704.06781,23.69182
0.0232,-190.44075,-243.95056,733.12292,-48.461342,-1.2863823,694.73102,-763.78461,-717.91687,23.618988
0.0233,-161.36555,-235.02481,747.55884,-47.32703,-1.2840242,675.01404,-780.32654,-731.29962,23.543226
0.023399999,-132.09419,-225.92316,761.51398,-46.154888,-1.2816738,654.75104,-796.13916,-744.20648,23.464748
0.023499999,-102.65611,-216.65175,774.97827,-44.94574,-1.2793313,633.95599,-811.20599,-756.62799,23.383776
0.023600001,-73.080849,-207.21687,787.94183,-43.700432,-1.2769971,612.64331,-825.51093,-768.55511,23.300535
0.023700001,-43.398018,-197.62498,800.39514,-42.419849,-1.2746713,590.82782,-839.039,-779.97888,23.215265
0.023800001,-13.637253,-187.88264,812.32886,-41.104897,-1.2723541,568.52472,-851.77582,-790.89081,23.128201
0.0239,16.171753,-177.99658,823.73395,-39.756504,-1.2700458,545.74963,-863.70789,-801.28259,23.039585
0.024,45.999313,-167.9736,834.60168,-38.375641,-1.2677462,522.51862,-874.82257,-811.14612,22.949671
