"Time","aimc.idq_rr[2]","mass.s","aimc.idq_sr[1]","mass.v","aimc.is[1]","aimc.idq_rr[1]","aimc.is[2]","vfController.x","aimc.idq_sr[2]"
0.077,89.211082,2.8387808e-06,98.648636,0.00023947192,98.661087,-88.360329,-144.29103,0.93132514,-109.66213
0.078000002,88.413353,3.0867452e-06,102.3824,0.00025660961,102.39588,-91.590553,-145.7756,0.9556725,-109.22152
0.079000004,87.482475,3.3523236e-06,106.16777,0.00027470285,106.18234,-94.857025,-147.16327,0.98033398,-108.63934
0.079999998,86.414635,3.6364911e-06,110.00089,0.00029379354,110.01659,-98.155869,-148.44815,1.0053097,-107.91105
0.081,85.206078,3.9402644e-06,113.8776,0.00031392547,113.89447,-101.48295,-149.62427,1.0305995,-107.03217
0.082000002,83.853119,4.2647143e-06,117.79348,0.00033514688,117.81156,-104.83388,-150.68556,1.0562035,-105.99826
0.082999997,82.352142,4.6109512e-06,121.74378,0.00035750729,121.76311,-108.20399,-151.62587,1.0821216,-104.80495
0.083999999,80.699623,4.9801379e-06,125.7235,0.00038106038,125.74409,-111.58835,-152.4389,1.1083539,-103.44794
0.085000001,78.892151,5.3735052e-06,129.72728,0.00040586566,129.74918,-114.98178,-153.11839,1.1349003,-101.92305
0.086000003,76.92643,5.792328e-06,133.7495,0.00043198498,133.77272,-118.3788,-153.65791,1.1617609,-100.22616
0.086999997,74.799286,6.2379554e-06,137.78419,0.00045948735,137.80873,-121.77364,-154.05106,1.1889358,-98.35331
0.088,72.507729,6.7118172e-06,141.82513,0.00048844964,141.85098,-125.16031,-154.29137,1.2164247,-96.30069
0.089000002,70.048897,7.2153998e-06,145.86572,0.00051895308,145.89287,-128.53249,-154.37233,1.2442278,-94.064629
0.090000004,67.420135,7.7503018e-06,149.89908,0.00055109186,149.92749,-131.88359,-154.28749,1.2723451,-91.641647
0.090999998,64.619003,8.3182122e-06,153.918,0.00058497005,153.94762,-135.20676,-154.03036,1.3007765,-89.028465
0.092,61.643246,8.9209052e-06,157.91496,0.00062070001,157.94571,-138.49486,-153.5945,1.329522,-86.222
0.093000002,58.490875,9.5603355e-06,161.88213,0.00065842003,161.91394,-141.74049,-152.97351,1.3585818,-83.219444
0.093999997,55.160152,1.0238546e-05,165.81136,0.00069827662,165.84412,-144.93599,-152.16104,1.3879557,-80.018211
0.094999999,51.649597,1.0957733e-05,169.69418,0.00074043713,169.72775,-148.07339,-151.15086,1.4176437,-76.616005
0.096000001,47.958065,1.1720373e-05,173.52188,0.00078511471,173.55609,-151.14453,-149.93683,1.4476459,-73.010849
0.097000003,44.084694,1.2529033e-05,177.28537,0.00083253015,177.32002,-154.14093,-148.51294,1.4779623,-69.201065
0.097999997,40.028969,1.3386581e-05,180.9753,0.00088295405,181.01018,-157.05388,-146.87332,1.5085928,-65.185333
0.098999999,35.790745,1.4296287e-05,184.58208,0.00093673158,184.6169,-159.87448,-145.0123,1.5395374,-60.962723
0.1,31.370239,1.526157e-05,188.09576,0.00099422364,188.13025,-162.59357,-142.92438,1.5707964,-56.532654
