"Time","smrM.is[3]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","vfController3.x","smr3.is[2]","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","vfControllerM.x","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smr3.is[1]","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.is[1]","smr3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smr3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.w","loadInertiaM.w","smrM.is[2]","smrM.is[4]","loadInertia3.phi"
1.201,-22.702581,-0.43316513,220.22565,-46.717831,-0.14353387,106.14767,220.22565,-0.14353387,13.050955,0.42689762,7.8305731,0.42689762,-0.040213961,-0.040213961,-0.43316513,157.50507,157.50507,-24.063414,10.032448,106.14767
1.2011,-23.259024,-0.43317008,220.25706,-47.069668,-0.15687175,106.16342,220.25706,-0.15687175,14.517141,0.42217875,8.7102852,0.42217875,-0.040167451,-0.040167451,-0.43317008,157.49657,157.49657,-23.540356,9.1654873,106.16342
1.2012,-23.792248,-0.43317497,220.28848,-47.373989,-0.17005475,106.17917,220.28848,-0.17005475,15.96959,0.41704315,9.5817547,0.41704315,-0.040121049,-0.040121049,-0.43317497,157.48808,157.48808,-22.993059,8.2886429,106.17917
1.2013,-24.301777,-0.43317986,220.31989,-47.630596,-0.18306991,106.19492,220.31989,-0.18306991,17.406921,0.41149607,10.444153,0.41149607,-0.040074766,-0.040074766,-0.43317986,157.4796,157.4796,-22.422108,7.4027824,106.19492
1.2014,-24.7869,-0.43318474,220.3513,-47.838825,-0.19590439,106.21066,220.3513,-0.19590439,18.827541,0.40554279,11.296525,0.40554279,-0.040028598,-0.040028598,-0.43318474,157.47112,157.47112,-21.827883,6.5087366,106.21066
1.2015001,-25.246965,-0.4331896,220.38272,-47.998188,-0.20854545,106.22641,220.38272,-0.20854545,20.229866,0.39918914,12.137919,0.39918914,-0.039982557,-0.039982557,-0.4331896,157.46265,157.46265,-21.21088,5.6073985,106.22641
1.2016,-25.681677,-0.43319443,220.41414,-48.108833,-0.22098072,106.24216,220.41414,-0.22098072,21.612623,0.3924416,12.967574,0.3924416,-0.039936647,-0.039936647,-0.43319443,157.45418,157.45418,-20.57185,4.6997013,106.24216
1.2017,-26.090466,-0.43319926,220.44556,-48.170483,-0.23319785,106.2579,220.44556,-0.23319785,22.974186,0.38530678,13.784512,0.38530678,-0.03989087,-0.03989087,-0.43319926,157.44571,157.44571,-19.911451,3.7866573,106.2579
1.2018,-26.472864,-0.43320405,220.47697,-48.183109,-0.24518473,106.27364,220.47697,-0.24518473,24.312946,0.37779188,14.587768,0.37779188,-0.039845236,-0.039845236,-0.43320405,157.43726,157.43726,-19.23049,2.8693604,106.27364
1.2019,-26.828432,-0.43320882,220.50839,-48.146381,-0.2569297,106.28939,220.50839,-0.2569297,25.627821,0.36990407,15.376693,0.36990407,-0.039799742,-0.039799742,-0.43320882,157.4288,157.4288,-18.529305,1.948421,106.28939
1.202,-27.156727,-0.43321359,220.53981,-48.060322,-0.26842102,106.30513,220.53981,-0.26842102,26.917198,0.3616513,16.150318,0.3616513,-0.039754398,-0.039754398,-0.43321359,157.42035,157.42035,-17.808743,1.0249619,106.30513
1.2021,-27.457306,-0.43321833,220.57121,-47.924961,-0.27964732,106.32087,220.57121,-0.27964732,28.179466,0.35304177,16.907681,0.35304177,-0.039709203,-0.039709203,-0.43321833,157.41191,157.41191,-17.069654,0.10010545,106.32087
1.2022001,-27.729908,-0.43322304,220.60263,-47.740337,-0.29059768,106.33662,220.60263,-0.29059768,29.413651,0.34408385,17.64819,0.34408385,-0.039664168,-0.039664168,-0.43322304,157.40347,157.40347,-16.312563,-0.82546276,106.33662
1.2023,-27.974165,-0.43322772,220.63405,-47.506557,-0.30126122,106.35236,220.63405,-0.30126122,30.618273,0.33478647,18.370964,0.33478647,-0.039619293,-0.039619293,-0.43322772,157.39505,157.39505,-15.538305,-1.7506789,106.35236
1.2024,-28.189701,-0.4332324,220.66547,-47.223804,-0.31162727,106.3681,220.66547,-0.31162727,31.791759,0.32515886,19.075056,0.32515886,-0.039574582,-0.039574582,-0.4332324,157.38664,157.38664,-14.747808,-2.6743863,106.3681
1.2025,-28.376316,-0.43323702,220.69688,-46.892235,-0.32168579,106.38383,220.69688,-0.32168579,32.933155,0.31521046,19.759893,0.31521046,-0.039530039,-0.039530039,-0.43323702,157.37822,157.37822,-13.941665,-3.5958636,106.38383
1.2026,-28.533754,-0.43324164,220.7283,-46.512104,-0.33142686,106.39957,220.7283,-0.33142686,34.041191,0.30495107,20.424715,0.30495107,-0.039485671,-0.039485671,-0.43324164,157.36983,157.36983,-13.120703,-4.5141273,106.39957
1.2027,-28.661741,-0.43324625,220.75972,-46.083767,-0.34084073,106.41531,220.75972,-0.34084073,35.114372,0.29439092,21.068623,0.29439092,-0.039441478,-0.039441478,-0.43324625,157.36142,157.36142,-12.285923,-5.4280066,106.41531
1.2028,-28.76013,-0.43325081,220.79114,-45.607529,-0.34991819,106.43104,220.79114,-0.34991819,36.151745,0.28354034,21.691046,0.28354034,-0.039397463,-0.039397463,-0.43325081,157.35304,157.35304,-11.438018,-6.33672,106.43104
1.2029001,-28.828783,-0.43325534,220.82254,-45.083797,-0.35865036,106.44678,220.82254,-0.35865036,37.152225,0.27241004,22.291336,0.27241004,-0.039353635,-0.039353635,-0.43325534,157.34467,157.34467,-10.577812,-7.2393551,106.44678
1.2029999,-28.867533,-0.43325987,220.85396,-44.513119,-0.36702847,106.46251,220.85396,-0.36702847,38.114437,0.26101109,22.868664,0.26101109,-0.039309993,-0.039309993,-0.43325987,157.33629,157.33629,-9.7063742,-8.1347418,106.46251
1.2031,-28.876295,-0.43326434,220.88538,-43.895985,-0.37504429,106.47824,220.88538,-0.37504429,39.037369,0.24935476,23.422422,0.24935476,-0.039266542,-0.039266542,-0.43326434,157.32793,157.32793,-8.8245506,-9.0219812,106.47824
1.2032,-28.855026,-0.43326882,220.91679,-43.232922,-0.38269001,106.49397,220.91679,-0.38269001,39.920101,0.23745248,23.952063,0.23745248,-0.039223284,-0.039223284,-0.43326882,157.31958,157.31958,-7.9331636,-9.9002237,106.49397
1.2033,-28.803698,-0.43327326,220.94821,-42.524635,-0.38995796,106.5097,220.94821,-0.38995796,40.761517,0.22531606,24.456909,0.22531606,-0.039180219,-0.039180219,-0.43327326,157.31123,157.31123,-7.0332503,-10.768413,106.5097
1.2034,-28.722309,-0.43327767,220.97963,-41.771786,-0.39684105,106.52544,220.97963,-0.39684105,41.560661,0.2129575,24.936396,0.2129575,-0.03913736,-0.03913736,-0.43327767,157.3029,157.3029,-6.1257362,-11.625628,106.52544
1.2035,-28.610897,-0.43328202,221.01105,-40.975052,-0.40333247,106.54117,221.01105,-0.40333247,42.316677,0.20038897,25.390007,0.20038897,-0.039094701,-0.039094701,-0.43328202,157.29457,157.29457,-5.2115116,-12.470996,106.54117
1.2036,-28.469555,-0.43328637,221.04247,-40.135246,-0.40942585,106.55689,221.04247,-0.40942585,43.028725,0.18762286,25.817234,0.18762286,-0.039052252,-0.039052252,-0.43328637,157.28627,157.28627,-4.2915449,-13.303608,106.55689
1.2036999,-28.298389,-0.43329069,221.07387,-39.253185,-0.41511518,106.57262,221.07387,-0.41511518,43.695999,0.1746718,26.217598,0.1746718,-0.039010011,-0.039010011,-0.43329069,157.27795,157.27795,-3.3667893,-14.122577,106.57262
1.2038,-28.097511,-0.43329498,221.10529,-38.329712,-0.42039484,106.58835,221.10529,-0.42039484,44.317684,0.16154857,26.590611,0.16154857,-0.038967982,-0.038967982,-0.43329498,157.26967,157.26967,-2.4382176,-14.926999,106.58835
1.2039,-27.867119,-0.43329921,221.1367,-37.365757,-0.42525965,106.60408,221.1367,-0.42525965,44.893131,0.14826609,26.935879,0.14826609,-0.038926169,-0.038926169,-0.43329921,157.26138,157.26138,-1.5067793,-15.716047,106.60408
1.204,-27.607418,-0.43330345,221.16812,-36.362282,-0.42970482,106.6198,221.16812,-0.42970482,45.42168,0.13483749,27.253008,0.13483749,-0.038884576,-0.038884576,-0.43330345,157.25311,157.25311,-0.57344687,-16.488874,106.6198
1.2041,-27.318613,-0.43330762,221.19954,-35.320274,-0.43372598,106.63553,221.19954,-0.43372598,45.902641,0.12127602,27.541586,0.12127602,-0.038843207,-0.038843207,-0.43330762,157.24484,157.24484,0.36077613,-17.244608,106.63553
1.2042,-27.000994,-0.43331176,221.23096,-34.240799,-0.43731916,106.65125,221.23096,-0.43731916,46.335484,0.10759507,27.801291,0.10759507,-0.038802061,-0.038802061,-0.43331176,157.2366,157.2366,1.2949077,-17.982439,106.65125
1.2043,-26.654856,-0.43331587,221.26237,-33.124966,-0.44048086,106.66698,221.26237,-0.44048086,46.719673,0.093808144,28.031805,0.093808144,-0.038761146,-0.038761146,-0.43331587,157.22836,157.22836,2.2279513,-18.701557,106.66698
1.2043999,-26.28051,-0.43331993,221.29379,-31.973873,-0.44320789,106.6827,221.29379,-0.44320789,47.054714,0.079928845,28.232828,0.079928845,-0.038720462,-0.038720462,-0.43331993,157.22014,157.22014,3.1589191,-19.401167,106.6827
1.2045,-25.878328,-0.43332398,221.3252,-30.788733,-0.44549763,106.69842,221.3252,-0.44549763,47.340183,0.06597089,28.40411,0.06597089,-0.038680013,-0.038680013,-0.43332398,157.21191,157.21191,4.0868001,-20.080486,106.69842
1.2046,-25.448709,-0.43332797,221.35661,-29.570774,-0.44734779,106.71414,221.35661,-0.44734779,47.57571,0.051948056,28.545425,0.051948056,-0.038639802,-0.038639802,-0.43332797,157.20372,157.20372,5.010591,-20.738758,106.71414
1.2047,-24.992054,-0.43333191,221.38803,-28.321215,-0.44875658,106.72986,221.38803,-0.44875658,47.760956,0.037874173,28.656572,0.037874173,-0.03859983,-0.03859983,-0.43333191,157.19553,157.19553,5.9293156,-21.375254,106.72986
1.2048,-24.508829,-0.43333584,221.41945,-27.04138,-0.44972262,106.74558,221.41945,-0.44972262,47.895668,0.023763148,28.737402,0.023763148,-0.038560107,-0.038560107,-0.43333584,157.18735,157.18735,6.8419733,-21.989264,106.74558
1.2049,-23.999529,-0.43333972,221.45087,-25.732615,-0.45024493,106.7613,221.45087,-0.45024493,47.97966,0.0096289096,28.787796,0.0096289096,-0.038520627,-0.038520627,-0.43333972,157.17917,157.17917,7.7475772,-22.580103,106.7613
1.205,-23.464638,-0.43334356,221.48228,-24.396244,-0.45032302,106.77702,221.48228,-0.45032302,48.012726,-0.0045145978,28.807634,-0.0045145978,-0.038481399,-0.038481399,-0.43334356,157.17102,157.17102,8.6451511,-23.147095,106.77702
1.2051001,-22.904715,-0.43334734,221.5137,-23.033689,-0.44995686,106.79273,221.5137,-0.44995686,47.994804,-0.018653415,28.796883,-0.018653415,-0.038442422,-0.038442422,-0.43334734,157.16289,157.16289,9.5337267,-23.689619,106.79273
1.2052,-22.320345,-0.43335107,221.54512,-21.646391,-0.44914678,106.80845,221.54512,-0.44914678,47.92588,-0.032773588,28.755529,-0.032773588,-0.038403701,-0.038403701,-0.43335107,157.15475,157.15475,10.412348,-24.207079,106.80845
1.2053,-21.712093,-0.43335479,221.57652,-20.235779,-0.44789362,106.82417,221.57652,-0.44789362,47.805908,-0.046861179,28.683544,-0.046861179,-0.038365241,-0.038365241,-0.43335479,157.14664,157.14664,11.280046,-24.698856,106.82417
1.2054,-21.080605,-0.43335843,221.60794,-18.803356,-0.44619858,106.83987,221.60794,-0.44619858,47.634995,-0.06090229,28.580996,-0.06090229,-0.038327038,-0.038327038,-0.43335843,157.13853,157.13853,12.135887,-25.164417,106.83987
1.2055,-20.426544,-0.43336204,221.63936,-17.350645,-0.44406343,106.85559,221.63936,-0.44406343,47.413292,-0.074883066,28.447975,-0.074883066,-0.0382891,-0.0382891,-0.43336204,157.13045,157.13045,12.978948,-25.603245,106.85559
1.2056,-19.750559,-0.43336561,221.67078,-15.879164,-0.4414902,106.8713,221.67078,-0.4414902,47.140919,-0.088789709,28.284552,-0.088789709,-0.03825143,-0.03825143,-0.43336561,157.12238,157.12238,13.808289,-26.014807,106.8713
1.2057,-19.053371,-0.43336913,221.70219,-14.390486,-0.43848151,106.88702,221.70219,-0.43848151,46.81815,-0.10260849,28.090889,-0.10260849,-0.038214024,-0.038214024,-0.43336913,157.1143,157.1143,14.623013,-26.398643,106.88702
1.2058001,-18.335714,-0.43337259,221.73361,-12.886207,-0.43504032,106.90273,221.73361,-0.43504032,46.44529,-0.11632579,27.867174,-0.11632579,-0.038176894,-0.038176894,-0.43337259,157.10626,157.10626,15.422226,-26.75432,106.90273
1.2059,-17.598322,-0.43337598,221.76503,-11.367913,-0.43117002,106.91843,221.76503,-0.43117002,46.022648,-0.12992805,27.613588,-0.12992805,-0.038140036,-0.038140036,-0.43337598,157.09824,157.09824,16.205044,-27.081404,106.91843
1.206,-16.841976,-0.43337935,221.79645,-9.8372364,-0.42687443,106.93414,221.79645,-0.42687443,45.550644,-0.14340188,27.330385,-0.14340188,-0.038103458,-0.038103458,-0.43337935,157.09021,157.09021,16.970604,-27.379517,106.93414
1.2061,-16.067482,-0.43338266,221.82785,-8.295826,-0.42215782,106.94985,221.82785,-0.42215782,45.029747,-0.15673395,27.017849,-0.15673395,-0.038067158,-0.038067158,-0.43338266,157.08221,157.08221,17.718065,-27.648315,106.94985
1.2062,-15.275645,-0.43338591,221.85927,-6.7453246,-0.41702488,106.96556,221.85927,-0.41702488,44.460445,-0.16991113,26.676268,-0.16991113,-0.038031138,-0.038031138,-0.43338591,157.07422,157.07422,18.446594,-27.887463,106.96556
1.2063,-14.467307,-0.43338913,221.89069,-5.1874032,-0.41148067,106.98127,221.89069,-0.41148067,43.843307,-0.1829204,26.305984,-0.1829204,-0.037995405,-0.037995405,-0.43338913,157.06624,157.06624,19.155382,-28.09667,106.98127
1.2064,-13.643335,-0.43339226,221.9221,-3.6237483,-0.40553066,106.99698,221.9221,-0.40553066,43.178978,-0.19574896,25.907387,-0.19574896,-0.037959959,-0.037959959,-0.43339226,157.05829,157.05829,19.843651,-28.275696,106.99698
1.2065001,-12.804597,-0.43339536,221.95352,-2.056042,-0.39918071,107.01268,221.95352,-0.39918071,42.468102,-0.20838411,25.480862,-0.20838411,-0.037924804,-0.037924804,-0.43339536,157.05034,157.05034,20.510626,-28.424301,107.01268
1.2066,-11.951987,-0.43339837,221.98494,-0.48597819,-0.39243716,107.02839,221.98494,-0.39243716,41.711403,-0.22081342,25.026842,-0.22081342,-0.037889939,-0.037889939,-0.43339837,157.04242,157.04242,21.15556,-28.542294,107.02839
1.2067,-11.086426,-0.43340135,222.01636,1.0847361,-0.38530666,107.04409,222.01636,-0.38530666,40.909687,-0.23302461,24.545813,-0.23302461,-0.037855368,-0.037855368,-0.43340135,157.0345,157.0345,21.777744,-28.629534,107.04409
1.2068,-10.208834,-0.43340427,222.04778,2.6543992,-0.37779623,107.05979,222.04778,-0.37779623,40.063759,-0.24500565,24.038256,-0.24500565,-0.037821095,-0.037821095,-0.43340427,157.02661,157.02661,22.376474,-28.685883,107.05979
1.2069,-9.3201513,-0.4334071,222.07918,4.2213063,-0.36991328,107.07549,222.07918,-0.36991328,39.174492,-0.25674471,23.504694,-0.25674471,-0.037787121,-0.037787121,-0.4334071,157.01872,157.01872,22.951075,-28.711245,107.07549
1.207,-8.4213409,-0.4334099,222.1106,5.7837491,-0.36166567,107.09119,222.1106,-0.36166567,38.242832,-0.26823023,22.9457,-0.26823023,-0.037753452,-0.037753452,-0.4334099,157.01086,157.01086,23.500906,-28.705582,107.09119
1.2071,-7.5133696,-0.43341261,222.14201,7.3400235,-0.3530615,107.1069,222.14201,-0.3530615,37.269749,-0.27945089,22.361849,-0.27945089,-0.037720084,-0.037720084,-0.43341261,157.00301,157.00301,24.025345,-28.668863,107.1069
1.2072001,-6.5972114,-0.43341526,222.17343,8.8884315,-0.34410927,107.1226,222.17343,-0.34410927,36.256245,-0.29039559,21.753746,-0.29039559,-0.037687022,-0.037687022,-0.43341526,156.99518,156.99518,24.523788,-28.601089,107.1226
1.2072999,-5.6738644,-0.43341786,222.20485,10.427278,-0.33481786,107.1383,222.20485,-0.33481786,35.203411,-0.30105355,21.122047,-0.30105355,-0.037654273,-0.037654273,-0.43341786,156.98737,156.98737,24.995686,-28.502327,107.1383
1.2074,-4.7443275,-0.43342039,222.23627,11.954876,-0.32519642,107.15399,222.23627,-0.32519642,34.112362,-0.31141427,20.467417,-0.31141427,-0.037621833,-0.037621833,-0.43342039,156.97955,156.97955,25.440493,-28.372648,107.15399
1.2075,-3.8096044,-0.43342286,222.26768,13.469549,-0.31525445,107.16969,222.26768,-0.31525445,32.984226,-0.32146752,19.790535,-0.32146752,-0.037589706,-0.037589706,-0.43342286,156.97177,156.97177,25.857689,-28.212152,107.16969
1.2076,-2.8707163,-0.43342525,222.2991,14.969635,-0.3050018,107.18539,222.2991,-0.3050018,31.820229,-0.3312034,19.092136,-0.3312034,-0.037557896,-0.037557896,-0.43342525,156.96402,156.96402,26.246809,-28.021009,107.18539
1.2077,-1.9286854,-0.43342757,222.33051,16.453482,-0.29444858,107.20109,222.33051,-0.29444858,30.621611,-0.34061232,18.372967,-0.34061232,-0.037526406,-0.037526406,-0.43342757,156.95627,156.95627,26.607407,-27.799398,107.20109
1.2078,-0.98453343,-0.43342984,222.36192,17.919449,-0.28360522,107.21678,222.36192,-0.28360522,29.389631,-0.34968501,17.633778,-0.34968501,-0.037495233,-0.037495233,-0.43342984,156.94853,156.94853,26.939045,-27.54752,107.21678
1.2079,-0.039296005,-0.43343201,222.39334,19.365925,-0.27248242,107.23248,222.39334,-0.27248242,28.125629,-0.3584125,16.875378,-0.3584125,-0.037464388,-0.037464388,-0.43343201,156.94083,156.94083,27.241352,-27.265638,107.23248
1.2079999,0.90599275,-0.43343413,222.42476,20.791311,-0.2610912,107.24817,222.42476,-0.2610912,26.830969,-0.36678618,16.098581,-0.36678618,-0.037433863,-0.037433863,-0.43343413,156.93312,156.93312,27.513979,-26.954044,107.24817
1.2081,1.850302,-0.43343616,222.45618,22.194019,-0.24944276,107.26386,222.45618,-0.24944276,25.507013,-0.37479785,15.304208,-0.37479785,-0.037403669,-0.037403669,-0.43343616,156.92545,156.92545,27.75658,-26.613031,107.26386
1.2082,2.792593,-0.43343812,222.48759,23.572506,-0.23754862,107.27956,222.48759,-0.23754862,24.155214,-0.38243958,14.493128,-0.38243958,-0.037373804,-0.037373804,-0.43343812,156.91779,156.91779,27.968884,-26.242968,107.27956
1.2083,3.7318306,-0.43344,222.51901,24.92524,-0.22542055,107.29524,222.51901,-0.22542055,22.777037,-0.38970387,13.666222,-0.38970387,-0.037344269,-0.037344269,-0.43344,156.91014,156.91014,28.15064,-25.844242,107.29524
1.2084,4.6669841,-0.43344182,222.55043,26.250706,-0.21307051,107.31094,222.55043,-0.21307051,21.373943,-0.39658353,12.824366,-0.39658353,-0.037315071,-0.037315071,-0.43344182,156.90251,156.90251,28.3016,-25.417244,107.31094
1.2085,5.597023,-0.43344355,222.58183,27.547436,-0.20051068,107.32662,222.58183,-0.20051068,19.947477,-0.40307176,11.968487,-0.40307176,-0.037286207,-0.037286207,-0.43344355,156.89491,156.89491,28.421591,-24.96244,107.32662
1.2086,6.5209212,-0.43344519,222.61325,28.813993,-0.1877535,107.34232,222.61325,-0.1877535,18.499195,-0.40916225,11.099518,-0.40916225,-0.037257683,-0.037257683,-0.43344519,156.88733,156.88733,28.510469,-24.480318,107.34232
1.2086999,7.4376593,-0.43344676,222.64467,30.048941,-0.17481153,107.358,222.64467,-0.17481153,17.030645,-0.41484895,10.218387,-0.41484895,-0.037229501,-0.037229501,-0.43344676,156.87976,156.87976,28.568083,-23.971357,107.358
1.2088,8.3462238,-0.43344826,222.67609,31.250912,-0.16169755,107.37369,222.67609,-0.16169755,15.543444,-0.42012629,9.326066,-0.42012629,-0.037201662,-0.037201662,-0.43344826,156.87221,156.87221,28.594366,-23.436117,107.37369
1.2089,9.2456102,-0.43344966,222.7075,32.418568,-0.14842454,107.38937,222.7075,-0.14842454,14.039223,-0.42498904,8.4235334,-0.42498904,-0.037174165,-0.037174165,-0.43344966,156.86469,156.86469,28.589275,-22.875174,107.38937
1.209,10.134819,-0.433451,222.73892,33.550571,-0.13500556,107.40506,222.73892,-0.13500556,12.5196,-0.42943245,7.5117602,-0.42943245,-0.037147019,-0.037147019,-0.433451,156.85716,156.85716,28.552765,-22.289103,107.40506
1.2091,11.012866,-0.43345225,222.77034,34.645672,-0.1214539,107.42075,222.77034,-0.1214539,10.986255,-0.43345213,6.5917525,-0.43345213,-0.037120219,-0.037120219,-0.43345225,156.84967,156.84967,28.484871,-21.678545,107.42075
1.2092,11.878777,-0.43345338,222.80176,35.702641,-0.10778291,107.43643,222.80176,-0.10778291,9.4408731,-0.43704414,5.6645241,-0.43704414,-0.037093773,-0.037093773,-0.43345338,156.84219,156.84219,28.385656,-21.044168,107.43643
1.2093,12.731583,-0.43345445,222.83316,36.720261,-0.094006084,107.45212,222.83316,-0.094006084,7.8851304,-0.44020495,4.7310781,-0.44020495,-0.037067682,-0.037067682,-0.43345445,156.83475,156.83475,28.255178,-20.386627,107.45212
1.2094001,13.570337,-0.43345547,222.86458,37.697395,-0.080137037,107.4678,222.86458,-0.080137037,6.3207474,-0.44293144,3.7924483,-0.44293144,-0.037041944,-0.037041944,-0.43345547,156.82732,156.82732,28.093576,-19.706648,107.4678
1.2095,14.394109,-0.43345636,222.896,38.632957,-0.066189446,107.48348,222.896,-0.066189446,4.7494521,-0.44522095,2.8496711,-0.44522095,-0.037016563,-0.037016563,-0.43345636,156.8199,156.8199,27.901022,-19.004974,107.48348
1.2096,15.201968,-0.43345717,222.92741,39.525845,-0.052177083,107.49916,222.92741,-0.052177083,3.1729577,-0.44707125,1.9037746,-0.44707125,-0.036991544,-0.036991544,-0.43345717,156.8125,156.8125,27.677673,-18.282341,107.49916
1.2097,15.993018,-0.43345788,222.95883,40.375069,-0.038113773,107.51485,222.95883,-0.038113773,1.5930116,-0.44848052,0.95580697,-0.44848052,-0.036966886,-0.036966886,-0.43345788,156.80513,156.80513,27.423775,-17.539547,107.51485
1.2098,16.766376,-0.43345851,222.99025,41.179668,-0.024013404,107.53053,222.99025,-0.024013404,0.011363172,-0.44944736,0.0068179034,-0.44944736,-0.036942594,-0.036942594,-0.43345851,156.79778,156.79778,27.139597,-16.777407,107.53053
1.2099,17.521166,-0.43345904,223.02167,41.938694,-0.0098898821,107.5462,223.02167,-0.0098898821,-1.5702498,-0.44997087,-0.94214988,-0.44997087,-0.03691867,-0.03691867,-0.43345904,156.79045,156.79045,26.825411,-15.996735,107.5462
1.21,18.256544,-0.43345949,223.05309,42.651291,0.0042428514,107.56188,223.05309,0.0042428514,-3.1500735,-0.45005053,-1.8900441,-0.45005053,-0.036895111,-0.036895111,-0.43345949,156.78314,156.78314,26.481552,-15.198387,107.56188
1.2101001,18.971689,-0.43345985,223.08449,43.316658,0.018370848,107.57756,223.08449,0.018370848,-4.7263541,-0.44968632,-2.8358126,-0.44968632,-0.036871921,-0.036871921,-0.43345985,156.77585,156.77585,26.108397,-14.383247,107.57756
1.2102,19.665787,-0.43346012,223.11591,43.933998,0.032480169,107.59324,223.11591,0.032480169,-6.297348,-0.44887856,-3.778409,-0.44887856,-0.036849108,-0.036849108,-0.43346012,156.76857,156.76857,25.706316,-13.552193,107.59324
1.2103,20.338057,-0.4334603,223.14732,44.502602,0.04655689,107.60892,223.14732,0.04655689,-7.8613114,-0.44762805,-4.7167869,-0.44762805,-0.036826666,-0.036826666,-0.4334603,156.76132,156.76132,25.275745,-12.706135,107.60892
1.2104,20.987745,-0.43346035,223.17874,45.021828,0.060587127,107.62459,223.17874,0.060587127,-9.416503,-0.44593611,-5.6499019,-0.44593611,-0.036804598,-0.036804598,-0.43346035,156.75409,156.75409,24.817154,-11.846013,107.62459
