"Time","aimc.is[1]","aimc.is[2]","aimc.idq_sr[1]","aimc.idq_sr[2]","aimc.idq_rr[1]","aimc.idq_rr[2]","vfController.x","mass.s","mass.v"
0.27200001,-296.78107,131.98642,289.96051,66.035583,-269.85825,-101.15168,11.62138,0.074535243,0.90897185
0.273,-293.06433,105.23196,284.95306,83.442978,-263.90253,-117.51044,11.706988,0.075450972,0.92246616
0.27399999,-286.83008,77.50235,279.19376,100.57324,-257.24689,-133.53365,11.792911,0.076380134,0.93584085
0.27500001,-278.10245,49.002003,272.71228,117.39168,-249.92284,-149.18924,11.879148,0.07732261,0.94907552
0.27599999,-266.92538,19.944019,265.53925,133.86575,-241.96275,-164.4474,11.965698,0.078278236,0.96215153
0.27700001,-253.3624,-9.4514017,257.70609,149.96504,-233.39954,-179.28046,12.052563,0.079246849,0.975052
0.278,-237.49648,-38.958607,249.24469,165.66109,-224.26645,-193.66277,12.139742,0.080228277,0.98776209
0.27900001,-219.42969,-68.348175,240.18724,180.92741,-214.59695,-207.57066,12.227236,0.081222311,1.0002685
0.28,-199.28259,-97.388664,230.56612,195.73935,-204.42445,-220.98236,12.315043,0.082228743,1.01256
0.28099999,-177.19363,-125.84838,220.41362,210.07396,-193.78223,-233.87782,12.403165,0.083247356,1.024627
0.28200001,-153.31824,-153.49719,209.76193,223.90991,-182.70325,-246.23863,12.491601,0.084277913,1.0364616
0.28299999,-127.82799,-180.10832,198.64294,237.22736,-171.22009,-258.04791,12.580351,0.085320197,1.0480574
0.28400001,-100.90942,-205.46017,187.08823,250.00789,-159.36487,-269.29019,12.669415,0.086373948,1.0594101
0.285,-72.762871,-229.33815,175.12886,262.23434,-147.16911,-279.95132,12.758793,0.087438934,1.0705161
0.28600001,-43.601131,-251.53639,162.79553,273.89072,-134.66382,-290.01831,12.848486,0.088514902,1.0813739
0.287,-13.648,-271.85956,150.11838,284.96219,-121.87936,-299.47931,12.938492,0.089601599,1.091983
0.28799999,16.863277,-290.12454,137.12704,295.43481,-108.84544,-308.32346,13.028813,0.090698786,1.102344
0.289,47.691654,-306.16205,123.85062,305.29565,-95.591187,-316.54083,13.119448,0.091806203,1.1124592
0.28999999,78.590042,-319.81821,110.31773,314.53259,-82.145103,-324.12238,13.210397,0.092923619,1.1223313
0.29100001,109.30714,-330.95621,96.556503,323.13428,-68.535095,-331.05981,13.301661,0.094050787,1.1319644
0.292,139.58932,-339.45746,82.594604,331.09012,-54.788525,-337.34561,13.393238,0.09518747,1.1413635
0.29300001,169.18266,-345.22305,68.459297,338.39026,-40.932255,-342.97299,13.485129,0.096333437,1.1505343
0.294,197.83488,-348.17502,54.177475,345.02545,-26.992661,-347.93582,13.577335,0.097488463,1.1594833
0.29499999,225.29749,-348.2572,39.775707,350.98715,-12.995713,-352.22861,13.669855,0.098652333,1.1682178
0.296,251.32785,-345.43634,25.280306,356.26743,1.0329853,-355.84653,13.762689,0.099824831,1.1767457
0.29699999,275.69128,-339.70279,10.717368,360.85901,15.068145,-358.7854,13.855837,0.10100576,1.1850752
0.29800001,298.16321,-331.07114,-3.8871734,364.75531,29.084736,-361.04166,13.9493,0.10219492,1.1932156
0.29899999,318.53119,-319.58063,-18.50749,367.95038,43.057938,-362.61246,14.043077,0.10339213,1.2011764
0.30000001,336.59711,-305.29541,-33.117809,370.43896,56.963085,-363.49564,14.137167,0.10459722,1.2089674
0.301,352.17902,-288.30469,-47.692371,372.21655,70.775627,-363.68967,14.231572,0.10581001,1.2165993
0.30199999,365.11325,-268.72232,-62.205383,373.27945,84.471085,-363.19388,14.326291,0.10703036,1.2240826
0.303,375.2561,-246.68678,-76.630974,373.62473,98.025009,-362.00833,14.421324,0.10825813,1.2314285
0.30399999,382.48587,-222.36034,-90.943192,373.25037,111.41297,-360.13397,14.516671,0.10949318,1.2386485
0.30500001,386.7041,-195.9283,-105.11594,372.15527,124.6105,-357.57263,14.612333,0.11073539,1.2457545
0.30599999,387.83737,-167.59799,-119.12297,370.33936,137.59311,-354.32712,14.708308,0.11198466,1.2527584
0.30700001,385.83847,-137.59747,-132.93791,367.80362,150.33624,-350.40118,14.804598,0.11324088,1.2596724
0.308,380.68753,-106.174,-146.53421,364.55014,162.81532,-345.79971,14.901202,0.11450397,1.2665091
0.30899999,372.39294,-73.592278,-159.88519,360.58218,175.00572,-340.52869,14.99812,0.11577387,1.2732812
0.31,360.992,-40.132553,-172.96404,355.9043,186.88281,-334.59531,15.095353,0.11705052,1.2800015
0.31099999,346.55145,-6.0883241,-185.74385,350.52243,198.42197,-328.00803,15.192899,0.11833386,1.286683
0.31200001,329.16748,28.235958,-198.19763,344.44376,209.59856,-320.77655,15.29076,0.11962388,1.2933385
0.31299999,308.96579,62.527561,-210.29842,337.67709,220.38812,-312.91202,15.388934,0.12092054,1.2999812
0.31400001,286.10114,96.46817,-222.01927,330.23264,230.7663,-304.42697,15.487424,0.12222384,1.3066242
0.315,260.75656,129.73691,-233.33339,322.12222,240.70895,-295.33536,15.586226,0.12353379,1.3132802
0.31600001,233.14255,162.01329,-244.21413,313.35931,250.19226,-285.65271,15.685344,0.12485041,1.3199623
0.317,203.49553,192.98051,-254.63516,303.95895,259.19272,-275.396,15.784775,0.12617372,1.3266828
0.31799999,172.07631,222.3287,-264.57056,293.93793,267.68738,-264.58383,15.884521,0.12750378,1.3334544
0.31900001,139.16818,249.75818,-273.99484,283.31476,275.65378,-253.23636,15.98458,0.12884066,1.3402891
0.31999999,105.07453,274.98282,-282.88318,272.10962,283.07019,-241.37527,16.084955,0.1301844,1.3471987
0.32100001,70.116394,297.73346,-291.21143,260.34448,289.91565,-229.0239,16.185642,0.13153508,1.3541945
0.322,34.629498,317.76099,-298.95636,248.04295,296.1701,-216.20705,16.286644,0.13289282,1.3612874
0.32300001,-1.0387838,334.83975,-306.09567,235.23036,301.81461,-202.95111,16.38796,0.13425769,1.3684876
0.324,-36.532845,348.77039,-312.60825,221.93369,306.83127,-189.28389,16.489592,0.13562983,1.3758048
0.32499999,-71.492409,359.38275,-318.47415,208.18147,311.20352,-175.23465,16.591536,0.13700934,1.3832481
0.32600001,-105.5563,366.53857,-323.67493,194.00383,314.91626,-160.83401,16.693794,0.13839637,1.3908256
0.32699999,-138.36638,370.13379,-328.19354,179.43225,317.95587,-146.11382,16.796368,0.13979104,1.398545
0.32800001,-169.57153,370.10059,-332.01468,164.49966,320.31036,-131.10712,16.899256,0.14119351,1.406413
0.329,-198.8318,366.40915,-335.12485,149.24016,321.96957,-115.84799,17.002457,0.14260392,1.4144353
0.33000001,-225.82246,359.069,-337.51233,133.68903,322.92514,-100.37153,17.105972,0.14402243,1.4226168
0.331,-250.2381,348.12985,-339.16748,117.88251,323.17072,-84.713547,17.209801,0.14544921,1.4309617
0.33199999,-271.79654,333.68204,-340.0827,101.85772,322.70193,-68.910622,17.313946,0.14688441,1.439473
0.333,-290.24277,315.8566,-340.25266,85.652496,321.5166,-52.999805,17.418404,0.14832821,1.448153
0.33399999,-305.35245,294.82474,-339.67413,69.305206,319.61469,-37.018555,17.523176,0.14978077,1.4570029
0.33500001,-316.93542,270.79678,-338.34628,52.854645,316.99832,-21.004559,17.628262,0.15124227,1.4660228
0.336,-324.83859,244.02066,-336.2706,36.339802,313.67191,-4.9955463,17.733662,0.15271287,1.4752127
0.33700001,-328.94885,214.77985,-333.45087,19.799772,309.64215,10.970819,17.839376,0.15419275,1.4845707
0.338,-329.1951,183.39087,-329.89334,3.2735229,304.91794,26.857143,17.945406,0.15568207,1.4940951
0.33899999,-325.55032,150.20021,-325.60651,-13.200227,299.51041,42.626438,18.051748,0.15718099,1.5037825
0.34,-318.03271,115.58081,-320.60126,-29.583193,293.43286,58.242287,18.158405,0.15868969,1.5136296
0.34099999,-306.70654,79.928169,-314.89069,-45.837658,286.70078,73.668961,18.265377,0.16020831,1.5236318
0.34200001,-291.6825,43.655945,-308.4902,-61.926632,279.33173,88.871605,18.372662,0.16173701,1.5337846
0.34299999,-273.117,7.1912961,-301.41727,-77.813988,271.34518,103.81631,18.480261,0.16327593,1.5440824
0.34400001,-251.21161,-29.030134,-293.69147,-93.4646,262.76263,118.47031,18.588175,0.16482522,1.5545197
0.345,-226.21124,-64.56945,-285.33429,-108.84444,253.60732,132.802,18.696404,0.16638501,1.5650901
0.34599999,-198.40204,-98.989929,-276.36911,-123.92072,243.90411,146.78111,18.804945,0.16795544,1.5757872
0.347,-168.1086,-131.86255,-266.82104,-138.66196,233.67955,160.3788,18.913801,0.16953662,1.5866046
0.34799999,-135.69066,-162.77156,-256.71677,-153.03807,222.9615,173.56764,19.022972,0.17112869,1.5975355
0.34900001,-101.53925,-191.31999,-246.08444,-167.02048,211.77921,186.32178,19.132456,0.17273173,1.608573
0.34999999,-66.07222,-217.13512,-234.95354,-180.58211,200.16301,198.61694,19.242254,0.17434587,1.6197106
