"Time","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","mass.s","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","imcQS.rotorCage.port_p.reference.gamma","massQS.v","mass.v","imc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","vfController.x","massQS.s","imc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
4.0018001,-0.29387045,25.829584,0.24020599,70.035858,7.5417194,7.5421877,-0.29360372,1100.1224,25.752163,0.3667281
4.0019002,-0.29350525,25.830339,0.25158608,70.037048,7.5416641,7.5421839,-0.29396921,1100.1538,25.752918,0.35901657
4.0019999,-0.2931397,25.831093,0.26271763,70.038239,7.5416059,7.5421796,-0.29433417,1100.1851,25.753672,0.35095257
4.0021,-0.29277381,25.831848,0.27359003,70.039421,7.5415449,7.5421753,-0.29469857,1100.2164,25.754427,0.34254435
4.0022001,-0.29240763,25.832602,0.28419244,70.040604,7.541481,7.5421705,-0.29506242,1100.2478,25.75518,0.33380023
4.0022998,-0.29204112,25.833355,0.29451454,70.041786,7.5414138,7.5421653,-0.29542574,1100.2792,25.755934,0.32472906
4.0023999,-0.29167429,25.83411,0.30454642,70.042961,7.5413442,7.5421596,-0.2957885,1100.3105,25.756689,0.31533962
4.0025001,-0.29130715,25.834864,0.31427824,70.044136,7.5412717,7.5421534,-0.29615071,1100.3418,25.757442,0.30564132
4.0026002,-0.29093975,25.835619,0.32370049,70.045303,7.5411963,7.5421467,-0.29651234,1100.3732,25.758198,0.29564396
4.0026999,-0.29057205,25.836372,0.33280402,70.046471,7.5411181,7.5421391,-0.29687342,1100.4045,25.758951,0.28535727
4.0028,-0.29020405,25.837128,0.34158012,70.047638,7.5410371,7.5421314,-0.29723391,1100.4358,25.759705,0.27479136
4.0029001,-0.28983578,25.837881,0.35002014,70.048798,7.5409532,7.5421233,-0.29759386,1100.4672,25.76046,0.26395684
4.0029998,-0.28946725,25.838634,0.35811588,70.049957,7.5408669,7.5421143,-0.29795322,1100.4985,25.761213,0.25286439
4.0030999,-0.28909844,25.83939,0.36585969,70.051117,7.5407772,7.5421047,-0.29831198,1100.5298,25.761967,0.24152482
4.0032001,-0.2887294,25.840143,0.37324393,70.052269,7.5406852,7.5420947,-0.29867017,1100.5612,25.762722,0.22994943
4.0033002,-0.28836009,25.840899,0.38026139,70.053421,7.5405898,7.5420842,-0.2990278,1100.5924,25.763475,0.21814969
4.0033998,-0.28799054,25.841652,0.38690552,70.054573,7.5404921,7.5420728,-0.2993848,1100.6238,25.764229,0.206137
4.0035,-0.28762072,25.842407,0.39316976,70.055717,7.5403914,7.5420609,-0.29974124,1100.655,25.764984,0.19392334
4.0036001,-0.28725073,25.843161,0.39904803,70.056862,7.5402884,7.5420485,-0.30009708,1100.6864,25.765738,0.18152085
4.0036998,-0.28688046,25.843914,0.40453491,70.057999,7.5401821,7.5420351,-0.30045232,1100.7177,25.766491,0.16894142
4.0037999,-0.28650999,25.844669,0.40962493,70.059135,7.5400734,7.5420213,-0.30080697,1100.749,25.767246,0.15619762
4.0039001,-0.28613931,25.845423,0.41431326,70.060272,7.5399623,7.5420065,-0.30116102,1100.7803,25.768,0.14330205
4.0040002,-0.28576842,25.846178,0.41859543,70.061401,7.5398479,7.5419912,-0.30151445,1100.8115,25.768753,0.13026728
4.0040998,-0.28539732,25.846931,0.42246741,70.062531,7.539731,7.5419755,-0.30186728,1100.8429,25.769508,0.11710607
4.0042,-0.28502604,25.847685,0.42592546,70.06366,7.5396113,7.5419583,-0.30221951,1100.8741,25.770262,0.10383142
4.0043001,-0.28465456,25.84844,0.42896634,70.064789,7.5394893,7.5419412,-0.30257112,1100.9054,25.771015,0.090456337
4.0043998,-0.28428289,25.849194,0.43158719,70.06591,7.5393643,7.5419226,-0.30292213,1100.9366,25.77177,0.076993898
4.0044999,-0.28391105,25.849949,0.43378559,70.067024,7.5392365,7.5419035,-0.30327249,1100.968,25.772524,0.063457295
4.0046,-0.28353906,25.850702,0.43555948,70.068138,7.5391064,7.5418835,-0.30362228,1100.9993,25.773277,0.049859785
4.0047002,-0.28316689,25.851458,0.43690726,70.069252,7.5389733,7.541863,-0.30397141,1101.0305,25.774031,0.036214665
4.0047998,-0.28279454,25.852211,0.43782774,70.070366,7.5388379,7.5418415,-0.30431992,1101.0618,25.774786,0.022535266
4.0049,-0.28242207,25.852964,0.43832013,70.071472,7.5386996,7.5418191,-0.30466783,1101.093,25.775539,0.0088349534
4.0050001,-0.28204942,25.85372,0.43838409,70.072578,7.538559,7.5417957,-0.30501509,1101.1243,25.776293,-0.0048728688
4.0050998,-0.28167665,25.854473,0.43801963,70.073685,7.5384154,7.5417719,-0.30536172,1101.1555,25.777046,-0.018574821
4.0051999,-0.28130373,25.855228,0.43722728,70.074783,7.5382695,7.5417466,-0.30570772,1101.1868,25.777802,-0.032257523
4.0053,-0.2809307,25.855982,0.43600789,70.075882,7.5381207,7.5417209,-0.3060531,1101.218,25.778555,-0.045907624
4.0054002,-0.28055751,25.856735,0.43436277,70.076981,7.5379696,7.5416942,-0.30639783,1101.2493,25.779308,-0.059511807
4.0054998,-0.28018424,25.857491,0.43229365,70.078072,7.5378156,7.5416665,-0.30674192,1101.2805,25.780062,-0.073056787
4.0056,-0.27981085,25.858244,0.42980266,70.079163,7.5376596,7.5416374,-0.30708539,1101.3118,25.780815,-0.086529389
4.0057001,-0.27943733,25.858999,0.42689234,70.080254,7.5375004,7.5416079,-0.30742821,1101.343,25.78157,-0.099916473
4.0057998,-0.27906373,25.859753,0.42356566,70.081337,7.5373392,7.5415773,-0.3077704,1101.3743,25.782324,-0.113205
4.0058999,-0.27869001,25.860506,0.41982594,70.08242,7.5371752,7.5415459,-0.30811194,1101.4055,25.783077,-0.12638205
4.006,-0.27831623,25.861261,0.41567695,70.083504,7.5370083,7.5415134,-0.30845281,1101.4368,25.783831,-0.13943481
4.0061002,-0.27794236,25.862015,0.41112286,70.084579,7.5368395,7.5414801,-0.30879307,1101.4679,25.784584,-0.15235059
4.0061998,-0.2775684,25.86277,0.40616822,70.085655,7.5366678,7.5414453,-0.30913267,1101.4991,25.785337,-0.16511685
4.0063,-0.27719438,25.863523,0.40081796,70.086731,7.5364938,7.54141,-0.30947161,1101.5304,25.786091,-0.17772116
4.0064001,-0.27682027,25.864277,0.39507738,70.087799,7.5363173,7.5413733,-0.30980992,1101.5616,25.786846,-0.19015132
4.0064998,-0.27644613,25.865032,0.3889522,70.088867,7.5361381,7.5413356,-0.31014755,1101.5928,25.7876,-0.20239526
4.0065999,-0.27607194,25.865786,0.38244846,70.089935,7.5359569,7.541297,-0.31048456,1101.624,25.788353,-0.21444111
4.0067,-0.27569768,25.866539,0.37557262,70.090996,7.5357728,7.5412574,-0.31082091,1101.6553,25.789106,-0.22627719
4.0068002,-0.27532336,25.867294,0.36833146,70.092056,7.5355864,7.5412169,-0.3111566,1101.6864,25.78986,-0.23789205
4.0068998,-0.27494901,25.868048,0.36073214,70.093117,7.5353971,7.5411749,-0.31149164,1101.7177,25.790613,-0.24927443
4.007,-0.27457464,25.868803,0.3527821,70.09417,7.5352058,7.541132,-0.31182602,1101.7489,25.791367,-0.26041332
4.0071001,-0.27420026,25.869556,0.34448919,70.095222,7.5350122,7.5410876,-0.31215975,1101.78,25.79212,-0.27129793
4.0071998,-0.27382582,25.87031,0.33586159,70.096275,7.5348158,7.5410423,-0.31249279,1101.8113,25.792873,-0.28191781
4.0072999,-0.27345139,25.871065,0.32690775,70.097328,7.5346169,7.5409961,-0.3128252,1101.8424,25.793627,-0.29226261
4.0074,-0.27307695,25.871819,0.31763649,70.098373,7.5344162,7.5409484,-0.31315693,1101.8737,25.79438,-0.30232242
4.0075002,-0.27270252,25.872572,0.30805689,70.099419,7.5342126,7.5408998,-0.31348804,1101.9048,25.795134,-0.31208748
4.0075998,-0.27232805,25.873327,0.29817829,70.100464,7.5340066,7.5408502,-0.31381845,1101.9359,25.795887,-0.3215484
4.0077,-0.27195361,25.874081,0.28801045,70.101501,7.5337987,7.5407991,-0.31414822,1101.9672,25.79664,-0.33069611
4.0078001,-0.27157918,25.874834,0.27756327,70.102539,7.5335879,7.5407467,-0.31447729,1101.9983,25.797394,-0.33952174
4.0079002,-0.27120477,25.875589,0.26684695,70.103577,7.5333748,7.5406933,-0.31480575,1102.0295,25.798147,-0.34801683
4.0079999,-0.27083039,25.876343,0.25587204,70.104607,7.5331597,7.5406389,-0.31513351,1102.0607,25.798901,-0.35617325
4.0081,-0.27045605,25.877098,0.2446492,70.105637,7.5329418,7.5405827,-0.31546059,1102.0918,25.799654,-0.36398312
4.0082002,-0.2700817,25.877851,0.2331894,70.106667,7.5327215,7.5405259,-0.31578702,1102.1229,25.800407,-0.37143895
4.0082998,-0.26970744,25.878605,0.22150384,70.107697,7.5324993,7.5404673,-0.31611279,1102.1542,25.801161,-0.37853363
4.0084,-0.26933318,25.87936,0.20960391,70.108719,7.5322747,7.5404077,-0.3164379,1102.1853,25.801914,-0.38526037
4.0085001,-0.26895902,25.880114,0.19750118,70.109741,7.5320477,7.5403471,-0.31676233,1102.2164,25.802668,-0.39161274
4.0086002,-0.26858488,25.880867,0.18520747,70.110756,7.5318184,7.5402846,-0.3170861,1102.2476,25.803421,-0.39758462
4.0086999,-0.26821083,25.881622,0.17273474,70.111778,7.5315866,7.5402212,-0.31740919,1102.2787,25.804174,-0.40317038
4.0088,-0.26783684,25.882376,0.16009513,70.112793,7.5313525,7.5401568,-0.31773162,1102.3098,25.804928,-0.40836468
4.0089002,-0.26746291,25.883129,0.14730093,70.1138,7.5311165,7.5400906,-0.31805336,1102.3411,25.805679,-0.41316259
4.0089998,-0.26708907,25.883883,0.13436458,70.114815,7.5308781,7.5400233,-0.31837445,1102.3722,25.806433,-0.41755956
4.0091,-0.26671532,25.884638,0.12129864,70.115822,7.5306373,7.5399547,-0.31869486,1102.4033,25.807186,-0.42155144
4.0092001,-0.26634163,25.885391,0.10811581,70.116829,7.5303941,7.5398846,-0.31901461,1102.4344,25.80794,-0.42513445
4.0093002,-0.26596805,25.886145,0.094828881,70.117836,7.530149,7.539813,-0.31933367,1102.4656,25.808693,-0.42830524
4.0093999,-0.2655946,25.8869,0.081450753,70.118835,7.5299015,7.5397401,-0.31965205,1102.4967,25.809444,-0.43106085
4.0095,-0.26522124,25.887653,0.067994393,70.119835,7.5296516,7.5396662,-0.31996977,1102.5277,25.810198,-0.43339869
4.0096002,-0.26484796,25.888407,0.054472849,70.120834,7.5293999,7.5395908,-0.32028684,1102.5588,25.810951,-0.43531662
4.0096998,-0.26447484,25.889162,0.040899221,70.121826,7.5291457,7.5395136,-0.32060319,1102.59,25.811705,-0.43681291
4.0098,-0.26410183,25.889915,0.027286649,70.122826,7.5288892,7.5394354,-0.32091892,1102.6211,25.812456,-0.43788618
4.0099001,-0.26372895,25.890669,0.013648313,70.123817,7.5286307,7.5393558,-0.32123393,1102.6522,25.81321,-0.43853551
4.0100002,-0.26335618,25.891422,-2.5882e-06,70.124802,7.5283699,7.5392747,-0.32154828,1102.6833,25.813963,-0.4387604
4.0100999,-0.26298356,25.892178,-0.013652854,70.125793,7.5281072,7.5391917,-0.32186195,1102.7144,25.814716,-0.43856072
4.0102,-0.26261109,25.892931,-0.02728929,70.126778,7.5278416,7.5391078,-0.32217497,1102.7455,25.815468,-0.43793678
4.0103002,-0.26223877,25.893684,-0.040898718,70.127762,7.5275745,7.5390224,-0.32248729,1102.7766,25.816221,-0.43688929
4.0103998,-0.2618666,25.894438,-0.054467998,70.128738,7.5273051,7.5389352,-0.32279894,1102.8077,25.816975,-0.43541935
4.0105,-0.26149461,25.895193,-0.067984022,70.129723,7.5270333,7.538847,-0.32310989,1102.8387,25.817726,-0.43352851
4.0106001,-0.26112276,25.895947,-0.081433758,70.130699,7.5267596,7.5387568,-0.3234202,1102.8699,25.81848,-0.43121868
4.0107002,-0.26075107,25.8967,-0.094804227,70.131668,7.5264835,7.5386653,-0.32372981,1102.901,25.819231,-0.42849222
4.0107999,-0.26037958,25.897453,-0.10808254,70.132645,7.5262055,7.5385723,-0.32403877,1102.932,25.819984,-0.42535183
4.0109,-0.26000825,25.898209,-0.1212559,70.133614,7.5259256,7.5384779,-0.32434702,1102.9631,25.820738,-0.4218007
4.0110002,-0.25963712,25.898962,-0.13431163,70.134583,7.5256433,7.5383821,-0.32465461,1102.9941,25.821489,-0.4178423
4.0110998,-0.25926617,25.899715,-0.14723715,70.135551,7.5253587,7.5382843,-0.32496151,1103.0253,25.822243,-0.41348058
4.0112,-0.25889543,25.900469,-0.16002002,70.136513,7.5250726,7.5381851,-0.32526776,1103.0563,25.822994,-0.40871984
4.0113001,-0.25852486,25.901224,-0.17264795,70.137474,7.5247836,7.5380845,-0.3255733,1103.0874,25.823748,-0.40356478
4.0114002,-0.25815454,25.901978,-0.18510881,70.138435,7.5244932,7.5379825,-0.32587817,1103.1184,25.824499,-0.39802045
4.0114999,-0.2577844,25.902731,-0.19739062,70.139397,7.5242004,7.5378785,-0.32618237,1103.1495,25.825253,-0.39209232
4.0116,-0.25741449,25.903484,-0.20948157,70.14035,7.5239058,7.5377731,-0.32648587,1103.1805,25.826004,-0.38578618
4.0117002,-0.25704479,25.904238,-0.22137006,70.141312,7.5236087,7.5376663,-0.32678872,1103.2115,25.826757,-0.37910819
4.0117998,-0.2566753,25.904993,-0.2330447,70.142265,7.5233097,7.5375576,-0.32709086,1103.2427,25.827509,-0.37206489
4.0118999,-0.25630605,25.905746,-0.24449427,70.143211,7.5230088,7.5374475,-0.32739234,1103.2737,25.828262,-0.36466318
4.0120001,-0.25593707,25.9065,-0.25570783,70.144165,7.522706,7.5373359,-0.32769313,1103.3047,25.829014,-0.35691023
4.0121002,-0.2555683,25.907253,-0.26667461,70.145111,7.5224009,7.5372224,-0.32799324,1103.3358,25.829765,-0.34881362
4.0121999,-0.25519976,25.908007,-0.27738413,70.146057,7.5220938,7.537107,-0.32829267,1103.3668,25.830519,-0.34038123
4.0123,-0.25483149,25.90876,-0.28782612,70.146996,7.5217848,7.5369906,-0.32859144,1103.3978,25.83127,-0.33162126
4.0124002,-0.25446346,25.909515,-0.29799062,70.147942,7.5214739,7.5368719,-0.32888949,1103.4288,25.832024,-0.32254219
4.0124998,-0.2540957,25.910269,-0.30786788,70.14888,7.5211606,7.5367517,-0.32918689,1103.4598,25.832775,-0.31315285
4.0125999,-0.25372821,25.911022,-0.31744853,70.149818,7.5208459,7.5366302,-0.3294836,1103.4908,25.833527,-0.30346239
4.0127001,-0.25336099,25.911776,-0.3267234,70.150749,7.5205288,7.5365067,-0.32977962,1103.522,25.83428,-0.29348013
4.0128002,-0.25299403,25.912529,-0.33568358,70.151688,7.5202098,7.5363817,-0.33007494,1103.553,25.835032,-0.28321579
4.0128999,-0.25262734,25.913282,-0.34432065,70.152618,7.5198889,7.5362549,-0.33036962,1103.584,25.835783,-0.2726793
4.013,-0.25226095,25.914036,-0.35262629,70.153549,7.5195661,7.5361261,-0.33066359,1103.615,25.836535,-0.26188084
4.0131001,-0.25189483,25.914791,-0.36059263,70.15448,7.5192409,7.535996,-0.33095688,1103.646,25.837288,-0.25083086
4.0131998,-0.25152901,25.915545,-0.3682121,70.155403,7.5189142,7.5358639,-0.33124948,1103.677,25.838039,-0.23954006
4.0132999,-0.25116348,25.916298,-0.37547746,70.156326,7.5185852,7.5357299,-0.33154142,1103.708,25.838791,-0.2280193
4.0134001,-0.25079826,25.917051,-0.3823818,70.157249,7.5182548,7.5355945,-0.33183265,1103.739,25.839542,-0.21627973
4.0135002,-0.25043333,25.917805,-0.38891861,70.158173,7.5179219,7.5354571,-0.33212322,1103.7699,25.840294,-0.20433266
4.0135999,-0.25006872,25.918558,-0.3950817,70.159088,7.5175877,7.5353179,-0.33241308,1103.8009,25.841045,-0.19218963
4.0137,-0.24970442,25.919312,-0.4008652,70.160011,7.517251,7.5351772,-0.33270228,1103.8319,25.841799,-0.17986234
4.0138001,-0.24934043,25.920065,-0.40626368,70.160927,7.5169129,7.5350347,-0.33299077,1103.8629,25.84255,-0.16736263
4.0138998,-0.24897675,25.920818,-0.41127208,70.161835,7.5165725,7.5348902,-0.3332786,1103.8939,25.843302,-0.15470259
4.0139999,-0.24861342,25.921572,-0.41588563,70.16275,7.5162306,7.5347438,-0.33356571,1103.9249,25.844053,-0.14189436
4.0141001,-0.24825041,25.922325,-0.42010003,70.163658,7.5158868,7.534596,-0.33385217,1103.9558,25.844805,-0.12895027
4.0142002,-0.24788773,25.923079,-0.42391136,70.164566,7.5155406,7.5344462,-0.33413795,1103.9868,25.845556,-0.11588278
4.0142999,-0.24752538,25.923832,-0.42731601,70.165474,7.515193,7.5342946,-0.33442301,1104.0178,25.846308,-0.10270442
4.0144,-0.24716339,25.924585,-0.43031085,70.166382,7.5148435,7.5341411,-0.33470741,1104.0487,25.847059,-0.089427881
4.0145001,-0.24680172,25.925339,-0.43289307,70.167282,7.514492,7.5339856,-0.3349911,1104.0797,25.847811,-0.076065883
4.0145998,-0.24644041,25.926092,-0.43506032,70.168182,7.5141387,7.5338283,-0.33527413,1104.1107,25.848562,-0.062631272
4.0146999,-0.24607946,25.926846,-0.43681064,70.169083,7.5137835,7.5336695,-0.33555645,1104.1416,25.849314,-0.049136911
4.0148001,-0.24571887,25.927599,-0.43814242,70.169983,7.5134268,7.5335083,-0.33583811,1104.1726,25.850065,-0.035595756
4.0149002,-0.24535862,25.928352,-0.43905449,70.170883,7.5130677,7.5333457,-0.33611906,1104.2035,25.850817,-0.022020776
4.0149999,-0.24499875,25.929106,-0.43954608,70.171776,7.5127072,7.5331807,-0.33639932,1104.2345,25.851568,-0.0084249778
4.0151,-0.24463925,25.929859,-0.4396168,70.172668,7.5123448,7.5330143,-0.33667889,1104.2654,25.85232,0.0051786206
4.0152001,-0.2442801,25.930613,-0.43926674,70.173561,7.511981,7.532846,-0.33695778,1104.2964,25.853069,0.018776996
4.0152998,-0.24392134,25.931366,-0.43849626,70.174446,7.5116148,7.5326753,-0.33723602,1104.3273,25.853821,0.032357145
4.0153999,-0.24356297,25.932119,-0.43730626,70.175339,7.5112472,7.5325031,-0.33751351,1104.3583,25.854572,0.045906074
4.0155001,-0.24320497,25.932873,-0.43569791,70.176224,7.5108776,7.5323291,-0.33779034,1104.3892,25.855324,0.05941084
4.0156002,-0.24284734,25.933626,-0.4336729,70.177109,7.5105062,7.5321527,-0.33806649,1104.42,25.856075,0.072858535
4.0156999,-0.24249011,25.93438,-0.43123323,70.177994,7.5101333,7.5319748,-0.33834195,1104.451,25.856825,0.086236313
4.0158,-0.24213329,25.935131,-0.42838135,70.178871,7.5097585,7.5317945,-0.3386167,1104.4819,25.857576,0.099531412
4.0159001,-0.24177684,25.935884,-0.42512009,70.179749,7.5093818,7.5316129,-0.33889079,1104.5128,25.858328,0.11273114
4.0159998,-0.24142081,25.936638,-0.42145264,70.180626,7.5090036,7.5314288,-0.33916417,1104.5438,25.859077,0.12582292
4.0160999,-0.24106516,25.937391,-0.4173826,70.181503,7.5086231,7.5312428,-0.33943686,1104.5747,25.859829,0.13879424
4.0162001,-0.24070993,25.938145,-0.41291395,70.182381,7.5082417,7.531055,-0.33970886,1104.6056,25.86058,0.15163279
4.0163002,-0.2403551,25.938898,-0.40805104,70.18325,7.5078583,7.5308652,-0.33998019,1104.6365,25.86133,0.1643263
4.0163999,-0.24000069,25.939651,-0.40279865,70.184128,7.507473,7.5306735,-0.34025082,1104.6674,25.862082,0.17686269
4.0165,-0.23964669,25.940403,-0.39716184,70.184998,7.5070858,7.5304799,-0.34052074,1104.6982,25.862833,0.18923005
4.0166001,-0.23929311,25.941156,-0.39114606,70.185867,7.5066972,7.5302839,-0.34079,1104.7292,25.863583,0.2014166
4.0166998,-0.23893994,25.94191,-0.38475719,70.186729,7.5063066,7.5300865,-0.34105855,1104.7601,25.864334,0.21341078
4.0167999,-0.2385872,25.942663,-0.37800142,70.187599,7.5059147,7.5298867,-0.34132642,1104.791,25.865084,0.22520116
4.0169001,-0.23823489,25.943417,-0.37088519,70.188461,7.5055213,7.529685,-0.34159359,1104.8219,25.865835,0.23677658
4.0170002,-0.237883,25.944168,-0.36341545,70.189323,7.5051255,7.5294814,-0.34186009,1104.8528,25.866585,0.24812602
4.0170999,-0.23753154,25.944921,-0.35559937,70.190186,7.5047288,7.5292754,-0.34212589,1104.8837,25.867336,0.25923872
4.0172,-0.23718053,25.945675,-0.3474445,70.19104,7.5043297,7.5290675,-0.34239098,1104.9146,25.868086,0.27010417
4.0173001,-0.23682995,25.946428,-0.33895865,70.191902,7.5039296,7.5288577,-0.34265542,1104.9453,25.868837,0.28071204
4.0173998,-0.2364798,25.94718,-0.33015004,70.192757,7.5035276,7.528646,-0.34291914,1104.9762,25.869587,0.29105228
4.0174999,-0.2361301,25.947933,-0.32102707,70.193611,7.5031238,7.5284324,-0.34318218,1105.0071,25.870338,0.30111516
4.0176001,-0.23578084,25.948687,-0.31159854,70.194466,7.5027184,7.5282164,-0.34344453,1105.038,25.871088,0.31089109
4.0177002,-0.23543203,25.949438,-0.30187351,70.195312,7.5023117,7.5279984,-0.34370616,1105.0688,25.871838,0.32037085
4.0177999,-0.23508367,25.950191,-0.29186124,70.196167,7.5019031,7.5277781,-0.34396714,1105.0997,25.872589,0.32954553
4.0179,-0.23473576,25.950945,-0.28157139,70.197014,7.5014925,7.5275564,-0.3442274,1105.1305,25.873339,0.33840638
4.0180001,-0.23438831,25.951696,-0.2710138,70.197861,7.501081,7.5273323,-0.34448698,1105.1614,25.874088,0.34694514
4.0180998,-0.2340413,25.95245,-0.26019856,70.198708,7.5006676,7.5271058,-0.34474587,1105.1923,25.874838,0.35515368
4.0181999,-0.23369476,25.953203,-0.24913602,70.199547,7.5002527,7.5268779,-0.34500408,1105.2231,25.875589,0.36302432
4.0183001,-0.23334868,25.953955,-0.23783675,70.200394,7.499836,7.5266476,-0.3452616,1105.2539,25.876339,0.37054962
4.0184002,-0.23300306,25.954708,-0.22631158,70.201233,7.4994178,7.5264149,-0.34551841,1105.2848,25.877089,0.37772253
4.0184999,-0.23265791,25.955462,-0.21457148,70.202072,7.4989977,7.5261807,-0.34577453,1105.3157,25.877838,0.3845363
4.0186,-0.23231322,25.956213,-0.20262767,70.202911,7.4985766,7.5259442,-0.34603,1105.3464,25.878588,0.39098451
4.0187001,-0.231969,25.956966,-0.19049156,70.203743,7.4981537,7.5257053,-0.34628475,1105.3773,25.879339,0.39706117
4.0187998,-0.23162524,25.957718,-0.17817469,70.204582,7.4977293,7.5254645,-0.34653881,1105.4081,25.880089,0.40276057
4.0188999,-0.23128198,25.958471,-0.16568883,70.205414,7.497303,7.5252218,-0.34679216,1105.439,25.880838,0.40807736
4.0190001,-0.23093918,25.959223,-0.15304586,70.206245,7.4968758,7.5249772,-0.34704486,1105.4697,25.881588,0.41300663
4.0191002,-0.23059686,25.959976,-0.14025784,70.207077,7.4964466,7.5247302,-0.34729686,1105.5006,25.882338,0.41754374
4.0191998,-0.23025501,25.960728,-0.12733689,70.207909,7.496016,7.5244808,-0.34754816,1105.5314,25.883087,0.42168447
4.0193,-0.22991364,25.961481,-0.11429536,70.208733,7.4955835,7.5242295,-0.34779876,1105.5621,25.883837,0.42542502
4.0194001,-0.22957276,25.962233,-0.10114563,70.209564,7.4951501,7.5239763,-0.34804872,1105.593,25.884586,0.42876193
4.0194998,-0.22923236,25.962986,-0.087900184,70.210388,7.4947147,7.5237207,-0.34829795,1105.6238,25.885336,0.43169206
4.0195999,-0.22889243,25.963737,-0.074571624,70.211212,7.494278,7.5234632,-0.3485465,1105.6547,25.886086,0.4342128
4.0197001,-0.22855301,25.964491,-0.061172601,70.212029,7.4938397,7.5232038,-0.34879437,1105.6854,25.886835,0.43632185
4.0198002,-0.22821407,25.965242,-0.047715832,70.212852,7.4934001,7.5229421,-0.34904155,1105.7162,25.887583,0.43801725
4.0198998,-0.22787561,25.965994,-0.034214087,70.213676,7.4929585,7.5226784,-0.34928805,1105.7469,25.888332,0.43929753
4.02,-0.22753765,25.966747,-0.020680174,70.214493,7.492516,7.5224123,-0.34953386,1105.7778,25.889082,0.44016159
4.0201001,-0.22720018,25.967499,-0.0071269171,70.215309,7.4920716,7.5221438,-0.34977898,1105.8086,25.889832,0.44060862
4.0201998,-0.22686321,25.968252,0.0064328378,70.216125,7.4916263,7.521874,-0.35002342,1105.8394,25.890581,0.44063836
4.0202999,-0.22652672,25.969004,0.019986248,70.216934,7.491179,7.5216017,-0.35026717,1105.8701,25.891331,0.4402509
4.0204,-0.22619073,25.969755,0.033520479,70.217751,7.4907303,7.521327,-0.35051024,1105.9009,25.892078,0.43944666
4.0205002,-0.22585525,25.970509,0.04702273,70.218559,7.4902802,7.5210505,-0.35075262,1105.9316,25.892828,0.43822646
