"Time","loadInertia.w","core.T","loadInertia.phi","armature.T","dcpm.la.i"
5.3400002,145.74261,313.38165,808.59222,340.74908,149.78191
5.3410001,145.74219,313.38538,808.73798,340.77811,149.79686
5.342,145.74178,313.38913,808.88373,340.80707,149.81107
5.3429999,145.74141,313.39285,809.02942,340.83606,149.82455
5.3439999,145.74106,313.39661,809.17517,340.86502,149.8373
5.3449998,145.74072,313.40039,809.32092,340.89401,149.84933
5.3460002,145.74043,313.40414,809.46667,340.92294,149.86067
5.3470001,145.74016,313.40793,809.61243,340.9519,149.87132
5.348,145.7399,313.41171,809.75818,340.98083,149.88129
5.349,145.73967,313.41553,809.90387,341.00977,149.89059
5.3499999,145.73946,313.41931,810.04962,341.03867,149.89925
5.3509998,145.73926,313.42313,810.19537,341.06757,149.90726
5.3520002,145.73909,313.42694,810.34113,341.09647,149.91464
5.3530002,145.73892,313.43079,810.48688,341.12534,149.92142
5.3540001,145.73877,313.4346,810.63257,341.15421,149.9276
5.355,145.73863,313.43845,810.77832,341.18304,149.9332
5.3559999,145.73851,313.44229,810.92407,341.21188,149.93822
5.3569999,145.73839,313.44617,811.06982,341.24069,149.94267
5.3579998,145.73828,313.45001,811.21552,341.2695,149.94659
5.3590002,145.73817,313.45389,811.36127,341.29831,149.94998
5.3600001,145.73808,313.45779,811.50702,341.32709,149.95287
5.3610001,145.73801,313.46167,811.65277,341.35583,149.95523
5.362,145.73792,313.46558,811.79846,341.38458,149.95712
5.3629999,145.73784,313.46948,811.94421,341.41333,149.95853
5.3639998,145.73776,313.47339,812.08997,341.44205,149.95947
5.3649998,145.73769,313.47729,812.23572,341.47073,149.95998
5.3660002,145.73761,313.48123,812.38147,341.49942,149.96005
5.3670001,145.73753,313.48517,812.52716,341.52808,149.9597
5.368,145.73746,313.48911,812.67291,341.5567,149.95895
5.369,145.73738,313.49307,812.81866,341.58533,149.95781
5.3699999,145.73729,313.49704,812.96442,341.61395,149.95628
5.3709998,145.73721,313.50101,813.11011,341.64255,149.95441
5.3720002,145.73712,313.50497,813.25586,341.67111,149.95216
5.3730001,145.73703,313.50894,813.40161,341.69965,149.9496
5.3740001,145.73692,313.51294,813.54736,341.72818,149.9467
5.375,145.73682,313.51694,813.69305,341.75671,149.9435
5.3759999,145.73671,313.52094,813.83881,341.78519,149.94
5.3769999,145.73659,313.52496,813.98456,341.81366,149.93622
5.3779998,145.73645,313.52899,814.13031,341.84213,149.93216
5.3790002,145.73631,313.53302,814.276,341.87054,149.92783
5.3800001,145.73618,313.53705,814.42175,341.89896,149.92326
5.381,145.73601,313.54111,814.5675,341.92737,149.91846
5.382,145.73584,313.54514,814.71326,341.95572,149.91344
5.3829999,145.73566,313.54919,814.85895,341.98407,149.9082
5.3839998,145.73547,313.55328,815.0047,342.01242,149.90277
5.3850002,145.73528,313.55734,815.15045,342.04071,149.89716
5.3860002,145.73505,313.56143,815.2962,342.069,149.89136
5.3870001,145.73483,313.56552,815.44189,342.09726,149.88539
5.388,145.73459,313.56961,815.58765,342.12552,149.87927
5.3889999,145.73433,313.57373,815.7334,342.15375,149.873
5.3899999,145.73407,313.57782,815.87909,342.18195,149.86661
5.3909998,145.73378,313.58194,816.02484,342.21011,149.86009
5.3920002,145.73349,313.58609,816.17059,342.23828,149.85345
5.3930001,145.73318,313.59021,816.31628,342.26642,149.84673
5.3940001,145.73286,313.59436,816.46204,342.29456,149.8399
5.395,145.73253,313.59851,816.60779,342.32263,149.83298
5.3959999,145.73218,313.60266,816.75354,342.35071,149.82599
5.3969998,145.73181,313.60684,816.89923,342.37875,149.81894
5.3979998,145.73143,313.61099,817.04498,342.4068,149.81183
5.3990002,145.73103,313.61517,817.19073,342.43478,149.80467
5.4000001,145.73062,313.61935,817.33643,342.46277,149.79747
5.401,145.73019,313.62357,817.48218,342.49075,149.79024
5.402,145.72974,313.62778,817.62787,342.51868,149.78297
5.4029999,145.72928,313.63196,817.77362,342.5466,149.7757
5.4039998,145.72881,313.6362,817.91937,342.57449,149.7684
5.4050002,145.72832,313.64041,818.06506,342.60239,149.76112
5.4060001,145.72781,313.64465,818.21082,342.63022,149.75383
5.4070001,145.72729,313.64886,818.35657,342.65805,149.74657
5.408,145.72676,313.65314,818.50226,342.68588,149.7393
5.4089999,145.72621,313.65738,818.64801,342.71365,149.73207
5.4099998,145.72565,313.66162,818.7937,342.74142,149.72487
5.4109998,145.72507,313.66589,818.93945,342.76917,149.7177
5.4120002,145.72447,313.67017,819.08514,342.79691,149.71057
5.4130001,145.72385,313.67447,819.2309,342.82462,149.70349
5.414,145.72322,313.67874,819.37665,342.85229,149.69647
5.415,145.72258,313.68304,819.52234,342.87994,149.6895
5.4159999,145.72192,313.68735,819.66809,342.90759,149.68259
5.4169998,145.72125,313.69165,819.81378,342.93521,149.67574
5.4180002,145.72057,313.69598,819.95953,342.9628,149.66898
5.4190001,145.71988,313.70029,820.10522,342.99036,149.66226
5.4200001,145.71916,313.70462,820.25092,343.01791,149.65565
5.421,145.71843,313.70895,820.39667,343.04544,149.64911
5.4219999,145.7177,313.71332,820.54236,343.07297,149.64265
5.4229999,145.71693,313.71765,820.68811,343.10046,149.63629
5.4239998,145.71617,313.72202,820.8338,343.12793,149.63002
5.4250002,145.71538,313.72638,820.97955,343.15536,149.62384
5.4260001,145.71458,313.73077,821.12524,343.1828,149.61777
5.427,145.71378,313.73514,821.27094,343.21021,149.61179
5.428,145.71297,313.73953,821.41669,343.23761,149.60591
5.4289999,145.71213,313.74393,821.56238,343.26498,149.60014
5.4299998,145.71129,313.74832,821.70807,343.29233,149.59448
5.4310002,145.71043,313.75275,821.85382,343.31964,149.58893
5.4320002,145.70956,313.75714,821.99951,343.34695,149.58348
5.4330001,145.70868,313.76157,822.1452,343.37424,149.57816
5.434,145.70779,313.76599,822.29095,343.40152,149.57295
5.4349999,145.70689,313.77045,822.43665,343.42877,149.56784
5.4359999,145.70598,313.77487,822.58234,343.45599,149.56287
5.4369998,145.70505,313.77933,822.72803,343.48318,149.558
5.4380002,145.70412,313.78378,822.87378,343.51038,149.55325
5.4390001,145.70317,313.78827,823.01947,343.53757,149.54863
5.4400001,145.70222,313.79272,823.16516,343.56473,149.54413
5.441,145.70126,313.79721,823.31085,343.59186,149.53973
5.4419999,145.70029,313.8017,823.45654,343.61896,149.53548
5.4429998,145.69931,313.80618,823.60229,343.64606,149.53133
5.4439998,145.69832,313.81067,823.74799,343.67313,149.52731
5.4450002,145.69733,313.81519,823.89368,343.7002,149.52341
5.4460001,145.69632,313.8197,824.03937,343.72723,149.51964
5.447,145.6953,313.82422,824.18506,343.75424,149.51598
5.448,145.69429,313.82874,824.33075,343.78125,149.51244
5.4489999,145.69325,313.83328,824.47644,343.80823,149.50902
5.4499998,145.69221,313.83783,824.62213,343.83521,149.50572
5.4510002,145.69118,313.84238,824.76782,343.86215,149.50255
5.4520001,145.69012,313.84692,824.91351,343.8891,149.49948
5.4530001,145.68907,313.85147,825.0592,343.91599,149.49655
5.454,145.68802,313.85605,825.2049,343.9429,149.49373
5.4549999,145.68695,313.86063,825.35059,343.96976,149.49101
5.4559999,145.68587,313.8652,825.49628,343.99664,149.48842
5.4569998,145.6848,313.86978,825.64197,344.02347,149.48595
5.4580002,145.68372,313.87436,825.78766,344.05029,149.48358
5.4590001,145.68262,313.87897,825.93335,344.07712,149.48132
5.46,145.68153,313.88358,826.07898,344.10391,149.47917
5.461,145.68044,313.88818,826.22467,344.13068,149.47714
5.4619999,145.67934,313.89282,826.37036,344.15744,149.4752
5.4629998,145.67822,313.89743,826.51605,344.18417,149.47339
5.4640002,145.67711,313.90207,826.66174,344.21091,149.47166
5.4650002,145.67601,313.90671,826.80737,344.23761,149.47006
5.4660001,145.67488,313.91135,826.95306,344.26431,149.46854
5.467,145.67377,313.91602,827.09875,344.29099,149.46713
5.4679999,145.67265,313.92065,827.24445,344.31763,149.46581
5.4689999,145.67152,313.92532,827.39008,344.34427,149.46458
5.4699998,145.67039,313.92999,827.53577,344.37091,149.46347
5.4710002,145.66927,313.93469,827.68146,344.39752,149.46243
5.4720001,145.66814,313.93936,827.82709,344.4241,149.46149
5.473,145.66701,313.94406,827.97278,344.45068,149.46063
5.474,145.66586,313.94876,828.11847,344.47726,149.45987
5.4749999,145.66473,313.95346,828.2641,344.50381,149.4592
5.4759998,145.66359,313.95819,828.40979,344.53033,149.45859
5.4770002,145.66246,313.96289,828.55542,344.55685,149.45808
5.4780002,145.66132,313.96762,828.70111,344.58334,149.45764
5.4790001,145.66017,313.97235,828.84674,344.60983,149.45728
5.48,145.65904,313.97708,828.99243,344.63632,149.457
5.4809999,145.6579,313.98184,829.13806,344.66278,149.45679
5.4819999,145.65675,313.98657,829.28375,344.68921,149.45665
5.4829998,145.65561,313.99133,829.42938,344.71564,149.45659
5.4840002,145.65446,313.99609,829.57507,344.74203,149.45659
5.4850001,145.65332,314.00085,829.7207,344.76843,149.45665
5.4860001,145.65219,314.00565,829.86633,344.79483,149.45679
5.487,145.65105,314.01044,830.01202,344.8212,149.45699
5.4879999,145.6499,314.01523,830.15765,344.84753,149.45723
5.4889998,145.64876,314.02002,830.30328,344.87387,149.45755
5.4899998,145.64761,314.02481,830.44897,344.90018,149.45792
5.4910002,145.64648,314.02963,830.5946,344.92648,149.45834
5.4920001,145.64534,314.03442,830.74023,344.95279,149.45882
5.493,145.64421,314.03925,830.88586,344.97906,149.45934
5.494,145.64307,314.04407,831.03156,345.00534,149.45992
5.4949999,145.64194,314.04892,831.17719,345.03159,149.46054
5.4959998,145.64079,314.05374,831.32281,345.0578,149.46121
5.4970002,145.63966,314.05859,831.46844,345.08405,149.46193
5.4980001,145.63853,314.06345,831.61407,345.11023,149.46269
5.4990001,145.63741,314.0683,831.7597,345.13641,149.46349
5.5,145.63628,314.07318,831.9054,345.1626,149.46432
5.5,145.63628,314.07318,831.9054,345.1626,149.46432
5.5009999,145.9534,314.07803,832.05115,345.18875,149.39845
5.5019999,146.27025,314.08292,832.19727,345.21478,149.20189
5.5029998,146.58655,314.0878,832.34369,345.24063,148.87894
5.5040002,146.90202,314.09268,832.49042,345.26617,148.43399
5.5050001,147.21643,314.0976,832.63751,345.29132,147.87135
5.506,147.52954,314.10248,832.78485,345.31604,147.19525
5.507,147.84109,314.10739,832.93256,345.34018,146.40996
5.5079999,148.15088,314.1123,833.08057,345.36374,145.51967
5.5089998,148.45866,314.11722,833.22888,345.38663,144.52859
5.5100002,148.76424,314.12213,833.3775,345.40875,143.44077
5.5110002,149.0674,314.12708,833.52637,345.43008,142.26036
5.5120001,149.36797,314.13199,833.6756,345.45056,140.99132
5.513,149.66576,314.13693,833.82513,345.47009,139.63766
5.5139999,149.96057,314.14188,833.97491,345.48871,138.20331
5.5149999,150.25227,314.14682,834.12506,345.50629,136.69211
5.5159998,150.54068,314.15176,834.27545,345.52283,135.10794
5.5170002,150.82565,314.15671,834.42615,345.5383,133.45451
5.5180001,151.10704,314.16165,834.57709,345.55267,131.73558
5.5190001,151.38472,314.1666,834.72833,345.56592,129.95476
5.52,151.65855,314.17157,834.87988,345.57797,128.11562
5.5209999,151.92842,314.17651,835.03168,345.5889,126.22169
5.5219998,152.19421,314.18146,835.18372,345.5986,124.2764
5.5229998,152.45583,314.1864,835.33606,345.60715,122.28314
5.5240002,152.71317,314.19138,835.48865,345.61444,120.24525
5.5250001,152.96613,314.19632,835.64148,345.62054,118.16596
5.526,153.21463,314.20126,835.79456,345.62546,116.04846
5.527,153.45862,314.20621,835.94788,345.62915,113.89587
5.5279999,153.698,314.21115,836.1015,345.63162,111.71124
5.5289998,153.93271,314.21609,836.25531,345.63293,109.49753
5.5300002,154.16269,314.22104,836.40936,345.63303,107.25766
5.5310001,154.38789,314.22598,836.5636,345.63196,104.99448
5.5320001,154.60828,314.23093,836.71814,345.62973,102.71074
5.533,154.82379,314.23584,836.8728,345.62637,100.40913
5.5339999,155.03441,314.24078,837.02777,345.62186,98.092278
5.5349998,155.2401,314.2457,837.18292,345.61627,95.762741
5.5359998,155.44083,314.25061,837.33826,345.60959,93.422981
5.5370002,155.6366,314.25552,837.49377,345.60184,91.075424
5.5380001,155.82736,314.26041,837.64954,345.59308,88.722389
5.539,156.01314,314.26532,837.80542,345.58328,86.366158
5.54,156.19391,314.2702,837.96155,345.57254,84.008911
5.5409999,156.36967,314.27509,838.1178,345.56082,81.652771
5.5419998,156.54045,314.27994,838.27429,345.54819,79.299812
5.5430002,156.70622,314.28482,838.43091,345.53467,76.951996
5.5440001,156.86703,314.28967,838.58771,345.52026,74.611252
5.5450001,157.02289,314.29453,838.74463,345.50507,72.279419
5.546,157.17381,314.29935,838.90173,345.48901,69.958282
5.5469999,157.31981,314.3042,839.05896,345.47223,67.649551
5.5479999,157.46094,314.30902,839.21637,345.45468,65.354874
5.5489998,157.5972,314.31381,839.3739,345.43643,63.075832
5.5500002,157.72865,314.3186,839.53156,345.41751,60.813934
5.5510001,157.85532,314.32339,839.68933,345.39795,58.570637
5.552,157.97725,314.32819,839.84729,345.37778,56.347324
5.553,158.09448,314.33295,840.00531,345.35699,54.145325
5.5539999,158.20706,314.33771,840.16345,345.33566,51.9659
5.5549998,158.31505,314.34247,840.32172,345.31381,49.810249
5.5560002,158.41847,314.3472,840.4801,345.29147,47.679523
5.5570002,158.51743,314.35193,840.63855,345.26865,45.574795
5.5580001,158.61192,314.35663,840.79712,345.24539,43.497101
5.559,158.70204,314.36133,840.95575,345.22171,41.447403
5.5599999,158.78786,314.36603,841.1145,345.19766,39.426613
5.5609999,158.8694,314.3707,841.27338,345.17325,37.435596
5.5619998,158.94675,314.37537,841.43225,345.1485,35.475147
5.5630002,159.01999,314.38004,841.59125,345.12341,33.546024
5.5640001,159.08916,314.38467,841.75031,345.09808,31.64892
5.5650001,159.15433,314.38928,841.90942,345.07248,29.784489
5.566,159.21559,314.39392,842.0686,345.04663,27.953325
5.5669999,159.27299,314.3985,842.22784,345.02057,26.155983
5.5679998,159.32661,314.40311,842.38715,344.99429,24.392963
5.5689998,159.37654,314.40768,842.54651,344.96783,22.664721
5.5700002,159.42284,314.41226,842.70587,344.94122,20.97167
5.5710001,159.46558,314.41681,842.86536,344.91449,19.314177
5.572,159.50484,314.42133,843.02484,344.8876,17.692562
5.573,159.5407,314.42587,843.18433,344.86063,16.107113
5.5739999,159.57323,314.43039,843.34393,344.83353,14.558068
5.5749998,159.60251,314.43488,843.50348,344.80637,13.04563
5.5760002,159.62862,314.43936,843.66309,344.77914,11.56996
5.5770001,159.65163,314.44385,843.82275,344.75186,10.131185
5.5780001,159.67163,314.4483,843.98242,344.72455,8.7293921
5.579,159.68871,314.45276,844.14209,344.6972,7.3646359
5.5799999,159.70293,314.45718,844.30182,344.66983,6.0369363
5.5809999,159.71436,314.46161,844.46149,344.64246,4.7462788
5.5819998,159.72308,314.46603,844.62122,344.61505,3.4926181
5.5830002,159.7292,314.47043,844.78094,344.58768,2.2758768
5.5840001,159.73277,314.47482,844.94067,344.56033,1.095948
5.585,159.73389,314.47919,845.1004,344.53299,-0.047303732
5.586,159.7326,314.48355,845.26013,344.50568,-1.154042
5.5869999,159.729,314.48788,845.41986,344.47842,-2.2244575
5.5879998,159.72319,314.49222,845.57959,344.4512,-3.2587659
5.5890002,159.71521,314.49655,845.73932,344.42401,-4.2572083
5.5900002,159.70514,314.50085,845.89905,344.39685,-5.2200494
5.5910001,159.69307,314.50516,846.05872,344.36978,-6.1475768
5.592,159.67908,314.50943,846.21844,344.34274,-7.0400996
5.5929999,159.66322,314.5137,846.37811,344.31577,-7.8979478
5.5939999,159.64558,314.51797,846.53772,344.28888,-8.7214718
5.5949998,159.62624,314.52222,846.69739,344.26202,-9.5110407
5.5960002,159.60524,314.52643,846.85699,344.23523,-10.267041
5.5970001,159.58269,314.53067,847.0166,344.20853,-10.989878
5.598,159.55862,314.53485,847.17615,344.18185,-11.679971
5.599,159.53313,314.53906,847.33569,344.15527,-12.337754
5.5999999,159.50629,314.54324,847.49524,344.12875,-12.963681
5.6009998,159.47813,314.54742,847.65472,344.10229,-13.558214
5.6020002,159.44876,314.55157,847.81421,344.0759,-14.121829
5.6030002,159.41823,314.55573,847.97363,344.04959,-14.655015
5.6040001,159.38658,314.55984,848.133,344.02332,-15.158271
5.605,159.35391,314.56396,848.29236,343.99713,-15.632108
5.6059999,159.32027,314.56808,848.45172,343.97101,-16.077044
5.6069999,159.28569,314.57217,848.61102,343.94492,-16.49361
5.6079998,159.25027,314.57626,848.77032,343.91891,-16.882339
5.6090002,159.21407,314.58032,848.9295,343.89294,-17.243778
5.6100001,159.17711,314.58438,849.08875,343.86707,-17.578476
5.6110001,159.13948,314.58844,849.24786,343.84122,-17.88699
5.612,159.10121,314.59247,849.40698,343.81543,-18.16988
5.6129999,159.06238,314.5965,849.5661,343.78967,-18.427713
5.6139998,159.02303,314.60049,849.7251,343.76401,-18.661062
5.6149998,158.9832,314.60449,849.88416,343.73834,-18.870497
5.6160002,158.94295,314.60849,850.04309,343.71274,-19.056595
5.6170001,158.90233,314.61246,850.20203,343.68719,-19.219936
5.618,158.86139,314.61642,850.3609,343.66168,-19.361101
5.619,158.82018,314.62036,850.51971,343.6362,-19.480667
5.6199999,158.77873,314.6243,850.67853,343.61075,-19.57922
5.6209998,158.73709,314.62823,850.83728,343.58536,-19.657339
5.6220002,158.69531,314.63214,850.99603,343.56,-19.715605
5.6230001,158.65344,314.63605,851.15466,343.53464,-19.754599
5.6240001,158.6115,314.63995,851.31329,343.50934,-19.7749
5.625,158.56952,314.64383,851.47192,343.48404,-19.777082
5.6259999,158.52757,314.64771,851.63043,343.4588,-19.761723
5.6269999,158.48566,314.65155,851.78894,343.43356,-19.729391
5.6279998,158.44385,314.6554,851.94745,343.40836,-19.680655
5.6290002,158.40215,314.65924,852.10583,343.38315,-19.616079
5.6300001,158.3606,314.66306,852.26422,343.35797,-19.536224
5.631,158.31924,314.66687,852.42255,343.33282,-19.441645
5.632,158.27811,314.67065,852.58087,343.30771,-19.332893
5.6329999,158.2372,314.67444,852.73914,343.28256,-19.210516
5.6339998,158.19658,314.67822,852.89734,343.25748,-19.075054
5.6350002,158.15625,314.68198,853.05554,343.23236,-18.92704
5.6360002,158.11626,314.68573,853.21368,343.20728,-18.767006
5.6370001,158.07661,314.68948,853.37177,343.18222,-18.595474
5.638,158.03734,314.69321,853.52979,343.15717,-18.41296
5.6389999,157.99847,314.6969,853.68781,343.13211,-18.219973
5.6399999,157.96002,314.70062,853.84583,343.10706,-18.017015
5.6409998,157.92201,314.70432,854.00372,343.08203,-17.804585
5.6420002,157.88446,314.70798,854.16168,343.05701,-17.583166
5.6430001,157.8474,314.71167,854.31952,343.03198,-17.353243
5.6440001,157.81082,314.71533,854.47736,343.00696,-17.115286
5.645,157.77477,314.71896,854.63513,342.98196,-16.869759
5.6459999,157.73923,314.7226,854.79291,342.95697,-16.617121
5.6469998,157.70424,314.72623,854.95062,342.93198,-16.357819
5.6479998,157.6698,314.72983,855.10834,342.90698,-16.092291
5.6490002,157.63594,314.73343,855.26593,342.88199,-15.820971
5.6500001,157.60266,314.73703,855.42358,342.85699,-15.544283
5.651,157.56998,314.7406,855.58118,342.83203,-15.262639
5.652,157.53789,314.74417,855.73871,342.80707,-14.976444
5.6529999,157.50642,314.74771,855.89624,342.78207,-14.686096
5.6539998,157.47557,314.75128,856.05371,342.75711,-14.391982
5.6550002,157.44534,314.75479,856.21118,342.73218,-14.09448
5.6560001,157.41574,314.75833,856.36865,342.70721,-13.79396
5.6570001,157.3868,314.76184,856.526,342.68228,-13.490782
5.658,157.35849,314.76532,856.68341,342.65732,-13.185298
5.6589999,157.33084,314.7688,856.84076,342.63239,-12.87785
5.6599998,157.30383,314.77228,856.99805,342.60748,-12.568771
5.6609998,157.2775,314.77576,857.15533,342.58255,-12.258387
5.6620002,157.25182,314.77921,857.31262,342.55765,-11.947009
5.6630001,157.22679,314.78265,857.46985,342.53275,-11.634946
5.664,157.20244,314.78607,857.62708,342.50784,-11.322493
5.665,157.17874,314.78949,857.78424,342.48294,-11.009937
5.6659999,157.1557,314.79291,857.94141,342.45807,-10.697559
5.6669998,157.13333,314.7963,858.09857,342.4332,-10.385628
5.6680002,157.11163,314.79968,858.25568,342.40836,-10.074403
5.6690001,157.09058,314.80304,858.41278,342.38351,-9.7641373
5.6700001,157.07019,314.8064,858.56989,342.35867,-9.4550734
5.671,157.05045,314.80975,858.72693,342.33383,-9.1474447
5.6719999,157.03136,314.81311,858.88397,342.30902,-8.8414783
5.6729999,157.01292,314.81644,859.04102,342.28421,-8.5373907
5.6739998,156.99513,314.81973,859.198,342.25943,-8.2353888
5.6750002,156.97797,314.82306,859.35498,342.23465,-7.9356742
5.6760001,156.96144,314.82632,859.51196,342.2099,-7.6384387
5.677,156.94554,314.82962,859.66888,342.18515,-7.3438644
5.678,156.93027,314.83289,859.82587,342.16043,-7.0521274
5.6789999,156.91562,314.83615,859.98279,342.13571,-6.7633948
5.6799998,156.90157,314.83939,860.13971,342.11099,-6.4778261
5.6810002,156.88812,314.84265,860.29657,342.08633,-6.1955719
5.6820002,156.87527,314.84586,860.45343,342.06165,-5.9167771
5.6830001,156.86301,314.84909,860.61035,342.03702,-5.6415768
5.684,156.85132,314.85229,860.76721,342.01239,-5.3701005
5.6849999,156.84021,314.85547,860.92401,341.98776,-5.1024694
5.6859999,156.82967,314.85867,861.08087,341.96317,-4.8387971
5.6869998,156.81967,314.86182,861.23767,341.9386,-4.5791912
5.6880002,156.81023,314.86499,861.39453,341.91403,-4.3237514
5.6890001,156.80132,314.86813,861.55133,341.8895,-4.0725718
5.6900001,156.79294,314.87128,861.70813,341.86499,-3.825738
5.691,156.78508,314.87442,861.86487,341.84052,-3.5833302
5.6919999,156.77773,314.87753,862.02167,341.81604,-3.3454223
5.6929998,156.77087,314.88062,862.17847,341.79156,-3.1120818
5.6939998,156.76451,314.88373,862.33521,341.76715,-2.8833692
5.6950002,156.75864,314.88681,862.492,341.74274,-2.6593401
5.6960001,156.75322,314.88986,862.64874,341.71835,-2.4400442
5.697,156.74828,314.89294,862.80548,341.694,-2.2255244
5.698,156.74377,314.896,862.96222,341.66965,-2.0158191
