"time","cell.cell.capacitor[1].v","cell.cell.capacitor[2].v","cell.cell.limIntegrator.y","cell.limIntegrator.y","energy.y"
565.70000000000005,0.017497578416318632,0.0087500000000000008,0.84400155667920762,0.84402778004500278,48285.014939739631
565.75,0.017497580433467146,0.0087500000000000008,0.84407099851022871,0.84409722448944713,48290.063681487081
565.80000000000007,0.017497582448935352,0.0087500000000000008,0.84414044034118207,0.8441666689338917,48295.112551695805
565.85000000000002,0.017497584462724647,0.0087500000000000008,0.84420988217206727,0.84423611337833604,48300.161550453391
565.89999999999998,0.017497586474836437,0.0087500000000000008,0.84427932400288463,0.84430555782278049,48305.210677847805
565.95000000000005,0.017497588485272112,0.0087500000000000008,0.84434876583363372,0.84437500226722506,48310.259933967427
566,0.017497590494033072,0.0087500000000000008,0.84441820766431475,0.84444444671166941,48315.30931890088
566.05000000000007,0.017497592501120714,0.0087500000000000008,0.84448764949492761,0.84451389115611397,48320.35883273722
566.10000000000002,0.017497594506536422,0.0087500000000000008,0.84455709132547208,0.84458333560055832,48325.408475565833
566.14999999999998,0.017497596510281602,0.0087500000000000008,0.84462653315594827,0.84465278004500266,48330.458247476454
566.20000000000005,0.017497598512357632,0.0087500000000000008,0.84469597498635629,0.84472222448944723,48335.508148559158
566.25,0.017497600512765915,0.0087500000000000008,0.8447654168166957,0.84479166893389157,48340.558178904372
566.30000000000007,0.017497602511507837,0.0087500000000000008,0.84483485864696695,0.84486111337833614,48345.608338602942
566.35000000000002,0.017497604508584775,0.0087500000000000008,0.84490430047716936,0.84493055782278048,48350.658627745943
566.39999999999998,0.017497606503998127,0.0087500000000000008,0.84497374230730316,0.84500000226722494,48355.70904642492
566.45000000000005,0.017497608497749274,0.0087500000000000008,0.8450431841373689,0.8450694467116695,48360.759594731702
566.5,0.017497610489839596,0.0087500000000000008,0.84511262596736558,0.84513889115611385,48365.810272758492
566.55000000000007,0.017497612480270489,0.0087500000000000008,0.84518206779729377,0.84520833560055841,48370.861080597861
566.60000000000002,0.017497614469043327,0.0087500000000000008,0.84525150962715312,0.84527778004500276,48375.912018342678
566.64999999999998,0.017497616456159493,0.0087500000000000008,0.84532095145694375,0.8453472244894471,48380.963086086245
566.70000000000005,0.017497618441620368,0.0087500000000000008,0.84539039328666554,0.84541666893389167,48386.014283922166
566.75,0.017497620425427324,0.0087500000000000008,0.84545983511631861,0.84548611337833601,48391.065611944388
566.80000000000007,0.01749762240758175,0.0087500000000000008,0.84552927694590263,0.84555555782278058,48396.117070247259
566.85000000000002,0.017497624388085005,0.0087500000000000008,0.84559871877541748,0.84562500226722503,48401.168658925424
566.89999999999998,0.017497626366938485,0.0087500000000000008,0.84566816060486327,0.84569444671166938,48406.220378073929
566.95000000000005,0.017497628344143555,0.0087500000000000008,0.84573760243424034,0.84576389115611394,48411.272227788162
567,0.017497630319701581,0.0087500000000000008,0.84580704426354802,0.84583333560055829,48416.324208163838
567.05000000000007,0.017497632293613945,0.0087500000000000008,0.84587648609278676,0.84590278004500286,48421.376319297065
567.10000000000002,0.017497634265882019,0.0087500000000000008,0.845945927921956,0.8459722244894472,48426.428561284265
567.14999999999998,0.017497636236507162,0.0087500000000000008,0.84601536975105596,0.84604166893389154,48431.480934222251
567.20000000000005,0.017497638205490752,0.0087500000000000008,0.84608481158008686,0.84611111337833611,48436.533438208178
567.25,0.017497640172834148,0.0087500000000000008,0.84615425340904815,0.84618055782278045,48441.586073339546
567.30000000000007,0.01749764213853873,0.0087500000000000008,0.84622369523794017,0.84625000226722502,48446.6388397142
567.35000000000002,0.017497644102605847,0.0087500000000000008,0.84629313706676235,0.84631944671166948,48451.691737430374
567.39999999999998,0.017497646065036877,0.0087500000000000008,0.84636257889551503,0.84638889115611382,48456.74476658662
567.45000000000005,0.01749764802583317,0.0087500000000000008,0.84643202072419843,0.84645833560055839,48461.797927281885
567.5,0.017497649984996096,0.0087500000000000008,0.846501462552812,0.84652778004500273,48466.851219615441
567.55000000000007,0.017497651942527018,0.0087500000000000008,0.84657090438135607,0.8465972244894473,48471.904643686918
567.60000000000002,0.017497653898427289,0.0087500000000000008,0.8466403462098302,0.84666666893389164,48476.958199596294
567.64999999999998,0.01749765585269827,0.0087500000000000008,0.8467097880382346,0.84673611337833599,48482.011887443914
567.70000000000005,0.017497657805341318,0.0087500000000000008,0.84677922986656906,0.84680555782278055,48487.065707330512
567.75,0.017497659756357791,0.0087500000000000008,0.84684867169483358,0.8468750022672249,48492.119659357108
567.80000000000007,0.017497661705749044,0.0087500000000000008,0.84691811352302826,0.84694444671166946,48497.173743625106
567.85000000000002,0.017497663653516432,0.0087500000000000008,0.84698755535115278,0.84701389115611392,48502.227960236305
567.89999999999998,0.017497665599661299,0.0087500000000000008,0.84705699717920724,0.84708333560055826,48507.282309292787
567.95000000000005,0.017497667544185001,0.0087500000000000008,0.84712643900719176,0.84715278004500283,48512.336790897069
568,0.017497669487088897,0.0087500000000000008,0.84719588083510589,0.84722222448944717,48517.39140515196
568.05000000000007,0.017497671428374325,0.0087500000000000008,0.84726532266294985,0.84729166893389174,48522.446152160657
568.10000000000002,0.017497673368042643,0.0087500000000000008,0.84733476449072354,0.84736111337833608,48527.501032026696
568.14999999999998,0.017497675306095195,0.0087500000000000008,0.84740420631842683,0.84743055782278043,48532.556044853998
568.20000000000005,0.017497677242533326,0.0087500000000000008,0.84747364814605985,0.84750000226722499,48537.611190746815
568.25,0.01749767917735838,0.0087500000000000008,0.84754308997362215,0.84756944671166934,48542.666469809723
568.30000000000007,0.017497681110571702,0.0087500000000000008,0.84761253180111407,0.84763889115611391,48547.721882147758
568.35000000000002,0.017497683042174639,0.0087500000000000008,0.84768197362853559,0.84770833560055825,48552.777427845082
568.39999999999998,0.017497684972168633,0.0087500000000000008,0.84775141545588661,0.84777778004500259,48557.833106207087
568.45000000000005,0.017497686900554917,0.0087500000000000008,0.84782085728316714,0.84784722448944716,48562.888918116922
568.5,0.017497688827334844,0.0087500000000000008,0.84789029911037694,0.8479166689338915,48567.944863679797
568.55000000000007,0.017497690752509749,0.0087500000000000008,0.84795974093751603,0.84798611337833607,48573.000943001294
568.60000000000002,0.017497692676080971,0.0087500000000000008,0.84802918276458428,0.84805555782278041,48578.0571561873
568.64999999999998,0.017497694598049843,0.0087500000000000008,0.84809862459158147,0.84812500226722487,48583.113503344081
568.70000000000005,0.017497696518417698,0.0087500000000000008,0.84816806641850806,0.84819444671166933,48588.169984578235
568.75,0.017497698437185877,0.0087500000000000008,0.84823750824536337,0.84826389115611378,48593.226599996655
568.80000000000007,0.017497700354355709,0.0087500000000000008,0.84830695007214774,0.84833333560055824,48598.283349706668
568.85000000000002,0.017497702269928528,0.0087500000000000008,0.84837639189886094,0.84840278004500269,48603.340233815827
568.89999999999998,0.017497704183905661,0.0087500000000000008,0.84844583372550308,0.84847222448944704,48608.397252432107
568.95000000000005,0.017497706096288444,0.0087500000000000008,0.84851527555207396,0.8485416689338916,48613.454405663811
569,0.017497708007078207,0.0087500000000000008,0.84858471737857344,0.84861111337833595,48618.511693619563
569.05000000000007,0.017497709916276267,0.0087500000000000008,0.84865415920500176,0.84868055782278051,48623.56911640834
569.10000000000002,0.017497711823883957,0.0087500000000000008,0.84872360103135847,0.84875000226722486,48628.626674139421
569.14999999999998,0.017497713729902602,0.0087500000000000008,0.84879304285764379,0.84881944671166931,48633.684366922498
569.20000000000005,0.017497715634333534,0.0087500000000000008,0.84886248468385772,0.84888889115611377,48638.742194867547
569.25,0.017497717537178062,0.0087500000000000008,0.84893192650999993,0.84895833560055822,48643.800158084894
569.30000000000007,0.017497719438437517,0.0087500000000000008,0.84900136833607076,0.84902778004500279,48648.858256685235
569.35000000000002,0.017497721338113219,0.0087500000000000008,0.84907081016206953,0.84909722448944713,48653.916490779557
569.39999999999998,0.017497723236206485,0.0087500000000000008,0.84914025198799681,0.84916666893389148,48658.97486047924
569.45000000000005,0.017497725132718644,0.0087500000000000008,0.84920969381385225,0.84923611337833604,48664.033365895957
569.5,0.017497727027650997,0.0087500000000000008,0.84927913563963586,0.84930555782278039,48669.092007141749
569.55000000000007,0.017497728921004884,0.0087500000000000008,0.84934857746534753,0.84937500226722495,48674.150784329009
569.60000000000002,0.017497730812781595,0.0087500000000000008,0.84941801929098704,0.8494444467116693,48679.209697570419
569.64999999999998,0.017497732702982466,0.0087500000000000008,0.84948746111655449,0.84951389115611375,48684.268746979069
569.70000000000005,0.017497734591608794,0.0087500000000000008,0.84955690294205022,0.84958333560055821,48689.327932668333
569.75,0.017497736478661905,0.0087500000000000008,0.84962634476747356,0.84965278004500266,48694.38725475195
569.80000000000007,0.0174977383641431,0.0087500000000000008,0.84969578659282463,0.84972222448944723,48699.446713344019
569.85000000000002,0.0174977402480537,0.0087500000000000008,0.84976522841810331,0.84979166893389158,48704.506308558921
569.89999999999998,0.017497742130395004,0.0087500000000000008,0.84983467024330994,0.84986111337833592,48709.566040511425
569.95000000000005,0.017497744011168333,0.0087500000000000008,0.84990411206844396,0.84993055782278049,48714.625909316659
570,0.017497745890374977,0.0087500000000000008,0.84997355389350548,0.85000000226722483,48719.685915090013
570.05000000000007,0.017497747768016256,0.0087500000000000008,0.85004299571849473,0.8500694467116694,48724.746057947319
570.10000000000002,0.017497749644093473,0.0087500000000000008,0.85011243754341104,0.85013889115611374,48729.806338004659
570.14999999999998,0.017497751518607919,0.0087500000000000008,0.85018187936825484,0.8502083356005582,48734.866755378476
570.20000000000005,0.017497753391560924,0.0087500000000000008,0.85025132119302593,0.85027778004500265,48739.927310185631
570.25,0.017497755262953767,0.0087500000000000008,0.85032076301772419,0.85034722448944711,48744.988002543207
570.30000000000007,0.017497757132787752,0.0087500000000000008,0.85039020484234995,0.85041666893389167,48750.048832568718
570.35000000000002,0.017497759001064182,0.0087500000000000008,0.85045964666690232,0.85048611337833602,48755.109800379956
570.39999999999998,0.017497760867784359,0.0087500000000000008,0.85052908849138198,0.85055555782278036,48760.170906095111
570.45000000000005,0.017497762732949576,0.0087500000000000008,0.85059853031578858,0.85062500226722493,48765.232149832686
570.5,0.017497764596561133,0.0087500000000000008,0.85066797214012213,0.85069444671166927,48770.29353171149
570.55000000000007,0.017497766458620327,0.0087500000000000008,0.85073741396438241,0.85076389115611384,48775.355051850733
570.60000000000002,0.017497768319128439,0.0087500000000000008,0.85080685578856952,0.85083333560055818,48780.416710369922
570.64999999999998,0.017497770178086784,0.0087500000000000008,0.85087629761268335,0.85090278004500264,48785.478507388929
570.70000000000005,0.017497772035496635,0.0087500000000000008,0.85094573943672402,0.85097222448944709,48790.540443027967
570.75,0.017497773891359304,0.0087500000000000008,0.85101518126069109,0.85104166893389155,48795.602517407555
570.80000000000007,0.017497775745676056,0.0087500000000000008,0.85108462308458466,0.85111111337833611,48800.664730648605
570.85000000000002,0.017497777598448207,0.0087500000000000008,0.85115406490840473,0.85118055782278046,48805.727082872319
570.89999999999998,0.017497779449677023,0.0087500000000000008,0.8512235067321513,0.8512500022672248,48810.789574200266
570.95000000000005,0.017497781299363798,0.0087500000000000008,0.85129294855582416,0.85131944671166937,48815.852204754367
571,0.01749778314750982,0.0087500000000000008,0.85136239037942318,0.85138889115611371,48820.914974656851
571.05000000000007,0.017497784994116382,0.0087500000000000008,0.85143183220294871,0.85145833560055828,48825.977884030319
571.10000000000002,0.017497786839184754,0.0087500000000000008,0.85150127402640008,0.85152778004500262,48831.040932997668
571.14999999999998,0.017497788682716228,0.0087500000000000008,0.85157071584977762,0.85159722448944708,48836.104121682198
571.20000000000005,0.017497790524712082,0.0087500000000000008,0.8516401576730811,0.85166666893389165,48841.167450207504
571.25,0.017497792365173598,0.0087500000000000008,0.85170959949631053,0.85173611337833599,48846.230918697533
571.30000000000007,0.017497794204102059,0.0087500000000000008,0.85177904131946613,0.85180555782278056,48851.294527276572
571.35000000000002,0.017497796041498738,0.0087500000000000008,0.85184848314254735,0.8518750022672249,48856.358276069244
571.39999999999998,0.017497797877364919,0.0087500000000000008,0.85191792496555396,0.85194444671166925,48861.422165200522
571.45000000000005,0.017497799711701872,0.0087500000000000008,0.85198736678848686,0.85201389115611381,48866.486194795732
571.5,0.017497801544510878,0.0087500000000000008,0.85205680861134503,0.85208333560055816,48871.550364980496
571.55000000000007,0.017497803375793212,0.0087500000000000008,0.85212625043412893,0.85215278004500272,48876.614675880825
571.60000000000002,0.017497805205550148,0.0087500000000000008,0.85219569225683811,0.85222222448944707,48881.679127623029
571.64999999999998,0.017497807033782953,0.0087500000000000008,0.85226513407947269,0.85229166893389152,48886.743720333783
571.70000000000005,0.017497808860492899,0.0087500000000000008,0.85233457590203276,0.85236111337833609,48891.808454140126
571.75,0.017497810685681268,0.0087500000000000008,0.85240401772451801,0.85243055782278043,48896.873329169364
571.80000000000007,0.017497812509349314,0.0087500000000000008,0.85247345954692855,0.852500002267225,48901.938345549235
571.85000000000002,0.017497814331498319,0.0087500000000000008,0.85254290136926414,0.85256944671166934,48907.003503407745
571.89999999999998,0.017497816152129541,0.0087500000000000008,0.85261234319152501,0.85263889115611369,48912.068802873255
571.95000000000005,0.017497817971244254,0.0087500000000000008,0.85268178501371084,0.85270833560055825,48917.134244074521
572,0.017497819788843717,0.0087500000000000008,0.8527512268358215,0.8527777800450026,48922.199827140532
572.05000000000007,0.017497821604929197,0.0087500000000000008,0.85282066865785711,0.85284722448944716,48927.265552200748
572.10000000000002,0.017497823419501957,0.0087500000000000008,0.85289011047981744,0.85291666893389151,48932.331419384864
572.14999999999998,0.017497825232563262,0.0087500000000000008,0.85295955230170251,0.85298611337833596,48937.397428822958
572.20000000000005,0.017497827044114372,0.0087500000000000008,0.8530289941235123,0.85305555782278053,48942.463580645468
572.25,0.017497828854156551,0.0087500000000000008,0.85309843594524648,0.85312500226722487,48947.529874983127
572.30000000000007,0.017497830662691054,0.0087500000000000008,0.85316787776690561,0.85319444671166944,48952.596311967034
572.35000000000002,0.017497832469720719,0.0087500000000000008,0.85323731958849469,0.85326389115611379,48957.662880800206
572.39999999999998,0.017497834275245476,0.0087500000000000008,0.85330676141000916,0.85333333560055813,48962.729590366784
572.45000000000005,0.01749783607926636,0.0087500000000000008,0.85337620323144847,0.8534027800450027,48967.796442382372
572.5,0.017497837881784616,0.0087500000000000008,0.8534456450528124,0.85347222448944715,48972.863436967375
572.55000000000007,0.017497839682801501,0.0087500000000000008,0.85351508687410083,0.85354166893389161,48977.930574242499
572.60000000000002,0.017497841482318258,0.0087500000000000008,0.85358452869531365,0.85361111337833606,48982.997854328627
572.64999999999998,0.017497843280336142,0.0087500000000000008,0.85365397051645087,0.85368055782278041,48988.065277346926
572.70000000000005,0.017497845076856408,0.0087500000000000008,0.85372341233751237,0.85375000226722497,48993.132843418782
572.75,0.017497846871880288,0.0087500000000000008,0.85379285415849815,0.85381944671166932,48998.200552665825
572.80000000000007,0.017497848665409047,0.0087500000000000008,0.85386229597940799,0.85388889115611388,49003.268405209943
572.85000000000002,0.017497850457443915,0.0087500000000000008,0.8539317378002419,0.85395833560055823,49008.336401173234
572.89999999999998,0.01749785224798614,0.0087500000000000008,0.85400117962100008,0.85402778004500257,49013.404540678079
572.95000000000005,0.017497854037036967,0.0087500000000000008,0.85407062144168211,0.85409722448944714,49018.472823847056
573,0.017497855824597636,0.0087500000000000008,0.85414006326228809,0.85416666893389159,49023.541250803013
573.05000000000007,0.017497857610669392,0.0087500000000000008,0.85420950508281823,0.85423611337833605,49028.609821669044
573.10000000000002,0.017497859395253477,0.0087500000000000008,0.85427894690327177,0.8543055578227805,49033.678536568434
573.14999999999998,0.017497861178351119,0.0087500000000000008,0.85434838872364915,0.85437500226722485,49038.747395624763
573.20000000000005,0.017497862959963563,0.0087500000000000008,0.85441783054395026,0.85444444671166941,49043.816398961862
573.25,0.017497864740092042,0.0087500000000000008,0.85448727236417488,0.85451389115611376,49048.885546703736
573.30000000000007,0.017497866518737797,0.0087500000000000008,0.854556714184323,0.85458333560055832,49053.954838974692
573.35000000000002,0.01749786829590206,0.0087500000000000008,0.85462615600439462,0.85465278004500267,49059.024275899232
573.39999999999998,0.017497870071586059,0.0087500000000000008,0.85469559782438975,0.85472222448944701,49064.093857602144
573.45000000000005,0.017497871845791033,0.0087500000000000008,0.85476503964430817,0.85479166893389158,49069.163584208458
573.5,0.017497873618518209,0.0087500000000000008,0.85483448146414975,0.85486111337833603,49074.233455843372
