"time","I.re","I.im"
0.81340000000000001,9.9998076661793271e-06,2.5485333409612141e-10
0.81359999999999999,9.9998076695076278e-06,2.5486456420724608e-10
0.81380000000000008,9.9998076723620171e-06,2.5487590026730899e-10
0.81400000000000006,9.9998076758896501e-06,2.5488688861248449e-10
0.81420000000000003,9.9998076790344801e-06,2.5489809380967791e-10
0.81440000000000001,9.99980768216652e-06,2.5490913756780703e-10
0.81459999999999999,9.9998076853781657e-06,2.549203044333819e-10
0.81480000000000008,9.999807688599742e-06,2.5493133420584966e-10
0.81500000000000006,9.9998076917363101e-06,2.5494259881109719e-10
0.81520000000000004,9.9998076949568564e-06,2.549538704326559e-10
0.81540000000000001,9.9998076981751073e-06,2.5496518259380972e-10
0.81559999999999999,9.9998077014984935e-06,2.5497614354042055e-10
0.81580000000000008,9.9998077043953259e-06,2.5498743654338752e-10
0.81600000000000006,9.9998077074260149e-06,2.5499843400877324e-10
0.81620000000000004,9.999807710880078e-06,2.5500979251636824e-10
0.81640000000000001,9.9998077140159549e-06,2.5502063315345375e-10
0.81659999999999999,9.9998077173229088e-06,2.5503204024311519e-10
0.81680000000000008,9.9998077206560884e-06,2.5504313029891791e-10
0.81700000000000006,9.9998077236506159e-06,2.550542861189746e-10
0.81720000000000004,9.9998077267488913e-06,2.5506528554411777e-10
0.81740000000000002,9.9998077296881922e-06,2.5507649672641373e-10
0.81759999999999999,9.9998077330051241e-06,2.5508762182524272e-10
0.81780000000000008,9.9998077363146986e-06,2.5509884863119613e-10
0.81800000000000006,9.9998077394242074e-06,2.5510976069160688e-10
0.81820000000000004,9.9998077425583005e-06,2.551209522721501e-10
0.81840000000000002,9.999807745799323e-06,2.5513207061002176e-10
0.81859999999999999,9.999807749302946e-06,2.5514292183360505e-10
0.81880000000000008,9.9998077523858732e-06,2.5515429210971048e-10
0.81900000000000006,9.9998077553760452e-06,2.5516543214596756e-10
0.81920000000000004,9.9998077588082566e-06,2.55176575936705e-10
0.81940000000000002,9.9998077620493434e-06,2.5518788957973376e-10
0.8196,9.9998077648304457e-06,2.5519916901111791e-10
0.81980000000000008,9.9998077681782756e-06,2.5521003686677318e-10
0.82000000000000006,9.9998077713947528e-06,2.5522148032893308e-10
0.82020000000000004,9.999807774528114e-06,2.552321804093707e-10
0.82040000000000002,9.999807777631741e-06,2.5524345330173371e-10
0.8206,9.9998077811929301e-06,2.5525464846597779e-10
0.82080000000000009,9.9998077841535491e-06,2.5526578062137405e-10
0.82100000000000006,9.9998077877739492e-06,2.5527696798363623e-10
0.82120000000000004,9.9998077904753507e-06,2.5528783194691754e-10
0.82140000000000002,9.9998077940197702e-06,2.5529909014924305e-10
0.8216,9.9998077971027821e-06,2.5531003980505234e-10
0.82180000000000009,9.9998078002079338e-06,2.5532133835297595e-10
