"Time","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smeeM.stator.stray.port_p.Phi.im","smeeE.idq_sr[2]","smeeE.idq_dr[1]","smeeE.idq_sr[1]","smeeE.is[1]","constantSpeedE.phi","smeeM.is[1]","constantSpeedM.phi","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smeeE.is[2]","smeeM.stator.stray.port_p.Phi.re","smeeE.idq_rr[2]","smeeM.is[2]"
14.978,-0.24436888,0.045954879,-6.4683852,-0.025919007,-256.17966,-211.72318,2349.5994,-211.72331,2349.5994,0.37797871,230.89104,-0.067393623,2.2081919,230.89105
14.979,-0.11560775,0.02289064,-6.4868789,-0.026381491,-256.17896,-245.96388,2349.7563,-245.964,2349.7563,0.43499646,185.26056,-0.07829278,2.2081864,185.26054
14.98,0.024471879,-0.002412311,-6.505372,-0.026843971,-256.17825,-256.14874,2349.9133,-256.14886,2349.9133,0.44943434,121.5113,-0.081534714,2.2081807,121.51126
14.981,0.1621581,-0.027479291,-6.5238657,-0.027306451,-256.17755,-241.28172,2350.0703,-241.2818,2350.0703,0.41987842,45.878094,-0.07680238,2.2081749,45.878017
14.982,0.28397313,-0.049858697,-6.5423589,-0.027768929,-256.17685,-202.81685,2350.2273,-202.81689,2350.2273,0.34922117,-34.241947,-0.064558618,2.2081692,-34.242058
14.983,0.37799251,-0.067361772,-6.5608521,-0.028231407,-256.17612,-144.51614,2350.3843,-144.51613,2350.3843,0.24437846,-111.0129,-0.046000917,2.2081635,-111.01305
14.984,0.43501255,-0.078276694,-6.5793447,-0.028693883,-256.17542,-72.081566,2350.5413,-72.081505,2350.5413,0.11561258,-176.92642,-0.022944257,2.2081575,-176.92657
14.985,0.44945112,-0.081535973,-6.5978374,-0.029156357,-256.17468,7.4026008,2350.6982,7.40271,2350.6982,-0.02447225,-225.53604,0.0023563558,2.2081513,-225.53619
14.986,0.41989425,-0.07682085,-6.6163301,-0.029618831,-256.17395,86.162628,2350.8552,86.162773,2350.8552,-0.16216363,-252.08768,0.027426463,2.2081451,-252.0878
14.987,0.34923452,-0.064592496,-6.6348224,-0.030081304,-256.17325,156.49562,2351.0122,156.49577,2351.0122,-0.28398329,-253.98456,0.049814153,2.2081389,-253.98463
14.988,0.24438803,-0.046046887,-6.6533146,-0.030543774,-256.17252,211.52287,2351.1692,211.52303,2351.1692,-0.37800631,-231.0412,0.067329869,2.2081327,-231.04124
14.989,0.11561742,-0.022997832,-6.6718068,-0.031006243,-256.17178,245.86264,2351.3262,245.86278,2351.3262,-0.43502864,-185.50159,0.078260548,2.2081261,-185.50157
14.99,-0.024472611,0.0023004129,-6.690299,-0.031468712,-256.17102,256.15646,2351.4832,256.15656,2351.4832,-0.44946793,-121.81963,0.081537165,2.2081196,-121.81955
14.991,-0.16216917,0.027373621,-6.7087908,-0.031931177,-256.17029,241.39761,2351.6401,241.39766,2351.6401,-0.41991013,-46.223579,0.076839261,2.208113,-46.223442
14.992,-0.28399345,0.049769577,-6.727282,-0.032393645,-256.16953,203.02962,2351.7971,203.02959,2351.7971,-0.3492479,33.893078,0.064626329,2.2081063,33.89325
14.993,-0.37802011,0.067297921,-6.7457738,-0.032856107,-256.16879,144.80498,2351.9541,144.80489,2351.9541,-0.24439761,110.69476,0.046092827,2.2080994,110.69494
14.994,-0.43504471,0.078244343,-6.7642651,-0.033318572,-256.16803,72.418236,2352.1111,72.418098,2352.1111,-0.11562227,176.6701,0.023051398,2.2080925,176.67026
14.995,-0.44948474,0.08153829,-6.7827563,-0.033781033,-256.16727,-7.0510111,2352.2681,-7.0511684,2352.2681,0.024472961,225.36659,-0.0022444567,2.2080855,225.36673
14.996,-0.41992599,0.076857612,-6.8012471,-0.034243491,-256.1665,-85.83049,2352.425,-85.83065,2352.425,0.16217469,252.02167,-0.027320744,2.2080784,252.02176
14.997,-0.34926128,0.064660117,-6.8197384,-0.034705948,-256.16574,-156.21539,2352.582,-156.21555,2352.582,0.28400359,254.02844,-0.049724951,2.2080712,254.0285
14.998,-0.24440722,0.046138756,-6.8382287,-0.035168406,-256.16498,-211.32196,2352.739,-211.3221,2352.739,0.37803391,231.1907,-0.067265913,2.2080638,231.19072
14.999,-0.11562716,0.023104969,-6.8567195,-0.035630859,-256.16418,-245.76068,2352.896,-245.7608,2352.896,0.4350608,185.74208,-0.078228094,2.2080564,185.74207
15,0.024473282,-0.0021884823,-6.8752098,-0.036093313,-256.16342,-256.16342,2353.053,-256.16351,2353.053,0.44950154,122.1276,-0.081539385,2.2080488,122.12756
15.001,0.16218019,-0.027267845,-6.8937001,-0.036555767,-256.16263,-241.51282,2353.21,-241.51291,2353.21,0.4199419,46.568928,-0.076875947,2.2080412,46.568851
15.002,0.28401372,-0.0496803,-6.91219,-0.037018217,-256.16187,-203.24181,2353.3669,-203.24184,2353.3669,0.34927472,-33.544117,-0.064693891,2.2080336,-33.544228
15.003,0.37804767,-0.067233875,-6.9306798,-0.037480667,-256.16107,-145.0934,2353.5239,-145.09338,2353.5239,0.24441685,-110.3763,-0.046184659,2.2080257,-110.37643
15.004,0.43507689,-0.078211792,-6.9491696,-0.037943114,-256.16028,-72.754692,2353.6809,-72.754631,2353.6809,0.11563206,-176.41327,-0.023158519,2.2080178,-176.41342
15.005,0.44951832,-0.081540406,-6.967659,-0.038405556,-256.15948,6.6994066,2353.8379,6.6995153,2353.8379,-0.02447358,-225.1965,0.0021325219,2.20801,-225.19667
15.006,0.41995776,-0.076894194,-6.9861488,-0.038868003,-256.15866,85.498108,2353.9946,85.498253,2353.9946,-0.16218565,-251.95496,0.027214939,2.2080019,-251.95508
15.007,0.34928811,-0.064727575,-7.0046377,-0.039330445,-256.15787,155.93474,2354.1516,155.93489,2354.1516,-0.28402382,-254.07161,0.049635619,2.2079935,-254.0717
15.008,0.24442647,-0.046230499,-7.0231271,-0.039792884,-256.15704,211.12045,2354.3086,211.12061,2354.3086,-0.37806141,-231.33954,0.067201778,2.2079854,-231.33958
15.009,0.11563697,-0.023212025,-7.041616,-0.040255323,-256.15625,245.65802,2354.4656,245.65816,2354.4656,-0.43509293,-185.98204,0.078195423,2.2079768,-185.98201
15.01,-0.024473872,0.0020765751,-7.0601044,-0.040717758,-256.15543,256.16965,2354.6226,256.16974,2354.6226,-0.44953513,-122.43522,0.081541359,2.2079685,-122.43513
15.011,-0.16219112,0.027162021,-7.0785928,-0.041180193,-256.1546,241.62733,2354.7795,241.62737,2354.7795,-0.41997364,-46.914135,0.076912381,2.2079599,-46.914001
15.012,-0.28403392,0.049590901,-7.0970812,-0.041642629,-256.15378,203.4534,2354.9365,203.45337,2354.9365,-0.34930155,33.195065,0.064761214,2.2079513,33.195236
15.013,-0.37807518,0.067169629,-7.1155696,-0.04210506,-256.15295,145.38139,2355.0935,145.3813,2355.0935,-0.24443613,110.05753,0.046276305,2.2079425,110.0577
15.014,-0.43510899,0.078178987,-7.1340575,-0.042567488,-256.15213,73.090935,2355.2505,73.090797,2355.2505,-0.11564189,176.15594,0.023265524,2.2079337,176.1561
15.015,-0.44955191,0.081542253,-7.1525455,-0.043029916,-256.15128,-6.3477893,2355.4075,-6.3479462,2355.4075,0.024474151,225.02577,-0.002020614,2.2079246,225.02591
15.016,-0.41998953,0.076930515,-7.1710329,-0.04349234,-256.15045,-85.165489,2355.5645,-85.165649,2355.5645,0.16219658,251.88751,-0.027109068,2.2079155,251.88759
15.017,-0.34931499,0.064794824,-7.1895204,-0.043954764,-256.1496,-155.65363,2355.7214,-155.65378,2355.7214,0.28404403,254.11406,-0.049546134,2.2079065,254.11411
15.018,-0.24444579,0.0463221,-7.2080078,-0.044417188,-256.14874,-210.91833,2355.8784,-210.91847,2355.8784,0.37808895,231.48772,-0.067137435,2.2078972,231.48773
15.019,-0.11564685,0.023319026,-7.2264948,-0.044879608,-256.14789,-245.55466,2356.0354,-245.55478,2356.0354,0.43512505,186.22147,-0.078162514,2.2078879,186.22144
15.02,0.024474401,-0.0019646361,-7.2449818,-0.045342024,-256.14703,-256.17514,2356.1924,-256.17523,2356.1924,0.44956875,122.74249,-0.08154311,2.2078784,122.74244
15.021,0.162202,-0.027056092,-7.2634687,-0.045804441,-256.14618,-241.74115,2356.3494,-241.74123,2356.3494,0.42000547,47.259205,-0.07694862,2.2078688,47.259129
15.022,0.2840541,-0.049501345,-7.2819552,-0.046266854,-256.14532,-203.6644,2356.5063,-203.66444,2356.5063,0.34932843,-32.845924,-0.064828403,2.207859,-32.846035
15.023,0.37810269,-0.067105204,-7.3004417,-0.046729267,-256.14444,-145.66896,2356.6633,-145.66896,2356.6633,0.24445549,-109.73844,-0.046367869,2.2078495,-109.73858
15.024,0.43514112,-0.078145988,-7.3189278,-0.047191676,-256.14359,-73.426956,2356.8203,-73.426895,2356.8203,0.11565182,-175.8981,-0.023372507,2.2078395,-175.89827
15.025,0.44958553,-0.0815439,-7.3374138,-0.047654085,-256.1427,5.99616,2356.9773,5.9962687,2356.9773,-0.02447463,-224.8544,0.0019086716,2.2078297,-224.85455
15.026,0.42002136,-0.076966651,-7.3558998,-0.04811649,-256.14182,84.832626,2357.1343,84.832771,2357.1343,-0.16220741,-251.81934,0.027003109,2.2078197,-251.81947
15.027,0.3493419,-0.064861909,-7.3743854,-0.048578896,-256.14093,155.37207,2357.2913,155.37224,2357.2913,-0.28406414,-254.15576,0.049456518,2.2078094,-254.15585
15.028,0.24446516,-0.046413571,-7.3928709,-0.049041297,-256.14005,210.71562,2357.4482,210.71577,2357.4482,-0.3781164,-231.63522,0.067072913,2.2077992,-231.63525
15.029,0.11565679,-0.023425944,-7.4113564,-0.049503695,-256.13916,245.45059,2357.6052,245.45073,2357.6052,-0.43515715,-186.46034,0.078129388,2.2077889,-186.46031
15.03,-0.024474852,0.0018527216,-7.4298415,-0.049966093,-256.13828,256.1799,2357.7622,256.17999,2357.7622,-0.44960234,-123.04939,0.081544623,2.2077785,-123.04929
15.031,-0.1622128,0.026950117,-7.4483266,-0.050428487,-256.13736,241.85426,2357.9192,241.85429,2357.9192,-0.42003727,-47.60413,0.076984614,2.207768,-47.603992
15.032,-0.28407422,0.049411662,-7.4668112,-0.050890878,-256.13647,203.87482,2358.0762,203.87479,2358.0762,-0.34935534,32.496696,0.064895362,2.2077575,32.496868
15.033,-0.37813011,0.067040578,-7.4852958,-0.051353272,-256.13556,145.95612,2358.2332,145.95602,2358.2332,-0.24447487,109.41905,0.046459243,2.2077467,109.41923
15.034,-0.43517318,0.078112736,-7.5037799,-0.051815659,-256.13464,73.762764,2358.3901,73.762634,2358.3901,-0.11566179,175.63977,0.023479374,2.2077358,175.63994
15.035,-0.44961911,0.081545286,-7.5222645,-0.052278046,-256.13373,-5.6445212,2358.5471,-5.6446781,2358.5471,0.02447506,224.68237,-0.0017967569,2.207725,224.68251
15.036,-0.42005318,0.077002525,-7.5407481,-0.052740429,-256.13281,-84.499527,2358.7041,-84.499695,2358.7041,0.1622182,251.75044,-0.026897088,2.2077141,251.75053
15.037,-0.34936884,0.064928778,-7.5592322,-0.053202808,-256.1319,-155.09009,2358.8611,-155.09023,2358.8611,0.28408423,254.19673,-0.049366754,2.2077029,254.19678
15.038,-0.24448459,0.046504904,-7.5777159,-0.053665187,-256.13098,-210.5123,2359.0178,-210.51244,2359.0178,0.37814382,231.78204,-0.06700819,2.2076917,231.78206
15.039,-0.1156668,0.023532808,-7.596199,-0.054127567,-256.13004,-245.34583,2359.1748,-245.34593,2359.1748,0.43518925,186.69867,-0.07809604,2.2076805,186.69865
15.04,0.024475241,-0.0017407764,-7.6146822,-0.054589938,-256.12912,-256.18393,2359.3318,-256.18402,2359.3318,0.44963592,123.35593,-0.081545904,2.207669,123.35588
15.041,0.16222355,-0.026844036,-7.6331654,-0.05505231,-256.12817,-241.96667,2359.4888,-241.96675,2359.4888,0.42006913,47.94891,-0.077020407,2.2076576,47.94883
15.042,0.28409427,-0.049321823,-7.651648,-0.055514682,-256.12723,-204.08464,2359.6458,-204.08469,2359.6458,0.34938234,-32.147381,-0.064962171,2.2076459,-32.147495
15.043,0.37815753,-0.066975765,-7.6701307,-0.055977046,-256.12628,-146.24283,2359.8027,-146.24283,2359.8027,0.24449433,-109.09935,-0.046550535,2.2076342,-109.09949
15.044,0.43520528,-0.078079291,-7.6886129,-0.056439415,-256.12534,-74.098351,2359.9597,-74.098289,2359.9597,0.11567184,-175.38094,-0.023586219,2.2076225,-175.3811
15.045,0.44965273,-0.081546463,-7.7070951,-0.056901775,-256.12439,5.2928739,2360.1167,5.2929821,2360.1167,-0.024475398,-224.50972,0.0016848085,2.2076106,-224.50987
15.046,0.42008504,-0.077038214,-7.7255774,-0.057364136,-256.12344,84.166199,2360.2737,84.166344,2360.2737,-0.16222888,-251.68083,0.02679098,2.2075987,-251.68097
15.047,0.34939581,-0.064995483,-7.7440591,-0.057826493,-256.12247,154.80765,2360.4307,154.80782,2360.4307,-0.28410426,-254.23697,0.049276859,2.2075865,-254.23706
15.048,0.24450408,-0.046596102,-7.7625408,-0.058288846,-256.12152,210.30838,2360.5876,210.30853,2360.5876,-0.37817118,-231.92821,0.066943288,2.2075744,-231.92824
15.049,0.11567688,-0.023639586,-7.7810221,-0.058751199,-256.12054,245.24034,2360.7446,245.24048,2360.7446,-0.43522128,-186.93646,0.078062467,2.2075622,-186.93643
