"time","bodyOfConstraint.body.w_a[1]","bodyOfConstraint.body.w_a[2]","bodyOfConstraint.body.w_a[3]","bodyOfJoint.body.w_a[2]","joint.phi"
8.0860000000000003,1.9229626863835641e-16,-1.0945907089604434,5.0815677730521826e-16,-1.0945907089604388,-2.3942521255327596
8.088000000000001,2.9261290447037664e-16,-1.0867099823071769,5.1187054439906289e-16,-1.086709982307172,-2.396433427251742
8.0899999999999999,1.9229626863835641e-16,-1.0788210848202817,4.9577901577745203e-16,-1.0788210848202771,-2.3985989592505863
8.0920000000000005,3.8459253727671271e-16,-1.0709241065928845,4.9329921858520685e-16,-1.0709241065928798,-2.4007487053905905
8.0939999999999994,3.8459253727671266e-16,-1.0630191430255025,4.1231229091435464e-16,-1.0630191430254978,-2.4028826496047713
8.0960000000000001,3.8459253727671286e-16,-1.0551062887838876,4.8833213129425875e-16,-1.0551062887838827,-2.4050007760162235
8.0980000000000008,1.9229626863835643e-16,-1.0471856377988495,4.8584490041836383e-16,-1.0471856377988447,-2.4071030689366406
8.0999999999999996,1.8852175409388925e-16,-1.0392572832660187,2.416776252430051e-16,-1.0392572832660141,-2.4091895128648613
8.1020000000000003,2.9597311859764186e-16,-1.0313213176456013,4.0481745582879305e-16,-1.0313213176455966,-2.411260092485414
8.104000000000001,1.9229626863835636e-16,-1.0233778326621987,3.2135956348941266e-16,-1.0233778326621941,-2.4133147926670411
8.1059999999999999,1.9229626863835641e-16,-1.0154269193045684,3.2007391415196139e-16,-1.0154269193045637,-2.4153535984612429
8.1080000000000005,1.9409151483150603e-16,-1.007468667825379,3.9604106437965623e-16,-1.0074686678253744,-2.4173764951008252
8.1099999999999994,3.3649458536973944e-16,-0.99950316774104031,4.7079371583022535e-16,-0.99950316774103576,-2.4193834679984181
8.1120000000000001,0,-0.99153050783142416,3.8986353751439123e-16,-0.99153050783141949,-2.4213745027450337
8.1140000000000008,2.3562564924244434e-16,-0.98355077613969277,3.8606641408737632e-16,-0.98355077613968822,-2.4233495851085878
8.1159999999999997,1.9229626863835641e-16,-0.97556405997205753,3.8293144338126312e-16,-0.97556405997205253,-2.4253087010324474
8.1180000000000003,2.8532636183377966e-16,-0.96757044589753394,3.797937650872538e-16,-0.96757044589752916,-2.4272518366339706
8.120000000000001,2.0590169934799435e-16,-0.95957003279819186,5.3683660321764292e-16,-0.95957003279818698,-2.4291789783604099
8.1219999999999999,3.3884703814050537e-16,-0.95156290780117059,5.343222179029305e-16,-0.95156290780116581,-2.4310901126972229
8.1240000000000006,1.9229626863835641e-16,-0.94354914697801229,2.9186022708273255e-16,-0.94354914697800762,-2.4329852261750524
