"Time","imcQS.rotorCage.port_p.reference.gamma","PIQS.x","loadInertiaQS.w","powerSensorQS.flange_a.phi"
0.38999999,1.5999608,-5.1474105e-09,157.0419,60.461075
0.40000001,1.6007154,-4.4170929e-09,157.0419,62.031494
0.41,1.6014699,-3.6867758e-09,157.0419,63.601913
0.41999999,1.6022245,-2.9564586e-09,157.0419,65.172333
0.43000001,1.6029789,-2.2261413e-09,157.0419,66.742752
0.44,1.6037335,-1.495824e-09,157.0419,68.313171
0.44999999,1.604488,-7.6550671e-10,157.0419,69.883591
0.46000001,1.6052426,-3.5189431e-11,157.0419,71.45401
0.47,1.6059971,1.4565833e-10,157.0419,73.024429
0.47999999,1.6067517,1.6842555e-10,157.0419,74.594849
0.49000001,1.6075062,1.9119277e-10,157.0419,76.165268
0.5,1.6082608,2.1395999e-10,157.0419,77.735687
0.50999999,1.6090152,2.3672719e-10,157.0419,79.306107
0.51999998,1.6097698,2.5949443e-10,157.0419,80.876526
0.52999997,1.6105243,2.8226163e-10,157.0419,82.446945
0.54000002,1.6112789,3.0502886e-10,157.0419,84.017365
0.55000001,1.6120334,3.2779607e-10,157.0419,85.587784
0.56,1.612788,3.505633e-10,157.0419,87.158203
0.56999999,1.6135424,3.7333051e-10,157.0419,88.728622
0.57999998,1.614297,3.9609774e-10,157.0419,90.299042
0.58999997,1.6150515,4.1886494e-10,157.0419,91.869461
0.60000002,1.6158061,4.4163218e-10,157.0419,93.43988
0.61000001,1.6165606,4.6439938e-10,157.0419,95.010292
0.62,1.6173152,4.8716658e-10,157.0419,96.580711
0.63,1.6180696,5.0993382e-10,157.0419,98.151131
0.63999999,1.6188242,5.2838223e-10,157.0419,99.72155
0.64999998,1.6195787,5.2627153e-10,157.0419,101.29197
0.66000003,1.6203333,5.2416083e-10,157.0419,102.86239
0.67000002,1.6210878,5.2205013e-10,157.0419,104.43281
0.68000001,1.6218424,5.1993942e-10,157.0419,106.00323
0.69,1.6225969,5.1782872e-10,157.0419,107.57365
0.69999999,1.6233515,5.1571802e-10,157.0419,109.14407
0.70999998,1.6241059,5.1360732e-10,157.0419,110.71449
0.72000003,1.6248605,5.1149662e-10,157.0419,112.2849
0.73000002,1.625615,5.0938592e-10,157.0419,113.85532
0.74000001,1.6263696,5.0727522e-10,157.0419,115.42574
0.75,1.6271241,5.0516452e-10,157.0419,116.99616
0.75999999,1.6278787,5.0305382e-10,157.0419,118.56658
0.76999998,1.6286331,5.0094312e-10,157.0419,120.137
0.77999997,1.6293877,4.9883242e-10,157.0419,121.70742
0.79000002,1.6301422,4.9672172e-10,157.0419,123.27784
0.80000001,1.6308967,4.9461102e-10,157.0419,124.84826
0.81,1.6316513,4.9250032e-10,157.0419,126.41868
0.81999999,1.6324058,4.9038967e-10,157.0419,127.9891
0.82999998,1.6331604,4.8827897e-10,157.0419,129.55951
0.83999997,1.6339148,4.8616827e-10,157.0419,131.12993
0.85000002,1.6346694,4.8405757e-10,157.0419,132.70035
0.86000001,1.6354239,4.8194687e-10,157.0419,134.27077
0.87,1.6361785,4.7983617e-10,157.0419,135.84119
0.88,1.636933,4.7772547e-10,157.0419,137.41161
0.88999999,1.6376876,4.7561477e-10,157.0419,138.98203
0.89999998,1.638442,4.7350407e-10,157.0419,140.55244
0.91000003,1.6391966,4.7139337e-10,157.0419,142.12286
0.92000002,1.6399511,4.6928267e-10,157.0419,143.69328
0.93000001,1.6407057,4.6717197e-10,157.0419,145.2637
0.94,1.6414602,4.6506127e-10,157.0419,146.83412
0.94999999,1.6422148,4.6295057e-10,157.0419,148.40454
0.95999998,1.6429693,4.6083987e-10,157.0419,149.97496
0.97000003,1.6437238,4.5872917e-10,157.0419,151.54538
0.98000002,1.6444783,4.5661847e-10,157.0419,153.1158
0.99000001,1.6452329,4.5450776e-10,157.0419,154.68622
1,1.6459874,4.4746581e-10,157.0419,156.25664
1.01,1.646742,4.4025891e-10,157.0419,157.82706
1.02,1.6474965,4.3305204e-10,157.0419,159.39748
1.03,1.6482511,4.2584516e-10,157.0419,160.9679
1.04,1.6490055,4.1863826e-10,157.0419,162.53831
1.05,1.6497601,4.1143139e-10,157.0419,164.10873
1.0599999,1.6505146,4.0422451e-10,157.0419,165.67915
1.0700001,1.6512692,3.9701764e-10,157.0419,167.24957
1.08,1.6520237,3.8981074e-10,157.0419,168.81999
1.09,1.6527783,3.8260387e-10,157.0419,170.39041
1.1,1.6535327,3.7539699e-10,157.0419,171.96083
1.11,1.6542873,3.6819012e-10,157.0419,173.53125
1.12,1.6550418,3.6098322e-10,157.0419,175.10167
1.13,1.6557964,3.5377634e-10,157.0419,176.67209
1.14,1.6565509,3.4656947e-10,157.0419,178.24251
1.15,1.6573055,3.3936257e-10,157.0419,179.81293
1.16,1.65806,3.3215569e-10,157.0419,181.38335
1.17,1.6588145,3.2494882e-10,157.0419,182.95377
1.1799999,1.659569,3.1774194e-10,157.0419,184.52419
1.1900001,1.6603236,3.1053504e-10,157.0419,186.0946
1.2,1.6610781,3.0332817e-10,157.0419,187.66502
1.21,1.6618327,2.9612129e-10,157.0419,189.23544
1.22,1.6625872,2.8891442e-10,157.0419,190.80586
1.23,1.6633418,2.8170752e-10,157.0419,192.37628
1.24,1.6640962,2.7450064e-10,157.0419,193.9467
1.25,1.6648508,2.6729377e-10,157.0419,195.51712
1.26,1.6656053,2.600869e-10,157.0419,197.08754
1.27,1.6663599,2.5287999e-10,157.0419,198.65796
1.28,1.6671144,2.4567312e-10,157.0419,200.22838
1.29,1.667869,2.3846625e-10,157.0419,201.7988
1.3,1.6686234,2.3125936e-10,157.0419,203.36922
1.3099999,1.669378,2.2405247e-10,157.0419,204.93964
1.3200001,1.6701325,2.168456e-10,157.0419,206.51006
1.33,1.6708871,2.0963871e-10,157.0419,208.08047
1.34,1.6716416,2.0243184e-10,157.0419,209.65089
1.35,1.6723961,1.9522495e-10,157.0419,211.22131
1.36,1.6731507,1.8801807e-10,157.0419,212.79172
1.37,1.6739051,1.8081119e-10,157.0419,214.36214
1.38,1.6746597,1.7360431e-10,157.0419,215.93256
1.39,1.6754142,1.6639742e-10,157.0419,217.50298
1.4,1.6761688,1.5919055e-10,157.0419,219.07339
1.41,1.6769233,1.5198366e-10,157.0419,220.64381
1.42,1.6776779,1.4477677e-10,157.0419,222.21423
1.4299999,1.6784323,1.375699e-10,157.0419,223.78465
1.4400001,1.6791869,1.3036301e-10,157.0419,225.35507
1.45,1.6799414,1.2315614e-10,157.0419,226.92549
1.46,1.680696,1.1594926e-10,157.0419,228.49591
1.47,1.6814505,1.0874238e-10,157.0419,230.06633
1.48,1.6822051,1.0153549e-10,157.0419,231.63675
1.49,1.6829596,9.4328607e-11,157.0419,233.20717
1.5,1.6837142,8.7121726e-11,157.0419,234.77759
1.51,1.6844686,7.9914846e-11,157.0419,236.34801
1.52,1.6852232,7.2707965e-11,157.0419,237.91843
1.53,1.6859777,6.5501084e-11,157.0419,239.48885
1.54,1.6867323,5.8294203e-11,157.0419,241.05927
1.55,1.6874868,5.1087322e-11,157.0419,242.62968
1.5599999,1.6882414,4.3880441e-11,157.0419,244.2001
1.5700001,1.6889958,3.667356e-11,157.0419,245.77052
1.58,1.6897504,2.9466679e-11,157.0419,247.34094
1.59,1.6905049,2.2259796e-11,157.0419,248.91136
1.6,1.6912595,1.5052914e-11,157.0419,250.48178
1.61,1.692014,7.8460329e-12,157.0419,252.0522
1.62,1.6927686,6.391516e-13,157.0419,253.62262
1.63,1.693523,-6.5677299e-12,157.0419,255.19304
1.64,1.6942776,-1.3774612e-11,157.0419,256.76346
1.65,1.6950321,-2.0981493e-11,157.0419,258.33389
1.66,1.6957867,-2.8188374e-11,157.0419,259.9043
1.67,1.6965412,-3.5395256e-11,157.0419,261.4747
1.6799999,1.6972958,-4.2602137e-11,157.0419,263.04514
1.6900001,1.6980503,-4.9809018e-11,157.0419,264.61554
1.7,1.6988049,-5.1890218e-11,157.0419,266.18597
1.71,1.6995593,-4.987364e-11,157.0419,267.75638
1.72,1.7003139,-4.7857062e-11,157.0419,269.32681
1.73,1.7010684,-4.5840484e-11,157.0419,270.89722
1.74,1.701823,-4.3823903e-11,157.0419,272.46765
1.75,1.7025775,-4.1807325e-11,157.0419,274.03806
1.76,1.7033321,-3.9790747e-11,157.0419,275.60849
1.77,1.7040865,-3.7774169e-11,157.0419,277.17889
1.78,1.7048411,-3.5757591e-11,157.0419,278.74933
1.79,1.7055956,-3.3741013e-11,157.0419,280.31973
1.8,1.7063502,-3.1724436e-11,157.0419,281.89017
1.8099999,1.7071047,-2.9707858e-11,157.0419,283.46057
1.8200001,1.7078593,-2.7691278e-11,157.0419,285.03101
1.83,1.7086138,-2.56747e-11,157.0419,286.60141
1.84,1.7093683,-2.3658122e-11,157.0419,288.17184
1.85,1.7101228,-2.1641544e-11,157.0419,289.74225
1.86,1.7108774,-1.9624967e-11,157.0419,291.31268
1.87,1.7116319,-1.7608389e-11,157.0419,292.88309
1.88,1.7123865,-1.5591809e-11,157.0419,294.45352
1.89,1.713141,-1.3575231e-11,157.0419,296.02393
1.9,1.7138954,-1.1558653e-11,157.0419,297.59436
1.91,1.71465,-9.5420755e-12,157.0419,299.16476
1.92,1.7154045,-7.5254967e-12,157.0419,300.7352
1.9299999,1.7161591,-5.5089188e-12,157.0419,302.3056
1.9400001,1.7169136,-3.4923405e-12,157.0419,303.87604
1.95,1.7176682,-1.4757622e-12,157.0419,305.44644
1.96,1.7184227,5.4081593e-13,157.0419,307.01688
1.97,1.7191772,2.5573942e-12,157.0419,308.58728
1.98,1.7199317,4.5739723e-12,157.0419,310.15771
1.99,1.7206863,6.5905506e-12,157.0419,311.72812
2,1.7214408,8.6071289e-12,157.0419,313.29855
2.01,1.7221954,1.0623707e-11,157.0419,314.86896
2.02,1.7229499,1.2640286e-11,157.0419,316.43939
2.03,1.7237045,1.4656863e-11,157.0419,318.0098
2.04,1.7244589,1.6673442e-11,157.0419,319.58023
2.05,1.7252135,1.869002e-11,157.0419,321.15063
2.0599999,1.725968,2.0706598e-11,157.0419,322.72107
2.0699999,1.7267226,2.2723176e-11,157.0419,324.29147
2.0799999,1.7274771,2.4739754e-11,157.0419,325.86191
2.0899999,1.7282317,2.6756333e-11,157.0419,327.43231
2.0999999,1.7289861,2.8772911e-11,157.0419,329.00275
2.1099999,1.7297407,3.0789489e-11,157.0419,330.57315
2.1199999,1.7304952,3.2806067e-11,157.0419,332.14359
2.1300001,1.7312498,3.4822645e-11,157.0419,333.71399
2.1400001,1.7320043,3.6839223e-11,157.0419,335.28442
2.1500001,1.7327589,3.8855801e-11,157.0419,336.85483
2.1600001,1.7335134,4.0872378e-11,157.0419,338.42526
2.1700001,1.734268,4.288896e-11,157.0419,339.99567
2.1800001,1.7350224,4.4905538e-11,157.0419,341.5661
2.1900001,1.735777,4.6922115e-11,157.0419,343.13651
2.2,1.7365315,4.8938693e-11,157.0419,344.70694
2.21,1.7372861,5.0955271e-11,157.0419,346.27734
2.22,1.7380406,5.2971849e-11,157.0419,347.84778
2.23,1.7387952,5.4988427e-11,157.0419,349.41818
2.24,1.7395496,5.7005005e-11,157.0419,350.98862
2.25,1.7403042,5.9021586e-11,157.0419,352.55902
2.26,1.7410587,6.1038161e-11,157.0419,354.12946
2.27,1.7418133,6.3054742e-11,157.0419,355.69986
2.28,1.7425678,6.5071316e-11,157.0419,357.27026
2.29,1.7433224,6.7087898e-11,157.0419,358.8407
2.3,1.7440768,6.9104472e-11,157.0419,360.4111
2.3099999,1.7448314,7.1121053e-11,157.0419,361.98154
2.3199999,1.7455859,7.3137628e-11,157.0419,363.55194
2.3299999,1.7463405,7.5154209e-11,157.0419,365.12238
2.3399999,1.747095,7.7170791e-11,157.0419,366.69278
2.3499999,1.7478496,7.9187365e-11,157.0419,368.26321
2.3599999,1.7486041,8.1203946e-11,157.0419,369.83362
2.3699999,1.7493587,8.3220521e-11,157.0419,371.40405
2.3800001,1.7501131,8.5237102e-11,157.0419,372.97446
2.3900001,1.7508677,8.7253677e-11,157.0419,374.54489
2.4000001,1.7516222,8.9270258e-11,157.0419,376.1153
2.4100001,1.7523768,9.1286832e-11,157.0419,377.68573
2.4200001,1.7531313,9.3303414e-11,157.0419,379.25613
2.4300001,1.7538859,9.5319995e-11,157.0419,380.82657
2.4400001,1.7546403,9.7336569e-11,157.0419,382.39697
2.45,1.7553948,9.9353151e-11,157.0419,383.96741
2.46,1.7561494,1.0136973e-10,157.0419,385.53781
2.47,1.7569039,1.0338631e-10,157.0419,387.10825
2.48,1.7576585,1.0540288e-10,157.0419,388.67865
2.49,1.758413,1.0741946e-10,157.0419,390.24908
2.5,1.7591676,1.0943604e-10,157.0419,391.81949
2.51,1.759922,1.1145262e-10,157.0419,393.38992
2.52,1.7606766,1.1346919e-10,157.0419,394.96033
2.53,1.7614311,1.1548577e-10,157.0419,396.53076
2.54,1.7621857,1.1750236e-10,157.0419,398.10117
2.55,1.7629402,1.1951894e-10,157.0419,399.6716
2.5599999,1.7636948,1.215355e-10,157.0419,401.242
2.5699999,1.7644492,1.2355209e-10,157.0419,402.81244
2.5799999,1.7652038,1.2556867e-10,157.0419,404.38284
2.5899999,1.7659583,1.2758525e-10,157.0419,405.95328
2.5999999,1.7667129,1.2960182e-10,157.0419,407.52368
2.6099999,1.7674674,1.316184e-10,157.0419,409.09412
2.6199999,1.768222,1.3363498e-10,157.0419,410.66452
2.6300001,1.7689764,1.3565156e-10,157.0419,412.23495
2.6400001,1.769731,1.3766813e-10,157.0419,413.80536
2.6500001,1.7704855,1.3968471e-10,157.0419,415.37579
2.6600001,1.7712401,1.4170129e-10,157.0419,416.9462
2.6700001,1.7719946,1.4371787e-10,157.0419,418.51663
2.6800001,1.7727492,1.4573445e-10,157.0419,420.08704
2.6900001,1.7735037,1.4775102e-10,157.0419,421.65747
2.7,1.7742583,1.497676e-10,157.0419,423.22787
2.71,1.7750127,1.5178418e-10,157.0419,424.79831
2.72,1.7757673,1.5380076e-10,157.0419,426.36871
2.73,1.7765218,1.5581733e-10,157.0419,427.93915
2.74,1.7772764,1.5783391e-10,157.0419,429.50955
2.75,1.7780309,1.5985049e-10,157.0419,431.07999
2.76,1.7787855,1.6186708e-10,157.0419,432.65039
2.77,1.7795399,1.6388366e-10,157.0419,434.22083
2.78,1.7802945,1.6590022e-10,157.0419,435.79123
2.79,1.781049,1.6791681e-10,157.0419,437.36166
2.8,1.7818036,1.6993339e-10,157.0419,438.93207
2.8099999,1.7825581,1.7194997e-10,157.0419,440.5025
2.8199999,1.7833127,1.7396654e-10,157.0419,442.07291
2.8299999,1.7840672,1.7598312e-10,157.0419,443.64334
2.8399999,1.7848217,1.779997e-10,157.0419,445.21375
2.8499999,1.7855762,1.8001628e-10,157.0419,446.78418
2.8599999,1.7863308,1.8203286e-10,157.0419,448.35458
2.8699999,1.7870853,1.8404943e-10,157.0419,449.92502
2.8800001,1.7878399,1.8606601e-10,157.0419,451.49542
2.8900001,1.7885944,1.8808259e-10,157.0419,453.06583
2.9000001,1.789349,1.9009917e-10,157.0419,454.63626
2.9100001,1.7901034,1.9211574e-10,157.0419,456.20667
2.9200001,1.790858,1.9413232e-10,157.0419,457.7771
2.9300001,1.7916125,1.961489e-10,157.0419,459.3475
2.9400001,1.7923671,1.9816548e-10,157.0419,460.91794
2.95,1.7931216,2.0018205e-10,157.0419,462.48834
2.96,1.7938762,2.0219863e-10,157.0419,464.05878
2.97,1.7946306,2.0421521e-10,157.0419,465.62918
2.98,1.7953852,2.062318e-10,157.0419,467.19962
2.99,1.7961397,2.0824838e-10,157.0419,468.77002
3,1.7968942,2.1026494e-10,157.0419,470.34045
3.01,1.7976488,2.1228153e-10,157.0419,471.91086
3.02,1.7984033,2.1429811e-10,157.0419,473.48129
3.03,1.7991579,2.1631469e-10,157.0419,475.0517
3.04,1.7999123,2.1833126e-10,157.0419,476.62213
3.05,1.8006669,2.2034784e-10,157.0419,478.19254
3.0599999,1.8014214,2.2236442e-10,157.0419,479.76297
3.0699999,1.802176,2.24381e-10,157.0419,481.33337
3.0799999,1.8029305,2.2639758e-10,157.0419,482.90381
3.0899999,1.8036851,2.2841415e-10,157.0419,484.47421
3.0999999,1.8044395,2.3043073e-10,157.0419,486.04465
3.1099999,1.8051941,2.2920864e-10,157.0419,487.61505
3.1199999,1.8059486,2.2680012e-10,157.0419,489.18549
3.1300001,1.8067032,2.2439159e-10,157.0419,490.75589
3.1400001,1.8074577,2.2198306e-10,157.0419,492.32632
3.1500001,1.8082123,2.1957454e-10,157.0419,493.89673
3.1600001,1.8089668,2.1716601e-10,157.0419,495.46716
3.1700001,1.8097214,2.1475748e-10,157.0419,497.03757
3.1800001,1.8104758,2.1234896e-10,157.0419,498.608
3.1900001,1.8112304,2.0994043e-10,157.0419,500.17841
3.2,1.8119849,2.0753189e-10,157.0419,501.74884
3.21,1.8127395,2.0512338e-10,157.0419,503.31924
3.22,1.813494,2.0271484e-10,157.0419,504.88968
3.23,1.8142486,2.0030631e-10,157.0419,506.46008
3.24,1.815003,1.978978e-10,157.0419,508.03052
3.25,1.8157576,1.9548926e-10,157.0419,509.60092
3.26,1.8165121,1.9308073e-10,157.0419,511.17136
3.27,1.8172667,1.9067221e-10,157.0419,512.74176
3.28,1.8180212,1.8826368e-10,157.0419,514.31219
3.29,1.8187758,1.8585515e-10,157.0419,515.88263
3.3,1.8195302,1.8344663e-10,157.0419,517.453
3.3099999,1.8202848,1.810381e-10,157.0419,519.02344
3.3199999,1.8210393,1.7862958e-10,157.0419,520.59387
3.3299999,1.8217939,1.7622105e-10,157.0419,522.16431
3.3399999,1.8225484,1.7381252e-10,157.0419,523.73468
3.3499999,1.823303,1.71404e-10,157.0419,525.30511
3.3599999,1.8240575,1.6899547e-10,157.0419,526.87555
3.3699999,1.8248121,1.6658694e-10,157.0419,528.44598
3.3800001,1.8255665,1.6417842e-10,157.0419,530.01636
3.3900001,1.8263211,1.6176989e-10,157.0419,531.58679
3.4000001,1.8270756,1.5936136e-10,157.0419,533.15723
3.4100001,1.8278302,1.5695284e-10,157.0419,534.72766
3.4200001,1.8285847,1.5454431e-10,157.0419,536.29803
3.4300001,1.8293393,1.5213578e-10,157.0419,537.86847
3.4400001,1.8300937,1.4972726e-10,157.0419,539.4389
3.45,1.8308483,1.4731873e-10,157.0419,541.00934
3.46,1.8316028,1.4491019e-10,157.0419,542.57971
3.47,1.8323574,1.4250168e-10,157.0419,544.15015
3.48,1.8331119,1.4009315e-10,157.0419,545.72058
3.49,1.8338665,1.3768461e-10,157.0419,547.29095
3.5,1.834621,1.352761e-10,157.0419,548.86139
3.51,1.8353755,1.3286756e-10,157.0419,550.43182
3.52,1.83613,1.3045903e-10,157.0419,552.00226
3.53,1.8368846,1.2805051e-10,157.0419,553.57263
3.54,1.8376391,1.2564198e-10,157.0419,555.14307
3.55,1.8383936,1.2323345e-10,157.0419,556.7135
3.5599999,1.8391482,1.2082493e-10,157.0419,558.28394
3.5699999,1.8399026,1.184164e-10,157.0419,559.85431
3.5799999,1.8406572,1.1600788e-10,157.0419,561.42474
3.5899999,1.8414117,1.1359935e-10,157.0419,562.99518
3.5999999,1.8421663,1.1119082e-10,157.0419,564.56561
3.6099999,1.8429208,1.087823e-10,157.0419,566.13599
3.6199999,1.8436754,1.0637376e-10,157.0419,567.70642
3.6300001,1.8444299,1.0396524e-10,157.0419,569.27686
3.6400001,1.8451844,1.0155671e-10,157.0419,570.84729
3.6500001,1.8459389,9.914819e-11,157.0419,572.41766
3.6600001,1.8466935,9.6739658e-11,157.0419,573.9881
3.6700001,1.847448,9.4331133e-11,157.0419,575.55853
3.6800001,1.8482026,9.1922608e-11,157.0419,577.12897
3.6900001,1.8489571,8.9514077e-11,157.0419,578.69934
3.7,1.8497117,8.7105552e-11,157.0419,580.26978
3.71,1.8504661,8.4697027e-11,157.0419,581.84021
3.72,1.8512207,8.2288495e-11,157.0419,583.41064
3.73,1.8519752,7.9879971e-11,157.0419,584.98102
3.74,1.8527298,7.7471446e-11,157.0419,586.55145
3.75,1.8534843,7.5062914e-11,157.0419,588.12189
3.76,1.8542389,7.2654389e-11,157.0419,589.69232
3.77,1.8549933,7.0245865e-11,157.0419,591.2627
3.78,1.8557479,6.7837333e-11,157.0419,592.83313
3.79,1.8565024,6.5428808e-11,157.0419,594.40356
3.8,1.857257,6.3020283e-11,157.0419,595.974
3.8099999,1.8580115,6.0611752e-11,157.0419,597.54437
3.8199999,1.8587661,5.8203227e-11,157.0419,599.11481
3.8299999,1.8595206,5.5794702e-11,157.0419,600.68524
3.8399999,1.8602751,5.3386174e-11,157.0419,602.25568
3.8499999,1.8610296,5.0977646e-11,157.0419,603.82605
3.8599999,1.8617842,4.8569121e-11,157.0419,605.39648
3.8699999,1.8625387,4.6160593e-11,157.0419,606.96692
3.8800001,1.8632933,4.3752064e-11,157.0419,608.53735
3.8900001,1.8640478,4.134354e-11,157.0419,610.10773
3.9000001,1.8648024,3.8935011e-11,157.0419,611.67816
3.9100001,1.8655568,3.6526483e-11,157.0419,613.2486
3.9200001,1.8663114,3.4117958e-11,157.0419,614.81903
3.9300001,1.8670659,3.170943e-11,157.0419,616.3894
3.9400001,1.8678205,2.9300905e-11,157.0419,617.95984
3.95,1.868575,2.6892377e-11,157.0419,619.53027
3.96,1.8693296,2.4483851e-11,157.0419,621.10071
3.97,1.870084,2.2075322e-11,157.0419,622.67108
3.98,1.8708386,1.9666796e-11,157.0419,624.24152
3.99,1.8715931,1.7258269e-11,157.0419,625.81195
4,1.8723477,1.4849741e-11,157.0419,627.38239
4.0100002,1.8731022,1.2441215e-11,157.0419,628.95276
4.02,1.8738568,1.0032688e-11,157.0419,630.52319
4.0300002,1.8746113,7.6241609e-12,157.0419,632.09363
4.04,1.8753659,5.2156339e-12,157.0419,633.66406
4.0500002,1.8761203,2.8071072e-12,157.0419,635.23444
4.0599999,1.8768749,3.9858012e-13,157.0419,636.80487
4.0700002,1.8776294,-2.0099469e-12,157.0419,638.37531
4.0799999,1.878384,-4.4184738e-12,157.0419,639.94574
4.0900002,1.8791385,-6.8270008e-12,157.0419,641.51611
4.0999999,1.8798931,-9.2355281e-12,157.0419,643.08655
4.1100001,1.8806475,-1.1644055e-11,157.0419,644.65698
4.1199999,1.881402,-1.4052582e-11,157.0419,646.22736
4.1300001,1.8821566,-1.6461109e-11,157.0419,647.79779
4.1399999,1.8829111,-1.8869635e-11,157.0419,649.36823
4.1500001,1.8836657,-2.1278163e-11,157.0419,650.93866
4.1599998,1.8844202,-2.368669e-11,157.0419,652.50903
4.1700001,1.8851748,-2.6095216e-11,157.0419,654.07947
4.1799998,1.8859292,-2.8503745e-11,157.0419,655.6499
4.1900001,1.8866838,-3.0912269e-11,157.0419,657.22034
4.1999998,1.8874383,-3.3320798e-11,157.0419,658.79071
4.21,1.8881929,-3.5729326e-11,157.0419,660.36115
4.2199998,1.8889474,-3.8137851e-11,157.0419,661.93158
4.23,1.889702,-4.0546379e-11,157.0419,663.50201
4.2399998,1.8904564,-4.2954907e-11,157.0419,665.07239
4.25,1.891211,-4.5363432e-11,157.0419,666.64282
4.2600002,1.8919655,-4.777196e-11,157.0419,668.21326
4.27,1.8927201,-5.0180485e-11,157.0419,669.78369
4.2800002,1.8934746,-5.2589013e-11,157.0419,671.35406
4.29,1.8942292,-5.4997541e-11,157.0419,672.9245
4.3000002,1.8949836,-5.7406066e-11,157.0419,674.49493
4.3099999,1.8957382,-5.9814598e-11,157.0419,676.06537
4.3200002,1.8964927,-6.2223122e-11,157.0419,677.63574
4.3299999,1.8972473,-6.4631647e-11,157.0419,679.20618
4.3400002,1.8980018,-6.7040172e-11,157.0419,680.77661
4.3499999,1.8987564,-6.9448704e-11,157.0419,682.34705
4.3600001,1.8995109,-7.1857229e-11,157.0419,683.91742
4.3699999,1.9002655,-7.4265753e-11,157.0419,685.48785
4.3800001,1.9010199,-7.6674285e-11,157.0419,687.05829
4.3899999,1.9017745,-7.908281e-11,157.0419,688.62872
4.4000001,1.902529,-8.1491335e-11,157.0419,690.1991
4.4099998,1.9032836,-8.3899866e-11,157.0419,691.76953
4.4200001,1.9040381,-8.6308391e-11,157.0419,693.33997
4.4299998,1.9047927,-8.8716916e-11,157.0419,694.9104
4.4400001,1.9055471,-9.1125447e-11,157.0419,696.48077
4.4499998,1.9063017,-9.3533972e-11,157.0419,698.05121
4.46,1.9070562,-9.5942497e-11,157.0419,699.62164
4.4699998,1.9078108,-9.8351029e-11,157.0419,701.19208
4.48,1.9085653,-1.0075955e-10,157.0419,702.76245
4.4899998,1.9093199,-1.0316808e-10,157.0419,704.33289
4.5,1.9100744,-1.0557661e-10,157.0419,705.90332
4.5100002,1.9108515,8.2838163,157.03883,707.47369
4.52,1.9117235,25.967398,157.03299,709.04407
4.5300002,1.9127231,47.788177,157.02623,710.61438
4.54,1.913862,71.58046,157.0191,712.18463
4.5500002,1.9151452,96.340561,157.01181,713.75476
4.5599999,1.9165752,121.58114,157.00444,715.32483
4.5700002,1.9181533,147.06174,156.99701,716.89484
4.5799999,1.9198802,172.66281,156.98956,718.46478
4.5900002,1.9217561,198.32509,156.9821,720.03461
4.5999999,1.9237813,224.01906,156.97464,721.60443
4.6100001,1.9259558,249.73004,156.96716,723.17413
4.6199999,1.9282798,275.45074,156.95969,724.74377
4.6300001,1.9307534,301.17755,156.95221,726.31329
4.6399999,1.9333766,326.90857,156.94473,727.88281
