"Time","resistor_e.i[1]","resistor_e.i[2]","resistor_s.i[1]","resistor_s.i[2]","resistor_m.i[1]","resistor_m.i[2]"
0.97000003,-4.1897264,0.58041227,-4.1897264,0.58041227,-4.1897264,0.58041227
0.97500002,-3.4912572,0.12668177,-3.4912572,0.12668177,-3.4912572,0.12668177
0.98000002,-2.7896631,-0.30956391,-2.7896631,-0.30956391,-2.7896631,-0.30956391
0.98500001,-2.0856364,-0.72790277,-2.0856364,-0.72790277,-2.0856364,-0.72790277
0.99000001,-1.3798718,-1.127931,-1.3798718,-1.127931,-1.3798718,-1.127931
0.995,-0.67306572,-1.5092626,-0.67306572,-1.5092626,-0.67306572,-1.5092626
1,0.03408457,-1.8715297,0.03408457,-1.8715297,0.03408457,-1.8715297
1.005,0.74088132,-2.2143841,0.74088132,-2.2143841,0.74088132,-2.2143841
1.01,1.4466271,-2.5374959,1.4466271,-2.5374959,1.4466271,-2.5374959
1.015,2.1506257,-2.840555,2.1506257,-2.840555,2.1506257,-2.840555
1.02,2.8521826,-3.1232712,2.8521826,-3.1232712,2.8521826,-3.1232712
1.025,3.5506055,-3.3853741,3.5506055,-3.3853741,3.5506055,-3.3853741
1.03,4.2452054,-3.6266141,4.2452054,-3.6266141,4.2452054,-3.6266141
1.035,4.9352965,-3.8467615,4.9352965,-3.8467615,4.9352965,-3.8467615
1.04,5.6201982,-4.045608,5.6201982,-4.045608,5.6201982,-4.045608
1.045,6.2992353,-4.2229662,6.2992353,-4.2229662,6.2992353,-4.2229662
1.05,6.9717369,-4.3786697,6.9717369,-4.3786697,6.9717369,-4.3786697
1.0549999,7.6370406,-4.5125737,7.6370406,-4.5125737,7.6370406,-4.5125737
1.0599999,8.2944889,-4.6245546,8.2944889,-4.6245546,8.2944889,-4.6245546
1.0650001,8.9434338,-4.7145109,8.9434338,-4.7145109,8.9434338,-4.7145109
1.0700001,9.5832338,-4.782362,9.5832338,-4.782362,9.5832338,-4.782362
1.075,10.21326,-4.8280501,10.21326,-4.8280501,10.21326,-4.8280501
1.08,10.832889,-4.8515391,10.832889,-4.8515391,10.832889,-4.8515391
1.085,11.441509,-4.8528137,11.441509,-4.8528137,11.441509,-4.8528137
1.09,12.038522,-4.8318825,12.038522,-4.8318825,12.038522,-4.8318825
1.095,12.623336,-4.7887735,12.623336,-4.7887735,12.623336,-4.7887735
1.1,13.195376,-4.7235389,13.195376,-4.7235389,13.195376,-4.7235389
1.105,13.754077,-4.6362519,13.754077,-4.6362519,13.754077,-4.6362519
1.11,14.298888,-4.5270066,14.298888,-4.5270066,14.298888,-4.5270066
1.115,14.829271,-4.3959198,14.829271,-4.3959198,14.829271,-4.3959198
1.12,15.344704,-4.2431297,15.344704,-4.2431297,15.344704,-4.2431297
1.125,15.844677,-4.0687957,15.844677,-4.0687957,15.844677,-4.0687957
1.13,16.328697,-3.8730986,16.328697,-3.8730986,16.328697,-3.8730986
1.135,16.796288,-3.65624,16.796288,-3.65624,16.796288,-3.65624
1.14,17.246984,-3.4184425,17.246984,-3.4184425,17.246984,-3.4184425
1.145,17.680347,-3.15995,17.680347,-3.15995,17.680347,-3.15995
1.15,18.095945,-2.8810256,18.095945,-2.8810256,18.095945,-2.8810256
1.155,18.493372,-2.5819538,18.493372,-2.5819538,18.493372,-2.5819538
1.16,18.872231,-2.2630379,18.872231,-2.2630379,18.872231,-2.2630379
1.165,19.232151,-1.9246014,19.232151,-1.9246014,19.232151,-1.9246014
1.17,19.572777,-1.5669873,19.572777,-1.5669873,19.572777,-1.5669873
1.175,19.89377,-1.1905565,19.89377,-1.1905565,19.89377,-1.1905565
1.1799999,20.194818,-0.79568976,20.194818,-0.79568976,20.194818,-0.79568976
1.1849999,20.475622,-0.38278511,20.475622,-0.38278511,20.475622,-0.38278511
