"Time","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.is[1]","smrE.is[1]","loadInertiaM.phi","loadInertiaE.phi","smrE.idq_sr[1]","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertiaM.w","smrM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","vfController.x","smrM.is[2]","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smrE.idq_rr[1]","smrE.is[2]","smrE.idq_sr[2]","smrE.idq_rr[2]","loadInertiaE.w"
1.2039,0.42503941,-15.020805,-15.021928,105.85412,105.8541,47.12709,-0.0058868024,156.84834,-0.43512106,221.1367,-31.18372,0.14827581,0.0097567132,-31.186823,1.1778467,0.83556002,156.84854
1.204,0.42948532,-13.567019,-13.568193,105.8698,105.86979,47.124329,-0.0058835628,156.84053,-0.435121,221.16812,-32.309868,0.13485378,0.012465247,-32.312946,1.2241793,0.79059035,156.84074
1.2041,0.43350738,-12.098249,-12.099513,105.88549,105.88548,47.121422,-0.0058805053,156.83275,-0.43512094,221.19954,-33.402622,0.12129885,0.015320196,-33.405724,1.27143,0.74481082,156.83295
1.2042,0.43710169,-10.616073,-10.617419,105.90117,105.90115,47.118355,-0.0058776331,156.82497,-0.43512085,221.23096,-34.460808,0.1076244,0.018325949,-34.463936,1.31959,0.6982311,156.82518
1.2043,0.44026467,-9.1220541,-9.1234617,105.91685,105.91684,47.115131,-0.0058749495,156.8172,-0.43512073,221.26237,-35.483276,0.093843952,0.021486856,-35.486408,1.3686504,0.65086043,156.8174
1.2043999,0.44299322,-7.6177468,-7.6192102,105.93253,105.93252,47.111744,-0.0058724582,156.80943,-0.43512064,221.29379,-36.468853,0.07997109,0.024807217,-36.471996,1.4186028,0.60270798,156.80965
1.2045,0.44528463,-6.1047072,-6.1062479,105.94821,105.9482,47.108189,-0.0058701616,156.8017,-0.43512052,221.3252,-37.416397,0.066019498,0.028291279,-37.419594,1.4694388,0.55378264,156.8019
1.2046,0.44713667,-4.5845618,-4.5861707,105.96389,105.96387,47.104462,-0.0058680628,156.79396,-0.43512037,221.35661,-38.32489,0.052002966,0.031943198,-38.328133,1.5211505,0.50409287,156.79416
1.2047,0.44854754,-3.0589337,-3.0605876,105.97958,105.97956,47.100555,-0.0058661653,156.78622,-0.43512022,221.38803,-39.19334,0.037935335,0.035767067,-39.196587,1.5737301,0.45364705,156.78644
1.2048,0.44951585,-1.5294112,-1.5311171,105.99525,105.99524,47.09647,-0.0058644717,156.77852,-0.43512005,221.41945,-40.020695,0.023830475,0.039766915,-40.023972,1.6271702,0.40245321,156.77873
1.2049,0.45004061,0.0023776004,0.00061426632,106.01093,106.01091,47.092201,-0.0058629853,156.77081,-0.43511987,221.45087,-40.806007,0.0097023109,0.04394668,-40.809338,1.6814636,0.35051927,156.77103
1.205,0.45012134,1.5347848,1.5329735,106.0266,106.02659,47.087742,-0.0058617084,156.76314,-0.43511966,221.48228,-41.54842,-0.0044352072,0.04831019,-41.551788,1.7366034,0.29785278,156.76334
1.2051001,0.44975802,3.0661633,3.0643232,106.04228,106.04227,47.083092,-0.0058606449,156.75545,-0.43511945,221.5137,-42.247108,-0.018568121,0.052861191,-42.250469,1.7925825,0.24446112,156.75566
1.2052,0.44895095,4.594903,4.5930228,106.05795,106.05794,47.078243,-0.0058597969,156.74779,-0.43511921,221.54512,-42.90115,-0.032682493,0.057603363,-42.904564,1.8493947,0.19035143,156.748
1.2053,0.44770095,6.1193476,6.1174312,106.07363,106.07362,47.073193,-0.0058591673,156.74014,-0.43511894,221.57652,-43.509846,-0.046764392,0.062540233,-43.513313,1.9070334,0.13553064,156.74034
1.2054,0.44600928,7.6378531,7.6359081,106.0893,106.08929,47.067944,-0.0058587594,156.7325,-0.43511868,221.60794,-44.072498,-0.060799912,0.067675248,-44.076004,1.9654928,0.080005437,156.73271
1.2055,0.44387767,9.1487818,9.1468163,106.10498,106.10497,47.062485,-0.0058585755,156.72488,-0.43511835,221.63936,-44.588455,-0.074775204,0.073011711,-44.591961,2.0247669,0.02378235,156.72508
1.2056,0.44130811,10.650509,10.648522,106.12065,106.12064,47.056812,-0.0058586188,156.71727,-0.43511805,221.67078,-45.056999,-0.088676482,0.078552872,-45.060574,2.0848498,-0.03313233,156.71747
1.2057,0.43830323,12.141405,12.1394,106.13632,106.13631,47.05093,-0.0058588916,156.70967,-0.43511769,221.70219,-45.477631,-0.10249002,0.0843018,-45.48127,2.1457365,-0.0907325,156.70987
1.2058001,0.43486604,13.619851,13.617831,106.15199,106.15198,47.04483,-0.0058593974,156.70209,-0.43511733,221.73361,-45.849861,-0.11620221,0.090261444,-45.853539,2.2074213,-0.14901227,156.70229
1.2059,0.43099988,15.08424,15.082209,106.16766,106.16765,47.038509,-0.0058601378,156.69452,-0.43511695,221.76503,-46.17321,-0.12979949,0.09643466,-46.176914,2.2698994,-0.20796591,156.69472
1.206,0.42670858,16.53297,16.530935,106.18333,106.18331,47.031967,-0.0058611161,156.68697,-0.43511653,221.79645,-46.447193,-0.14326845,0.10282416,-46.450981,2.3331656,-0.26758787,156.68716
1.2061,0.42199638,17.964468,17.962429,106.199,106.19898,47.0252,-0.0058623347,156.67941,-0.43511608,221.82785,-46.67152,-0.15659581,0.10943251,-46.675385,2.3972151,-0.32787278,156.67963
1.2062,0.41686803,19.377169,19.375124,106.21467,106.21465,47.018204,-0.0058637965,156.67189,-0.43511561,221.85927,-46.845924,-0.16976841,0.11626213,-46.849819,2.462044,-0.38881549,156.67209
1.2063,0.41132849,20.769512,20.767469,106.23033,106.23032,47.010975,-0.005865504,156.66438,-0.4351151,221.89069,-46.970085,-0.18277328,0.12331533,-46.974033,2.527647,-0.4504109,156.66458
1.2064,0.40538329,22.139969,22.137938,106.246,106.24599,47.003517,-0.0058674603,156.65688,-0.43511459,221.9221,-47.043793,-0.19559754,0.13059425,-47.047829,2.5940206,-0.51265413,156.65707
1.2065001,0.39903831,23.487038,23.485018,106.26167,106.26165,46.995823,-0.005869667,156.6494,-0.43511403,221.95352,-47.066956,-0.2082286,0.13810092,-47.071072,2.6611602,-0.57554048,156.6496
1.2066,0.39229983,24.809244,24.807224,106.27733,106.27731,46.987892,-0.0058721271,156.64192,-0.43511346,221.98494,-47.039539,-0.22065395,0.14583716,-47.043667,2.7290621,-0.63906538,156.64212
1.2067,0.38517448,26.105093,26.103096,106.29299,106.29298,46.979721,-0.0058748433,156.63448,-0.43511283,222.01636,-46.96138,-0.23286135,0.15380472,-46.965591,2.7977226,-0.70322436,156.63467
1.2068,0.37766933,27.373163,27.371193,106.30865,106.30864,46.97131,-0.005877818,156.62703,-0.43511218,222.04778,-46.832561,-0.24483877,0.16200514,-46.836868,2.8671377,-0.76801306,156.62723
1.2069,0.36979181,28.612059,28.610113,106.32432,106.3243,46.962658,-0.0058810534,156.61961,-0.43511149,222.07918,-46.653202,-0.25657439,0.17043984,-46.657574,2.937304,-0.83342731,156.6198
1.207,0.36154968,29.820412,29.818472,106.33998,106.33997,46.953766,-0.0058845524,156.61221,-0.43511078,222.1106,-46.423462,-0.26805663,0.17911004,-46.427849,3.0082181,-0.899463,156.6124
1.2071,0.35295108,30.996824,30.994926,106.35564,106.35563,46.944626,-0.0058883172,156.60481,-0.43511003,222.14201,-46.143406,-0.27927414,0.18801688,-46.147884,3.0798767,-0.96611625,156.605
1.2072001,0.34400451,32.140015,32.138157,106.3713,106.37128,46.935238,-0.0058923503,156.59744,-0.43510926,222.17343,-45.813358,-0.29021591,0.19716127,-45.817932,3.1522763,-1.0333831,156.59763
1.2072999,0.33471885,33.248714,33.246887,106.38696,106.38695,46.925606,-0.0058966544,156.59007,-0.43510842,222.20485,-45.433659,-0.3008711,0.20654401,-45.438286,3.2254143,-1.1012599,156.59027
1.2074,0.32510322,34.321678,34.319874,106.40262,106.4026,46.915726,-0.0059012314,156.58273,-0.43510759,222.23627,-45.004658,-0.31122926,0.21616572,-45.009315,3.2992873,-1.1697429,156.58292
1.2075,0.31516716,35.357647,35.3559,106.41827,106.41826,46.905602,-0.0059060841,156.57541,-0.43510666,222.26768,-44.526672,-0.32128012,0.22602689,-44.531425,3.3738925,-1.2388287,156.57559
1.2076,0.30492043,36.355495,36.353806,106.43394,106.43392,46.895226,-0.0059112147,156.5681,-0.43510574,222.2991,-44.000248,-0.3310138,0.23612782,-44.005089,3.4492271,-1.3085135,156.56828
1.2077,0.29437324,37.314117,37.312454,106.44959,106.44958,46.884602,-0.0059166253,156.56081,-0.43510476,222.33051,-43.425945,-0.34042069,0.24646865,-43.430824,3.5252881,-1.3787941,156.56099
1.2078,0.28353596,38.232384,38.230762,106.46525,106.46523,46.87373,-0.0059223189,156.55353,-0.43510374,222.36192,-42.804283,-0.34949157,0.25704938,-42.809216,3.602073,-1.449667,156.55371
1.2079,0.27241924,39.109234,39.107681,106.4809,106.48089,46.86261,-0.0059282975,156.54626,-0.43510267,222.39334,-42.135857,-0.35821739,0.26786986,-42.140884,3.6795793,-1.5211291,156.54645
1.2079999,0.26103416,39.943707,39.942215,106.49655,106.49654,46.851238,-0.0059345635,156.53903,-0.43510157,222.42476,-41.421406,-0.36658964,0.27892977,-41.426514,3.7578039,-1.5931771,156.5392
1.2081,0.24939191,40.734867,40.733398,106.51221,106.51219,46.839622,-0.0059411186,156.5318,-0.43510044,222.45618,-40.661713,-0.37460005,0.29022861,-40.66684,3.8367448,-1.6658078,156.53197
1.2082,0.23750399,41.481735,41.480331,106.52786,106.52785,46.827759,-0.0059479661,156.5246,-0.43509924,222.48759,-39.857452,-0.38224071,0.30176574,-39.862652,3.9163995,-1.7390182,156.52477
1.2083,0.22538213,42.183468,42.182144,106.54351,106.5435,46.815647,-0.005955108,156.5174,-0.43509799,222.51901,-39.009483,-0.3895041,0.3135404,-39.014778,3.9967651,-1.8128049,156.51758
1.2084,0.21303833,42.839287,42.838028,106.55917,106.55915,46.803291,-0.0059625464,156.51022,-0.43509671,222.55043,-38.118748,-0.39638308,0.32555163,-38.124107,4.0778394,-1.8871653,156.51039
1.2085,0.20048478,43.448452,43.447216,106.57481,106.5748,46.790688,-0.0059702834,156.50307,-0.43509537,222.58183,-37.186203,-0.40287086,0.33779833,-37.19157,4.1596203,-1.9620961,156.50323
1.2086,0.18773384,44.010139,44.008991,106.59046,106.59045,46.777843,-0.0059783217,156.49594,-0.435094,222.61325,-36.212704,-0.40896103,0.35027924,-36.218155,4.242105,-2.0375943,156.49611
1.2086999,0.17479812,44.523754,44.522694,106.60612,106.6061,46.764755,-0.0059866635,156.48882,-0.43509257,222.64467,-35.199352,-0.41464761,0.36299297,-35.204887,4.3252916,-2.113657,156.48898
1.2088,0.1616904,44.988712,44.987713,106.62177,106.62175,46.751427,-0.0059953104,156.48172,-0.43509108,222.67609,-34.147255,-0.41992503,0.37593797,-34.152843,4.4091773,-2.1902814,156.48189
1.2089,0.14842363,45.404457,45.403488,106.63741,106.6374,46.737862,-0.006004265,156.47464,-0.43508953,222.7075,-33.057533,-0.42478809,0.38911253,-33.063137,4.4937601,-2.2674642,156.47479
1.209,0.13501087,45.770393,45.769524,106.65306,106.65305,46.724056,-0.0060135298,156.46758,-0.43508795,222.73892,-31.93125,-0.42923197,0.40251485,-31.936935,4.5790377,-2.3452027,156.46773
1.2091,0.12146539,46.086136,46.085358,106.6687,106.66869,46.710014,-0.0060231071,156.46053,-0.43508631,222.77034,-30.769684,-0.4332523,0.41614288,-30.775442,4.6650076,-2.4234941,156.46069
1.2092,0.10780056,46.35133,46.350609,106.68435,106.68433,46.69574,-0.0060329982,156.45351,-0.43508461,222.80176,-29.57411,-0.43684515,0.42999455,-29.579901,4.7516675,-2.5023351,156.45366
1.2093,0.094029866,46.565598,46.564926,106.7,106.69998,46.681236,-0.006043206,156.4465,-0.43508285,222.83316,-28.345779,-0.44000703,0.44406754,-28.351599,4.839015,-2.581723,156.44666
1.2094001,0.080166891,46.728603,46.728035,106.71564,106.71562,46.666504,-0.0060537327,156.43951,-0.43508103,222.86458,-27.085968,-0.44273472,0.45835951,-27.091856,4.9270482,-2.6616545,156.43967
1.2095,0.066225328,46.840183,46.839703,106.73129,106.73127,46.651543,-0.0060645798,156.43254,-0.43507919,222.896,-25.796089,-0.44502565,0.47286785,-25.802038,5.0157638,-2.7421272,156.43269
1.2096,0.052218948,46.900204,46.899765,106.74693,106.74691,46.63636,-0.0060757501,156.4256,-0.43507725,222.92741,-24.477573,-0.44687757,0.48758996,-24.483536,5.1051598,-2.8231375,156.42575
1.2097,0.038161557,46.908466,46.908104,106.76257,106.76255,46.620953,-0.0060872454,156.41867,-0.43507528,222.95883,-23.131777,-0.44828859,0.50252301,-23.137779,5.1952343,-2.9046826,156.41881
1.2098,0.024067031,46.864925,46.86467,106.77821,106.7782,46.605331,-0.0060990681,156.41176,-0.43507323,222.99025,-21.760168,-0.4492574,0.51766407,-21.766232,5.285984,-2.9867597,156.4119
1.2099,0.0099492893,46.769627,46.769459,106.79385,106.79384,46.589493,-0.00611122,156.40486,-0.43507114,223.02167,-20.364277,-0.44978303,0.53301013,-20.370384,5.3774066,-3.0693653,156.40501
1.21,-0.0041777319,46.622681,46.622532,106.80949,106.80948,46.573441,-0.0061237034,156.39799,-0.43506896,223.05309,-18.945654,-0.44986504,0.548558,-18.951757,5.4694996,-3.1524963,156.39815
1.2101001,-0.018300109,46.424049,46.424007,106.82513,106.82512,46.557182,-0.0061365203,156.39114,-0.43506673,223.08449,-17.505745,-0.44950327,0.56430441,-17.5119,5.5622606,-3.2361495,156.3913
1.2102,-0.032403894,46.173996,46.174057,106.84077,106.84075,46.540718,-0.0061496724,156.38432,-0.43506444,223.11591,-16.046183,-0.44869813,0.58024603,-16.052387,5.6556864,-3.320322,156.38446
1.2103,-0.046475172,45.87278,45.872917,106.85641,106.85639,46.524052,-0.0061631626,156.37752,-0.43506211,223.14732,-14.568584,-0.44745046,0.59637922,-14.574817,5.7497745,-3.4050102,156.37766
1.2104,-0.060500056,45.520706,45.520874,106.87205,106.87203,46.507187,-0.0061769923,156.37073,-0.43505967,223.17874,-13.074579,-0.44576153,0.6127004,-13.080809,5.8445225,-3.490211,156.37086
1.2105,-0.074464716,45.117996,45.118275,106.88768,106.88766,46.490128,-0.0061911633,156.36397,-0.43505719,223.21016,-11.565734,-0.44363293,0.629206,-11.572005,5.9399266,-3.5759206,156.36409
1.2106,-0.088355362,44.665142,44.66552,106.90332,106.90331,46.472878,-0.0062056785,156.35721,-0.43505466,223.24158,-10.043758,-0.44106683,0.64589202,-10.050065,6.035985,-3.6621358,156.35735
1.2107,-0.1021583,44.162632,44.163071,106.91895,106.91894,46.455441,-0.0062205386,156.35049,-0.43505204,223.27299,-8.5103455,-0.4380658,0.66275465,-8.5166645,6.1326938,-3.7488532,156.35062
1.2108001,-0.11585991,43.610962,43.611446,106.93459,106.93457,46.43782,-0.0062357471,156.34378,-0.43504936,223.30441,-6.9671741,-0.43463281,0.6797899,-6.9734945,6.2300501,-3.8360691,156.34392
1.2108999,-0.12944667,43.010616,43.011208,106.95022,106.95021,46.420021,-0.0062513049,156.33711,-0.43504661,223.33582,-5.4159107,-0.43077123,0.69699365,-5.4222598,6.3280511,-3.92378,156.33723
1.211,-0.14290519,42.362305,42.362991,106.96586,106.96584,46.40205,-0.0062672142,156.33044,-0.43504378,223.36723,-3.858305,-0.42648491,0.71436167,-3.864676,6.426693,-4.011982,156.33057
1.2111,-0.15622219,41.66674,41.667469,106.98149,106.98148,46.383907,-0.0062834774,156.32381,-0.43504089,223.39865,-2.2960975,-0.42177811,0.73188978,-2.3024673,6.5259728,-4.1006708,156.32393
1.2112,-0.16938452,40.924583,40.925377,106.99712,106.99711,46.365597,-0.0063000955,156.31718,-0.43503794,223.43007,-0.73099232,-0.41665548,0.74957365,-0.7373659,6.6258874,-4.1898437,156.31731
1.2113,-0.18237922,40.136604,40.137501,107.01275,107.01273,46.347126,-0.0063170716,156.31059,-0.4350349,223.46149,0.83528113,-0.41112208,0.76740879,0.82889116,6.7264328,-4.2794957,156.31071
1.2114,-0.19519345,39.303699,39.30468,107.02838,107.02837,46.328495,-0.0063344063,156.30402,-0.43503183,223.4929,2.4009614,-0.4051834,0.78539085,2.3945632,6.8276057,-4.3696232,156.30414
1.2115,-0.2078146,38.4268,38.427803,107.04401,107.044,46.309715,-0.0063521024,156.29747,-0.43502864,223.52432,3.964294,-0.39884534,0.80351514,3.9579077,6.9294024,-4.4602222,156.29759
1.2115999,-0.22023021,37.506721,37.507809,107.05964,107.05962,46.290787,-0.0063701617,156.29094,-0.43502539,223.55574,5.5235729,-0.3921141,0.82177716,5.5171833,7.0318189,-4.5512886,156.29106
1.2117,-0.23242803,36.544502,36.545689,107.07527,107.07526,46.271713,-0.0063885855,156.28444,-0.43502209,223.58714,7.077044,-0.38499641,0.84017223,7.0706511,7.1348519,-4.6428175,156.28455
1.2118,-0.24439605,35.541222,35.542477,107.0909,107.09088,46.252502,-0.0064073764,156.27795,-0.43501869,223.61856,8.6229649,-0.37749928,0.85869557,8.6165752,7.2384968,-4.7348056,156.27806
1.2119,-0.25612244,34.497982,34.499256,107.10653,107.10651,46.233158,-0.0064265355,156.27148,-0.43501523,223.64998,10.159603,-0.36963016,0.87734246,10.153229,7.3427496,-4.8272471,156.27161
1.212,-0.26759568,33.415794,33.417164,107.12215,107.12214,46.213684,-0.0064460649,156.26505,-0.43501168,223.6814,11.685259,-0.36139673,0.89610809,11.67889,7.4476066,-4.9201384,156.26517
1.2121,-0.27880442,32.29591,32.297367,107.13778,107.13776,46.194088,-0.0064659663,156.25864,-0.43500808,223.71281,13.198212,-0.35280722,0.91498762,13.191852,7.5530634,-5.0134749,156.25874
1.2122,-0.28973764,31.139578,31.141087,107.1534,107.15339,46.17437,-0.0064862417,156.25224,-0.43500438,223.74423,14.69676,-0.34387013,0.93397611,14.690413,7.6591148,-5.1072516,156.25235
1.2122999,-0.30038455,29.948046,29.949585,107.16903,107.16901,46.154541,-0.0065068924,156.24586,-0.43500063,223.77565,16.179222,-0.33459425,0.95306867,16.172894,7.765758,-5.2014632,156.24597
1.2124,-0.31073463,28.722536,28.724159,107.18465,107.18464,46.134602,-0.0065279203,156.23952,-0.43499678,223.80707,17.643934,-0.32498872,0.97226036,17.637623,7.8729868,-5.2961059,156.23962
1.2125,-0.32077774,27.464453,27.466154,107.20028,107.20026,46.114555,-0.0065493276,156.2332,-0.43499288,223.83847,19.089247,-0.31506309,0.99154615,19.082954,7.9807973,-5.3911738,156.23331
1.2126,-0.33050394,26.175209,26.176947,107.2159,107.21589,46.094414,-0.0065711155,156.2269,-0.43498889,223.86989,20.513531,-0.30482718,1.0109211,20.507256,8.0891848,-5.4866624,156.22701
1.2127,-0.33990368,24.856174,24.857952,107.23152,107.23151,46.074177,-0.0065932856,156.22063,-0.4349848,223.90131,21.915173,-0.29429105,1.0303801,21.908922,8.198144,-5.5825663,156.22073
