"Time","thetaQS","theta","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.stray.port_p.Phi.re","smee.stator.stray.port_p.Phi.im","smee.excitation.electroMagneticConverter.Phi.re","smeeQS.short.port_p.reference.gamma","constantSpeed.phi","constantSpeedQS.phi"
14.9097,3.1226802,3.1226802,-0.44956821,0.01792405,0.081436805,-0.0046913819,0.34615242,4.6934767,2338.8782,2339.6636
14.9098,3.1227012,3.1227012,-0.44990966,0.0037939285,0.081543967,-0.0021319268,0.34615234,4.6934977,2338.8938,2339.6792
14.9099,3.1227221,3.1227221,-0.44980708,-0.010339951,0.081570715,0.00042963159,0.34615228,4.6935186,2338.9094,2339.6948
14.91,3.1227431,3.1227431,-0.44926059,-0.024463642,0.081517011,0.0029907669,0.34615219,4.6935396,2338.925,2339.7104
14.9101,3.1227641,3.1227641,-0.44827074,-0.038563207,0.081382908,0.0055489531,0.34615213,4.6935606,2338.9409,2339.7263
14.9102,3.1227851,3.1227851,-0.4468385,-0.052624732,0.081168555,0.0081016673,0.34615204,4.6935811,2338.9565,2339.7419
14.9103,3.1228058,3.1228058,-0.44496527,-0.066634335,0.080874145,0.010646393,0.34615198,4.6936021,2338.9722,2339.7576
14.9104,3.1228268,3.1228268,-0.44265294,-0.080578201,0.080499969,0.013180619,0.34615189,4.6936231,2338.988,2339.7734
14.9105,3.1228478,3.1228478,-0.43990374,-0.094442554,0.080046408,0.015701847,0.34615183,4.693644,2339.0037,2339.7891
14.9106,3.1228688,3.1228688,-0.4367204,-0.10821372,0.079513907,0.018207589,0.34615174,4.693665,2339.0193,2339.8047
14.9107,3.1228898,3.1228898,-0.43310606,-0.12187812,0.078902982,0.020695375,0.34615168,4.693686,2339.0352,2339.8206
14.9108,3.1229107,3.1229107,-0.42906433,-0.13542224,0.078214243,0.023162752,0.34615159,4.693707,2339.0508,2339.8362
14.9109,3.1229315,3.1229315,-0.42459914,-0.14883274,0.077448368,0.025607286,0.34615153,4.693728,2339.0664,2339.8518
14.911,3.1229525,3.1229525,-0.4197149,-0.16209637,0.07660611,0.028026566,0.34615144,4.693749,2339.082,2339.8674
14.9111,3.1229734,3.1229734,-0.41441649,-0.17520005,0.075688295,0.030418206,0.34615138,4.6937699,2339.0979,2339.8833
14.9112,3.1229944,3.1229944,-0.40870905,-0.18813084,0.07469584,0.03277985,0.34615129,4.6937909,2339.1135,2339.8989
14.9113,3.1230154,3.1230154,-0.40259826,-0.20087598,0.073629722,0.035109162,0.3461512,4.6938119,2339.1292,2339.9146
14.9114,3.1230364,3.1230364,-0.39609018,-0.21342289,0.072490983,0.037403852,0.34615114,4.6938329,2339.145,2339.9304
14.9115,3.1230574,3.1230574,-0.38919118,-0.22575921,0.071280755,0.039661653,0.34615105,4.6938534,2339.1606,2339.946
14.9116,3.1230781,3.1230781,-0.38190809,-0.23787273,0.070000224,0.041880339,0.34615096,4.6938744,2339.1763,2339.9617
14.9117,3.1230991,3.1230991,-0.37424809,-0.24975152,0.068650655,0.044057723,0.3461509,4.6938953,2339.1919,2339.9773
14.9118,3.1231201,3.1231201,-0.36621875,-0.26138386,0.067233391,0.046191655,0.34615082,4.6939163,2339.2078,2339.9932
14.9119,3.1231411,3.1231411,-0.35782796,-0.27275825,0.065749809,0.048280034,0.34615076,4.6939373,2339.2234,2340.0088
14.912,3.123162,3.123162,-0.34908408,-0.28386346,0.064201385,0.050320797,0.34615067,4.6939583,2339.239,2340.0244
14.9121,3.123183,3.123183,-0.33999565,-0.29468855,0.062589645,0.052311935,0.34615058,4.6939793,2339.2549,2340.0403
14.9122,3.1232038,3.1232038,-0.33057168,-0.30522284,0.060916178,0.054251481,0.34615052,4.6940002,2339.2705,2340.0559
14.9123,3.1232247,3.1232247,-0.32082146,-0.31545591,0.059182636,0.056137525,0.34615043,4.6940212,2339.2861,2340.0715
14.9124,3.1232457,3.1232457,-0.31075463,-0.32537767,0.057390723,0.057968203,0.34615034,4.6940422,2339.302,2340.0874
14.9125,3.1232667,3.1232667,-0.30038109,-0.33497834,0.055542208,0.059741713,0.34615028,4.6940632,2339.3176,2340.103
14.9126,3.1232877,3.1232877,-0.28971112,-0.34424844,0.053638916,0.061456304,0.34615019,4.6940842,2339.3333,2340.1187
14.9127,3.1233087,3.1233087,-0.27875522,-0.35317883,0.051682726,0.063110285,0.34615013,4.6941051,2339.3489,2340.1343
14.9128,3.1233296,3.1233296,-0.26752421,-0.36176068,0.049675565,0.064702027,0.34615004,4.6941257,2339.3647,2340.1501
14.9129,3.1233504,3.1233504,-0.25602916,-0.36998552,0.04761941,0.066229962,0.34614995,4.6941466,2339.3804,2340.1658
14.913,3.1233714,3.1233714,-0.24428144,-0.37784523,0.04551629,0.067692578,0.34614986,4.6941676,2339.396,2340.1814
14.9131,3.1233923,3.1233923,-0.23229264,-0.38533208,0.043368284,0.069088429,0.3461498,4.6941886,2339.4119,2340.1973
14.9132,3.1234133,3.1234133,-0.22007456,-0.39243865,0.041177504,0.070416152,0.34614971,4.6942096,2339.4275,2340.2129
14.9133,3.1234343,3.1234343,-0.20763929,-0.39915794,0.038946114,0.071674421,0.34614962,4.6942306,2339.4431,2340.2285
14.9134,3.1234553,3.1234553,-0.1949991,-0.40548331,0.036676314,0.072862007,0.34614956,4.6942515,2339.459,2340.2444
14.9135,3.123476,3.123476,-0.18216644,-0.41140854,0.03437034,0.073977739,0.34614947,4.6942725,2339.4746,2340.26
14.9136,3.123497,3.123497,-0.169154,-0.41692775,0.032030471,0.075020507,0.34614938,4.6942935,2339.4902,2340.2756
14.9137,3.123518,3.123518,-0.1559746,-0.42203552,0.029659012,0.075989291,0.34614933,4.6943145,2339.5059,2340.2913
14.9138,3.123539,3.123539,-0.14264126,-0.42672679,0.027258303,0.07688313,0.34614924,4.6943355,2339.5217,2340.3071
14.9139,3.12356,3.12356,-0.12916714,-0.43099692,0.02483071,0.077701151,0.34614915,4.6943564,2339.5374,2340.3228
14.914,3.1235809,3.1235809,-0.11556553,-0.43484175,0.022378627,0.078442536,0.34614906,4.6943769,2339.553,2340.3384
14.9141,3.1236019,3.1236019,-0.10184985,-0.43825743,0.019904474,0.079106562,0.346149,4.6943979,2339.5688,2340.3542
14.9142,3.1236227,3.1236227,-0.088033654,-0.44124061,0.017410688,0.079692565,0.34614891,4.6944189,2339.5845,2340.3699
14.9143,3.1236436,3.1236436,-0.074130557,-0.44378835,0.014899733,0.080199979,0.34614882,4.6944399,2339.6001,2340.3855
14.9144,3.1236646,3.1236646,-0.060154285,-0.44589812,0.012374082,0.080628298,0.34614873,4.6944609,2339.616,2340.4011
14.9145,3.1236856,3.1236856,-0.046118632,-0.44756782,0.0098362267,0.080977105,0.34614867,4.6944818,2339.6316,2340.417
14.9146,3.1237066,3.1237066,-0.032037448,-0.44879586,0.0072886697,0.081246041,0.34614858,4.6945028,2339.6472,2340.4326
14.9147,3.1237276,3.1237276,-0.017924633,-0.44958097,0.0047339243,0.081434853,0.34614849,4.6945238,2339.6628,2340.4482
14.9148,3.1237483,3.1237483,-0.0037941132,-0.44992244,0.0021745092,0.081543356,0.3461484,4.6945448,2339.6787,2340.4641
14.9149,3.1237693,3.1237693,0.010340168,-0.44981983,-0.00038705088,0.081571437,0.34614831,4.6945658,2339.6943,2340.4797
14.915,3.1237903,3.1237903,0.024464263,-0.44927335,-0.0029482299,0.081519067,0.34614825,4.6945868,2339.71,2340.4954
14.9151,3.1238112,3.1238112,0.038564228,-0.44828346,-0.005506502,0.081386305,0.34614816,4.6946077,2339.7258,2340.5112
14.9152,3.1238322,3.1238322,0.052626152,-0.44685119,-0.0080593443,0.081173278,0.34614807,4.6946287,2339.7415,2340.5269
14.9153,3.1238532,3.1238532,0.066636153,-0.44497794,-0.010604238,0.080880195,0.34614798,4.6946492,2339.7571,2340.5425
14.9154,3.1238742,3.1238739,0.080580413,-0.44266552,-0.013138675,0.080507345,0.34614789,4.6946702,2339.7727,2340.5581
14.9155,3.1238949,3.1238949,0.094445162,-0.43991625,-0.015660156,0.080055095,0.34614781,4.6946912,2339.7886,2340.574
14.9156,3.1239159,3.1239159,0.10821673,-0.43673283,-0.01816619,0.079523899,0.34614775,4.6947122,2339.8042,2340.5896
14.9157,3.1239369,3.1239369,0.1218815,-0.4331184,-0.020654311,0.07891427,0.34614766,4.6947331,2339.8198,2340.6052
14.9158,3.1239579,3.1239579,0.13542601,-0.42907655,-0.023122063,0.078226812,0.34614757,4.6947541,2339.8357,2340.6211
14.9159,3.1239789,3.1239789,0.1488369,-0.42461124,-0.025567012,0.077462204,0.34614748,4.6947751,2339.8513,2340.6367
14.916,3.1239998,3.1239998,0.1621009,-0.41972688,-0.027986746,0.076621205,0.34614739,4.6947961,2339.8669,2340.6523
14.9161,3.1240206,3.1240206,0.17520495,-0.41442826,-0.03037888,0.075704642,0.3461473,4.6948171,2339.8828,2340.6682
14.9162,3.1240416,3.1240416,0.18813612,-0.4087207,-0.032741055,0.074713409,0.34614724,4.694838,2339.8984,2340.6838
14.9163,3.1240625,3.1240625,0.20088162,-0.40260974,-0.035070937,0.073648497,0.34614715,4.694859,2339.9141,2340.6995
14.9164,3.1240835,3.1240835,0.21342888,-0.39610147,-0.037366237,0.07251095,0.34614706,4.69488,2339.9297,2340.7151
14.9165,3.1241045,3.1241045,0.22576556,-0.38920227,-0.039624684,0.071301892,0.34614697,4.694901,2339.9456,2340.731
14.9166,3.1241255,3.1241255,0.23787943,-0.38191897,-0.041844051,0.070022516,0.34614688,4.6949215,2339.9612,2340.7466
14.9167,3.1241465,3.1241462,0.24975854,-0.37425876,-0.044022154,0.06867408,0.34614679,4.6949425,2339.9768,2340.7622
14.9168,3.1241672,3.1241672,0.26139122,-0.36622921,-0.046156839,0.067257911,0.3461467,4.6949635,2339.9927,2340.7781
14.9169,3.1241882,3.1241882,0.2727659,-0.35783818,-0.048246004,0.065775417,0.34614661,4.6949844,2340.0083,2340.7937
14.917,3.1242092,3.1242092,0.28387144,-0.34909403,-0.050287589,0.06422805,0.34614652,4.6950054,2340.0239,2340.8093
14.9171,3.1242301,3.1242301,0.29469687,-0.34000537,-0.05227958,0.062617339,0.34614643,4.6950264,2340.0398,2340.8252
14.9172,3.1242511,3.1242511,0.30523142,-0.33058113,-0.05422001,0.060944874,0.34614635,4.6950474,2340.0554,2340.8408
14.9173,3.1242721,3.1242721,0.31546479,-0.32083061,-0.05610697,0.059212301,0.34614626,4.6950684,2340.071,2340.8564
14.9174,3.1242929,3.1242929,0.32538685,-0.31076351,-0.057938594,0.057421334,0.3461462,4.6950893,2340.0867,2340.8721
14.9175,3.1243138,3.1243138,0.33498782,-0.30038968,-0.059713081,0.055573735,0.34614608,4.6951103,2340.1025,2340.8879
14.9176,3.1243348,3.1243348,0.34425816,-0.2897194,-0.061428677,0.053671326,0.34614599,4.6951313,2340.1182,2340.9036
14.9177,3.1243558,3.1243558,0.35318881,-0.2787632,-0.063083693,0.051715985,0.34614593,4.6951523,2340.1338,2340.9192
14.9178,3.1243768,3.1243768,0.3617709,-0.26753187,-0.064676493,0.04970964,0.34614584,4.6951733,2340.1497,2340.9351
14.9179,3.1243978,3.1243978,0.36999598,-0.25603652,-0.066205502,0.047654275,0.34614575,4.6951938,2340.1653,2340.9507
14.918,3.1244185,3.1244185,0.37785593,-0.24428846,-0.067669228,0.045551907,0.34614566,4.6952147,2340.1809,2340.9663
14.9181,3.1244395,3.1244395,0.38534299,-0.2322993,-0.069066212,0.043404613,0.34614557,4.6952357,2340.1965,2340.9819
14.9182,3.1244605,3.1244605,0.39244977,-0.22008088,-0.070395082,0.041214515,0.34614548,4.6952567,2340.2124,2340.9978
14.9183,3.1244814,3.1244814,0.39916924,-0.20764527,-0.071654528,0.038983766,0.34614539,4.6952777,2340.228,2341.0134
14.9184,3.1245024,3.1245024,0.40549478,-0.1950047,-0.072843306,0.036714572,0.34614527,4.6952987,2340.2437,2341.0291
14.9185,3.1245234,3.1245234,0.4114202,-0.18217169,-0.073960245,0.034409169,0.34614521,4.6953197,2340.2595,2341.0449
14.9186,3.1245444,3.1245444,0.41693956,-0.16915888,-0.075004242,0.032069828,0.34614512,4.6953406,2340.2751,2341.0605
14.9187,3.1245651,3.1245651,0.42204747,-0.15597911,-0.075974263,0.029698862,0.346145,4.6953616,2340.2908,2341.0762
14.9188,3.1245861,3.1245861,0.42673889,-0.1426454,-0.076869369,0.027298605,0.34614494,4.6953826,2340.3066,2341.092
14.9189,3.1246071,3.1246071,0.43100917,-0.12917089,-0.077688657,0.024871424,0.34614483,4.6954036,2340.3223,2341.1077
14.919,3.1246281,3.1246281,0.43485409,-0.1155689,-0.078431323,0.022419712,0.34614474,4.6954246,2340.3379,2341.1233
14.9191,3.124649,3.124649,0.43826988,-0.10185283,-0.079096645,0.01994589,0.34614465,4.6954455,2340.3535,2341.1389
14.9192,3.12467,3.12467,0.44125313,-0.088036239,-0.079683959,0.017452396,0.34614456,4.695466,2340.3694,2341.1548
14.9193,3.1246908,3.1246908,0.44380093,-0.074132748,-0.080192685,0.01494169,0.34614447,4.695487,2340.385,2341.1704
14.9194,3.1247118,3.1247118,0.44591078,-0.060156077,-0.08062233,0.012416248,0.34614438,4.695508,2340.4006,2341.186
14.9195,3.1247327,3.1247327,0.44758055,-0.046120025,-0.080972455,0.009878559,0.34614429,4.695529,2340.4165,2341.2019
14.9196,3.1247537,3.1247537,0.44880861,-0.032038443,-0.081242725,0.0073311273,0.3461442,4.69555,2340.4321,2341.2175
14.9197,3.1247747,3.1247747,0.44959375,-0.017925229,-0.081432879,0.0047764652,0.34614411,4.6955709,2340.4478,2341.2332
14.9198,3.1247957,3.1247957,0.4499352,-0.0037943053,-0.081542715,0.0022170914,0.34614402,4.6955919,2340.4636,2341.249
14.9199,3.1248167,3.1248167,0.44983262,0.010340377,-0.08157213,-0.00034446953,0.34614393,4.6956129,2340.4792,2341.2646
14.92,3.1248374,3.1248374,0.44928613,0.024464872,-0.081521101,-0.0029056913,0.34614381,4.6956339,2340.4949,2341.2803
14.9201,3.1248584,3.1248584,0.44829622,0.038565237,-0.081389673,-0.0054640481,0.34614372,4.6956549,2340.5105,2341.2959
14.9202,3.1248794,3.1248794,0.44686389,0.05262756,-0.081177972,-0.0080170166,0.34614363,4.6956758,2340.5264,2341.3118
14.9203,3.1249003,3.1249003,0.44499058,0.066637963,-0.080886215,-0.010562079,0.34614354,4.6956968,2340.542,2341.3274
