"Time","aimcM.is[1]","aimcM.is[2]","aimcM.is[3]","aimcM.is[4]","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimcM.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertiaM.phi","loadInertiaM.w","aimc3.is[1]","aimc3.is[2]","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc3.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.phi","loadInertia3.w"
0.1009,16.313498,-102.25782,-79.512306,53.116512,-0.017625166,0.12299339,-0.00031814593,0.0033402569,4.7156608e-09,2.9097784e-05,27.189163,-176.43739,-0.017625166,0.12299339,-0.00031814593,0.0033402569,4.7156608e-09,2.9097784e-05
0.101,20.038612,-112.02517,-89.273972,56.850819,-0.021692334,0.13591678,-0.00043482755,0.0041023795,8.6458423e-09,4.8637219e-05,33.397686,-196.11212,-0.021692334,0.13591678,-0.00043482755,0.0041023795,8.6458423e-09,4.8637219e-05
0.1011,24.120522,-121.44536,-99.177879,60.150055,-0.026162505,0.1486461,-0.00057660113,0.004937314,1.4985734e-08,7.7440847e-05,40.200871,-215.72466,-0.026162505,0.1486461,-0.00057660113,0.004937314,1.4985734e-08,7.7440847e-05
0.1012,28.551281,-130.51158,-109.21188,63.014931,-0.031029431,0.16116938,-0.00074573228,0.0058434005,2.4792842e-08,0.00011841865,47.585468,-235.2543,-0.031029431,0.16116938,-0.00074573228,0.0058434005,2.4792842e-08,0.00011841865
0.1013,33.32267,-139.21732,-119.3637,65.446487,-0.036286529,0.17347485,-0.00094444072,0.0068189246,3.9378936e-08,0.00017493681,55.537785,-254.68045,-0.036286529,0.17347485,-0.00094444072,0.0068189246,3.9378936e-08,0.00017493681
0.1014,38.426041,-147.55647,-129.62096,67.44632,-0.041926693,0.18555102,-0.0011748691,0.0078620845,6.0542284e-08,0.00025115753,64.043404,-273.9826,-0.041926693,0.18555102,-0.0011748691,0.0078620845,6.0542284e-08,0.00025115753
0.1015,43.852516,-155.52332,-139.97121,69.01635,-0.047942519,0.19738659,-0.0014391104,0.0089710327,9.050747e-08,0.0003517892,73.087524,-293.1405,-0.047942519,0.19738659,-0.0014391104,0.0089710327,9.050747e-08,0.0003517892
0.1016,49.592941,-163.11237,-150.40193,70.158867,-0.054326251,0.2089705,-0.0017391976,0.010143865,1.3204004e-07,0.00048219887,82.6549,-312.13391,-0.054326251,0.2089705,-0.0017391976,0.010143865,1.3204004e-07,0.00048219887
0.1017,55.637951,-170.31854,-160.90059,70.876503,-0.061069857,0.22029193,-0.0020771069,0.011378635,1.8852376e-07,0.00064841192,92.729912,-330.9429,-0.061069857,0.22029193,-0.0020771069,0.011378635,1.8852376e-07,0.00064841192
0.1018,61.977886,-177.13705,-171.45461,71.172279,-0.068164945,0.23134027,-0.0024547556,0.012673338,2.6382762e-07,0.00085708866,103.29648,-349.54764,-0.068164945,0.23134027,-0.0024547556,0.012673338,2.6382762e-07,0.00085708866
0.1019,68.602776,-183.56355,-182.05128,71.049667,-0.075602695,0.24210525,-0.0028739846,0.014025905,3.6265743e-07,0.0011157233,114.33796,-367.92853,-0.075602695,0.24210525,-0.0028739846,0.014025905,3.6265743e-07,0.0011157233
0.102,75.502419,-189.59399,-192.67795,70.512474,-0.083374009,0.25257677,-0.003336583,0.01543422,4.9016802e-07,0.0014323902,125.83736,-386.06616,-0.083374009,0.25257677,-0.003336583,0.01543422,4.9016802e-07,0.0014323902
0.1021,82.666397,-195.22472,-203.3219,69.564865,-0.091469504,0.26274508,-0.0038442721,0.016896127,6.5245996e-07,0.001815954,137.77733,-403.94141,-0.091469504,0.26274508,-0.0038442721,0.016896127,6.5245996e-07,0.001815954
0.1022,90.084198,-200.45239,-213.9706,68.211304,-0.099879585,0.27260074,-0.0043986938,0.018409446,8.5720359e-07,0.0022762567,150.14032,-421.53552,-0.099879585,0.27260074,-0.0043986938,0.018409446,8.5720359e-07,0.0022762567
0.1023,97.744896,-205.27409,-224.61127,66.456696,-0.10859422,0.28213447,-0.0050014411,0.01997192,1.111955e-06,0.0028236096,162.90817,-438.82983,-0.10859422,0.28213447,-0.0050014411,0.01997192,1.111955e-06,0.0028236096
0.1024,105.63754,-209.68726,-235.23138,64.306267,-0.11760321,0.29133755,-0.0056540128,0.021581279,1.4264517e-06,0.0034694243,176.06256,-455.80621,-0.11760321,0.29133755,-0.0056540128,0.021581279,1.4264517e-06,0.0034694243
0.1025,113.75088,-213.68973,-245.81839,61.765614,-0.12689601,0.30020136,-0.0063578477,0.023235202,1.8110015e-06,0.0042257961,189.58479,-472.44672,-0.12689601,0.30020136,-0.0063578477,0.023235202,1.8110015e-06,0.0042257961
0.1026,122.07347,-217.27969,-256.35971,58.840683,-0.13646181,0.3087177,-0.0071143168,0.024931323,2.2769239e-06,0.0051055886,203.45578,-488.73367,-0.13646181,0.3087177,-0.0071143168,0.024931323,2.2769239e-06,0.0051055886
0.1027,130.59383,-220.45576,-266.84299,55.537731,-0.14628963,0.31687871,-0.0079246946,0.026667275,2.8379866e-06,0.0061226818,217.65639,-504.65005,-0.14628963,0.31687871,-0.0079246946,0.026667275,2.8379866e-06,0.0061226818
0.1028,139.30016,-223.21692,-277.2558,51.863415,-0.15636814,0.32467687,-0.0087902043,0.028440615,3.5079622e-06,0.0072915987,232.16693,-520.17889,-0.15636814,0.32467687,-0.0087902043,0.028440615,3.5079622e-06,0.0072915987
0.1029,148.18059,-225.56252,-287.58591,47.824657,-0.16668585,0.33210498,-0.009711978,0.030248906,4.3031141e-06,0.0086277733,246.96765,-535.30383,-0.16668585,0.33210498,-0.009711978,0.030248906,4.3031141e-06,0.0086277733
0.103,157.22314,-227.49232,-297.82114,43.428738,-0.17723104,0.3391563,-0.010691071,0.032089669,5.2410792e-06,0.010147465,262.03857,-550.00885,-0.17723104,0.3391563,-0.010691071,0.032089669,5.2410792e-06,0.010147465
0.1031,166.41559,-229.00647,-307.94937,38.683289,-0.18799169,0.34582427,-0.01172847,0.033960391,6.3405269e-06,0.011867735,277.35931,-564.27826,-0.18799169,0.34582427,-0.01172847,0.033960391,6.3405269e-06,0.011867735
0.1032,175.74579,-230.1055,-317.9588,33.596149,-0.1989558,0.35210297,-0.012825068,0.035858572,7.6232127e-06,0.013806422,292.90964,-578.09705,-0.1989558,0.35210297,-0.012825068,0.035858572,7.6232127e-06,0.013806422
0.1033,185.20128,-230.79031,-327.83755,28.175577,-0.21011093,0.35798654,-0.013981692,0.037781648,9.1112461e-06,0.015982235,308.66879,-591.45038,-0.21011093,0.35798654,-0.013981692,0.037781648,9.1112461e-06,0.015982235
0.1034,194.76962,-231.06226,-337.57394,22.43008,-0.22144459,0.36346975,-0.015199084,0.039727058,1.0829286e-05,0.018414624,324.61603,-604.3241,-0.22144459,0.36346975,-0.015199084,0.039727058,1.0829286e-05,0.018414624
0.1035,204.43832,-230.92299,-347.15659,16.368425,-0.23294418,0.36854768,-0.0164779,0.041692231,1.2804259e-05,0.021123786,340.73053,-616.70447,-0.23294418,0.36854768,-0.0164779,0.041692231,1.2804259e-05,0.021123786
0.1036,214.19475,-230.37462,-356.5741,9.9997101,-0.24459681,0.37321579,-0.017818721,0.043674577,1.5064596e-05,0.02413075,356.99124,-628.57812,-0.24459681,0.37321579,-0.017818721,0.043674577,1.5064596e-05,0.02413075
0.1037,224.02628,-229.41959,-365.81537,3.3332524,-0.25638959,0.37746996,-0.019222043,0.0456715,1.7641301e-05,0.027457168,373.37711,-639.93243,-0.25638959,0.37746996,-0.019222043,0.0456715,1.7641301e-05,0.027457168
0.1038,233.9202,-228.06075,-374.86951,-3.6213417,-0.26830944,0.38130644,-0.020688282,0.047680397,2.056745e-05,0.031125493,389.867,-650.75519,-0.26830944,0.38130644,-0.020688282,0.047680397,2.056745e-05,0.031125493
0.1039,243.86383,-226.30132,-383.72574,-10.854223,-0.28034323,0.38472193,-0.022217769,0.049698658,2.3878432e-05,0.035158835,406.4397,-661.03473,-0.28034323,0.38472193,-0.022217769,0.049698658,2.3878432e-05,0.035158835
0.104,253.84441,-224.14491,-392.37357,-18.355297,-0.29247767,0.38771358,-0.023810757,0.051723674,2.7611914e-05,0.03958093,423.07401,-670.75989,-0.29247767,0.38771358,-0.023810757,0.051723674,2.7611914e-05,0.03958093
0.1041,263.84921,-221.59547,-400.80273,-26.114241,-0.30469939,0.39027882,-0.025467411,0.053752836,3.1808133e-05,0.044416212,439.74869,-679.92017,-0.30469939,0.39027882,-0.025467411,0.053752836,3.1808133e-05,0.044416212
0.1042,273.86551,-218.65738,-409.00317,-34.120499,-0.31699499,0.39241564,-0.027187819,0.055783533,3.6509577e-05,0.049689651,456.4425,-688.50549,-0.31699499,0.39241564,-0.027187819,0.055783533,3.6509577e-05,0.049689651
0.1043,283.88055,-215.3353,-416.96509,-42.363304,-0.32935101,0.39412233,-0.028971985,0.057813168,4.1761377e-05,0.055426851,473.13428,-696.50647,-0.32935101,0.39412233,-0.028971985,0.057813168,4.1761377e-05,0.055426851
0.1044,293.88171,-211.63432,-424.67889,-50.831676,-0.34175384,0.39539769,-0.030819831,0.059839141,4.7611222e-05,0.061653938,489.80283,-703.91431,-0.34175384,0.39539769,-0.030819831,0.059839141,4.7611222e-05,0.061653938
0.1045,303.85626,-207.55984,-432.13531,-59.514465,-0.35418996,0.39624086,-0.032731198,0.06185887,5.4109387e-05,0.068397507,506.42712,-710.7207,-0.35418996,0.39624086,-0.032731198,0.06185887,5.4109387e-05,0.068397507
0.1046,313.79169,-203.11768,-439.32532,-68.400299,-0.36664578,0.39665151,-0.034705848,0.063869782,6.1308863e-05,0.075684682,522.98615,-716.91803,-0.36664578,0.39665151,-0.034705848,0.063869782,6.1308863e-05,0.075684682
0.1047,323.67542,-198.3139,-446.24014,-77.477676,-0.37910774,0.39662957,-0.036743455,0.065869316,6.9265363e-05,0.083542973,539.45905,-722.49927,-0.37910774,0.39662957,-0.036743455,0.065869316,6.9265363e-05,0.083542973
0.1048,333.49503,-193.155,-452.87137,-86.734909,-0.39156219,0.39617556,-0.038843621,0.067854948,7.8037381e-05,0.092000283,555.82501,-727.45807,-0.39156219,0.39617556,-0.038843621,0.067854948,7.8037381e-05,0.092000283
0.1049,343.23813,-187.64774,-459.21082,-96.160156,-0.4039956,0.39529034,-0.041005861,0.069824152,8.7686261e-05,0.10108489,572.06354,-731.78851,-0.4039956,0.39529034,-0.041005861,0.069824152,8.7686261e-05,0.10108489
0.105,352.89252,-181.79926,-465.25064,-105.74146,-0.41639447,0.39397517,-0.043229621,0.071774431,9.8276098e-05,0.11082533,588.15424,-735.4856,-0.41639447,0.39397517,-0.043229621,0.071774431,9.8276098e-05,0.11082533
0.1051,362.44604,-175.61697,-470.98331,-115.46672,-0.4287453,0.39223176,-0.045514256,0.073703319,0.00010987399,0.12125045,604.07678,-738.54474,-0.4287453,0.39223176,-0.045514256,0.073703319,0.00010987399,0.12125045
0.1052,371.88672,-169.10866,-476.40161,-125.32372,-0.44103464,0.39006227,-0.04785905,0.075608373,0.00012254981,0.13238928,619.81116,-740.96204,-0.44103464,0.39006227,-0.04785905,0.075608373,0.00012254981,0.13238928
0.1053,381.20261,-162.28236,-481.49863,-135.30016,-0.45324922,0.38746923,-0.050263215,0.077487193,0.00013637642,0.14427103,635.33771,-742.73431,-0.45324922,0.38746923,-0.050263215,0.077487193,0.00013637642,0.14427103
0.1054,390.38208,-155.14644,-486.26785,-145.38362,-0.46537569,0.38445562,-0.052725878,0.079337388,0.0001514296,0.15692505,650.63678,-743.85901,-0.46537569,0.38445562,-0.052725878,0.079337388,0.0001514296,0.15692505
0.1055,399.41351,-147.70952,-490.70303,-155.56161,-0.47740096,0.38102475,-0.055246096,0.081156619,0.00016778799,0.17038073,665.68921,-744.33411,-0.47740096,0.38102475,-0.055246096,0.081156619,0.00016778799,0.17038073
0.1056,408.28555,-139.98056,-494.79828,-165.82159,-0.48931193,0.37718046,-0.057822857,0.082942583,0.0001855333,0.18466753,680.47589,-744.15839,-0.48931193,0.37718046,-0.057822857,0.082942583,0.0001855333,0.18466753
0.1057,416.98697,-131.96875,-498.54813,-176.15094,-0.50109571,0.37292689,-0.060455069,0.084693007,0.00020475007,0.19981484,694.97827,-743.33118,-0.50109571,0.37292689,-0.060455069,0.084693007,0.00020475007,0.19981484
0.1058,425.50674,-123.68354,-501.94739,-186.537,-0.51273954,0.36826864,-0.063141577,0.086405672,0.0002255258,0.21585204,709.17792,-741.85254,-0.51273954,0.36826864,-0.063141577,0.086405672,0.0002255258,0.21585204
0.1059,433.83411,-115.13467,-504.99124,-196.96709,-0.52423072,0.36321065,-0.065881141,0.088078395,0.00024795099,0.23280834,723.05682,-739.72314,-0.52423072,0.36321065,-0.065881141,0.088078395,0.00024795099,0.23280834
0.106,441.95844,-106.3321,-507.67529,-207.42848,-0.53555685,0.35775831,-0.068672478,0.089709044,0.00027211895,0.25071275,736.59741,-736.94434,-0.53555685,0.35775831,-0.068672478,0.089709044,0.00027211895,0.25071275
0.1061,449.86938,-97.286041,-509.99545,-217.90848,-0.54670554,0.35191739,-0.071514219,0.091295525,0.00029812593,0.26959413,749.78229,-733.51807,-0.54670554,0.35191739,-0.071514219,0.091295525,0.00029812593,0.26959413
0.1062,457.55679,-88.006912,-511.94806,-228.39438,-0.55766475,0.34569401,-0.07440494,0.092835806,0.00032607114,0.28948098,762.5946,-729.44696,-0.55766475,0.34569401,-0.07440494,0.092835806,0.00032607114,0.28948098
0.1063,465.01077,-78.505371,-513.52972,-238.87347,-0.56842256,0.33909461,-0.077343144,0.094327897,0.00035605644,0.31040156,775.01794,-724.73431,-0.56842256,0.33909461,-0.077343144,0.094327897,0.00035605644,0.31040156
0.1064,472.22171,-68.792274,-514.73767,-249.3331,-0.57896727,0.33212614,-0.080327272,0.095769882,0.00038818669,0.33238363,787.03613,-719.38409,-0.57896727,0.33212614,-0.080327272,0.095769882,0.00038818669,0.33238363
0.1065,479.18021,-58.878658,-515.56921,-259.76065,-0.58928734,0.32479581,-0.083355725,0.09715987,0.00042256928,0.35545465,798.63367,-713.40082,-0.58928734,0.32479581,-0.083355725,0.09715987,0.00042256928,0.35545465
0.1066,485.87717,-48.775772,-516.02228,-270.14352,-0.59937161,0.31711116,-0.086426824,0.098496057,0.00045931459,0.37964147,809.79529,-706.78973,-0.59937161,0.31711116,-0.086426824,0.098496057,0.00045931459,0.37964147
0.1067,492.30383,-38.495022,-516.09503,-280.46927,-0.609209,0.30908018,-0.089538842,0.099776678,0.00049853546,0.40497047,820.50635,-699.55658,-0.609209,0.30908018,-0.089538842,0.099776678,0.00049853546,0.40497047
0.1068,498.45157,-28.047976,-515.78619,-290.7254,-0.61878884,0.30071107,-0.092689998,0.10100003,0.00054034725,0.43146744,830.75262,-691.70789,-0.61878884,0.30071107,-0.092689998,0.10100003,0.00054034725,0.43146744
0.1069,504.31223,-17.44636,-515.09467,-300.89966,-0.62810057,0.29201245,-0.09587846,0.1021645,0.00058486796,0.45915753,840.52039,-683.25067,-0.62810057,0.29201245,-0.09587846,0.1021645,0.00058486796,0.45915753
0.107,509.87781,-6.7020378,-514.0199,-310.97974,-0.63713402,0.28299323,-0.099102348,0.1032685,0.00063221814,0.48806512,849.79639,-674.19269,-0.63713402,0.28299323,-0.099102348,0.1032685,0.00063221814,0.48806512
0.1071,515.14075,4.1729927,-512.56171,-320.95355,-0.64587921,0.27366263,-0.10235972,0.10431053,0.00068252068,0.51821399,858.56793,-664.54211,-0.64587921,0.27366263,-0.10235972,0.10431053,0.00068252068,0.51821399
0.1072,520.09375,15.166618,-510.72028,-330.80911,-0.65432656,0.26403022,-0.10564861,0.10528917,0.00073590083,0.54962701,866.82294,-654.30798,-0.65432656,0.26403022,-0.10564861,0.10528917,0.00073590083,0.54962701
0.1073,524.72986,26.266621,-508.49619,-340.53455,-0.66246676,0.25410575,-0.10896698,0.10620303,0.00079248595,0.58232623,874.54974,-643.49963,-0.66246676,0.25410575,-0.10896698,0.10620303,0.00079248595,0.58232623
0.1074,529.04236,37.460678,-505.89041,-350.11816,-0.67029077,0.24389941,-0.11231279,0.10705084,0.00085240591,0.61633295,881.7373,-632.1272,-0.67029077,0.24389941,-0.11231279,0.10705084,0.00085240591,0.61633295
0.1075,533.02515,48.736389,-502.90439,-359.54837,-0.67778987,0.23342156,-0.11568391,0.10783136,0.00091579277,0.6516673,888.37518,-620.20135,-0.67778987,0.23342156,-0.11568391,0.10783136,0.00091579277,0.6516673
0.1076,536.67212,60.081268,-499.53986,-368.81387,-0.68495584,0.22268289,-0.1190782,0.10854345,0.00098278059,0.68834853,894.45355,-607.73328,-0.68495584,0.22268289,-0.1190782,0.10854345,0.00098278059,0.68834853
0.1077,539.97778,71.48278,-495.79901,-377.90344,-0.69178057,0.21169433,-0.12249348,0.10918603,0.0010535052,0.72639495,899.96301,-594.73474,-0.69178057,0.21169433,-0.12249348,0.10918603,0.0010535052,0.72639495
0.1078,542.93683,82.928429,-491.68427,-386.806,-0.69825631,0.20046687,-0.12592758,0.10975807,0.0011281022,0.76582384,904.89478,-581.21777,-0.69825631,0.20046687,-0.12592758,0.10975807,0.0011281022,0.76582384
0.1079,545.54443,94.405556,-487.19861,-395.51086,-0.7043758,0.18901199,-0.12937824,0.11025867,0.0012067117,0.80665118,909.24072,-567.19537,-0.7043758,0.18901199,-0.12937824,0.11025867,0.0012067117,0.80665118
0.108,547.79614,105.90153,-482.34537,-404.00735,-0.71013212,0.17734131,-0.1328432,0.11068697,0.0012894748,0.84889179,912.99353,-552.68085,-0.71013212,0.17734131,-0.1328432,0.11068697,0.0012894748,0.84889179
0.1081,549.68781,117.4037,-477.1283,-412.28522,-0.71551871,0.16546667,-0.13632014,0.11104221,0.0013765339,0.89255941,916.1463,-537.68805,-0.71551871,0.16546667,-0.13632014,0.11104221,0.0013765339,0.89255941
0.1082,551.2157,128.89944,-471.55148,-420.33429,-0.72052944,0.15340009,-0.13980678,0.11132369,0.0014680328,0.93766642,918.69287,-522.23132,-0.72052944,0.15340009,-0.13980678,0.11132369,0.0014680328,0.93766642
0.1083,552.37634,140.37619,-465.61908,-428.14462,-0.72515815,0.14115362,-0.14330079,0.11153077,0.0015641134,0.9842245,920.62726,-506.3251,-0.72515815,0.14115362,-0.14330079,0.11153077,0.0015641134,0.9842245
0.1084,553.16681,151.82132,-459.33609,-435.70663,-0.72939968,0.12873971,-0.14679982,0.11166291,0.001664923,1.0322433,921.9447,-489.9848,-0.72939968,0.12873971,-0.14679982,0.11166291,0.001664923,1.0322433
0.1085,553.58459,163.22229,-452.70767,-443.01102,-0.73324889,0.11617093,-0.15030147,0.11171967,0.0017706085,1.0817312,922.64099,-473.2261,-0.73324889,0.11617093,-0.15030147,0.11171967,0.0017706085,1.0817312
0.1086,553.62744,174.56659,-445.73935,-450.04865,-0.73670119,0.10345995,-0.15380341,0.11170068,0.0018813175,1.1326954,922.7124,-456.06519,-0.73670119,0.10345995,-0.15380341,0.11170068,0.0018813175,1.1326954
0.1087,553.29352,185.84181,-438.43692,-456.81073,-0.73975223,0.090619557,-0.15730323,0.11160562,0.0019971973,1.1851419,922.15582,-438.51837,-0.73975223,0.090619557,-0.15730323,0.11160562,0.0019971973,1.1851419
0.1088,552.58124,197.03563,-430.80655,-463.2887,-0.74239814,0.077662632,-0.16079853,0.11143425,0.0021183954,1.2390755,920.96875,-420.60248,-0.74239814,0.077662632,-0.16079853,0.11143425,0.0021183954,1.2390755
0.1089,551.48975,208.13574,-422.8548,-469.47437,-0.74463552,0.064602271,-0.16428696,0.11118645,0.0022450613,1.2944988,919.1496,-402.33487,-0.74463552,0.064602271,-0.16428696,0.11118645,0.0022450613,1.2944988
0.109,550.01837,219.13002,-414.58856,-475.35986,-0.74646133,0.05145162,-0.16776606,0.11086216,0.0023773445,1.351413,916.69727,-383.73315,-0.74646133,0.05145162,-0.16776606,0.11086216,0.0023773445,1.351413
0.1091,548.16693,230.00642,-406.01514,-480.93756,-0.74787301,0.038223937,-0.17123346,0.11046141,0.0025153942,1.4098182,913.61151,-364.81534,-0.74787301,0.038223937,-0.17123346,0.11046141,0.0025153942,1.4098182
0.1092,545.93536,240.75302,-397.14182,-486.20016,-0.74886823,0.024932463,-0.17468677,0.10998426,0.0026593585,1.4697133,909.89227,-345.59955,-0.74886823,0.024932463,-0.17468677,0.10998426,0.0026593585,1.4697133
0.1093,543.32434,251.35802,-387.97653,-491.14072,-0.7494452,0.011590581,-0.17812359,0.10943091,0.0028093865,1.5310951,905.54059,-326.10443,-0.7494452,0.011590581,-0.17812359,0.10943091,0.0028093865,1.5310951
0.1094,540.33478,261.80981,-378.52744,-495.75262,-0.74960268,-0.001788288,-0.18154155,0.10880161,0.0029656265,1.593959,900.55798,-306.34888,-0.74960268,-0.001788288,-0.18154155,0.10880161,0.0029656265,1.593959
0.1095,536.96808,272.09692,-368.80295,-500.02966,-0.7493397,-0.015190693,-0.18493827,0.10809671,0.0031282271,1.6582985,894.94678,-286.35208,-0.7493397,-0.015190693,-0.18493827,0.10809671,0.0031282271,1.6582985
0.1096,533.22595,282.20804,-358.81177,-503.96591,-0.74865574,-0.02860317,-0.18831137,0.10731662,0.0032973352,1.7241058,888.7099,-266.13342,-0.74865574,-0.02860317,-0.18831137,0.10731662,0.0032973352,1.7241058
0.1097,529.11035,292.13202,-348.56281,-507.55569,-0.74755055,-0.042012285,-0.19165854,0.10646181,0.0034730965,1.7913725,881.85052,-245.71243,-0.74755055,-0.042012285,-0.19165854,0.10646181,0.0034730965,1.7913725
0.1098,524.62384,301.85797,-338.06537,-510.79388,-0.74602467,-0.055404544,-0.19497745,0.10553286,0.0036556569,1.860087,874.37311,-225.10901,-0.74602467,-0.055404544,-0.19497745,0.10553286,0.0036556569,1.860087
0.1099,519.76947,311.37518,-327.32901,-513.67566,-0.7440787,-0.068766497,-0.19826578,0.10453042,0.0038451606,1.9302368,866.28241,-204.3432,-0.7440787,-0.068766497,-0.19826578,0.10453042,0.0038451606,1.9302368
0.11,514.55042,320.67316,-316.36349,-516.19653,-0.741714,-0.08208473,-0.20152125,0.10345522,0.0040417509,2.0018075,857.58405,-183.43526,-0.741714,-0.08208473,-0.20152125,0.10345522,0.0040417509,2.0018075
0.1101,508.97031,329.74158,-305.1788,-518.35242,-0.73893201,-0.095345892,-0.2047416,0.10230805,0.0042455685,2.074784,848.28381,-162.40546,-0.73893201,-0.095345892,-0.2047416,0.10230805,0.0042455685,2.074784
0.1102,503.03311,338.5704,-293.7851,-520.13959,-0.73573476,-0.10853668,-0.20792462,0.10108975,0.0044567529,2.1491489,838.38849,-141.27425,-0.73573476,-0.10853668,-0.20792462,0.10108975,0.0044567529,2.1491489
0.1103,496.74329,347.14984,-282.19287,-521.55463,-0.73212469,-0.12164386,-0.21106809,0.099801272,0.0046754428,2.2248833,827.90546,-120.06229,-0.73212469,-0.12164386,-0.21106809,0.099801272,0.0046754428,2.2248833
0.1104,490.10565,355.4704,-270.41287,-522.59473,-0.72810471,-0.13465425,-0.21416986,0.098443657,0.0049017738,2.3019664,816.84277,-98.790276,-0.72810471,-0.13465425,-0.21416986,0.098443657,0.0049017738,2.3019664
0.1105,483.12537,363.5228,-258.4559,-523.25732,-0.72367811,-0.14755486,-0.2172278,0.097017974,0.0051358799,2.3803761,805.20892,-77.478989,-0.72367811,-0.14755486,-0.2172278,0.097017974,0.0051358799,2.3803761
0.1106,475.80771,371.29794,-246.33296,-523.5401,-0.71884841,-0.16033271,-0.22023979,0.095525339,0.0053778924,2.4600894,793.01282,-56.149117,-0.71884841,-0.16033271,-0.22023979,0.095525339,0.0053778924,2.4600894
