"Time","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smrM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.039299998,-0.0097874403,-0.07394468
0.0394,-0.0098824473,-0.07428252
0.039500002,-0.009978123,-0.074620962
0.0396,-0.010074472,-0.074960008
0.039700001,-0.010171496,-0.075299658
0.039799999,-0.010269199,-0.075639911
0.039900001,-0.010367583,-0.075980753
0.039999999,-0.01046665,-0.076322198
0.040100001,-0.010566405,-0.076664239
0.040199999,-0.01066685,-0.077006869
0.0403,-0.010767987,-0.077350087
0.040399998,-0.01086982,-0.077693902
0.0405,-0.010972352,-0.078038298
0.040600002,-0.011075584,-0.078383282
0.0407,-0.011179522,-0.078728847
0.040800001,-0.011284166,-0.079075001
0.040899999,-0.011389521,-0.079421729
0.041000001,-0.011495589,-0.079769038
0.041099999,-0.011602373,-0.080116928
0.041200001,-0.011709876,-0.080465384
0.041299999,-0.011818102,-0.080814414
0.0414,-0.011927051,-0.081164017
0.041499998,-0.012036729,-0.081514195
0.0416,-0.012147136,-0.081864931
0.041700002,-0.012258277,-0.08221624
0.0418,-0.012370155,-0.082568109
0.041900001,-0.012482772,-0.082920536
0.041999999,-0.012596131,-0.08327353
0.042100001,-0.012710236,-0.083627075
0.042199999,-0.012825089,-0.083981179
0.042300001,-0.012940693,-0.084335834
0.042399999,-0.013057051,-0.084691048
0.0425,-0.013174166,-0.085046805
0.042599998,-0.013292042,-0.085403107
0.0427,-0.01341068,-0.08575996
0.042800002,-0.013530085,-0.086117357
0.0429,-0.013650258,-0.08647529
0.043000001,-0.013771203,-0.086833768
0.043099999,-0.013892923,-0.087192781
0.043200001,-0.01401542,-0.087552331
0.043299999,-0.0141387,-0.08791241
0.043400001,-0.014262762,-0.088273019
0.043499999,-0.01438761,-0.088634163
0.0436,-0.01451325,-0.088995829
0.043699998,-0.014639681,-0.089358024
0.0438,-0.014766908,-0.089720741
0.043900002,-0.014894933,-0.090083979
0.044,-0.015023761,-0.090447731
0.044100001,-0.015153393,-0.090811998
0.044199999,-0.015283832,-0.091176786
0.044300001,-0.015415083,-0.09154208
0.044399999,-0.015547146,-0.091907881
0.044500001,-0.015680026,-0.092274196
0.044599999,-0.015813725,-0.092641011
0.0447,-0.015948245,-0.093008332
0.044799998,-0.016083593,-0.093376152
0.0449,-0.016219767,-0.093744472
0.045000002,-0.016356774,-0.094113283
0.0451,-0.016494615,-0.094482586
0.045200001,-0.016633293,-0.094852388
0.045299999,-0.01677281,-0.095222674
0.045400001,-0.016913172,-0.095593445
0.045499999,-0.017054379,-0.0959647
0.045600001,-0.017196437,-0.096336439
0.045699999,-0.017339347,-0.096708655
0.0458,-0.017483111,-0.097081348
0.045899998,-0.017627735,-0.097454518
0.046,-0.017773218,-0.097828157
0.046100002,-0.017919566,-0.098202266
0.0462,-0.018066783,-0.098576844
0.046300001,-0.018214868,-0.098951884
0.046399999,-0.018363828,-0.099327385
0.046500001,-0.018513665,-0.099703349
0.046599999,-0.018664379,-0.10007977
0.046700001,-0.018815976,-0.10045664
0.046799999,-0.018968459,-0.10083397
0.0469,-0.019121829,-0.10121174
0.046999998,-0.019276092,-0.10158996
0.0471,-0.019431248,-0.10196863
0.047200002,-0.019587301,-0.10234774
0.0473,-0.019744255,-0.10272728
0.047400001,-0.019902112,-0.10310727
0.047499999,-0.020060875,-0.10348768
0.047600001,-0.020220546,-0.10386853
0.047699999,-0.02038113,-0.10424981
0.047800001,-0.020542629,-0.10463151
0.047899999,-0.020705046,-0.10501363
0.048,-0.020868385,-0.10539617
0.048099998,-0.021032648,-0.10577913
0.0482,-0.021197837,-0.10616251
0.048300002,-0.021363957,-0.10654631
0.0484,-0.02153101,-0.1069305
0.048500001,-0.021698998,-0.10731511
0.048599999,-0.021867927,-0.10770012
0.048700001,-0.022037797,-0.10808552
0.048799999,-0.022208612,-0.10847133
0.048900001,-0.022380374,-0.10885753
0.048999999,-0.02255309,-0.10924413
0.0491,-0.022726757,-0.10963111
0.049199998,-0.022901382,-0.11001848
0.0493,-0.023076968,-0.11040623
0.049400002,-0.023253517,-0.11079437
0.0495,-0.023431031,-0.11118288
0.049600001,-0.023609515,-0.11157177
0.049699999,-0.02378897,-0.11196103
0.049800001,-0.023969401,-0.11235066
0.049899999,-0.024150807,-0.11274065
0.050000001,-0.024333198,-0.11313101
0.050099999,-0.024516569,-0.11352172
0.0502,-0.02470093,-0.1139128
0.050299998,-0.024886278,-0.11430423
0.0504,-0.025072621,-0.11469601
0.050500002,-0.025259959,-0.11508814
0.0506,-0.025448294,-0.1154806
0.050700001,-0.025637632,-0.11587342
0.050799999,-0.025827974,-0.11626657
0.050900001,-0.026019322,-0.11666005
0.050999999,-0.026211683,-0.11705387
0.051100001,-0.026405055,-0.11744802
0.051199999,-0.026599444,-0.11784249
