"Time","rectifier.thyristor_p.off","rectifier.thyristor_n.off","meanVoltage.y","meanVoltage.x","rootMeanSquareVoltage.mean.y","rootMeanSquareVoltage.mean.x","meanCurrent.y","meanCurrent.x","pulse2.twoPulse.timerPositive[1].entryTime","pulse2.twoPulse.timerNegative[1].entryTime","inductor.i"
4.9654002,0,1,1.401282,-0.42221564,12099.977,70.128304,6.1476111,0.03298663,4.96,4.9499998,5.8857384
4.9656,0,1,1.401282,-0.391491,12099.977,74.848366,6.1476111,0.034166899,4.96,4.9499998,5.9168577
4.9657998,0,1,1.401282,-0.36113256,12099.977,79.45665,6.1476111,0.03535334,4.96,4.9499998,5.9474874
4.9660001,0,1,1.401282,-0.33126011,12099.977,83.91864,6.1476111,0.03654585,4.96,4.9499998,5.9775095
4.9661999,0,1,1.401282,-0.30199158,12099.977,88.202072,6.1476111,0.037744295,4.96,4.9499998,6.0068092
4.9664001,0,1,1.401282,-0.27344245,12099.977,92.277596,6.1476111,0.038948517,4.96,4.9499998,6.035274
4.9665999,0,1,1.401282,-0.24572539,12099.977,96.11911,6.1476111,0.040158343,4.96,4.9499998,6.0627942
4.9668002,0,1,1.401282,-0.21894979,12099.977,99.704193,6.1476111,0.041373566,4.96,4.9499998,6.0892653
4.967,0,1,1.401282,-0.19322132,12099.977,103.01447,6.1476111,0.042593971,4.96,4.9499998,6.1145859
4.9671998,0,1,1.401282,-0.16864152,12099.977,106.03587,6.1476111,0.043819316,4.96,4.9499998,6.1386585
4.9674001,0,1,1.401282,-0.14530741,12099.977,108.75895,6.1476111,0.045049347,4.96,4.9499998,6.1613922
4.9675999,0,1,1.401282,-0.12331104,12099.977,111.17891,6.1476111,0.046283778,4.96,4.9499998,6.1827002
4.9678001,0,1,1.401282,-0.10273925,12099.977,113.29577,6.1476111,0.047522325,4.96,4.9499998,6.2025008
4.9679999,0,1,1.401282,-0.083673216,12099.977,115.1143,6.1476111,0.048764676,4.96,4.9499998,6.2207198
4.9682002,0,1,1.401282,-0.066188186,12099.977,116.644,6.1476111,0.050010502,4.96,4.9499998,6.2372885
4.9684,0,1,1.401282,-0.050353158,12099.977,117.8989,6.1476111,0.051259477,4.96,4.9499998,6.2521439
4.9685998,0,1,1.401282,-0.036230635,12099.977,118.89736,6.1476111,0.052511241,4.96,4.9499998,6.2652311
4.9688001,0,1,1.401282,-0.023876349,12099.977,119.66181,6.1476111,0.053765446,4.96,4.9499998,6.2765012
4.9689999,0,1,1.401282,-0.013339056,12099.977,120.21837,6.1476111,0.055021718,4.96,4.9499998,6.285913
4.9692001,0,1,1.401282,-0.004660341,12099.977,120.59641,6.1476111,0.056279685,4.96,4.9499998,6.2934327
4.9693999,0,1,1.401282,0.0021255442,12099.977,120.82816,6.1476111,0.057538964,4.96,4.9499998,6.2990327
4.9696002,0,1,1.401282,0.0069918185,12099.977,120.94809,6.1476111,0.05879917,4.96,4.9499998,6.3026953
4.9698,0,1,1.401282,0.0099192755,12099.977,120.99251,6.1476111,0.060059913,4.96,4.9499998,6.3044076
4.9699998,0,1,1.401282,0.010896362,12099.977,120.99886,6.1476111,0.061320804,4.96,4.9499998,6.3041668
4.9699998,0,1,1.0896362,0,12099.886,0,6.1320801,0,4.96,4.9699998,6.3041668
4.9702001,0,1,1.0896362,-0.00097712374,12099.886,0.006364401,6.1320801,0.0012606467,4.96,4.9699998,6.3019767
4.9703999,0,1,1.0896362,-0.0039046088,12099.886,0.050792463,6.1320801,0.0025206616,4.96,4.9699998,6.2978492
4.9706001,0,1,1.0896362,-0.0087709194,12099.886,0.17074932,6.1320801,0.0037796586,4.96,4.9699998,6.2918029
4.9707999,0,1,1.0896362,-0.015556841,12099.886,0.40250796,6.1320801,0.0050372565,4.96,4.9699998,6.283865
4.9710002,0,1,1.0896362,-0.024235591,12099.886,0.78057909,6.1320801,0.0062930807,4.96,4.9699998,6.2740698
4.9712,0,1,1.0896362,-0.034772921,12099.886,1.3371656,6.1320801,0.0075467634,4.96,4.9699998,6.2624588
4.9713998,0,1,1.0896362,-0.047127243,12099.886,2.1016536,6.1320801,0.0087979464,4.96,4.9699998,6.2490807
4.9716001,0,1,1.0896362,-0.061249804,12099.886,3.1001513,6.1320801,0.010046282,4.96,4.9699998,6.2339916
4.9717999,0,1,1.0896362,-0.077084862,12099.886,4.3550768,6.1320801,0.011291433,4.96,4.9699998,6.2172532
4.9720001,0,1,1.0896362,-0.094569929,12099.886,5.8848042,6.1320801,0.012533078,4.96,4.9699998,6.1989355
4.9721999,0,1,1.0896362,-0.113636,12099.886,7.7033734,6.1320801,0.013770907,4.96,4.9699998,6.1791129
4.9724002,0,1,1.0896362,-0.13420783,12099.886,9.8202696,6.1320801,0.015004627,4.96,4.9699998,6.1578665
4.9726,0,1,1.0896362,-0.15620422,12099.886,12.240273,6.1320801,0.016233964,4.96,4.9699998,6.1352835
4.9727998,0,1,1.0896362,-0.17953837,12099.886,14.963384,6.1320801,0.017458659,4.96,4.9699998,6.1114554
4.973,0,1,1.0896362,-0.20411819,12099.886,17.984821,6.1320801,0.01867847,4.96,4.9699998,6.0864792
4.9731998,0,1,1.0896362,-0.22984669,12099.886,21.295101,6.1320801,0.019893181,4.96,4.9699998,6.0604568
4.9734001,0,1,1.0896362,-0.25662228,12099.886,24.88018,6.1320801,0.02110259,4.96,4.9699998,6.033493
4.9735999,0,1,1.0896362,-0.28433937,12099.886,28.721689,6.1320801,0.022306522,4.96,4.9699998,6.0056973
4.9738002,0,1,1.0896362,-0.3128885,12099.886,32.797207,6.1320801,0.023504822,4.96,4.9699998,5.9771819
4.974,0,1,1.0896362,-0.34215704,12099.886,37.080627,6.1320801,0.024697354,4.96,4.9699998,5.9480629
4.9741998,0,1,1.0896362,-0.37202945,12099.886,41.542561,6.1320801,0.025884014,4.96,4.9699998,5.918457
4.9744,0,1,1.0896362,-0.40238789,12099.886,46.150806,6.1320801,0.027064713,4.96,4.9699998,5.888485
4.9745998,0,1,1.0896362,-0.4331125,12099.886,50.870857,6.1320801,0.028239392,4.96,4.9699998,5.8582668
4.9748001,0,1,1.0896362,-0.46408203,12099.886,55.666447,6.1320801,0.029408012,4.96,4.9699998,5.8279247
4.9749751,0,1,1.0896362,-0.49128133,12099.886,59.894505,6.1320801,0.030425429,4.96,4.9699998,5.801374
4.9749751,1,0,1.0896362,-0.49128133,12099.886,59.894505,6.1320801,0.030425429,4.96,4.9699998,5.801374
4.9749999,1,0,1.0896362,-0.4873884,12099.886,60.500092,6.1320801,0.030570658,4.96,4.9699998,5.8053656
4.9752002,1,0,1.0896362,-0.45629716,12099.886,65.33342,6.1320801,0.03173504,4.96,4.9699998,5.8371692
4.9754,1,0,1.0896362,-0.42532769,12099.886,70.128983,6.1320801,0.032905634,4.96,4.9699998,5.8687267
4.9755998,1,0,1.0896362,-0.39460304,12099.886,74.849068,6.1320801,0.034082502,4.96,4.9699998,5.8999138
4.9758,1,0,1.0896362,-0.36424458,12099.886,79.457359,6.1320801,0.035265565,4.96,4.9699998,5.9306111
4.9759998,1,0,1.0896362,-0.33437216,12099.886,83.919319,6.1320801,0.036454707,4.96,4.9699998,5.9607005
4.9762001,1,0,1.0896362,-0.30510363,12099.886,88.202751,6.1320801,0.037649795,4.96,4.9699998,5.9900675
4.9763999,1,0,1.0896362,-0.2765545,12099.886,92.27829,6.1320801,0.038850676,4.96,4.9699998,6.018599
4.9766002,1,0,1.0896362,-0.2488374,12099.886,96.119843,6.1320801,0.040057171,4.96,4.9699998,6.046186
4.9768,1,0,1.0896362,-0.22206175,12099.886,99.704956,6.1320801,0.041269083,4.96,4.9699998,6.0727234
4.9770002,1,0,1.0896362,-0.19633324,12099.886,103.01526,6.1320801,0.042486187,4.96,4.9699998,6.0981102
4.9772,1,0,1.0896362,-0.17175342,12099.886,106.03671,6.1320801,0.043708242,4.96,4.9699998,6.1222486
4.9773998,1,0,1.0896362,-0.14841928,12099.886,108.75982,6.1320801,0.044934995,4.96,4.9699998,6.1450477
4.9776001,1,0,1.0896362,-0.1264229,12099.886,111.17981,6.1320801,0.046166167,4.96,4.9699998,6.1664205
4.9777999,1,0,1.0896362,-0.10585112,12099.886,113.29668,6.1320801,0.047401462,4.96,4.9699998,6.1862864
4.9780002,1,0,1.0896362,-0.086785093,12099.886,115.11521,6.1320801,0.048640575,4.96,4.9699998,6.2045703
4.9782,1,0,1.0896362,-0.069300063,12099.886,116.6449,6.1320801,0.049883183,4.96,4.9699998,6.2212033
