"Time","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee3.stator.stray.port_p.Phi.im","smeeM.stator.stray.port_p.Phi.im","smeeM.is[4]","smee3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smeeM.is[3]","smeeM.is[1]","constantSpeedM.phi","smeeM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee3.stator.stray.port_p.Phi.re","smeeM.stator.stray.port_p.Phi.re","constantSpeed3.phi","smeeM.is[2]","smee3.is[1]","smee3.is[2]","smee3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im"
14.924,0.43481895,-0.078466021,-0.078466021,120.94283,0.11555605,-52.92989,-42.034309,2341.1228,0.11555605,-0.022299893,-0.022299893,2341.1228,-153.6553,-70.057182,-178.45384,0.43481895
14.925,0.44924954,-0.081517063,-0.081517063,85.699646,-0.02446622,-94.933861,5.7070589,2341.2798,-0.02446622,0.0030276887,0.0030276887,2341.2798,-144.37199,9.5117645,-226.53928,0.44924954
14.926,0.41970438,-0.076595545,-0.076595545,42.074867,-0.16209565,-127.65307,52.890236,2341.4368,-0.16209565,0.028059142,0.028059142,2341.4368,-120.9688,88.150391,-252.46863,0.41970438
14.927,0.34907493,-0.064182825,-0.064182825,-5.6648955,-0.28385997,-147.8875,94.900604,2341.5938,-0.28385997,0.050346334,0.050346334,2341.5938,-85.734612,158.16766,-253.70599,0.34907493
14.928,0.2442743,-0.045492891,-0.045492891,-52.850582,-0.37783974,-153.6582,127.62945,2341.7507,-0.37783974,0.067709528,0.067709528,2341.7507,-42.11541,212.71574,-230.13034,0.2442743
14.929,0.1155607,-0.02235367,-0.02235367,-94.867325,-0.43483508,-144.40079,147.87582,2341.9077,-0.43483508,0.078450561,0.078450561,2341.9077,5.622736,246.4597,-184.04745,0.1155607
14.93,-0.02446679,0.00297177,0.00297177,-127.6058,-0.44926631,-121.02067,153.65961,2342.0647,-0.44926631,0.081518956,0.081518956,2342.0647,52.810921,256.09937,-119.96439,-0.02446679
14.931,-0.16210137,0.028006541,0.028006541,-147.86412,-0.41972017,-85.804482,144.41515,2342.2217,-0.41972017,0.076614611,0.076614611,2342.2217,94.834038,240.69189,-44.148582,-0.16210137
14.932,-0.28387031,0.050302189,0.050302189,-153.661,-0.34908816,-42.196472,121.04658,2342.3787,-0.34908816,0.064217202,0.064217202,2342.3787,127.58215,201.74429,35.98497,-0.28387031
14.933,-0.37785366,0.067678146,0.067678146,-144.42949,-0.24428372,5.5384035,85.839409,2342.5356,-0.24428372,0.045539219,0.045539219,2342.5356,147.8524,143.06567,112.59903,-0.37785366
14.934,-0.43485123,0.078435026,0.078435026,-121.07246,-0.11556535,52.73156,42.237003,2342.6926,-0.11556535,0.022407426,0.022407426,2342.6926,153.66237,70.395004,178.20059,-0.43485123
14.935,-0.44928312,0.081520781,0.081520781,-85.874336,0.024467349,94.76741,-5.496223,2342.8496,0.024467349,-0.0029158366,-0.0029158366,2342.8496,144.44382,-9.1603708,226.37369,-0.44928312
14.936,-0.41973597,0.076633625,0.076633625,-42.277542,0.1621071,127.53476,-52.69186,2343.0066,0.1621071,-0.027953899,-0.027953899,2343.0066,121.09836,-87.819763,252.40691,-0.41973597
14.937,-0.34910142,0.06425155,0.06425155,5.4540329,0.28388062,147.82892,-94.734077,2343.1636,0.28388062,-0.050257988,-0.050257988,2343.1636,85.909264,-157.89012,253.75418,-0.34910142
14.938,-0.24429315,0.045585543,0.045585543,52.652149,0.37786755,153.66507,-127.51105,2343.3206,0.37786755,-0.067646712,-0.067646712,2343.3206,42.318089,-212.51842,230.28375,-0.24429315
14.939,-0.11557003,0.022461198,0.022461198,94.700729,0.43486738,144.47246,-147.81715,2343.4775,0.43486738,-0.078419439,-0.078419439,2343.4775,-5.4118395,-246.36192,184.29112,-0.11557003
14.94,0.024467884,-0.0028598772,-0.0028598772,127.48734,0.4492999,121.15014,-153.66641,2343.6345,0.4492999,-0.081522562,-0.081522562,2343.6345,-52.612434,-256.11069,120.27448,0.024467884
14.941,0.16211279,-0.027901227,-0.027901227,147.80539,0.41975176,85.979103,-144.48676,2343.7913,0.41975176,-0.076652609,-0.076652609,2343.7913,-94.667374,-240.81126,44.494793,0.16211279
14.942,0.2838909,-0.050213758,-0.050213758,153.66774,0.34911472,42.39917,-121.17602,2343.9482,0.34911472,-0.064285874,-0.064285874,2343.9482,-127.46362,-201.96004,-35.636505,0.2838909
14.943,0.37788147,-0.067615248,-0.067615248,144.50105,0.2443026,-5.3274589,-86.014015,2344.1052,0.2443026,-0.045631852,-0.045631852,2344.1052,-147.79361,-143.35669,-112.2824,0.37788147
14.944,0.43488351,-0.078403816,-0.078403816,121.20187,0.11557473,-52.533005,-42.43969,2344.2622,0.11557473,-0.022514956,-0.022514956,2344.2622,-153.66905,-70.732819,-177.94678,0.43488351
14.945,0.44931671,-0.081524305,-0.081524305,86.048897,-0.024468396,-94.600662,5.2852807,2344.4192,-0.024468396,0.0028039287,0.0028039287,2344.4192,-144.51532,8.8088017,-226.2075,0.44931671
14.946,0.41976759,-0.076671541,-0.076671541,42.480198,-0.16211846,-127.41613,52.493294,2344.5762,-0.16211846,0.027848557,0.027848557,2344.5762,-121.22769,87.488823,-252.34459,0.41976759
14.947,0.34912801,-0.06432014,-0.06432014,-5.2431111,-0.28390118,-147.76999,94.567299,2344.7332,-0.28390118,0.050169509,0.050169509,2344.7332,-86.083763,157.61217,-253.80182,0.34912801
14.948,0.24431206,-0.045678098,-0.045678098,-52.453579,-0.37789533,-153.67159,127.39236,2344.8901,-0.37789533,0.067583747,0.067583747,2344.8901,-42.520687,212.3206,-230.43666,0.24431206
14.949,0.11557944,-0.022568665,-0.022568665,-94.533913,-0.43489963,-144.54378,147.75815,2345.0471,-0.43489963,0.078388132,0.078388132,2345.0471,5.2009459,246.26358,-184.53433,0.11557944
14.95,-0.024468895,0.0027480025,0.0027480025,-127.36858,-0.44933349,-121.27928,153.67282,2345.2041,-0.44933349,0.081525967,0.081525967,2345.2041,52.413857,256.12137,-120.5842,-0.024468895
14.951,-0.16212411,0.027795875,0.027795875,-147.74628,-0.41978341,-86.153435,144.55797,2345.3611,-0.41978341,0.076690383,0.076690383,2345.3611,94.500519,240.92995,-44.840759,-0.16212411
14.952,-0.28391147,0.050125219,0.050125219,-153.67404,-0.3491413,-42.601654,121.30505,2345.5181,-0.3491413,0.06435433,0.06435433,2345.5181,127.34477,202.17508,35.288097,-0.28391147
14.953,-0.37790921,0.067552179,0.067552179,-144.57214,-0.24432153,5.1166034,86.188263,2345.675,-0.24432153,0.045724295,0.045724295,2345.675,147.73438,143.64711,111.96559,-0.37790921
14.954,-0.43491575,0.078372367,0.078372367,-121.33081,-0.11558416,52.334377,42.642139,2345.832,-0.11558416,0.022622358,0.022622358,2345.832,153.67523,71.070236,177.6925,-0.43491575
14.955,-0.4493503,0.081527553,0.081527553,-86.223091,0.024469383,94.43367,-5.0744171,2345.989,0.024469383,-0.0026920619,-0.0026920619,2345.989,144.5863,-8.4573622,226.04062,-0.4493503
14.956,-0.41979924,0.076709174,0.076709174,-42.682629,0.16212977,127.2971,-52.294617,2346.146,0.16212977,-0.027743155,-0.027743155,2346.146,121.35656,-87.157692,252.28143,-0.41979924
14.957,-0.34915459,0.064388484,0.064388484,5.0322223,0.28392172,147.71056,-94.40023,2346.303,0.28392172,-0.050080877,-0.050080877,2346.303,86.257919,-157.33371,253.84856,-0.34915459
14.958,-0.24433102,0.045770485,0.045770485,52.254845,0.37792307,153.67758,-127.27324,2346.46,0.37792307,-0.067520551,-0.067520551,2346.46,42.723122,-212.12207,230.58875,-0.24433102
14.959,-0.11558891,0.022676064,0.022676064,94.366776,0.43493187,144.61462,-147.69862,2346.6169,0.43493187,-0.078356557,-0.078356557,2346.6169,-4.9900222,-246.16438,184.77693,-0.11558891
14.96,0.024469849,-0.0026360955,-0.0026360955,127.24937,0.44936708,121.40806,-153.67874,2346.7739,0.44936708,-0.081529103,-0.081529103,2346.7739,-52.215069,-256.13126,120.8936,0.024469849
14.961,0.16213541,-0.027690405,-0.027690405,147.68669,0.41981506,86.327568,-144.62875,2346.9309,0.41981506,-0.076727942,-0.076727942,2346.9309,-94.333313,-241.04793,45.18671,0.16213541
14.962,0.28393197,-0.050036501,-0.050036501,153.6799,0.34916794,42.804104,-121.43379,2347.0879,0.34916794,-0.06442263,-0.06442263,2347.0879,-127.22551,-202.38965,-34.939434,0.28393197
14.963,0.37793693,-0.067488894,-0.067488894,144.64288,0.24434054,-4.9056325,-86.362373,2347.2449,0.24434054,-0.04581666,-0.04581666,2347.2449,-147.67473,-143.93729,-111.64832,0.37793693
14.964,0.434948,-0.078340709,-0.078340709,121.45951,0.11559367,-52.135525,-42.844578,2347.4019,0.11559367,-0.022729754,-0.022729754,2347.4019,-153.68103,-71.407631,-177.43767,0.434948
14.965,0.44938388,-0.081530616,-0.081530616,86.397156,-0.02447029,-94.26638,4.8634496,2347.5588,-0.02447029,0.00258014,0.00258014,2347.5588,-144.65698,8.1057491,-225.87314,0.44938388
14.966,0.41983092,-0.07674665,-0.07674665,42.885033,-0.16214101,-127.17773,52.095753,2347.7158,-0.16214101,0.027637655,0.027637655,2347.7158,-121.4852,86.826256,-252.21767,0.41983092
14.967,0.34918126,-0.064456709,-0.064456709,-4.8212748,-0.28394219,-147.65077,94.23291,2347.8728,-0.28394219,0.049992111,0.049992111,2347.8728,-86.431923,157.05486,-253.89473,0.34918126
14.968,0.24435005,-0.045862775,-0.045862775,-52.055977,-0.37795079,-153.68321,127.15382,2348.0298,-0.37795079,0.067457192,0.067457192,2348.0298,-42.925476,211.92303,-230.74033,0.24435005
14.969,0.11559846,-0.022783399,-0.022783399,-94.199425,-0.43496409,-144.68512,147.63876,2348.1868,-0.43496409,0.078324795,0.078324795,2348.1868,4.7791038,246.06461,-185.01907,0.11559846
14.97,-0.02447072,0.0025242073,0.0025242073,-127.12988,-0.44940066,-121.5365,153.68428,2348.3438,-0.44940066,0.081532039,0.081532039,2348.3438,52.016197,256.14047,-121.20262,-0.02447072
14.971,-0.1621466,0.027584895,0.027584895,-147.62672,-0.41984674,-86.501404,144.69914,2348.5007,-0.41984674,0.076765276,0.076765276,2348.5007,94.165916,241.16524,-45.532413,-0.1621466
14.972,-0.28395241,0.049947679,0.049947679,-153.68532,-0.34919459,-43.00634,121.56213,2348.6577,-0.34919459,0.064490713,0.064490713,2348.6577,127.10593,202.60355,34.590832,-0.28395241
14.973,-0.37796462,0.06742543,0.06742543,-144.71313,-0.24435958,4.6947522,86.536125,2348.8145,-0.24435958,0.045908839,0.045908839,2348.8145,147.61465,144.22687,111.33087,-0.37796462
14.974,-0.43498018,0.078308806,0.078308806,-121.58775,-0.11560325,51.9366,43.046776,2348.9714,-0.11560325,0.022837024,0.022837024,2348.9714,153.68633,71.744621,177.18239,-0.43498018
14.975,-0.44941747,0.081533395,0.081533395,-86.570847,0.024471138,94.098854,-4.6525621,2349.1284,0.024471138,-0.0024682607,-0.0024682607,2349.1284,144.72714,-7.7542701,225.70496,-0.44941747
14.976,-0.4198626,0.076783851,0.076783851,-43.087215,0.16215219,127.05798,-51.896782,2349.2854,0.16215219,-0.027532097,-0.027532097,2349.2854,121.61337,-86.494637,252.15306,-0.4198626
14.977,-0.34920794,0.06452468,0.06452468,4.6103625,0.28396261,147.59048,-94.0653,2349.4424,0.28396261,-0.049903192,-0.049903192,2349.4424,86.605576,-156.7755,253.94,-0.34920794
14.978,-0.24436913,0.045954898,0.045954898,51.856953,0.37797844,153.68832,-127.03397,2349.5994,0.37797844,-0.067393616,-0.067393616,2349.5994,43.127659,-211.72328,230.89108,-0.24436913
14.979,-0.11560805,0.022890663,0.022890663,94.031738,0.43499631,144.75511,-147.5784,2349.7563,0.43499631,-0.078292772,-0.078292772,2349.7563,-4.5681577,-245.96399,185.2606,-0.11560805
14.98,0.024471533,-0.0024122884,-0.0024122884,127.00996,0.44943428,121.66457,-153.68932,2349.9133,0.44943428,-0.081534714,-0.081534714,2349.9133,-51.817116,-256.14886,121.51131,0.024471533
14.981,0.16215774,-0.027479269,-0.027479269,147.56628,0.41987845,86.675026,-144.76909,2350.0703,0.41987845,-0.076802388,-0.076802388,2350.0703,-93.998177,-241.28183,45.878094,0.16215774
14.982,0.2839728,-0.049858674,-0.049858674,153.69029,0.34922132,43.208538,-121.69016,2350.2273,0.34922132,-0.06455864,-0.06455864,2350.2273,-126.98594,-202.81694,-34.241978,0.2839728
14.983,0.37799227,-0.067361765,-0.067361765,144.78305,0.2443787,-4.4837584,-86.709732,2350.3843,0.2443787,-0.046000943,-0.046000943,2350.3843,-147.55417,-144.51622,-111.01298,0.37799227
14.984,0.4350124,-0.078276701,-0.078276701,121.71574,0.11561289,-51.737453,-43.248962,2350.5413,0.11561289,-0.022944286,-0.022944286,2350.5413,-153.69124,-72.081604,-176.92653,0.4350124
14.985,0.44945109,-0.081535988,-0.081535988,86.744415,-0.024471903,-93.93103,4.4415717,2350.6982,-0.024471903,0.0023563271,0.0023563271,2350.6982,-144.79698,7.4026198,-225.53619,0.44945109
14.986,0.41989431,-0.07682088,-0.07682088,43.289368,-0.16216329,-126.93788,51.697624,2350.8552,-0.16216329,0.02742644,0.02742644,2350.8552,-121.74129,86.162704,-252.08784,0.41989431
14.987,0.34923467,-0.064592533,-0.064592533,-4.3993931,-0.28398296,-147.52986,93.897446,2351.0122,-0.28398296,0.049814142,0.049814142,2351.0122,-86.779076,156.49574,-253.98471,0.34923467
14.988,0.24438828,-0.046046924,-0.046046924,-51.657791,-0.37800607,-153.69308,126.91382,2351.1692,-0.37800607,0.067329876,0.067329876,2351.1692,-43.329762,211.52304,-231.04134,0.24438828
14.989,0.11561774,-0.022997864,-0.022997864,-93.863853,-0.43502846,-144.82477,147.51768,2351.3262,-0.43502846,0.078260563,0.078260563,2351.3262,4.3572178,245.86281,-185.50166,0.11561774
14.99,-0.024472263,0.0023003889,0.0023003889,-126.88974,-0.44946787,-121.79231,153.69395,2351.4832,-0.44946787,0.08153718,0.08153718,2351.4832,51.61795,256.15659,-121.81963,-0.024472263
14.991,-0.16216882,0.027373604,0.027373604,-147.50548,-0.41991016,-86.848358,144.83864,2351.6401,-0.41991016,0.076839283,0.076839283,2351.6401,93.830238,241.39772,-46.223522,-0.16216882
14.992,-0.28399312,0.049769569,0.049769569,-153.69481,-0.34924805,-43.410519,121.81779,2351.7971,-0.34924805,0.064626351,0.064626351,2351.7971,126.86564,203.02966,33.893185,-0.28399312
14.993,-0.37801987,0.067297921,0.067297921,-144.85248,-0.24439786,4.2728572,86.882988,2351.9541,-0.24439786,0.046092853,0.046092853,2351.9541,147.49326,144.80498,110.69489,-0.37801987
14.994,-0.43504456,0.078244351,0.078244351,-121.84328,-0.11562259,51.538235,43.450905,2352.1111,-0.11562259,0.02305142,0.02305142,2352.1111,153.69566,72.418175,176.67024,-0.43504456
14.995,-0.44948468,0.081538297,0.081538297,-86.917603,0.024472609,93.762962,-4.2306638,2352.2681,0.024472609,-0.0022444369,-0.0022444369,2352.2681,144.8663,-7.0511065,225.36673,-0.44948468
14.996,-0.41992605,0.076857626,0.076857626,-43.491295,0.16217433,126.81739,-51.49836,2352.425,0.16217433,-0.027320728,-0.027320728,2352.425,121.86875,-85.830597,252.02177,-0.41992605
14.997,-0.34926146,0.064660132,0.064660132,4.1884608,0.28400326,147.46873,-93.729301,2352.582,0.28400326,-0.04972494,-0.04972494,2352.582,86.952232,-156.2155,254.02852,-0.34926146
14.998,-0.24440747,0.046138778,0.046138778,51.458473,0.37803364,153.69731,-126.79324,2352.739,0.37803364,-0.067265905,-0.067265905,2352.739,43.531689,-211.32208,231.19077,-0.24440747
14.999,-0.11562748,0.023104992,0.023104992,93.695633,0.43506065,144.89395,-147.45647,2352.896,0.43506065,-0.078228086,-0.078228086,2352.896,-4.1462526,-245.76079,185.74213,-0.11562748
15,0.024472933,-0.0021884595,-0.0021884595,126.76909,0.44950148,121.91969,-153.69812,2353.053,0.44950148,-0.081539385,-0.081539385,2353.053,-51.418579,-256.16351,122.12762,0.024472933
15.001,0.16217983,-0.027267821,-0.027267821,147.4442,0.41994193,87.021477,-144.90776,2353.21,0.41994193,-0.076875955,-0.076875955,2353.21,-93.661964,-241.51292,46.568928,0.16217983
15.002,0.28401339,-0.049680281,-0.049680281,153.69891,0.34927487,43.612465,-121.94514,2353.3669,0.34927487,-0.064693905,-0.064693905,2353.3669,-126.74493,-203.2419,-33.544147,0.28401339
15.003,0.37804744,-0.06723386,-0.06723386,144.92155,0.2444171,-4.0618453,-87.056084,2353.5239,0.2444171,-0.046184689,-0.046184689,2353.5239,-147.4319,-145.09348,-110.37637,0.37804744
15.004,0.43507671,-0.078211792,-0.078211792,121.97057,0.11563237,-51.338799,-43.652836,2353.6809,0.11563237,-0.023158548,-0.023158548,2353.6809,-153.69969,-72.754723,-176.41338,0.43507671
15.005,0.44951826,-0.081540421,-0.081540421,87.090668,-0.024473235,-93.594604,4.0196548,2353.8379,-0.024473235,0.0021324931,0.0021324931,2353.8379,-144.93532,6.6994247,-225.19666,0.44951826
15.006,0.41995782,-0.076894216,-0.076894216,43.693192,-0.16218531,-126.69657,51.298908,2353.9946,-0.16218531,0.027214916,0.027214916,2353.9946,-121.99598,85.498184,-251.95512,0.41995782
15.007,0.34928828,-0.064727612,-0.064727612,-3.977473,-0.28402352,-147.40727,93.560913,2354.1516,-0.28402352,0.049635608,0.049635608,2354.1516,-87.125229,155.93486,-254.07178,0.34928828
15.008,0.24442673,-0.046230536,-0.046230536,-51.259022,-0.37806118,-153.70117,126.67237,2354.3086,-0.37806118,0.067201778,0.067201778,2354.3086,-43.733532,211.12062,-231.33968,0.24442673
15.009,0.11563729,-0.023212057,-0.023212057,-93.527214,-0.43509278,-144.96277,147.39491,2354.4656,-0.43509278,0.07819543,0.07819543,2354.4656,3.9352949,245.65819,-185.98212,0.11563729
15.01,-0.024473522,0.0020765502,0.0020765502,-126.64815,-0.44953507,-122.04672,153.70189,2354.6226,-0.44953507,0.081541382,0.081541382,2354.6226,51.219124,256.1698,-122.43523,-0.024473522
15.011,-0.16219077,0.027162004,0.027162004,-147.38254,-0.4199737,-87.194305,144.97646,2354.7795,-0.4199737,0.076912403,0.076912403,2354.7795,93.493492,241.62743,-46.914078,-0.16219077
15.012,-0.28403363,0.049590893,0.049590893,-153.70256,-0.3493017,-43.81419,122.07206,2354.9365,-0.3493017,0.064761244,0.064761244,2354.9365,126.6239,203.45343,33.195171,-0.28403363
15.013,-0.37807494,0.067169629,0.067169629,-144.99014,-0.24443637,3.8509274,87.228828,2355.0935,-0.24443637,0.046276331,0.046276331,2355.0935,147.37015,145.38138,110.05766,-0.37807494
15.014,-0.43510884,0.078178994,0.078178994,-122.0974,-0.11564221,51.139294,43.854519,2355.2505,-0.11564221,0.023265546,0.023265546,2355.2505,153.70322,73.090866,176.15608,-0.43510884
15.015,-0.44955185,0.081542268,0.081542268,-87.263351,0.024473799,93.42601,-3.8087301,2355.4075,0.024473799,-0.002020594,-0.002020594,2355.4075,145.0038,-6.3478832,225.02591,-0.44955185
15.016,-0.41998959,0.076930523,0.076930523,-43.894859,0.16219622,126.57536,-51.099358,2355.5645,0.16219622,-0.027109051,-0.027109051,2355.5645,122.12273,-85.165596,251.8876,-0.41998959
15.017,-0.34931514,0.064794838,0.064794838,3.7665248,0.2840437,147.34529,-93.392242,2355.7214,0.2840437,-0.049546123,-0.049546123,2355.7214,87.297874,-155.65373,254.11412,-0.34931514
15.018,-0.24444604,0.046322118,0.046322118,51.059414,0.37808868,153.70451,-126.55106,2355.8784,0.37808868,-0.067137428,-0.067137428,2355.8784,43.935204,-210.91844,231.48778,-0.24444604
15.019,-0.11564716,0.023319049,0.023319049,93.358467,0.4351249,145.0311,-147.33286,2356.0354,0.4351249,-0.078162506,-0.078162506,2356.0354,-3.724314,-245.55476,186.2215,-0.11564716
15.02,0.024474053,-0.0019646126,-0.0019646126,126.52677,0.44956866,122.17339,-153.70515,2356.1924,0.44956866,-0.081543118,-0.081543118,2356.1924,-51.019463,-256.17526,122.74251,0.024474053
15.021,0.16220166,-0.027056068,-0.027056068,147.3204,0.4200055,87.366913,-145.04474,2356.3494,0.4200055,-0.076948628,-0.076948628,2356.3494,-93.324684,-241.74124,47.259201,0.16220166
15.022,0.2840538,-0.049501322,-0.049501322,153.70576,0.34932858,44.015877,-122.19869,2356.5063,0.34932858,-0.064828418,-0.064828418,2356.5063,-126.50246,-203.66449,-32.845955,0.2840538
15.023,0.37810242,-0.067105189,-0.067105189,145.05836,0.24445572,-3.6399004,-87.401421,2356.6633,0.24445572,-0.046367895,-0.046367895,2356.6633,-147.30795,-145.66904,-109.73851,0.37810242
15.024,0.43514097,-0.078145988,-0.078145988,122.22398,0.11565213,-50.939568,-44.056194,2356.8203,0.11565213,-0.023372537,-0.023372537,2356.8203,-153.70636,-73.426987,-175.89821,0.43514097
15.025,0.44958547,-0.081543922,-0.081543922,87.435905,-0.024474284,-93.257118,3.5977066,2356.9773,-0.024474284,0.0019086426,0.0019086426,2356.9773,-145.07198,5.9961777,-224.85455,0.44958547
15.026,0.42002141,-0.076966673,-0.076966673,44.096497,-0.16220705,-126.45381,50.89962,2357.1343,-0.16220705,0.027003087,0.027003087,2357.1343,-122.24925,84.832703,-251.8195,0.42002141
15.027,0.34934205,-0.064861938,-0.064861938,-3.5555217,-0.28406385,-147.28297,93.22332,2357.2913,-0.28406385,0.049456507,0.049456507,2357.2913,-87.470367,155.37221,-254.15593,0.34934205
15.028,0.24446541,-0.046413608,-0.046413608,-50.859673,-0.37811613,-153.7075,126.42947,2357.4482,-0.37811613,0.067072913,0.067072913,2357.4482,-44.136787,210.71577,-231.63535,0.24446541
15.029,0.11565711,-0.023425976,-0.023425976,-93.189514,-0.435157,-145.09909,147.27045,2357.6052,-0.435157,0.078129403,0.078129403,2357.6052,3.5133417,245.45076,-186.4604,0.11565711
15.03,-0.024474502,0.0018526963,0.0018526963,-126.4051,-0.44960228,-122.29971,153.70802,2357.7622,-0.44960228,0.081544645,0.081544645,2357.7622,50.819721,256.18005,-123.04939,-0.024474502
