"Time","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimsM.ir[1]","aims3.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aims3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertiaM.phi","aimsM.ir[2]","aimsM.ir[3]","aimsM.is[3]","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimsM.ir[4]","aims3.ir[1]","aimsM.is[2]","aims3.ir[2]","aims3.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aims3.is[2]","aimsM.is[4]","aims3.is[1]","aims3.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","loadInertia3.w","loadInertiaM.w","aimsM.rotor.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","loadInertia3.phi","aimsM.is[1]"
1.0016,0.38384771,-81.676666,0.42057607,0.38384777,99.8759,-32.742012,61.44099,-54.55386,0.42059091,0.2165534,70.71463,-136.11703,-82.474228,56.584396,-0.020175721,-129.83145,48.758087,5.9697523,0.21655343,133.43143,133.43178,-0.019861702,99.875526,3.5819836
1.0017,0.37686682,-82.897797,0.42052156,0.37686688,99.889244,-33.544212,62.166332,-57.68993,0.42053685,0.22839537,71.965118,-138.15167,-82.437202,56.95562,-0.020724405,-133.88918,46.782864,11.234638,0.22839539,133.43962,133.43997,-0.020410374,99.88887,6.7409377
1.0017999,0.36951953,-84.103294,0.42046404,0.36951959,99.902588,-34.34877,62.874584,-60.799622,0.42047974,0.24000652,73.207405,-140.16023,-82.264282,57.302917,-0.021281177,-137.81567,44.688046,16.595539,0.24000654,133.44826,133.44862,-0.020967137,99.902214,9.9575014
1.0019,0.3618134,-85.293335,0.42040348,0.36181343,99.915939,-35.155781,63.565868,-63.877758,0.4204196,0.25137562,74.44165,-142.14304,-81.954758,57.626377,-0.021845933,-141.60373,42.476135,22.044546,0.25137565,133.45735,133.4577,-0.021531885,99.915565,13.22693
1.002,0.35375616,-86.46817,0.42033979,0.35375619,99.929283,-35.965416,64.240326,-66.919296,0.42035636,0.26249173,75.668121,-144.10046,-81.508163,57.92606,-0.022418572,-145.2464,40.149761,27.573755,0.26249176,133.46686,133.46722,-0.022104518,99.928909,16.544481
1.0021,0.34535626,-87.627792,0.42027298,0.34535629,99.942627,-36.777599,64.897987,-69.918915,0.42028996,0.27334395,76.886757,-146.03253,-80.92408,58.202072,-0.02299899,-148.7365,37.711819,33.174713,0.27334398,133.47681,133.47717,-0.022684932,99.942253,19.905081
1.0022,0.33662224,-88.772339,0.42020291,0.3366223,99.955978,-37.592381,65.538971,-72.871536,0.42022035,0.28392175,78.097694,-147.93947,-80.202408,58.454517,-0.023587089,-152.06731,35.165318,38.839077,0.28392178,133.48718,133.48755,-0.023273028,99.955605,23.303728
1.0023,0.32756293,-89.902138,0.4201296,0.32756299,99.96933,-38.409901,66.163513,-75.772331,0.42014748,0.29421511,79.301201,-149.82182,-79.343307,58.68362,-0.024182769,-155.23265,32.513428,44.558598,0.29421514,133.49797,133.49834,-0.023868708,99.968956,26.73547
1.0024,0.31818768,-91.017159,0.42005295,0.31818771,99.982674,-39.230106,66.771622,-78.616142,0.4200713,0.30421391,80.497238,-151.67953,-78.346931,58.889408,-0.024785928,-158.22597,29.759483,50.324558,0.30421394,133.50917,133.50954,-0.02447187,99.982307,30.195076
1.0025001,0.30850601,-92.117508,0.41997296,0.30850604,99.996025,-40.053024,67.363373,-81.398056,0.41999176,0.31390843,81.685883,-153.51277,-77.213715,59.071976,-0.025396474,-161.04112,26.906946,56.128311,0.31390849,133.52078,133.52115,-0.025082419,99.995659,33.677357
1.0026,0.29852757,-93.203583,0.41988954,0.2985276,100.00938,-40.878822,67.939079,-84.113533,0.41990882,0.32328963,82.867485,-155.32222,-75.944435,59.231606,-0.026014306,-163.67278,23.959412,61.961483,0.32328966,133.53279,133.53316,-0.025700256,100.00901,37.177292
1.0027,0.28826258,-94.275352,0.41980267,0.28826261,100.02274,-41.707439,68.498734,-86.757668,0.41982239,0.33234826,84.041985,-157.1078,-74.539833,59.368328,-0.026639329,-166.11507,20.920647,67.815132,0.33234829,133.54521,133.54556,-0.026325287,100.02236,40.689518
1.0028,0.27772146,-95.332878,0.41971225,0.27772149,100.03609,-42.538868,69.042412,-89.325745,0.41973248,0.34107554,85.209427,-158.86964,-73.000893,59.482246,-0.027271451,-168.36255,17.794548,73.680405,0.3410756,133.55801,133.55836,-0.026957417,100.03572,44.208714
1.0029,0.26691467,-96.37661,0.41961828,0.2669147,100.04945,-43.373287,69.570442,-91.813545,0.41963899,0.3494634,86.370186,-160.60849,-71.328972,59.573673,-0.027910575,-170.41071,14.585082,79.548851,0.34946346,133.5712,133.57156,-0.027596552,100.04907,47.729816
1.003,0.25585321,-97.406509,0.41952068,0.25585321,100.06281,-44.210621,70.08284,-94.216454,0.4195419,0.35750359,87.5242,-162.32426,-69.525391,59.64267,-0.02855661,-172.25444,11.29642,85.411423,0.35750365,133.58478,133.58514,-0.028242599,100.06243,51.247398
1.0031,0.24454828,-98.42263,0.41941941,0.24454831,100.07616,-45.050846,70.579674,-96.530037,0.41944113,0.36518842,88.671486,-164.01707,-67.591682,59.689354,-0.029209461,-173.88911,7.9328413,91.259163,0.36518848,133.59874,133.59909,-0.028895469,100.07579,54.756077
1.0032001,0.23301113,-99.425316,0.41931444,0.23301114,100.08952,-45.894077,71.061218,-98.750298,0.41933665,0.37251067,89.812325,-165.68747,-65.529709,59.713978,-0.029869042,-175.31084,4.4986668,97.083488,0.37251073,133.61307,133.61342,-0.029555069,100.08915,58.25071
1.0033,0.22125338,-100.41463,0.4192057,0.2212534,100.10289,-46.74028,71.52755,-100.87306,0.4192284,0.37946329,90.946739,-167.33559,-63.341377,59.716694,-0.030535264,-176.51552,0.99839628,102.87547,0.37946334,133.62776,133.62813,-0.03022131,100.10252,61.725941
1.0034,0.20928688,-101.3907,0.41909313,0.2092869,100.11625,-47.589451,71.978806,-102.89435,0.41911635,0.38603967,92.074799,-168.96159,-61.028828,59.69767,-0.031208033,-177.4995,-2.563374,108.62627,0.38603973,133.64282,133.64319,-0.030894101,100.11588,65.176453
1.0035,0.19712357,-102.35371,0.41897666,0.19712359,100.12962,-48.441624,72.415146,-104.81036,0.41900042,0.39223361,93.196648,-170.56586,-58.594364,59.657089,-0.031887263,-178.25948,-6.1819968,114.32719,0.3922337,133.65825,133.65862,-0.031573359,100.12924,68.597046
1.0036,0.18477562,-103.30385,0.41885632,0.18477564,100.14298,-49.29681,72.836746,-106.61742,0.41888061,0.39803931,94.312393,-172.14862,-56.040474,59.595169,-0.032572873,-178.79245,-9.8527107,119.96954,0.39803937,133.67403,133.67439,-0.032258995,100.14261,71.982498
1.0037,0.17225538,-104.24126,0.41873199,0.17225538,100.15635,-50.155003,73.243767,-108.31198,0.41875681,0.40345126,95.422142,-173.71019,-53.369827,59.512138,-0.033264771,-179.09572,-13.570662,125.54467,0.40345135,133.69017,133.69052,-0.032950923,100.15598,75.327621
1.0038,0.15957533,-105.16611,0.41860366,0.15957533,100.16972,-51.016205,73.636368,-109.89066,0.41862899,0.40846446,96.525986,-175.25081,-50.585224,59.408184,-0.033962876,-179.16681,-17.330938,131.04402,0.40846455,133.70665,133.70702,-0.033649057,100.16935,78.627274
1.0039001,0.14674813,-106.07858,0.41847125,0.14674813,100.18309,-51.880424,74.014709,-111.35018,0.41849715,0.4130742,97.624031,-176.77077,-47.689636,59.283516,-0.034667101,-179.00363,-21.128557,136.45911,0.41307428,133.72346,133.72383,-0.03435332,100.18272,81.876366
1.0039999,0.13378656,-106.97881,0.41833475,0.13378654,100.19646,-52.747643,74.378975,-112.68747,0.41836116,0.41727626,98.716377,-178.27034,-44.686226,59.138397,-0.035377368,-178.60443,-24.95846,141.78154,0.41727632,133.74063,133.741,-0.035063624,100.19609,85.069862
1.0041,0.12070352,-107.867,0.41819409,0.1207035,100.20984,-53.617855,74.729347,-113.89959,0.41822103,0.42106673,99.803131,-179.74983,-41.578281,58.973049,-0.036093593,-177.9677,-28.815536,147.00302,0.42106682,133.75813,133.7585,-0.035779893,100.20947,88.202797
1.0042,0.10751204,-108.74328,0.41804919,0.10751203,100.22321,-54.491051,75.065956,-114.98373,0.41807672,0.42444214,100.88436,-181.20944,-38.369221,58.78767,-0.036815699,-177.09222,-32.694633,152.11537,0.42444226,133.77597,133.77634,-0.036502041,100.22284,91.270248
1.0043,0.09422525,-109.60781,0.41790009,0.09422522,100.2366,-55.367199,75.389008,-115.93728,0.41792816,0.42739952,101.96017,-182.64949,-35.062641,58.58252,-0.037543606,-175.97717,-36.590538,157.11052,0.42739961,133.79413,133.79449,-0.037229996,100.23622,94.267372
1.0044,0.080856346,-110.46076,0.41774663,0.080856308,100.24998,-56.246277,75.698647,-116.75777,0.41777527,0.42993614,103.03062,-184.07021,-31.662273,58.357841,-0.038277235,-174.62201,-40.498001,161.98051,0.42993626,133.81261,133.81297,-0.037963673,100.2496,97.189415
1.0045,0.067418598,-111.30227,0.41758889,0.06741856,100.26336,-57.128277,75.995056,-117.44293,0.4176181,0.43204984,104.0958,-185.47186,-28.171961,58.11385,-0.039016511,-173.02646,-44.411762,166.71758,0.43204996,133.83142,133.83177,-0.038702998,100.26299,100.0317
1.0046,0.053925361,-112.1325,0.41742674,0.053925321,100.27674,-58.013149,76.278397,-117.99062,0.41745651,0.4337388,105.15579,-186.85469,-24.595705,57.850803,-0.039761353,-171.19064,-48.326508,171.31407,0.43373889,133.85054,133.85091,-0.0394479,100.27637,102.78963
1.0046999,0.04039003,-112.95158,0.41726014,0.040389985,100.29013,-58.900864,76.548843,-118.3989,0.41729051,0.43500161,106.21065,-188.21895,-20.937626,57.568947,-0.040511698,-169.11496,-52.236916,175.7625,0.4350017,133.86996,133.87033,-0.0401983,100.28976,105.45873
1.0048,0.026826004,-113.75968,0.41708907,0.02682595,100.30351,-59.791397,76.806572,-118.666,0.41712001,0.4358373,107.26047,-189.5649,-17.201948,57.26852,-0.041267458,-166.80011,-56.137672,180.05556,0.43583742,133.88971,133.89008,-0.040954124,100.30314,108.03461
1.0049,0.013246727,-114.55695,0.41691351,0.013246666,100.3169,-60.6847,77.05175,-118.79035,0.41694501,0.43624538,108.3053,-190.89278,-13.393042,56.949783,-0.042028569,-164.24715,-60.023434,184.18614,0.43624547,133.90976,133.91013,-0.041715298,100.31653,110.513
1.005,-0.0003343515,-115.34354,0.41673335,-0.00033441908,100.3303,-61.580727,77.284561,-118.77055,0.41676548,0.43622568,109.34521,-192.20285,-9.5153799,56.613014,-0.042794958,-161.45746,-63.888859,188.14728,0.4362258,133.93011,133.93048,-0.042481754,100.32993,112.88972
1.0051,-0.013903802,-116.1196,0.41654861,-0.013903877,100.34369,-62.479454,77.505173,-118.60537,0.41658133,0.4357785,110.38028,-193.49535,-5.5735102,56.258434,-0.043566555,-158.43268,-67.728638,191.93227,0.43577862,133.95076,133.95113,-0.043253422,100.34332,115.16075
1.0052,-0.027448209,-116.88527,0.41635922,-0.027448291,100.35709,-63.380814,77.713768,-118.29379,0.41639253,0.43490458,111.41056,-194.77054,-1.5721209,55.886341,-0.044343285,-155.17482,-71.537468,195.53456,0.43490469,133.97171,133.97208,-0.044030227,100.35671,117.32217
1.0053,-0.040954191,-117.64071,0.41616517,-0.040954281,100.37048,-64.284752,77.910545,-117.83499,0.41619906,0.43360505,112.43612,-196.02867,2.4840114,55.497025,-0.045125086,-151.68622,-75.310043,198.94788,0.43360516,133.99295,133.99332,-0.044812102,100.37011,119.37019
1.0053999,-0.054408409,-118.38605,0.41596636,-0.054408506,100.38389,-65.191231,78.095657,-117.22829,0.41600087,0.43188149,113.457,-197.26997,6.5900583,55.09071,-0.045911886,-147.96942,-79.041122,202.16609,0.43188158,134.01448,134.01485,-0.045598984,100.38351,121.30116
1.0055,-0.067797586,-119.12146,0.41576281,-0.067797691,100.39729,-66.100189,78.269295,-116.47322,0.41579792,0.42973581,114.47327,-198.49471,10.741075,54.667702,-0.046703618,-144.02737,-82.725487,205.18338,0.42973593,134.0363,134.03667,-0.046390798,100.39691,123.11157
1.0056,-0.081108525,-119.84708,0.41555443,-0.081108637,100.4107,-67.011551,78.431656,-115.56955,0.41559017,0.42717049,115.48499,-199.70311,14.932038,54.228291,-0.047500219,-139.8633,-86.357948,207.99413,0.4271706,134.0584,134.05876,-0.047187485,100.41032,124.79806
1.0057,-0.094328105,-120.56303,0.41534123,-0.094328225,100.4241,-67.92527,78.582909,-114.51716,0.41537759,0.42418826,116.49218,-200.89542,19.157887,53.772739,-0.048301622,-135.48071,-89.93338,210.59296,0.42418838,134.08078,134.08115,-0.047988977,100.42373,126.35738
1.0058,-0.1074433,-121.26948,0.41512316,-0.10744342,100.43751,-68.841286,78.723228,-113.31616,0.41516012,0.42079234,117.49491,-202.07184,23.413475,53.301327,-0.049107764,-130.88339,-93.446716,212.97475,0.42079246,134.10344,134.10381,-0.048795212,100.43713,127.78649
1.0059,-0.12044119,-121.96655,0.41490015,-0.12044133,100.45092,-69.759506,78.852806,-111.96687,0.41493776,0.41698641,118.49322,-203.23265,27.693596,52.814354,-0.049918581,-126.07545,-96.892929,215.13464,0.41698653,134.12636,134.12674,-0.049606126,100.45055,129.08246
1.006,-0.13330901,-122.65438,0.41467223,-0.13330916,100.46433,-70.679878,78.971817,-110.46976,0.41471043,0.41277441,119.48714,-204.37805,31.993008,52.312099,-0.050734013,-121.06127,-100.26707,217.06805,0.4127745,134.14957,134.14993,-0.050421655,100.46396,130.24254
1.0061001,-0.14603408,-123.33311,0.41443929,-0.14603423,100.47775,-71.602325,79.080437,-108.82552,0.41447815,0.40816075,120.47672,-205.50827,36.306423,51.794838,-0.051553994,-115.8455,-103.56429,218.77066,0.40816087,134.17303,134.17342,-0.051241744,100.47738,131.26413
1.0062,-0.15860391,-124.00286,0.41420135,-0.15860407,100.49117,-72.526764,79.178856,-107.03501,0.41424084,0.40315029,121.46199,-206.62352,40.628498,51.262882,-0.052378468,-110.43306,-106.77977,220.23842,0.40315041,134.19678,134.19714,-0.052066326,100.4908,132.14481
1.0063,-0.17100614,-124.66378,0.41395834,-0.17100632,100.50459,-73.453117,79.267258,-105.09929,0.41399848,0.39774823,122.44297,-207.72404,44.953876,50.716511,-0.053207375,-104.82917,-109.90881,221.46758,0.39774832,134.22078,134.22115,-0.052895345,100.50422,132.88231
1.0064,-0.18322863,-125.31598,0.41371027,-0.18322881,100.51801,-74.381317,79.345802,-103.01959,0.41375107,0.39196008,123.41972,-208.81003,49.277184,50.156002,-0.054040659,-99.039261,-112.94679,222.45462,0.39196017,134.24504,134.24542,-0.053728741,100.51764,133.47456
1.0065,-0.19525936,-125.95959,0.41345707,-0.19525954,100.53144,-75.311256,79.41468,-100.79736,0.41349852,0.38579184,124.39223,-209.88171,53.593006,49.581669,-0.054878253,-93.069061,-115.8892,223.19643,0.38579196,134.26956,134.26994,-0.054566454,100.53107,133.91966
1.0066,-0.20708655,-126.59476,0.41319874,-0.20708674,100.54487,-76.242867,79.474083,-98.434212,0.41324085,0.37924984,125.36055,-210.9393,57.895924,48.993809,-0.055720113,-86.924553,-118.73161,223.69006,0.37924996,134.29434,134.29472,-0.055408433,100.54449,134.21587
1.0067,-0.21869861,-127.22159,0.41293523,-0.21869881,100.5583,-77.176056,79.524162,-95.931931,0.41297799,0.37234077,126.32469,-211.98297,62.180538,48.392693,-0.056566175,-80.6119,-121.46973,223.93297,0.37234086,134.31938,134.31975,-0.056254622,100.55792,134.36162
1.0068001,-0.23008417,-127.84019,0.41266653,-0.23008439,100.57173,-78.110725,79.565109,-93.292511,0.41270992,0.36507165,127.28467,-213.01295,66.441414,47.778641,-0.057416383,-74.137558,-124.09936,223.92285,0.36507174,134.34467,134.34503,-0.05710496,100.57136,134.35556
1.0069,-0.24123211,-128.45071,0.41239259,-0.24123234,100.58517,-79.046783,79.597122,-90.518105,0.41243666,0.35744992,128.24051,-214.02945,70.673141,47.151958,-0.058270685,-67.508217,-126.61641,223.65776,0.35745001,134.37019,134.37057,-0.057959393,100.58479,134.19652
1.007,-0.25213152,-129.05325,0.4121134,-0.25213176,100.59861,-79.984146,79.620338,-87.611038,0.41215813,0.34948331,129.19221,-215.03264,74.870346,46.512909,-0.05912903,-60.730717,-129.01695,223.13599,0.3494834,134.39597,134.39635,-0.058817875,100.59823,133.88345
1.0071,-0.26277176,-129.64793,0.41182891,-0.26277199,100.61205,-80.922699,79.634964,-84.573822,0.41187432,0.34117988,130.13982,-216.02272,79.027649,45.861813,-0.05999136,-53.812172,-131.29715,222.35622,0.34117997,134.422,134.42238,-0.059680346,100.61167,133.41559
1.0072,-0.27314246,-130.23488,0.41153914,-0.2731427,100.62549,-81.862343,79.641167,-81.409149,0.41158521,0.33254808,131.08328,-216.99989,83.139694,45.198986,-0.060857628,-46.759892,-133.45332,221.3174,0.33254817,134.44826,134.44864,-0.060546756,100.62511,132.79231
1.0073,-0.28323346,-130.81416,0.411244,-0.2832337,100.63894,-82.802994,79.639099,-78.119835,0.41129076,0.3235966,132.02266,-217.96431,87.201202,44.524685,-0.061727777,-39.581329,-135.48192,220.0188,0.32359669,134.47476,134.47514,-0.061417054,100.63857,132.01314
1.0074,-0.29303497,-131.38593,0.41094354,-0.29303524,100.65239,-83.74453,79.62896,-74.708908,0.41099098,0.31433451,132.95793,-218.91618,91.206886,43.83923,-0.06260176,-32.284176,-137.37953,218.46001,0.31433457,134.50151,134.50189,-0.06229119,100.65201,131.07787
1.0075001,-0.30253744,-131.95027,0.41063768,-0.30253771,100.66584,-84.686844,79.610916,-71.17955,0.41068581,0.30477113,133.8891,-219.85568,95.151527,43.142937,-0.063479528,-24.876295,-139.14291,216.64096,0.30477116,134.52849,134.52887,-0.063169114,100.66547,129.98643
1.0075999,-0.31173161,-132.50728,0.41032645,-0.3117319,100.67929,-85.629852,79.585121,-67.535065,0.41037524,0.29491606,134.81616,-220.78296,99.029984,42.436073,-0.064361028,-17.365669,-140.76895,214.56186,0.29491609,134.55569,134.55608,-0.064050771,100.67892,128.73895
1.0077,-0.32060859,-133.05707,0.41000977,-0.32060888,100.69275,-86.573418,79.55175,-63.778942,0.41005927,0.28477925,135.73911,-221.6982,102.83714,41.718941,-0.065246217,-9.760479,-142.25468,212.22325,0.28477931,134.58315,134.58353,-0.064936124,100.69238,127.33578
1.0078,-0.32915971,-133.59973,0.40968767,-0.32916,100.70621,-87.517448,79.510986,-59.914822,0.40973788,0.27437091,136.65793,-222.60156,106.56795,40.991859,-0.066135041,-2.0690603,-143.59734,209.62604,0.27437094,134.61081,134.61119,-0.06582512,100.70583,125.77744
1.0079,-0.33737671,-134.13538,0.40936011,-0.33737704,100.71967,-88.461815,79.462967,-55.946465,0.40941101,0.26370144,137.57263,-223.49321,110.21746,40.2551,-0.067027457,5.7001538,-144.79428,206.77135,0.26370147,134.63872,134.6391,-0.066717707,100.7193,124.06461
1.008,-0.34525165,-134.66408,0.4090271,-0.34525198,100.73314,-89.406425,79.407875,-51.877792,0.40907869,0.25278154,138.48318,-224.37331,113.7808,39.508957,-0.067923419,13.538582,-145.84303,203.66071,0.25278157,134.66684,134.66722,-0.067613848,100.73277,122.1982
1.0081,-0.35277689,-135.18594,0.40868858,-0.35277724,100.7466,-90.351143,79.345871,-47.712872,0.40874088,0.24162221,139.38959,-225.24199,117.25315,38.753742,-0.068822883,21.437506,-146.74133,200.29593,0.24162222,134.69519,134.69557,-0.068513483,100.74623,120.17931
1.0082,-0.35994518,-135.70107,0.40834457,-0.35994554,100.76008,-91.29586,79.277115,-43.455875,0.40839756,0.23023458,140.29181,-226.0994,120.62981,37.989738,-0.069725789,29.388132,-147.48703,196.67915,0.23023459,134.72377,134.72415,-0.069416583,100.7597,118.0092
1.0082999,-0.36674961,-136.20949,0.40799505,-0.36674997,100.77355,-92.240463,79.201752,-39.111111,0.40804875,0.21863006,141.18983,-226.94569,123.90619,37.21722,-0.070632115,37.381569,-148.07819,192.81277,0.21863005,134.75256,134.75294,-0.070323087,100.77318,115.68935
1.0084,-0.37318361,-136.71135,0.40763998,-0.37318397,100.78703,-93.184822,79.119957,-34.683029,0.40769437,0.20682023,142.08365,-227.78102,127.07775,36.436504,-0.071541794,45.408802,-148.51305,188.6996,0.20682022,134.78157,134.78195,-0.071232967,100.78665,113.2214
1.0085,-0.37924105,-137.2067,0.40727937,-0.37924141,100.80051,-94.128822,79.031883,-30.176176,0.40733448,0.19481692,142.97322,-228.6055,130.14011,35.647873,-0.072454803,53.460777,-148.79001,184.34264,0.1948169,134.81081,134.81119,-0.072146162,100.80013,110.60719
1.0086,-0.38491607,-137.69562,0.40691319,-0.38491645,100.81399,-95.07235,78.937668,-25.595203,0.40696904,0.18263209,143.85852,-229.41925,133.08897,34.851593,-0.073371083,61.528381,-148.90767,179.74525,0.18263206,134.84024,134.84062,-0.073062651,100.81361,107.84871
1.0087,-0.39020327,-138.17818,0.40654147,-0.39020365,100.82748,-96.015266,78.837479,-20.944897,0.40659803,0.17027791,144.73952,-230.22243,135.92017,34.04797,-0.074290603,69.602409,-148.86482,174.91112,0.17027786,134.8699,134.87029,-0.073982365,100.8271,104.94818
1.0088,-0.39509761,-138.65448,0.40616417,-0.39509803,100.84097,-96.957458,78.731468,-16.230127,0.40622148,0.1577667,145.61618,-231.01514,138.62967,33.237293,-0.075213313,77.673637,-148.66043,169.84418,0.15776664,134.89977,134.90015,-0.074905284,100.84058,101.90797
1.0089,-0.39959446,-139.12456,0.4057813,-0.39959487,100.85445,-97.898804,78.619766,-11.455844,0.40583932,0.14511092,146.48849,-231.7975,141.21353,32.419807,-0.076139167,85.732826,-148.29362,164.54866,0.14511085,134.92984,134.93024,-0.075831361,100.85408,98.730606
1.0089999,-0.40368956,-139.5885,0.40539283,-0.40368995,100.86795,-98.839165,78.502533,-6.6271172,0.4054516,0.13232318,147.3564,-232.56961,143.668,31.595821,-0.077068143,93.770683,-147.76378,159.02911,0.13232309,134.96013,134.96053,-0.076760545,100.86758,95.418823
