"time","revolute.phi","revolute.w","rotor1D.phi","rotor1D.w"
0.83050000000000002,0.077168184687057009,0.041015999592180372,0.077168184687057009,0.041015999592180372
0.83072000000000001,0.077177196912107907,0.040919810323105453,0.077177196912107907,0.040919810323105453
0.83094000000000001,0.077186187984048721,0.040823694912926464,0.077186187984048721,0.040823694912926464
0.83116000000000001,0.077195157919239102,0.040727653545165984,0.077195157919239102,0.040727653545165984
0.83138000000000001,0.077204106734081054,0.040631686403201722,0.077204106734081054,0.040631686403201722
0.83160000000000001,0.077213034445018855,0.040535793670266197,0.077213034445018855,0.040535793670266197
0.83182,0.077221941068539218,0.040439975529446351,0.077221941068539218,0.040439975529446351
0.83204,0.077230826621171131,0.040344232163683089,0.077230826621171131,0.040344232163683089
0.83226,0.077239691119485976,0.040248563755770982,0.077239691119485976,0.040248563755770982
0.83248,0.077248534580097339,0.040152970488357802,0.077248534580097339,0.040152970488357802
0.8327,0.077257357019661202,0.040057452543944147,0.077257357019661202,0.040057452543944147
0.83291999999999999,0.077266158454875736,0.039962010104883067,0.077266158454875736,0.039962010104883067
0.83313999999999999,0.07727493890248148,0.039866643353379659,0.07727493890248148,0.039866643353379659
0.83335999999999999,0.077283698379261162,0.039771352471490669,0.077283698379261162,0.039771352471490669
0.83357999999999999,0.07729243690203981,0.039676137641124105,0.07729243690203981,0.039676137641124105
0.83379999999999999,0.077301154487684695,0.039580999044038834,0.077301154487684695,0.039580999044038834
0.83401999999999998,0.077309851153105277,0.039485936861844227,0.077309851153105277,0.039485936861844227
0.83423999999999998,0.077318526915253261,0.039390951275999724,0.077318526915253261,0.039390951275999724
0.83445999999999998,0.077327181791122565,0.03929604246781445,0.077327181791122565,0.03929604246781445
0.83467999999999998,0.077335815797749244,0.03920121061844685,0.077335815797749244,0.03920121061844685
0.83489999999999998,0.077344428952211663,0.039106455908904249,0.077344428952211663,0.039106455908904249
0.83512000000000008,0.077353021271630198,0.039011778520042464,0.077353021271630198,0.039011778520042464
0.83534000000000008,0.077361592773167537,0.038917178632565566,0.077361592773167537,0.038917178632565566
0.83556000000000008,0.077370143474028402,0.038822656427025211,0.077370143474028402,0.038822656427025211
0.83578000000000008,0.077378673391459749,0.038728212083820442,0.077378673391459749,0.038728212083820442
0.83600000000000008,0.077387182542750566,0.03863384578319725,0.077387182542750566,0.03863384578319725
0.83622000000000007,0.077395670945232017,0.038539557705248188,0.077395670945232017,0.038539557705248188
0.83644000000000007,0.077404138616277374,0.038445348029911938,0.077404138616277374,0.038445348029911938
0.83666000000000007,0.077412585573301926,0.038351216936972986,0.077412585573301926,0.038351216936972986
0.83688000000000007,0.077421011833763168,0.038257164606061163,0.077421011833763168,0.038257164606061163
0.83710000000000007,0.077429417415160615,0.038163191216651314,0.077429417415160615,0.038163191216651314
0.83732000000000006,0.077437802335035777,0.038069296948062839,0.077437802335035777,0.038069296948062839
0.83754000000000006,0.077446166610972283,0.037975481979459373,0.077446166610972283,0.037975481979459373
0.83776000000000006,0.077454510260595771,0.037881746489848322,0.077454510260595771,0.037881746489848322
0.83798000000000006,0.077462833301573927,0.03778809065808051,0.077462833301573927,0.03778809065808051
0.83820000000000006,0.077471135751616391,0.037694514662849808,0.077471135751616391,0.037694514662849808
0.83842000000000005,0.07747941762847492,0.037601018682692708,0.07747941762847492,0.037601018682692708
0.83864000000000005,0.077487678949943115,0.037507602895987889,0.077487678949943115,0.037507602895987889
0.83886000000000005,0.07749591973385668,0.037414267480955943,0.07749591973385668,0.037414267480955943
0.83908000000000005,0.077504139998093233,0.037321012615658872,0.077504139998093233,0.037321012615658872
