"time","capacitor1.v","capacitor2.v","filter.x[1]","filter.x[2]","smee.is[1]","smee.is[2]","smee.excitation.electroMagneticConverter.Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","smee.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","speed.phi","speed.w","voltageController.I.y"
0.64480000000000004,114.88510932222827,114.88510932320669,244.86494908672367,244.45727197122531,41.33264850444894,-114.66860973180094,-0.40025089199023611,-0.37674959570809469,0.33988397264681902,-0.3725038332041089,-0.32083582157915236,101.28494715173203,157.07963267948966,100.85773019903334
0.64485000000000003,114.3199861274198,114.3199861283984,244.71251657999869,244.46050521961328,45.68182407099755,-114.09813236012332,-0.40025409001306311,-0.37675698061921392,0.33984163877219031,-0.36861845189708659,-0.32761297471700285,101.29280113336601,157.07963267948966,100.85780678486404
0.64490000000000003,113.74154045359289,113.74154045457168,244.55043537594375,244.4621761938842,50.213405382765906,-113.51432556938873,-0.40025868014364585,-0.37676659482745428,0.33980447775477757,-0.3647454667833791,-0.3343522688261058,101.30065511499998,157.07963267948966,100.85788298637385
0.64495000000000002,113.14983644754004,113.14983644851898,244.3785404389937,244.4622053650281,54.923441384618449,-112.91731507474975,-0.40026467313131381,-0.37677844358576917,0.33977301305803215,-0.36088505051500414,-0.34105275666249318,101.30850909663397,157.07963267948966,100.85795905396598
0.64500000000000002,112.54507674857598,112.54507674955508,244.1966709650583,244.46051239162432,59.808118289008881,-112.30735297912464,-0.40027207286783184,-0.37679252089499471,0.33974776615286512,-0.35703737707657324,-0.347713502456579,101.31636307826794,157.07963267948966,100.85803525054013
0.64505000000000001,111.92757438045302,111.92757438143229,244.00467273724459,244.4570161819056,64.863752906908459,-111.68479129392556,-0.40028087641256038,-0.37680880959894608,0.33972925586869013,-0.35320261747886617,-0.35433358910352641,101.32421705990193,157.07963267948966,100.85811185161552
0.64510000000000001,111.29772821745813,111.29772821843754,243.802400009525,244.45163497207469,70.086786948118373,-111.05005884855836,-0.40029107403193359,-0.3768272815022109,0.33971799774180411,-0.34938093623503269,-0.36091212397759054,101.3320710415359,157.07963267948966,100.85818914544032
0.64515,110.65600203175656,110.65600203273608,243.5897169114522,244.44428642103782,75.473782375506715,-110.40364175127932,-0.40030264925276082,-0.37684789750968872,0.33971450336131437,-0.34557248863175338,-0.3674482433502273,101.33992502316988,157.07963267948966,100.85826743308863
0.6452,110.00290702468233,110.00290702566194,243.36649842112692,244.43488771842021,81.021417705795827,-109.74606711162687,-0.40031557892809932,-0.37687060778572018,0.33971927971647192,-0.3417774187193291,-0.37394111554567849,101.34777900480385,157.07963267948966,100.85834702854319
0.64524999999999999,109.33898709534746,109.33898709632717,243.13263101334309,244.42335569943293,86.726484927806581,-109.07788922925023,-0.40032983331374133,-0.37689535192954904,0.3397328285529827,-0.337995857846768,-0.3803899431382684,101.35563298643784,157.07963267948966,100.85842825876078
0.64529999999999998,108.66480610873001,108.66480610970983,242.88801306194742,244.40960696204186,92.585886797893849,-108.39967766426061,-0.4003453761537582,-0.37692205916452953,0.33975564574352313,-0.33422792361322351,-0.38679396441676189,101.36348696807181,157.07963267948966,100.85851146371809
0.64534999999999998,107.98093697127793,107.98093697225788,242.63255501874013,244.39355798524301,98.596634477016693,-107.71200706519086,-0.40036216477423991,-0.37695064853960375,0.33978822067357467,-0.33047371919978347,-0.39315245417973366,101.3713409497058,157.07963267948966,100.85859699643908
0.64540000000000008,107.28795252100825,107.28795252198826,242.36617938213593,244.37512524773479,104.75584550592664,-107.01544869885642,-0.40038015018447126,-0.37698102914173653,0.33983103564304179,-0.32673333306050917,-0.39946472389991333,101.3791949313398,157.07963267948966,100.85868522300406
