"Time","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","smpmM.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re"
0.0071999999,-1.3936151e-05,-0.50872153
0.0073000002,-1.4698247e-05,-0.50880563
0.0074,-1.5491401e-05,-0.50889069
0.0074999998,-1.6316339e-05,-0.5089767
0.0076000001,-1.7173836e-05,-0.50906372
0.0077,-1.8064668e-05,-0.50915164
0.0077999998,-1.8989609e-05,-0.50924051
0.0078999996,-1.9949437e-05,-0.50933033
0.0080000004,-2.0945567e-05,-0.50942111
0.0081000002,-2.1978949e-05,-0.50951278
0.0082,-2.3050034e-05,-0.50960547
0.0082999999,-2.415965e-05,-0.50969905
0.0083999997,-2.5308629e-05,-0.50979352
0.0085000005,-2.6497801e-05,-0.50988895
0.0086000003,-2.7727996e-05,-0.50998533
0.0087000001,-2.900023e-05,-0.5100826
0.0088,-3.031614e-05,-0.51018077
0.0088999998,-3.1676107e-05,-0.51027983
0.0089999996,-3.3081073e-05,-0.51037985
0.0091000004,-3.4531979e-05,-0.51048076
0.0092000002,-3.6029785e-05,-0.51058257
0.0093,-3.7575457e-05,-0.51068527
0.0093999999,-3.9169965e-05,-0.51078892
0.0094999997,-4.0814288e-05,-0.5108934
0.0096000005,-4.2509422e-05,-0.51099879
0.0097000003,-4.4256361e-05,-0.51110506
0.0098000001,-4.6056117e-05,-0.51121217
0.0098999999,-4.7909696e-05,-0.51132023
0.0099999998,-4.9818133e-05,-0.51142913
0.0101,-5.1782452e-05,-0.51153892
0.0102,-5.3803753e-05,-0.51164955
0.0103,-5.588312e-05,-0.51176107
0.0104,-5.802156e-05,-0.51187342
0.0105,-6.0220143e-05,-0.51198667
0.0106,-6.2479958e-05,-0.51210082
0.0107,-6.480208e-05,-0.51221573
0.0108,-6.7187619e-05,-0.5123316
0.0109,-6.9637674e-05,-0.51244825
0.011,-7.2153365e-05,-0.51256579
0.0111,-7.4735821e-05,-0.51268411
0.0112,-7.7386161e-05,-0.51280338
0.0113,-8.0105543e-05,-0.51292342
0.0114,-8.2895102e-05,-0.5130443
0.0115,-8.5756008e-05,-0.51316601
0.0116,-8.8689434e-05,-0.51328862
0.0117,-9.1696558e-05,-0.513412
0.0118,-9.4778574e-05,-0.51353621
0.0119,-9.7936667e-05,-0.51366121
0.012,-0.00010117205,-0.51378709
0.0121,-0.00010448592,-0.51391375
0.0122,-0.0001078795,-0.5140413
0.0123,-0.00011135403,-0.51416957
0.0124,-0.00011491076,-0.51429874
0.0125,-0.00011855091,-0.51442868
0.0126,-0.00012227576,-0.51455939
0.0127,-0.00012608657,-0.51469094
0.0128,-0.0001299846,-0.51482332
0.0129,-0.00013397116,-0.51495647
0.013,-0.00013804752,-0.51509047
0.0131,-0.00014221499,-0.51522517
0.0132,-0.00014647465,-0.51536071
0.0133,-0.000150828,-0.51549709
0.0134,-0.00015527634,-0.51563418
0.0135,-0.00015982104,-0.5157721
0.0136,-0.00016446339,-0.5159108
0.0137,-0.00016920477,-0.51605028
0.0138,-0.00017404652,-0.51619053
0.0139,-0.00017899001,-0.51633155
0.014,-0.00018403662,-0.51647341
0.0141,-0.00018918773,-0.51661599
0.0142,-0.00019444471,-0.51675934
0.0143,-0.00019980899,-0.51690346
0.0144,-0.00020528196,-0.51704836
0.0145,-0.00021086504,-0.51719403
0.0146,-0.00021655959,-0.51734042
0.0147,-0.00022236691,-0.51748765
0.0148,-0.00022828858,-0.51763558
0.0149,-0.00023432606,-0.51778424
0.015,-0.00024048076,-0.51793373
0.0151,-0.00024675418,-0.51808393
0.0152,-0.00025314777,-0.51823485
0.0153,-0.00025966301,-0.5183866
0.0154,-0.00026630139,-0.51853901
0.0155,-0.00027306439,-0.5186922
0.0156,-0.00027995353,-0.51884615
0.015699999,-0.00028697032,-0.51900083
0.015799999,-0.00029411627,-0.51915628
0.015900001,-0.00030139292,-0.51931238
0.016000001,-0.00030880177,-0.51946932
0.016100001,-0.00031634435,-0.51962692
0.0162,-0.0003240222,-0.51978528
0.0163,-0.0003318369,-0.51994437
0.0164,-0.00033979001,-0.52010417
0.0165,-0.00034788312,-0.52026469
0.0166,-0.00035611782,-0.52042598
0.0167,-0.00036449567,-0.52058792
0.016799999,-0.00037301832,-0.52075064
0.016899999,-0.00038168731,-0.52091402
0.017000001,-0.00039050431,-0.52107817
0.017100001,-0.00039947091,-0.52124304
0.017200001,-0.00040858876,-0.52140856
0.0173,-0.0004178595,-0.52157485
0.0174,-0.00042728477,-0.52174181
0.0175,-0.00043686625,-0.52190948
0.0176,-0.00044660555,-0.52207792
0.0177,-0.00045650441,-0.52224696
0.0178,-0.00046656444,-0.52241677
0.017899999,-0.00047678739,-0.5225873
0.017999999,-0.00048717493,-0.52275848
0.018100001,-0.00049772876,-0.52293032
0.018200001,-0.00050845061,-0.52310294
0.018300001,-0.0005193422,-0.52327621
0.0184,-0.00053040526,-0.5234502
0.0185,-0.00054164149,-0.52362484
0.0186,-0.0005530527,-0.52380019
0.0187,-0.00056464062,-0.52397621
0.0188,-0.00057640695,-0.52415293
0.0189,-0.00058835361,-0.52433032
0.018999999,-0.00060048222,-0.52450842
0.019099999,-0.00061279465,-0.52468717
0.019200001,-0.00062529277,-0.52486658
0.019300001,-0.00063797826,-0.52504671
0.019400001,-0.00065085298,-0.52522749
0.0195,-0.00066391873,-0.52540898
0.0196,-0.00067717739,-0.52559108
0.0197,-0.00069063081,-0.52577388
0.0198,-0.00070428074,-0.52595735
0.0199,-0.00071812904,-0.52614146
0.02,-0.00073217769,-0.5263263
0.020099999,-0.0007464285,-0.52651173
0.020199999,-0.00076088327,-0.52669787
0.020300001,-0.00077554403,-0.52688468
0.020400001,-0.00079041254,-0.52707207
0.020500001,-0.00080549082,-0.52726018
0.0206,-0.0008207807,-0.52744895
0.0207,-0.00083628413,-0.52763832
0.0208,-0.00085200305,-0.5278284
0.0209,-0.00086793938,-0.52801907
0.021,-0.00088409509,-0.52821046
0.0211,-0.00090047211,-0.52840245
0.021199999,-0.00091707241,-0.52859509
0.021299999,-0.00093389797,-0.52878839
0.021400001,-0.00095095078,-0.52898228
0.021500001,-0.00096823281,-0.52917689
0.021600001,-0.00098574604,-0.5293721
0.0217,-0.0010034925,-0.52956796
0.0218,-0.0010214743,-0.52976441
0.0219,-0.0010396932,-0.52996153
0.022,-0.0010581515,-0.53015929
0.0221,-0.001076851,-0.53035766
0.0222,-0.0010957939,-0.53055668
0.022299999,-0.0011149823,-0.53075629
0.022399999,-0.0011344181,-0.53095657
0.022500001,-0.0011541034,-0.53115743
0.022600001,-0.0011740405,-0.53135896
0.022700001,-0.0011942312,-0.53156114
0.0228,-0.0012146777,-0.53176385
0.0229,-0.001235382,-0.53196722
0.023,-0.0012563466,-0.53217125
0.0231,-0.0012775732,-0.53237587
0.0232,-0.001299064,-0.53258109
0.0233,-0.0013208212,-0.53278691
0.023399999,-0.0013428471,-0.53299338
0.023499999,-0.0013651438,-0.53320038
0.023600001,-0.0013877135,-0.53340805
0.023700001,-0.0014105581,-0.53361636
0.023800001,-0.00143368,-0.53382522
0.0239,-0.0014570813,-0.53403467
0.024,-0.0014807642,-0.53424478
0.0241,-0.001504731,-0.53445548
0.0242,-0.0015289839,-0.53466672
0.0243,-0.001553525,-0.53487861
0.0244,-0.0015783566,-0.5350911
0.024499999,-0.0016034809,-0.53530413
0.024599999,-0.0016289003,-0.53551781
0.024700001,-0.0016546168,-0.53573203
0.024800001,-0.0016806328,-0.53594691
0.024900001,-0.0017069507,-0.53616232
0.025,-0.0017335726,-0.53637832
0.0251,-0.0017605008,-0.53659493
0.0252,-0.0017877377,-0.53681213
0.0253,-0.0018152854,-0.53702986
0.0254,-0.0018431465,-0.53724825
0.0255,-0.0018713232,-0.53746718
0.025599999,-0.001899818,-0.53768665
0.025699999,-0.001928633,-0.53790677
0.025800001,-0.0019577707,-0.53812736
0.025900001,-0.0019872335,-0.53834862
0.026000001,-0.0020170235,-0.5385704
0.0261,-0.0020471434,-0.53879279
0.0262,-0.0020775953,-0.53901571
0.0263,-0.0021083818,-0.53923923
0.0264,-0.0021395052,-0.53946328
0.0265,-0.0021709679,-0.53968787
0.0266,-0.0022027723,-0.53991312
0.026699999,-0.0022349209,-0.54013884
0.026799999,-0.0022674161,-0.54036516
0.026900001,-0.0023002604,-0.54059201
0.027000001,-0.002333456,-0.54081947
0.027100001,-0.0023670057,-0.54104739
0.0272,-0.0024009119,-0.54127592
0.0273,-0.0024351769,-0.54150504
0.0274,-0.0024698032,-0.54173464
0.0275,-0.0025047935,-0.54196483
0.0276,-0.0025401502,-0.54219556
0.0277,-0.0025758757,-0.54242682
0.027799999,-0.0026119729,-0.54265863
0.027899999,-0.0026484441,-0.54289103
0.028000001,-0.0026852917,-0.5431239
0.028100001,-0.0027225185,-0.54335731
0.028200001,-0.002760127,-0.54359132
0.0283,-0.0027981196,-0.54382581
0.0284,-0.0028364989,-0.54406083
0.0285,-0.0028752675,-0.54429644
0.0286,-0.002914428,-0.54453254
0.0287,-0.0029539831,-0.54476917
0.0288,-0.0029939355,-0.54500633
0.028899999,-0.0030342874,-0.54524398
0.028999999,-0.0030750418,-0.54548222
0.029100001,-0.0031162011,-0.54572093
0.029200001,-0.0031577682,-0.54596019
0.029300001,-0.0031997454,-0.54619998
0.0294,-0.0032421357,-0.54644024
0.0295,-0.0032849417,-0.54668105
0.0296,-0.0033281657,-0.54692239
0.0297,-0.003371811,-0.5471642
0.0298,-0.00341588,-0.54740655
0.029899999,-0.0034603756,-0.54764944
0.029999999,-0.0035053003,-0.54789275
0.030099999,-0.0035506566,-0.54813665
0.030200001,-0.0035964476,-0.54838103
0.030300001,-0.0036426759,-0.54862589
0.030400001,-0.0036893445,-0.54887128
0.0305,-0.0037364557,-0.54911715
0.0306,-0.0037840125,-0.54936355
0.0307,-0.0038320175,-0.54961038
0.0308,-0.0038804738,-0.5498578
0.0309,-0.0039293841,-0.55010563
0.030999999,-0.0039787511,-0.550354
0.031099999,-0.0040285774,-0.55060285
0.031199999,-0.0040788664,-0.55085218
0.031300001,-0.0041296203,-0.55110198
0.031399999,-0.0041808425,-0.55135226
0.031500001,-0.0042325351,-0.55160308
0.031599998,-0.0042847018,-0.55185431
0.0317,-0.0043373452,-0.55210608
0.031800002,-0.0043904674,-0.55235833
0.0319,-0.0044440725,-0.55261099
0.032000002,-0.0044981628,-0.55286419
0.032099999,-0.0045527411,-0.55311781
0.032200001,-0.0046078102,-0.55337197
0.032299999,-0.0046633733,-0.55362654
0.032400001,-0.0047194334,-0.55388159
0.032499999,-0.0047759931,-0.55413711
0.032600001,-0.0048330557,-0.55439311
0.032699998,-0.0048906235,-0.55464953
0.0328,-0.0049487003,-0.55490649
0.032900002,-0.0050072884,-0.55516386
0.033,-0.0050663911,-0.55542165
0.033100002,-0.0051260116,-0.55567992
0.033199999,-0.0051861522,-0.55593866
0.033300001,-0.0052468167,-0.55619788
0.033399999,-0.0053080074,-0.55645752
0.033500001,-0.005369728,-0.55671757
0.033599999,-0.0054319808,-0.55697811
0.0337,-0.0054947692,-0.55723912
0.033799998,-0.0055580963,-0.55750054
0.0339,-0.005621965,-0.55776238
0.034000002,-0.0056863786,-0.5580247
0.0341,-0.0057513397,-0.55828744
0.034200002,-0.0058168517,-0.5585506
0.034299999,-0.0058829179,-0.55881423
0.034400001,-0.005949541,-0.55907822
0.034499999,-0.0060167243,-0.55934274
0.034600001,-0.006084471,-0.55960763
0.034699999,-0.006152784,-0.55987293
0.0348,-0.0062216665,-0.5601387
0.034899998,-0.0062911212,-0.56040484
0.035,-0.006361152,-0.56067145
0.035100002,-0.0064317621,-0.56093848
0.0352,-0.0065029538,-0.56120592
0.035300002,-0.0065747309,-0.56147373
0.035399999,-0.0066470965,-0.56174201
0.035500001,-0.0067200535,-0.56201065
0.035599999,-0.0067936056,-0.56227976
0.035700001,-0.0068677557,-0.56254923
0.035799999,-0.0069425064,-0.56281912
0.0359,-0.0070178621,-0.56308943
0.035999998,-0.0070938254,-0.5633601
0.0361,-0.0071703997,-0.56363124
0.036200002,-0.0072475881,-0.56390274
0.0363,-0.0073253936,-0.56417459
0.036400001,-0.0074038203,-0.56444687
0.036499999,-0.0074828705,-0.56471956
0.036600001,-0.0075625484,-0.56499261
0.036699999,-0.0076428563,-0.56526607
0.036800001,-0.007723798,-0.56553996
0.036899999,-0.0078053772,-0.56581414
0.037,-0.0078875963,-0.56608874
0.037099998,-0.0079704598,-0.56636375
0.0372,-0.0080539696,-0.56663913
0.037300002,-0.0081381295,-0.56691486
0.0374,-0.0082229441,-0.56719095
0.037500001,-0.0083084153,-0.56746745
0.037599999,-0.0083945468,-0.56774431
0.037700001,-0.0084813423,-0.56802154
0.037799999,-0.0085688047,-0.56829911
0.037900001,-0.0086569376,-0.56857705
0.037999999,-0.0087457448,-0.5688554
0.0381,-0.00883523,-0.56913406
0.038199998,-0.0089253951,-0.56941313
0.0383,-0.0090162447,-0.56969249
0.038400002,-0.0091077816,-0.56997222
0.0385,-0.0092000095,-0.5702523
0.038600001,-0.0092929322,-0.57053274
0.038699999,-0.0093865525,-0.57081354
0.038800001,-0.009480875,-0.57109469
0.038899999,-0.0095759016,-0.57137614
0.039000001,-0.0096716359,-0.57165796
0.039099999,-0.0097680828,-0.57194012
0.0392,-0.0098652449,-0.57222259
0.039299998,-0.009963125,-0.57250541
0.0394,-0.010061728,-0.5727886
0.039500002,-0.010161057,-0.57307208
0.0396,-0.010261115,-0.57335585
0.039700001,-0.010361906,-0.57363999
0.039799999,-0.010463433,-0.57392448
0.039900001,-0.0105657,-0.57420921
0.039999999,-0.010668711,-0.57449436
0.040100001,-0.010772469,-0.57477975
0.040199999,-0.010876977,-0.57506549
0.0403,-0.01098224,-0.57535154
0.040399998,-0.01108826,-0.57563788
0.0405,-0.011195041,-0.57592452
0.040600002,-0.011302588,-0.57621145
0.0407,-0.011410902,-0.57649875
0.040800001,-0.011519989,-0.57678628
0.040899999,-0.011629852,-0.57707417
0.041000001,-0.011740494,-0.5773623
0.041099999,-0.011851919,-0.57765073
0.041200001,-0.01196413,-0.57793945
0.041299999,-0.012077132,-0.57822847
0.0414,-0.012190928,-0.57851779
0.041499998,-0.012305521,-0.57880741
0.0416,-0.012420916,-0.57909727
0.041700002,-0.012537116,-0.57938743
0.0418,-0.012654124,-0.57967782
0.041900001,-0.012771945,-0.57996857
0.041999999,-0.012890582,-0.5802595
0.042100001,-0.013010039,-0.58055073
0.042199999,-0.013130318,-0.58084226
0.042300001,-0.013251426,-0.58113402
0.042399999,-0.013373364,-0.58142608
0.0425,-0.013496136,-0.58171839
0.042599998,-0.013619747,-0.58201092
0.0427,-0.0137442,-0.5823037
0.042800002,-0.013869498,-0.58259678
0.0429,-0.013995646,-0.58289009
0.043000001,-0.014122648,-0.58318365
0.043099999,-0.014250508,-0.58347744
0.043200001,-0.014379228,-0.58377147
0.043299999,-0.014508812,-0.58406574
0.043400001,-0.014639265,-0.58436024
0.043499999,-0.014770591,-0.58465499
0.0436,-0.014902793,-0.58494997
0.043699998,-0.015035874,-0.58524513
0.0438,-0.015169839,-0.58554059
0.043900002,-0.015304693,-0.58583623
0.044,-0.015440437,-0.58613211
0.044100001,-0.015577077,-0.58642817
0.044199999,-0.015714616,-0.58672446
0.044300001,-0.015853057,-0.58702099
0.044399999,-0.015992407,-0.58731771
0.044500001,-0.016132666,-0.58761466
0.044599999,-0.016273839,-0.58791178
0.0447,-0.016415931,-0.58820915
0.044799998,-0.016558945,-0.5885067
0.0449,-0.016702887,-0.58880442
0.045000002,-0.016847758,-0.58910233
0.0451,-0.016993562,-0.58940047
0.045200001,-0.017140305,-0.58969879
0.045299999,-0.01728799,-0.58999729
0.045400001,-0.01743662,-0.59029597
0.045499999,-0.0175862,-0.59059477
0.045600001,-0.017736733,-0.59089381
0.045699999,-0.017888226,-0.59119302
0.0458,-0.018040678,-0.59149241
0.045899998,-0.018194096,-0.59179193
0.046,-0.018348483,-0.59209168
0.046100002,-0.018503843,-0.59239155
0.0462,-0.018660182,-0.59269154
0.046300001,-0.018817501,-0.59299177
0.046399999,-0.018975805,-0.59329212
0.046500001,-0.019135099,-0.59359258
0.046599999,-0.019295385,-0.59389323
0.046700001,-0.01945667,-0.59419399
0.046799999,-0.019618955,-0.59449494
0.0469,-0.019782245,-0.594796
0.046999998,-0.019946545,-0.59509724
0.0471,-0.020111857,-0.59539855
0.047200002,-0.020278187,-0.59570003
0.0473,-0.020445539,-0.59600163
0.047400001,-0.020613916,-0.59630334
0.047499999,-0.020783322,-0.59660518
0.047600001,-0.020953761,-0.59690714
0.047699999,-0.021125237,-0.59720922
0.047800001,-0.021297755,-0.59751141
0.047899999,-0.021471318,-0.59781367
0.048,-0.021645932,-0.5981161
0.048099998,-0.021821598,-0.59841859
0.0482,-0.021998322,-0.59872115
0.048300002,-0.022176107,-0.59902388
0.0484,-0.022354959,-0.59932667
0.048500001,-0.022534881,-0.59962952
0.048599999,-0.022715876,-0.59993249
0.048700001,-0.022897949,-0.60023552
0.048799999,-0.023081105,-0.60053867
0.048900001,-0.023265347,-0.60084188
0.048999999,-0.023450678,-0.60114515
0.0491,-0.023637105,-0.60144854
0.049199998,-0.02382463,-0.60175192
0.0493,-0.024013257,-0.60205543
0.049400002,-0.024202991,-0.60235894
0.0495,-0.024393836,-0.60266256
0.049600001,-0.024585795,-0.60296619
0.049699999,-0.024778875,-0.60326993
0.049800001,-0.024973076,-0.60357368
0.049899999,-0.025168404,-0.60387748
0.050000001,-0.025364865,-0.60418129
0.050099999,-0.025562461,-0.60448515
0.0502,-0.025761198,-0.60478908
0.050299998,-0.025961077,-0.605093
0.0504,-0.026162105,-0.60539699
0.050500002,-0.026364285,-0.60570097
0.0506,-0.026567621,-0.60600495
0.050700001,-0.026772117,-0.606309
0.050799999,-0.026977779,-0.60661304
0.050900001,-0.027184609,-0.60691708
0.050999999,-0.027392611,-0.60722113
0.051100001,-0.027601792,-0.60752523
0.051199999,-0.027812153,-0.60782927
0.0513,-0.028023697,-0.60813332
0.051399998,-0.028236434,-0.60843736
0.0515,-0.028450364,-0.6087414
0.051600002,-0.02866549,-0.60904539
0.0517,-0.02888182,-0.60934943
0.051800001,-0.029099355,-0.60965335
0.051899999,-0.029318102,-0.60995734
0.052000001,-0.029538061,-0.61026126
0.052099999,-0.029759241,-0.61056513
0.052200001,-0.029981643,-0.61086899
0.052299999,-0.030205272,-0.6111728
0.0524,-0.030430133,-0.61147654
0.052499998,-0.030656228,-0.61178029
0.0526,-0.030883564,-0.61208391
0.052700002,-0.031112142,-0.61238754
0.0528,-0.03134197,-0.6126911
0.052900001,-0.03157305,-0.61299455
0.052999999,-0.031805385,-0.613298
0.053100001,-0.032038983,-0.61360133
0.053199999,-0.032273844,-0.6139046
0.053300001,-0.032509971,-0.6142078
0.053399999,-0.032747377,-0.61451095
0.0535,-0.032986056,-0.61481392
0.053599998,-0.033226021,-0.61511689
0.0537,-0.033467267,-0.61541975
0.053800002,-0.033709805,-0.61572248
0.0539,-0.033953637,-0.61602509
0.054000001,-0.034198768,-0.61632764
0.054099999,-0.0344452,-0.61663008
0.054200001,-0.034692943,-0.61693239
0.054299999,-0.034941994,-0.61723459
0.054400001,-0.035192359,-0.61753666
0.054499999,-0.035444044,-0.61783856
0.0546,-0.035697054,-0.6181404
0.054699998,-0.035951391,-0.61844206
0.0548,-0.036207058,-0.6187436
0.054900002,-0.036464065,-0.61904502
0.055,-0.03672241,-0.61934626
0.055100001,-0.0369821,-0.61964738
0.055199999,-0.037243139,-0.61994833
0.055300001,-0.03750553,-0.62024909
0.055399999,-0.037769277,-0.62054974
0.055500001,-0.038034387,-0.62085021
0.055599999,-0.038300864,-0.62115049
0.0557,-0.038568709,-0.6214506
0.055799998,-0.038837928,-0.62175053
0.0559,-0.039108526,-0.62205029
0.056000002,-0.039380506,-0.62234986
0.0561,-0.039653871,-0.62264919
0.056200001,-0.03992863,-0.62294835
0.056299999,-0.040204782,-0.62324733
0.056400001,-0.040482335,-0.62354606
0.056499999,-0.040761288,-0.62384462
0.056600001,-0.04104165,-0.624143
0.056699999,-0.041323423,-0.62444109
0.0568,-0.041606613,-0.62473899
0.056899998,-0.041891225,-0.62503666
0.057,-0.042177256,-0.62533408
0.057100002,-0.042464718,-0.62563127
0.0572,-0.042753614,-0.62592822
0.057300001,-0.043043941,-0.62622494
0.057399999,-0.04333571,-0.62652141
0.057500001,-0.043628924,-0.62681758
0.057599999,-0.043923587,-0.62711352
0.057700001,-0.044219702,-0.62740922
0.057799999,-0.044517275,-0.62770462
0.0579,-0.044816311,-0.62799978
0.057999998,-0.045116812,-0.62829465
0.0581,-0.04541878,-0.62858921
0.058200002,-0.04572222,-0.62888348
0.0583,-0.046027143,-0.62917751
0.058400001,-0.046333544,-0.62947118
0.058499999,-0.046641432,-0.62976462
0.058600001,-0.04695081,-0.63005769
0.058699999,-0.047261681,-0.63035047
0.058800001,-0.047574051,-0.63064295
0.058899999,-0.047887925,-0.63093507
0.059,-0.048203304,-0.6312269
0.059099998,-0.048520193,-0.63151842
0.0592,-0.048838597,-0.63180959
0.059300002,-0.049158517,-0.6321004
0.0594,-0.049479965,-0.63239086
0.059500001,-0.049802937,-0.63268101
0.059599999,-0.050127439,-0.63297075
0.059700001,-0.050453477,-0.63326019
0.059799999,-0.050781053,-0.63354921
0.059900001,-0.051110167,-0.63383788
0.059999999,-0.051440831,-0.63412619
0.0601,-0.051773045,-0.63441414
0.060199998,-0.052106816,-0.63470167
0.0603,-0.052442145,-0.63498884
0.060400002,-0.052779034,-0.6352756
0.0605,-0.053117491,-0.63556194
0.060600001,-0.053457517,-0.63584787
0.060699999,-0.053799123,-0.63613343
0.060800001,-0.0541423,-0.63641858
0.060899999,-0.054487064,-0.63670325
0.061000001,-0.054833416,-0.63698757
0.061099999,-0.055181354,-0.6372714
0.0612,-0.055530887,-0.63755482
0.061299998,-0.055882022,-0.63783783
0.0614,-0.056234755,-0.63812035
0.061500002,-0.056589097,-0.6384024
0.0616,-0.056945045,-0.63868403
0.061700001,-0.057302609,-0.63896519
0.061799999,-0.057661794,-0.63924587
0.061900001,-0.058022596,-0.63952613
0.061999999,-0.058385026,-0.63980585
0.062100001,-0.058749083,-0.6400851
0.062199999,-0.059114773,-0.64036387
0.0623,-0.059482101,-0.64064217
0.062399998,-0.059851073,-0.64091992
0.0625,-0.060221683,-0.6411972
0.062600002,-0.060593944,-0.64147401
0.062700003,-0.060967859,-0.64175022
0.062799998,-0.061343424,-0.64202595
0.062899999,-0.061720654,-0.64230114
0.063000001,-0.062099546,-0.6425758
0.063100003,-0.062480103,-0.64284998
0.063199997,-0.062862329,-0.64312357
0.063299999,-0.063246235,-0.64339656
0.0634,-0.063631818,-0.64366907
0.063500002,-0.064019084,-0.64394099
0.063600004,-0.064408034,-0.64421237
0.063699998,-0.064798668,-0.64448309
0.0638,-0.065191001,-0.64475334
0.063900001,-0.065585032,-0.64502293
0.064000003,-0.065980762,-0.64529198
0.064099997,-0.066378191,-0.64556044
0.064199999,-0.066777334,-0.64582825
0.064300001,-0.067178182,-0.64609545
0.064400002,-0.067580752,-0.64636213
0.064499997,-0.067985035,-0.64662808
0.064599998,-0.068391047,-0.6468935
0.0647,-0.068798773,-0.64715821
0.064800002,-0.069208235,-0.64742231
0.064900003,-0.069619432,-0.64768577
0.064999998,-0.070032366,-0.64794862
0.065099999,-0.070447035,-0.64821076
0.065200001,-0.070863441,-0.64847231
0.065300003,-0.071281604,-0.64873314
0.065399997,-0.071701512,-0.64899331
0.065499999,-0.07212317,-0.64925277
0.0656,-0.072546586,-0.64951158
0.065700002,-0.072971769,-0.64976972
0.065800004,-0.073398709,-0.65002716
0.065899998,-0.073827423,-0.65028387
0.066,-0.074257903,-0.65053988
0.066100001,-0.074690156,-0.65079516
0.066200003,-0.075124182,-0.65104973
0.066299997,-0.075559996,-0.65130359
0.066399999,-0.075997591,-0.65155673
0.066500001,-0.076436967,-0.6518091
0.066600002,-0.076878145,-0.65206069
0.066699997,-0.077321105,-0.65231162
0.066799998,-0.077765867,-0.65256172
0.0669,-0.078212433,-0.65281105
0.067000002,-0.078660801,-0.65305966
0.067100003,-0.079110973,-0.65330744
