"Time","aimc.is[1]","aimc.is[2]","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.stator.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[1].Phi.re","aimc.rotorCage.electroMagneticConverter.singlePhaseElectroMagneticConverter[2].Phi.im","transformer.l2sigma.inductor[1].i","transformer.l2sigma.inductor[3].i","loadInertia.phi","loadInertia.w"
2.0100999,383.10718,216.89656,-0.44622934,-0.35286435,0.19209969,0.099293552,-0.0005489391,-0.014658763,133.40607,122.73809
2.0102,369.41556,228.856,-0.4374584,-0.36333787,0.19305678,0.1013495,-0.0010902745,-0.014365856,133.41835,122.75845
2.0102999,355.54816,240.52496,-0.42835885,-0.37354848,0.19400826,0.1033902,-0.0016305363,-0.014058771,133.43062,122.77849
2.0104001,341.51953,251.89185,-0.41893914,-0.38348597,0.19495371,0.1054154,-0.0021691911,-0.013737811,133.4429,122.79822
2.0105,327.34439,262.94534,-0.40920794,-0.39314041,0.19589275,0.10742484,-0.0027057074,-0.013403293,133.45518,122.81763
2.0106001,313.03763,273.6745,-0.3991743,-0.40250218,0.19682494,0.10941828,-0.0032395558,-0.013055547,133.46747,122.83672
2.0107,298.61414,284.06885,-0.38884756,-0.41156197,0.1977499,0.11139549,-0.0037702094,-0.012694917,133.47975,122.8555
2.0107999,284.08893,294.1181,-0.37823731,-0.42031065,0.19866721,0.11335623,-0.0042971447,-0.012321757,133.49203,122.87396
2.0109,269.47714,303.81256,-0.36735347,-0.42873955,0.19957645,0.11530033,-0.0048198411,-0.011936437,133.50433,122.89211
2.0109999,254.79393,313.14276,-0.35620618,-0.43684021,0.20047724,0.11722755,-0.0053377836,-0.011539337,133.51662,122.90995
2.0111001,240.05446,322.09976,-0.34480584,-0.44460449,0.20136914,0.11913773,-0.0058504608,-0.011130848,133.52892,122.92747
2.0112,225.27397,330.67496,-0.33316311,-0.45202467,0.20225175,0.1210307,-0.0063573662,-0.010711375,133.5412,122.94468
2.0113001,210.46768,338.86023,-0.32128894,-0.45909327,0.20312467,0.12290628,-0.0068580001,-0.010281329,133.5535,122.96158
2.0114,195.65082,346.6478,-0.30919442,-0.46580321,0.20398749,0.12476432,-0.0073518683,-0.0098411376,133.5658,122.97818
2.0114999,180.83859,354.0304,-0.29689088,-0.4721477,0.2048398,0.12660468,-0.0078384839,-0.0093912324,133.57809,122.99448
2.0116,166.04613,361.00119,-0.28438988,-0.47812042,0.2056812,0.12842724,-0.0083173662,-0.0089320596,133.59039,123.01047
2.0116999,151.28857,367.55374,-0.27170318,-0.48371533,0.20651129,0.13023186,-0.0087880418,-0.008464071,133.60269,123.02618
2.0118001,136.58095,373.6821,-0.25884268,-0.48892674,0.20732965,0.13201843,-0.0092500476,-0.0079877293,133.61501,123.04159
2.0118999,121.9382,379.38083,-0.24582048,-0.49374938,0.2081359,0.13378687,-0.0097029274,-0.0075035035,133.6273,123.05672
2.0120001,107.37521,384.64484,-0.23264882,-0.49817839,0.20892964,0.13553709,-0.010146234,-0.0070118718,133.6396,123.07157
2.0121,92.906708,389.4696,-0.21934012,-0.50220925,0.20971049,0.13726899,-0.010579529,-0.0065133204,133.65192,123.08615
2.0122001,78.547318,393.85098,-0.20590688,-0.5058378,0.21047802,0.13898253,-0.011002387,-0.0060083405,133.66423,123.10046
2.0123,64.311501,397.7854,-0.19236177,-0.50906038,0.21123189,0.14067765,-0.011414389,-0.00549743,133.67654,123.11452
2.0123999,50.213581,401.26971,-0.17871755,-0.5118736,0.21197167,0.14235428,-0.011815129,-0.004981094,133.68884,123.12832
2.0125,36.2677,404.30124,-0.16498709,-0.51427454,0.21269701,0.14401239,-0.01220421,-0.0044598416,133.70116,123.14187
2.0125999,22.48781,406.87778,-0.15118332,-0.51626074,0.21340753,0.14565198,-0.012581251,-0.0039341869,133.71347,123.15519
2.0127001,8.8876772,408.99765,-0.13731927,-0.51783001,0.21410283,0.147273,-0.012945877,-0.0034046492,133.7258,123.16827
2.0128,-4.5191579,410.65961,-0.123408,-0.51898068,0.21478258,0.14887547,-0.013297731,-0.0028717511,133.73811,123.18114
2.0129001,-17.719379,411.86295,-0.10946263,-0.51971143,0.21544638,0.15045938,-0.013636463,-0.0023360178,133.75043,123.19379
2.013,-30.699903,412.60736,-0.095496327,-0.52002138,0.2160939,0.15202473,-0.013961741,-0.0017979788,133.76276,123.20625
2.0130999,-43.44791,412.89313,-0.081522264,-0.51991004,0.21672475,0.15357156,-0.014273242,-0.0012581645,133.77507,123.2185
2.0132,-55.950836,412.72089,-0.06755361,-0.51937735,0.21733862,0.15509988,-0.01457066,-0.00071710791,133.7874,123.23057
2.0132999,-68.196404,412.09186,-0.053603563,-0.51842368,0.21793513,0.15660976,-0.014853701,-0.00017534291,133.79971,123.24246
2.0134001,-80.172607,411.00772,-0.039685268,-0.51704979,0.21851395,0.15810123,-0.015122086,0.00036659589,133.81204,123.2542
2.0135,-91.867775,409.47055,-0.025811858,-0.51525682,0.21907474,0.15957434,-0.015375549,0.00090817374,133.82437,123.26578
2.0136001,-103.27051,407.48297,-0.01199642,-0.51304638,0.21961719,0.16102916,-0.015613841,0.0014488561,133.8367,123.27721
2.0137,-114.36977,405.0481,0.0017480209,-0.51042044,0.22014095,0.16246578,-0.015836727,0.0019881092,133.84903,123.28851
2.0137999,-125.15482,402.16937,0.015408506,-0.50738138,0.22064573,0.16388425,-0.016043987,0.0025254013,133.86136,123.2997
2.0139,-135.61531,398.85086,0.028972158,-0.50393206,0.22113121,0.16528469,-0.016235415,0.0030602019,133.87369,123.31078
2.0139999,-145.7412,395.09698,0.042426195,-0.5000757,0.22159706,0.16666718,-0.016410824,0.0035919833,133.88602,123.32175
2.0141001,-155.52283,390.91263,0.055757944,-0.49581578,0.22204301,0.16803184,-0.016570039,0.0041202209,133.89835,123.33264
2.0142,-164.95093,386.30313,0.068954848,-0.49115637,0.22246876,0.16937877,-0.016712906,0.004644393,133.91068,123.34346
2.0143001,-174.0166,381.27429,0.082004488,-0.4861019,0.22287402,0.17070809,-0.016839279,0.0051639825,133.92302,123.35423
2.0144,-182.71132,375.83231,0.094894581,-0.48065704,0.22325853,0.17201994,-0.016949039,0.0056784763,133.93535,123.36493
2.0144999,-191.02699,369.9838,0.107613,-0.47482702,0.22362198,0.17331445,-0.017042072,0.0061873677,133.94769,123.3756
2.0146,-198.95592,363.73578,0.12014781,-0.46861735,0.22396414,0.17459175,-0.017118292,0.0066901534,133.96002,123.38625
2.0146999,-206.49081,357.09576,0.13248721,-0.46203393,0.22428475,0.17585199,-0.017177619,0.0071863378,133.97237,123.3969
2.0148001,-213.62479,350.07159,0.14461963,-0.45508304,0.22458355,0.17709534,-0.017219998,0.0076754312,133.98471,123.40754
2.0149,-220.35144,342.67148,0.15653367,-0.44777128,0.22486031,0.17832194,-0.017245384,0.0081569506,133.99706,123.41819
2.0150001,-226.66473,334.90408,0.1682182,-0.44010565,0.22511478,0.17953198,-0.017253755,0.008630421,134.00938,123.42888
2.0151,-232.55913,326.77838,0.17966224,-0.43209344,0.22534673,0.1807256,-0.017245101,0.0090953754,134.02173,123.43961
2.0151999,-238.02948,318.30374,0.19085512,-0.42374238,0.22555597,0.18190302,-0.01721943,0.0095513547,134.03407,123.45039
2.0153,-243.07114,309.48993,0.20178632,-0.4150604,0.22574227,0.18306439,-0.017176768,0.009997909,134.04642,123.46124
2.0153999,-247.67987,300.34695,0.21244569,-0.40605584,0.22590542,0.1842099,-0.017117156,0.010434598,134.05878,123.47218
2.0155001,-251.85193,290.88522,0.22282326,-0.39673734,0.22604524,0.18533975,-0.017040655,0.01086099,134.07112,123.48321
2.0156,-255.58401,281.11545,0.23290937,-0.38711381,0.22616152,0.18645415,-0.01694734,0.011276665,134.08347,123.49434
2.0157001,-258.87329,271.04871,0.24269465,-0.37719452,0.22625412,0.18755329,-0.016837303,0.011681212,134.09583,123.5056
2.0158,-261.71738,260.69626,0.25217,-0.36698899,0.22632284,0.18863736,-0.016710652,0.012074232,134.10817,123.517
2.0158999,-264.11435,250.06976,0.26132664,-0.356507,0.22636753,0.18970661,-0.016567511,0.012455338,134.12051,123.52854
2.016,-266.06284,239.18109,0.27015612,-0.34575868,0.22638802,0.19076124,-0.016408024,0.012824152,134.13287,123.54025
2.0160999,-267.56186,228.04239,0.27865028,-0.33475426,0.22638419,0.19180146,-0.016232345,0.013180312,134.14523,123.55212
2.0162001,-268.61087,216.66606,0.28680128,-0.32350442,0.2263559,0.19282749,-0.016040651,0.013523465,134.15758,123.56419
2.0163,-269.20993,205.06476,0.29460165,-0.31201994,0.226303,0.19383956,-0.015833128,0.013853274,134.16994,123.57646
2.0164001,-269.35941,193.25131,0.30204421,-0.30031189,0.22622539,0.19483793,-0.015609983,0.014169413,134.1823,123.58894
2.0165,-269.0603,181.2388,0.30912223,-0.2883915,0.22612295,0.19582279,-0.015371435,0.014471569,134.19466,123.60165
2.0165999,-268.31396,169.04051,0.31582925,-0.2762703,0.22599559,0.19679439,-0.015117721,0.014759445,134.20702,123.6146
2.0167,-267.12222,156.66988,0.32215917,-0.26395988,0.22584319,0.19775298,-0.014849088,0.015032755,134.21938,123.6278
2.0167999,-265.48746,144.1405,0.32810628,-0.25147218,0.2256657,0.19869879,-0.014565805,0.015291232,134.23175,123.64127
2.0169001,-263.41241,131.46619,0.33366531,-0.23881917,0.22546303,0.19963205,-0.014268149,0.01553462,134.24411,123.65501
2.017,-260.90036,118.66082,0.33883125,-0.22601306,0.2252351,0.20055303,-0.013956415,0.015762677,134.25647,123.66904
2.0171001,-257.95496,105.73845,0.34359953,-0.21306618,0.22498187,0.20146197,-0.01363091,0.015975181,134.26884,123.68338
2.0172,-254.58038,92.713234,0.34796602,-0.19999097,0.22470328,0.20235911,-0.013291955,0.016171919,134.28122,123.69803
2.0172999,-250.7812,79.599396,0.35192689,-0.18680008,0.2243993,0.20324469,-0.012939885,0.0163527,134.29358,123.713
2.0174,-246.56248,66.411278,0.35547876,-0.17350616,0.22406988,0.20411898,-0.012575048,0.016517343,134.30595,123.72831
2.0174999,-241.92967,53.163277,0.35861865,-0.16012205,0.22371501,0.20498224,-0.012197803,0.016665688,134.31833,123.74397
2.0176001,-236.88869,39.869827,0.36134398,-0.14666064,0.22333466,0.2058347,-0.011808523,0.016797585,134.3307,123.75997
2.0177,-231.44583,26.54542,0.36365253,-0.13313487,0.22292884,0.20667662,-0.011407591,0.016912909,134.34308,123.77636
2.0178001,-225.60786,13.204569,0.36554256,-0.1195578,0.22249754,0.20750827,-0.010995405,0.017011542,134.35545,123.79312
2.0179,-219.38194,-0.13822703,0.36701268,-0.10594248,0.22204077,0.20832987,-0.010572369,0.017093388,134.36784,123.81027
2.0179999,-212.77559,-13.468461,0.36806196,-0.092302032,0.22155857,0.20914172,-0.010138902,0.017158367,134.38022,123.82782
2.0181,-205.7968,-26.771639,0.36868986,-0.07864958,0.22105095,0.20994404,-0.0096954321,0.017206412,134.39261,123.84578
2.0181999,-198.45387,-40.033333,0.36889622,-0.064998269,0.22051795,0.21073709,-0.0092423959,0.017237479,134.405,123.86416
2.0183001,-190.75551,-53.239143,0.36868131,-0.051361244,0.2199596,0.21152113,-0.008780241,0.017251536,134.41737,123.88297
2.0184,-182.71085,-66.374748,0.36804584,-0.037751626,0.21937597,0.21229643,-0.0083094239,0.017248569,134.42976,123.90221
2.0185001,-174.32925,-79.425903,0.36699092,-0.024182506,0.21876712,0.21306323,-0.0078304084,0.017228583,134.44215,123.9219
2.0186,-165.62056,-92.378479,0.36551803,-0.010666939,0.21813311,0.21382177,-0.0073436676,0.017191593,134.45456,123.94204
2.0186999,-156.59488,-105.21843,0.3636291,0.0027820761,0.21747403,0.21457231,-0.006849682,0.017137639,134.46695,123.96265
2.0188,-147.26265,-117.93185,0.36132649,0.016151609,0.21678995,0.2153151,-0.0063489387,0.017066775,134.47934,123.98372
2.0188999,-137.63464,-130.505,0.35861287,0.02942881,0.21608098,0.2160504,-0.0058419318,0.016979069,134.49174,124.00526
2.0190001,-127.72196,-142.92426,0.3554914,0.042600919,0.2153472,0.21677844,-0.0053291623,0.016874608,134.50415,124.0273
2.0191,-117.53593,-155.17616,0.35196558,0.055655286,0.21458873,0.21749948,-0.0048111361,0.016753495,134.51656,124.04983
2.0192001,-107.08823,-167.24751,0.34803936,0.068579368,0.21380571,0.21821375,-0.0042883637,0.016615851,134.52896,124.07285
2.0193,-96.390755,-179.1252,0.34371704,0.081360772,0.21299821,0.21892151,-0.0037613616,0.016461808,134.54137,124.09637
2.0193999,-85.455696,-190.7964,0.33900332,0.093987219,0.21216641,0.21962298,-0.0032306495,0.016291523,134.55377,124.1204
2.0195,-74.295456,-202.2485,0.33390325,0.10644661,0.21131043,0.22031841,-0.0026967516,0.01610516,134.56619,124.14494
2.0195999,-62.922707,-213.4691,0.32842234,0.118727,0.21043043,0.22100803,-0.0021601946,0.015902907,134.5786,124.17001
2.0197001,-51.3503,-224.44608,0.32256636,0.13081662,0.20952654,0.22169209,-0.0016215078,0.015684959,134.59102,124.19559
2.0197999,-39.591305,-235.16756,0.31634152,0.14270389,0.20859894,0.2223708,-0.001081223,0.015451534,134.60344,124.2217
2.0199001,-27.659006,-245.62195,0.30975437,0.15437743,0.2076478,0.2230444,-0.00053987338,0.015202861,134.61586,124.24835
2.02,-15.566822,-255.79794,0.3028118,0.16582608,0.20667328,0.22371309,2.006982e-06,0.014939187,134.6283,124.27553
2.0201001,-3.3283575,-265.68451,0.29552108,0.17703891,0.20567556,0.22437713,0.00054388324,0.01466077,134.64072,124.30325
2.0202,9.0426207,-275.271,0.28788978,0.18800519,0.20465484,0.2250367,0.0010852206,0.014367888,134.65315,124.3315
2.0202999,21.532248,-284.547,0.27992585,0.19871446,0.20361133,0.22569205,0.0016254849,0.014060826,134.66559,124.3603
