"Time","B5.medium.h","B5.level","B5.InnerTankTop[1].m_flow_negative","B5.InnerTankSide[1].m_flow_negative","B5.InnerTankBottom[1].m_flow_negative","controller.Transition1.enableFire","controller.Transition2.enableFire","controller.Transition3.enableFire","controller.Transition4.enableFire","controller.Transition5.enableFire","controller.Transition6.enableFire","controller.Transition7.enableFire","controller.Transition8.enableFire","controller.Transition9.enableFire","controller.Transition10.enableFire","controller.Transition11.enableFire","controller.Transition12.enableFire","controller.Transition13.enableFire","controller.TransitionWithSignal1.enableFire","volume5.medium.p","volume5.medium.h","P1.medium.p","P1.medium.h","P2.medium.p","P2.medium.h","B1.level","B1.medium.h","P1_on.y","P2_on.y","B2.level","B2.medium.h","B3.level","B3.medium.h","B4.level","B4.medium.h","B7.level","B7.medium.h","pipeB1B2.mediums[1].p","pipeB1B2.mediums[1].h","pipeB1B2.mediums[2].p","pipeB1B2.mediums[2].h","pipePump1B1.mediums[1].p","pipePump1B1.mediums[1].h","pipePump1B1.mediums[2].p","pipePump1B1.mediums[2].h","pipePump2B2.mediums[1].p","pipePump2B2.mediums[1].h","pipePump2B2.mediums[2].p","pipePump2B2.mediums[2].h","B6.level","B6.medium.h","volume4.medium.p","volume4.medium.h"
5.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19151954,84013.055,0,0,0.2,84013.055,0.02848045,84013.336,0.015,84013.055,0.0089999912,104288.33,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.01999999,104294.12,101325,84013.055
6,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.19058526,84013.055,0,0,0.2,84013.055,0.029414747,84013.359,0.015,84013.055,0.0089999903,104287.09,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999988,104293.41,101325,84013.055
6.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18965258,84013.055,0,0,0.2,84013.055,0.030347418,84013.383,0.015,84013.055,0.0089999894,104285.84,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999988,104292.69,101325,84013.055
7,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18872154,84013.055,0,0,0.2,84013.055,0.031278465,84013.398,0.015,84013.055,0.0089999884,104284.6,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999987,104291.97,101325,84013.055
7.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18779211,84013.055,0,0,0.2,84013.055,0.032207888,84013.422,0.015,84013.055,0.0089999875,104283.36,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999985,104291.26,101325,84013.055
8,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.1868643,84013.055,0,0,0.2,84013.055,0.033135694,84013.438,0.015,84013.055,0.0089999866,104282.12,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999985,104290.54,101325,84013.055
8.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18593812,84013.055,0,0,0.2,84013.055,0.034061879,84013.453,0.015,84013.055,0.0089999856,104280.87,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999983,104289.82,101325,84013.055
9,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18501356,84013.055,0,0,0.2,84013.055,0.034986444,84013.477,0.015,84013.055,0.0089999847,104279.62,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999983,104289.11,101325,84013.055
9.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18409061,84013.055,0,0,0.2,84013.055,0.035909388,84013.492,0.015,84013.055,0.0089999838,104278.38,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999981,104288.39,101325,84013.055
10,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18316929,84013.055,0,0,0.2,84013.055,0.036830708,84013.508,0.015,84013.055,0.0089999828,104277.14,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999981,104287.67,101325,84013.055
10.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18224959,84013.055,0,0,0.2,84013.055,0.037750408,84013.523,0.015,84013.055,0.0089999828,104275.9,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999979,104286.96,101325,84013.055
11,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18133152,84013.055,0,0,0.2,84013.055,0.038668487,84013.539,0.015,84013.055,0.0089999819,104274.66,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999979,104286.24,101325,84013.055
11.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.18041506,84013.055,0,0,0.2,84013.055,0.039584942,84013.547,0.015,84013.055,0.008999981,104273.41,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999977,104285.52,101325,84013.055
12,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17950022,84013.055,0,0,0.2,84013.055,0.04049978,84013.562,0.015,84013.055,0.0089999801,104272.17,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999977,104284.8,101325,84013.055
12.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.178587,84013.055,0,0,0.2,84013.055,0.041412991,84013.578,0.015,84013.055,0.0089999791,104270.93,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999975,104284.09,101325,84013.055
13,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17767541,84013.055,0,0,0.2,84013.055,0.042324584,84013.586,0.015,84013.055,0.0089999782,104269.69,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999975,104283.38,101325,84013.055
13.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17676544,84013.055,0,0,0.2,84013.055,0.043234553,84013.602,0.015,84013.055,0.0089999773,104268.45,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999973,104282.66,101325,84013.055
14,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.1758571,84013.055,0,0,0.2,84013.055,0.044142902,84013.609,0.015,84013.055,0.0089999763,104267.21,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999973,104281.95,101325,84013.055
14.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17495036,84013.055,0,0,0.2,84013.055,0.045049638,84013.617,0.015,84013.055,0.0089999754,104265.97,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999972,104281.23,101325,84013.055
15,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17404523,84013.055,0,0,0.2,84013.055,0.045954768,84013.633,0.015,84013.055,0.0089999745,104264.73,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999972,104280.51,101325,84013.055
15.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17314172,84013.055,0,0,0.2,84013.055,0.046858277,84013.641,0.015,84013.055,0.0089999745,104263.48,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.01999997,104279.8,101325,84013.055
16,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17223984,84013.055,0,0,0.2,84013.055,0.047760166,84013.648,0.015,84013.055,0.0089999735,104262.24,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.01999997,104279.08,101325,84013.055
16.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17133956,84013.055,0,0,0.2,84013.055,0.048660439,84013.656,0.015,84013.055,0.0089999726,104261,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999968,104278.37,101325,84013.055
17,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.17044091,84013.055,0,0,0.2,84013.055,0.049559094,84013.664,0.015,84013.055,0.0089999717,104259.76,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999968,104277.65,101325,84013.055
17.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16954388,84013.055,0,0,0.2,84013.055,0.050456129,84013.672,0.015,84013.055,0.0089999707,104258.52,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999966,104276.93,101325,84013.055
18,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16864845,84013.055,0,0,0.2,84013.055,0.051351547,84013.68,0.015,84013.055,0.0089999698,104257.27,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999966,104276.22,101325,84013.055
18.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16775467,84013.055,0,0,0.2,84013.055,0.052245345,84013.688,0.015,84013.055,0.0089999689,104256.03,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999964,104275.5,101325,84013.055
19,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16686247,84013.055,0,0,0.2,84013.055,0.053137522,84013.695,0.015,84013.055,0.0089999679,104254.8,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999964,104274.78,101325,84013.055
19.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16597192,84013.055,0,0,0.2,84013.055,0.054028083,84013.703,0.015,84013.055,0.008999967,104253.55,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999962,104274.07,101325,84013.055
20,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16508298,84013.055,0,0,0.2,84013.055,0.054917026,84013.711,0.015,84013.055,0.008999967,104252.31,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999962,104273.35,101325,84013.055
20.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16419566,84013.055,0,0,0.2,84013.055,0.055804349,84013.719,0.015,84013.055,0.0089999661,104251.07,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.01999996,104272.63,101325,84013.055
21,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16330992,84013.055,0,0,0.2,84013.055,0.056690082,84013.719,0.015,84013.055,0.0089999652,104249.83,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.01999996,104271.92,101325,84013.055
21.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16242577,84013.055,0,0,0.2,84013.055,0.057574227,84013.727,0.015,84013.055,0.0089999642,104248.59,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999959,104271.2,101325,84013.055
22,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16154324,84013.055,0,0,0.2,84013.055,0.058456764,84013.734,0.015,84013.055,0.0089999633,104247.35,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999957,104270.49,101325,84013.055
22.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.16066231,84013.055,0,0,0.2,84013.055,0.059337687,84013.742,0.015,84013.055,0.0089999624,104246.11,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999957,104269.77,101325,84013.055
23,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15978301,84013.055,0,0,0.2,84013.055,0.060217004,84013.75,0.015,84013.055,0.0089999614,104244.87,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999955,104269.05,101325,84013.055
23.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.1589053,84013.055,0,0,0.2,84013.055,0.061094705,84013.758,0.015,84013.055,0.0089999605,104243.62,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999955,104268.34,101325,84013.055
24,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.1580292,84013.055,0,0,0.2,84013.055,0.0619708,84013.758,0.015,84013.055,0.0089999596,104242.39,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999953,104267.62,101325,84013.055
24.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15715472,84013.055,0,0,0.2,84013.055,0.062845282,84013.766,0.015,84013.055,0.0089999586,104241.15,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999953,104266.91,101325,84013.055
25,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15628184,84013.055,0,0,0.2,84013.055,0.063718155,84013.773,0.015,84013.055,0.0089999586,104239.91,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999951,104266.2,101325,84013.055
25.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15541059,84013.055,0,0,0.2,84013.055,0.064589418,84013.781,0.015,84013.055,0.0089999577,104238.67,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999951,104265.48,101325,84013.055
26,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15454094,84013.055,0,0,0.2,84013.055,0.065459065,84013.781,0.015,84013.055,0.0089999568,104237.43,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999949,104264.77,101325,84013.055
26.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15367289,84013.055,0,0,0.2,84013.055,0.06632711,84013.789,0.015,84013.055,0.0089999558,104236.19,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999949,104264.05,101325,84013.055
27,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15280646,84013.055,0,0,0.2,84013.055,0.067193538,84013.797,0.015,84013.055,0.0089999549,104234.95,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999947,104263.34,101325,84013.055
27.5,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15194164,84013.055,0,0,0.2,84013.055,0.068058357,84013.797,0.015,84013.055,0.008999954,104233.71,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999947,104262.62,101325,84013.055
28,83916.07,0.00089999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101325,84013.055,100000,84011.812,100000,84011.812,0.15107843,84013.055,0,0,0.2,84013.055,0.068921566,84013.805,0.015,84013.055,0.008999953,104232.47,101325,84013.055,101325,84013.055,116008.75,84027.766,86641.719,83998.352,116008.75,84027.766,86641.719,83998.352,0.019999946,104261.9,101325,84013.055
